id,nodename,nodeclass,propertytext
"character/R186","2003年，张文宏随老师参与非典的救治和防疫工作，他的老师华山医院感染科终身教授翁心华时任上海市“非典”专家咨询组组长。非典结束后，张文宏协助翁心华一起主编了国内首部介绍SARS的专业书籍。","事迹",""
"character/R188","2013年，H7N9，第一时间在国际上客观报道了中国案例；","事迹",""
"character/R190","2014年，埃博拉，参加了援助西非的紧急救援队。","事迹",""
"character/R191","2020年初，新冠肺炎，成为上海医疗救治专家组组长。","事迹",""
"character/R192","2020年1月29日，疫情新闻发布会。“党员冲在最前线，什么是前线？现在就是！”","言论",""
"character/R193","温州瑞安","城市",""
"character/R330","H7N9型禽流感","战役","研究进展: “H7N9型禽流感”；爆发地点: “安徽、上海”；"
"character/R195","上海和安徽","城市",""
"character/R196","新亚型流感病毒","病毒",""
"character/R197","李文亮","人物","籍贯: “辽宁锦州”；事迹: “2019年12月30日，向外界发出防护预警，而被称为疫情“吹哨人”。”；职责: “抗击新型冠状病毒感染的肺炎疫情”；死亡原因: “新型冠状病毒感染”；履历: “武汉中心医院 眼科医生”；性别: “男”；死亡时间: “2020-02-07”；出生日期: “”；民族: “汉”；国籍: “中国”；"
"character/R198","武汉大学","学校",""
"character/R199","2014年-2020年2月武汉市中心医院医生","履历","摘要: “医生”；类型: “武汉市中心医院”；"
"character/R200","眼科医生","职务",""
"character/R201","武汉市中心医院","机构",""
"character/R202","2019年12月30日，李文亮发出了一份写有“检出高置信度阳性指标SARS冠状病毒阳性”的临床病原体筛查结果和患者胸部CT，并称“最新消息是冠状病毒感染确定了，正在进行病毒分型。”","事迹",""
"character/R203","辽宁锦州","城市",""
"character/R204","2019年12月30日，在微信群发出预警信息","事件",""
"character/R205","2020年1月3日，警方对他进行训诫","事件",""
"character/R206","2020年1月8日，接诊时不幸被患者感染","事件",""
"character/R207","2020年1月12日，因发烧、肺部感染住院","事件",""
"character/R208","2020年2月1日，被确诊感染新型冠状病毒","事件",""
"character/R21","李兰娟","人物","籍贯: “浙江绍兴”；参与事件: “2020年2月1日，李兰娟院士带队驰援武汉：“四抗二平衡”新方案抢救危重症病人。抵达后在武汉大学人民医院展开工作。、2020年2月4日，李兰娟院士团队在武汉发布重大抗病毒研究成果 “阿比朵尔、达芦那韦能有效抑制冠状病毒””；发表: “2020年2月1日，“我打算比较长期地在那里，与那边的医护人员共同奋斗。我自己希望到金银潭医院，所有危重症集中的那个医院。””；事迹: “2017年《以防控人感染H7N9禽流感为代表的新发传染病防治体系重大创新和技术突破》获得国家科技进步奖特等奖（排名第一）、2003年，仅用一夜，隔离1000多人。 就是这位73岁的老人，在十七年前创造SARS“零严重后遗症”、无医务人员感染、无二代病人的奇迹。”；出生地: “绍兴”；履历: “1993年至今 复旦大学附属华山医院 感染病科党支部书记、主任”；重要成果: “《中国人工肝研究——跟跑者迈向领跑者》、《B3型柯萨奇病毒感染对胰岛细胞糖尿病相关LncRNA表达的影响》、《人体微生态与健康和疾病》、《人体微生态与感染性疾病的研究进展》、《传染病学 第3版》、《本科临床 传染病学 配增值 第9版》、《H7N9禽流感病毒分子生物学变异的研究进展》、《我国感染病学发展战略研究》、《感染病学学习指导及习题集》、《传染病学 第9版 人卫版》、《中国近30年微生态学发展现状及未来》、《肝衰竭新进展》”；性别: “女”；获奖事件: “1998年国家科技进步二等奖、2003年省科技进步一等奖、2001年省科技进步一等奖、1997年省科技进步一等奖”；出生日期: “1947-09-13”；队友: “朱梦飞、张园园、汤灵玲、刘元春”；所属救援队: “树兰（杭州）医院紧急医疗队”；民族: “汉”；国籍: “中国”；研究方向: “传染病临床”；毕业院校: “浙江医科大学”；参与战役: “非典战役、H1N1流感战役、H7N9禽流感、新型冠状病毒战役”；"
"character/R210","如果我们不说实话，谁还会说实话？","言论",""
"character/R211","疫情爆发期间，在人流量较大的突泉县汽车客运站开展工作","事件",""
"character/R212","面对疫情，刘大庆放弃春节休息，让妻子儿女咱家照顾九旬母亲，大年初一戴口罩执勤。工作之余，主动在所里清扫卫生、买菜做饭。","事迹",""
"character/R213","驻守新型冠状病毒疫情第一线","事件",""
"character/R214","张定宇","人物","籍贯: “湖北武汉”；参与事件: “2020年1月23日，湖北省新型肺炎应急科研攻关研究专家组召开第一次工作会议正式宣布成立由中科院武汉病毒所牵头，张定宇等13位相关学科专家组成的新型肺炎应急科研攻关研究专家组攻关新型肺炎研究。”；发表: “我爱人虽然感染了病毒，但是很幸运，给她用了抗毒药之后，有效果，我很感恩。、很感激解放军医疗队的分担，让我这两天凌晨1点就能躺下了，之前有时候得扛到三、四点才能睡。、这样的疫情和灾难，无论发生在其他任何一个国家，后果都不可想像。我很感恩，当我们为了抢救病人不顾一切，背后支撑我们的，是整个中国。”；事迹: “赴阿尔及利亚、巴基斯坦等国开展国际医疗援助，带领湖北省第三医疗队赴汶川抗震救灾、武汉金银潭医院院长：身患绝症、妻子被感染，抗击疫情最前线奋战30余天”；履历: “2013年12月至今 湖北省武汉市金银潭医院（武汉市传染病医院） 党委副书记、院长”；重要成果: “《 艾滋病合并浆母细胞淋巴瘤1例》、《 武汉市≥50岁HIV/AIDS病人抗病毒治疗效果分析》、《浅表淋巴结细针穿刺涂片及培养快速确诊马尔尼菲青霉菌病》”；性别: “男”；获奖事件: “2017年 “2016—2017流行季H7N9防控工作先进个人”荣誉称号；、2008年 “抗震救灾医药卫生先进个人”荣誉称号；”；出生日期: “1963-12-01”；同事: “柏涛、周海兰、李霞、张建生”；现任机构: “武汉金银潭医院”；民族: “汉”；国籍: “中国”；参与战役: “新型冠状病毒战役”；"
"character/R215","赴阿尔及利亚、巴基斯坦等国开展国际医疗援助，带领湖北省第三医疗队赴汶川抗震救灾","事迹",""
"character/R216","武汉金银潭医院院长：身患绝症、妻子被感染，抗击疫情最前线奋战30余天","事迹",""
"character/R217","2013年12月至今湖北省武汉市金银潭医院（武汉市传染病医院）党委副书记、院长","履历","摘要: “院长、党委副书记”；类型: “武汉市金银潭医院”；"
"character/R218","党委副书记","职务",""
"character/R219","认识肝炎知行合一（病毒性肝炎宜指导和释疑）","书籍","出版日期: “2017-08-01”；"
"character/R22","钟南山","人物","籍贯: “福建厦门”；参与事件: “2020年1月18日，钟南山从广州赶往武汉。、2020年1月20日晚，钟南山院士接受了白岩松采访，提出“它是肯定有人传人的”，拉响全国防控警报。”；发表: “2003年4月12日，广东呼吸疾病研究院召开发布会上，“现在病原不知道，怎么预防不清楚，怎么治疗也还没有很好的办法，病情还在传染，怎么能说是控制了？我们顶多叫遏制，不叫控制！”、2020年1月20日，央视新闻采访，“新型冠状病毒很可能来自野味，可以人传人，存在医务人员感染的风险。””；事迹: “对慢性不明原因咳嗽诊断成功率达85%，重症监护室抢救成功率达91%；、2003年以钟南山为首的专家指导下，广东省创下世界最低非典病死率记录3.7%；”；出生地: “南京”；履历: “2020年1月20日 国家卫健委 高级别专家组组长、1996年5月 中国工程院 院士、2013年7月至今 广州呼吸疾病研究所 所长、1992年5月-2002年12月 广州医学院 院长、党委书记、2020年1月21日 新型冠状病毒联防联控工作机制科研攻关组组长”；重要成果: “《转基因因子研究》、《解读急性传染性非典型肺炎预防与对策》、《GD微型最高呼气流速仪》、《应用siRNA策略研制预防和治疗SARS疾病特效药动物实验》、《不明原因慢性咳嗽的病因分布及诊断程序的建立》、《不明原因慢性咳嗽的诊断探讨》、《慢性阻塞性肺疾病在中国》、《慢性咳嗽的病因诊断程序、发病机制及其治疗研究》、《 连花清瘟胶囊体外抗甲型流感病毒的实验研究》、《临床路径释义 感染性疾病分册2018年版》、《呼吸病学 第2版》、《创建防治结合型全科医学人才培养模式，推动社区卫生服务可持续发展》、《现代呼吸病进展》、《哮喘及气道高反应性》、《广东部分地区慢性阻塞性肺疾病发病状况调查》、《感冒后咳嗽敏感性及气道神经源性炎症改变》”；性别: “男”；获奖事件: “1980年广东省科技进步三等奖、2009年中国国家级教学成果二等奖、2008年广东省科学技术二等奖、2008年广州市科学技术进步一等奖、1982年广州市科技成果一等奖、1994年中国卫生部重大科技成果三等奖”；出生日期: “1936-10-01”；队友: “王镜成、陈维校、温德良、高元妹、段业英、李仕成、蒋凌志、毕赐成、余裕恒、冯国勇、黎江、方向明、李德富、吴思敏、黄汝梁、韦伊尔、王玉丽、黎毅敏、何欢”；所属救援队: “广医支援武汉医疗队、广医支援市八医院医疗队”；民族: “汉”；国籍: “中国”；研究方向: “呼吸病学”；毕业院校: “北京医学院”；参与战役: “非典战役、新型冠状病毒战役”；"
"character/R220","2020年1月23日，湖北省新型肺炎应急科研攻关研究专家组召开第一次工作会议正式宣布成立由中科院武汉病毒所牵头，张定宇等13位相关学科专家组成的新型肺炎应急科研攻关研究专家组攻关新型肺炎研究。","事件",""
"character/R221","翁心华疑难感染病和发热病例精选与临床思维","书籍","出版日期: “2016-09-01”；"
"character/R222","很感激解放军医疗队的分担，让我这两天凌晨1点就能躺下了，之前有时候得扛到三、四点才能睡。","言论",""
"character/R223","我爱人虽然感染了病毒，但是很幸运，给她用了抗毒药之后，有效果，我很感恩。","言论",""
"character/R224","这样的疫情和灾难，无论发生在其他任何一个国家，后果都不可想像。我很感恩，当我们为了抢救病人不顾一切，背后支撑我们的，是整个中国。","言论",""
"character/R225","重点感染性疾病的防治（第2版）","书籍","出版日期: “2018-04-01”；"
"character/R226","张文宏教授支招防控新型冠状病毒","书籍","出版日期: “2020-02-01”；"
"character/R227","高毒力肺炎克雷伯菌血清型、毒力基因分布及分子标志物探索","文章","发表日期: “2019-12-25”；发布: “徐水宝”；相关: “陈澍、陈晨、金嘉琳、杨思宇、翁珊珊、张文宏”；"
"character/R228","肺炎克雷伯菌肝脓肿70例临床分析","文章","发表日期: “2018-01-20”；发布: “吴柳”；相关: “张洁、张文宏、孙琳、邵凌云、樊琴、吴柳”；"
"character/R229","细菌持留与抗生素表型耐药机制","文章","发表日期: “2016-08-16”；发布: “崔鹏”；相关: “张颖、张文宏、许涛”；"
"character/R23","中国","国家","中华人民共和国（People s Republic of China），简称“中国”，成立于1949年10月1日，位于亚洲东部，太平洋西岸，是工人阶级领导的、以工农联盟为基础的人民民主专政的社会主义国家，以五星红旗为国旗、《义勇军进行曲》为国歌，国徽内容为国旗、天安门、齿轮和麦稻穗，通用语言文字是普通话和规范汉字，首都北京，是一个以汉族为主体、56个民族共同组成的统一的多民族国家。中国陆地面积约960万平方千米，东部和南部大陆海岸线1.8万多千米，内海和边海的水域面积约470多万平方千米。海域分布有大小岛屿7600多个，其中台湾岛最大，面积35798平方千米。中国同14国接壤，与8国海上相邻。省级行政区划为23个省、5个自治区、4个直辖市、2个特别行政区。中国是世界上历史最悠久的国家之一，有着光辉灿烂的文化和光荣的革命传统，世界遗产数量全球领先。1949年新中国成立后，进入社会主义革命和建设时期，1956年实现向社会主义过渡，此后社会主义建设在探索中曲折发展。“文化大革命”结束后实行改革开放，沿着中国特色社会主义道路，集中力量进行社会主义现代化建设。经过长期努力，中国特色社会主义进入了新时代。中国是世界上人口最多的发展中国家，国土面积居世界第三位，是世界第二大经济体，并持续成为世界经济增长最大的贡献者，2018年经济总量突破90万亿元。中国坚持独立自主的和平外交政策，是联合国安全理事会常任理事国，也是许多国际组织的重要成员，被认为是潜在超级大国之一。"
"character/R230","结核病诊断技术新进展","文章","发表日期: “2016-06-25”；发布: “王森”；相关: “张文宏”；"
"character/R231","成人急性感染性腹泻治疗新进展","文章","发表日期: “2013-12-25”；发布: “孙峰”；相关: “张文宏”；"
"character/R232","抗结核药物所致肝损伤相关危险因素及临床处置对策","文章","发表日期: “2013-11-10”；发布: “雷建平”；相关: “张文宏、吴雪琼”；"
"character/R233","曾在太和派出所、指挥中心、育文派出所等工作。组建民事纠纷调解小组，创造了辖区连续十年都无重大刑事案件的业绩；曾荣记个人三等功1次、嘉奖6次，荣获先进个人和全盟十佳社区民警等荣誉称号。","事迹",""
"character/R234","曾在太和派出所、指挥中心、育文派出所等地工作。组建民事纠纷调解小组，创造了辖区连续十年都无重大刑事案件的业绩；曾荣记个人三等功1次、嘉奖6次，荣获先进个人和全盟十佳社区民警等荣誉称号。","事迹",""
"baike/R1188","微生物与感染","医学","《微生物与感染》为中华人民共和国教育部主观、复旦大学主办的学术类期刊，于2006年创刊。截至2018年3月，《微生物与感染》拥有国际编委5人、常务编委32人、编委60人。 据2018年10月28日中国知网显示，《微生物与感染》共出版文献1001篇、总被下载118306次、总被引2799次、（2018版）复合影响因子为0.583、（2018版）综合影响因子为0.457。 据2018年10月28日万方数据知识服务平台显示，《微生物与感染》共载文1579篇、被引量为2734、下载量为51929，2015年影响因子为0.594。"
"character/R236","中国感染与化疗杂志","期刊","发表: “《肺炎克雷伯菌肝脓肿70例临床分析》”；"
"baike/R1189","遗传","医学","遗传算法（Genetic Algorithm）是模拟达尔文生物进化论的自然选择和遗传学机理的生物进化过程的计算模型，是一种通过模拟自然进化过程搜索最优解的方法。遗传算法是从代表问题可能潜在的解集的一个种群（population）开始的，而一个种群则由经过基因（gene）编码的一定数目的个体（individual）组成。每个个体实际上是染色体（chromosome）带有特征的实体。染色体作为遗传物质的主要载体，即多个基因的集合，其内部表现（即基因型）是某种基因组合，它决定了个体的形状的外部表现，如黑头发的特征是由染色体中控制这一特征的某种基因组合决定的。因此，在一开始需要实现从表现型到基因型的映射即编码工作。由于仿照基因编码的工作很复杂，我们往往进行简化，如二进制编码，初代种群产生之后，按照适者生存和优胜劣汰的原理，逐代（generation）演化产生出越来越好的近似解，在每一代，根据问题域中个体的适应度（fitness）大小选择（selection）个体，并借助于自然遗传学的遗传算子（genetic operators）进行组合交叉（crossover）和变异（mutation），产生出代表新的解集的种群。这个过程将导致种群像自然进化一样的后生代种群比前代更加适应于环境，末代种群中的最优个体经过解码（decoding），可以作为问题近似最优解。"
"character/R238","中国防痨杂志","期刊","发表: “《抗结核药物所致肝损伤相关危险因素及临床处置对策》”；"
"character/R239","武汉市金银潭医院","机构",""
"character/R24","呼吸病学","领域",""
"character/R240","徐水宝","人物",""
"character/R242","曾文聪","人物","籍贯: “广东省清远市英德市”；事迹: “2018年5月入职，协助民警侦破刑事案件15宗，抓获各类违法犯罪份子85人，制止飙车交通违法行为就有10余起。”；职责: “打击犯罪、巡逻防控、排查隐患、入户宣传调查等”；死亡原因: “过劳”；履历: “广东桥头派出所 辅警”；性别: “男”；死亡时间: “2020-01-26”；出生日期: “”；民族: “汉”；"
"character/R243","杨思宇","人物",""
"character/R244","打击犯罪、巡逻防控、排查隐患、入户宣传调查等","事件",""
"character/R245","翁珊珊","人物",""
"character/R246","广东桥头派出所辅警","履历","摘要: “辅警”；类型: “广东桥头派出所”；"
"character/R247","陈晨","人物",""
"character/R25","北京医学院","学校","文献: “北京”；"
"character/R251","苏莱曼·巴马丁","人物","籍贯: “新疆维吾尔自治区乌恰县”；职责: “疫情一线检查员”；死亡原因: “心肌梗塞”；履历: “乌恰县公安局阿克检查站 副站长”；性别: “男”；死亡时间: “2020-01-25”；民族: “维吾尔”；"
"character/R252","宋英杰","人物","籍贯: “湖北省衡山县”；事迹: “2020年农历大年初一（1月25日）起，加入抗击新型冠状病毒肺炎岳临高速东湖高速路口收费站体温检测排查团队，每天坚持值班，并且负责马迹卫生院仓库医疗物资分发，连续十天九夜奋斗在防控一线。”；职责: “加入抗击新型冠状病毒感染的肺炎岳临高速东湖高速路口收费站体温检测排查团队，每天坚持值班，并且独自负责马迹卫生院仓库医疗物资分发”；死亡原因: “过劳-心源性猝死”；履历: “湖南衡山县东湖镇马迹卫生院药剂组 副组长”；性别: “男”；死亡时间: “2020-02-03”；民族: “汉”；"
"character/R253","胡锋","人物","籍贯: “安徽省枞阳县”；职责: “疫情防控点执勤”；死亡原因: “交通事故”；履历: “安徽省枞阳县公安局特（巡）警大队 辅警”；性别: “男”；死亡时间: “2020-01-26”；出生日期: “1990-04-01”；民族: “汉”；"
"character/R255","乌恰县公安局阿克检查站副站长疫情一线检查员","履历",""
"character/R256","心肌梗塞","事件",""
"character/R257","湖南衡山县东湖镇马迹卫生院药剂组副组长","履历","摘要: “副组长”；类型: “湖南衡山县东湖镇马迹卫生院药剂组”；"
"character/R259","加入抗击新型冠状病毒感染的肺炎岳临高速东湖高速路口收费站体温检测排查团队，每天坚持值班，并且独自负责马迹卫生院仓库医疗物资分发","事件",""
"character/R26","非典战役","战役","研究进展: “重症急性呼吸综合征”；爆发地点: “深圳”；"
"character/R260","疫情防控点执勤","事件",""
"character/R261","交通事故","事件",""
"character/R262","安徽省枞阳县公安局特（巡）警大队辅警","履历","摘要: “辅警”；类型: “安徽省枞阳县公安局特（巡）警大队”；"
"character/R263","在去往县局的路上突发心脏病","事件",""
"character/R304","山东省东明县看守所所长","机构",""
"character/R266","于正洲","人物","籍贯: “山东省临邑县”；职责: “负责按上级要求统筹安排齐鲁交通淄博分公司所辖13个高速公路收费站口的疫情防控工作，配合公安、交通等部门做好车辆的劝返、留观工作，配合卫生健康部门开展防疫检测检查、落实运输物资车辆免费、快捷通行工作。”；死亡原因: “过劳-心源性猝死”；履历: “齐鲁交通发展集团有限公司淄博分公司收费管理部 部长”；性别: “男”；死亡时间: “2020-01-30”；出生日期: “1972-02-01”；民族: “汉”；"
"character/R268","齐鲁交通发展集团有限公司淄博分公司收费管理部部长","履历","摘要: “部长”；类型: “齐鲁交通发展集团有限公司淄博分公司收费管理部”；"
"character/R27","新型冠状病毒战役","战役","研究进展: “新型肺炎”；爆发地点: “武汉”；"
"character/R270","负责按上级要求统筹安排齐鲁交通淄博分公司所辖13个高速公路收费站口的疫情防控工作，配合公安、交通等部门做好车辆的劝返、留观工作，配合卫生健康部门开展防疫检测检查工作","事件",""
"character/R271","负责按上级要求统筹安排齐鲁交通淄博分公司所辖13个高速公路收费站口的疫情防控工作，配合公安、交通等部门做好车辆的劝返、留观工作，配合卫生健康部门开展防疫检测检查、落实运输物资车辆免费、快捷通行工作。","事件",""
"character/R272","梁医生","人物","职责: “接诊新冠病患”；死亡原因: “感染新型冠状病毒”；履历: “武汉亚心总医院 医生”；性别: “男”；死亡时间: “2020-01-25”；出生日期: “”；民族: “汉”；"
"character/R273","毛样洪","人物","籍贯: “福建省南平市”；职责: “驻守高速检查站检测过往车辆乘员体温”；死亡原因: “车祸”；履历: “福建省南平市浦城县仙阳镇中心卫生院 副院长”；性别: “男”；死亡时间: “2020-01-25”；出生日期: “”；民族: “汉”；"
"character/R274","武汉亚心总医院医生","履历","摘要: “医生”；类型: “武汉亚心总医院”；"
"character/R276","福建省南平市浦城县仙阳镇中心卫生院副院长","履历","摘要: “副院长”；类型: “福建省南平市浦城县仙阳镇中心卫生院”；"
"character/R277","驻守高速检查站检测过往车辆乘员体温","事件",""
"character/R278","吴柳","人物",""
"character/R279","车祸","事件",""
"character/R28","2020年1月18日，钟南山从广州赶往武汉。","事件","顺承: “2020年1月20日晚，钟南山院士接受了白岩松采访，提出“它是肯定有人传人的”，拉响全国防控警报。”；所属期刊: “武汉”；"
"character/R280","张洁","人物",""
"character/R281","孙琳","人物",""
"character/R282","樊琴","人物",""
"character/R283","乌恰县公安局阿克检查站副站长","履历","摘要: “副站长”；类型: “乌恰县公安局阿克检查站”；"
"character/R285","疫情一线检查员","事件",""
"character/R287","崔鹏","人物",""
