nodename,nodeclass,describe,properties
"H7N9禽流感","病毒","H7N9型禽流感是一种新型禽流感，于2013年3月底在上海和安徽两地率先发现。H7N9型禽流感是全球首次发现的新亚型流感病毒，尚未纳入我国法定报告传染病监测报告系统，并且至2013年4月初尚未有疫苗推出。被该病毒感染均在早期出现发热等症状，至2013年4月尚未证实此类病毒是否具有人传染人的特性。2013年4月经调查，H7N9禽流感病毒基因来自于东亚地区野鸟和中国上海、浙江、江苏鸡群的基因重配。截至2015年01月10日 ，全国已确诊134人，37人死亡，76人痊愈。病例分布于北京、上海、江苏、浙江、安徽、山东、河南、台湾、福建、东莞、汕尾等地。","中文学名：H7N9型禽流感；外文名：H7N9avian influenza;AI；界：病毒界；命名者及年代：2013年3月31日；发现地点：上海、安徽；症状类型：发热、新亚型流感病毒；死亡人数：23；发现病例：110；防控方案：患者应进行隔离治疗；"
"绍兴","城市","绍兴，浙江省地级市。位于浙江省中北部、杭州湾南岸，是具有江南水乡特色的文化和生态旅游城市 、长三角城市群重要城市、环杭州湾大湾区核心城市 、杭州都市圈副中心城市 。东连宁波市，南临台州市和金华市，西接杭州市，北隔钱塘江与嘉兴市相望，位于东经119°53′03 至121°13′38 、北纬29°13′35 至30°17′30 之间，属于亚热带季风气候，温暖湿润，四季分明。全市面积为8274.79平方千米，东西跨度130.68千米，南北跨度119.83千米 ，市辖区总面积2942平方公里，人口216.1万 。绍兴已有2500多年建城史 ，是首批国家历史文化名城、联合国人居奖城市，中国优秀旅游城市，国家森林城市，中国民营经济最具活力城市，也是著名的水乡、桥乡、酒乡、书法之乡、名士之乡。绍兴素称“文物之邦、鱼米之乡”。著名的文化古迹有兰亭、禹陵、鲁迅故里、沈园、柯岩、蔡元培故居、周恩来祖居、秋瑾故居、马寅初故居、王羲之故居、贺知章故居等。2017年，绍兴市复查确认继续保留全国文明城市荣誉称号。 2017年中国地级市全面小康指数排名第16 。2018年12月，被评为中国大陆最佳地级城市第7名， 中国创新力最强的30个城市之一。","中文名：绍兴；外文名：Shaoxing City；别称：会稽、山阴、越州；所属地区：中国华东；面积：8274.79平方千米；人口：501万人（2017年）；GDP：5108.04亿元 （2017年）；地理位置：浙江省北部，杭州湾畔；著名景点：沈园、禹陵、鲁迅故里等；机场：杭州萧山国际机场；电话区码：（+86）0575；政府驻地：绍兴市越城区曲屯路286号；火车站：绍兴站、绍兴北站、绍兴东站、诸暨站、上虞站等；行政类别：地级市；地方方言：吴语—太湖片—临绍小片—绍兴话；著名学校：绍兴文理学院等；车牌代码：浙D；气候条件：亚热带季风气候；市长：盛阅春；下辖区域：3区、1县、2县级市；市 花：兰花；邮政区码：312000；高教园区：镜湖大学城、城南大学城；港 口：绍兴港、上虞港；行政代码：330600；市委书记：马卫光；"
"党支部书记","职务","党支部书记是中国共产党基层组织负责人之一，是中国共产党支部委员会（党支部）的主要负责人。党支部书记在支部委员会的集体领导下，按照党员大会、支部委员会的决议，负责主持党支部的日常工作。党支部书记是党的最基层组织的领头人，党支部书记是党支部一班人的“班长”，其个人品质、才能、工作方法对党员、群众的凝聚力起着重要作用，既要言传更要身教。村党支部书记简称为村支书，村主任一般为党支部副书记。","属性：党内职务；党派：中国共产党；"
"主任","职务","主任（zhǔ rèn）：职位名称。机构或部门的主要负责人。如：系主任、班主任、办公室主任（办公厅主任）、计委主任、居民委员会主任（村主任）。","名称：主任；拼音：zhǔ rèn；释义：职位名称；外文名称：director head;chairman；来源：《新观察》；"
"上海","城市","上海市，简称沪，是中国4个直辖市之一，是中国经济、金融、贸易、航运、科技创新中心。上海位于中国华东地区，界于东经120°52′-122°12′，北纬30°40′-31°53′之间，地处长江入海口，东隔东中国海与韩国济州岛、日本九州岛相望，南濒杭州湾，北、西与江苏、浙江两省相接，上海市总面积6340.5平方公里，共辖16个市辖区。截止2019年6月，全市辖105个街道、107个镇、2个乡，合计214个乡级区划。春秋战国时期，上海是楚国春申君黄歇的封邑，故别称申。四、五世纪晋朝时期，因渔民创造捕鱼工具“扈”，江流入海处称“渎”，因此松江下游一带称为“扈渎”，以后又改“沪”，故上海简称“沪”。上海被GaWC发布的2018年世界城市体系排名评为“世界一线城市”。上海在科尔尼发布的2019年全球城市综合排名中排名世界第19位，中国第3位。在2019年全球城市营商环境指数暨百强城市排行榜中，上海排名世界第48位，中国第4位。2019年10月31日，上海入选首批5G商用城市名单。2019年，上海市生产总值（GDP）38155.32亿元，按可比价格计算，比上年增长6%。2019年12月15日，荣登年度中国城市品牌前10强。2020年3月12日，上海2019年GDP排名前十的首位。","中文名：上海；外文名：Shanghai；别称：申城、魔都、沪上、东方巴黎；所属地区：中国 华东；面积：6340.5平方千米（2017年）；人口：2418.33万（2017年常住人口）；地理位置：长江入海口南岸，东海之滨；著名景点：外滩、豫园、南京路、人民广场、静安寺、新天地、迪士尼乐园等；市花、市树：法国梧桐、白玉兰；地域名人：胡适、顾维钧、厉麟似、张爱玲等；机场：上海虹桥国际机场、上海浦东国际机场；电话区码：021；政府驻地：上海市黄浦区人民大道200号；火车站：上海站、上海南站、上海虹桥站、上海西站等；行政类别：直辖市；地方方言：吴语-太湖片-苏沪嘉小片-上海话；著名学校：复旦、交大、同济、华师、东华等；车牌代码：沪A －沪N；地区生产总值：30133.86亿元（2017年）；人类发展指数：0.852（极高，2014年）；城市精神：海纳百川、追求卓越；气候条件：亚热带季风气候；市长：应勇（中共中央委员）；邮政编码：200000；下辖区域：16个市辖区；人均生产总值：124606元（2017年）；人均支配收入：58988元（2017年）；消费品零售额：11830.27亿元（2017年）；住户存款总额：25112.99亿元（2016年）；市委书记：李强（中共中央政治局委员）；行政代码：310000；城市简称：沪、申；"
"李艳华","人物","李艳华，女，北京大学工商管理硕士（MBA）。现任泰康人寿保险股份有限公司副总裁兼泰康养老保险股份有限公司执行董事、首席执行官、总经理。","中文名：李艳华；性别：女；国籍：中国；职业：泰康人寿保险股份有限公司副总裁；毕业院校：北京大学；"
"高等教育出版社","机构","高等教育出版社创立于1954年5月18日的北京，是中华人民共和国教育部所属的出版全国高等教育、职业技术教育和成人教育教材的综合性的大型出版社。1983年，党和国家领导人邓小平同志亲自为高等教育出版社题写了社名。目前，高等教育出版社已成为具备多学科、多类型、多层次、多品种、多媒体形式出版能力。","中文名称：高等教育出版社；外文名：Higher Education Press；创建时间：1954年5月18日；类型：大型出版社；题 名：邓小平；"
"杭州","城市","杭州，简称“杭”，是浙江省省会、副省级市、杭州都市圈核心城市，国务院批复确定的浙江省省会和全省经济、文化、科教中心，长江三角洲中心城市之一。截至2018年，杭州下辖10个区、2个县、代管1个县级市，总面积16853.57平方千米，建成区面积559.2平方千米 ，常住人口980.6万人，城镇人口759.0万人，城镇化率77.4%。杭州位于中国东南沿海、浙江省北部、钱塘江下游、京杭大运河南端，是环杭州湾大湾区核心城市 、沪嘉杭G60科创走廊中心城市 、国际重要的电子商务中心 。杭州人文古迹众多，西湖及其周边有大量的自然及人文景观遗迹，具代表性的有西湖文化、良渚文化、丝绸文化、茶文化，以及流传下来的许多故事传说成为杭州文化代表。杭州自秦朝设县治以来已有2200多年的历史，曾是吴越国和南宋的都城。因风景秀丽，素有“人间天堂”的美誉。杭州得益于京杭运河和通商口岸的便利，以及自身发达的丝绸和粮食产业，历史上曾是重要的商业集散中心。后来依托沪杭铁路等铁路线路的通车以及上海在进出口贸易方面的带动，轻工业发展迅速。新世纪以来，随着阿里巴巴等高科技企业的带动，互联网经济成为杭州新的经济增长点。2018年世界短池游泳锦标赛、2022年亚运会在杭州举办。2018年1月，杭州入选首批社会信用体系建设示范城市。2017年中国百强城市排行榜排第7位。","中文名：暨军民；人均生产总值：132617元（2017年）；近代名人：钱学森、章太炎、厉麟似、夏衍等；当代名人：马云、厉声教、宗庆后、孙杨等；行政代码：330100；"
"刘大庆","人物","刘大庆，籍贯山东，1964年01月出生，博士（导师：田麦久教授），运动训练学专业，博士生导师。现任国家体育总局社会体育指导中心党委书记、副主任。","中文名：刘大庆；性别：男；出生日期：1964年1月；国籍：中国；籍贯：山东；毕业院校：北京体育学院（现北京体育大学）；主要成就：获得总局科技公关服务二等奖1项、总局科技进步奖2项；职位：社会体育指导中心党委书记、副主任；"
"何建华","人物","何建华，男，祖籍浙江省富阳市，出生地浙江省桐庐县，法学本科， 现任浙江省桐庐县人民法院审判委员会专职委员。2007年通过全国统一司法考试获得法律职业资格证书。四级高级法官，杭州市法学会会员，中国法学会会员，浙江省高级人民法院第一期、第二期人才库成员（现为第2期），杭州市法学会专家人才库成员。2016年12月遴选为员额法官 。","中文名：何建华；性别：男；出生地：浙江省桐庐县；民族：汉族；国籍：中国；职业：法律人；毕业院校：北京大学；代表作品：《国家工作人员职务犯罪案件异地管辖问题研究》、《刑事证人出庭作证制度研究》；所获荣誉：荣立个人三等功、个人二等功；学位/学历：杭州市学习成才十佳标兵。；"
"辅警","职业","辅警（警务辅助人员）是指根据社会治安形势发展和公安工作实际需要，由县级以上地方人民政府或者公安机关采取向社会力量购买服务、依法签订劳动合同或聘用合同等方式招聘使用，相关经费列入本级财政预算予以保障，参照《公安机关人民警察纪律条令》管理，为公安机关日常运转和警务活动提供辅助支持的非人民警察身份人员。","中文名：辅警；外文名：Auxiliary police；别称：警务辅助人员；分类：勤务辅警、文职辅警；性质：编外型公职人员；起源：海洋法系；责任：辅助公安机关日常运转和警务活动；装备：基本的警械如警棍等；来源：本地市民和部分外来人口；任期：合同制；改革：公安辅警改革十大建言；"
"张文宏","人物","张文宏，男，现为上海市医疗救治专家组组长，复旦大学附属华山医院感染科主任、博士生导师，兼上海市肝病研究所副所长，上海感染病学会候任主任委员，中华医学会感染病学分会常委。主任医师、教授、医学博士。毕业于上海医科大学临床医学专业，长期在复旦大学附属华山医院从事感染病与肝病专业的临床研究。曾在哈佛大学医学院、美国伊利诺伊州立大学微生物与免疫系和香港大学微生物系做博士后和访问学者。主要从事感染性疾病的临床与科研，包括不明原因发热，各种疑难感染性疾病的查因与诊治，包括难治性细菌感染、结核等分枝杆菌感染、真菌感染以及寄生虫感染的诊治。","中文名：张文宏；性别：男；职位：主任医师，博士生导师；科室：感染科；国籍：中国；毕业院校：上海医科大学；出生地：浙江省温州市瑞安；专业：医学系医学专业；"
"上海医科大学","大学","复旦大学上海医学院始建于1927年，创立时名为国立第四中山大学医学院，是中国创办的第一所国立大学医学院。1928年5月更名为国立中央大学医学院，1932年独立为国立上海医学院，为当时中国唯一的国立医学院。1939年，抗战爆发后，学院内迁至云南昆明；1940年辗转迁至四川重庆。1946年，抗战胜利，学院迁回上海。1952年，更名为上海第一医学院。1959年，被定为全国16所重点高等学府之一。1985年，更名为上海医科大学。2000年，上海医科大学和复旦大学合并办学，组建成为新的复旦大学。2012年，新的上海医学院成立，作为复旦大学党政的派出机构，根据学校的授权，在大医口的人才培养、科学研究、学科建设、发展规划、资源配置、对外交流等方面，行使相对独立的管理权限。2018年12月21日，教育部、国家卫生健康委员会、上海市人民政府正式签约，在保持体制不变的原则上，共建托管复旦大学上海医学院及其直属附属医院。2019年6月14日，复旦大学上海医学院高水平地方高校试点建设正式启动。据2019年12月学院官网显示，学院有直属院系所9个，附属医院17所（含筹）。设有本科专业9个，高职专业1个。有博士学位授予权的一级学科9个，设有博士后科研流动站8个。有博士研究生2487人，硕士研究生2 637人，普通本科生3810人，专科生279人。有一级学科国家重点学科3个，二级学科国家重点学科12个。有国家重点实验室1个，教育部重点实验室5个，国家卫健委重点实验室9个，上海市重点实验室9个。","中文名：复旦大学上海医学院；外文名：Shanghai Medical College Of Fudan University；别称：SMCFU；创办时间：1927；学校类别：公立大学；学校类型：医科；学校属性：985工程、211工程 双一流；所属地区：上海；现任校长：桂永浩；主要院系：基础医学院、药学院、公共卫生学院；学校地址：上海市徐汇区；占地面积：19.2万平方米；院训：正谊明道；气候类型：温带季风气候；"
"脑出血","疾病","脑出血（cerebral hemorrhage）是指非外伤性脑实质内血管破裂引起的出血，占全部脑卒中的20%～30%，急性期病死率为30%～40%。发生的原因主要与脑血管的病变有关，即与高血脂、糖尿病、高血压、血管的老化、吸烟等密切相关。脑出血的患者往往由于情绪激动、费劲用力时突然发病，早期死亡率很高，幸存者中多数留有不同程度的运动障碍、认知障碍、言语吞咽障碍等后遗症。","中文名：脑出血；外文名：cerebral hemorrhage；别名：脑溢血；传染病：否；临床表现：一般症状有头痛、呕吐、嗜睡和昏迷等；疫苗预防：否；就诊科室：内科；发病部位：大脑；相关检查：脑脊液检查丶血常规，尿常规和血糖丶神经影像学检查；是否遗传：否；确诊依据：体力活动或情绪激动时突然发病，有头痛，呕吐，意识障碍等症状；常见病因：高血压合并小动脉硬化，微动脉瘤或者微血管瘤破裂；多发群体：中老年人、高血压病人、脑血管畸形者；能否治愈：是；是否复发：是；是否住院：是；"
"脑溢血","疾病","脑出血（cerebral hemorrhage）是指非外伤性脑实质内血管破裂引起的出血，占全部脑卒中的20%～30%，急性期病死率为30%～40%。发生的原因主要与脑血管的病变有关，即与高血脂、糖尿病、高血压、血管的老化、吸烟等密切相关。脑出血的患者往往由于情绪激动、费劲用力时突然发病，早期死亡率很高，幸存者中多数留有不同程度的运动障碍、认知障碍、言语吞咽障碍等后遗症。","中文名：脑出血；外文名：cerebral hemorrhage；别名：脑溢血；传染病：否；临床表现：一般症状有头痛、呕吐、嗜睡和昏迷等；疫苗预防：否；就诊科室：内科；发病部位：大脑；相关检查：脑脊液检查丶血常规，尿常规和血糖丶神经影像学检查；是否遗传：否；确诊依据：体力活动或情绪激动时突然发病，有头痛，呕吐，意识障碍等症状；常见病因：高血压合并小动脉硬化，微动脉瘤或者微血管瘤破裂；多发群体：中老年人、高血压病人、脑血管畸形者；能否治愈：是；是否复发：是；是否住院：是；"
"李文亮","人物","李文亮（1985年-2020年2月7日），男，籍贯辽宁省锦州市北镇市，武汉大学临床医学七年制专业毕业。武汉市中心医院眼科医生。李文亮因最早于2019年12月30日向外界发出防护预警，而被称为疫情“吹哨人”。 2020年2月6日，经《中国新闻周刊》核实，武汉市中心医院眼科医生李文亮病危仍在ICU抢救。《中国新闻周刊》于2月6日21时24分第一次打通武汉市中心医院重症监护室电话时，对方说正在抢救，直到23时56分最后一次致电，仍在抢救中。武汉协和医院一名医生表示，李文亮于2月6日21时30分左右停止心跳，但用上了ECMO（人工膜肺）进行抢救。2020年2月7日凌晨2点58分，武汉中心医院官博发布消息，李文亮在抗击新型冠状病毒感染的肺炎疫情工作中不幸感染，经全力抢救无效去世。","中文名：李文亮；出生日期：1985年；性别：男；地区：湖北省武汉市；行业：医疗行业；任职机构：武汉市中心医院；职业：医生；籍贯：辽宁省锦州市；去世日期：2020年2月7日；"
"武汉大学","大学","武汉大学（Wuhan University），简称“武大”，是由中华人民共和国教育部直属的全国重点大学，是国家首批“双一流”建设高校，985工程、211工程重点建设高校；入选2011计划、111计划、珠峰计划、卓越医生教育培养计划、卓越法律人才教育培养计划、卓越工程师教育培养计划、新工科研究与实践项目、国家级大学生创新创业训练计划、国家大学生创新性实验计划、国家建设高水平大学公派研究生项目、全国深化创新创业教育改革示范高校、中国政府奖学金来华留学生接收院校、首批学位授权自主审核高校。武汉大学溯源于1893年湖广总督张之洞在武昌创办的自强学堂，历经传承演变，1928年定名国立武汉大学，1949年更为现名。2000年，武汉大学与武汉水利电力大学、武汉测绘科技大学、湖北医科大学合并组建新的武汉大学。据2019年6月学校官网显示，学校占地面积5195亩，建筑面积266万平方米，设有34个学院（系），开设123个本科专业，拥有5个国家重点一级学科、17个国家重点二级学科、6个国家重点（培育）学科、46个一级学科具有博士学位授予权、57个一级学科具有硕士学位授予权、42个博士后流动站、设有三所三级甲等附属医院，有专任教师3700余人，有普通本科生29405人，硕士研究生19699人，博士研究生7163人，另有外国留学生2453人。 武汉大学位列2020QS世界大学排名第257位。2020年1月19日，入选教育部师德师风建设基地。","中文名：武汉大学；外文名：Wuhan University（WHU）；别称：武大（WHU）；创办时间：1893年；学校类别：公立大学；学校类型：综合；学校属性：985工程、211工程、七校联合办学；所属地区：中国湖北武汉；现任校长：窦贤康；知名校友：辜鸿铭，竺可桢，章伯钧，闻一多、郁达夫、叶圣陶，李达，李四光，孙叔平，张培刚，刘道玉，陈东升，雷军等；主管部门：中华人民共和国教育部；硕士点：347个；博士点：250个；博士后流动站：科研流动站42个；校训：自强 弘毅 求是 拓新；校歌：《武汉大学校歌》；专职院士：中国科学院院士10、中国工程院院士10（含双聘）、欧亚科学院院士3；主要院系：经管学院、法学院、生科学院、测绘学院；国家重点学科：一级学科5个、二级学科46个；学校地址：武汉市武昌区珞珈山；学校代码：10486；主要奖项：《泰晤士报》全球CEO母校排名世界第七、国家自然科学奖、国家发明奖、国家科技进步奖69项、获评第一届全国文明校园；创办人：张之洞；现任领导：党委书记韩进；本科专业：126个；校庆日：11月29日；实验室：5个国家重点实验室；人文资深教：授8；首席科学家：22；长江学者：46；发展定位：世界一流大学；开放时间：全天；票价：免费；类别：主题体验；"
"眼科医生","医学术语","眼科医生（eye doctor）可细分为眼科医师（ophthalmologist）和视光医师（optometrist）， 前者主要进行眼部疾病的详细诊断和治疗，后者主要进行眼部基本检查、眼病初步诊治、复杂眼屈光和双眼视觉问题的处理。","中文名：眼科医生；外文名：eye doctor；分类：眼科医师、视光医师；工作内容：眼部疾病的详细诊断；工作地点：医院；"
"武汉市中心医院","医院","武汉市中心医院位于湖北省武汉市江岸区胜利街26号，始建于1880年，占地面积47283平方米，建筑总面积近10万平方米，是一所集医疗、科研、教学、预防、培训为一体的大型现代化三级甲等医院，是湖北省、武汉市医保和新农合定点医院。","中文名称：武汉市中心医院；外文名：The Central Hospital Of Wuhan；医院性质：国营；所在地区：湖北省武汉市；建院年份：1880年；医院类型：综合医院；医院等级：三级甲等；是否医保：是；联系地址：江汉区姑嫂树路14号；特色专科：血液科，内分泌科，神经科，妇科，产科，肿瘤科，心脏外科；医保：居民医保；主管部门：武汉市卫生健康委员会；"
"李兰娟","人物","李兰娟，女，感染病（传染病）学家、中国人工肝开拓者、国家传染病重点学科带头人，中国工程院院士，浙江大学医学部教授、博士生导师，浙江大学附属第一医院主任医师、传染病诊治国家重点实验室主任、国家卫健委高级别专家组成员。主要从事传染病临床、科研和教学工作，擅长各类肝炎、感染性疾病、新发突发传染病诊治，尤其是肝衰竭、病毒性肝炎、肝病微生态研究。1947年9月13日李兰娟出生于浙江绍兴，1973年毕业于浙江医科大学医学系，毕业后在浙江医科大学附属第一医院担任主治医师。1993年至1996年，担任浙江医科大学附属第一医院副院长，1996年至2007年先后担任卫生部传染病重点实验室副主任、主任，1998年至2008年担任浙江省卫生厅厅长、党组书记。2005年当选为中国工程院院士，2014年获得何梁何利基金科学与技术进步奖，2016年获得第十一届光华工程科技奖。","中文名：李兰娟；出生日期：1947年9月13日；性别：女；出生地：浙江绍兴；民族：汉族；国籍：中国；职业：教学科研工作者 感染病专家；毕业院校：浙江医科大学（现浙江大学医学院）；政党：中国共产党；代表作品：《传染病学》、《感染病学》、《人感染H7N9禽流感》；主要成就：2005年当选中国工程院院士；所获荣誉：2017度国家科学技术进步奖特等奖；任职机构：浙江大学附属第一医院；籍贯：浙江绍兴；"
"张定宇","人物","张定宇，男，汉族，1963年12月出生，湖北省武汉人。毕业于华中科技大学同济医学院（原同济医科大学医疗系，1981级同济院友），在职研究生学历、临床医学博士、主任医师。1986年7月参加工作，2003年6月加入中国共产党。现任湖北省武汉市金银潭医院党委副书记、院长。2008年原湖北省卫生厅授予“抗震救灾医药卫生先进个人”、2017年原国家卫生计生委授予“2016—2017流行季H7N9防控工作先进个人”荣誉称号等；2020年2月26日，成为拟推荐2020年全国劳动模范和全国先进工作者候选人。","中文名：张定宇；出生日期：1963年12月；性别：男；民族：汉族；国籍：中国；政党：中国共产党；任职机构：湖北省武汉市金银潭医院；"
"钟南山","人物","钟南山，福建厦门人，1936年10月生，中国工程院院士，著名呼吸病学专家，中国抗击非典型肺炎的领军人物，曾任广州医学院院长、党委书记，广州市呼吸疾病研究所所长、广州呼吸疾病国家重点实验室主任、广州医科大学附属第一医院国家呼吸系统疾病临床医学研究中心主任、广东省老科学技术工作者协会会长。钟南山出生于医学世家；1960年毕业于北京医学院（今北京大学医学部）；2007年获英国爱丁堡大学荣誉博士；2007年10月任呼吸疾病国家重点实验室主任；2014年获香港中文大学荣誉理学博士。钟南山长期从事呼吸内科的医疗、教学、科研工作。重点开展哮喘，慢阻肺疾病，呼吸衰竭和呼吸系统常见疾病的规范化诊疗、疑难病、少见病和呼吸危重症监护与救治等方面的研究。现任国家卫健委高级别专家组组长。","中文名：钟南山；出生日期：1936年10月；性别：男；出生地：江苏南京；民族：汉族；国籍：中国；职业：著名呼吸病学专家；毕业院校：教育科研工作者；政党：北京医学院；主要成就：中国共产党；籍贯：中国工程院院士（1996年当选）；专业方向：中国全国先进工作者（1995年、2003年）；职务：第十一届光华工程科技奖成就奖；"
"微生物与感染","书籍","《微生物与感染》为中华人民共和国教育部主观、复旦大学主办的学术类期刊，于2006年创刊。截至2018年3月，《微生物与感染》拥有国际编委5人、常务编委32人、编委60人。 据2018年10月28日中国知网显示，《微生物与感染》共出版文献1001篇、总被下载118306次、总被引2799次、（2018版）复合影响因子为0.583、（2018版）综合影响因子为0.457。 据2018年10月28日万方数据知识服务平台显示，《微生物与感染》共载文1579篇、被引量为2734、下载量为51929，2015年影响因子为0.594。","名称：微生物与感染；"
