质子弹,【#美主持人要求中国为新冠病毒道歉#自说自话荒谬至极搭档当场打断
翻滚吧婉婉,:我憋到今天实在忍不住说两句了我在中国人眼里可能就是个奇葩因为我现在在荷兰也快五年了我整个人的思想系统已经不同了疫情在荷兰爆发了现在有20多例但是荷兰政府呼吁不要戴口罩因为1是口罩资源少不想造成疯抢需要把资源留给医护人员2是西方人认为戴口罩是自己生病不想传染给别人所以不生病的人不戴口罩我们是觉得戴口罩怕别人把病传染给自己戴口罩是保护自己思维的出发点不一样所以即使是现在在疫情爆发的情况下在街上戴口罩警察看见也会要你出示家庭医生给开的证明3是荷兰有法律规定不可以蒙面我妈着急问我戴口罩没有我说没戴荷兰政府已经采取措施了把病患都隔离了和病患接触过的人都进行了检查我妈就骂我说我让她担心不戴口罩大骂荷兰政府没有道义叫我买张机票回云南去云南已经没有病例了我真的汗颜我不知道怎么去解释他们根本就不懂我的想法是我不是不怕病毒不是不怕死只是不必要过于恐慌出门回家勤洗手多注意卫生少去人多地方不坐公共交通工具我也不是盲目相信荷兰政府到跟着他们说的做或者模仿西方人的做法然后让自己在中国人眼里变成奇葩只是我自己有自己的思考能力我不愿意跟风去做大家都觉得对的事我觉得要是对我所在地方没有信心也不入乡随俗那我何必在荷兰呆着要是荷兰如此不堪那这几年我出国留学又为的是什么？我以后怎么热爱这个地方？我怎么开心生活下去（不是自己骗自己的那种开心不要杠我）我很多中国朋友责怪荷兰政府不封所学校不封城他们在有一例病患时候就大量囤食物认为荷兰医疗系统很糟糕生病到时候没有床位我只有心里笑笑觉得很遗憾她们这样想我作为有自己生意的人我不希望封城封了我怎么运作自己的生意荷兰政府也不是傻他们不会这么做是因为考虑到经济因素造成的经济损失是不可估量的那么人民的生计重担也需要政府买单所以政府不轻易下达一些和国内不同的命令但是不代表不关心人民不代表没有作为是方式不同我知道可怜天下父母心我父母是出于关心我但我也想要被理解一些话我不知道上哪说我憋得慌所以我发出来了不需要任何人的认同生活在不一样的环境有不一样的思维模式所得出的结论是不一样的只是很无力不知道如何跟父母解释这其中不同我只好撒谎说嗯我戴着口罩了我“保护”自己了说真的我不是不怕死我怕死我怕被感染上病毒但是这个病毒压根不可防我何必过于惊慌做好自己勇敢面对就算真的感染上了退一万步讲致死率也不高每年普通流感致死率比这个还高死亡的基本上是有并发症的我身体健康我不如勇敢面对对了要来杠我武汉死亡的人也有年轻人我可以先替你说了那是因为大家集中在同一个地方交叉感染导致所以这是为啥荷兰政府呼吁轻症感染在家隔离重症在医院隔离因为轻症也去医院会被重症交叉感染然后加重病情疫情我一直在关注其中的很多东西不方便清清楚楚的说总之希望大家都平安健康安全度过这个时期
玫瑰君子-,:#英国禁止两家公司口罩广告#可能他们觉得新冠病没有流感严重，而且病毒致死率低，每年也有很多人死于流感，他们认为口罩使用不当反而适得其反
YH19986113,:伊朗真是多事之秋，高级将领被美国斩首，大型客机被自己击落，国内反政府动乱，几个高官被病毒感染。新冠致死率全球最高…
量z的世界我不懂,:世界卫生组织(WHO)总干事谭德赛周二表示，在确诊的新冠病毒感染病例中，约3.4%的人死亡，远远高于季节性流感不到1%的致死率。世卫组织总干事说，但这种新型冠状病毒是可以控制的。
翻滚的吱吱星人,日本人说连药都可以不吃，会自愈的。美国人说，连口罩都不用戴，流感比这个严重多了。世界很淡定，因为他们能接受1%的死亡率。【日本公布新冠治疗方案：不满50岁患者多能自愈，未必要用抗病毒药】3月2日，据日本共同社报道，日本感染症学会日前公布了新型冠状病毒疾病治疗方案，其中主张，由于不满50岁的患者多数能够自愈，不一定需要用抗病毒药进行治疗，仅采取对症疗法等持续观察即可。（中新社）
月圆鸟惊心,几乎一天时间里，美国又出现了4例新冠病毒死亡病例。——博文片段来自宁灵：美国新冠疫情爆雷与谜底美国新冠疫情爆雷与谜底
XXXLLMs,COVID-19疫情，3月4日据韩国中央防疫对策本部，从当日0000到下午1600，新增感染者293人，韩国感染者总数升至5621人。死者增1人，升至33人。此外，由于口罩货源不足，据韩国关税厅，从2月26日对口罩和手指清洁剂采取紧急供给调整措施后，到3月4日通关出口的口罩只有777枚。出口申请从措施公布前的100万枚/天，降至1万枚/天，不过能进行通关手续的大致没有，实际上已经“禁止出口”。
省略豆家的非酋本酋,【#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。对不同亚型的深入了解，将有助于新冠肺炎的差异化的治疗和防控。以上研究来自中国科学院主办的《国家科学评论》于3月3日发表的论文《关于SARS-CoV-2的起源和持续进化》。论文通讯作者为陆剑研究员（北京大学生命科学学院生物信息中心）、崔杰研究员（中国科学院上海巴斯德研究所）。http://t.cn/A67Wwyzc
阿喀琉斯和星辰,昨天晚上，在德国医院读博的同学和我打电话吐槽。她给我吐槽了一大堆槽，例如：1、欧洲有个反蒙面法，很多地方买医用口罩需要开证明。2、亚裔+戴着口罩上街，如果碰上种族主义者，可能会被殴打。3、欧美人就不爱戴口罩，和医院医生护士住一栋楼搞得她躲都没地方躲。4、国境边界没关，她平时买菜都去荷兰买，鬼知道每天都跑进来哪里的人，希腊那边还在扛中东非法移民。5、德国一边让民众不要恐慌，但是医生护士私下里都在囤口罩，毕竟德国口罩也不够用。6、拜外媒传统艺能所赐，欧美（及日韩）民众普遍认为，中国隐瞒了大量死亡数字——但是相对的，他们又认为这个病不厉害，所以不怎么需要戴口罩。我问我同学，它们是如何做到，一边相信中国国内死了非常多人，一边又认为这个病不够厉害的？同学说，如果这问题有解，我就不用在家躺尸了。我们吐槽这么多不是为了比烂，也不是为了自豪，只是说明我们俩都很累。我们俩都知晓，这个星球上的沙比是根本不能被过滤掉的事实，但是又打心眼里想去一个沙比浓度稍微低一点的地方安静地躺尸，仅此而已。
可爱的海盗船长captain,:世界卫生组织上修新冠肺炎死亡率至3.4%。世界卫生组织干事长谭德塞3日表示，全球新冠肺炎致死率是3.4%，高于先前估计的2%，至于季节性流感的致死率则往往不到1%。世卫组织上周曾经表示，新冠肺炎依据医疗保健系统的质量，死亡率从0.7%到4%，爆发初期专家则预估大约是2.3%。
雪峰论市,:世界卫生组织上修新冠肺炎死亡率至3.4%世界卫生组织干事长谭德塞3日表示，全球新冠肺炎致死率是3.4%，高于先前估计的2%，至于季节性流感的致死率则往往不到1%。世卫组织上周曾经表示，新冠肺炎依据医疗保健系统的质量，死亡率从0.7%到4%，爆发初期专家则预估大约是2.3%。报道还指出，谭德塞称新冠肺炎是独特的，与流感不同，目前专家仍然处于未知的领域。世卫组织紧急事件规划执行主任瑞恩(MikeRyan)表示，新冠肺炎没有疫苗及治疗药物，不完全了解传播途径和死亡率，但是与流感不同，目前各国都在努力抗疫，已经明显看到疫情受到抑制。
实投记,:【新冠病毒致死率远高于流感但该病毒是可控的--WHO总干事谭德赛】世界卫生组织(WHO)总干事谭德赛周二表示，在确诊的新冠病毒感染病例中，约3.4%的人死亡，远远高于季节性流感不到1%的致死率，但这种新型冠状病毒是可以控制的。谭德赛在日内瓦新闻发布会上说:“总之，新冠病毒传播的效率比流感低，传播似乎不是由没有症状的人驱动的，它导致的疾病比流感更严重，目前还没有任何疫苗或治疗办法，但它是可以控制的。”谭德赛说，他已经和国际奥委会主席巴赫就定于7月开幕的2020年东京奥运会进行了交流。他说:“我认为现在做决定还为时过早，最好还是监控一下形势。”(完)
牛奶予农_n,:#中国境外日新增确诊病例连续3天超中国#地球很大，却也很小。如果新冠病毒的特性不减弱，按照现在的指数上涨的传播速度，各国不够重视，而且研制疫苗需要很长时间，全球疫区以及是必然了。新冠病毒传播能力简直离谱，国内学者参照管控强度后给出的R0是6.3，初始致死率不高，但是高危致死率50%，症状和流感很像，至今不清楚美国掩盖在流感疫情下的新冠病毒实际感染死亡人数。日本、韩国、意大利，各国民众的麻痹大意的心态，会让事态无法挽回。国内封城和超强管控已经控制住了局面，但是国外重视的国家并不多，注意防国外输入已经是不可避免的长期工作。新冠病毒形成的全球性的重大灾难，防疫不利的国家会产生全面的社会问题，中国在保证自身需求之后，也需要不断将防护物资供应全世界。疫情之战远没有结束，在世界范围才刚刚开始，显然要做好全面、长期的战斗准备。http://t.cn/A67M0LzQ
野渡寄余生,【中国科研团队：#新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。对不同亚型的深入了解，将有助于新冠肺炎的差异化的治疗和防控。以上研究来自中国科学院主办的《国家科学评论》（NationalScienceReview）于3月3日发表的论文《关于SARS-CoV-2的起源和持续进化》（OntheoriginandcontinuingevolutionofSARS-CoV-2）。@澎湃新闻http://t.cn/A67WZNBM
暗夜之狐,:最新！新冠病毒已突变！有2个亚型，传染力有差异！中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。传染性变强，致死率变弱，是宏观上病毒变异的方向。#新冠病毒#http://t.cn/A67W1EuZ
我是你大哥晕车药,:#中国科研团队发现新冠病毒已突变#新冠病毒演化出了两个亚型，分别是L亚型和S亚型。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。病毒突变也一定会给人类防治造成影响，因为突变的病毒传染性更强，制作疫苗就更难了。病毒突变其实更不利于病毒的生存，专家曾说过病毒致死率过高其实并不利于病毒本身的生存，病毒若是要长期存在就会做出妥协，可能会变成慢性病和人类共存。还是那句话，相信国家，相信科研工作者，相信医学工作者，相信我们的同胞，我们要做的是保护好自己，戴口罩。
手机用户3294852830农农,:《【世卫组织：全球新型冠状病毒的致死率约3.4％】3月4日，世界卫生组织总干事谭德塞在日内瓦举》生命时报在百度动态发表了新动态http://t.cn/A67WphMg
冰可西林,:病毒本身是很成功的病毒了....传播，复制能力太强！病毒特性，致死率有震慑力又还不到让你绝望，我们也像白细胞，为了对付它做出了巨大牺牲....一系列的牵连，影响甚至会改变很多人的人生轨迹！不知什么时候才能恢复。很疲惫！🥺国际上更是完全看不出会怎么发展！还会有多少人感染！病毒会朝怎样的方向变异，药物，疫苗的等待时间都有不确定性....但所有生命体都是，太过安逸只会倦怠机能，消磨意志，危机中也蕴含了新的可转换能量，更快速的进步，或淘汰...随机应变，适者生存，好好工作！好好生活！
Tsihsien,【中国科研团队：#新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：#新冠病毒已产生149个突变点#，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。（澎湃新闻）
靠边骑士,:【世卫组织专家TED演讲：对战致死率高达90%的埃博拉病毒，我们学到了什么？】WHO埃博拉应对特别代表BruceAylward回顾了西非埃博拉疫情爆发的过程，疫区的情况及各方努力，并分享了制胜四大关键性战略。Aylward强调，埃博拉病毒威胁着我们的人性，我们并未赢得对埃博拉病毒的斗争，但是如果我们做正确的事情，就能更乐观地看待我们反击流行病的能力。希望这些经验，能给我们以启示，在灾难面前，少些人祸，多些人性！#中国科研团队发现新冠病毒已突变#http://t.cn/A6Ppk8U8
猛萌,【美国死亡病例达到6名，国内病例死亡率高达12.5%】据美国华盛顿州公共卫生部门透露，该州2日新增4起新冠肺炎死亡病例。截至3月2日下午，全美已有6人死于新冠肺炎，全部来自华盛顿州。全美新冠肺炎总病例数达到96例，其中武汉撤侨人员和钻石公主号邮轮乘客共发现48例，其余48病例是在美国境内发现的。多人无中国人接触史。折算美国国内病例死亡率高达12.5%。评：这个死亡率证实了此前不少新冠肺炎当成流感了。另外，神药瑞德西韦没舍得用吗？还是太贵用不起？
金刀王,:#韩国研究团队发现新冠病毒抗体#纪录片《瘟疫抗战》对抗埃博拉病毒。埃博拉病毒堪称最致命的病毒之一，其致死率达到90%以上，14年的埃博拉席卷西非，科学家是如何应对的？（翻译：果酱字幕组）视频略长，建议先马。污姐出征的微博视频
哪来的仙女胆敢入侵我的心河,我是#中国科普月#抗疫科普大使杨紫。每当疫情来临，如何科学预防至关重要，你们知道MERS（中东呼吸综合症冠状病毒）的潜伏期是多久吗？点击下方图片来新浪新闻客户端就可以知道答案哦，和我一起助力#科学抗疫#吧。@新浪新闻@科普中国第二届中国科普月杨紫专场
灵爱天使,【世卫组织：#新冠病毒传播效率不如流感但致死率更高#】瑞士当地时间3月3日，世界卫生组织总干事谭德塞在日内瓦举行的记者会上表示，新冠病毒与季节性流感的传播方式相似，其传播效率不如流感，但致死率更高。谭德塞表示，与季节性流感相比，新冠病毒引起的疾病更为严重。全球有很多人已经对季节性流感产生免疫力，但新冠病毒是一种全新的病毒，没有人对此有免疫力，这就意味着更多的人可能会感染，并且一些人可能会遭受严重疾病。谭德塞表示，全球已报告新冠肺炎病例的死亡率大约为3.4%，而相比之下，季节性流感的致死率则远低于感染者的1%。http://t.cn/A67OkQNS
柒柒今年要磕cp,:#中国科研团队发现新冠病毒已突变#有没有专业人士，能简单点说嘛？看不太懂，可以总结一下吗？突变是改变了什么？他的毒性降低了吗？致死率会降低吗？传染性会降低吗？会好治疗一点吗？唉好好活着，看看这形形色色的人
汉GG_zt7,:疫苗并不一定是无害的已经上市研制成功的疫苗都有一定致死率更何况是正在研制的疫苗那可能只是毒药的别名我听说以前有神农尝百草我听说以前有汤飞凡试病毒我听说以前有顾方舟之子吃糖丸我还听说现在有陈薇院士拿自己试疫苗她试的可能是毒药但是抢的是时间夺的是希望她他们是真正的中国脊梁民族英雄全人类的英雄
风清朗,【瑞士女议员戴口罩遭议会驱逐】3月3日，在瑞士联邦委员会会议上，人民党议员布劳赫（MagdalenaMartullo-Blocher）因戴口罩而引发了一场风波，甚至因此被逐出会议大厅。瑞士主流媒体《一瞥报》（Blick）报道此事称，布劳赫是当天全场唯一戴口罩的人，她的出现引起了与会者的注目和议论。国民院议长伊莎贝拉·茉蕾特认为布劳赫扰乱了会议秩序，告诉她：要么摘下口罩，要么离开会场。这一决定也获得了议会办公室的同意。布劳赫对此表示非常不解，拒绝摘下口罩。最后经过双方协商，布劳赫被允许只能在投票时进入大厅。布劳赫对媒体说，从没想到自己会遭到驱逐。她甚至还被要求去做新冠病毒检测。（《环球时报》三缺二视频组）@这视频http://t.cn/A67ODVpZ
如果是银河的话,:#中国科研团队发现新冠病毒已突变#真的是像瘟疫公司一个病毒要想造成大的伤害一开始它的致死率不能太高但是它得又狡猾又颇具传染性可怕的新冠
老司机,:#北京公园游客有增长趋势#1、已过隔离期14天的可以出去游园，不扎堆不聚集即可2、尚在隔离期及输入性人员继续宅家云游园3、致死率较高人群限制游园，比如有基础病的老年人。公园做好防控，1、预约时段售票，2、瞬时人流和累积人流达到一定数量，只出不进，或停止售票3、增加消毒频次，4、缩短营业时间5、关闭部分设施现在还拿处在关键时期吆喝的过分了，没有对策只会喊，未患新冠肺炎，怕是患了新冠恐慌。提倡适度防控，合理游园，做好自己，不影响他人。
SagesseT,:#浙江多名华侨从意大利回国#先不说其他的，这件事最恐怖的其实还有一点，这几个带毒浙江人从意大利带回来的病毒，可能跟我们中国目前的病毒毒株不一样
唱长江之歌,:人道主义与科学这次疫情看起来快要结束，而且停止生产也不符合乌托邦，我国必将解禁。由于封禁措施，大多数未遇到病毒，不会产生抗体。而世界各地将爆发疫情，传入中国还会在没有抗体的人群里爆发。对于致死率低的流行病会再次流行，怎么办？以人道主义的角度，难道闭关锁国吗？
我是Miss马甲,根据最新情报，肺炎病毒源头可能来自美国，被藏在死亡的很多流感人群里了，瞒报了，特朗普这下傻眼了
一颗小笨瓜,昨天晚上，在德国医院读博的同学和我打电话吐槽。她给我吐槽了一大堆槽，例如：1、欧洲有个反蒙面法，很多地方买医用口罩需要开证明。2、亚裔+戴着口罩上街，如果碰上种族主义者，可能会被殴打。3、欧美人就不爱戴口罩，和医院医生护士住一栋楼搞得她躲都没地方躲。4、国境边界没关，她平时买菜都去荷兰买，鬼知道每天都跑进来哪里的人，希腊那边还在扛中东非法移民。5、德国一边让民众不要恐慌，但是医生护士私下里都在囤口罩，毕竟德国口罩也不够用。6、拜外媒传统艺能所赐，欧美（及日韩）民众普遍认为，中国隐瞒了大量死亡数字——但是相对的，他们又认为这个病不厉害，所以不怎么需要戴口罩。我问我同学，它们是如何做到，一边相信中国国内死了非常多人，一边又认为这个病不够厉害的？同学说，如果这问题有解，我就不用在家躺尸了。我们吐槽这么多不是为了比烂，也不是为了自豪，只是说明我们俩都很累。我们俩都知晓，这个星球上的沙比是根本不能被过滤掉的事实，但是又打心眼里想去一个沙比浓度稍微低一点的地方安静地躺尸，仅此而已。
看看新闻全球眼,:【世卫组织：#新冠病毒传播效率不如流感但致死率更高#】瑞士当地时间3月3日，世界卫生组织总干事谭德塞在日内瓦举行的记者会上表示，新冠病毒与季节性流感的传播方式相似，其传播效率不如流感，但致死率更高。谭德塞表示，与季节性流感相比，新冠病毒引起的疾病更为严重。全球有很多人已经对季节性流感产生免疫力，但新冠病毒是一种全新的病毒，没有人对此有免疫力，这就意味着更多的人可能会感染，并且一些人可能会遭受严重疾病。谭德塞表示，全球已报告新冠肺炎病例的死亡率大约为3.4%，而相比之下，季节性流感的致死率则远低于感染者的1%。http://t.cn/A67OkQNS
躺在水底看天,昨天晚上，在德国医院读博的同学和我打电话吐槽。她给我吐槽了一大堆槽，例如：1、欧洲有个反蒙面法，很多地方买医用口罩需要开证明。2、亚裔+戴着口罩上街，如果碰上种族主义者，可能会被殴打。3、欧美人就不爱戴口罩，和医院医生护士住一栋楼搞得她躲都没地方躲。4、国境边界没关，她平时买菜都去荷兰买，鬼知道每天都跑进来哪里的人，希腊那边还在扛中东非法移民。5、德国一边让民众不要恐慌，但是医生护士私下里都在囤口罩，毕竟德国口罩也不够用。6、拜外媒传统艺能所赐，欧美（及日韩）民众普遍认为，中国隐瞒了大量死亡数字——但是相对的，他们又认为这个病不厉害，所以不怎么需要戴口罩。我问我同学，它们是如何做到，一边相信中国国内死了非常多人，一边又认为这个病不够厉害的？同学说，如果这问题有解，我就不用在家躺尸了。我们吐槽这么多不是为了比烂，也不是为了自豪，只是说明我们俩都很累。我们俩都知晓，这个星球上的沙比是根本不能被过滤掉的事实，但是又打心眼里想去一个沙比浓度稍微低一点的地方安静地躺尸，仅此而已。
lllwwwtttsss,:说实话我一开始也是这么认为的，但越了解越觉得这个病毒有点可怕。实际上计算病毒的危害应该可以用一个公式吧，就是传播性×病死率，当然这里最好把病死率换一个类似于更全面反应病毒对人体伤害的指标，因为很多病毒致死率没有特别高，但对人体伤害却特别高。光凭这个指标，新冠病毒已经很厉害了
