走马观花998,#外国人永久居留管理条例#杨宜勇你是想引进黑人传播爱兹病？
西域风烟过客,:猪身上的4个部位别再吃了，毒素很多，高温都很难杀死！猪身上的4个部位别再吃了，毒素很多，高温都很难杀死！1、猪肝。猪肝是猪的代谢器官，主要帮助猪代谢一些身体内的毒素，所以猪肝上面很容易感染寄生虫和一些重金属物质，并且猪肝的胆固醇非常的高，经常食用对我们的身体是非常不好的。2、猪大肠。很多人都喜欢吃猪大肠，我们都知道猪大肠是排便的。并且，猪大肠还有一个作用就是，可以吸附粪便中的毒素及重金属。所以，猪大肠中的毒素及重金属含量肯定是比较多的。在平常，我们一定要少吃猪大肠，减少毒素的摄入。并且，猪大肠脂肪的含量非常高，如果经常吃，容易导致肥胖的发生。3、猪肺。猪喜欢躺着过日子，因此猪肺部会吸入大量的来自猪粪和泥土的有害菌类，灰尘中存有的重金属也会一同进入猪肺中，如果人吃了猪肺，重金属就会存在于人体内，从而就更增加人体里沉滞的重金属、灰尘和病毒，使人患病的几率更高。4、猪脖子。以前在农村，自家养的猪，猪身上的任何一个地方，我们都会吃，比如：猪大肠、猪头、猪心肺、猪肝、猪脖子等等。由于自家养的猪，都是吃大米长大，很少会吃饲料之类的东西，吃这些也还算好。但是，猪脖子，不管是谁饲养的，我们都不要吃。，我们都知道，猪脖子上面含有大量的淋巴，而我们的淋巴又是最大的防御器官，里面含有大量的细菌及病毒。并且，国家在很早以前就明令禁止不许销售猪脖子。
郭靖五五,:#日本寺庙发免费印经文的纸口罩#纸口罩有个鸟用？印上经文就是为了传教，不但不能预防病毒感染，改成了人家的免费宣传机器
綦江微发布,:#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治。】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
今日女报,:#新型冠状病毒感染肺炎#【外交部：46个国家和6个国际组织捐助的疫情防控物资已运抵中国】外交部发言人赵立坚3日说，截至3月2日，共有62个国家和7个国际组织承诺向中方捐助疫情防控物资，其中46个国家和6个国际组织的相关物资已运抵中国，12个国家和2个国际组织已向中方提供或宣布提供食品、现金等其他形式的物资支持。中方对此深表感谢，铭记在心。中方秉持人类命运共同体理念，将在继续做好国内防控工作的同时，加强抗击疫情的国际和地区合作。（新华视点记者朱超、马卓言）
glenn_shen_,:#梅仲明医生感染新冠肺炎去世#2018年挂的梅医生的号还在！谢谢你，梅医生，还我妈光明，一声谢谢还没有来得及，你却走了！广州
朱公子的心头血6714312861,:#武汉人朱一龙为同胞加油#春季要多吃瘦肉、蛋类及蔬菜、水果等富含优质蛋白、高维生素的食物，保持生活规律，保证充足睡眠，可增强抵抗病毒和细菌感染的能力。朱一龙演技好小尾巴@朱一龙20谢谢
筱·柒月,:#梅仲明医生因新冠肺炎去世#又一位医生因感染离世，心痛心碎💔大家都要做好防护，少聚集活动，不要给医护人员和各行抗疫工作者们添麻烦增加负担，疫情赶紧结束吧，拜托🙏
福建广播电视新闻中心,:#防抗新型冠状病毒感染的肺炎#【福建全省共实施救助11441人次】3月3日下午，福建省政府新闻办召开福建省新冠肺炎疫情联防联控工作第十二场新闻发布会。记者从发布会上获悉，民政厅将低保、特困人员救助供养等社会救助审核审批权委托由县级民政部门下放至乡镇（街道）；积极推行社会救助申请审核审批全流程网上办理。不少地区开通了临时救助“绿色通道”，主动上门为困难群众服务，对于特别困难的群众做到救助资金当天发放。截至2月底，全省共实施救助11441人次，支出疫情防控临时救助金1282.3万元，其中非户籍对象39人次，为2908名困难群众快速办理城乡低保，向困难群众发放口罩79万只、消毒液1万余瓶和部分生活必需品价值近300万元。
干净么食安,【张文宏：发病率低的城市复工是可以的，但也要采取措施】针对近期网络上关于复工的讨论，张文宏医生认为其中一些过度解读造成一些复工群体和城市的恐慌。大家的忧虑在于大量复工人群涌入城市是否会造成疾病的蔓延，因而有人提出索性就不要复工了。但事实上在没有疾病爆发的区域，当地人群都做了比较充分的隔离，和其他发病率低的城市其实差异并不大。如果这种交流都不能有，那城市的停滞是很难经受得起的，大家没地方买菜、不能去医院……这时候的人口死亡率反而可能会高于新冠肺炎死亡率。张文宏医生认为，发病率低的城市复工是可以的，但也要采取措施，不要有大规模的集会。在疫情没有得到完全控制的时候，还是要戴口罩上班，勤洗手，不扎堆，电梯要经常消毒，办公空间要经常通风，只有做到这些防护条件，复工原则上才不至于会增加很大的风险。http://t.cn/A67C8laK
南海之声,:【#美国境内累计新冠肺炎确诊病例100例#死亡6例】美国卫生部门官员称，截至当地时间2日晚，美国境内新冠病毒感染病例数已达100例，其中包括6例死亡病例，全部发生在美国华盛顿州。据卫生部门分析，新冠病毒在华盛顿州宣布发现首例感染病例前至少6周就已经开始在当地社区传播。（央视记者刘旭图源：网络）
金温江,:#全民战疫#【钟南山的这条呼吁，是时候认真对待了！】新型冠状病毒感染的肺炎疫情暴发以来，戴口罩、勤洗手、少外出成为了全国人民的共识。然而，围桌共食、不用公筷的就餐方式也在危及人民的健康，给病毒传播提供了便捷的途径。公开报道资料显示，早在十多年前钟南山院士就呼吁过，在家庭中也要使用公筷。新冠肺炎疫情期间，钟南山院士向公众详解家庭卫生消毒重点时，也强调家庭用餐应使用公筷。安全用餐非小事，一筷一勺见文明。
香港紫荆卫视,:【#返澳中国留学生确诊感染#曾途径迪拜逗留14天】#紫荆快讯#当地时间2日，澳大利亚昆士兰州新增1例新冠肺炎病例，目前该国累计确诊病例达31例。据外媒报道该患者是一名来自中国的20岁留学生，他在进入澳大利亚前曾在迪拜待了两周多的时间。自澳洲出台针对中国的旅行禁令后，不少中国留学生选择在第三国逗留14天后中转返澳，以规避禁令。该患者于2月23日抵达布里斯班，目前正在当地医院隔离。http://t.cn/A679gg63
大象融媒,:【世卫组织发布全球疫情图：中国境外确诊病例超万例！】根据世卫组织官方网站数据，截至北京时间今天下午三点，全球确诊新冠肺炎人数已飙升至90893人，死亡3110人，有73个国家都出现了疫情。截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。目前出现疫情的国家已经遍布五大洲，仅南极洲幸免。韩国、意大利、伊朗、日本的感染数仅次于中国。世卫组织总干事谭德塞表示，各国必须即刻行动，现在的行动将决定各国疫情的发展。在过去24小时内，中国境外报告的病例数几乎是中国境内的9倍，世卫组织目前最为关心的是韩国、意大利、伊朗和日本的疫情。#韩国累计确诊新冠肺炎5186例##伊朗民众涌入寺庙舔圣墙##韩国政府进入24小时全面戒备状态#http://t.cn/A67NApM3
朶麗児醫娘,:#日行一善[超话]#🇨🇳#阳光信用#一个善良的人，就象一盏明灯，既照亮了周围的人，也温暖了自己。善良无须灌输和强迫，只会相互感染和传播。善良是种美德，幸福会回应，上天会眷顾。做人贵在善良，做事重在坚持。你施人温暖，人才会予你阳光，你施人真心，人才会予你和善。世态可以炎凉，做人必须善良。
哈尔滨身边事,:【好消息！鸡西冲进个位数，刚刚又有2人出院
XxYy-FEV,:惊呆🤯，韩国执政党主动抗疫，在野党为了把对方拉下台，便称聚集不会感染……关键民众都信哦！韩国工具人自求多福吧……哎
漠宏庵,:交通运输部：交通运输部今日发布《关于严格落实网约车、顺风车疫情防控管理有关要求的通知》，通知要求：全面暂停离汉、离鄂的网约车、顺风车业务。各平台公司要贯彻落实继续实行严格的离汉离鄂通道管控措施，严格按照湖北省新型冠状病毒感染肺炎疫情防控指挥部相关规定，全面暂停离汉、离鄂的网约车、顺风车业务，坚决防止疫情通过网约车、顺风车从武汉、从湖北输出。#全面暂停进出京跨城网约车业务#、顺风车业务。各平台公司要严格按照首都严格进京管理联防联控协调机制相关规定，全面暂停进出京的跨城网约车、顺风车业务，坚决防止疫情通过网约车、顺风车输入北京，全力服务首都疫情防控大局。http://t.cn/A67ivGnh全国抗击疫情取得的胜利来之不易，继续努力，坚持不懈才能真正做到不留一丝一毫隐患，也是今后全面复工的重要保障，否则操之过急，因小失大、功亏一篑！
江苏司法行政在线,:#小司推送[超话]##抗击疫情江苏司法行政在行动#【普法丨新型冠状病毒感染肺炎疫情期间合同管理建议】为共同战胜疫情，稳定社会和企业，建议企业采取以下应对措施。普法丨新型冠状病毒感染肺炎疫情期间合同管理建议
燕小春_April,:行业领头羊公司的关键亚太高层，感染了新冠，搞不好要改变该公司的整个亚太格局，进而影响更多也说不准，很多人期待的变革，说不定由新冠推动了
痛快男儿,:真正的教育不仅是人才的培养，不是教而不育的，更应该的是要树立正确的价值，拥有自私而不自利的品质才是人世间的正道……体制之病，权力之疡，利益背后的真相全是假的，此乃国之不幸！这个怎么办？千万不要成龙生凤的教育理念：中国贪官响彻世界，武汉病毒感染世界！
北京东城,:#小东提示#【复工后小型便利店如何开展防护工作】预防新型冠状病毒感染，社区周边的小型便利店也应该严格做到这六点，速戳了解→北京市疾病预防控制中心的微博视频#共同战疫##医疗卫生#
东方幽默男神,:宋慧乔、IU疑感染新冠病毒两人均去过巴黎时装周#最强卡点##轻松防疫站##奇趣视频#东方幽默男神的微博视频
FCBVeronica,你好
中国贸易报,:#新型冠状病毒感染肺炎##关注新冠肺炎#【北京回应“望京一韩国人确诊”：患者并非新冠肺炎】3日，北京市就疫情防控召开新闻发布会。北京市朝阳区望京街道工委副书记、办事处主任杨晓昇介绍，2月27日上午，在北京市朝阳区望京街道某社区，一位从韩国返京的外籍人士致电社区，称身体不适，并伴有呕吐症状。社区工作人员第一时间联系120，将其送往医院。后经医疗机构确认，并非新冠肺炎。该人士出院后，继续返回社区进行居家隔离。
龙鸣微博,:#疫情严重国家抵京者均须隔离#最应防范的不是美国人吗？新冠病毒母体ABCDE五代美国都有，国内只有C代（第三代），病毒来源于哪一清二楚！3000万感染2万多死亡的美国‘流感’有多少人是新冠？美国不检测就是没有，有也没有！【北京规定：韩日意等#疫情严重国家抵京者均须隔离#】今天下午，北京市#新型冠状病毒#感染的肺炎疫情防控工作举行第三十九场新闻发布会。北京市人民政府副秘书长陈蓓介绍疫情防控期间北京口岸入境管理的情况。陈蓓介绍，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。http://t.cn/A67NvyJx
东方卫视番茄台,:#东方卫视抗疫直播#周一至周五17:30-18:00《名医话养生》防控疫情特别节目东方卫视官方微博号、快手号同步直播。今日话题：新冠病毒会攻击心脏？男性更易感染新冠病毒？哪种疾病合并新冠肺炎死亡率高？欢迎在评论区留言，我们将邀请专家为您做科学解答。#防疫抗疫东方在行动#东方卫视番茄台的微博直播.
等待牛的21GS,【#韩国累计确诊新冠肺炎5186例#，文在寅宣布进入抗疫“战争阶段”】央视新闻微博3月3日消息，据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在韩国全国进入了同传染病的战争阶段，所有政府机构要启动24小时应急机制共同应对疫情。http://t.cn/A67N7CwS
集微网官网,:【三星加强对半导体工厂员工的新冠病毒筛查程序】三星表示，该公司已加强了对其半导体业务“设备解决方案”员工是否感染新型冠状病毒的筛查程序。从本周开始，半导体业务的所有员工将在每周日接受一份在线自查问卷，调查他们最近是否到过病毒重点区域或出现发烧等症状。集微网
优酷,:#热血同行艳势番#杨真@吴俊余羡慕阿易@TFBOYS-易烊千玺远大志向，决心跟随阿易参加革命。到底是阿易的热血感染了杨真，还是杨真又有什么小算盘呢，阿易可千万不要上当受骗啊～热血同行的优酷视频
哈尔滨发布,:#防控疫情我在一线#【社区要守好“外防输入”最后一道关口】连日来，市委副书记、市长、市应对新型冠状病毒感染肺炎疫情工作指挥部总指挥孙喆先后到道里区、香坊区、南岗区、道外区调研手拉手转运外地返哈人员和居家隔离工作。
逸行,:新冠疫情下，日本商家纷纷推出一系列对应措施，日本laox给顾客们提供安心安全的购物环境，避免交叉感染，店员均戴口罩，同时给需要口罩的顾客免费发放口罩，病毒无情人有情，相信在大家的共同努力下一定能战胜这次疫情的！中国加油！日本加油！@Laox官方微博
中時電子報新影視頻道,:【新天地教主李萬熙下跪道歉身旁神秘女子成焦點...身分遭起底】http://t.cn/A67NAVPM造成#南韩##新冠肺炎#大肆感染的源頭、韓國新天地教主李萬熙，昨(2日)召開記者會時，首次下跪公開道歉，不過即使他行大禮謝罪，仍止不住南韓人民怒火，而記者會當時，他的身旁有一名神秘女子，不斷在他耳邊提醒，要如何說話以及應對，突然間成為全南韓人最好奇的人物，並形容她是「人間助聽器」。
证券日报之声,:#新型冠状病毒感染肺炎#【3000个起卖？抢手的网售额温枪组装件靠谱吗？千万别上当！】近日，记者发现二手交易平台上有人在出售需自行组装的额温枪半成品。卖家声称3000个起卖，想要购买必须排队。而当记者询问是否有资质时，对方突然删除销售信息。市场监管部门表示，额温枪属于二级医疗器械，无资质销售属于违法行为。http://t.cn/A679ZuO7
人民日报海外版-海外网,:#世卫组织员工在伊朗确诊#【确诊1501例！世卫组织工作人员在伊朗被感染了】据俄罗斯卫星通讯社3日消息，世卫组织在伊朗的一名工作人员被确诊感染新型冠状病毒，病情目前处于中等程度。世卫组织总干事谭德塞表示，该机构的专家组在3月2日抵达伊朗，同时世卫组织也向伊朗提供了更多的药物，以支持对抗新型冠状病毒。据伊朗卫生部消息，当地时间3月2日，伊朗新增新冠肺炎523例，新增死亡12例。截至当天中午，伊朗共确诊新冠肺炎病例1501例。http://t.cn/A67Cske9
了不起的中国制造,:#微博公开课#【3D动画演示，摔伤后皮肤感染及康复的全过程】科学懂不懂的微博视频
证券日报之声,:#新型冠状病毒感染肺炎#【3000个起卖？抢手的网售额温枪组装件靠谱吗？千万别上当！】近日，记者发现二手交易平台上有人在出售需自行组装的额温枪半成品。卖家声称3000个起卖，想要购买必须排队。而当记者询问是否有资质时，对方突然删除销售信息。市场监管部门表示，额温枪属于二级医疗器械，无资质销售属于违法行为。http://t.cn/A679ZuO7
人民日报海外版-海外网,:#世卫组织员工在伊朗确诊#【确诊1501例！世卫组织工作人员在伊朗被感染了】据俄罗斯卫星通讯社3日消息，世卫组织在伊朗的一名工作人员被确诊感染新型冠状病毒，病情目前处于中等程度。世卫组织总干事谭德塞表示，该机构的专家组在3月2日抵达伊朗，同时世卫组织也向伊朗提供了更多的药物，以支持对抗新型冠状病毒。据伊朗卫生部消息，当地时间3月2日，伊朗新增新冠肺炎523例，新增死亡12例。截至当天中午，伊朗共确诊新冠肺炎病例1501例。http://t.cn/A67Cske9
嘉兴咖啡爸爸,:#嘉兴身边事#【戴口罩防疫，但海宁有人患上了这种病！医生说…】大家陆续复工了，但为了避免感染风险，戴口罩几乎是去公共场所、单位，必不可少的第一关。就连刚刚开放的餐饮服务单位堂食，也可以拒绝不戴口罩的人进入。不过，这个十分重要的自我防护措施，有些人却出现了不适应，脸上难受、发痒，脸部皮肤出现皮疹、发红、甚至长痘。海宁市人民医院皮肤科医生王耀成介绍，最近科室里来的病人因为戴口罩，出现了过敏的病症。海宁日报
北美新浪,:#环球见闻##全球疫情#【法国累计确诊191例多为聚集性感染卢浮宫继续闭馆】综合报道，当地时间2日晚，法国卫生部宣布，法国新增新冠肺炎确诊病例61例，总确诊病例数升至191例，其中，107例属于聚集性感染。与此同时，卢浮宫2日继续关闭，部分地区口罩、免洗洗手液脱销。http://t.cn/A67NAcmV
了不起的中国制造,:#微博公开课#【3D动画演示，摔伤后皮肤感染及康复的全过程】科学懂不懂的微博视频
新浪新闻客户端,:【同事太危险了，可我总得吃饭呀！】如今，湖北以外的各地企事业单位已陆续复工，整体上来看，新增病例的增长已经放缓。有网友笑言：“感染不一定死，再不复工会饿死。但最重要的一点是，各大城市的复工，尚未完全完成...#复工后上班有多难#更多精彩评论，尽在客户端#热点评多多#！http://t.cn/A67SgfnM
中国贸易报,:#新型冠状病毒感染肺炎##关注新冠肺炎#【北京：#餐饮企业要按1米隔离线管好排队秩序#】北京市政府副秘书长陈蓓在3月3日举行的新闻发布会上指出，餐饮企业要设立体温监测环节，对进入到店里就餐的人员进行体温监测。要有相应的队伍疏导员，人流比较大时，要有专人在队伍中进行疏导，按照一米隔离线的要求管理好排队秩序。做好店铺的开窗通风工作，在天气许可的情况下，经常开窗通风对于防控疫情帮助很大。从业人员要每日进行自身体温监测和健康监测，观察是否有咳嗽、嗓子痛、身体乏力的情况。（中国新闻网）
stephen_guo,及时回应
百色交警凌云大队,#疫情当前警察不退#【全镇零感染——一个偏远派出所的战疫日记】#抗疫一线群英谱#疫情期间，湖北黄石阳新县公安局王英派出所所长蔡庸海带领16名民、辅警，克服警力不足，咬紧牙关，众志成城，联合镇村干部、志愿者等人，坚守在各个岗位，积极开展防疫工作。直至目前，王英镇相邻乡镇均有人员确诊感染新冠病毒，唯独王英镇无一人确诊或疑似感染新冠病毒。其休假在家，就读于首都医科大学临床医学专业的女儿蔡耀华，深知父亲和同事们奋战“疫”线不易，于是用画笔将他们记录下来，希望早日春暖，战“疫”成功！
花勺勺,【浙江公布8例输入病例：#浙江8输入病例在意大利同一餐厅工作#
青描现写,:#梅仲明医生因新冠肺炎去世#致敬医护人员//战士啊…现在的局面都是他们用生命换来的，都是多少医务人员用血汗换来的，我们不能随便出门瞎聚集，如果这样感染，就太对不起他们来
晛量款影响力,:#每日一善[超话]##阳光信用#一个善良的人，就象一盏明灯，既照亮了周围的人，也温暖了自己，善良无须灌输和强迫，只会相互感染和传播。所以，做人不一定要顶天立地，轰轰烈烈，但一定要善良真诚。人心，不是求来的，而是善来的。你施人温暖，人才会予你阳光，你施人真心，人才会予你和善。
交通954,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。（央视）
泸州青年,:【送别！#武汉市中心医院梅仲明医生感染去世#】武汉中心医院微信公号发布公告：武汉市中心医院眼科副主任、主任医师梅仲明同志，在抗击新冠肺炎疫情工作中不幸染病，经全力抢救无效，于2020年3月3日中午12时在武汉市金银潭医院去世，享年57岁。公告
Fisher-Yuan,:#伊朗民众涌入寺庙舔圣墙#感觉无话可说
四川观察在现场,:【山东首例隐瞒湖北接触史确诊被判10个月】3月1日，山东首例疫情防控期间妨害传染病防治罪一案宣判，田某某被判处有期徒刑10个月。1月初，田某某出现发热、干咳等症状，后被确诊新冠肺炎。因其故意隐瞒湖北接触史，给37人造成被感染传播的危险，警方认定田某某涉嫌妨害传染病防治罪。http://t.cn/A67NAwq1
Mokuyoo,:看到某热搜，想起年初姑父大言不惭的一句话——信佛的不容易感染新冠……时至今日他们家已经乖乖戴起了口罩，但还是想骂一句sb（没有歧视对方信仰的意思
中国贸易报,:#新型冠状病毒感染肺炎#【从韩国日本伊朗意大利入境北京者均需隔离14天不分中外国籍】在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天；对外交人员，体温检测合格的，按照有关外交人员管理办法执行。从韩国日本伊朗意大利入境北京者均需隔离14天不分中外国籍
平安白浪,:#疫情当前警察不退#【日行两万步一线防疫，他挑破脚泡继续前行】疫情当前，有这样一群人义无反顾，逆行而上，守在这场没有硝烟的战争的一线。每天冒着被感染的危险，穿梭于千家万户，扎实开展疫情宣传、排查、统计、重点人员管护等工作，用行动诠释着人民警察为人民的铮铮誓言。民警尹大勇就是其中的一员。尹大勇是十堰经济开发区公安分局白浪路派出所的社区民警，疫情期间，负责管理白浪村、小河村2个片区，其中白浪村有21个封堵点，小河村有6个封堵点，地处偏远，交通不便。疫情爆发后，他又被白浪街办火线任命为白浪村、小河村党支部副书记。看似升官了，其实身上的担子加重了，他不仅要履行社区民警的职责，还要开展好村党支部的各项工作。救助服务群众、核查重点人员、化解矛盾纠纷、排查两类人员、转运送治四类人员，以及封堵人员防疫知识培训等工作都需要他来做。尹大勇负责的最远的村距离派出所有四五公里的路程，因所里车辆紧张，没有交通工具的他就步行前往，而这一走就是30多天，腿走肿了，晚上回来敷一敷，第二天继续前行，脚走破了，长了水泡，时间长了变成了鸡眼，他托同事帮忙在药店买点药敷上，但双脚还是疼得厉害。他只好想办法找来一块泡沫，用它剪成一双鞋垫，垫在鞋里缓解疼痛。每天虽然很辛苦，但是看到自己的居民在警察的帮助下，生活逐渐恢复正常，他觉得一切都是值得的。
宁海检察,:【韩国近5千意大利破2千#中国以外64国出现疫情#】目前，新冠肺炎疫情在多国持续蔓延。截至韩国当地时间3日0时，韩国感染者总数升至4812人。意大利当地时间2日18时，意大利累计确诊2036例。据世卫组织最新报告，截至欧洲中部时间3月2日上午10时，中国境外共64个国家确诊新冠肺炎8774例，死亡共计128例。@央视新闻
