南瓜5号,:节后第一次出差，还好德清近自驾能去
OK张有救,:由于疫情的影响，之前买的很多宝贝都卡在了快递路上，现在情况有所好转，我的快递终于陆陆续续的到货了！在家闷得时间久了导致皮肤状态真的很差，还好新入了FOREO家的#UFO多光谱美容仪#前阵子风真的超大！买之前我还挺纠结的！怕用着很鸡肋~用了之后事实证明我之前真的是多虑了~皮肤真的得到了很大的改善~它最吸引我的一点其实就是功能特别齐全，一台顶多台！大家都知道市面上很多美容仪光谱功能很少，只有红蓝光。而UFO多光谱美容仪拥有多种光波科技！众所周知，红光可以紧致抗皱，蓝光可以抗痘，水油平衡！除此之外，如果想和我一样改善面部黯沉的宝宝们，可以试试绿光，能够改善暗沉，均匀肤色。而橙光可以激发修护力，焕活肌肤光彩。紫光适合抗皱的宝贝，眼周细纹统统可以消灭掉~另外，它不仅有多种光谱，还有热能和冷凝技术，以及T-SONIC声波脉动，最短只要90秒，既省时间又省力！平时我在使用面部精华时，会把精华滴一些浸润化妆棉，固定在美容仪上用热能+T-SONIC声波脉动3档，帮助精华更好地吸收，温温热热的，真的超级舒服~在日常护肤即将结束时，可以使用冷凝技术来收缩毛孔，使肌肤更加的紧致弹滑。有些宝宝可能肌肤经常出油出痘这个时候就可以配合护肤品和美容仪的蓝光功能调理皮肤。可以说是适合任何肤质的姐妹们！它还有一个小功能就是可以在手机APP的指引下，90秒内完成一个专业的肌肤SPA~真的超级实用并且容易上手！懒人姐妹必须人手一个，坚持使用使肌肤状态会维持的超级棒！实不相瞒，自从用了它以后我现在的皮肤状态真的是折煞众姐妹！而且坚持使用了一周，皮肤状态真的有了很大的改善，肤色提升了细纹也变淡了。在后续的上妆也无压力~妆效十分的服帖持久~果然用对好的美容仪是重中之重啊！姐妹们还不快来get我的同款？现在戳评论领取专属优惠哦！优惠多多！多重优惠到手价1585元！还有超多赠品送送送，真的超惊喜~快点来吧~
孟夏壹拾叁,:我还好没当医生，我现场观摩了一场手术，我到现在腿软心慌
SEED弗拉基米尔,摄影师再就业
小俊牌螺蛳粉-,:你们挂的我都认识，，之前玩的还好
伤心笑语,:返广州记5个座位一排，坐3个人，也就是60%，感觉人的心情都还好吧。好多人抽烟，戴口罩露鼻子…看来还是有信心长沙·长沙县
心事隕落,:我终于！！！还好今天记得戴口罩了好大一包上面还有土味情话哈哈哈这个小龙虾味的超好吃超好吃汤底颜色很重很浓郁太好吃了得要很小心溅到身上就是灾难真的太好吃了我宣布它排我心中的螺蛳粉NO.1
韩喻一111,:快把大唐荣耀2看完了，虐是虐了点，也就虐个十几集也还好，但是广平王真的帅啊啊啊啊啊啊啊
-Auuurora_,:总结今日周练（实在忍不了了我要先发语文满意终于得到满分数学也还行虽然最后五道还是不太会（感觉大家都进步了只有我原地徘徊英语
故乡与新城,:今天晚上没做饭
布噜噜噜蟹白,:#食物语手游[超话]#焦急地等新活动，然后上台服看了眼，果然已经更新了(本来没抽到杨枝甘露已经准备弃服了)[失望]P1看到阿符的新衣服算了算💰也还好P2再往后看到继续氪也就多了一个调料
甜果味酒心糖,记2020.3.4许凯的戏精人生今天也不知道你在说啥的微博视频#许凯0305生日快乐#
LUCKYUI0916,平平无奇小笨蛋想看你们随手画
绿yu箩potosu,:说话之前一定要认真确认一下是不是正打算说话的群
_派大兮,#博君一肖[超话]#一天被人问脱吗脱吗？行，脱给你们看看。这个细节看一下，我都没发现，有姐妹发现提醒了我！龟壳后面那俩耳朵
GeShepherd,:我问我爸当初走318进藏难不难，我爸说挺难的，不过现在路修好了应该还好，我说那以我的车技搞得定吗，我爸很不屑得瞥了我一眼说你还是老实待在家里比较适合我
LUCKYUI0916,平平无奇小笨蛋想看你们随手画
绿yu箩potosu,:说话之前一定要认真确认一下是不是正打算说话的群
_派大兮,#博君一肖[超话]#一天被人问脱吗脱吗？行，脱给你们看看。这个细节看一下，我都没发现，有姐妹发现提醒了我！龟壳后面那俩耳朵
GeShepherd,:我问我爸当初走318进藏难不难，我爸说挺难的，不过现在路修好了应该还好，我说那以我的车技搞得定吗，我爸很不屑得瞥了我一眼说你还是老实待在家里比较适合我
屋顶上的白衬衫,:ccc大喘气上课我有个预感今天会中奖果然下课点我交课堂笔记
北亭空念远,路人缘可以当饭吃，谢谢，不然张鲁一早就饿死了
等湛蓝色的冬天,:我妈在快手看我舅妈直播包饺子，拿着手机过来问我怎么发语音，我说：这直播还能发语音？这个只能打字不能语音啊…然后听见我舅妈在里边喊我妈连麦，我懂了，作为网上冲浪选手要是不知道连麦啥意思觉得怪丢人的，立马开始在界面上来回搜寻，终于找到入口，看着我妈拿起手机语音那一刻，心想：还好被我找到了！
Special-JZ,:其实白天还好啦我也有自己的事情要忙没空想一些乱七八糟的晚上脑袋不听话一放空就爱瞎想偏偏思绪乱归乱又百转千回绕向你
熊兔子啊啊啊,:#iPad[超话]#我还好我只是有点寂寞有点急，已经有人在绝望了
老田超爱吃果冻,:还好有小蓝陪伴淮北
CHEN小丸,:家里暖气停了以后每天都是手脚冰凉手还好点一直拿着手机已经加衣服了脚还是冰冰凉
左岸薇椋,:终于结束了这疲惫的一天，虽然下班又下雨了，但是还好没坑我到底，借到了伞
Rode_moon,:今天的网课有点感人。讨论问题的时候看到很有深度的回答，平时也有接触到的东西但我就是没想到
一只渔1,:是我不懂了，还好我只是个颜粉
Rode_moon,:今天的网课有点感人。讨论问题的时候看到很有深度的回答，平时也有接触到的东西但我就是没想到
一只渔1,:是我不懂了，还好我只是个颜粉
公子璇玑,:入了一支evelom的亮采洁净面膜的小样，气味令人窒息，不打算回购了。找的官方图，气味真的……还好没入大只。
喝茶煮咖啡看書,:#连琑反应[超话]#还好咱家房子多呀🏠二房的画展真的很搞笑，但三房也是净土呀
CRATHUEK,:你在那边过得还好么。我想你了
葡提老祖本尊,:刚刚差点就把一通撕破脸的话发出去了，还好没有，还好没有与人相处的一大法则是再生气也不能撕破脸，千万不要，千万不要道歉的成本比骂人的成本高得多，划不来，划不来
kazunari2ino,:又冷又是下雨追到的582只是短线最近身体真是不好坐在座椅上感觉到心脏一阵阵的撕裂不知不觉就睡过去了到了短线终点司机一声声叫醒我告诉我得下车了还好坐得离司机近看了一眼不是总站绝望地问了一句这是短线吗司机回应正准备踏下前车门司机叫住你没带伞吗送你一把伞吧然后将一把粉红色的伞递给了我☔
迪迪点点_,:#迪丽热巴[超话]##迪丽热巴swisse品牌代言人##迪丽热巴白凤九#终于等到你还好我没放弃[心]@Dear-迪丽热巴
9thYs_Q,:还好了，只是小程序无法发布内容我上初中那会群昵称都没法用本名
HXS雪松,:#点点在易烊千玺腹肌上打滚#这只真得只是猫吗，不但硬往千玺怀里蹭，其实那姿势明明不舒服，如果不是他身子歪一点，它还真不下去，最重要的是它居然要去亲他，还好被躲过去了，这猫成精了吧，它也喜欢千玺，古装醋我们的
Rio丶Y,:一路走回来还好不是复杂的路
阿雨好想养狗子哇,:#夏瀚宇[超话]#[太阳]#夏瀚宇粉丝才艺大联欢#干啥啥不行凑热闹第一名来了没啥才艺只有一张嘴会吃而已因为《蜜蜂》被小宇吉他翻唱之后真的听了好久高音上不去低音下不来还好脸皮够厚de俺来了
东方式,:吃饭找点东西看就在反刍《幽游白书》，第一集就看哭了，虽然知道会复活。啊，以前的动画多么好看啊，还好以前看的多，可以一遍遍反刍
娇得可耐,:本来是看着教程做的，然后发现我没有高筋面粉，也没有玉米油，更没有烘焙纸。于是我就就地取材，乱做一通，还好成功了。香香脆脆的麻薯😝果然人才就是人才😏#窗台上的美食#
金菇娘,挺好的，希望今后对同人作品有意见的资方都能明明白白大大方方的说出来“同人就是侵权我们不欢迎任何同人作品”。请务必这么做。我们同人作者绝对响应您的号召并呼吁所有人都不要创作您家的同人。保证不侵犯您任何合法权益。所以请发公告吧，请不想要同人的版权方都说出这句话吧。
katsumi0121,为庆祝《如龙7：光与暗的去向》出货突破40万份，世嘉宣布游戏将开启7折优惠，优惠截止到3月10日，PS港服目前只要299.6港币（约268人民币）。游戏于今年1月16日发售，目前刚发售一个半月~
努力进化的五花酱,:想见你看得我爆哭还好最后是happyending❤️
腿细是什么感觉,爱马仕口红试色来了。樱花妹又是一大早排长队，实物还不能拍。第一张是丝光，第二张是雾面。这应该是我唯一拥有得起的爱马仕吧！
甘蔗味小牛仔,:今天老姐生日差点忘了
中华门下小男孩,:那个谈真的就很丑啊
n小果子,:还好不是太惨，隔离的时间给除去了，要补的班一下子就少了一半
半杯焦糖奶绿,我们花了3w+的巨额💰做了✔️成分分析✔️保湿性测试✔️重金属测试✔️斑贴测试献出这份『22款儿童面霜优缺点』对比#魏老爸的科普##儿童面霜#
今天也不喝水drsvjurdbghfgrshuf,:没带电脑回来！！！！！真的要给我搞疯了！！！！！才发现有电脑的好55555！！！！！还好工作室今天开门了。明天去拿电脑！！！！手机没法ps真的烦！！！什么图都做不好了！
薏米米,:#暖心小胖[超话]#还好有存货✌️
椒盐小兰,:听我朋友说colorkey质地很好我就买了四根回来试试质地真的很好颜色还好看我基本没有踩雷还好便宜美女们买它！
-a柠檬juice,:作者真的是神预言啊，还好结局是HE。
金小紫,老了，没看懂为什么战。晚安。
n小果子,:还好不是太惨，隔离的时间给除去了，要补的班一下子就少了一半
半杯焦糖奶绿,我们花了3w+的巨额💰做了✔️成分分析✔️保湿性测试✔️重金属测试✔️斑贴测试献出这份『22款儿童面霜优缺点』对比#魏老爸的科普##儿童面霜#
今天也不喝水drsvjurdbghfgrshuf,:没带电脑回来！！！！！真的要给我搞疯了！！！！！才发现有电脑的好55555！！！！！还好工作室今天开门了。明天去拿电脑！！！！手机没法ps真的烦！！！什么图都做不好了！
薏米米,:#暖心小胖[超话]#还好有存货✌️
牵着猪的鱼,:2020年3月4日星期三昨日美联储拿出降息的杀手锏后，美股在短暂冲高后再度回落，说明米国人民对疫情的影响还是很担忧的，而中国抗新冠战斗即将全面胜利，经济必然率先出现反弹，最难的关口已经渡过，对于股市来讲，不管再来什么坏消息，也比不过全国停摆一个月，所以即使美股下跌，对我国股市影响已经不大了，以后更有能出现美股跌A股不跌，美股涨，A股大涨的局面。今日成交量近万亿，指数在盘中出现短暂下跌后再度上涨，下跌时有大量买盘涌入，证明抄底资金是踊跃的。今日上证指数重新站上3000点，估计还要在3000点左右震荡，待反复夯实3000点后再上。今日大盘热点是券商股，券商股一向是股市的风向标，只要红旗不倒，后面就会彩旗飘飘。其他前期的热门上涨板块，今日也在跃跃欲试，所以前期上涨较大并出现大幅回调的，最近会再度向上。今日没有操作，手上乱七八糟一大堆，还好有一个涨停，其他的都是震荡，最近不换股了，死盯着他们！
杰斯特-奇,:男朋友向我求婚啦~~之前下颌比较明显的大牙缝，吃饭塞牙，不美观，漏财@矫正之家，开心，还好当初牙齿咬合不好，牙齿不齐的时候没有放弃，现在达到了牙齿内收排齐，下巴出来了，侧脸更立体，太完美啦！谢谢博主谢谢无锡雅仕美口腔、佳贝尔口腔、嘉众口腔！#无锡口腔正畸要多少##无锡一副普通钢牙套多少钱#
可乐讲球,:越来越多的小伙伴跟我上了岸。还好你们没有放弃。这段时间我的努力也是有了成效。祝贺你们。拜托了网贷的困扰；但是呢。不可以掉以轻心。做好自己。保持你们一开始跟我讲的初心。上岸了就好好工作的。不能再一坑里跌倒两次咯。我相信你们都可以做到的。毕竟你们都是过来人。当中的痛苦你们也不想在常第二次。没上岸的朋友也不用着急。可以私信我。我来帮您。我没有别的我只希望网贷的朋友，尤其是九零后越来越少，什么借贷还贷这种事情不让在发生了。网贷有的时候一个家庭都背负不了的。更别说你们了。加油。为了新的生活。为了新的人生。而努力。#上岸打卡##网贷##网贷上岸##分期乐##你我贷##蚂蚁花呗##信用卡##p2p抓钱猫逾期##借贷宝##芝麻信用##戒赌##信用卡逾期#
poorsoloo,:我想利用周末的时间去看下牙齿，@牙齿矫正之家，求推荐！从小就是这样，俗称玉米龅牙。一笑起来上牙龈就都露出来了。其实闭着嘴巴的时候也还好，只是因为龅牙，放松情况下嘴巴其实无法完全闭紧。有什么解决方法吗？费用大概多少？需要多长时间才能恢复正常？，我看过英瑞齿科、皓齿佳口腔、康齿乐口腔感觉一般，你还能帮我推荐其他天津牙科吗？希望矫正后牙齿对刃得到改善，调整良好的覆合覆盖问题吗？求回复！#天津牙齿矫正公立医院##天津牙齿矫正哪个医院好#
整形咨询师小汐,:济南隆胸日记投稿：假体隆胸术后1天，做胸之前做了很多功课，原以为要穿束身衣会觉得很不舒服啥的，现在做了之后，也还好啦，睡一觉醒来手术已经做完了，一直在医院病房躺着，头也晕，不想吃东西，但是护士们早上都会给我准备白粥，中午正常吃饭，但是前两天没有什么胃口，有种说不出来的感觉。到了第三天感觉就好很多，简直满血复活，动如脱兔，能正常吃饭走出病房到外面晃荡，轻松了不少。
是超甜的梦J啊,:想了想没有一个人对我好点儿人就怕闲只有闲才会想的多其实自己心里什么都懂说出来吧显得有点矫情不说自己又觉得委屈结婚嫁对了人还好嫁错了还不如一个人自在当初就应该在外面飘荡也就不会像现在这样被逼着接受自己不喜欢的结局人啊活得太累世俗的眼光终究会害了人没有自由没有思想最后变成了自己最讨厌的模样任何时候一个姑娘都要独立因为只有自己才是自己最后的港湾不需要多成功自己心里舒服就好愿每个姑娘都尽量过上自己想要的生活M
甜橘416猪猪,:#朱一龙2020爱你不停#💋#朱一龙2020并肩前行#天啦，我们的崽崽长大了，呃，我有点妈不起来了。还好一直都是多重身份
smile-整个夏天,:马上就要拆牙套了。想当初嘴巴和牙齿中线不对称每天照镜子都被丑哭，不仅如此还有半侧颜面的萎缩畸形，活得自闭的日子终于结束啦。还好找到@广州齐牙君推荐去了广州黄沙广大口腔、摩尔齿科、怡康牙科，现在唇面部形态也更加饱满，显得比较年轻！真的活出了漂亮的自我，真香！#广州牙齿矫正##广州下颚不对称术后图片#
杰斯特-奇,:马上就要拆牙套了。想当初牙齿排列拥挤+不整齐导致阻生智齿。不仅如此还有门牙太大，一颗2号牙存在反颌问题。真是让我活得难受。还好有@矫正之家，推荐去了长沙爱思特口腔、熙美口腔、优佳口腔。现在咬合不正的问题得到解决，虎牙拉下来，下巴也出来！真的活出了漂亮的自我#长沙牙套隐形好还是钢丝好##长沙龅牙齿矫正方法#
一本正经的柿哥,:http://t.cn/A67WALAr意大利疫情实时图。伦巴第大区最严重，其中米兰93例（图1），周边几个小城市都比米兰厉害，洛迪482、贝尔加莫372、皮亚琴察256、克雷莫纳287。有说是米兰人比较有钱比较怕死
是点点也是连,:暗恋的感受对我来说还好，如果说已经察觉对方对你没意思了，那暗恋就像是存在于自己小世界里的一份感情，对于我来说，我是不想摆出来再说了，如果对方对你没感觉，我想我这份暗恋也会不知不觉的消失了，以朋友的身份会更长久。或许有人会觉得不说出来会很对不起自己，但我觉得不会，暗恋本身是一个人的事，是自己小世界里的一份小开心小甜蜜。当然双向暗恋是最甜蜜了的，我很庆幸我的每一份暗恋都是双向暗恋（暗恋前我是不知道的，所以我也一直都没有提过这件事，只不过眼神是不会出卖人的，直到对方表白我还会很懵，大脑一片空白的那种）http://t.cn/A67pKdpV
初阳一缕,:我奶奶！我特么！你咋那么能作妖呢？！说我回家这么久不回去看过你，没给你打过一个电话...你自己说说还好，哦豁！居然跟全村的人骂我们一家子，这还不够，还得打电话给七大姑八大姨，只要认识我们家的婶婆阿公都骂一遍，然后我跟我妹就是不孝的首要分子？
