Bluuue_Nel,截了下魔法世界到目前为止全十部电影片头➕片尾图片！你最爱哪一部？
独行骑士·Lwf,:全球新冠肺炎疫情地图-人民日报·丁香园http://t.cn/A6PNw0Ha
大米与花花,:不知道自己该去往哪个方向，是顺着地图，还是顺着路灯。我的目的地在什么地方？我会在什么地方停靠休息？海雾遮住了航行的方向，我迷失在其中。我的灯塔又在什么地方呢#冒个泡#
oJenee,:拿张北京地图：可能点中一个厅局级单位……用针扎三下济南·银座超市北园店
JA前方有大叔,中午起来发现有些亲戚在自发的帮咱盘狂评五星，谢谢大家的五星护体神符，放心，天塌下来有我这个网盘一哥顶着，为表感谢亲戚们的一腔热血，关+转，3月12号当天薅出10名幸运亲戚送上1年超级会员
高山青VIP,:《知名经济学家实名指控，罪魁祸首就是湖北武汉主事人！》华生先生给出的第一个论据是：起预警作用的国家网络直报系统，疫情防控的第一条防线，被湖北和武汉方面绕过去了，形同虚设。#武汉加油##武汉你好吗##最新疫情地图##新型冠状病毒##武汉再建10座方舱医院##最新疫情地图##新闻##天天向上##武汉神医#http://t.cn/A670vksl
晴雨风曰,:#晴雨风说史[超话]##晴雨风说史#换一种方式解读《四渡赤水》的壮观场景，更能令人深刻地感知到红军面临围剿时的灵活机动的战略战术是多么重要，它挽救了红军。via：三维地图看世界#历史#晴雨风曰的微博视频
coffeegreen,:又一次看着地图一块一块渐渐红起来.....历史总是在重复
沐了个番茄,:三殿下说把瓷土的地图送给帝君，帝君说了一个好办法他都没法拒绝沐了个番茄的微博视频
FANNY-廖芳妮,:百感交集的一天！百度地图我就要卸载你！
穿越火线聚乐部,:【#穿越火线#】穿越火线被删除的经典地图，满满的都是回忆，玩家：这是我的青春穿越火线聚乐部的微博视频
打着灯笼看日出,:西方国家从开始的隔岸观火，到现在的感同身受，你们是否会明白，病毒面前世界是一体的，没人可以独善其身，哎可惜你们不懂『实时更新|新型冠状病毒肺炎全国疫情地图』实时更新|新冠肺炎疫情地图
爱吃碳水的孔洞,#秦霄贤#老秦，我人生最大情敌赵又廷~没有什么是高圆圆一个签名解决不了的~有的话就加送张海报！师傅的相声社的微博视频
行业洞察者,:Horrible！#最新疫情地图#
VanPeople人在温哥华,:【意大利回来感染？加拿大第一例校园疑似病例出现！】从地图可以看出，疑似病患去过的这栋楼处于校园中心位置，每天都有大量学生在此活动。目前疑似病例去过的这栋学校大楼，已经开展清洁消毒工作：http://t.cn/A67pmcBN
醉荫小山,:在美国第7例死亡患者确诊（其实是第一例吧，死亡四天之后才确诊）的当口，大家发现CDC直接弃疗了。地图上只会显示yes不再有数据了
趴下-佛系cp狗日常爱与和平,
夜fork_191,:则是在林林总总的MOBA网游中最引人注目的游戏产品，而又暴雪娱乐所开发的《风暴英雄》。【独树一帜的暴雪盛宴《风暴英雄》评测】从最开始一张简单的RTS游戏衍生地图到现在成为网游市场推崇的新贵，MOBA类游戏在近些年最受玩家欢迎的新型游戏模式！
打着灯笼看日出,:西方国家从开始的隔岸观火，到现在的感同身受，你们是否会明白，病毒面前世界是一体的，没人可以独善其身，哎可惜你们不懂『实时更新|新型冠状病毒肺炎全国疫情地图』实时更新|新冠肺炎疫情地图
爱吃碳水的孔洞,#秦霄贤#老秦，我人生最大情敌赵又廷~没有什么是高圆圆一个签名解决不了的~有的话就加送张海报！师傅的相声社的微博视频
行业洞察者,:Horrible！#最新疫情地图#
VanPeople人在温哥华,:【意大利回来感染？加拿大第一例校园疑似病例出现！】从地图可以看出，疑似病患去过的这栋楼处于校园中心位置，每天都有大量学生在此活动。目前疑似病例去过的这栋学校大楼，已经开展清洁消毒工作：http://t.cn/A67pmcBN
醉荫小山,:在美国第7例死亡患者确诊（其实是第一例吧，死亡四天之后才确诊）的当口，大家发现CDC直接弃疗了。地图上只会显示yes不再有数据了
草草是一条坚强的咸鱼,觉得首页很多人被挑动情绪时，一激动攻击起其他群体起来，很容易忘记我们自己可能就有朋友是那个群体里的人，这挺不好的哇……比如最近有在骂什么移民者都有身份认同问题，我自己就有较为严重的身份认同问题2333
是初八呀_,:#剑网3[超话]##剑网3捏图##剑网3视频编辑器#
_阿紫6677,:这一串串让人震惊的数字最终麻木了人心。『实时更新|新型冠状病毒肺炎全国疫情地图』实时更新|新冠肺炎疫情地图
带着鱿鱼-去旅行,:#百度[超话]#她是百变声咔，你的万能助理健康管家@湖南年代音乐台主播@贾楠RE抗疫特别版语音包已经上线，平安出行百度地图，#共同战疫，与你同行#
湿漉漉璐诗诗,:好久没有失眠了……
春种来港举家,:捷克！我们都是三好学生吃好睡好玩好；斯诺伐克和匈牙利等国地图。开发商SCSSoftware公开该游戏最新DLC“北欧”……该游戏此前通过“走向东方”版本加入波兰
逆走熱帯魚,:。unbelievable。能因为热搜时隔八百年点开了剑网三……蓬莱地图好漂亮啊，逛gai逛到现在（）gww做梦笑醒
李大锤同学,:真可怕，塞尔达就像个时间黑洞，这游戏多少个小时都填不满啊……我刚刚才发现宝可梦剑盾我25个小时就通关二周目了，然后就再也没打开过。而塞尔达已经80+小时了，我每天还在发现新东西，刚刚解救了一条被盖农侵蚀的冰龙。而且我至今盾反成功率还只有20%，五次只能成功一次，满地图找盾牌，就这样根本不敢进海拉鲁城堡。人马也都是绕着走，不耍阴招根本打不过……这什么神仙游戏……
Vito_Cheng,虽然广东的经济总量一直力压江苏，但百强县排行上却只有惠州博罗县一个靠后的独苗。这是为什么？作者：海下广东省为什么没有百强县｜大象公会
农禅子,:有人不理解怎么这么多国家都要援，这么多事要助，是不是多管闲事。事变时移，因为这几年世界变化过于巨大，有些人还没反应过来，还盯在旧地图上。所谓国内问题的范围已经扩大了，很多地方在空间上是国外，但重要性和系统性是等同于国内问题的，甚至有的更急迫一些。这个世界地图才是中国现在的视角：
mindmymindkk,:我真的被我同学笑死了他各种找车满地图乱跑还炫他的摩托车技然后一起摔飞出去我一枪都没开躺进了第二后面因为他先被打死了只剩我了我就完蛋了
虾言,:记第二天骑车上班：昨天由于停车事件的扣费要骑两个月自行车才能跟坐公交基本持平，由于对路况的不敏感今天真是骑得很累，也侧面证明了体能还是那么挫，好不容易骑回来，发现住处附近的’停车位’已经满了，好在在查地图的时候有人过来骑走了一辆
謝謝tutu-,:生活，总会和不一样的人一起相处过来，度过很一小段人生生命很长也很短，长得你想现在的快乐就是永恒，短得经历挫折就快要绝望边缘相处过得人总会告诉你这里有坑，那里有刺，我给你看地图，你要注意，你要细心谨慎，你要备好急救品他们都是善良的人，所以你也要善待别人你认为的世界是怎么样的，就会看到什么样的世界现在，你相信还会遇到很多很棒很优秀的人，会发生很多意想不到的惊喜和很多值得你去珍惜的事物成长，太难了需要指引需要教导需要鼓励需要认可需要收获需要沉淀需要学会放下未来，我什么时候才能看到你真正的在长大除了要保持你开朗的大笑和善良的心要知道坚持努力付出和懂得责任什么时候才能看到我
霸气小脑斧,:『实时更新|新冠肺炎疫情地图』实时更新|新冠肺炎疫情地图
HERMES的小窝,:#最新疫情地图#据奥地利卫生部网站消息，截至当地时间3月3日16时，奥共进行了2683次新冠病毒检测，现有确诊病例24例。
HERMES的小窝,:#最新疫情地图#英国国家医疗服务体系宣布，将新冠肺炎疫情升级为“4级事件”，为最高级的紧急情况。
咱们去远方旅行,:西安美食地图这是一份完全意义上的西安美食攻略，纯美食！不来虚的，按照钟楼，东西南北四条大街划分，无论你住在哪里，都能找到你喜欢的美味，为了这份攻略的部分补图，肉姐差点吃吐在永兴坊门口！为西安美食打call这真的是最全最省时间最经济的美食地图了分享来自：我要带我去吃肉a目前因新型冠状病毒疫情严重，建议大家不要出游#咱们去远方旅行##旅游推荐#
·方应看的小河豚·,:没有人不喜欢御三家我今天就要开这个地图炮！
时流盻,
海浪一浪接一浪,:触目惊心，全球经济遭受重创『实时更新|新型冠状病毒肺炎全国疫情地图』实时更新|新冠肺炎疫情地图
南城冥狱_1a8,“在屈辱和人类面前，我建议你选择人类。”
永不島之風,“在屈辱和人类面前，我建议你选择人类。”
HERMES的小窝,:#最新疫情地图#【加国新闻】如新冠疫情恶化，加拿大政府有权像中国那样封城，实施强制隔离.根据加拿大隔离法案，联邦卫生部长有权采取全面措施.如有人违反该法案，最高罚款$100万，面临最高三年刑期。
张俊欣Heart,【绝地求生三周年分享您的游戏记忆】庆祝3月23日PUBG三周年，带话题#春日游戏季##绝地求生三周年#分享您的三周年记忆，赢@英伟达游戏GeForceRTX2080PUBG定制显卡！#帧能赢#带话题#绝地求生三周年#转发评论此微博，送上您对PUBG的祝福，抽1人送iPad一台！具体活动规则戳↓
热搜旅行,:西安美食地图这是一份完全意义上的西安美食攻略，纯美食！不来虚的，按照钟楼，东西南北四条大街划分，无论你住在哪里，都能找到你喜欢的美味，为了这份攻略的部分补图，肉姐差点吃吐在永兴坊门口！为西安美食打call这真的是最全最省时间最经济的美食地图了分享来自：我要带我去吃肉a目前因新型冠状病毒疫情严重，建议大家不要出游#咱们去远方旅行##旅游推荐#
GabriellaLIU_,:今日新增466貌似开始考虑把米兰也划为红色区域了地图上怎么看米兰都太可怕了真的
-枝桔-,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
琉娜Luna_冬眠啦,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
昂兰,“在屈辱和人类面前，我建议你选择人类。”
沉着D郭雍恬904,:每一个北漂都有一段对北京城市的生活记忆，奋斗的，难过的：温暖的！吶喊的···曹轩宾的《你不在北京》！唱出所有人深刻的情感地图漳州·漳州卫生学校
环球V拍摄,:西安美食地图这是一份完全意义上的西安美食攻略，纯美食！不来虚的，按照钟楼，东西南北四条大街划分，无论你住在哪里，都能找到你喜欢的美味，为了这份攻略的部分补图，肉姐差点吃吐在永兴坊门口！为西安美食打call这真的是最全最省时间最经济的美食地图了分享来自：我要带我去吃肉a目前因新型冠状病毒疫情严重，建议大家不要出游#咱们去远方旅行##旅游推荐#
劉薰愛本神,:#202003VLOG#家人遊3-2苗栗深山秘境的山上人家拜訪---#民宿的莊園下午茶#楓葉地圖#湖畔花時間#會說掰掰的鵝#鵝還是#鴨?2020年3月3日#後面有很多照片截圖http://t.cn/R47dNoP劉薰愛本神的微博视频
磷钛皛哠,:虽然才玩了10几个小时，但是塞尔达那个地图真的好真。我不会看地图白走了很多地方。那些河流出口的地面真的是沙……连洪积扇冲积扇都有……一堆山脊山谷盆地鞍部缓坡陡坡陡崖……玩的我想上回高中地理补课……
-WeIiy-,《瘟疫公司》在国内被和谐下架之后，刚过了审批的所谓正能量游戏居然就是这个，完全就是把人家从玩法到界面“逆抄袭”了一遍，还敢更无耻一点吗？另外，最后这价格每周收费98元也是真敢要啊……点了就自动续订，感染度比病毒还牛逼。这种20年前的彩铃包月套路，居然还能活到今天且过审，也是开眼界了。
燕园观雪,转关抽【50000通宝】#剑网3[超话]#迎春版第三弹，巴蜀风云系列地图重制版2月27日体验服抢先上线，3月9日上线正式服！这是一个被时间遗忘的地方当安静的风亲吻过蝴蝶的翅膀草木深处再无人寻访尘埃覆盖了来往的足迹日光褪色了岁月的模样在最寂然无言的战场这里的山川也曾见证过江湖的刀光曾有少年神采飞扬把世事都倾浊酒一觞回首处天地无言英灵的目光如南疆许久不落的太阳自别后山高水长过路人，无论你是否听过这里的故事请允许我姗姗来迟，与你重逢在新的时光[微风]http://t.cn/A677dJ8I
北漂青年2018,这种最为基础的国家数据需要爱好者自己整理，是民政和信息部门的耻辱。国家搞了那么多xx信息中心，xx大数据局，xx智慧城市xx大脑xx中台，但是连最基本的县市省的边界都没有靠谱的最新的公开的，更不要说乡镇街道和存社区的边界竟然沦落到黑市交易的商品。还要不要底裤了～【数据整理】2019年行政区划调整的数据更新与分享
魔龙Cory,《瘟疫公司》在国内被和谐下架之后，刚过了审批的所谓正能量游戏居然就是这个，完全就是把人家从玩法到界面“逆抄袭”了一遍，还敢更无耻一点吗？另外，最后这价格每周收费98元也是真敢要啊……点了就自动续订，感染度比病毒还牛逼。这种20年前的彩铃包月套路，居然还能活到今天且过审，也是开眼界了。
索狗伪bot,《瘟疫公司》在国内被和谐下架之后，刚过了审批的所谓正能量游戏居然就是这个，完全就是把人家从玩法到界面“逆抄袭”了一遍，还敢更无耻一点吗？另外，最后这价格每周收费98元也是真敢要啊……点了就自动续订，感染度比病毒还牛逼。这种20年前的彩铃包月套路，居然还能活到今天且过审，也是开眼界了。
阿嘎嘎啊,Noel于百忙之中（指做指甲💅和上语言艺术课）发推否认收到重组绿洲offer，正面回应了曼彻斯特演出票没卖完的消息，并表示会在十三年后退休。
阿猪就是阿猪,:每次拿不动货的时候真的感到心有余而力不足找了很久找不到某个地方的时候打电话过去说我真的找不到能不能你过来对方却说发了定位过来……好无奈我真的看不懂地图也就算了只是我手里还拿着沉甸甸的货又再次开始寻找以前高跟鞋穿太多加上平时走路也多现在损伤了稍微一走远脚跟痛太难了回深七天了这几天一日三餐都自己做饭父母叮嘱的现在这种上班模式还蛮有趣就是上半天比上一天还累最近家里挺清静是一件好事希望大家都平安健康晚安
HERMES的小窝,:#最新疫情地图#德国著名病毒学家ChristianDrosten相信，70％的德国人将被感染上#新型冠状病毒#随着这种病毒的持续传播，在德国，预计还会有更多的感染者。他说，“可能会有60％到70％的人被感染，但我们不知道在什么时候发生。”“这可能需要两年甚至更长的时间#全球疫情#
HERMES的小窝,:#最新疫情地图#阿根廷确诊首例新冠肺炎病例。阿联酋新增6例新冠肺炎确诊病例。
融媒山西,:#山西肺炎疫情最新情况#【山西连续8天0新增！累计治愈出院124例
山西城市频道,:#山西肺炎疫情最新情况#【山西连续8天0新增！累计治愈出院124例
隽奥婷灬执著,:原本计划与新地图一起更新的新职业武士却没有如期上线、同时曝光武士截图。为此官方对玩家表示歉意并称新职业武士将在二月中旬上线，【《黑色沙漠》新职业武士二月中旬上线】人气韩游《黑色沙漠》韩服近日更新新地图“梅地亚”随州·老兵油焖大虾(许家井路店)
地球镜头A,:即时战斗地图更新，叙利亚政府军防空部队连续击落两架土耳其无人机---击落地点我已在图片上加注，点击放大即可看到一小时前，叙利亚军队在伊德利卜的汗·萨卜勒镇以东乡村击落了一架土耳其无人机，萨拉基布以东的另一架土耳其无人机也被击落（早前的防空作战已经击落两架）另外，叙利亚军队在萨拉基布市以北的马拉特阿利亚村进行炮击时，造成土耳其军队人员伤亡，土耳其多架直升机在获得俄国批准后进入叙利亚，后送伤亡人员（图三）
大韬哥,:真正的世界不在你的书本和地图中，——《霍比特人：而是在外面！意外之旅》
为什么中间会有激光扫过啊,:女儿节地图好多可爱小鸟，得想个办法都拍拍。
我只是一个彩蛋,#天涯明月刀OL[超话]#2020新门派投票结果出炉
甜柠檬我不酸,:#王者荣耀[超话]#玩辅助先跟着打野去反野了，射手没有人帮忙，没人帮射手也不猥琐，然后死了。死了就打字问有没有辅助，我让他看看小地图，我去反野了。她还是指责我，队友有一个就帮我骂他，他就开始一趟一趟的送人头，我们在吵架中输了。啊啊啊啊你没有妈妈吗什么都可以怪辅助
艾欧泽亚吐槽站,:【投稿】站好！算是有感而发吧，前段时间在伊尔美格做任务偶然发现一只A怪，本来蛮激动想喊话看能不能打，后来一想不太清楚狩猎车的规矩怕触雷，就跑去问了基友；结果基友说狩猎车除了B怪都要集体活动的，最后就还是没打
得空间,:#第五人格#新地图很漂亮到后面完全不想捉人了想找个漂亮地方截图
tuntupaitan,:Vtop丶闲云野鹤组以大比分3。最后一个地图甚至打到最后加时赛……在这里感谢2个队带来的精彩比赛……逆战TGA精英选拔赛最新消息……比赛十分精彩！汉宫也是很棒的……上饶·上饶市聚缘宾馆
脉冲蝴蝶泳,:想想还是涛吧。现在网络上的部分睿智发言果然可以让人看得乌鸡鲅鱼
微风细雨Xiang,2019年10月8日，空间站宇航员拍摄到的科罗拉多高原，这张图中我们可以一同看到古老的地质特征和现代水库。详见：http://t.cn/A67pUURG
HERMES的小窝,:#最新疫情地图#【陕西一医院被曝一线医护补助最低400元，医院领导拿8000元卫健委：已介入调查】#医院领导抗疫补助远高一线医护#3月2日，一名网友在微博中贴出陕西省安康市中心医院抗疫一线补助名单，据名单显示，该院负责预检分诊及发热门诊、急诊内科、CT室的医护人员核定的补贴在400到4000元之间，其中大部分医护人员补贴金额不足1000元。另一方面，网友用红线在表格中圈出39人，其中显示，他们的补贴金额在8000到12000余元之间，公示名单中注明这些人大多为安康市新型冠状病毒感染的肺炎病例医疗救治专家组成员，也有控感科工作人员及院长助理。对此，安康市中心医院3月3日回应称，医院存在对一线防控人员工作补助核定标准把握不准，审核不严等问题，错将拟上报审核一线疫情防控人员临时性工作补助名单公示为补助标准，在未经上级审核批准前，内部职工反响较大，引起关注，该院党委书记、院长陈文乾已对重新核定提出严格要求。安康市卫健委一名工作人员称，关于安康市中心医院疫情防控补贴一事的质疑及相关问题，舆情发生后，安康市卫健委第一时间注意到，目前已介入调查。（澎湃新闻）
拧不开盖的小朋友,:hhhhh我要笑死了开黑我貂蝉上路对线程咬金，开局优势之后，我开始全地图疯狂追程咬金然后从5-0打成了5-4，结果对面逆风翻盘，队友心态一定很崩。但我真的很想笑哈哈哈哈哈哈笑死了。
绿色暖人心吗,:嘿嘿！！动作还有两个地图就肝完了
叫我麥憨麥憨麥憨,:本人：纯人工智能看图识地，全景地图
吃得多晚上拉不拉多,转关抽【50000通宝】#剑网3[超话]#迎春版第三弹，巴蜀风云系列地图重制版2月27日体验服抢先上线，3月9日上线正式服！这是一个被时间遗忘的地方当安静的风亲吻过蝴蝶的翅膀草木深处再无人寻访尘埃覆盖了来往的足迹日光褪色了岁月的模样在最寂然无言的战场这里的山川也曾见证过江湖的刀光曾有少年神采飞扬把世事都倾浊酒一觞回首处天地无言英灵的目光如南疆许久不落的太阳自别后山高水长过路人，无论你是否听过这里的故事请允许我姗姗来迟，与你重逢在新的时光[微风]http://t.cn/A677dJ8I
海南国际旅游岛之声,:#最新疫情地图#【8人，海南新冠肺炎住院病例降至个位数！】3月4日0时，海南省卫健委公布的数据显示：3月3日0时至24时，海南无新增确诊病例，新增4名患者出院。由此，海南新冠肺炎住院病例只剩8人，降至个位数。来源：海南省卫生健康委员会官网
恋尔的嘉柒,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
温文尔雅微笑君,:#明日之后[超话]##明日之后#不知道大家对这种16庄武士打低等级还刷甲（不承认）的做法怎么看，为什么良心就一点不痛呢。就有一种反正你也不能把我怎么样的意思。ad：被打的人从地图回来了，他在飞机守着，等无敌一过。坐飞机回营地人物角色会比视角先落地，也就是说你还没看见自己回去，实际上角色已经落地了。
tuntupaitan,:Vtop丶闲云野鹤组以大比分3。最后一个地图甚至打到最后加时赛……在这里感谢2个队带来的精彩比赛……逆战TGA精英选拔赛最新消息……比赛十分精彩！汉宫也是很棒的……上饶·上饶市聚缘宾馆
恋尔的嘉柒,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
