貓咪Chul的希天才,:从来没有这么喜欢过一个人，可能是老了吧……
手指相對的ET婆,【#刘真#惊传自发性脑出血！　“开颅手术抢救中”状况不明朗…医师：高危险等级】据医界传来的消息，国标舞女王刘真今（3日）下午接受脑部电脑断层检查时，发现有自发性脑出血状况，院方已紧急安排开颅手术抢救，状况尚不明朗。(agent)台湾·新北市
布丁机器猫上树,全世界第一支新冠状病毒疫苗注射到发明人陈薇院士的左臂上。
richJ2015,#HKT48[超话]##田中美久[超话]#【中字】彩蛇是新婚燕尔的小夫妻20.3.3srcut田中美久的微博视频
倾石吭哧吭,:一位老弟在群里扔下一句学校退住宿费就遁了，独留大家嗷嗷兴奋地讨论消息真假啊啊啊啊啊这种撩完就跑的人可太过分了如果退住宿费的话，哪怕只退一个月，四舍五入我就实现了自己暴富的新年愿望
新垣结衣是俺们屯的,:美股怎么回事，啥消息这么劲爆
我酒品超好,真正的十问肖战，不能被凤凰网的十问带了节奏，那是给他洗地的！（图源🍉组）
我将要变成猪了__,:#TEN[超话]#刚买的bubble接收不到历史消息有没有姐妹能帮帮我[失望]
CHEN小PP888,松本润粉丝挂出肖战粉丝！称肖战粉丝个站偷了松本润的歌曲和电影并出版pb，表示非常不耻这种行为，今后会抵制肖战代言，拒绝看他出演的影视剧！这都涉及日圈了
童心未泯_999,:后来你不再逢人就掏自己的心。你开始计较起绿洲付出和回报，在意澳门赌场的那个人你付出得值不值得。在很多人眼里，你变的很成熟也就很自私。好消息是你懂得了爱自己，坏消息是你很难再去爱别人牛牛。——网易云音乐热评《后来的我们》
YUMANI原成闲,:现在去百度一查全都是xzwg的消息开始🐴我们吃人血馒头开玩笑我🐴他是三月才开始🐴的吗我🐴他fs是从二十七号开始🐴的一开始我还说不是他本人的问题我不能🐴他跟他没关系直到我看见那封道歉信
壬意智丨邪恶,:《鬼泣》续作的消息则更让粉丝所期待，鬼泣》重制版和次世代版《鬼泣4》消息一直没有停过……叫我女王|人生就像蒲公英看似自由、】关于《DmC。开发商终于公布了关于《鬼泣》系列正统续作的最新消息，《鬼泣》正统续作情报曝光2015年见：【这次不是冷饭；不过相对于这些冷饭！
每日经济新闻,:#载1200人德国邮轮接受隔离#【又一艘“钻石公主”号？一艘德国邮轮在挪威港口接受隔离，船上1200名乘客】据彭博社刚刚消息，一艘载有1200名乘客的德国邮轮在挪威的海于格松（Haugesund）港接受整体隔离，此前，该邮轮上两名乘客进行了新型冠状病毒检测。（环球网）
是一只神奇的小火炉吖,:这两三天我已经被一群废物垃圾粉丝气炸了，气死我了气死我了
楀楦,:我学会了生气哭到喘不过气来接着给别人回消息，研究新软件
小萌萌一点都不萌,:不知道今年是怎么了，一直到现在所有糟糕的事情接踵而来，疲于应对。我们都说2019是最艰难的一年，没想到2020才是最不想要的开端。因为新冠的问题居家至今，一开始每天早上醒来最先拿起手机查看最新消息，而后桩桩件件触目惊心，几乎每天打开微博都有新的事情发生，舆论一波一波反复，信息疯狂刷新。离校以前和友人约好了的春天要一起去青龙寺看樱花，去年错过花期遗憾了很久，看来今年也是圆不上这个愿望了。这样糟糕，真是让人难过。但是，人总是要向前看的啦！对着空荡荡的屋子难过够了就默默脑袋起来继续吧！病情必定会好，种花家终会海晏河清！未圆的约也必定会有结果。可爱，我希望你过得好！都会好的！
换了个自己能记住的名字,:>>观望了一下评论区看到说泰国隔离是假消息
Laysweet美人莲,:虽然我好友圈人很少但感觉追兴体验max人都很好消息也很全超级开心的
宇宙无敌巨可爱LXY,【联合国#安理会轮值主席国办公室什么样#？
环球时报,:【又一艘“钻石公主”号？一艘德国邮轮在挪威港口接受隔离，船上1200名乘客】据彭博社刚刚消息，一艘载有1200名乘客的德国邮轮在挪威的Norwegian港接受整体隔离，此前，该邮轮上两名乘客进行了新型冠状病毒检测。（环球网）
拿心一样疼女人,:1945年4月12日，罗斯福总统在胜利前夕去世。罗斯福总统去世了。这位美国第31任总统在佐治亚州的沃姆斯普林斯他的精致的小别墅里突然死去
你是可爱本尊,:清一波关注因为很喜欢的写手为此封笔画手退圈我的快乐也被剥夺了很多所以带有某人属性的我都删了不开麦了但我实在不想再看见关于他的任何消息微信qq我也会一并删掉的感谢曾经相遇祝以后都好
Seamyee-,:今天的好消息来自土娜
摩羯天籁201708,:看看这标题：“重磅！中医首次被纳入世卫组织全球医学纲要”～国人自豪～人心振奋！👏👏👏
李荣强18710811955,【#美国新冠肺炎确诊增至74例#彭斯：未来可能出现更多死亡案例】#彭斯美国未来可能出现更多死亡病例#特朗普任命统领美国本土的抗疫工作后，当地时间2月29日，彭斯接受了美国有线电视新闻网（CNN）采访。在1日播出的节目中，他表示虽然大多数美国人面临新冠肺炎的风险低，但可能即将出现更多死亡病例。据美国有线电视新闻网报道，截至当地时间3月1日18时，美国累计新冠肺炎确诊病例74例，较24小时前增长5例。via.@观察者网
风在传递讯息,:#iPad[超话]#山东发到几号了？一个来自3月的选手打探消息[喵喵]
6ixyoung,:#我的2020#1月27号凌晨4点还在刷着朋友圈的我看到了一则科比去世的新闻。我心里想着:怎么会有这么假的新闻但是没过一会越来越多的报道和消息铺天盖地的压在我的心里科比他真的去世了…到现在我还是不相信他怎么可能那么突然的就不在了从初中开始就喜欢科比不知道把他的事迹和精神写在我的作文里多少次了和朋友在一起打篮球经常的去模仿他我还记得初三那年4月14号他的退役战我们班男生都在数学课上偷偷的看他最后一场比赛科比也没让我们失望在退役战上砍下60分比赛结束我们全班男生都又激动又兴奋的悄悄喊着科比nb！科比啊他可是我的整个青春啊如果可以重启2020我最不希望的就是这件事的发生虽然科比去世了但是他活在每个科密的心中他的精神依然会激励着我不断前进！R.I.PKOBE·BRYANT
红豆草莓团仔,:2020.3.3注定不平静的一天，这一天发生了好多事啊现在我已经充分平静下来了，就是朋友圈发的消息被亲戚误解了哈哈哈哈😂？？怪不得大家要隐蔽父母，怕是避免这么多误会首先，嘿嘿嘿嘿…………🐭🐭其次，冷暴力小心机啥的不喜欢，超级不喜欢，别把我当傻瓜！！！哼！不善良的人最后会遭报应的，最后会以任何方式回来的。原来友情👭这么淡泊吗？？？为啥不能实事求是呢，每次这样相处就好累，最后超级生气😡！纯粹一点，我喜欢纯粹一点的！！简简单单说的就是你
芒果茶茶z,:S.C.I迷案集真香！！蹲一个第二季开拍的消息
这个号之前叫假装逛泰国,#泰国隔离#?【阿努霆：凡去过风险国家的民众，全部无一例外自我隔离14天？】#泰国社会头条[超话]##全球疫情##泰国疫情##全球抗疫第一线##新冠肺炎疫情泰国消息更新#泰国头条新闻社讯据泰媒报道，3月3日泰国副总理兼卫生部长阿努霆在个人脸书上发文，并晒出卫生部通告文书。根据阿努霆发布的文件内容显示，卫生部已经将几个国家定为传染疾病危险区，这几个国家分别是日本、德国、韩国、中国（含港澳台地区）、法国、新加坡、意大利和伊朗。此外阿努霆还在推文中称：“凡是去过上述几个国家的民众全部毫无例外需要自我隔离14天！大家一起忍耐、抗争吧！”另据泰媒Bangkokbiznews消息，阿努霆在发布后又删除了该条推文内容。卫生部新闻办向媒体发布消息称，之前公布的公告信息需要更改，请等候新的公告。泰国头条新闻社向有关部门官员求证，泰国国家旅游局局长表示，卫生部的这一规定还需要1-2天时间进行进一步的研究和修改，请广大民众和游客耐心等待，不要信谣传谣。（编译：知否，来源：Khaosod、Bangkokbiznews新闻网）http://t.cn/A67Nxn1k
楠妈炸了,:每次在热搜看见别人提起你都会给我一种错觉我以为你还活着可是却再也刷不到你的最新消息...
好的全都给我送过来,:热搜突然出现远古网红，大学时还关注一阵子。挺好玩。当时和老刘还挺好，之后忘了有没有毕业，看过热搜他们分手的消息。突然间现在又有后续了。
neinei臭屁大美女,青创百位选手名单，你们现在有没有想要pick的？i选秀的，三月就可以开搞了
小雨啊ZZZ,:我分享了@参考消息的头条文章朱一龙：从演员到榜样
漤芏少女,:对于每天都要给我发微信，跟我聊天的97年小老弟，我该如何跟他说，我不爱聊天，觉得抱着手机打字打来打去很麻烦，最重要的是，很影响我玩手机，网上冲浪啊！！！🏄♀️不是看了忘记回了，或者意念回复，而且我根本就不想回消息
曹菲,我他妈我了
魏亞欣_,:其实我不用看到你的脸才能喜欢你，也不用听到你的声音，不用知道你有什么消息。我所知道的是，在生活中不多见的闪光的时刻我会想到你，烟花升起来，雪落下去，人们围上来拥抱我，这样的时刻。我猜你和世界上所有的美好连在一起。所以我想尽量去看一些好的东西，这就是我喜欢你的方式。
唯蜜瘦董事大辉辉,:零售➕5⃣️都是直接一疗程一疗程下单🔥🔥今晚太忙了回消息我要晕了🔥🔥
王灵玉,:希望看到消息的人都能在11点之前睡觉，因为我妈说，最晚不能超过11点。
冷家一一,Netflix出品《爱，死亡和机器人》第二季即将回归，时间未定，坐等官宣！
smile风杏子,:最害怕这样的通知，来的那么突然、那么紧急……明天中午之前。不过再三再三看了又看，好像与我无关，瞬间安心了
2020碎碎念念小账本,:好想吃螺蛳粉，好想吃炸鸡
独活一生_xyzlxw,:是一款软顶敞篷小车。宝马旗下MINI品牌将于明年向中国市场投放两款全新产品；其中MINIRoadster车型将于今年9月的法兰克福车展期间全球首发……国内最新消息显示；这两款新车正式刚刚在海外发布的全新MINICoupe和Roadster车型珠海·凤山公园
私家野史,:2020年2月28日零时30分，据八路军研究会消息，著名抗日烈士、中共新闻事业奠基人之一何云之女徐如珍去世，享年93岁。何云，是国家首批公布的抗战英烈。他是《新华日报》华北版的开创者，深入太行山区办报，以笔作枪，为抗战做出了杰出贡献。红船杂志了解到，两年前徐如珍才被证实为何云烈士的遗孤。生于1927年的她父亲离开时还不到周岁，因个性低调，其真实身份知之者甚少。
歪与孬,:只有它！会每晚准时给我发消息…
今晚暴雨_,:现在在家都这么闲，还不能及时回复消息，也不能说明具体理由的，果然都不行。
-就是安妮啊,:你要知道，他没有及时回你消息的时候，一定是有比你更重要的人要陪#丧#
zxyyybm,:现在拿kd真的好麻烦，每天最怕看到的消息就是“你的kd正在配送中”
读len书咩,【那个深夜发微博求助的武汉老人走了……
瓶爸爸c,真正的十问肖战，不能被凤凰网的十问带了节奏，那是给他洗地的！（图源🍉组）
喵凹__,:没有电脑的日子好惨
非知名编剧兽兽,:疫情加快数字货币的推出这个消息隔三差五就要来一次，我也是服了。。
vonxue,:期待明天的好消息
西方墨点大师_Yani,【世卫总干事：如证据确凿将毫不犹豫宣布新冠为大流行病】据世界卫生组织官方微博发布的消息，世界卫生组织总干事谭德塞在3月2日的媒体通报会上提到，人们正在就这是否是一场大流行病争论不休。“我以前说过，我还要再说一遍：证据表明确实如此，世卫组织将毫不犹豫将它宣布为大流行病。”@参考消息
Youth喵M-M,:#曼大爱我❤️#睡觉一定记得关窗户
