宝鸡文理学院政法学院团总支,:#政法•疫情防控#【陕西无新增新冠肺炎累计218例治愈出院】2020年3月3日8时至4日8时，陕西无新增新冠肺炎确诊病例，新增疑似病例0例。截至3月4日8时，陕西累计报告新冠肺炎确诊病例245例（218例治愈出院，1例死亡），其中输入性病例116例，密切接触者114例，无明确接触史病例15例。累计确诊病例中，西安市120例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市15例、延安市8例、榆林市3例、汉中市26例、安康市26例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例0例。全省新增密切接触者1人（外省协查），累计18937人，均集中医学观察。新增解除密切接触者79人，累计解除密切接触者18388人。@宝鸡文理学院@宝鸡文理学院电气学院团总支@逸之狐_@奇德里
财经新媒体,:#《财经》原创#【数说疫情0304：海外新增达中国15倍，境外输入75例，美国充满变数
TeemoJoker,:看着各种输入性病例的报告，莫名地想到瘟疫公司里面的小红飞机和小红船
秋日的私语rainbow,:#武汉加油##主播说联播#【#隔离不分内外一视同仁#】这几天有些省增加了输入性病例。当下新冠肺炎疫情已蔓延到70多个国家，中国之外的确诊病例数已突破1万。韩国、意大利、伊朗等国形势尤其严峻。据我们的防控经验，加强隔离是可行的办法。隔离不分内外，也不会区别对待，更不会有例外，只有一视同仁和严格执行。http://t.cn/A67pGrZf
赛迪网官方微博,:【@全体湖北人民，成功就在眼前！加油！】据湖北省卫健委通报，3日#湖北新增确诊病例115例#，其中#武汉新增确诊114例#，鄂州市1例，其他15个市州均为0例。无境外输入性病例。还有一则消息，拼多多方面3日宣布，将联合“湖北省新冠肺炎疫情防控指挥部”所指定销售渠道，每天向湖北地区定向提供300万只一次性口罩，售价每只不到2元。口罩会通过特殊物资专用运输通道送到城市和小区消费者手中。#每天300万只口罩专供湖北#
咸阳政法,:#防控肺炎咸阳在行动#【陕西连续13天无新增新冠肺炎累计218例治愈出院】2020年3月3日8时至4日8时，陕西无新增新冠肺炎确诊病例，新增疑似病例0例。截至3月4日8时，陕西累计报告新冠肺炎确诊病例245例（218例治愈出院，1例死亡），其中输入性病例116例，密切接触者114例，无明确接触史病例15例。累计确诊病例中，西安市120例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市15例、延安市8例、榆林市3例、汉中市26例、安康市26例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例0例。全省新增密切接触者1人（外省协查），累计18937人，均集中医学观察。新增解除密切接触者79人，累计解除密切接触者18388人。（via健康陕西）#31省区市连续21天治愈出院超千人##湖北以外新增病例重返个位##打赢防疫阻击战咸阳政法在行动#
花阳甜一世,:我妈刚刚念新闻，“……输入性病例……噫什么性病啊还分输入不输入”？？？？您好好断句啊！是输入性病例，不是输入性病例
看看新闻魔都眼,:【上海已追踪到浙江境外输入性病例在沪密切接触者71人】3月3日上午，浙江省发布了新确诊7例境外输入性病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。http://t.cn/A67lwUfr
顺义体育,:#主播说联播#【#隔离不分内外一视同仁#】这几天有些省增加了输入性病例。当下新冠肺炎疫情已蔓延到70多个国家，中国之外的确诊病例数已突破1万。韩国、意大利、伊朗等国形势尤其严峻。据我们的防控经验，加强隔离是可行的办法。隔离不分内外，也不会区别对待，更不会有例外，只有一视同仁和严格执行。http://t.cn/A67pGrZfhttp://t.cn/A67pGrZfhttp://t.cn/A67pGrZf
张家口生态环境发布,:#新型冠状病毒#【#第七版新冠肺炎诊疗方案公布#】3月4日，国家卫生健康委发布《新型冠状病毒肺炎诊疗方案（试行第七版）》：1.提醒注意境外输入性病例导致的传播和扩散；2.呼吸道飞沫和接触传播是主要传播途径，在相对封闭的环境中长时间暴露于高浓度气溶胶情况下中存在经气溶胶传播的可能。详细↓↓http://t.cn/A67OJxCl
梁津铭0524,:既然国内现在是输入性病例出现，为啥不直接禁止国外人入境？要干就干脆一点，国内好不容易形势好转，就不能果断点，难道管控的就是我们海员入不了境回不了家吗？韩国
人民微博,:【警惕！#海关累计检出75例核酸阳性病例#】截至3月4日零时，全国#海关发现入境有症状旅客6728人#，其中疑似病例779例，检出新冠病毒核酸检测阳性病例75例。海关总署表示，针对疫情输入性风险的加大，将跟踪研判境外疫情的发展，及时调整检疫查验的重点国家和地区，对来自疫情严重国家或地区的交通工具全部实施登临检疫，严格实施入境交通工具的消毒，切断传播途径。#这场战疫我们能赢#
听红河,:【新版诊疗方案来了！传播途径、临床表现有变化】3月3日，国家卫健委发布《新型冠状病毒肺炎诊疗方案（试行第七版）》。新版诊疗方案主要调整了以下内容：1.防疫形势提示警惕境外输入病例：通过采取一系列预防控制和医疗救治措施，我国境内疫情上升的势头得到一定程度的遏制，大多数省份疫情缓解，但境外的发病人数则呈上升态势。随着对疾病临床表现、病理认识的深入和诊疗经验的积累，为进一步加强对该病的早诊早治，提高治愈率，降低病亡率，最大可能避免医院感染，同时也要注意境外输入性病例导致的传播和扩散。2.传播途径：增加“由于在粪便及尿中可分离到新型冠状病毒，应注意粪便及尿对环境污染造成气溶胶或接触传播。”3.增加“病理改变”：以肺脏和免疫系统损害为主；其他脏器因基础病不同而不同，多为继发性损害。4.临床表现：增加对孕产妇和儿童的临床表现描述。孕产妇临床过程与同龄患者接近；部分儿童及新生儿病例症状可不典型，表现为呕吐、腹泻等消化道症状或仅表现为精神弱、呼吸急促。5.诊断标准调整：对流行病学史中的“聚集性发病”做出解释，即“2周内在小范围如家庭、办公室、学校班级等场所，出现2例及以上发热和/或呼吸道症状的病例”；临床表现中的“淋巴细胞计数减少”修改为“淋巴细胞计数正常或减少”；确诊病例在原有核酸检测和测序基础上增加“血清学检测”作为依据。6.“解除隔离标准”改为“出院标准”：出院标准增加“痰、鼻咽拭子等”呼吸道标本核酸检测连续两次阴性，采样时间至少“间隔1天”，改为“至少间隔24小时”。出院后注意事项。鉴于有少数出院患者出现核酸检测复检阳性的问题，为加强对出院患者的健康管理和隔离，将“应继续进行14天自我健康状况监测”改为“应继续进行14天的隔离管理和健康状况监测”，同时要求佩戴口罩，有条件的居住在通风良好的单人房间，减少与家人的近距离密切接触，分餐饮食，做好手卫生，避免外出活动。@央视新闻
南宁广播电视台,:【撒花！广西首例输入性新冠肺炎确诊病例治愈出院】3月3日，广西“小汤山医院”又传来好消息，第七批5例确诊患者治愈出院！至此，广西“小汤山医院”累计收治确诊患者81例，44例治愈出院，治愈患者过半。详情>>http://t.cn/A67WsPYm
人为自己的希望而活,:最近，国内新冠肺炎的增势放缓，存量加速消化，湖北地区的疫情形势也在逐渐好转。但目前新冠肺炎呈全球蔓延的趋势。截止北京时间3月1日17时，全球已有6个国家新冠肺炎确诊病例在100例及以上。韩国、日本、意大利和伊朗疫情形势尤为严峻。国内也出现了多起新冠肺炎境外输入性病例。疫情防控的关键，依然是严防输入和输出，现在还不能掉以轻心，让过去的努力功亏一篑。
郑州豫见,:#张文宏预测新冠病毒最终发展#1.全国大多数地方没有病例的情况持续1个月左右，口罩才可以摘下来。2.个别地区复工后发现输入性病例，是很正常的。3.赞同钟南山院士“四月底结束战斗”的预测。4.湖北省每天新增病例数在逐渐降低，是可喜的，说明传播数被控制了。5.短期内不能依赖一款“神药”能治愈新冠肺炎，可依赖的还是：人心齐，泰山移。6.人类历史上从来没有在任何一种病毒和细菌面前失败过，胜利无非是时间问题。http://t.cn/A67pXirJ
薛定谔的验证码,:印度的新冠疫情一直是个谜，早期撤侨时确诊3人，但随后在长达近1个月的时间内一直保持着0新增0疑似的纪录，乃至让人开始怀疑起恒河水真的有特殊功效。但这个纪录保持到本周为止，3月2日，印度一次新增了3名输入性病例，而且分属新德里、贾斯坦邦、泰兰加纳邦三个分别位于印北部、西北、南部三个地区。今天印度又一次性猛增了20多例确诊，累计增加至28例确诊，具体来说：1、其中17人属于一个意大利旅行团，分别是16名意大利游客和1名印度司机，这个旅行团一共在印度旅行了超过8天时间（21日-28日）；2、另外7人为此前新德里的1名病例和他的6名亲戚，这是印度首次发现聚集性感染；3、还有1名孟加拉国的技术人员；4、最后就是此前撤侨回来的3名确诊病例，全部治愈出院。
呼吸科笔墨医生,:#海关累计检出75例核酸阳性病例#国外疫情形势不容乐观，尤其是邻国—韩国。在全球化的今天，开放与交流不可避免。但如何严防控制输入性病例，需要认真思考和对待。而且据最新的研究，新型冠状病毒已经有突变，诊断和防控起来会更为困难。对境外的疫情形势，不可低估。像韩国、伊朗等情况比较严重的国家，一些不必要的交流应当减少。近期内，完全有必要限制韩国明星来华了。
ivysina,:《广东浙江都出现境外输入性病例》此视频已有2.4万次播放，快来一起看看！http://t.cn/A67Wm1nH
等山支大哥solo,#中国境外确诊病例八成来自韩意伊#希望对外来输入性病例也一定要做好防治隔离措施，从外面回国的不要到处乱跑啊🙏🙏🙏
