凤凰网山东,:#山东累计治愈出院511例#【3日0-12时，山东新增治愈出院14例，累计治愈出院511例】2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。
五河法院,【
全景网,:【浙江新增7例意大利输入病例，侨联回应：#华侨近期尽量不要回国#】新增的7例病例与浙江首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。青田县侨联副主席金双恩在接受采访时表示，目前在意大利的青田华侨将近有10万人，“意大利疫情趋势蔓延比较凶，引起一部分华侨的恐慌，要跑回来。”他表示，目前青田县侨联一边劝华侨们这段时间尽量不要回国，另一方面也在温州机场、萧山机场、上海浦东机场设立工作服务组，发现有归乡人员，一律拉到集中隔离点进行医学观察，期间免费供应吃住。(北京日报)http://t.cn/A67Csicv
林先森La丶,:#上海已追踪71名浙江输入病例密切接触者#回来的飞机上能不能戴口罩，妈的全国人民从过年前努力到现在看到曙光，就被你们搞坏了。
农夫爱听歌,:最新，泰国新增疑似病例267例！　　　　　克罗地亚9人确诊！　　　　　韩国确认病例超5000！　韩国3月3日新增374例新冠肺炎病例，累计确诊病例5186例。　　防境外输入成为重要考验！！
世面,:【#纽约州长称新冠肺炎患者80%能自愈#无需恐慌】3月2日，美国纽约州州长安德鲁·科莫表示，80%新冠肺炎患者都能自我痊愈。3月1日，美国纽约州出现首例新冠肺炎确诊病例。纽约州州长称，该名患者正在家中，不需要去医院。他强调纽约有世界上最好的医疗系统，呼吁民众无需感到恐慌。#聚焦新冠肺炎疫情#@新京报我们视频http://t.cn/A67CsXVS
恩施发布,:#湖北加油恩施挺住#【刚刚，鹤峰县内治疗确诊病例已全部出院！】今天下午3点，鹤峰县又有3例新冠肺炎确诊患者治愈出院。至此，该县确诊的16例新冠肺炎患者，在县内住院治疗的15例已全部治愈出院，尚有1例重症患者在恩施市接受治疗。刚刚，恩施州这个县县内治疗确诊病例已全部出院！
首席投顾-黄伟,:#上海已追踪71名浙江输入病例密切接触者#14亿同根的家人，一起守护[加油]首席投顾-黄伟的微博视频
fishhhpiEe,:虽然出现境外输入病例心里是不太接受的，但又觉得他们在国外也许得不到最妥善的治疗还是回国好，重要的是最好防护啊这样也是对他人负责…这事一出浙江又被骂了，因为部分sb浙江人又被代表了[悲催]
耀耀切克闹2333333,【#浙江干部教科书式劝回国侨胞#
刍二不呆,【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
叽的推允掌,:#上海已追踪71名浙江输入病例密切接触者#一定要做好防护措施，找到密切接触者立刻隔离，少接触一个是一个#埃及卫生部长携百万援助口罩访华#患难见真情，感谢！
小茶伽的歪歪果仁,:#特朗普要求几个月内开发出新冠疫苗#特朗普：没有人比我更懂疫苗
国是直通车,:#国是论坛#【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。
Rita07-22,:#浙江新增8例均为意大利输入病例#回来没事，说明相信自己的国家，但是一定要及时申报，做好隔离！（仅代表个人想法）
烤鱼鳞,:课件里前置胎盘的真实病例图片看得我昏迷了
锦州发布,:《每日疫情通报:锦州连续20天无新增新型冠状病毒肺炎确诊病例》#锦州战“疫”快报##锦州发布##抗击疫情辽宁在行动##最新疫情地图#@记者微博@锦州老金@辽视第一时间@辽沈晚报@锦州同城@锦州公安@锦州播报@锦州气象@记者微博@渤海大学微博协会@锦州同城@爱特雷锋@爱锦州官方微博@渤海大学微吧@锦州太和公安@锦州交警支队http://t.cn/A67CscL4
阿富110304,:《世卫组织：过去24小时中国境外新增病例数几乎是境内的9倍》http://t.cn/A67K8IWv
美国租房-异乡好居,:发布了头条文章：《美国出现第二例新冠肺炎死亡病例！未来一周确诊病例或大幅增长！》#华盛顿##华盛顿[超话]##华盛顿特区##美国留学##美国留学生#美国出现第二例新冠肺炎死亡病例！未来一周确诊病例或大幅增长！
绿了芭蕉tiamo,#新型冠状病毒感染肺炎#【浙江青田新增7例境外输入性新冠肺炎确诊病例】浙江省最新通报显示，3月2日0-24时，浙江省新增境外（意大利）输入性确诊病例7例，均为丽水市青田县报告的意大利输入病例。自3月1日浙江出现首例境外输入性病例，浙江已累计出现8例输入性病例。　　新增7例病例与浙江3月1日首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。　　浙江青田是华侨之乡，目前约有33万华侨，其中在意大利的约10万人。随着新冠肺炎疫情在国外蔓延，近期回国华侨增多。　　针对疫情，青田县侨联开通了热线电话，劝导华侨居家、减少出行。实施华侨归国主动报备制度，要求因特殊情况确需回国人员主动申报健康情况、回国方式、入境口岸、国内拟居地等，并在机场设置服务组，指导遇紧急情况必须回国的华侨安全返乡。侨胞抵达机场后，有专人发放防护物资并安排车辆将侨胞接回青田居住地。对于从意大利返乡的人员，安排专门宾馆集中隔离，其他国家返乡的人员，实施居家硬隔离，所需生活服务由工作组提供。（记者方列）
合肥在线,:【科大讯飞新冠肺炎影像辅助诊断平台问世】在3秒内就可完成一例患者新冠肺炎辅助诊断，阳性病例全召回，病灶召回率达到90%，可为医生提供准确、高效的辅助诊断参考。记者3月2日获悉，近日在“中科院科技攻关指挥部”协调下，科大讯飞攻关团队在3天内便快速完成了“新冠肺炎影像辅助诊断平台”建设。http://t.cn/A67CkkBe
起名字什么的确实有点讨厌,【纽约州长:新冠肺炎病例80%能自愈没必要去医院】美国纽约州举办发布会通报新冠肺炎疫情情况，对于纽约州出现首例新冠肺炎确诊病例，纽约州长安德鲁•科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。“有危险的20%是那些免疫力低下，身体虚弱的老年患者。好消息是，小孩子看上去不会被感染。”http://t.cn/A67CckX8http://t.cn/A67KnVfg
广州日报大洋网,:【直播|复工复产人员流入影响还未显现国外输入风险增加】省卫生健康委副主任周紫霄表示，目前广东已连续16天报告确诊病例为个位数，其中有4天无新增病例，但还是容不得丝毫松懈。专家认为，当前，广东外防输入、内防扩散的风险仍然存在。一是近期报告的输入性病例绝大多数是1月份的“库存”，说明前期复工复产人员的流入对我省输入疫情影响还没有显现，本地病例发生风险仍未减低。二是近期出现了复工复产后的工地发生聚集性疫情，这说明随着广东人口流动和聚集性增加，内防扩散的风险增加。三是国外输入的风险增加。近日，新冠肺炎疫情在多个国家出现攀升态势，截至北京时间3月3日14时，中国以外共72个国家和地区报告新冠肺炎累计确诊病例10671余例，已有9国的累计确诊病例超过一百例。3月1日，广东省通报了首例境外输入新冠肺炎确诊病例。做好当前新冠肺炎疫情经境外输入防控工作已成为外防输入的重要内容。http://t.cn/A67Ck4iR
该用户写论文写到脱发,【#浙江青田回应7例国外输入病例#：不建议回国】#浙江青田不建议华侨现阶段回国#3月3日，浙江丽水。青田县新增7例（意大利）输入病例，与首例境外输入病例在同一家餐厅工作。青田防控指挥部工作人员表示，不建议华侨现阶段回国，旅途感染风险较高。从国外回来的均需先到指定地点隔离14天。目前青田和温州在意大利生活的浙江人约20万，其中青田县有10万人。（视频来源：网络）http://t.cn/A67CUAwihttp://t.cn/A67C21qw
闻来闻往,:【全球新冠肺炎病例已超9万、仅南极大陆幸免！世卫组织再发警告：我们正处于未知领域、大流行可能很快发生！_手机搜狐网】分享给你一起看全球新冠肺炎病例已超9万、仅南极大陆幸免！世卫组织再发警告：我们正处于未知领域、大流行可能很快发生！分享来自绿茶浏览器！
今日鹭岛,:【#伊朗民众涌入寺庙舔圣墙#：希望接收病毒以保护别人】在伊朗，部分民众在网上分享舔舐和亲吻圣墙的画面和视频，以表明他们并不害怕该国日益严重的冠状病毒疫情。舔舐墙壁的民众称，希望墙壁上的病毒进入自己体内，这样就可以保证之后舔墙的人是安全的，画面中甚至有孩子舔舐墙壁。据外媒报道，截至3月2日中午，伊朗共确诊新冠肺炎病例1501例，其中291例康复，66例死亡。（沸点国际）#上海已追踪71名浙江输入病例密切接触者#http://t.cn/A679gxXv
起名字什么的确实有点讨厌,【纽约州长:新冠肺炎病例80%能自愈没必要去医院】美国纽约州举办发布会通报新冠肺炎疫情情况，对于纽约州出现首例新冠肺炎确诊病例，纽约州长安德鲁•科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。“有危险的20%是那些免疫力低下，身体虚弱的老年患者。好消息是，小孩子看上去不会被感染。”http://t.cn/A67CckX8http://t.cn/A67KnVfg
广州日报大洋网,:【直播|复工复产人员流入影响还未显现国外输入风险增加】省卫生健康委副主任周紫霄表示，目前广东已连续16天报告确诊病例为个位数，其中有4天无新增病例，但还是容不得丝毫松懈。专家认为，当前，广东外防输入、内防扩散的风险仍然存在。一是近期报告的输入性病例绝大多数是1月份的“库存”，说明前期复工复产人员的流入对我省输入疫情影响还没有显现，本地病例发生风险仍未减低。二是近期出现了复工复产后的工地发生聚集性疫情，这说明随着广东人口流动和聚集性增加，内防扩散的风险增加。三是国外输入的风险增加。近日，新冠肺炎疫情在多个国家出现攀升态势，截至北京时间3月3日14时，中国以外共72个国家和地区报告新冠肺炎累计确诊病例10671余例，已有9国的累计确诊病例超过一百例。3月1日，广东省通报了首例境外输入新冠肺炎确诊病例。做好当前新冠肺炎疫情经境外输入防控工作已成为外防输入的重要内容。http://t.cn/A67Ck4iR
该用户写论文写到脱发,【#浙江青田回应7例国外输入病例#：不建议回国】#浙江青田不建议华侨现阶段回国#3月3日，浙江丽水。青田县新增7例（意大利）输入病例，与首例境外输入病例在同一家餐厅工作。青田防控指挥部工作人员表示，不建议华侨现阶段回国，旅途感染风险较高。从国外回来的均需先到指定地点隔离14天。目前青田和温州在意大利生活的浙江人约20万，其中青田县有10万人。（视频来源：网络）http://t.cn/A67CUAwihttp://t.cn/A67C21qw
闻来闻往,:【全球新冠肺炎病例已超9万、仅南极大陆幸免！世卫组织再发警告：我们正处于未知领域、大流行可能很快发生！_手机搜狐网】分享给你一起看全球新冠肺炎病例已超9万、仅南极大陆幸免！世卫组织再发警告：我们正处于未知领域、大流行可能很快发生！分享来自绿茶浏览器！
今日鹭岛,:【#伊朗民众涌入寺庙舔圣墙#：希望接收病毒以保护别人】在伊朗，部分民众在网上分享舔舐和亲吻圣墙的画面和视频，以表明他们并不害怕该国日益严重的冠状病毒疫情。舔舐墙壁的民众称，希望墙壁上的病毒进入自己体内，这样就可以保证之后舔墙的人是安全的，画面中甚至有孩子舔舐墙壁。据外媒报道，截至3月2日中午，伊朗共确诊新冠肺炎病例1501例，其中291例康复，66例死亡。（沸点国际）#上海已追踪71名浙江输入病例密切接触者#http://t.cn/A679gxXv
吉和网,:#健康中国吉林名医##新冠肺炎疫情#【3月2日吉林省无新增确诊病例，新增治愈出院5例，全国新增确诊125例】3月2日0-24时，全省无新增确诊病例。新增治愈出院5例（四平市3例，长春市1例，公主岭市1例）。详情：3月2日吉林省无新增确诊病例，新增治愈出院5例，全国新增确诊125例
文人医生,:全国增加128人，湖北增加114，其中武汉111人。关注浙江新增加的7人，这7人感染的病毒是从意大利引进的！境外增加1622人，目前有70多个国家有确诊病例，韩国4812人，意大利2084人，伊朗1501人占据三甲。全球90973人，本周末将突破十万！死亡率武汉4.55%，伊朗4.4%，意大利2.49%在前三位。所以现在关注武汉的同时要放眼全球！http://t.cn/RGBjUWe
南方周末,:【妄称能治新冠肺炎的“神医”李跃华被查处，疫期谨防怪力乱神】在陈北洋的“致歉信”发出后不久，李跃华开始在网络上发布信息称自己治愈了9例新冠肺炎病例或者疑似病例。一时之间，他的“穴位注射微量苯酚”治疗术被不少网民认为是治疗新冠肺炎的有效方法，李跃华甚至被称为“神医”。但是李跃华真的是神医吗？湖北卫计委综合监督局的一纸文件揭开了他的面具：他只是一个涉嫌非法行医的江湖郎中而已。他的医师执业证书被官方认为有伪造嫌疑，医学学历也被人质疑。他的所谓“学术论文”也被人扒了个底朝天，只不过是交钱发表的文章而已。而他的所谓获得国家专利的治疗方法，也就是用万分之五到十的苯酚溶液进行穴位注射。苯酚在医学上的主要用途是消毒外科器械和处理排泄物等，偶尔外用做皮肤杀菌等。还有人声称李跃华确实治好了不少新冠肺炎患者，应该让他的疗法到抗疫实践中去发挥作用，也借此检验是否真的有效。事实上，已经有媒体根据李跃华提供的“治愈”名单联系到了部分患者，这些患者中，有一部分根本没有痊愈，核酸检测依然是阳性，已经送院治疗。而有接受了李跃华疗法“预防”的人，最终也被检出阳性，到方舱医院治疗了。但是，确实有一部分人经过李跃华治疗后转为阴性了。这怎么解释？其实也很简单，新冠病毒感染者中，有相当一部分人是轻症，有些人是可以自愈的。他们的转阴，归功于自身免疫系统，而不是什么“神医”。http://t.cn/A67Csw39
保山政法,【#浙江新增7例均为意大利输入病例#】3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。http://t.cn/A6796jY8
新浪广西,:#南宁爆料#【湖北返邕人员不愿集中隔离，南宁青秀区网格人员上门苦劝三天
萌冻三观-,:#辽宁新增3例确诊均为丹东病例#@男爵myb@喜感slowdown@高端时空有话好好说别针对丹东人鸭我们也很想好好的
彭大大在哪吖,【#10地连续10天以上无新增病例#】2日，27省区市新增确诊病例数为0。其中，云南、陕西、海南、内蒙古、江苏、甘肃、新疆（含兵团）、贵州、青海、西藏连续10天以上无新增确诊病例。#这道彩虹真赞#↓严防严控，不要放松！加油！
旻1978,:美华盛顿州27名消防员被隔离数人现发热咳嗽症状美国《西雅图时报》海外网3月3日电美国华盛顿州柯克兰市2日表示，为了防止可能的新冠肺炎疫情扩散，当地已有27名消防员和2名警察被隔离，他们都曾前往一处已有确诊病例死亡的养老院进行响应，目前有数人出现了疑似感染新冠肺炎的症状。综合美国《西雅图时报》、CNN等媒体2日报道，柯克兰市发言人斯蒂克尼表示，在2月28日宣布隔离25名消防员和2名警察后，他们又对另外2名消防员进行了隔离。在这些消防员中，除一人待在消防站中，其余均选择在家隔离。柯克兰市介绍，其中一些消防员已经出现了“类似流感”的症状，美媒介绍称，流感和感染新冠肺炎的症状都包括咳嗽、发热、呼吸急促等等。而国际消防员协会发言人道格·斯特恩则直言，其中有数人表现出了感染冠状病毒的可能症状。据悉，这些消防员和警察都接到了来自柯克兰生命护理中心的医疗投诉电话，并前往现场进行响应或是运送患者。柯克兰生命护理中心被视为是“美国新冠肺炎爆发的中心”，该机构有大量人员被感染。在美国目前的6例死亡病例中，有4例都是来自这一养老院的老人。柯克兰市方面也表示，当前他们正同西雅图和金县的公共卫生部门紧密合作，并将继续评估相关人员的情况，在必要时将其他人隔离。据CNN公布的最新消息，美国疾控中心称美国已确诊新冠肺炎病例102例，死亡6例。（海外网张霓）
靳wolf东,:#上海已追踪71名浙江输入病例密切接触者#还是不能掉以轻心继续做好防护~加油！坚持到底就是胜利
老汉lw,:#上海已追踪71名浙江输入病例密切接触者#这样继续输入下去，努力了一个月是不是要白费了
大河报,:#疫情实时播报#【权威发布！河南无新增确诊病例，7个省辖市新冠肺炎患者清零！】3月3日，大河报·大河财立方记者从省政府新闻办新闻发布会上获悉，3月2日河南省无新增新冠肺炎确诊，省内有7个省辖市新冠肺炎患者清零。详情→河南：无新增确诊病例累计出院1223例！
青春山东,:#山东抗击新型肺炎#【泰安聊城菏泽3市新冠肺炎病例清零
净壹1970,:#净壹[超话]#全国连续20天治愈出院超千人北京日报客户端据国家卫健委通报，3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团新增治愈出院病例2742例。截至3月2日24时，全国累计治愈出院病例47204例。连续20天全国治愈出院超千人。#热点##新型冠状病毒#
有趣的灵魂准备吃饭,:#浙江8输入病例在意大利同一餐厅工作#可别代表浙江人，反正我不会欢迎。
昵称_关于喵的id,:#上海已追踪71名浙江输入病例密切接触者#这个数字好吓人一定要严防啊！！！
有趣的灵魂准备吃饭,:#浙江8输入病例在意大利同一餐厅工作#可别代表浙江人，反正我不会欢迎。
昵称_关于喵的id,:#上海已追踪71名浙江输入病例密切接触者#这个数字好吓人一定要严防啊！！！
快兰斯24小时财经直播,:实时播报：据马来西亚《星洲日报》报道，当地时间3日，马来西亚新增7例新冠肺炎确诊病例，境内累计确诊36例。（中新网）
捍卫者,:警惕境外输入病例！浙江新增7例新冠肺炎，均为意大利输入病例！#浙江新增7例均为意大利输入病例##抗疫行动#捍卫者的微博视频
宿迁之声,:【全国#连续20天治愈出院超千人#】据国家卫健委通报，3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团新增治愈出院病例2742例。截至3月2日24时，全国累计治愈出院病例47204例。
宋药师,【世卫组织：中国境外报告的病例数几乎是中国境内的9倍，采取正确的措施仍可控制】世界卫生组织总干事谭德塞博士在3月2日的媒体通报会上提到，在过去24小时内，中国境外报告的病例数几乎是中国境内的9倍，其中最为关心的是大韩民国、意大利、伊朗和日本的疫情。世卫组织的一个小组已经抵达伊朗开展工作。谭德塞博士表示这不是阻挡不住的疫情，我们能够击退这一病毒，各国必须即刻行动，现在的行动将决定本国疫情的发展。#2019冠状病毒病##终止疫情##抗击新型肺炎我们在行动#阅读讲话全文：http://t.cn/A679MUWQ
福地弥勒,:#疫情最新情况#『云南129个县市区均为低风险！全省现有确诊病例仅剩3例』云南129个县市区均为低风险！全省现有确诊病例仅剩3例
经济学人Johnson,:《浙江新增7例境外输入病例，均为意大利归来》浙江新增7例境外输入病例，均为意大利归来http://t.cn/A67CFeUR
博闻视点,:视频|美国出现首例新冠肺炎死亡病例华盛顿进入紧急状态特朗普：别慌视频|美国出现首例新冠肺炎死亡病例华盛顿进入紧急状态特朗普：别慌
李汶翰家的柯基,:#浙江8输入病例在意大利同一餐厅工作##上海已追踪71名浙江输入病例密切接触者#不要觉得这是浙江的事，这是整个中国的事！这些密切接触者，也有其他城市的吧！这个时候一定要严防死守，不能让抗疫成果功亏一篑啊！
姑苏城外士,:#外国人永久居留管理条例#我们的现在的领导层绝大数是红二，三代和官二代，三代。这一群人大部分没有吃过苦，都可以讲是承沿上辈的红利而走上政坛。他们生活，工作，人际网都长时间经营在大都市圈，他们不知道体会不到围墙外绝大数社会底层人的平时种种艰辛与困苦，加努力。他们处处于社会顶层，设计政策往往成形他们社会圈，外面的感受，他们体会不到。往往政策符合他们的预期，符合他们的要求。【痛心：河南南阳一贫困户女儿因无法正常在家上网课吞下大量药物自杀
众通社官微,:#全球抗疫第一线#【直播！关注意大利、墨西哥疫情】截至当地时间1日18时，#意大利累计确诊新冠肺炎1694例#，较前一日增加566例，为单日最大增长。当地时间1日，墨西哥公布第五例新冠肺炎确诊病例，卫生部官员曾呼吁避免握手及贴面礼。两国最新疫情情况如何？关注↓（总台记者邓宗宇央视记者盛嘉迪）
抗癌医者李威,:#浙江新增7例均为意大利输入病例#严防输入性病例是目前的重要工作了。
环球网,:【#克罗地亚新冠肺炎确诊者增至9例#】当地时间3月3日，克罗地亚再次确诊1名新冠肺炎病例，为来自瓦拉兹丁那（Varaždina）的司机，他曾前往过意大利。目前全国共计9人确诊。另外8例分布在萨格勒布市（4例）和里耶卡市（4例）。（央视）克罗地亚新冠肺炎确诊者增至9例
大同中公教育,:#上海已追踪71名浙江输入病例密切接触者#复工临近，一定要注意保护好自己，车站什么的一定要做好防御工作，春暖花开时我们就可以逛吃逛吃了
淮阴发布,:3月3日最新发布：江苏无新增新冠肺炎确诊病例，新增出院19例3月3日最新发布：江苏无新增新冠肺炎确诊病例，新增出院19例
魔童哪吒官博皮下是炳腐唯,:#上海已追踪71名浙江输入病例密切接触者#带病回家还要帮你追踪亲密接触者还要出钱隔离亲密接触者更惨莫名要被隔离从疫区回来的能有其他政/策么提前报备什么的？集中包机什么的？已经知道自己染病的就不要私自行程回来了吧？都说全程戴口罩航班时间那么长都没吃机餐吗？
