驻马店广视网,:最新！驻马店0新增！钟南山团队：建议严格防控措施实施至4月底2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0:00-24:00，我市无新增确诊病例。截至2020年3月3日24:00，累计治愈出院139例。累计报告确诊病例139例。目前累计追踪到密切接触者4336人，已解除医学观察4326人，尚在医学观察10人。2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。3月2日，据广州呼吸健康研究院消息，钟南山院士团队近日在《JournalofThoracicDisease》期刊发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19（新冠肺炎）暴发趋势预测”的研究文章。该研究把1月23日前后的人口迁徙数据以及最新的COVID-19流行病学数据整合到经典传染病学预测模型（SEIR）中并得出流行曲线。预测显示：疫情4月底趋于平缓预测显示，本次疫情中国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。其中，优化的模型预测表明，截至4月底中国内地有9万例至12万例的疫情规模。同时该研究团队也提醒，模型预测与现实存在一定差距，若政府继续严格实行管控政策，提高诊断水平，推出使用药物，该疫情规模将得到极大控制。文章称，SEIR优化模型及成功建立的人工智能模型能有效预测新冠病毒的流行趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。严格的防控措施如“早期筛查”最好实施至2020年4月底。
刘艳平666,:#德国载有1200名乘客游轮检测结果出炉#又是游轮！看到这条消息不禁一惊。其实封闭的环境真的很容易传播！真心希望不要再有更多的人传染，不要再爆发了，一定要控制住啊！千万要重视起来！千万不要再成为第二艘钻石公主号邮轮了！每个人都要注意个人公共卫生安全！真是有点想不明白，钻石公主号邮轮都这样了，竟然还有人敢这时候乘坐邮轮？也许是每个人的观念不同吧。其实最后不管结果怎么样，坐这种大型游轮，那么密集的人流，封闭的环境，真的都是极易传播，非常危险的。唉，钻石公主号就是活生生的例子啊。千万不要小看病毒，有确诊就必须重视起来，不然就会越来越多，极易失控。疫情发展到现在，大家应该有个客观的认识了，不说人人自危吧，最基本上对这个传播速度及最基本的防控应该是有所了解的。只要有密切接触者，就必须高度警惕，最大限度的避免疫情扩散。国外千万不要再爆发了，看着数据天天在增加，但愿每个国家、每个人都能够重视起来，赶紧做好抗击疫情的准备。事实也是，小心驶得万年船，防患于未然。只有世界各国都重视和警惕起来，疫情防控才能取得最终取得胜利，人们才能尽快恢复正常生活。
喜投网,:【理直气壮，美国欠中国一个道歉，世界欠中国一声感谢】今天，美国又一个州宣布紧急状态，美国佛罗里达州宣布进入公共卫生紧急状态，佛州州长办公室对外宣称，该州已经发现了两人为新冠肺炎推断确诊病例，需要等待美国疾控中心进一步确认，目前这两人正在接受隔离治疗。http://t.cn/A679tZSC
教育面对面RBC,:【#教育部回应扩大硕士和专升本招生#：硕士招生规模增加18.9万人】教育部副部长翁铁慧：科学确定分校招生规模方案，硕士招生规模向中西部和东北地区高校倾斜，比去年增加18.9万，专升本规模争取增加32.2万人。研究生计划增量会向临床医学、公共卫生、集成电路、人工智能等专业倾斜。http://t.cn/z8AabZ1
方世平fangshiping,:美联储鲍威尔表示降息是为了保护美国经济免受公共卫生事件的冲击，同时他暗示，美国经济面临的威胁不会很快减弱。降息50个基点的决定得到了决策者的一致同意。这是美联储自2008年金融危机最严重时期以来首次紧急降息，突显出美联储认为快速演变的形势有多严峻。
环保114,:多地下调应急响应级别，意味着什么？-3月1日，25个省区市新增确诊病例为零。随着新冠肺炎疫情形势的发展变化，连日来，多地下调了突发公共卫生事件应急_社会聚焦_环保114http://t.cn/A67OhhQA
外汇黄金高级分析师--扬帆,:3.4原油：北京时间周二（3月3日）亚洲时段，国际油价大幅走高，延续前一交易日涨势至47.93美元/桶。美油周一创下五个月来最大涨幅，在六连跌后，大涨5%。主要经济体的央行料协同出手稳定金融市场，OPEC+也有望进一步减产应对公共卫生事件打击需求。知情人士透露，G7财长计划周二举行会议，讨论对公共卫生事件的应对方案。与此同时，OPEC及包括俄罗斯在内的同盟准备在本周维也纳会议上讨论进一步减产。预计OPEC+有望达成进一步的减产协议，平均预期为减产75万桶/日。OECD预计，今年的全球增长可能创下逾10年来最弱水平，因为公共卫生事件的局势持续不佳，对制造业、消费需求和交通运输造成大破坏。
四川公安,:【智慧警务，助力商圈复工】#百名公安抗疫故事#自突发公共卫生事件一级应急响应启动以来，泸州@平安江阳佳乐商圈联勤警务站坚持以党建为引领，充分发挥党员锋模范作用，成立了由20名党员民警辅警和入党积极分子组成的“党员突击先锋队”。队员们身先士卒、挺身在前、冲锋一线，带头开展城区重点人员的入户排查、重点单位小区的防控、督导设卡排查和配合政府各单位、防疫部门等工作。截至目前，共计上门核查疫区人员408人，其中重点疫区人员54人，指导5个小区开展防疫工作培训。在疫情严峻期间劝停辖区酒店12家，民宿17家，场所、影剧院2家、图书馆、书店书城书吧2家，茶馆18家，网吧4家，洗浴5家，KTV4家、关闭餐馆、烧烤、夜宵等经营场所300余家，发放、张贴防疫宣传资料2000余份。在复工复产期间，全心全意为辖区500余家商家提供服务。在这场没有硝烟的战争中，队员们默默无闻地用实际行动擦亮党员身份，用敢于牺牲的大无畏精神，践行着一名共产党员全心全意为人民服务的初心本色。
通辽发布,:#新形势新常态新通辽#【总投资2亿元公共卫生应急产业园项目落户开发区】总投资2亿元公共卫生应急产业园项目落户开发区
临沂网警巡查执法,:【我们的警犬已经复工了】#抗击疫情公安在行动#随着浙江省新冠肺炎疫情防控应急响应级别由省重大突发公共卫生事件一级响应调整为二级响应。企业陆续复工复产，快递物流日益活跃。为有效预防和打击寄递毒品、违禁品等。禁毒民警对快递件进行检视，帕尔森杰克罗素梗缉毒警犬同拉布拉多警犬共参安检！http://t.cn/A670sWqP
请叫鹿夫人,:妙投321现货黄金反弹，有望开启新一轮涨势。市场已经押注美联储将引领全球一轮货币宽松潮，但是质疑其他央行实施宽松政策的潜在规模是否能够有效应对全球公共卫生事件带来的经济损失，比如欧洲央行和日本央行，因为他们没有太多宽松空间了。美元相对其他主要货币汇率料继续承压。
江南都市报,:#联防联控江西在行动#【易军：加入志愿服务队伍展现青春最美风采】3月3日，在江西省新型冠状病毒肺炎疫情防控工作新闻发布会（第十七场）上，中国共产主义青年团，江西省委员会党组成员、副书记易军表示，江西省启动重大突发公共卫生事件一级响应后，团省委第一时间动员全省广大团员青年积极参与疫情防控志愿服务，用实际行动为打赢疫情防控战贡献力量。（江西视听头条）http://t.cn/A670FMHX#抗疫一线江西党员勇争先#、#爱心守望情暖赣鄱#、#抗击疫情江西在行动#http://t.cn/A670F9g5
数码情报君,:苹果iPadPro现有型号供应不足，暗示新品即将到来据彭博社记者的消息，iPadPro部分型号在美国、澳大利亚等国家的AppleStore中库存不足，或暗示新品即将到来。近日有传言称苹果公司将于本月3月31日举行春季新品发布会，但由于公共卫生事件产能依然在爬坡阶段，尚不清楚发布会能否顺利举行。
勤屎王926,【洛阳一汤馆营业，#顾客停车位上考试式喝汤#】2月29日，河南洛阳。一家羊肉汤馆恢复营业，顾客在门口的车位上就餐，1个车位2个座，间隔1.5米。顾客称，已一个多月没喝羊肉汤了，这种防护下喝到汤的感觉很好。洛阳一汤馆营业，顾客露天“考试式”喝汤澎湃新闻的微博视频
深圳侨报,:【关心爱护好一线医护人员在做好疫情防控的同时做好复工体检】3月3日下午，龙岗区委书记张勇率队到卫监所、社康中心、医院检查督导疫情防控工作，并对坚守一线的医护和公共卫生防疫人员进行慰问，强调要在做好疫情防控工作的同时把复工体检做好，以先行示范的标准提升全区职业卫生健康水平；要关心爱护好一线医护人员及其家属，通过梳理、优化、调整，进一步提高全区卫生健康水平。（龙岗融媒）
奶油蘑菇汤菇菇,:今早路上的车明显多起来了复工后大家一定也要遵守公共卫生纪律啊戴口罩勤洗手保护好自己利己利他（她）💪
全球健康药物研发中心-GHDDI,在1854年的伦敦，医生约翰·斯诺以以一己之力对抗霍乱大疫，开启了“流行病学”的序章，并给后世留下重大启示。在那个连致病菌都无从得知的年代，他是通过什么阻断霍乱传播？对当前抵#科学抗击疫情#又有什么启示？#返朴解惑新型肺炎##知识研究所#果壳视频的微博视频
香港紫荆卫视,:【#温州疫情防控应急响应等级调整为二级#】#紫荆快讯#3月2日，浙江省新冠肺炎疫情防控应急响应级别由省重大突发公共卫生事件一级响应调整为二级响应。记者从市防控领导小组办公室获悉，我市的疫情防控应急响应等级也与全省同步调整为二级。
慈溪少士,:国际社会：中国抗疫行动为全球公共卫生事业作出重要贡献http://t.cn/A67pHlH3
柯岚-教书的人,:意大利流行病公共卫生专家：沃尔特·里恰尔迪教授谈新冠对意大利的影响http://t.cn/A670rspx偶翻译下他的话：查就有，不查就没有。查得多就多，就成了罪魁祸首，查得少就少，就成了无辜受害。
花花稀饭胡萝卜和猫猫咪呀DAYTOY,:#中国境外确诊病例超过1万#千万不要再成为第二艘公主号了！也要注意个人公共卫生安全！及时吸取教训，希望不要像钻石公主号一样再次重演！！🙏#德国载有1200名乘客游轮检测结果出炉#
我左-你右,:陈晓红：此次疫情暴露了我国城市应对重大疫情的脆弱性和应急管理功能的不足，对于我国公共卫生应急管理体系建设是一个重大改革契机。
惠州发布,:#惠城新闻#【《惠州市二级响应阶段防疫工作要点》：外防输入内防扩散防疫复工】随着我省新冠肺炎疫情防控应急响应级别由省重大突发公共卫生事件一级响应调整为二级响应，为积极助力我市企业复工复产，惠州市防控新冠肺炎疫情工作领导小组办公室日前发布《惠州市二级响应阶段防疫工作要点》（下称《工作要点》），要求全市防疫工作坚持“外防输入、内防扩散”策略，在确保疫情防控不松懈同时，做好复工复产保畅通。http://t.cn/A6701Ehp
邮寄浪漫者,:#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
芷爱de余生,:“中国为世界公共卫生安全作出重要贡献”http://t.cn/A670p7zK
期货老兵,:#原油期货[超话]##期货##黄金#沪金2006外盘/基本面:周一金价冲高回落，现货黄金收于1589美元附近，虽然美元走软对金价有一定支撑，但美股暴涨削弱了无息黄金的吸引力。不过市场对美联储和其他央行放宽货币政策以提振受公共卫生事件影响的全球经济的预期升温，金价下跌空间或有限。操作上建议多单止盈部分仓位。操作策略:建议黄金多单止盈部分仓位。
祺風七夜,:#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
一碗银河老干妈,#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
素书斋主人,:#德国载有1200名乘客游轮检测结果出炉#阴性就好！千万不要再成为第二艘公主号了！也要注意个人公共卫生安全！希望大家一定要重视🙏🙏🙏
·跌撞凉柚·,:#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
爱吃萝卜的咩咩同学,:#中国境外确诊病例超过1万#千万不要再成为第二艘公主号了！也要注意个人公共卫生安全！及时吸取教训，希望不要像钻石公主号一样再次重演！#德国载有1200名乘客游轮检测结果出炉#
拱墅发布,:【拱墅区档案馆面向社会各界开展新冠肺炎疫情防控工作档案资料的征集公告】为了全面记录和保存这一具有重大影响的突发公共卫生事件的防控过程，拱墅区档案馆即日起面向社会各界征集新冠肺炎疫情防控工作档案资料。公告详情↓↓
宁海检察,:【不能以“应急思维”建设“应急法治”】居安思危、未雨绸缪，这既是一种生活经验，更是公共治理的智慧。疫情当前，社会各界都在献计献策，探寻疫情防控之道，“法治”成为其中一个绕不开的重要关键词。连日来，法律界和社会舆论提出了诸多法律上的意见建议，从禁食野生动物立法到公共卫生事件应对机制完善，尽快健全我国应急法治成为共识。http://t.cn/A670maf2
冷帅霸22302,:《疫情这么凶猛，折射出很多深层次的问题！》领导人都明确说了，暴露出很多明显短板，必须抓紧补短板、堵漏洞、强弱项，提高应对突发重大公共卫生事件的能力和水平。http://t.cn/A670miNL
深夜偷渡-,#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
willbethefirst,:#中国境外确诊病例超过1万#千万不要再成为第二艘公主号了！也要注意个人公共卫生安全！及时吸取教训，希望不要像钻石公主号一样再次重演！#德国载有1200名乘客游轮检测结果出炉#
书丛哥,:瞒报从3号文件、上海公共卫生中心的报告看是国家卫计委以上的部门？到底是哪？我们期待着…击鼓传锅：到底是谁遮蔽了疫情真相？
买房就看沈城楼市,:#看热搜#钟南山团队建议严格防控实施至4月底钟南山团队近日发表的研究文章预测显示：本次疫情中国在2月下旬达到高峰，4月底趋于平缓；公共卫生干预措施有效控制了疫情发展，严格的防控措施如“早期筛查”最好实施至2020年4月底。
轩锋XF,:3/4盘前交易提示：隔夜美联储紧急宣布降息50个基点，以应对本次公共卫生事件，跟节后央行持续放水做法如出一辙，短期来看对市场的活跃性有大大的提升，但是长期来看依旧会存在隐患。美原油冲高大幅回落，在连续反弹之后市场需要等待欧佩克减仓的确切消息防止一些不确定因素，美元指数和美股因为降息影响大跌，国际金银大涨。马棕榈和美豆油呈现不同幅度反弹，糖11和美棉，继续微调。#美联储降息#日内我们需要关注美股大跌给我们市场带来情绪上的影响，但是更多不是之前的恐慌了，化工系关注今天开盘情况，冲高及时离场，等待回踩我们再顺势去布局，后续还是继续看好，因为位置相对很低，亦如美原油跌幅空间远不如上涨空间，农副产品今天需要关注三大油脂的高开反弹情况，还是昨天的思路做多依旧看好豆油的空间，棕榈油需要关注延续性，黑色系整体还是以区间思路对待，螺纹钢多关注远期合约波段的机会。更多商品详细交易思路和参考点位关注稍后盘中的分享！
撒么历险记,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人的传染，这种事情发生的概率随着中国绝大部分省区已经连续多日病例零增长或偶发一两个新病例而越来越小。各地不能被这样的可能性吓住，整个国家更不能被它吓住。今天中国湖北以外广大地区与韩日、欧洲甚至美国比起来已经是最安全的地方，我们不能为追求“绝对安全”而行动迟缓，不敢放手抓经济，那样的静态防疫不是公共卫生的应有之义。只要世界上疫情仍在流行，中国也就不可能有绝对安全。中国的优势在于，我们已经建立起了卓为有效的全民防控体系，各地现在要做的是，让这个防控体系为经济和社会活动的全面恢复来服务，与它们有效对接，而不是让这个体系成为我们继续前行的障碍。浙江今天刚刚通报了7个新增病例，都是从意大利输入的病例，浙江能够迅速发现这些病例，阻断病毒的传播路径，这就是防控体系在起作用。这几个病例并不会实际提升浙江的防控风险，浙江的复工复产大局也根本无需受这些病例的影响。从武汉封城开始，中国的抗疫取得了巨大成绩，但我们决不能待在这个成绩里苟安，新增几个病例就让我们震动得不得了。偶尔新增几个病例，我们要有足够的信心和定力承受这样的情况。老胡深信，在已经形成了有效防控体系和大家保持着高度警惕性的情况下，几个新增病例绝对翻不了防控的大盘。我们不能夸大偶发的新增聚集性病例对全国防控体系的冲击。老胡主张，中国应继续不搞大型聚集活动，比如开大会、足球比赛、文艺汇演等等需再推后一段时间。但是一般性的商业活动应当开放了，而且不能光是商场、餐馆开着门，但谁都不敢进。其实大家都已经憋坏了，只要各地政府和媒体别再吓唬大家，人们自然会回到各类消费场所中去。防控要继续做，大家能戴口罩的场合继续戴口罩，这很重要。基层防控部门要继续掌握新冠疫情的所有蛛丝马迹。我们需要形成这样的动态体系，这当中要有组织和动员力、智慧、勇气的共同参与。只有在世界上仍有疫情火苗在燃烧的情况下把中国经济真正恢复起来，我们的抗疫才能最终被打一个高分。
深夜偷渡-,#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
记忆斑驳昨日,:#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
大公報-大公網,:【世卫点赞港不封城仍有效防疫林郑：疫情依然严峻政府未放松】世界卫生组织前日（二日）在瑞士日内瓦举行记者会，据路透社报道，世卫公共卫生紧急计划执行主任瑞安（MikeRyan）表示，只有小部分国家或地区出现社区爆发迹象，点名称赞中国香港和新加坡虽然没有采取封城措施，但依然有效阻止病毒蔓延。行政长官林郑月娥昨日在行政会议前见记者时表示，目前#香港#疫情基本上仍然可控，但指出有数个国家确诊数字大幅上升，政府已果断采取旅游限制措施，凡从韩国、意大利三个地区和伊朗抵达香港，或14天内曾经到过上述地方，抵港后须接受强制检疫，强调疫情仍然严峻，政府未有放松，呼吁市民保持个人卫生，尽量减少一些社交接触，包括聚会、聚餐等活动，协助政府打赢抗疫战。http://t.cn/A670EQSx
_水星林铨,#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
深夜偷渡-,:#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
cool只是一种态度,:“中国为世界公共卫生安全作出重要贡献”http://t.cn/A670p7zK
