王先生走花路吧,:#钟南山李兰娟等10个院士团队齐聚湖北#向他们致敬
某个荒郊野外,“写这样的同人影响哥哥的前途。”真的吗?什么东西会影响艺人的前途？我是游戏行业市场营销的从业者，是接触艺人合作最多的部门之一，今天从厂商品牌方的角度，给大家科普一下甲方是怎么选择代言人的好不好，也说说什么衡量标准会影响厂商判断是否选择艺人。品牌方，选择艺人的标准有很多，最重要的三条：1、艺人火吗？他现在火不火，有多少粉丝，有什么话题。他的粉丝多不多，购买力怎么样，粉丝群体是不是我产品的潜在用户？对品牌代言的合作态度怎么样，愿不愿意帮我的产品做宣传，会不会和我的品牌玩在一起，会不会来买我的产品。对，最重要的是购买力。2、艺人贵吗，这个主要影响厂商的预算，比如我总共有两百万的费用，那么我会请报价100万的艺人，其他的钱用来宣传。再比如，我有一亿，那我就可以请罗志祥，再请一个吴青峰，再请一堆红人跟我合作，没错我说的是【剑与远征】哈哈哈哈PS：肖战的一年期游戏代言费用是一千万，这个数字随便问一个公关公司都能得出来，并非我张口就来。3、艺人的人设标签。厂商一般会邀请符合自己品牌最想表达理念，风格。比如说牛奶请陈道明代言，是因为陈道明大佬的气质会让普通的用户联想到高品质好东西，品牌请张钧甯代言，是因为这位艺人坚持运动的生活态度。小七有很多游戏代言，因为小七身上有一种一种“二次元”少女的标签。那么，风格化明显，正向的艺人，就更容易得到商业的青睐。OK，那么那篇【下坠】本身带来了什么影响？我可以很明确告诉大家，这一篇文在厂商眼里，只是一个数字，一个代表肖战人气的数字。如果你结合了厂商信息产出代言，粉丝产粮，那么很好，厂商更高兴了。但是，事情发展到了今天，带来了什么影响呢？以我最熟悉的【新笑傲江湖】手游来举例子。【新笑傲江湖】是完美的19年度拳头产品，未来也会长线运营。肖战代言给产品带来了红利，完美的股价在19年下半年飙升。那么现在呢？产品在苹果商店被打一星，据说工作室多次找到品牌的同事，闹到这一步，现在手游被抵制，taptap等厂商看重的平台评分一路底星，二次元KOL纷纷抵制，路人用户呢？商店评分呢？口碑呢？那些还没执行的商业推广计划呢？肖战签的代言不是一波流，接下来的合作怎么办？完美是一个熟练使用代言人这种营销手段的游戏商场，公司成立15年了，王俊凯，郑爽都是该厂商的合作对象，大家随便搜，都能搜到他们的海报。那么肖战，就是第一次出现这种口碑滑坡对产品带来大面积负面影响的艺人。那么其他的企业呢？站在风口浪尖的OLAY，牛奶品牌呢？所以，粉丝们看懂了吗？一篇文，不会影响你哥的前途。胡搅蛮缠的粉丝，动不动就扫射厂商的粉丝，【让企业损失口碑，商业价值，商品销量，大众对产品的印象】才会影响你哥的前途。有什么品牌方，敢用有一群这种粉丝的明星？我今天看到一句话。“全世界要按照我的心意来生存”这就是这个粉丝群体最开始的错误。是的，没有错。这个世界的法则从来就不是【我不喜欢就举报你，让公权力来搞你】有空多读书，有空多看看世界，了解了解，互联网，文学，音乐，金融，书籍，世界很大，你我都很小。
羊毛跑跑腿,发现各家理智粉都有一个困扰：理智的人基本都要上班上学；疯狂的粉丝一天天啥也不干，不是开撕就是反黑，咋才能控制住这些孩子……
七公主的日记,:#钟南山李兰娟等10个院士团队齐聚湖北#加油！你们是最👍🏻的[加油]北京·南华里
想在哥哥的腹肌上跳舞,:#肖战#我给肖战哥哥诚挚道歉，我就想问问为什么要这么欺负我们啊
肥小源咿呀,:#钟南山李兰娟等10个院士团队齐聚湖北#
Function---术,【#国际泳联考虑将孙杨金牌罚给霍顿#】据澳媒《悉尼先驱晨报》报道，国际泳联副主席马特·邓恩接受采访时表示，可能对孙杨采取进一步行动，即剥夺孙杨在光州世锦赛上的金牌。他说：“剥夺孙杨金牌？我认为这件事情是开放的，我们支持CAS的处罚决定，也会执行WADA的规则，让游泳池中保持干净、公平！”孙杨在光州世锦赛夺得400米自由泳金牌，亚军为澳大利亚选手霍顿，且在当时比赛颁奖典礼上，霍顿拒绝与孙杨同台领奖引起巨大风波。#看奥运上咪咕#http://t.cn/A67NyOqJ
想当年我可是天蓬元帅,主检官先是承认本次检查无效，IDTM公司经理（电话指示）让主检官找个借口，对我们说“血样你可以保留，外包装我们要带走！至于怎么分离，是你的事情。”然后才出现了分离外包装和血样瓶的举动，血样至今还完好无损地保留。#孙杨公布完整血样瓶#
一笺不成书,:#钟南山李兰娟等10个院士团队齐聚湖北#加油！！静待花开！！！晚安
墨爬爬爬爬,:不是没追过星，也不是没混过粉圈。激进的粉见过，毒唯见过，追星追到魔怔的见过。私认为这些其实和粉圈无关，不过是那些人本来的模样。但是我混过的粉圈却从来没有出现过大规模的波及与坍塌。归根结底是因为偶像及团队的引导。我看过有的艺人在乍红之初就亲手扼杀了粉丝企图操纵他的可能，还看过有些演员告诉他的粉丝要靠自己判断不要盲从于他。我更看过有些变扭的人自始至终内心没有去屈服和迎合粉丝文化。所以归根结底，确实，什么样的偶像就有什么样的粉丝。
鱼肉馅饼包,#理娱1+1#最近肖战因自家粉丝举报事件被全网“讨伐”。从小众饭圈战争到进入大众视线，这件事情是从哪一步开始崩坏的，艺人以及团队又做错了什么？今天《理娱1+1》连线肖战粉丝，还原“肖战&ao3”事件中的关键环节，以及粉丝运营专家，看看这件事情中的“间接当事人”—肖战及其团队错在哪？http://t.cn/A67p7Uwh
FLARESTAR,【猴姆独家】#智能大反攻预告#必看！#蜘蛛侠:平行宇宙#团队打造全新动画电影#智能大反攻#首曝官方【中字】预告片！机灵古怪、充满创意的神奇女孩凯蒂·米切尔即将步入大学生活。她的家人决定一起送她上学，增进家庭感情。不料一场灾难打乱了米切尔一家的计划：人们身边的电子智能设备突然向人类发起进攻，从手机到家用电器，包括最新款的机器人。在两台友好的故障机器人的帮助下，米切尔一家决定齐心协力，从失控的智能科技中拯救世界！必须期待！
we粉丝今天能过年了吗,:#肖战#对不起，我们惹了无辜纯净的肖战，我们现在道歉。请肖战团队和粉丝放过我们的小平台，放过我们的作者，她们什么都没有做，是我们这些读者不知天高地厚和资本斗争还痴心妄想要一个解释和道歉，对不起，是我们错了。
复古收纳机,:#钟南山李兰娟等10个院士团队齐聚湖北#新冠病毒：是不是玩不起
薇薇家的猫,看到@钉钉被小学生疯狂打一星后，我想讲个我们跟钉钉团队之间的小故事……伟大的产品背后，是由一群怀有热爱的人全力打造的。而成就伟大的过程，也必将会让背后的这群人，由内而外散发出光。而这道光，应该就会成为这些人身上，那最有意义的一部分吧~#钉钉5.0来了#看到钉钉被小学生疯狂打一星后，我想讲个故事……
暗潮cos,:#肖战#我觉得小小的团队是真的沙币
伯乐1760,:钟南山团队：建议严格防控措施实施至4月底@QQ浏览器钟南山团队：建议严格防控措施实施至4月底
带店,:🎖带店🎖花本来该花的钱💰赚本来不该赚的钱💰本来就要买东西，却因为买了东西成为了这个产品的推广者，严格说是分享者👌因为不用进货，淘宝京东拼多多发货，我卖出去我就能赚钱❗我的团队卖出去我还赚钱，这些钱是额外得到的❗有了🎖带店🎖这个综合平台，别人该买什么买什么，该去哪买去哪买❗我却因此有收益❗这就是分享经济，也是我看懂的❗
唯蜜瘦董事琴姐,:我上传了一个视频📦📦📦今日团队发货1⃣1⃣2⃣0⃣箱月初就已经开始爆发了🔥🔥http://t.cn/A67pc7cq
Crystal-245,孙杨禁赛8年深度分析听证会和程序上的所有问题?孙杨律师团队该如何上诉如何辩护？NathanRich火锅大王的微博视频
南竹小甜甜,#肖战工作室道歉#工作室道歉合情合理
Secretsilence,#艾玛花园imhy[超话]##偶像失声#偶像压根没失声，只有左右逢源的你失了声。
也荧,【关于刘也回京行程问题声明】关于部分粉丝反映刘也回京行程更改一事，后援会与@哇唧唧哇和@1CM领誉相关工作人员进行了沟通咨询，已确认行程更改。@哇唧唧哇答复为可能受疫情期间航空调控等不可抗因素影响，@1CM领誉答复为根据艺人具体行程调整。特此声明。
七契祺祁,:#钟南山李兰娟等10个院士团队齐聚湖北#辛苦了，请一定要平安归来。
沙雕网友莫得姓名,#理娱1+1#最近肖战因自家粉丝举报事件被全网“讨伐”。从小众饭圈战争到进入大众视线，这件事情是从哪一步开始崩坏的，艺人以及团队又做错了什么？今天《理娱1+1》连线肖战粉丝，还原“肖战&ao3”事件中的关键环节，以及粉丝运营专家，看看这件事情中的“间接当事人”—肖战及其团队错在哪？http://t.cn/A67p7Uwh
子衿舊夢,发布了头条文章：《做梦都没想到，我竟然“成了”肖战的公关？》做梦都没想到，我竟然“成了”肖战的公关？
好像油猫饼,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
龙姑娘不爱喝酒爱吃肉,:#肖战#这一次，可能真的糊了，肖战的团队也太不给力了……
桃汁販卖家祺祺,通知⚠️公众号【TF-FAMILY】会员中心-时代少年团俱乐部现无法快捷进入。请使用公众号登陆官网俱乐部的爆米花们通过会员中心-个人中心-粉丝俱乐部-时代少年团粉丝俱乐部进入。建议直接通过浏览器网页访问官网http://t.cn/a8ZGtn，感谢理解。
我只会啊哈哈哈哈,#热血同行艳势番#阿易@TFBOYS-易烊千玺搬救兵来救崇利明@热血黄子韬啦~大家自发组织成人形主角光环，把崇利明一行人救出来，崇利明：我也没想到我会以这种方式被救
GintamaOnepiece,:现在的娱乐圈形式还有艺人团队相信清者自清这种鬼话
coffeebreak铁人蘇,#理娱1+1#最近肖战因自家粉丝举报事件被全网“讨伐”。从小众饭圈战争到进入大众视线，这件事情是从哪一步开始崩坏的，艺人以及团队又做错了什么？今天《理娱1+1》连线肖战粉丝，还原“肖战&ao3”事件中的关键环节，以及粉丝运营专家，看看这件事情中的“间接当事人”—肖战及其团队错在哪？http://t.cn/A67p7Uwh
河北综合广播,:【#钟南山等10位院士团队先后支援湖北#】湖北省卫健委副主任涂远超在今天的疫情防控发布会上表示：钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省，有330多支医疗队、超4万名医务工作者从全国各地前来支援湖北，他们在救治中发挥了重要作用。http://t.cn/A67Nnjsk
希与_,:这几天实实在在有被肖战的脑残粉丝、肖战及其团队恶心到，暂时休整一下远离微博
水川_今天有些小不开心,:所以肖战团队为什么每次买热搜都是17位……？之前还没注意，结果这几天天天买热搜被大家提醒才发现还真是……是这个热搜费比较便宜还是……？
双双VMESHOU唯蜜瘦,:💖唯亿团队今晚晋级8⃣位总代！打批发的节奏啊！从春节到现在唯亿团队每天都在爆发！2020引领塑型产业的大品牌你，看懂了吗？
空投TOKEN,:Staking成新热点，为何说它是节点团队综合能力的变现?EOS生态到底怎么做？？！其实非常简单！！1，先注册好EOS生态，然后下载好生态和火币交易所APP！2，到火币交易所购买EOS！3，把购买来的EOS提到EOS生态里来激活投票！那么节点方就会每天给你分红奖励EOS，节点奖励的EOS够1枚以上就可以http://t.cn/A6hFMTIM
ezKaren,孙杨禁赛8年深度分析听证会和程序上的所有问题?孙杨律师团队该如何上诉如何辩护？NathanRich火锅大王的微博视频
今天也是开心的小夏呀,:公司团队活动集体减肥，减得多的人有奖，这是看不下去我们冬天屯的膘了吗
LeoFilm,:待到春暖花开时，一起去放肆拍IAMREADY......短视频在生活中其实无处不在感兴趣可以关注团队抖音号15373705LeoFilm的微博视频
一生红与蓝,看看鹅的发票也可以开起来了
荔枝气泡水加冰,:吃瓜吃的累了，真想要是wz能帮他公关就好了，团队真是个fw
谢卿元,:#凤凰娱乐#
重新做人的莫德利耗耗,我发表了头条文章:《肖战、粉丝、偶像责任和危机公关》肖战、粉丝、偶像责任和危机公关
逗包逗包背着书包,:#肖战#原本，我只觉得团队纵容粉丝利用公权力满足私欲，我们不能助长这种风气。而现在，他们还在想压制我们的声音，还想要粉饰太平。继续依赖粉丝经济红利，撑起他们畸形的运作模式。真的，这个热搜都给我整懵了，有钱连公关都不用了吗？路人的口碑不想挽回了吗？引起这么大的社会影响就这么翻篇了？
佛尔德格斯__,:#肖战#“抱歉在特殊时期占用公共资源”呵肖战团队可要点脸8⃣️
Clover小草青青,#理娱1+1#最近肖战因自家粉丝举报事件被全网“讨伐”。从小众饭圈战争到进入大众视线，这件事情是从哪一步开始崩坏的，艺人以及团队又做错了什么？今天《理娱1+1》连线肖战粉丝，还原“肖战&ao3”事件中的关键环节，以及粉丝运营专家，看看这件事情中的“间接当事人”—肖战及其团队错在哪？http://t.cn/A67p7Uwh
是你的琳琳啊,:#果然天空合理规划王琳凯路线#
无西西·懂卡卡,#理娱1+1#最近肖战因自家粉丝举报事件被全网“讨伐”。从小众饭圈战争到进入大众视线，这件事情是从哪一步开始崩坏的，艺人以及团队又做错了什么？今天《理娱1+1》连线肖战粉丝，还原“肖战&ao3”事件中的关键环节，以及粉丝运营专家，看看这件事情中的“间接当事人”—肖战及其团队错在哪？http://t.cn/A67p7Uwh
云朵起泡酒,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
今天也是开心的小夏呀,:公司团队活动集体减肥，减得多的人有奖，这是看不下去我们冬天屯的膘了吗
LeoFilm,:待到春暖花开时，一起去放肆拍IAMREADY......短视频在生活中其实无处不在感兴趣可以关注团队抖音号15373705LeoFilm的微博视频
一生红与蓝,看看鹅的发票也可以开起来了
王子异的舌头_,:#钟南山李兰娟等10个院士团队齐聚湖北#辛苦了！钟南山李兰娟等10位院士真的辛苦了愿你们平安归来
荔枝气泡水加冰,:吃瓜吃的累了，真想要是wz能帮他公关就好了，团队真是个fw
谢卿元,:#凤凰娱乐#
学生等着大人,:#肖战#我给肖战哥哥诚挚道歉，我就想问问为什么要这么欺负我们啊
重新做人的莫德利耗耗,我发表了头条文章:《肖战、粉丝、偶像责任和危机公关》肖战、粉丝、偶像责任和危机公关
奔跑的鸸鹋,:我想说草粉就别替草感觉难过了，早就想说了，男三李晨浩至今都没在片头有个名字，鬼才知道这剧中间发生了多少变故，草粉不要天真的认为这些事是草团队可以去解决的。
LC嘴嘴,:#笑煮#没感觉出他厉害，实力也有欠缺，团队意识薄弱，我只是单纯路人的客观评价而已
长夏alex,:挽救团队于绝境，这是卢西奥这种团队英雄存在的终极意义长夏alex的微博视频
商羊挖鼻小岁岁,发布了头条文章：《做梦都没想到，我竟然“成了”肖战的公关？》做梦都没想到，我竟然“成了”肖战的公关？
不会喝梅洛的梅洛宋,:明天见日本团队的客户，接手项目。几个月之后，也许我从中顺利成为商务日语一把好手，也许我感染上新冠gameover上海
玩兔说H,#理娱1+1#最近肖战因自家粉丝举报事件被全网“讨伐”。从小众饭圈战争到进入大众视线，这件事情是从哪一步开始崩坏的，艺人以及团队又做错了什么？今天《理娱1+1》连线肖战粉丝，还原“肖战&ao3”事件中的关键环节，以及粉丝运营专家，看看这件事情中的“间接当事人”—肖战及其团队错在哪？http://t.cn/A67p7Uwh
七哥足篮彩NBA推荐,:#NBA推荐#昨日预测一红一黑没胜负，今天做好调整继续努力！欢迎想领取更多赛事预测的粉丝们到置顶文章找我近期团队在群内的足球实时推荐状态相当不错，不妨尝试看看每晚带队全程免费，有兴趣的朋友们赶紧加入我们的大家庭吧。比赛队伍：洛杉矶湖人(主)VS费城76人比赛时间：03/0411:00分析：此场对决76人方面恩比德与西蒙斯都确认缺席，76人在面对这种强敌还缺兵少将相当不利，遇上近期状态稳定且实力坚强的湖人想阻止球队吞败非常有难度，可湖人这边戴维斯以及卡鲁索未必会出战，还得在赛前看状态决定，这对于目前给予湖人的高指数来说相当难以下手，如若没能顺利出战将会埋下一个非常不稳定的因素，毕竟湖人为了避免先发球员们受伤不可能让他们在本场有太过分的出场时间，如果主力球员在场期间没拉开大比分的话那湖人要想在最后打穿的概率并不大，这场无论去谁都是相当不合适的，近期赛程中湖人有着相当稳定的进攻火力，且76人的节奏也不慢，我认为走一手总分大会更合适一些。推荐：全场大小(大于219.5)附加推荐：俄克拉荷马雷霆VS洛杉矶快船全场大小(小于227)
为白宇秃头,最近看到很多拿：“爱豆应该怎么做才能避免粉丝过激行为？这种事偶像怎么发声？偶像又控制不了粉丝行为。”去问路人和讨论者。很多人很讲道理，苦口婆心几句为什么。然而这些是你偶像该考虑的问题这是偶像的能力一环，不是我的
摄影师小强同学,:封城第四十一天:#钟南山李兰娟等10个院士团队齐聚湖北##最新疫情地图##全球抗疫第一线#做了个PPT开了个会加了个好友聊了会儿天然后好像啥也没干了，实在是太冷了，好像一下又回到冬天了，钻被窝睡觉，现在能睡个安稳觉就是最大的幸福
Bpm69翛,:从最初五人追了10年的团队在2019年一次性终结了我们粉丝的守候，老泪纵横……
鲨妤来啦,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
Rose_要充电,:一些职业团队装粉丝，当然也有真粉，说一些不合时宜的话，然后一些人带节奏说他洗白了，他们又骂人了，他们又网爆了，把对他不好的热搜撤下去但是不能删，让另一部分人说他团队下场，背靠资本，真瓜➕假瓜，瓜1迭代瓜2……所以每次有明星的瓜就当个下酒菜，真真假假我都不信
幽默官,:援鄂医务白衣天使回家了，最高礼仪欢迎#钟南山团队建议严格防控实施至4月底##武汉外地滞留者可申领3000元政府救助#热门视频合集的微博视频
