大葱丶蘸酱,:感谢来自五湖四海的帮助，已收到满满的爱
掌上珠海,:【珠海市停水信息】1.因金琴快线道路改造，位于南湾北路华发商都侧的供水管道进行迁改，定于2020年3月6日（星期五）23:00至7日（星期六）07：00停水施工。届时二城工业区、南屏油站、南屏集团宿舍、华发商都、华发新城六期、南屏宏兴公司、BOX文化创意区、广宏苑等用户暂停供水；2.因供水设施接驳施工，定于2020年3月5日14：00--17：00停水，影响：香洲区夏桥路春泽嘉园无水；3.因金湾区红旗镇虹晖小学DN200水表安装接驳工程，定于2020年3月5日09:00至17:00进行停水施工，届时，金湾区红旗镇安怡花园，三板小区，珠花新村暂停供水。🔸请受影响用户做好储水准备。停水期间，请用户关注自己阀门的启闭状况，在无人监控的情况下，请关闭阀门，避免提前恢复供水时造成损失。via.珠海水控集团#珠海身边事##珠海生活#
珠海电台音乐广播FM915,【珠海天气预报】受冷空气影响，预计今明两天我市以阴天天气为主，间中有小雨，天气清凉；7日至9日受暖湿气流影响，我市回温明显，早晚多雾；展望9日稍晚起受新一股冷空气影响，我市再次转稍凉和有雨天气。温馨提示：今明两天海面风力较大，请注意海上交通安全；未来气温多变，请注意及时添减衣物。珠海市气象台3月5日早晨发布
珠海特区报,:【珠海3月4日继续保持无新增！坚持住！】据市卫健局消息，3月5日9:14，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月4日24时，我市累计确诊病例98例，累计死亡病例1例，累计治愈出院83例，现有在院病例14例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。详见链接：http://t.cn/A67TbZrG
精彩吴宪,:1898年3月5日，是中国人民的开国总理周恩来同志的诞辰日，让我们永远缅怀人民的好总理。1979年3月5日，是珠海市撤县建市的日子。本市从昨夜起，在全市的各大公益广告牌上，除了显示祝福本市生日之外，每一句流动字幕都是致敬！致敬坚持奋战在抗疫一线的白衣天使！致敬这座城市的守护者人民子弟兵和人民警察！致敬在这场抗疫人民战争中默默奉献的所有无名英雄们……！
晓风成语,:横琴岛：珠海市最大岛屿，比香港岛还大三分之一，相当于2个澳门。澳门需要土地，希望就在横琴。创新一国两制，再造一个澳门。澳门要建立以人民币计价结算的证券市场，澳交所将建成“人民币离岸市场的纳斯达克”。横琴岛上有30%以上的常住居民是来自澳门，澳门大学横琴岛新校区启用，学生规模1万人。
黎赞爱书法,:唐诗节选@茂名市书法协会@佛山市书法协会@珠海市书法协会茂名·化州市第三中学
斗门天气,:预计，未来6小时我区天气阴天间多云，气温15～18℃，偏北风2～3级，相对湿度80%～100%。珠海市斗门区气象台03月05日08时11分发布http://t.cn/EbghzHg
Talpiot888,偷梁换柱，以坏充好#一句冷幽默##搞笑视频#细思恐极奇闻的微博视频
诸恶莫作众善奉行2016,:读诵经典|受持《金刚经》，获无量福德来自珠海市普陀寺微信公众号受持《金刚经》功德受持《金刚经》能增长无量的福德。经中先后以三千大千世界七宝布施校量，恒河沙等七宝布施校量，恒河沙等身命布施校量，每日三时以恒河沙等身布施校量，又以佛陀曾经得值八百四千万亿那由他诸佛，悉皆供养承事的功德校量，都不及受持《金刚经》四句偈功德之大。因为财富的布施，身体的奉献，都只能给人以短暂的帮助。而受持或为他人讲说本经，体解一切法空、更能够广度众生，令正法久住，启发人们的正知正见，引导他人向上增进以至解脱成佛，由此获得彻底的安乐。所以，《金刚经》的功德殊胜，真实不虚。
风智曦,:广东省珠海市发生一起打架事件，位于斗门区，现场画面真令人汗颜http://t.cn/A67lkQst
珠海西部资讯,:#斗门新闻#2020年03月04日，本节目由珠海市斗门区融媒体中心制作。珠海西部资讯的微博视频
珠海政府网,:【2018年度珠海市科技企业孵化器、众创空间运营评价后补助资金项目公示】详戳→http://t.cn/A67lfI1G（via.珠海市科技创新局）#珠海身边事#
珠海政府网,:【疫情不止防控不息珠海市自然资源局继续加强野生动物监管】截至3月2日，珠海市自然资源局巡查检查集贸市场和餐饮单位等2884家次、人工繁育场所30家次，共出动巡查执法人员2604人次，收缴野生动物5只。另外，对自然保护地及其他野生动物重要栖息地等进行野外巡护2889人次，清理捕鸟网165米。详戳→http://t.cn/A67l5t64#珠海身边事##百城行动战疫情#@珠海市自然资源局
珠海政府网,:【珠海市公安局关于依法严厉打击涉野生动物违法犯罪行为的通告】详戳下图#珠海身边事##百城行动战疫情#@珠海公安
最爱珠澳,【智能体温监测、在线建卡、防疫凉茶珠海市人民医院全面开诊！】自3月2日（本周一）开始，珠海市人民医院医疗集团各成员单位（包括珠海市人民医院本部、横琴医院、高栏港医院、海岛医院、海关医务所）已经正式全面恢复日常诊疗服务，市民就可以正常取号就医。门诊大厅有热腾腾的“防疫”凉茶免费提供。同时，为了更加方便患者快速预约、快速就诊，医院还推出了更加“省心”的“微信在线建卡”服务。各项辅助检查（化验检查、放射检查、PET-CT）项目均正常开展，做到应收尽收，应治尽治。住院病区在严格做好入院患者预检及陪人管理的前提下，已经全面收治病人，手术在做好科学防护的前提下也正常开展。此外，在珠海市人民医院健康管理科也已全面恢复，已经有不少市民和团体前来体检。@最爱珠澳
斗门天气,:预计，受冷空气影响，今晚到明天我区气温下降，并伴有小雨；7日起阳光增多，气温逐渐回升。珠海市斗门区气象台03月04日16时17分发布http://t.cn/RXobCWG
珠海市文化广电旅游体育局,:《广东省文化和旅游厅关于粤港澳大湾区文化创意设计大赛作品延期受理的通知》由于受到新型冠状病毒肺炎疫情的影响，由广东省文化和旅游厅、珠海市人民政府联合主办的“粤港澳大湾区文化创意设计大赛”作品征集截止时间由2020年2月29日延期至2020年4月30日，后续赛事环节顺延，其他仍按照《广东省文化和旅游厅关于举办粤港澳大湾区文化创意设计大赛的通知（粤文旅〔2019〕127号）》执行。
斗门天气,:【斗门森林火险预警解除】市气象局于今天15时45分解除森林火险预警信号。珠海市斗门区气象台3月4日15时45分发布http://t.cn/RXobCWG
珠海天气,:【珠海天气预报】受冷空气影响，预计今晚到明天，我市有阵雨，气温小幅下降。展望周末阳光增多，气温逐步回升。温馨提示：近期海面风力较大，请注意海上交通安全；天气变化快，请注意适时增减衣物，谨防感冒。珠海市气象台3月4日下午发布http://t.cn/RXobCWG
最IN珠海,:#珠海抗疫在行动#珠海3月4日零新增确诊，累计治愈出院82例！3月4日9：00，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月3日24时，珠海累计确诊病例98例，累计死亡病例1例，累计治愈出院82例，现有在院病例15例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。
珈和遥感,:#卫星影像#2020年3月4日，珠海市，那个与澳门挨着的城市，也是蛮受欢迎的~
香山网,:抽检不合格！珠海生产的这种矿泉水被点名！快看看你有没有喝过？2020年3月2日，广东省市场监督管理局网站发布关于23批次食品不合格情况的通告（2020年第7期）。据通告，标称珠海市香洲东坑股份合作公司生产的冰矿饮用天然矿泉水，被检出铜绿假单胞菌不符合食品安全国家标准规定。食品安全消费提示：消费者应当在正规可靠渠道购买所需食品并保存相应购物凭证，要看清外包装上的相关标识，如生产日期、保质期、生产者名称和地址、成分或配料表、食品生产许可证编号等标识是否齐全并符合法律法规的规定。不要购买无厂名、厂址、生产日期和保质期的产品，不要购买超过保质期的产品，不要购买公布的不合格产品。欢迎广大消费者积极参与食品安全监督，如在市场上发现本次公布信息中所涉的不合格食品，请及时拨打投诉举报电话12345或12315。来源：知珠侠#珠海##珠海身边事#
香山网,:抽检不合格！珠海生产的这种矿泉水被点名！快看看你有没有喝过？2020年3月2日，广东省市场监督管理局网站发布关于23批次食品不合格情况的通告（2020年第7期）。据通告，标称珠海市香洲东坑股份合作公司生产的冰矿饮用天然矿泉水，被检出铜绿假单胞菌不符合食品安全国家标准规定。食品安全消费提示：消费者应当在正规可靠渠道购买所需食品并保存相应购物凭证，要看清外包装上的相关标识，如生产日期、保质期、生产者名称和地址、成分或配料表、食品生产许可证编号等标识是否齐全并符合法律法规的规定。不要购买无厂名、厂址、生产日期和保质期的产品，不要购买超过保质期的产品，不要购买公布的不合格产品。欢迎广大消费者积极参与食品安全监督，如在市场上发现本次公布信息中所涉的不合格食品，请及时拨打投诉举报电话12345或12315。来源：知珠侠#珠海##珠海身边事#
珠海零距离,:#珠海抗疫在行动#珠海3月4日零新增确诊，累计治愈出院82例！3月4日9：00，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月3日24时，珠海累计确诊病例98例，累计死亡病例1例，累计治愈出院82例，现有在院病例15例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。#珠海爆料#http://t.cn/Ry6bvy9
金湾发布,:#金湾新闻#【金湾区关于餐饮服务单位有序提供限制性堂食服务的通告】根据《珠海市新冠肺炎疫情防控指挥部办公室关于印发分区分级防控工作方案的通知》精神，结合金湾区疫情防控实际，现就有关事项通告如下👇
轻轻舞飞扬06_733,:【珠海凤凰山】珠海凤凰山地处北回归线以南，位于珠海市城区北面，属沿海丘陵地区，山地是典型的南亚热带季风气候，气温高，热量丰富，雨量充沛。凤凰山区森林植被覆盖率达90％，植被类型为南亚热带常绿阔叶林群落。开封·禹王台东门公交站
中国制冷网微博,:【格力地产高格口罩今起对企业开放预订服务】在“前方”马力全开保生产的同时，为确保畅通口罩预订渠道，3月3日，“高格”口罩将在“珠海免税MALL”小程序正式上架，对珠海市企业开放预订服务。http://t.cn/A67OSsep
珠海政府网,:【珠海市探索三方联调劳动争议机制化解矛盾助力企业有序复工复产】近日，市人力资源社会保障局、市总工会、市工商联及市企业与企业家联合会，联合印发了《珠海市劳动人事争议三方联合调解中心工作方案》的通知，共同探索三方联调劳动争议新模式，进一步构建和谐劳动关系，助力企业有序复工复产。详戳→http://t.cn/A67OXekR#珠海身边事##百城行动战疫情#
珠海政府网,:【公开透明规范有序安全高效全程监督珠海确保每笔捐赠款物用到防疫“刀刃”上】珠海市如何规范管理捐赠物资？捐赠资金和物资都用在哪些方面？捐赠物资对珠海市疫情防控起到怎样的作用？近日，市新冠肺炎防控指挥部物资保障组副组长、市财政局局长戴伟辉接受专访，及时回应市民关切。详戳→http://t.cn/A67O6lKh#珠海身边事##百城行动战疫情#
珠海应急管理,:2月28日，珠海市应急管理局与南航通用航空有限公司签订了应急救援合作协议。发生自然灾害、安全事故、交通、医疗等紧急事件时，可启动空中应急救援力量，市应急管理局将协调南航通航调派直升机参与应对处置。详情点击→自然灾害等紧急状况可启动空中应急救援！市应急管理局与南航通航签订应急救援合作协议
珠海政府网,:【重磅！《珠海市教育局垃圾分类宣传教育实施方案》来了，师生家长速看！】详戳下图#珠海身边事#@珠海市教育局微博
珠海市城市管理和综合执法局,:#疫情防控城管在行动#3月3日下午，珠海市城市管理和综合执法局有关负责人带队前往中石化广东珠海分公司东方加气站、翠微加气站检查安全生产及复工复产工作。检查组慰问一线从业人员，实地查看各项工作落实情况，详细了解工作中存在的困难和问题，要求该公司要切实履行企业安全生产主体责任，严格落实各项管理制度和规定要求，持续把安全生产工作抓实抓细抓好。同时，要扎实做好疫情防控各项工作以及作业人员的安全防护，确保燃气供应安全平稳。
珠海市城市管理和综合执法局,:#疫情防控城管在行动#3月3日下午，珠海市城市管理和综合执法局有关负责人带队到海滨公园检查指导公园开放相关准备工作，要求公园管养单位要按照疫情防控的有关规定和要求做好各项工作，制定好公园开放的应急预案，落实好各项防控措施，确保公园开放后安全有序运行。随后，一行人到珠海大道施工现场检查指导绿化景观提升工作。
掌上珠海,:【惊！珠海一小伙因害怕疫情拒绝治疗致耳聋！】20岁小伙小陈过年前就因左耳听力下降，到珠海市中西医结合医院耳鼻喉科就诊，医生检查后发现是突发性耳聋，需要住院治疗，但小陈并没有来办住院手续。一周后再次到门诊，他的听力已经下降得更厉害了，医生再次要求住院，但他因担心新冠肺炎疫情影响安全，再次拒绝了，医生苦口婆心的劝导无果。等他近期再次到门诊时，左耳已经达到极重度了。近期该院接诊了不少因为疫情而错过最佳治疗时机的患者，该院耳鼻喉科急诊是一直保留的，急症一定要及时就医，以免错过最佳干预时机。via.广州日报#珠海身边事##珠海生活#
香山网,:珠海一20岁小伙因害怕疫情拒绝治疗致耳聋！事发广东珠海，20岁小伙小陈过年前就因为左耳听力下降到珠海市中西医结合医院耳鼻喉科就诊，医生检查后发现是突发性耳聋，告诉他需要住院治疗，没想到他并没有来办住院手续。一周后再次来看门诊，他的听力已经下降得更厉害了，医生再次要求他住院，但他因为担心新冠肺炎疫情影响安全，再次拒绝了，医生苦口婆心的劝导都没效。遗憾的是，等他近期再次来看门诊时，左耳已经达到极重度了。“一周内干预的效果就会好很多。”该院耳鼻喉科主任陈刚遗憾地说。陈刚透露，近期接诊了不少因为疫情而错过最佳治疗时机的患者，十分可惜。他提醒，该院耳鼻喉科急诊是一直保留的，急症一定要及时就医，以免错过最佳干预时机。来源：珠海市中西医结合医院#珠海##珠海身边事#
珠海卫生健康,:第三批珠海市人民医院援武汉医疗队护理队员在荆州守望相助的故事第三批珠海市人民医院援武汉医疗队护理队员在荆州守望相助的故事
珠海发布,:【继续0新增！珠海，保持住！】据市卫健局消息，3月4日9:00，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月3日24时，我市累计确诊病例98例，累计死亡病例1例，累计治愈出院82例，现有在院病例15例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。http://t.cn/A670gdD3
珠海特区报,:【最新！珠海3月3日继续保持无新增！累计出院82例】据市卫健局消息，3月4日9:00，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月3日24时，我市累计确诊病例98例，累计死亡病例1例，累计治愈出院82例，现有在院病例15例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。详见链接：http://t.cn/A670gdnM
珠海天气,:蚊子能传播2019冠状病毒病吗？免水洗手液买不到怎么办？珠海市疾控中心为您解答
珠海政府网,珠海市疫情相关信息报告（3月3日0-24时）3月4日9：00，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月3日24时，我市累计确诊病例98例，累计死亡病例1例，累计治愈出院82例，现有在院病例15例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。
珠海卫生健康,:珠海市疫情相关信息报告（3月3日0-24时）3月4日9：00，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月3日24时，我市累计确诊病例98例，累计死亡病例1例，累计治愈出院82例，现有在院病例15例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。
珠海市技术性贸易壁垒预警平台,:【珠海天气预报】受冷空气影响，预计未来两天我市气温将小幅下降，并伴有阵雨，天气转凉。展望周末阳光增多，气温逐步回升。温馨提示：近期海面风力较大，请注意海上交通安全；天气变化快，请注意适时增减衣物，谨防感冒。珠海市气象台3月4日早晨发布
珠海天气,:【珠海天气预报】受冷空气影响，预计未来两天我市气温将小幅下降，并伴有阵雨，天气转凉。展望周末阳光增多，气温逐步回升。温馨提示：近期海面风力较大，请注意海上交通安全；天气变化快，请注意适时增减衣物，谨防感冒。珠海市气象台3月4日早晨发布http://t.cn/RXobCWG
斗门天气,:预计，未来6小时我区天气阴天，有分散小雨，气温19～22℃，东到东北风2～3级，相对湿度80%～95%。珠海市斗门区气象台03月04日08时09分发布http://t.cn/EbghzHg
东风永健,:珠海市—中山市—澳门特别行政区#卫星影像#，2020年2月18日南京·珠江路
美石美客,:会长协会第1期线上直播活动：疫情时期，企业如何线上运营自救社团会长协会昨天2020年3月1日晚，由珠海市社会团体会长协会主办，会长协会微域新媒体众创空间承办的“2020企业逆势增长公益直播课”以线上活动方式举行，讲座邀请“性感”社群营销系统实战系统创始人、著名社群专家孙文华老师光临微域直播间，以企业线上线下营销运营视角，详解企业在当前非常时期所面临的挑战和机遇，深入剖析触达/裂变/转化/服务的增长路径和营销方式。全民抗疫，众志志城！随着抗疫行动的次第展开，全国新增新冠病例逐步减少，疫情的蔓延已经得到有效遏制，抗击疫情的拐点正在到来。然而随着各地开始逐渐复工，摆在企业面前的却是一道道的难题：疫情环境没有人流如何获客？存在什么机会？如何在线上将用户、客户汇聚过来？如何通过线上运营来变现成交？这次直播分享中他为我们详细讲述了当前非常时期所面临的挑战和机遇，自救方式、各行业自救攻略、4步做好线上运营等焦点内容。第一，全员自救，马上进入工作状态。可以立即启用企业微信、钉钉、视频会议、直播等在线办公和远程办公具，将所有员工动员起来立即开始进入工作状态，同时也要关心和爱护员工的身心健康，比如像海底捞就为员工制定了详细的工作安排和员工关怀措施。第二，维稳老客户，避免断流。要找到找到活下去的关键，避免现金流断裂。老客户维稳，围绕用户需要可从知识和快乐2大需求展开。洞察当下用户需求和痛点，提供自己的价值——利益纽带。就算只是陪伴，也有意义——情感纽带。第三，业务线上化，构建风险抵御防护盾。通过4步转向线上业务：组团队->建渠道->设计产品->运营线上。产品线上化：例如在线网课、在线保险等等；服务线上化：例如在线问诊、AR看房、AR看车de等；产品零售化：例如海底捞卖火锅底料、自嗨锅、星巴克卖杯子、全聚德卖烤鸭、王刚卖瓶装酱料等；通过以上分享，大家也能了解到，2020年最重要的线上营销手段就是布局私域，做好私域流量的运营和成交，私域流量的运营主要就是社群运营和朋友圈运营、1对1的私聊运营，而这三种运营都离不开设计诱饵也就是打造爆品这个重要的抓手。本次直播线上人气汇聚500多。会长协会部分成员、部分会长、部分秘书长、部分企业领袖线上参与。预告：会长协会最近还将就大家关心的问题安排各服务中心逐期分播，敬请期待。直播前会提前告知。http://t.cn/Ry6bvy9
珠海禁毒,:发布了头条文章：《众企联动，共克时艰！珠海市易制毒化学品管理协会在行动》众企联动，共克时艰！珠海市易制毒化学品管理协会在行动
阝丨巳它,:#找人#急寻高效液相工程师顾问机器故障最好是广州珠海市的
横琴人寿,【最新通知，珠海住房公积金政策有多项调整！】最新通知，珠海住房公积金政策有多项调整！
大湾区主任,:好消息！为应对新冠疫情和支持复工复产，珠海市住房公积金管理中心对公积金政策作出调整：一，可缓缴。二，可补缴。三，降比例。四，可停缴。五，可延期。六，放宽限。
珠海政府网,:【珠海市市场监督管理局2020年餐饮环节食品监督抽检信息通告（第1期）】珠海市市场监监督管理局近期组织对全市范围内餐饮环节的食品进行监督抽检工作，共40批次样品，合格样品36批次，合格率90%，不合格样品4批次，不合格率10%。详戳→http://t.cn/A67Nixt6#珠海身边事#@珠海市市场监督管理局
珠海政府网,:【《珠海市关于处理不动产登记历史遗留问题的意见（试行）》的政策解读】详戳→http://t.cn/A67NJnpx#珠海身边事#@珠海市自然资源局
珠海政府网,:【关注！《珠海市关于处理不动产登记历史遗留问题的意见（试行）》印发】详戳下图#珠海身边事#@珠海市自然资源局
珠海政府网,:【珠海市医疗机构恢复日常诊疗服务】详戳→http://t.cn/A67NxQEl#珠海身边事##百城行动战疫情#@珠海市卫生健康
