lanfanqiema,“网课请用Vapp上吧”
社法大理,:#文明创建不停步#【大理市市民公约】爱国爱党爱我家乡；遵纪守法维护公德；爱岗敬业诚实守信；热心公益乐于助人；崇尚科学移风易俗；团结友善爱护环境；家风优良邻里相亲；同心同德共建文明。#文明之花处处开#
aeTommy,真诚劝一句肖战粉丝，别惹配音圈和马薇薇哈，阿杰老婆小麦和马薇薇够给肖战面子了。
抱怀垂怜z,:#微博辟谣#此微博用户利用微博热点事件随意带他人姓名辱骂、造谣，并利用明星大名对其造成严重的人身攻击，影响了社区网络环境以及本人微博使用观感，违反了《微博社区公约》第十九条第（二）款、第二十六条、四十二条相关规定，请贵方严肃处理，谢谢！.
RedTractor_拖拉机加油站,:#RedVelvet[超话]#💚#朴秀荣[超话]#【RedTractor_拖拉机】200219HandsomeTigers未公开片段Joy和得分王文秀寅定下的初胜利公约中字⬇️下载&B站链接见评论⬇️禁二传二改商用，转载请注明出处。🎥RedTractor_拖拉机加油站的微博视频
中国林业发布,:#野生动物保护#【2019年中国野生动植物保护十件大事】《濒危野生动植物种国际贸易公约》第18届缔约方大会我国派出了由国家林草局（濒危物种进出口管理办公室）、外交部、农业农村部、海关总署、国家市场监管总局、国家中医药管理局、中国科学院（国家濒科委）及香港、澳门特别行政区有关部门共同组成的政府代表团参会。http://t.cn/A679Dhyh
夜雨里的妖精,:此微博用户发表大量侮辱性言论，人身攻击公众人物，用词低俗恶劣、淫秽不堪，严重侵害了该公众人物的名誉权，影响未成年人身心健康，已经违反了《微博社区公约》第十九条第二款、第二十六条、第四十二条相关规定，请务必严肃处理，谢谢！.
喔圆思刻,哈哈哈哈哈哈哈哈哈哈哈哈笑劈叉哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈你俩一起讲相声吧哈哈哈哈哈哈哈哈哈哈哈哈可愛嗎可惡的微博视频
野生救援WildAid,:中国是生物多样性相对丰富的国家，自1981年加入《濒危野生动植物种国际贸易公约》（CITES）以来，中国政府认真履行国际义务，采取了一系列比CITES更严格的措施。今天是2020年3月3日——第七个#世界野生动植物日#，中国主题是“维护全球生命共同体”。人类与野生动植物共享一个地球，人类的健康与野生动植物及其生态系统的健康息息相关，我们和野生动植物是一个生命共同体。面对野生动植物保护新形势和人民群众对美好生活的向往，我们有责任共同维护这个生命共同体，建设生态文明，打造美丽中国，与世界各国一道，携手呵护美丽的地球家园。@国家林业和草原局
海关发布,:【芒市海关截获鹿角珊瑚3株】3月1日，昆明海关所属芒市海关在芒市国际机场口岸旅检通道截获珊瑚3株，总重9.54千克。经鉴定，该3株珊瑚为鹿角珊瑚，属《濒危野生动植物种国际贸易公约》CITES）附录Ⅱ内濒危物种。
盛京贤人,#外国人永久居留管理条例#一群说着流利的普通话自称是中国人的，广州黑人（猩猩），直播炫耀，中国女孩投怀送抱，睡了很多中国姑娘，还在直播中说有想一起玩的可以来广州找他们，可以带女孩子来，但是这些女孩都是我们的，你们不要跟我们抢
L-MIC-JC-T,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
迈点,:【2020年2月高端酒店品牌发展报告】2月，国内高端酒店品牌通过自律公约建设、延续退改保障政策、金融措施纾困，助力行业渡过难关；国际高端酒店品牌则采取减免业主管理费、延长常旅客会籍等相关措施给酒店及消费者减压。http://t.cn/A679XOh5
Lu_Luna,:此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
百合蚊子,#博君一肖[超话]#[good]【集中举报3月3日第1️⃣波】
抱怀垂怜z,:#微博辟谣#此微博用户利用微博热点事件随意带他人姓名辱骂、造谣，并利用明星大名对其造成严重的人身攻击，影响了社区网络环境以及本人微博使用观感，违反了《微博社区公约》第十九条第（二）款、第二十六条、四十二条相关规定，请贵方严肃处理，谢谢！.
敲叽咕噜乔,:好想朋友圈公约如果你找我有急事你就直接给我发lmq俺找你有事快出来
E妹的颜我来舔,:十维公约，已经完结的无限流，受是智慧体弱型。还没有看完。
wo卡咔,:#微博辟谣#@吔夏：此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
我叫熊仔我超cool,:此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
三秦都市报,:【转发！今天，请务必让更多人认识这个节日！】2013年12月20日，联合国大会第六十八届会议决定宣布3月3日为世界野生动植物日，提高人们对世界野生动植物的认识。1973年3月3日正是通过《濒危野生动植物种国际贸易公约》的日子。该公约在确保物种生存免受国际贸易威胁方面起到了重要作用。详情戳：http://t.cn/A679ywce
银色牡鹿,:同一条微博，分段发就可以。作为一个整体发就会因为“违反相关法律法规或《微博社区公约》”发不出去，也是很迷！
湖北博得生态中心,:2020世界动植物日，维护地球生命共同体！1973年3月3日正是通过《濒危野生动植物种国际贸易公约》的日子。该公约在确保物种生存免受国际贸易威胁方面起到了重要作用。2013年12月20日，联合国大会第六十八届会议决定宣布3月3日为世界野生动植物日，提高人们对世界野生动植物的认识。博得团队，致力于野生动植物保护研究和宣传工作，愿身边的人能更多的关注和保护野生动植物，在发现这些自然精灵美好的同时，也为它们能长期存在于大自然中，作出自己的贡献。@黑鳞鸡冠蛇@博物小青龍@闪光鱵@开水族馆的生物男@大自然保护协会TNC@编辑态@三蝶纪http://t.cn/AiEL8k2x
阿婷今晚别熬夜,:#微博辟谣#此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
一杯奶茶只要布蕾,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
凯程教育,:#2021法硕##法硕##法硕题源#关注@凯程法硕每日五道经典题！2001年2月28日，全国人民代表大会常务委员会批准我国加入的国际公约是（）A、经济、社会、文化权利国际公约B、公民权利和政治权利国际公约C、国际儿童权利公约D、消除对妇女一切形式的歧视公约全国人民代表大会常务委员会批准我国加入的国际公约是（）
手机用户仁德,我分享了@察网中国的头条文章@平民王小石科学家们在美国构建一个广泛的病毒库应该是出自善意。但是世界上还有一个国家没有签署《禁止生物武器公约的国家》在，那就是在其国内外拥有200多个生物实验室的美国。如果不是为了研制并试验生物武器不被核查，我想不出任何理由会不签署。我们对新冠肺炎百思不得其解，可想想猪流感和紧接着的禽流感，它们爆发的时间是那么丝丝入扣；再看看去年发生的内蒙鼠疫、甘肃布病、北京诺如病，传染病如此密集的发生是少见的；最后是去年至今一连串的各地化工厂接连发生爆炸。由此我怀疑，针对中国的超限战早已开始，并且各地被渗透地应该相当厉害。http://t.cn/Ei73Wh4
好想去走走看看吃吃喝喝,:#227历史时刻[超话]#我好像炸号了？发不出了？问题是我也没说任何骂人的话啊，抒发真情实感都不行吗？我就好奇违反哪条社区公约了？
生态梦人,:【#共同战疫#今天，世界野生动植物日，紧急行动，保护野生动物共护生态安全？】1973年3月3日，“世界野生动植物大会”与会21个国家的全权代表在华盛顿签署《濒危野生动植物种国际贸易公约》即CITES公约。2013年，CITES公约第十六次缔约方大会指定每年3月3日为“世界野生动植物日”。2020年世界野生动植物日的主题为“维护地球所有生命”。#抗疲打卡行动##环保热点聚焦##网络名人同心战疫#@何春银微想@公众环境马军@长安卧龙958@寻梦自然@绿之芽@刍二不呆@红领巾sl@土农伙@江苏梁@南京大俭http://t.cn/z8onpiX
抱怀垂怜z,:#微博辟谣#此微博用户利用微博热点事件随意带他人姓名辱骂、造谣，并利用明星大名对其造成严重的人身攻击，影响了社区网络环境以及本人微博使用观感，违反了《微博社区公约》第十九条第（二）款、第二十六条、四十二条相关规定，请贵方严肃处理，谢谢！.
-无-妄,:#微博辟谣#此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了演员本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢！.
LegalSSS,【鹿野：警惕美国“病毒猎手”把新冠甩锅给中国】http://t.cn/A67SBICI要弄明白这次新冠肺炎的源头在哪里也很简单，只要美国在《禁止生物武器公约》核查议定书上面签字，然后对全世界各国的相关实验项目一起进行一次核查，很容易就真相大白了：哪个国家搞了这种研究，自然责任就在那个国家；如果没有哪个国家进行这种研究，那当然就是自然产生的。可惜的是，美国恐怕不会同意吧。#观风察俗#http://t.cn/A67SBKR4
tx2068,:【鹿野：警惕美国“病毒猎手”把新冠甩锅给中国】要弄明白这次新冠肺炎的源头在哪里也很简单，只要美国在《禁止生物武器公约》核查议定书上面签字，然后对全世界各国的相关实验项目一起进行一次核查，很容易就真相大白了：哪个国家搞了这种研究，自然责任（分享自@察网中国）http://t.cn/A67Kl55g
徒留一抹倩影,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
高艺斌_山子与海,【鹿野：警惕美国“病毒猎手”把新冠甩锅给中国】http://t.cn/A67SBICI要弄明白这次新冠肺炎的源头在哪里也很简单，只要美国在《禁止生物武器公约》核查议定书上面签字，然后对全世界各国的相关实验项目一起进行一次核查，很容易就真相大白了：哪个国家搞了这种研究，自然责任就在那个国家；如果没有哪个国家进行这种研究，那当然就是自然产生的。可惜的是，美国恐怕不会同意吧。#观风察俗#http://t.cn/A67SBKR4
超想吃菠萝蜜,:#微博辟谣#此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
肖有钱崽崽王,:#微博辟谣#此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
Ako宇宙最可爱,:#微博辟谣#此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
何时合体,:此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
狸丸奶卷,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
待到柳成荫,:#微博辟谣#此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
南岸山言,:#微博辟谣#此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
南岸山言,:#微博辟谣#此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
还在还行,:此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
鹿角咖啡馆,:此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
带带小阿旭,:联合国消除一切形式种族歧视国际公约第一部分第一条第二点已经明确说了本公约不适用于缔约国公民与非公民间所做的区别、排斥、限制或优惠。所以我对于我国非公民的nigger表示排斥，更希望我国有且仅有五十六个民族五十六支花！
一个只会吃的废人,:此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢.
09新闻呢大周,:洋垃圾公约？阿勒泰地区·吉木乃县
乌冬咕噜噜s,:讲真我很少看到小boss开车抹茶奶豆加油一位公约真的想看到dd真的很宠了
舞到你脸上,#博君一肖[超话]#【紧急声明】图中微博用户于超话发出该视频（已删除），视频为vx群录屏，内容煽/动粉丝露脸磕/头认错等不当言论，随之删除。后多方带v用户截图、二次传播该视频，使影响扩大化。联盟在此声明:1、发帖于超话的用户:http://t.cn/A67oQQjeid:小雪/nnnnnn，首页前期无正主相关，微博更新日期几月之前，发出引战视频，随之删除，定位批皮，挂黑处理。2、vx群鱼龙混杂，不排除黑装粉造谣嫌疑，此vx群群名:【小飞侠/的/全世界（总部）】挂出避雷处理。【人身攻击—勾选拉黑】http://t.cn/A67oH3qa
最喜欢女汉子大美妞,:不实信息此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢[/cp].
邓邓邓_deng,:我的天了，到底哪里违反了围脖公约，是有fan动的语言还是议论zheng制了？奇奇怪怪的。说自己要早睡早起，黑眼圈眼袋泪沟不好看不行？还有别到处瞎看多读书看报学说话也不行？
不想继续社畜的梦,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
MT大白兔大脸猫,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
指间青丝染成画,:#微博辟谣#不实信息此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢[/cp].
Tochii兔几几,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
赵木杉不是你以为的赵木杉,:近日结束的#波恩公约#缔约方大会(CMSCOP13)是《保护迁徙野生动物物种公约》历史上规模最大的一届，共有来自缔约方、联合国机构、非政府组织等2550人参加。今年大会的主办国印度，专门为大会创作了极具地域风情的主题曲👇让我们伴随着热情动感的节奏一起踏歌起舞，#为生命呐喊#
1M小队长,
王边路,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
ANS_中文首站,:#ANS[超话]#🎐#未来可期ANS#💗200302ANS官方INS更新💗拉昂碧安昙米海娜自拍1P遵守Vapp公约🥰👍
1M小队长,
王边路,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
ANS_中文首站,:#ANS[超话]#🎐#未来可期ANS#💗200302ANS官方INS更新💗拉昂碧安昙米海娜自拍1P遵守Vapp公约🥰👍
察网,:#观风察俗#【鹿野：警惕美国“病毒猎手”把新冠甩锅给中国】http://t.cn/A67SFDKJ要弄明白这次新冠肺炎的源头在哪里也很简单，只要美国在《禁止生物武器公约》核查议定书上面签字，然后对全世界各国的相关实验项目一起进行一次核查，很容易就真相大白了：哪个国家搞了这种研究，自然责任就在那个国家；如果没有哪个国家进行这种研究，那当然就是自然产生的。可惜的是，美国恐怕不会同意吧。
宁波轨道交通,:好消息！继2月22日，东鼓道B1层部分商家恢复营业后，今起B2层也恢复营业啦！疫情期间请遵守餐饮堂食消费公约，开放须知请您收好哦！
山静日长,时隔一年终于明白什么叫接力舞蹈的小老地BerryHunter的秒拍视频
Nisi-Unique,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
考不上西索不改名哼,:请问我这条微博到底怎么就触犯法律违反公约了呢？？？？评论评论不起我重新发了一遍试图评论就被这么说我就发个吃的都发不了？？？？几个意思？想干嘛？？我啥也没干啊成天就自己转转微博和点赞微博都不怎么去评论别人我怎么了呢？？？这地儿还让人活吗？？？？
琴坂坂x,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
淼淼烤红薯,:微博辟谣#不实信息此微博用户编造大量不实信息，依靠没有任何基本事实的捕风捉影，莫须有的构陷，所发布言论完全以哗众取宠博取曝光为目的，侵害了艺人本人的相关权益，影响恶劣，严重违反了《微博社区公约》第四十二条的具体规定，请严肃处理，谢谢辟谣#.
潘仙菇,#人民文娱发文#3月2日，@人民文娱微博发文：“文化，本就可以求同存异；追星，本也可以积极向上。作品、文化、平台，都该是交流的工具，而不该成为战场。我们呼吁理智，珍爱生命，切莫让任何人、任何平台为冲动'埋单'！”#人民文娱发文呼吁理性追星#
啊啊啊啊啊牡呜呜呜丹,:不管外国人这些例子，我感觉有一个原因是，不会说英语
0逍遥子0,:【鹿野：警惕美国“病毒猎手”把新冠甩锅给中国】要弄明白这次新冠肺炎的源头在哪里也很简单，只要美国在《禁止生物武器公约》核查议定书上面签字，然后对全世界各国的相关实验项目一起进行一次核查，很容易就真相大白了：哪个国家搞了这种研究，自然责任（分享自@察网中国）http://t.cn/A67S92NW
小林好想喝奶茶,:#卡森Carson自命不凡[超话]#文明上网公约
美丽公约,:美丽公约为爱发声--战胜疫情创意短视频公益展播活动进行中。视频来自成都市青白江区华严小学张恬8岁因为有你，中国更美！#抗击新型肺炎我们在行动#@微公益美丽公约的微博视频
美丽公约,:美丽公约为爱发声--战胜疫情创意短视频公益展播活动进行中。视频来自成都市新华路小学郑思源9岁因为有你，中国更美！#抗击新型肺炎我们在行动#@微公益美丽公约的微博视频
宁波本地新鲜事,:【小伙#购黄金蟒当宠物被判8个月#缓刑1年动画科普#哪些另类宠物不能养#？】2月28日，浙江宁波，施某因网购黄金蟒当宠物，犯非法收购珍贵、濒危野生动物罪，被判有期徒刑8个月缓刑1年，并处罚金5000元。经鉴定，该黄金蟒属蛇目蟒科缅甸蟒白化种，被列入《濒危野生动植物种国际贸易公约》。据《野生动物保护法》，珍贵、濒危陆生和水生野生动物及其驯养繁殖物种不能作为宠物养。http://t.cn/A67qeET1
美丽公约,:美丽公约为爱发声--战胜疫情创意短视频公益展播活动进行中。视频来自成都市青白江区华严小学郭姝妍10岁因为有你，中国更美！#抗击新型肺炎我们在行动#@微公益美丽公约的微博视频
美丽公约,:美丽公约为爱发声--战胜疫情创意短视频公益展播活动进行中。视频来自成都市青白江区华严小学马瑞峰8岁因为有你，中国更美！#抗击新型肺炎我们在行动#@微公益美丽公约的微博视频
ChocoFlipped,:苹果头➕腮红真的是我最爱的一位公约之一了
銀橋桥乔敲,:这什么破事我c你妈，花了半小时重新下的游戏告诉我安装不了，我c你妈，听见没有，我c你妈！！！！ccc竟然告诉我违规网络公约这条微博发不出去，口吐您一脸芬芳您瞅瞅香不香！
渊涯有玉,:#肖战后援会再发文#怎么还有说不服就举报回去的，你有病吧，举报是拿来让你揭发违反公约条例现象的，不是拿来给你党同伐异的
1意居1,:国际驾照认证件，是依据《联合国道路交通公约》并严格按照国际标准将中国驾照翻译成9国语言的标准驾照翻译文件，在境外的认可度比英文公证件和车行翻译件更高，可在近180个国家使用。俗称：临时国际驾驶证，有效期一年。这本过期了，以后有出国再办一本。很土啊，这辈子没出过国。
香蕉味的Icecream,:WIPO网慢的我心脏病都要犯了，需要下这么多公约的我真的要等到地老天荒吗？
香港紫荆网,:香港特区政府律政司3月2日发表关于《联合国国际货物销售合同公约》建议适用于香港特别行政区的谘询文件，邀请社会各界人士在2020年9月30日或之前就有关建议提交意见。http://t.cn/A67asrN0
浦东环境,:【人类的邻居1|濒危动植物：我想见那自由的山野和深邃的海洋】明天就是“世界野生动植物日”。自然界有山、有水、有花、有草，还有各种活泼可爱的动物。野生动植物天然生长，却有不少濒临灭绝。《濒危野生动植物种国际贸易公约》，于1973年6月21日在美国首府华盛顿所签署，所以也称为华盛顿公约。其精神在于管制而非完全禁止野生物的国际贸易，其用物种分级与许可证的方式，以达成野生物市场的永续利用性。该公约管制国际贸易的物种，可归类成三项附录：附录一的物种为若再进行国际贸易会导致灭绝的动植物，明白规定禁止其国际性的交易；附录二的物种则为目前无灭绝危机，管制其国际贸易的物种，若仍面临贸易压力，族群量继续降低，则将其升级入附录一。附录三是各国视其国内需要，区域性管制国际贸易的物种。
