杨杨不是轴二呆,:瓜吃晚了。读过书的都知道，打小报告的人最恶心。
MFICNCD,:我去，刚刚导师消息通知交开题报告，我一个字没写
毕业论文代笔开题报告代做,:毕业设计毕业论文开题报告代做代笔指导环境科学与工程专业毕业设计毕业论文开题报告代做代笔指导环境工程专业毕业设计毕业论文开题报告代做代笔指导环境科学环境生态工程专业毕业设计毕业论文开题报告代做代笔指导生物医学工程专业毕业设计毕业论文开题报告代做代笔指导专业毕业设计毕业论文开题报告代做代笔指导生物医学工程专业毕业设计毕业论文开题报告代做代笔指导食品科学与工程专业毕业设计毕业论文开题报告代做代笔指导
威海广电,【2020年3月3日0时至12时威海市新型冠状病毒肺炎疫情情况】2020年3月3日0-12时，威海市报告新型冠状病毒肺炎无新增确诊病例。截至3月3日12时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中:环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1743人，已解除医学观察1742人，尚有1人正在接受医学观察。备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。
zzzbwjuju,:喜欢下雪天🌨️喜欢柠檬茶
君遥-,:我来到王老师的酒馆试图洗刷两千字报告提前一周交还新增要求的痛苦你的酒馆对我打了烊
毕业论文代笔开题报告代做,:自动化专业毕业设计毕业论文开题报告代做代笔指导自动化专业毕业设计毕业论文开题报告代做计算机专业毕业设计毕业论文开题报告代做代笔指导计算机科学与技术软件工程专业毕业设计毕业论文开题报告代做代笔指导网络工程专业毕业设计毕业论文开题报告代做代笔指导信息安全专业毕业设计毕业论文开题报告代做单片机毕业设计毕业论文开题报告代做代笔指导物联网工程专业毕业设计毕业论文开题报告代做代笔指导
陇南礼县发布,:【湖北减灾办：#湖北3月极端天气增多##严防极端天气导致疫情回头#】近日，湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形势分析报告》，经过省应急管理厅、省减灾委员会办公室会同省水利厅、省交通厅等部门专事会商，综合判断，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。进入仲春时节，各种病毒和有害细菌也会更加活跃，这对全省业已紧绷的防疫工作和超负荷运转的医疗体系带来挑战。一方面，高温高湿环境有可能加大病毒和细菌的滋生和传播。今年3月，较常年全省气温偏高1～2℃、降水量偏多1～3成，且降水多以阵雨的形式集中出现，气温偏暧、湿气偏重的环境不利于抑制病毒和细菌。另一方面，冷暖不定的气象条件极易诱发各类春季流行疾病。预计3月主要冷空气及降水过程集中在7～8日、14～15日、17～18日、20～22日、25～26日五个阶段，其中，17～18日、25～26日会伴有短时大风，中下旬中可能出现“倒春寒”。在忽冷忽热、大风大雨的天气条件下，人们更易感冒发烧，极易诱发各类春季流行疾病。有关部门提供，湖北省各地特别是武汉及周边地区务必抓细抓实抓早各项防范措施，严防疫情回头和其它春季流行病的发生。一要指导社会公众做好防潮保暖的工作，利用晴好天气加强室内通风，阻断各类流行疾病诱发因素；二要强化消毒隔离工作；三要加大物资储备力度，尤其是消毒消炎物资及预防各类流感等春季易发病药材配给量，早防早治其它流行性疾病；四是做好医护人员的防护，特别是援鄂医护人员着衣调配，防止出现医护人员感染或生病的情况。（人民日报记者范昊天）
TY张清,:☎房源团法拍房司辅服务（楼盘）：潮宗御苑（位置）：（开福区）营盘路与湘江中路交界东南角（学区）：潮宗街小学（教育局公示信息）（产权面积）：1003.44㎡（不动产证登记信息）（起拍价）：1197.33万（法院公开拍卖起定价）（市场评估值）：1870.84万（评估报告信息）（资讯）：拍卖最新动态（2020年3月30日开始）二拍公示挂网状态，无人报名http://t.cn/EhGn2gw
磨碟沙君,没有雷霆举措，破不了新怡家园小区的斯芬克斯之谜，答案今天揭晓：黄某英女儿的前夫！#湖北司法厅厅长等多人被查##黄某英离汉进京事件调查结果#
韩联社中文网微博,:【韩国新冠病毒#病死率#与中国武汉以外...】#新冠疫情#韩国中央防疫对策本部副本部长权埈郁3日在记者会上援引世界卫生组织（WHO）的报告表示，韩国新型冠状病毒（COVID-19）重症病例...http://t.cn/A67NLdZm
长江商报,:【调味品行业5家披露业绩公司4家向好中炬高新2019年净利7.18亿同比增18%】大股东成为实控人的第一年，中炬高新（600872.SH）的业绩稳定增长。中炬高新日前发布的业绩报告显示，2019年公司营收实现46.75亿元，同比增长12.2%；净利润实现7.18亿元，同比增长18.19%；扣非净利润实现6.92亿元，同比增长20.99%。长江商报记者统计发现，截至2月29日，上市的16家调味品公司中，已有5家披露业绩报告，其中4家公司业绩上升，双塔食品（002481.SZ）还迎来净利润翻倍增长。http://t.cn/A67NLEoc
咸味奶绿,:我妈上午给她剪指甲的后果👇🏻心疼死了但是啾啾好像毫无感觉继续上蹿下跳我妈看的也心惊肉跳后来抱了一下午不让她跑哈哈哈但是她的确还有点渗血...现在睡我床上了嗯我上午立马打小报告给我爸了哼!!等着吧!!接受正义的判决吧!!
铜陵住建局,:市住房城乡建设局组织召开老旧小区功能修补专项规划和可行性研究报告及财务评估报告编制专题会http://t.cn/A67NLjb1
毕业论文代笔开题报告代做,:人文教育教育技术学毕业设计毕业论文开题报告代做艺术教育学前教育小学教育特殊教育体育学专业毕业设计毕业论文开题报告代做代笔指导社会体育指导与管理武术与民族传统体育运动人体科学毕业设计毕业论文开题报告代做文学中国语言文学专业毕业设计毕业论文开题报告代做代笔指导汉语言文学汉语国际教育专业毕业设计毕业论文开题报告代做中国少数民族语言文学古典文献学外国语言文学专业毕业设计毕业论文开题报告代做代笔指导
-小甜同学-,:开题报告写到头掉不能写翻译实践我疯了日
台州微博房产,:#台州楼市##房地产#【房企转战VR售楼处拉业绩】报告：过半购房者不改购房计划，房企转战VR售楼处拉业绩保平安。房企转战VR售楼处拉业绩
中国压缩机网,:发布了头条文章：《现阶段空压机行业及下游状况调研报告，了解下》现阶段空压机行业及下游状况调研报告，了解下
毕业论文代笔开题报告代做,:国际经济与贸易毕业设计毕业论文开题报告代做论文开题报告代做贸易经济法学法学专业毕业设计毕业论文开题报告代做代笔指导法学毕业论文开题报告代做政治学专业毕业设计毕业论文开题报告代做代笔指导政治学与行政学国际政治外交学社会学专业毕业设计毕业论文开题报告代做代笔指导社会学社会工作民族学专业毕业设计毕业论文开题报告代做代笔指导民族学马克思主义理论专业毕业设计毕业论文开题报告代做代笔指导
-Minideer,:新玩具到手报告还是值得买的
林夕看世界1,:海外累计确诊破万，超过70个国家有报告病例，韩国确诊人数超湖北之外疫情最严重的广东河南浙江湖南四省之和海外其中病例最新数据：累计达到11058例，我国累计确诊病例80303例，湖北以外包括港澳台为13086例，因此湖北之外的各省市区（包含港澳台）之和与海外各国确诊病例之和已相当。现在韩国确诊病例已经达到5186例，意大利确诊病例2084例，伊朗1502例。其中韩国确诊人数占了中国之外的一半左右，大大超过湖北之外四个最严重的省广东河南浙江湖南的总和。而韩国的人口比浙江省少600万左右，可见疫情之严重。由于昨天与前天浙江省二天新增病例八例，全部是意大利输入，因此，防境外输入刻不容缓。
达州生态环境,【生态环境部发布首个国家生态环境基准】日前，生态环境部发布我国首个生态环境基准——《淡水水生生物水质基准—镉》（2020年版）（公告2020年11号）及其技术报告。生态环境部发布《淡水水生生物水质基准—镉》及其技术报告
是元无a,:今天也懒得弄了，好烦。综述四千字，估计要五千，又差了点没弄。就是很烦。没动力也没定力，一边看剧一边写。报告也没写，翻译也懒得看。该学的也懒得学。
瀚海凌萧,:广东新增报告确诊病例21例_第A04版：重点_2020-01-25_南方日报数字报_南方网广东新增报告确诊病例21例
青岛新闻网房产,:#今日说房#【全国房价如何?报告:29城房价上涨，三亚涨价最猛】2月全国房价如何?3月2日，58同城、安居客发布的《2月国民安居指数报告》，报告显示，2020年2月全国67个主要城市在线新房均价16624元/㎡，环比上涨0.17%，其中29城房价上涨。全国房价如何？报告：29城房价上涨，三亚涨最猛
人人爱开封,:【开封清零！】截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。（开封市卫生健康委员会）
大公報-大公網,:【港铁红磡出轨调查报告：动态轨距扩阔至超出关键水平所致】港铁今日（3日）公布东铁线红磡站去年9月17日红磡站列车出轨事故调查报告。报告指出事故是由于一道岔的动态轨距扩阔至超出关键水平，导致列车的车轮撞到护轮轨而出轨。报告指出，事发前大约一个半月，东铁线轨道维修人员，将两条损耗的木材轨枕更换为合成轨枕，由于新换的合成轨枕与邻近轨枕刚度不同；加上现场是一个急弯，令列车驶过时产生的横向力集中在新换轨枕的支撑组件上，加速组件损耗，令三粒固定轨枕的螺丝钉断裂，两条路轨距离增加，即动态轨距扩阔至超出关键水平，列车的车轮撞到护轮轨后，列车出轨。港铁调查委员会按本地及海外专家意见，提出改善措施，包括优先更换东铁线的2600多条木材轨枕。#香港##香港局势#http://t.cn/A67NL4kw
后门冲值分钟K,:值得一提的是；目前尚未收到故障引发的相关事故报告……Jetta，召回将于明年年初启动，大众表示。
股迷严为民,:我明天把智慧城市近期的一些资料再整理一下，以前也给大家送过智慧城市的研报。这次我把智慧城市这里面受益的，逻辑研究报告送给大家，做好准备，明天请早！（文章里的语音一定要听！）第1020期（晚）：关注推动行情的“核动力”！
福晋东宁TVs,:《重磅！中国-世卫联合报告发布！信息量巨大》刚刚，《中国-世界卫生组织新型冠状病毒肺炎联合考察报告》发布。http://t.cn/A67NLyCO1.聚集性人群聚餐不分食，比家庭更值得注意。2.期待追根溯源出准确性结果。3.期待专家研发防、治新冠病毒疾病的卓有成效的药物。
平安驻马店,:【驻马店卫健委公布3月3日驻马店市新冠肺炎疫情情况新增0例，现存0例】2020年3月2日0:00-24:00，我市无新增确诊病例。截至2020年3月2日24:00，累计治愈出院139例。累计报告确诊病例139例。目前累计追踪到密切接触者4336人，已解除医学观察4326人，尚在医学观察10人。2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。
脆丸荐酒·,:一个问题:你们跟我互关是为了给和我有beef的人打小报告吗？不是扣1，是的扣β
DavidLeekim,大霄老师@李大霄，下午我就把质量最好的焊芯和钢材给您送去。友情提醒，一定记得“冲击突破”3千点以后再焊，别把自己焊在里面。
旬邑法院,【#31省区市新增125例新冠肺炎#，#31省区市累计报告80151例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
个股资讯,:普益财富PUYI普益标准：2020年江苏省地方政府与城投平台专题分析报告，点击链接查看更多->http://t.cn/A67NLPpN
yellowpororo,“写这样的同人影响哥哥的前途。”真的吗?什么东西会影响艺人的前途？我是游戏行业市场营销的从业者，是接触艺人合作最多的部门之一，今天从厂商品牌方的角度，给大家科普一下甲方是怎么选择代言人的好不好，也说说什么衡量标准会影响厂商判断是否选择艺人。品牌方，选择艺人的标准有很多，最重要的三条：1、艺人火吗？他现在火不火，有多少粉丝，有什么话题。他的粉丝多不多，购买力怎么样，粉丝群体是不是我产品的潜在用户？对品牌代言的合作态度怎么样，愿不愿意帮我的产品做宣传，会不会和我的品牌玩在一起，会不会来买我的产品。对，最重要的是购买力。2、艺人贵吗，这个主要影响厂商的预算，比如我总共有两百万的费用，那么我会请报价100万的艺人，其他的钱用来宣传。再比如，我有一亿，那我就可以请罗志祥，再请一个吴青峰，再请一堆红人跟我合作，没错我说的是【剑与远征】哈哈哈哈PS：肖战的一年期游戏代言费用是一千万，这个数字随便问一个公关公司都能得出来，并非我张口就来。3、艺人的人设标签。厂商一般会邀请符合自己品牌最想表达理念，风格。比如说牛奶请陈道明代言，是因为陈道明大佬的气质会让普通的用户联想到高品质好东西，品牌请张钧甯代言，是因为这位艺人坚持运动的生活态度。小七有很多游戏代言，因为小七身上有一种一种“二次元”少女的标签。那么，风格化明显，正向的艺人，就更容易得到商业的青睐。OK，那么那篇【下坠】本身带来了什么影响？我可以很明确告诉大家，这一篇文在厂商眼里，只是一个数字，一个代表肖战人气的数字。如果你结合了厂商信息产出代言，粉丝产粮，那么很好，厂商更高兴了。但是，事情发展到了今天，带来了什么影响呢？以我最熟悉的【新笑傲江湖】手游来举例子。【新笑傲江湖】是完美的19年度拳头产品，未来也会长线运营。肖战代言给产品带来了红利，完美的股价在19年下半年飙升。那么现在呢？产品在苹果商店被打一星，据说工作室多次找到品牌的同事，闹到这一步，现在手游被抵制，taptap等厂商看重的平台评分一路底星，二次元KOL纷纷抵制，路人用户呢？商店评分呢？口碑呢？那些还没执行的商业推广计划呢？肖战签的代言不是一波流，接下来的合作怎么办？完美是一个熟练使用代言人这种营销手段的游戏商场，公司成立15年了，王俊凯，郑爽都是该厂商的合作对象，大家随便搜，都能搜到他们的海报。那么肖战，就是第一次出现这种口碑滑坡对产品带来大面积负面影响的艺人。那么其他的企业呢？站在风口浪尖的OLAY，牛奶品牌呢？所以，粉丝们看懂了吗？一篇文，不会影响你哥的前途。胡搅蛮缠的粉丝，动不动就扫射厂商的粉丝，【让企业损失口碑，商业价值，商品销量，大众对产品的印象】才会影响你哥的前途。有什么品牌方，敢用有一群这种粉丝的明星？我今天看到一句话。“全世界要按照我的心意来生存”这就是这个粉丝群体最开始的错误。是的，没有错。这个世界的法则从来就不是【我不喜欢就举报你，让公权力来搞你】有空多读书，有空多看看世界，了解了解，互联网，文学，音乐，金融，书籍，世界很大，你我都很小。
车厘子爆炸,:戒可乐写报告画草图
那些细枝末节的小温暖513,:#周杰伦[超话]#训导处报告训导处报告三年二班纠结伦马上到我碗里来🎃
安徽交通广播,:【六安清零！安徽省治愈率已达到95.1%】今天上午，六安市6名新冠肺炎确诊患者出院。至此，六安市69例确诊患者全部治愈出院。这是继铜陵后，安徽省第二个实现新冠肺炎住院患者“清零”目标的城市。截至今天，我省已连续多日无新增确诊病例报告，累计治愈出院病人941人，治愈率达到95.1%。目前，滁州、亳州、芜湖、池州、安庆、黄山6市均仅剩1例住院病例。（交通908记者戴红莲）
王小妮投资,:【种植生产】NotíciasAgrícolas：巴西马托格罗索州农户报告称，今年害虫较多，甚至在大豆收割时很容易看到。专家称，此种害虫以大豆为掩护、侵害新种植的玉米作物，使其产量下降50%。
时间视频,:【#耐克欧洲总部因员工确诊闭店#美国总部上周末已关店清洁】3月3日，澎湃新闻援引路透社消息称，因一员工确认感染新冠肺炎，耐克荷兰总部紧急关闭至本周三。耐克已确认该消息。自2月27日，荷兰已报告18例新冠肺炎确诊病例。除欧洲总部，美国耐克全球总部也在上周末暂关店门深度清洁。@时间财经http://t.cn/A67NzWMa
澳门驻京办,:【抗疫报告】澳门连续27天无新增确诊病例，留院2例均属轻症。详情请戳→【抗疫报告】澳门连续27天无新增确诊病例留院2例均属轻症
视角志,:【济宁市3月3日0时至12时新冠肺炎疫情情况】3月3日0—12时，济宁市无新增新冠肺炎确诊病例，无新增疑似病例，新增治愈出院2例。截至3月3日12时，济宁市累计报告确诊病例260例，其中治愈出院83例，无重症、危重症病例；现无疑似病例。济宁市260例确诊病例中，按病例确诊时医院所在县市区统计：任城235例，兖州6例，曲阜13例，邹城1例，微山1例，金乡1例，嘉祥1例，汶上2例。
中国公益慈善项目交流展示会,:2月29日，世卫组织公布中国考察报告，其中，深圳疫情防控被作为唯一一个城市个案进行了分析。具体调研了哪些内容呢？点击查看→世卫组织公布中国考察报告，深圳疫情防控被作为唯一城市个案
Trustdata大数据,:【2019年中国移动互联网行业分析报告】来啦！点击链接查看完整版报告2019年中国移动互联网行业发展分析报告。2019年，中国移动互联网“两超三强”格局逐渐生成，“ATBMB”成为移动互联网实力新代号；5G及供给侧改革将带给移动互联网生态更多机会。
运城政法,:【#31省区市新增125例新冠肺炎#，#31省区市累计报告80151例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
中山工会,:#新闻聚焦#【连接中山广州，总投资194亿！南中高速拟今年动工】据悉，南沙至中山高速公路（以下简称“南中高速”）环评报告已被广东省环保厅正式受理。南中高速位于广州市南沙区南部和中山市西部，途径我市包括港口、民众2个镇区；主线和支线共设置9个互通，其中有5个互通在中山境内。5个互通分别为保家枢纽互通、三丰互通、民众互通、岐江新城互通和新隆枢纽互通。http://t.cn/A67N2WqQ
新华国际,:【全球疫情扫描｜世卫组织关注#韩意伊日四国疫情#】世界卫生组织总干事谭德塞2日说，目前韩国、意大利、伊朗和日本的新冠肺炎疫情已成为该组织非常关注的问题。中国境外报告的确诊病例中，约八成来自这4个国家。全球疫情扫描｜中国境外新增确诊1598例世卫最担忧韩意伊日新华国际的微博视频
亦可也凑合,:#德国新型冠状病毒#德国病毒专家强调病毒死亡率较低亦可也凑合的微博视频
937江苏新闻广播,:【#南京发生3.0级地震#未发现人员伤亡及财产损坏】今天中午，南京市鼓楼区发生3.0级地震，震源深度10公里。南京市地震局迅速启动震情速报系统，对全市的人员伤亡及财产损失情况统计汇总：地震发生后，鼓楼、栖霞、玄武区普遍有震感，目前，没有收到人员伤亡及财产损失的报告。南京市地震局现场工作队及时赶赴震中区域现场，经实地考察未发现人员伤亡及财产损坏情况，现场市民生活、社会生产工作正常有序。经与江苏省地震局专家现场会商结果表明，目前南京发生破坏性地震的可能性较小。（江苏新闻广播记者周洋）
遵义交警支队,:【#疫情通报#2020年3月3日0—12时贵州省无新增确诊病例，现有疑似病例1例，尚在接受医学观察20人】2020年3月3日0—12时，全省新型冠状病毒肺炎无新增确诊病例。截至3月3日12时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。（来源：贵州省卫生健康委员会官方网站）
微时区,:【湖北减灾办：#湖北3月极端天气增多##严防极端天气导致疫情回头#】近日，湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形式分析报告》，经过省应急管理厅、省减灾委员会办公室会同省水利厅、省交通厅等部门专事会商，综合判断，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。进入仲春时节，各种病毒和有害细菌也会更加活跃，这对全省业已紧绷的防疫工作和超负荷运转的医疗体系带来挑战。一方面，高温高湿环境有可能加大病毒和细菌的滋生和传播。今年3月，较常年全省气温偏高1～2℃、降水量偏多1～3成，且降水多以阵雨的形式集中出现，气温偏暧、湿气偏重的环境不利于抑制病毒和细菌。另一方面，冷暖不定的气象条件极易诱发各类春季流行疾病。预计3月主要冷空气及降水过程集中在7～8日、14～15日、17～18日、20～22日、25～26日五个阶段，其中，17～18日、25～26日会伴有短时大风，中下旬中可能出现“倒春寒”。在忽冷忽热、大风大雨的天气条件下，人们更易感冒发烧，极易诱发各类春季流行疾病。有关部门提供，湖北省各地特别是武汉及周边地区务必抓细抓实抓早各项防范措施，严防疫情回头和其它春季流行病的发生。一要指导社会公众做好防潮保暖的工作，利用晴好天气加强室内通风，阻断各类流行疾病诱发因素；二要强化消毒隔离工作；三要加大物资储备力度，尤其是消毒消炎物资及预防各类流感等春季易发病药材配给量，早防早治其它流行性疾病；四是做好医护人员的防护，特别是援鄂医护人员着衣调配，防止出现医护人员感染或生病的情况。
是肥潼,:被开题报告折磨的腰疼
蹲街看MM呀,:推荐疫情下，城市房价会怎样变化？|罗胖精选《年度得到·香帅中国财富报告25讲》万元美金社会带来的所有变化，包括阳光溢价、学区溢价和便利溢价，都不会改变。分享自@得到http://t.cn/A67oTKra
香港紫荆卫视,:【武汉各区确诊病例数公布】#紫荆快讯#2020年3月2日0-24时，武汉市新增确诊病例111例，新增出院病例1846例，新增死亡病例24例，新增疑似病例62例。截至3月2日24时，武汉市累计报告确诊病例49426例。其中：江岸区：4332例江汉区：7322例硚口区：7264例汉阳区：3588例武昌区：8272例青山区：2980例洪山区：5079例东西湖区：2601例蔡甸区：1983例江夏区：1682例黄陂区：1778例新洲区：1021例武汉开发区（汉南）：1524例累计治愈出院23031人，累计死亡2251人。武汉市现有确诊病例24144人（危重997人，重症5023人），现有疑似病例316例。3月1日18时-3月2日18时，武汉市发热门诊接诊2213人次，较前日减少492人次，其中首诊1258人。3月2日当日，武汉市核酸检测21202人。（武汉市卫健委）
仰望天空的脖子,:武汉无证行医治好新冠肺炎被查处一事让人深思，整个处理报告只是说明了李跃华没有医师资格，却闭口不提治疗效果问题。尽管这种查处过程没有任何程序上的问题，但这种只看资格不看疗效的常规程序，在这个重大疫病面前，总是显得有点不合乎人情味道上的欠缺，毕竟现在救人是第一位的，既然有效果，何必回避!总比双黄连的疗效更容易确认吧!如果是没有效果，那大家也就都知道这是个骗局，如果真的有效果，治疗一个新冠肺炎的成本也就200元左右，或许比全国调集医生支援湖北抗疫的费用要小的多!何乐而不为!
张淑敏的微博,:我们的邻国—韩国，今天新增病例374例，确诊病例5186例，我国数字病例逐渐减少，周边国家疫情又开始，现67个国家报告有新冠肺炎…北京
林里有三只蜜蜂,:感谢舍友每日一催昨天搞定开题报告今天开始写论文
小说选刊杂志社,:发布了头条文章：抗击疫情公益阅读|作家张国云分享报告文学作品《白衣天使在作战》抗击疫情公益阅读|作家张国云分享报告文学作品《白衣天使在作战》
