盘龙MoreLife,:#盘龙君和你一起战疫##疫情最新情况#【连续13天无新增！截至3月4日24时，云南累计治愈出院169例，现有确诊病例3例】3月4日12时至24时，无新增确诊病例。截至3月4日24时，已连续13天新增病例为0，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例5例。密切接触者当日解除医学观察39人，正在观察60人。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南发布）@昆明盘龙发布
恋尚风景,:寺登街位于大理州剑川县南部的沙溪镇，是茶马古道要冲，可以说是茶马古道上唯一幸存的集市了。茶马古道指的是存在于我国西南和西北地区，以马帮为主要交通工具的民间国际商贸通道，是我国西南民族经济和文化交流的走廊。茶马古道可以说是一个非常特殊的地域称谓，同时也是一条世界上自然风光最为壮观，文化最为神秘的旅游精品线路，它蕴藏着开发不尽的文化遗产。
单反LOVE上摄影,:寺登街位于大理州剑川县南部的沙溪镇，是茶马古道要冲，可以说是茶马古道上唯一幸存的集市了。茶马古道指的是存在于我国西南和西北地区，以马帮为主要交通工具的民间国际商贸通道，是我国西南民族经济和文化交流的走廊。茶马古道可以说是一个非常特殊的地域称谓，同时也是一条世界上自然风光最为壮观，文化最为神秘的旅游精品线路，它蕴藏着开发不尽的文化遗产。http://t.cn/z8bir1c
哲法社实,:【哲法】@团在上师大@上师大社会实践中心社会实践回顾――寒假调研🔍通过访谈检察官我们了解到，在检察院人财物归省统管以后，检察官的工资并没有得到保障，当初大家都争先恐后的想要入额，入额后确发现压力重大、责任重大，工作压力与权限不匹配，许多检察官都苦不堪言。然而在大理州这些经济落后的少数民族地区即便工作压力巨大，法官检察官也不敢轻易辞职，辞职就会造成失业的状况，生活都难以得到保障，检察官队伍进出都比较困难。💪改革的目的是为了减少地方的影响，增强办案的独立性，并且提高工作效率，捕诉合一就是一个较好的例子，可以更好的查清犯罪事实，增加结案率。✨
大理日报,:【大理书院建设项目进展顺利】由省发改委和大理州人民政府、大理省级旅游度假区合作建设的大理古城文化基础设施提升改造项目——大理书院项目，于2月20日顺利复工，这是受新冠肺炎疫情影响后大理省级旅游度假区第一个复工的项目。大理书院项目位于大理古城西南侧，是一个集展览、会议、研学、会晤、收藏为一体的综合性公共文化建设项目。项目占地12.26亩，建筑面积14125平方米，其中地上建筑面积5184平方米，地下建筑面积8941平方米，项目总投资约2.03亿元，截至2020年春节前，已完成南院全部基坑支护工程和北院基坑支护工程的90%。新型冠状肺炎疫情发生后，项目被迫暂缓建设。大理书院项目建成后，将成为一个集“研究、展示、传承和发展”为一体的综合性文化场所，为地方文化事业和文化产业大繁荣大发展做出积极的贡献。（记者辛向东文/图）
大理市科普,:#科协[超话]##志愿服务#2020年3月4日，大理市玉洱社区组织科普志愿者对辖区内复工的外卖商铺开展新冠肺炎防范知识宣传活动。活动主要宣传了新冠肺炎的症状、传播途径及个人防护措施等。活动的开展倡导营业商铺科学防控，尽量避免人群聚集。@科普中国@美丽云南微科普@大理科普@大理州科学素质行动@网络科普@科普微故事@禁卫军jwj@大理市科素@大理LILI@科普心灵@俊杰归来21
大理电视台,:【高速路货车事故频发，大保交警有话要说】近期，大理州阵雨天气增多，受疫情影响货物需求量增大，部分驾驶人未能严格遵守交通法规安全行车，是致使高速路上货车交通事故多发的主要原因。从近期大保高速路辖区车辆通行情况来看，通行的货车比例明显高于小型客车。伴随着近期防疫工作要求，高速路上车辆免费通行的政策，很多货车驾驶人有“多拉快跑”心态，导致超载、超速、疲劳驾驶等危险的驾驶方式，极易诱发交通事故。而大保高速路的多数路段邻山靠崖，坡陡弯急且长、桥梁隧道多，一旦车辆冲出有效路面，轻则货物车辆损失惨重、重则车毁人亡。在此，大保交警提示货车驾驶人：1、安全文明驾驶。复工复产不等于疫情结束、高速路免费通行不等于没有危险，货车驾驶人在道路运输过程中应当始终绷紧安全驾驶在弦，做到文明驾驶。2、自觉守法驾车。驾驶人在驾车运输货物时应当守法驾驶，不为了节约运输成本而疲劳、超速驾驶，不将机动车交给准驾不符、无证的人员驾驶，避免因此而发生交通事故。3、勤查车况。货车驾驶在上路前及途中的服务区、加水点等安全地带勤于检查车辆的刹车淋水、车辆制动系统、转向系统以及货物捆绑固定情况，避免行驶途中造成意外。4、关注天气变化，提前做准备。近期大理州气候变化频繁，在途经大保高速路前应当做好路面因为天气变化而产生影响做准备；在途经长下坡、隧道等危险路段时应当减速慢行，注意观察标志和民警提示。大保高速路交警大队一直在各个交通节点、危险路段开展宣传警示提示，在下一步工作中，将加大路面巡逻力度，加强对货车的警示提示力度；将在各收费站、服务器、执法站等地加强对货车违法行为的查处力度，严厉打击危害高速路通行安全的违法行为。大理州公安局交警支队大保高速路大队2020年3月4日
手机用户1082755575,:好消息！大理州第三例新冠肺炎患者出院http://t.cn/A6hLm3hp
大理交警,:#治庸·战“疫”#【大理州公安局交警支队积极开展“捐献热血共抗疫情”活动】2月27日上午，大理州公安局交警支队积极响应州委、州政府关于“公务员献血月”的号召，组织广大党员民警职工、辅警开展“捐献热血，共抗疫情”活动。当天共有46名志愿者参与到无偿献血活动中。献血现场，有老党员干部，也有年轻民警，很多同志刚刚从执勤点轮值下岗就赶到献血点，一份份血浆汇聚成驰援疫区的生命之泉，承载着大理交警的牵挂和祝福送往武汉。@云岭政法@大理政法@公安部交通管理局@中国警察网@共青团中央@中国之声@云南省南涧县交警大队@人民公安报@中国交通频道@大理公安在线@云南交通警察
大理政法,:【温暖的春天温暖的服务】2020年02月27日，大理州永平县博南派出所民警了解到辖区19岁女孩、12岁男孩因身体行动不便一直未到派出所办理身份证。这不，第二天，博南派出所民警随即上门服务，采集人像为他们办理了身份证。孩子的父母对民警入户办理居民身份证解决了他们的实际困难，对博南派出所表达了感谢。@云南政法@永平政法http://t.cn/A67WPr0f
大理交警,:#治庸·战“疫”#【|大理州2月份吊销机动车驾驶证信息“大曝光”】2020年2月，云南大理州共有10人因醉酒驾驶机动车和2人因驾驶报废机动车的交通违法、犯罪行为被公安交管部门吊销机动车驾驶证，现将这些被吊销机动车驾驶证的有关信息进行曝光，希望广大驾驶人、交通参与者引以为戒，吸取教训，牢记交通安全法律法规，文明守法上路行驶。
新浪内蒙古资讯,:#趁青春去旅行#云南大理州鹤庆县的黄龙潭，秋天轻舞于水面的金黄柳树，定格出了最美的金秋画面。via.@旅行攻略君
玉蕊红梅,:#萌芽爱心为生命助爱#
科普永平,:［实时辟谣］这些“谣言”！千万别信！@手机浏览器http://t.cn/A67N2NfL科普中国@大理州科学素质行动@永平科素@美丽云南微科普@大理科普
科普永平,:来自【mp.weixin.qq.com】的分享http://t.cn/A67N24rj大理州科学素质行动@科普中国@永平科素@美丽云南微科普@大理科普
科普永平,:［抗疫防控科普］出门后回家，身上哪里最需要清洁消毒？@手机浏览器http://t.cn/A67N2PCb大理州科学素质行动@科普中国@永平科素@美丽云南微科普@大理科普
健康大理,:¡¾大理州人民医院:疫情防控救治和医疗服务工作“两手抓”¡¿2020年，新年伊始，新型冠状病毒感染肺炎的疫情席卷全国，大理州医院按照省州党委政府、州应对疫情工作领导小组指挥部的决策部署，全力投入到疫情防控和新型冠状病毒感染肺炎患者救治工作中。在抗...大理州人民医院:疫情防控救治和医疗服务工作“两手抓”
健康大理,:¡¾哪有什么天使和英雄，不过是一个个有爱的平凡人！¡¿我叫陈晓棠，大理州中医医院的一名护士，也是大理州第一批、云南省第六批支援湖北医疗队队员。2020年的春节和往年全然不一样，一场突如其来的疫情使得原本该有的热闹欢乐荡然无存。接到通知，正在休...哪有什么天使和英雄，不过是一个个有爱的平凡人！
大理环保,:【大理州推动绿色发展丨宾川县抓实绿色农业发展助力产业振兴】近年来，宾川县坚持以“绿色”作为乡村产业振兴的“底色”，通过“五项”科技措施的推广，推动宜业果乡提速发展。推进农业废弃物资源化利用。宾川县大力推广农作物秸秆腐熟还田、畜禽粪便无害化处理两项措施，年产各类农作废弃物22.4万吨、畜禽粪便55.4万吨得到了广泛的资源化利用，农作物秸秆综合利用率从三年前的40%提升到现在的86.2%，畜禽粪污无害化还田处理率达70%，每年有十万亩以上农田土壤有机质得到有效补充。大力增施微生物菌剂。年采购微生物菌剂260余吨，无偿供应群众使用，每年10万亩的农田土壤得到了有益微生物的补充。通过“以菌治菌”，不仅杀灭了土壤中的根系虫、重茬、根腐等有害病菌，还有效减少农作物病害发生，增强土壤“活性”。推广长效经济作物间套种。在试验示范的基础上，在葡萄田套种蔬菜、柑橘田套种红薯，吸收过剩的化肥残留，达到“净化”土壤的目的。据统计，全县年推广种植面积达15万亩，农民从中增加收入达五亿元以上。推广果木降密种植技术。成功试验葡萄标准化种植技术，推广降低种植密度的“单幅连棚降密提质促早熟技术”面积达2.9万亩，新植柑橘、石榴等经济果木，推行稀植种植技术，减轻土壤承载负担，给予土壤“修复”的时间和空间。推广“精准”施肥措施。每年采集近千个土壤样品进行化验检测分析，针对不同作物和区域提出配方施肥方案，按照“水肥一体化”的措施要求，年推广测土配方施肥面积30万亩、高效节水滴灌面积达28.5万亩，实现了“精准”施肥。来源：文：大理日报、图：宾川发布
新浪云南,:#抗击新冠肺炎云南在行动#【云南129个县市区均为低风险！截至3月3日12时，#云南全省确诊病例仅剩3例#】3月3日0时至12时，无新增确诊病例。新增治愈出院病例1例（保山市）。截至3月3日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例），昭通市25例（治愈出院25例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院13例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院13例），保山市9例（治愈出院9例），红河州9例（治愈出院9例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区均为低风险。（云南省卫生健康委员会）
中国妇女,:#战疫情我当“家”#【战疫一线的“天使白”和“警察蓝”夫妻】“疫情就是警情，就是命令”。马晓娇的丈夫李启宏是昆明铁路公安处大理站派出所的一名党员民警。一个家庭，两种职业，一个“天使白”，一个“警察蓝”。作为一名铁路公安民警，阖家团圆的春节是他们最繁忙的“春运”，参加工作10年来，李启宏从来没有在家过过春节。1月22日，正是疫情防控和春运安保最忙的时候，马晓娇生病了，需要做一个妇科手术，着急的丈夫特意请了两天假回家照顾她。可这份陪伴却是那么短暂，刚回到家的当天晚上，丈夫李启宏就接到了上级疫情防控指令，在简单安慰完马晓娇，哄睡了孩子后，他连夜赶回了派出所，奔赴战疫一线。疫情防控期间，丈夫李启宏坚守在大理火车站，全力协助医护人员对日均3500人次的进出站旅客进行体温检测、行程登记，开展铁路治安巡查防控等工作。@大理州妇联
西安商网,:#商网播新闻#【云南洱源突发森林火灾明火已扑灭过火面积32公顷】据大理州防火办公室消息，3月2日上午，云南洱源县茈碧湖镇巡检村附近突发森林火灾。火情发生后，当地政府立即组织森林消防官兵、人民武装部、民兵预备役及当地村民干部等，迅速前往现场扑救。此次森林火灾共投入兵力390人和M-26直升机1架，直升机共洒水6桶48吨。目前，明火已全部扑灭，扑火人员就地转入火场清理、清守工作。据初步测算，此次森林火灾过火面积约32公顷，起火原因正在调查。（央视新闻）
比苏怪才,:#聚焦大理#据大理州防火办公室消息，3月2日上午，云南洱源县茈碧湖镇巡检村附近突发森林火灾。火情发生后，当地政府立即组织森林消防官兵、人民武装部、民兵预备役及当地村民干部等，迅速前往现场扑救。此次森林火灾共投入兵力390人和M-26直升机1架，直升机共洒水6桶48吨。目前，明火已全部扑灭，扑火人员就地转入火场清理、清守工作。据初步测算，此次森林火灾过火面积约32公顷，起火原因正在调查。(总台央视记者李常明)http://t.cn/A67C7kEV
大理日报,:【战疫不误农时大理州春耕备耕忙】
曲靖政法,【#云南10天无新增#！大理州、红河州最后1名治愈者出院，两州清零】2020年2月29日，云南大理州人民医院最后1名确诊新冠患者治愈出院，家人送锦旗致谢全体医护人员。3月1日，红河州第一人民医院最后1名新冠患者也治愈出院。至此，大理州确诊的13例和红河州确诊的9例患者全部治愈出院。#云南两州确诊病例清零#http://t.cn/A67a72OD
大理南门,:#大理抗疫在行动#【云南连续10天无新增病例大理红河两州实现“清零”】2月29日，云南大理州人民医院最后1名确诊新冠患者治愈出院，家人送锦旗致谢全体医护人员。3月1日，红河州第一人民医院最后1名新冠患者也治愈出院。至此，大理州确诊的13例和红河州确诊的9例患者全部治愈出院。http://t.cn/A67a72OD
云南广播电视台,:【大理州祥云县象鼻乡双语大喇叭，警务宣传到农家】“严禁任何单位和个人非法种植罂粟、大麻等毒品原植物……一切网络刷单都是诈骗，一切网络免押贷款都是诈骗……”近期，大理州祥云县祥城镇象鼻村的农村“大喇叭”又响了起来，汉语版的内容念完，接着开始傈僳族语的宣传，一直响彻象鼻乡的大街小巷、乡间田野里。2月下旬开始，祥云县公安局象鼻派出所组织策划了“警务大喇叭”防诈、禁毒宣传活动。派出所所长左旺说：“有的村民视力不好看不清宣传资料上的字，很多上了年纪的人都不用智能手机，考虑到村民及时获悉消息的渠道受限，我们有了联合当地白龙潭村组长，用汉语、傈僳族语一起让‘大喇叭’响起来助力警务宣传的想法。”象鼻属于山区，地处祥城镇西北边，距镇政府所在地15公里，山清水秀，是祥城镇的水源林保护区。但由于地广人稀，山路崎岖，派出所常用的宣传单因为地域、人员受限等原因，根本无法覆盖到所有老百姓，只好靠不受阻隔的声音传播来使群众对电信诈骗犯罪、禁种铲毒知识、聚众赌博等违法行为加深了解。活动开展以来，象鼻派出所所长、指导员、户籍民警轮番上阵充当“播音员”，让“土办法”发挥新作用，利用大喇叭宣传公安防范知识，让打击违法犯罪的氛围深入到各家各户。“双语大喇叭”行动正持续开展，力求让公安宣传发动全覆盖、无死角，将法制常识和防范知识送进农家院，真正成为平安祥云建设的生力军、民族团结进步的稳定器、警民沟通联系的新纽带。（云南省公安厅）@云南警方
大理中医徐凤新,:通知接文件通知，大理州个体诊所明日起全面恢复。但因歇业过长，需要开展卫生清理、消毒和药品储备等工作，是以本诊所决定于2020年3月4日正式复诊。同时敬请就诊者周知：1、认真阅读和领会文件精神；2、就诊时请自觉配戴口罩；凡发热、咳嗽患者请直接到定点医疗机构就诊；3、已存电话号码或添加微信的患者，就诊前请预约联系；4、慢性病老患者近期尽量通过网诊，快递发药的方式就诊；5、鉴于歇业过长，从3月4日起，每周增加一天门诊，上班时间调整为每周一、二、三、五、六（9：00一16：00）。大理仁瑞堂2020年3月2日http://t.cn/RxnDutB
大理电视台,:图解新闻：战疫不误农时大理州春耕备耕忙（来源：中共大理州委宣传部）
科普永平,:来自【mp.weixin.qq.com】的分享http://t.cn/A67oc7Hm大理科普@大理州科学素质行动@科普中国@永平科素@美丽云南微科普@大理科普
科普永平,:来自【mp.weixin.qq.com】的分享http://t.cn/A67ot4N3美丽云南微科普@大理科普@大理州科学素质行动@永平科素@科普中国
怒江新鲜事,:【#云南10天无新增#！大理州、红河州最后1名治愈者出院，两州清零】2020年2月29日，云南大理州人民医院最后1名确诊新冠患者治愈出院，家人送锦旗致谢全体医护人员。3月1日，红河州第一人民医院最后1名新冠患者也治愈出院。至此，大理州确诊的13例和红河州确诊的9例患者全部治愈出院。#最新疫情地图#@一手Videohttp://t.cn/A67a72OD
旅行攻略君,:云南大理州鹤庆县的黄龙潭，秋天轻舞于水面的金黄柳树，定格出了最美的金秋画面。
云南的新鲜事,:【#云南10天无新增#！大理州、红河州最后1名治愈者出院，两州清零】2020年2月29日，云南大理州人民医院最后1名确诊新冠患者治愈出院，家人送锦旗致谢全体医护人员。3月1日，红河州第一人民医院最后1名新冠患者也治愈出院。至此，大理州确诊的13例和红河州确诊的9例患者全部治愈出院。#云南两州确诊病例清零#@一手Video@新浪云南http://t.cn/A67a72OD
健康大理,:¡¾抗肺炎疫情，树疾控精神——大理州疾病预防控制中心主管检验技师陈冉抗击新冠肺炎疫情记事¡¿自2019年12月以来，湖北省武汉市陆续发现新型冠状病毒感染的肺炎病例。大理州政府高度重视，召开多次会议安排部署疫情的防控工作。大理州疾病预防控制中心...抗肺炎疫情，树疾控精神——大理州疾病预防控制中心主管检验技师陈冉抗击新冠肺炎疫情记事
普洱政法,【#云南10天无新增#！大理州、红河州最后1名治愈者出院，两州清零】2020年2月29日，云南大理州人民医院最后1名确诊新冠患者治愈出院，家人送锦旗致谢全体医护人员。3月1日，红河州第一人民医院最后1名新冠患者也治愈出院。至此，大理州确诊的13例和红河州确诊的9例患者全部治愈出院。#云南两州确诊病例清零#http://t.cn/A67a72OD
哲法社实,:【哲法】@团在上师大@上师大社会实践中心社会实践回顾――寒假调研🔍通过访谈检察官我们了解到，在检察院人财物归省统管以后，检察官的工资并没有得到保障，当初大家都争先恐后的想要入额，入额后确发现压力重大、责任重大，工作压力与权限不匹配，许多检察官都苦不堪言。然而在大理州这些经济落后的少数民族地区即便工作压力巨大，法官检察官也不敢轻易辞职，辞职就会造成失业的状况，生活都难以得到保障，检察官队伍进出都比较困难。💪改革的目的是为了减少地方的影响，增强办案的独立性，并且提高工作效率，捕诉合一就是一个较好的例子，可以更好的查清犯罪事实，增加结案率。✨
丽江政法,【#云南10天无新增#！大理州、红河州最后1名治愈者出院，两州清零】2020年2月29日，云南大理州人民医院最后1名确诊新冠患者治愈出院，家人送锦旗致谢全体医护人员。3月1日，红河州第一人民医院最后1名新冠患者也治愈出院。至此，大理州确诊的13例和红河州确诊的9例患者全部治愈出院。#云南两州确诊病例清零#http://t.cn/A67a72OD
大理环保,:#大理州推动绿色发展#【漾濞县在绿水青山中寻求最大公约数】近年来，漾濞县牢固树立“绿水青山就是金山银山”的发展理念，以建设“精美漾濞，幸福家园”为目标，全力推进绿色发展，加大生态系统保护力度，全县人居环境得到整体提升，生态文明建设成效显著，在绿水青山中寻求到最大公约数。生态建设水平全面提升。着力推进重点生态工程建设，实施森林管护245万亩，聘请森林管护人员491人，确保全县森林资源安全；加大生态护林员选聘，2019年底全县有生态护林员330人，完成300万元补助资金兑现；全县98万亩公益林实现“保护全覆盖”，完成74.63万亩国家级、省级公益林生态效益补偿，兑现补助资金746.3万元；完成3.64万亩县级水源涵养林区划界定，划分责任区9个，新增管护员8人，县级水源涵养林得到有效保护。国土绿化、退耕还林和草原建设工程深入实施。大力开展乡村绿化，组织开展全县古树名木文化资源普查工作，组织开展县乡机关义务植树活动，积极筹措资金开展河道及公路重点绿化，全县共完成义务植树27万株。加大路域桉树替换绿化美化，完成路域桉树采伐429.238亩，完成树种更替造林设计。与仟亿达亿碳（北京）管理咨询有限公司合作实施漾濞县森林经营碳汇温室气体自愿减排项目，已完成合同签订等前期工作。完成2018年新一轮退耕还林造林7800亩，兑现种苗补助资金312万元，2019年全县草原监测调查核验工作全面完成。以乡村振兴工作助推生态建设。“乡村清洁条例”得到深入落实，苍山西镇、漾江镇、顺濞镇及15个沿河沿路村庄全面推行“农户保洁、村组收集、乡镇清运、县级处理”的城乡一体化垃圾收集处理体系。以光明村为试点村，围绕“生态振兴”全面推行“五个有”，即护山有队，守好绿色宝藏；管水有制，确保取用有度；种田有标，杜绝农业面源污染；植绿有标，做好生态保护修复；保洁有员，确保村内干净整洁，同时带动乡村生态旅游，增加群众收入。以产业结构转型升级探索林下种植模式。在做强、做深、做细核桃产业的同时，引导群众在核桃林下种植中药材，大力推广种植适合当地气候条件的重楼、续断、龙胆草、石斛、木香、半夏等中草药。目前，全县形成了产业互补、资源共享、协调发展的生态农业模式，不仅实现了产业的生态循环，还增加了农民群众的经济收入。来源：大理日报编辑：大理州生态环境局
云南政法,:【#云南10天无新增#！大理州、红河州最后1名治愈者出院，两州清零】2020年2月29日，云南大理州人民医院最后1名确诊新冠患者治愈出院，家人送锦旗致谢全体医护人员。3月1日，红河州第一人民医院最后1名新冠患者也治愈出院。至此，大理州确诊的13例和红河州确诊的9例患者全部治愈出院。#云南两州确诊病例清零#http://t.cn/A67a72OD
大理日报,:【我州近期招生考试时间推迟】为有效减少人员流动、聚集带来的疫情扩散风险，切实保障广大考生和考试工作人员的生命安全和身体健康，州教育体育局根据教育部、云南省教育厅有关新冠肺炎疫情防控工作要求和招生考试工作部署，结合大理州防控工作实际，对我州近期招生考试有关工作进行了安排。（通讯员王灿鑫）http://t.cn/A67XW6Lt
天津高速交警,:【深夜紧急营救出租车被困人员】2月29日晚上23时34分，大理州南涧县消防大队接到报警称:有一辆出租车翻到路下，被困人员被救出，但因伤势过重，无法从路下上来。接警后，中队立即出动1辆抢险救援车7名消防员赶赴现场救援。由于现场坡度较陡，救援难度大，救援人员立刻分为两组展开救援。00时23分被困人员终于被成功救出，并交由120前往医院救治。回到营区后按照流程对人员车辆进行彻底洗消。#火焰蓝守护平安#
大理电视台,:【大理州各地商铺陆续恢复营业疫情防控与经济发展双推进】连日来，大理州各地在抓好疫情防控工作的同时，科学指导好县城商铺有序恢复营业，切实做到疫情防控与经济发展双推进。大理州各地商铺陆续恢复营业疫情防控与经济发展双推进
科普永平,:［抗疫防控科普］常用消毒用品中毒表现及其处理原则@手机浏览器http://t.cn/A67iOImu永平科素@大理科普@美丽云南微科普@大理州科学素质行动@科普中国
科普永平,:［抗疫防控科普］车轱辘、快递需要消毒吗？哪些消毒反倒有害？@手机浏览器http://t.cn/A67iOwuG科普中国@大理科普@美丽云南微科普@大理州科学素质行动
科普永平,:【科普视频】新冠肺炎流行期间，空调通风系统运行管理指南！@手机浏览器http://t.cn/A67i0DH1永平科素@大理科普@美丽云南微科普@大理州科学素质行动
科普永平,:来自【mp.weixin.qq.com】的分享http://t.cn/A67i0m50大理州科学素质行动@大理科普@美丽云南微科普@大理州科学素质行动
大理融媒,:【大理州文明办@你：学雷锋，我们可以这样做】关于开展“学雷锋”志愿服务活动的倡议书全州广大干部群众：2020年，是一个不同寻常的年份，新冠肺炎疫情的发生，让全国人民都为之“奋战”。在这场生死“决战”中，全州各族干部群众大力弘扬雷锋精神，主动投身疫情防控，充分彰显了大理各族儿女的担当与奉献，志愿服务精神在白州大地闪闪发光。为在全州形成人人学雷锋、人人做雷锋的生动局面，在第57个“学雷锋纪念日”来临之际，特向全州广大干部群众发出如下倡议：http://t.cn/A67iS87zhttp://t.cn/RxnDutB
问政宾川,:关于公布大理州疫情防控物资重点保供企业（单位）名录（第四批）的通告-宾川县人民政府http://t.cn/A67iJsSw
云南消防,:【深夜紧急营救出租车被困人员】2月29日晚上23时34分，@大理州南涧县消防大队接到报警称:有一辆出租车翻到路下，被困人员被救出，但因伤势过重，无法从路下上来。接警后，中队立即出动1辆抢险救援车7名消防员赶赴现场救援。由于现场坡度较陡，救援难度大，救援人员立刻分为两组展开救援。00时23分被困人员终于被成功救出，并交由120前往医院救治。回到营区后按照流程对人员车辆进行彻底洗消。#火焰蓝守护平安#
