勃林格殷格翰中国,:尼达尼布再获肯定！
ciaobaby,对照组：重点在于重症患者的救治，以降低死亡率。很聪明啊，可谓“精准施策”。。武汉的惨剧至少部分是由“践踏效应”造成的。为何日本没有采用中国那样的隔离手段？专访日本厚生省专家组成员
脏脏番,:我是有什么疾病大半夜打开德鲁纳酒店给我半条命吓没了
南洋视界,:从http://t.cn/A67pJK1e，入境新加坡的旅客若出现发烧或其他呼吸道症状，即使未完全符合“可疑病例”标准，或当场被要求接受冠状病毒疾病（COVID-19）拭子测试（swabtest），测试结果或需3至6个小时，等待期间须减少人员接触，一旦检验呈阳性将立即被送往医院进行隔离治疗。被指定却不愿接受检测的短期旅客将不得入境新加坡。不愿配合测试的新加坡永久居民和长期准证持有人，或面临居留权或准证被吊销。新加坡公民拒绝接受测试也可面临惩处或被起诉。
A中土rray,:——张小娴、晚安！没有了健康；追逐爱和幸福、不要让疾病和岁月轻易打败你：那就是好好爱自己！
返璞归真hlqw,:在家中，怎样预防新型冠状病毒肺炎传染？审核人：福建省疾病预防控制中心健康教育科科长陈锦辉http://t.cn/A67pJVpO
A中土rray,:——张小娴、晚安！没有了健康；追逐爱和幸福、不要让疾病和岁月轻易打败你：那就是好好爱自己！
返璞归真hlqw,:在家中，怎样预防新型冠状病毒肺炎传染？审核人：福建省疾病预防控制中心健康教育科科长陈锦辉http://t.cn/A67pJVpO
无心桔,#非肺炎患者求助#求助：2.29发现爸爸癌症晚期，肝部肿瘤+肾上腺肿瘤，有随时破裂危险，疼痛难忍，现找不到医院愿意收治。我爸2月29日夜里因腹痛难忍被120拉到廊坊市人民医院急诊科，（不发烧，已排查没有新型冠状症状），检查后发现肝部肿瘤+肾上腺肿瘤，肿瘤大约10cmx8cm，有随时破裂危险。凌晨三点外科要求我们办理出院退费，原因是无法确认肝部是原发，将我们退回急诊。之后我们在雨里拉着疼的汗如雨下的爸爸，返回到急诊楼，后来泌尿外科也因无法确认肾部原发为由不收治（泌尿外科的医生来到急诊后并没有看病患者，只看了检查结果）。在急诊熬了一宿，我们被建议赶快去北京天津大医院。3月1日早上我们来到天津医科大第二医院-泌尿外科急诊，医生说急诊无法收治住院，让挂周二门诊号应该会安排住院，（同时我们回到县医院输液止疼，）3月3日到天津医科大第二医院泌尿外科看诊，医生说即使病情危重也无法住院收治，因为卫健委规定天津市外病人未在天津隔离15天坚决不接诊，让我们去找别的医院。我们是廊坊市大城县人，大城县医院无法确诊，只能通知家属医疗水平不够无法救治，下了病危通知，廊坊市医院不收治，天津不收治，请问我们应该怎么办？@人民日报@央视新闻我爸本来好好的一个人，得知他是癌症晚期我们已经备受打击全家接近崩溃，现在能到的医院都求治无路所有医院都碰一鼻子灰，请问疫情期间就不能治病救人了吗？能给我们点希望吗？
哼哼哈嘿_cc,昨天发了一个脱毛仪的广告，然后想起了一个在民间流传极广的说法：经常剃毛/刮毛/剪毛的话，会让胡子或者体毛越长越粗，越长越硬，越长越黑，越长越快.....是这样吗？反正小时候我妈就是这么跟我说的。先说结论：不是。大胆地修剪你的体毛吧！它们不会报复性生长的，无论你怎么修剪，胡子或者体毛的生长速度都不会变快，也不会变得更粗更硬更黑。“体毛越剪越长”的说法在世界各地都有流传，在1928年的时候，有4位猛男献身科学，刮了脸上一半的胡子，然后观察新长出来的胡子到底有没有变得黑长粗硬——结论是没有。1970年，有这方面的论文发表了：http://t.cn/A67CLGeU这次是抓了五位壮士，刮腿毛，结论依然一样：新长出来的腿毛没有变得黑长粗硬。不过真正好玩的是，为啥民间会流传着这样的说法呢？一个主流的答案是：错觉。在刚刮掉毛之后，新生长出来的毛发长度短，截面粗，显得又黑又硬，但其实一段时间之后，随着长度变长，卷曲度增加，毛发的尖端变细，看起来就跟以前没两样了。那么，为什么有些青少年在刮完胡子之后，发现胡子的生长速度确实变快了呢？这其实也是一种错觉：因为青少年即使不刮胡子，胡子的生长速度也会逐渐加快，因为他们正处于发育阶段啊......这时候胡子的生长速度同样跟剃毛无关。所以，想脱毛的话就放心脱吧，毛不会报复你的，放心~
林云志1972,:疾病大多是堵出来的，最好的疏通法都在这里，很实用，请慢看!http://t.cn/A67pJUBy
摩德天,:太可怕！埃塞俄比亚爆发神秘“X疾病”，感染者口鼻流血高烧而死>>http://t.cn/A67pJZyV太可怕！埃塞俄比亚爆发神秘“X疾病”，感染者口鼻流血高烧而死
微小伤口,:叶问4好看在直面英雄迟暮再惊世的传奇也躲不过衰老和疾病再不情愿结束的恩怨也会落幕没有在最灿烂的时刻结束那就把最后的落寞不堪也拍出来给观众看给这个系列一个普通的句号英雄也是普通人我反而觉得难得
格格巫在日本学康复,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。http://t.cn/A67C8laK
三门县有为图书馆,:#有为图书馆#【未来之书】《护士的故事》我们身体的恐怖之处——我们的人性、我们的血肉——都是护士需要承担的，以免患者胡思乱想，毕竟丧失尊严会让一个人变得无比脆弱。当然，正是脆弱让我们团结在一起。面对疾病，保全患者的尊严，是护士能够给予的最佳礼物。http://t.cn/A67pxjaVhttp://t.cn/R2WxOWU
Jessie烟雨,美国科研人员利用食物频率问卷评估五万多名北美健康女性的饮食摄入，跟踪随访了近8年，发表在INTJEPIDEMIOL上的研究结果表明：牛奶或其他乳制品会大幅增加中老年女性乳腺癌发病风险。研究显示，每天喝1/4到1/3杯牛奶，患乳腺癌的风险就会增加30%；每天喝一杯，相关风险上升到50%；如果每天喝两到三杯，风险进一步上升至70%到80%，这结果，我认为可以把牛奶列为乳腺癌发病原因之一了。该研究没有发现低脂牛奶比全脂奶优秀，在增加乳腺癌风险上都一样的。该研究没有发现豆浆和乳腺癌之间的关联。庆幸这么多年，我一直苦口婆心鼓励女性多喝豆浆，少喝或不喝牛奶。用有机黑豆和有机黄豆打豆浆是首选，我妈是用一半黑豆一半黄豆给我打的。对于喜欢喝、喝了很久、不愿意放弃牛奶的女性，不要太焦虑，这毕竟只是一个流行病学调查结果而已，还不算牛奶和乳腺癌关系的板上钉钉，算个风险预警。我个人建议适当减少饮用数量，以及可以考虑改喝真正的有机牛奶。
王者荣耀女头像,:猫太郎鸡肉三文鱼零食50g*5包鲜鱼鲜虾咖啡条，猫零食营养猫条，猫咪舌尖上的饕餮盛宴，好吃补水，帮助主子预防尿道疾病，五种口味，0诱食剂，开袋即食【赠运费险】卷后只需【55】大洋
郑州反邪教,:【#美国又有4人死于新冠肺炎#：来自同一护理中心，华盛顿州已累计6人死亡
品艺读书备忘抄录,:汤面人生一日三餐小原则：1、早餐吃好，午餐吃饱，晚餐吃少。2、七分素，三分肉；多吃白肉，少吃红肉。健康是用心管理出来的，疾病很多时候是胡乱吃出来的。最好的药房是厨房，最好的医生是养生。万一生病了，看完医生，面对一大堆药，该怎么吃呢？《本草纲目》的李时珍老师早有医嘱：病在胸隔以上者，应饭后服药。病在心腹以下者，应饭前服药。病在四肢血脉者，宜空腹早晨服药。病在骨髓者，宜饱食后夜晚服药。百善孝为先，百草茶最优。养生三碗汤：茶汤、菜汤和药汤。人生三碗面：情面、场面和体面。
渡边纯111,:终于终于看完了《致命女人》。剧情真的很不错，Simone的线真的很精彩。同时安利《平常心》，当一种全新的致死率极高的疾病爆发所带来的恐惧，与少数群体们终于争取到权利后的狂欢相碰撞，电影真的不错。而且看完后可能会对Simone有更深的感触。（怪不得13岁小孩子都被她吸引呢，戏里戏外她都是goddess）顺带，第十集真的好棒，有一种暗恋桃花源式的荒诞感觉。
尖锐湿疣图片,:#尖锐湿疣#体质差，免疫功能低下 ：合并糖尿病、肝炎等基础疾病，体质差容易感冒，免疫力低下的尖锐湿疣患者，如果首次治疗不彻底，而患者自身又不配合就很容易复发。
暖人-暖心,:今天看到男神张文宏说，如果不尽快复工，死亡率将高于新冠肺炎...听起来危言耸听，实际上却一语中的，就拿身边事来说，亲戚恰逢疫情期间突发疾病，我们以为的正常就诊遇到了种种壁垒，看病变成了奢望。不能及时得到医治，使得病人跟家人备受煎熬，社会这台大机器的突然停摆，除了疫情，不知给多少家庭带来了无法言喻的痛。期望世界早日回到那弥漫着烟火味的昨天
无花青,分享图片
前史之鉴,:【BBC纪录片：《进食、断食与长寿》】纪录片介绍了断食与健康的关联，减重、心脑血管疾病、癌症、认知功能、胰岛素敏感性、长寿…一部好的健康贴，值得收藏！前史之鉴的微博视频
高峰扫天下,如果因水质问题引发疾病，估计无人能幸免！电影：铁线虫入侵#电影##高分电影#笑到爽的微博视频
关于知识分子的札记,:随着医疗消费需求的释放、人口老龄化的加快、疾病谱的变化，医疗花费在不断上升。根据世界卫生组织数据，2014年，中国卫生总费用是3.77万亿元，人均费用2754元，较2013年上涨19%。其中，中国的医疗支出费用32%来自家庭，56%来自政府，12%来自其他来源，和世界其他GDP排名靠前的国家相比，中国家庭承担着较高比例的医疗费用，也意味着如果大病发生，一个家庭的经济状况可能面临灾难性的压力，失去中产地位。
我仿佛听见尼在说我帅,:多行善事，多包容，为爷爷积德。我相信爷爷这么好的人，虽然之前脾气有时候是有点暴躁的，那是因为久病没及时医治，人在忍受疾病的时候是很痛苦的。在我父母无法在我身边的时候，是爷爷和奶奶一手把我养大的，其实我还没来得及好好孝敬他们。爷爷很开明，希望子女上进孙子辈好好读书，从来都是一碗水端平地宠爱我们。并且清廉，严肃又公正。若有来世，一定会很幸福
GoodGirlButNotAngel,:想起那些意难平吧就还是很难受/我的冠军男友这一部总感觉导演有在挖坑想拍第二部啊感觉Mario小可爱是不是有心脏疾病还是咋样？或者只是单纯想loen想的
华尔街见闻APP,:美国疾病控制与预防中心的高级官员告诉国会，冠状病毒几乎可以称得上是一种全球流行病。
Chaki-doi,:最近胸部这一块一用力就痛，中间按着也很痛，周围医院接了发热病人也不能去看好像，我都怀疑自己是不是胸骨发炎或者其他严重疾病了
掌涨股讯,:美国财长努钦：将寻求一切政策选项来帮助受冠状病毒影响地区的经济。美国疾病控制与预防中心的高级官员告诉国会，冠状病毒几乎可以称得上是一种全球流行病。据央视新闻，当地时间3月3日，美国纽约州州长科莫表示，一名居住在威彻斯特县并在曼哈顿工作的男子成为纽约州第二例确诊新冠病毒感染者，这也是首例“社区传播”病例。据了解该男子出现呼吸道症状，在周一入院测试，目前症状严重。科莫说，对该男子的旅行进行初步审查后并未发现其在疫情爆发时有任何去中国或其他国家的旅行记录，因此当局将其视为可能的社区传播。这也是美国第五例明显社区传播案例。
第一财经日报,:【CDC：#冠状病毒几乎可称是一种全球流行病#】美国疾病控制与预防中心的高级官员告诉国会，冠状病毒几乎可以称得上是一种全球流行病。
WIN土豆NER,【MBC】妈妈说因为Luna每周需要吃的恐慌障碍药量很大，怕对她产生心理负担，所以把药藏起来，分成小包拿出来给她吃--在今晚播出的MBC人文纪录片《一定要happyendingLuna》中。#Luna纪录片#
王分呢,:重读卡夫卡《变形记》。爱的对立面不是恨，而是冷漠。变成甲壳虫除了是老生常谈的异化的隐喻以外，还指向了人的普遍困境，即由于衰老、疾病等必然带来的弱势生命状态。弱势之时，亦是丧失自尊体验之时。卡夫卡的深切之处在于，格里高利处于弱势地位，也能敏感地感知到人（尤其是爱人）精神上的疏远，乃至厌恶（最爱他的妹妹也厌烦了他），其实此时他可以疾呼，可以批判，但他还是那么地孱弱，还在惦记着妹妹的音乐梦还未能实现，甚至还在为自己的糟糕处境感到负疚负罪。在这个意义上，格里高利舍弃了自己。也正是因为格里高利的自我舍弃，地狱才得以显现。
暧眛,:#情感[超话]#疾病真的是很好的借口。因为曾患抑郁症，我可以「坦然」地说：并不是我不够好，是疾病害了我。不是我不想上进，是疾病使我做不到。我跟所有人说，重度患者的每一天都可能是最后一天，所以我活得好赖都无所谓。直到有人问我：要在最后一天也做个**吗？我不甘心。#人生感悟#
半生瓜_pyan,:第二例.有基础疾病已是seriouscondition!每天穿越人海来上班，德国小伙两天没来办公室了，啥时候关闭学校
摇摇摇篮,:自己每生一次病就学一种疾病的科普知识，估计以后天下无敌了吧。
钦州检察,:#2月底美国只完成459次新冠病毒检测#【《科学》杂志称#美国新冠病毒检测工作表现不佳#】美国《科学》杂志官网近日刊文说，美国疾病控制和预防中心等机构有关新冠肺炎的确诊认定方式一度限制了全国的病毒检测能力，截至2月底，美国只完成459次检测。文中提到，2月26日，美国加利福尼亚州报告了1例没有相关旅行史、也未接触过已知新冠肺炎患者的确诊病例。据《纽约时报》等多家美国媒体报道，疾控中心此前一直要求临床医生只能对最近去过中国或接触过已知感染者的病人进行新冠病毒检测，这名病人当时不符合这些标准，拖延多日之后才进行检测，结果为阳性。文章指出，美国不少医院、科研机构都具备检测能力，但在1月30日美国宣布新冠疫情为“公共卫生突发事件”后，相关检测需向美国药管局申请授权，反而限制了全国范围内的病毒检测能力。2月29日，美国药管局才发布公告，允许数百家美国学术性医院实验室开始检测新冠病毒，此后美国的确诊病例快速上升。（新华社）
专业刷人人网人气,:感情：为了您和家人的健康……呼吸道：消化道等等都有极为严重的影响、要么就是印着一些极其恐怖的因吸烟引发的疾病画面[看涨][冰雪奇缘艾莎]
每日经济新闻,:#2月底美国只完成459次新冠病毒检测#【《科学》杂志称#美国新冠病毒检测工作表现不佳#】美国《科学》杂志官网近日刊文说，美国疾病控制和预防中心等机构有关新冠肺炎的确诊认定方式一度限制了全国的病毒检测能力，截至2月底，美国只完成459次检测。文中提到，2月26日，美国加利福尼亚州报告了1例没有相关旅行史、也未接触过已知新冠肺炎患者的确诊病例。据《纽约时报》等多家美国媒体报道，疾控中心此前一直要求临床医生只能对最近去过中国或接触过已知感染者的病人进行新冠病毒检测，这名病人当时不符合这些标准，拖延多日之后才进行检测，结果为阳性。文章指出，美国不少医院、科研机构都具备检测能力，但在1月30日美国宣布新冠疫情为“公共卫生突发事件”后，相关检测需向美国药管局申请授权，反而限制了全国范围内的病毒检测能力。2月29日，美国药管局才发布公告，允许数百家美国学术性医院实验室开始检测新冠病毒，此后美国的确诊病例快速上升。（新华社）
七个铜板能买两份报,:之前不评论李总朋友圈的我是有什么疾病吗？救命啊李总好甜。
-LIXINMING-,#邢晓瑶#也是没想到几年后还能看到邢晓瑶和刘硕分手的后续
魏肉wei,:PLU英雄联盟速成宝典狂野女猎手奈德丽……已发现上百种抗氧化剂；迄今为止……其中最主要的是维生素A。达到预防和治疗疾病的目的。抗氧化剂可以保护身体免受氧化损害：维生素E和β-胡萝卜素；维生素C
BTV新闻,:【警惕！北京、浙江、深圳等均发现境外输入性病例】3月3日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市疾病预防控制中心北京全球健康中心办公室主任、研究员杨鹏说，近期，新冠肺炎疫情蔓延态势日益明显，截至3月2日，中国以外已有64个国家出现确诊病例，韩国、日本、意大利、伊朗等国家新增病例上升明显，我国多个地区发现了境外输入性病例，如：北京、浙江、深圳等均发现境外输入性病例。http://t.cn/A67pfWrB
郜香荣,:儿童消费型定期重疾险，少儿重疾双倍赔付，用来提高保额也好，用做暂时的保障也好，就是一顿饭钱，谁都能买的起，给孩子多一份保障，父母多一份安心。生不生病是老天的事，有没有钱治是我们应该考虑的事。『中荷童乐保少儿重大疾病保险』http://t.cn/A67pfML0
天外飞星2276136045,:据韩联社3日报道，韩国疾病控制和预防中心表示，当地时间3日0时至3日下午4时，韩国新增新冠肺炎确诊病例374例，累计确诊病例达5186例，累计死亡29例。据韩国中央防疫对策本部今日上午通报，3月2日0时至3月3日0时，韩国新增新冠肺炎确诊病例600例，其中大邱新增519例，庆北新增61例。据韩国防疫部门2日消息，韩国政府今后将改变新冠病毒疫情统计数据发布方式，将以每日零时的数据为基准对外发布。此前...http://t.cn/A67pfEY2韩国疫情很快就达人口的千分之一。
肖明明教授,:#刘真#因为心脏瓣膜手术不顺利而出现了脑缺氧的症状，粉丝们都在为她祷告
