宋旗,:#4128万多名党员捐款47.3亿元#众志成城，共克时艰日照
四川新闻网,:【@养老机构防疫期间四川将发放一次性运营补贴】3月4日，四川省民政厅、财政厅下发通知，为缓解新冠肺炎疫情防控期间养老机构封闭管理运行成本激增压力，提升防疫信心，共克时艰，决定在疫情防控期间向全省养老机构发放一次性运营补贴。此次补贴发放资金1640余万元，惠及16.4万余名老人。http://t.cn/A67l3aG1
斐仔唠法国,#雷锋精神我们传承#【跨越两地的连线同一个生日同一个愿望】2月29日是中国医科大学附属第四医院的医生徐焕铭与5岁女儿糖糖的生日。可是，因为2月14日，徐焕铭医生支援武汉，无法与女儿一起过生日。在生日当天，当地的志愿者和徐焕铭的同事们为她准备了一个特别的生日连线，而在这跨越1700多公里的连线中，母女俩许下了同一个愿望。#抗击疫情辽宁在行动#http://t.cn/A67OTTFC
共青团青春东丽,:#4128万多名党员捐款47.3亿元#众志成城共克时艰
紫黑都是孤儿废物,#4128万多名党员捐款47.3亿元#继双十一之后又一次参加了一个亿元项目，武汉加油，中国加油！(ง•̀_•́)ง
漯河水文,:我正在看【众志成城共克时艰（系列公益广告）】，分享给你，一起看吧！众志成城共克时艰（系列公益广告）众志成城共克时艰（系列公益广告）
陕西发布,:【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#！via@人民日报
嘉兴发布,:【为你们点赞！一个个红色的身影通过近200块大小屏幕展现，他们都叫“志愿者”】#硬核嘉兴防疫复工两手抓#今天上午，“共克时艰温暖‘疫’线”南湖区万朵鲜花送雷锋暨3.5云志愿服务活动举行，从南湖区新时代文明实践中心到南湖区各个角落，一个个红色的身影通过近200块大小屏幕展现。鲜花通过网络送出，爱心在网络交汇，在疫情期间，我们虽然不能相聚，隔着屏幕的彼此，距离却更近了。详情：http://t.cn/A67lRgHu
内乡宣传,:#南阳战疫#卫生纸冒充口罩，这9种疫情骗局要当心！新型冠状病毒肺炎疫情发生以来，全国人民上下一心齐抗“疫”，众志成城，共克时艰。但与此同时，也有一少部分心怀不轨之人趁机利用疫情实施诈骗，大发“国难财”。口罩、温枪、护目镜等防疫物资俨然成了骗子...卫生纸冒充口罩，这9种疫情骗局要当心！
咸鱼狠xian,:众志成城，共克时艰，共同战疫！我正在使用“中国加油”#微博个性皮肤#，你也快换上为中国加油吧~个性皮肤：中国加油
德诚会计,:面对疫情，共克时艰。作为平常人，我们常说的"匹夫有责"就是作好自我防护，尽力干好自己的本职工作，力所能及地为社会服务。
世界企业家研究院,:『【特别策划】共克时艰｜产业领军者系列报道_经济观察网』【特别策划】共克时艰
桌角的烟缸,#太原生活##太原身边事#【共克时艰，太原战“疫”】3月1日，太原市最后1例新冠肺炎确诊患者治愈出院。至此，太原市累计治愈新冠肺炎患者出院病例20例，实现了确诊病例和疑似病例“双清零”，医务人员“零感染”，太原战“疫”取得阶段性成果。每位市民都身处其中，共同演绎这座城市暖心的抗疫故事。#抗击疫情山西在行动#向为太原战“疫”作出无私奉献的医务工作者和市民致敬！http://t.cn/A67OqdS4
青春醴陵,#关注株洲#今天上午，“温暖企业·共克时艰——新政速递大讲堂”首场正式开讲，小视频带你看我市“疫情期间各级惠企政策解读”。株洲发布的微博视频
中国电子报社,:【赛迪监理为小汤山等医院信息化建设保驾护航】众志成城，共克时艰。面对这场突发而至的疫情，全国上下都在行动。医院是抗击疫情的最前线，良好稳定的信息化设备和系统是医院开展各项工作的前提和保障。作为信息工程监理行业领军企业，隶属工业和信息化部直属一类科研机构中国电子信息产业发展研究院的北京赛迪工业和信息化工程监理中心有限公司(以下简称“赛迪监理”)凭借自身专业优势，临危受命，承担下#北京小汤山医院#和北京地坛医院信息化建设监理服务，积极投身#疫情防控#的主战场。#万众一心抗击疫情##众志成城战胜疫情#http://t.cn/A67ljClp
晞崽的果雨宝宝,#抗疫行动#zsx#粉丝公益快车#【粉丝公益快车物资应援公告】信仰点亮的光注定会在暗夜里发芽云开雾散怒放的神州，盛开的华夏复苏的生命，就是这个春天里最美的花愿我如星君如月，夜夜流光相皎洁。🌍@粉丝公益快车联合向重庆三峡医药高等专科学校附属医院重庆万州川东骨科医院万州佳明康复医院重庆万州昌明医院黄冈市中心医院捐赠200份护目镜幸得识卿桃花面，从此阡陌多暖春。感谢@能量中国官方宣传共克时艰，爱心必达2020这场战“疫”，携手一定赢！@曾舜晞Joseph与#曾舜晞#益起来！文案@超級農農魔都仙女团
云南法制报,:安宁市检察院开展爱心捐款活动新冠肺炎疫情发生后，安宁市人民检察院积极响应安宁市妇联“巾帼同心，抗击疫情”的募捐号召，踊跃捐款26796元助力抗击疫情。　　据介绍，该院党组高度关注疫情防控工作，倡议全院上下齐心协力，同心战“疫”、共克时艰，以实际行动为抗击疫情尽绵薄之力，为打赢这场生命保卫战奉献检察力量。该院干警及合同制人员128人共捐款26796元。部分干警和书记员在院内捐款后，又在包保责任区捐助，让安检人的关爱和温暖传递给更多的人。http://t.cn/A67ll6p2
白骑士张伟明,:『共克时艰，我们在一起!』共克时艰，我们在一起!
信阳共青团,:【速看！郑州警方最新公布，23条！】为全力服务保障企业复工复产，帮扶企业共克时艰，郑州警方坚持问题导向、法治导向、精准导向、为民导向，围绕“网上办、掌上办、就近办，一次办”，线上线下同步发力，近日推出涵盖户政、道路保通和车驾管、出入境、公安行政审批、打击经济领域违法犯罪五大类23条措施，助推省会社会经济发展有序恢复。具体看图
_胡宝爱妈妈,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！@江中猴姑用中医食疗猴姑米稀助力抗疫！我承诺，与@万和电气一起，用食疗助力抗疫，以爱之名，守护温暖家！带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫手账1个】@微博抽奖平台
勿妄勿狂,一切都是缘啊！医者仁心，一代代传承下去！中华文明五千年，中医一代代延续至今，博大精深！加油武汉，加油中国🇨🇳这个教授的行动已经给这学生上了一课，给这些援鄂的教授医护人员点赞！
江西教育电视台,:#共同战疫#【@赣南医学院：教职员工齐捐款汇聚力量助战疫】3月2日上午，赣南医学院举行干部职工支持新冠肺炎疫情防控工作捐款活动，用爱心彰显患难与共、守望相助的奉献精神，用行动表达众志成城、共克时艰的抗疫决心。截止3月2日16时，学校共收到捐款3万余元，而且数额还在不断增加。所捐款项将主要用于慰问战斗在疫情防控斗争第一线的医务人员、基层干部群众、公安民警和社区工作者等，资助因患新冠肺炎而遇到生活困难的群众和因患新冠肺炎去世的群众家属，慰问在疫情防控斗争中牺牲的干部群众家属等。详情请见：http://t.cn/A67lW99M
下雨不愁的大头,:全军部队迅速投入疫情防控行动与全国人民风雨同舟共克时艰http://t.cn/A67ClWEu
葫芦岛市连山区检察院,:众志成城共克时艰：网络直播课引导学生“宅家学”3月1日，由市文明办主办，龙港区委宣传部等单位承办的针对全市中小学生疫情期间心理疏导网络直播课在葫芦岛live直播平台上正式开播。众志成城共克时艰：网络直播课引导学生“宅家学”
南京晨报,:#关注江苏新型肺炎疫情#【助力战“疫”南京供电公司21名员工献血7300毫升】“我们用实际行动支持抗疫战斗，让我们的爱传递下去，众志成城、共克时艰。”3月4日上午9点，在南京市红十字血液中心，正在开展一场特殊的雷锋日志愿活动，南京供电公司的“中国好人”黄堃正在给青年志愿者们打气。http://t.cn/A67lW4M9通讯员周能萍任俊宇南京晨报/爱南京记者高文玉
雅冰愫漪,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！三门峡邮政情系万家、信达天下！我承诺，与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！参与话题转发评论3月31日@微博抽奖平台抽1位赠送【故宫手账】
武侯区新闻中心,:#小乔播报#【一封有温度的感谢信架起银政共克时艰的桥梁】#武侯有你共战疫#在疫情防控最紧要、最关键的时刻，武侯区委区政府为成都农商银行无偿调拨了口罩、防护手套等防护物资，缓解了该行的燃眉之急，同时为广大市民和银行员工构筑了一道安全屏障，提振了大家打赢疫情防控阻击战的信心和决心。为了发挥行业优势，更好地履行社会责任，成都农商银行也在金融服务方面制定了系列举措，支持辖区疫情防控和企业复工复产，携手企业共渡难关。（武侯融媒记者祝秋）
西热力江hill,:#撑住挑战#到我了！面对疫情，更要拥有健康的体魄和积极的心态，#抗击新型肺炎我们在行动#，和我一起在特殊时期坚持运动，我邀请@张宁__pku和@可兰白克_13_kyranbek加入挑战，我们携手面对，共克时艰！@星光公益联盟@冠军基金#春风体育课#西热力江hill的微博视频
爆炸大皮蛋,:#战疫打卡行动#一起加入打卡，让每个小坚持都有大意义，参与每日战疫打卡，我们同心协契，共克时艰，为祖国加油!
bjtuest1707,:经管1707班于2020年2月10日举行了“众志成城、共克时艰——大学生在行动”网络主题教育活动。这是全体同学参加的一场特殊的班会，也是我们第一次分散在全国各省市，但却共同参与的班会。班会的内容为全体同学共同通过电视收看《老师请回答大中小学生同上一堂课》第三期节目“疫情当前谁在逆行”。这期节目主要讲述了在这全民抗击疫情的紧要关头，有哪些人勇敢地牺牲小我，走上了抗击疫情的逆行之路，与看不见的新型冠状病毒顽强抗争，守护着身后的广大人民。
华清宫,【华清宫景区抗疫工作入选国家文旅部《企业抗“疫”案例》】#战疫情西安在行动#疫情防控工作开展以来，我市各部门积极应对，近日，文化和旅游部官方微信号“文旅之声”推出企业抗“疫”案例栏目，陕西华清宫景区为防控疫情所采取的措施得到了肯定，并面向全国文化旅游系统推广。#夺取双胜利西安在行动#http://t.cn/A67NYVCK
三棵树官方,:三棵树基金会用产品和服务为战胜新冠肺炎在努力。众志成城，共克时艰，三棵树与您在一起！战疫逆行，三棵树为你守护！
WIN魏巡的甜甜圈,#我们携手并肩#由@钟镇涛@吴敏霞@韩雪@周海媚@李丰溢@张远Bird@刘思涵Koala@翟天临@于湉@Zz张阳阳zZ@张新成@李斯丹妮@WIN魏巡等30多位文艺工作者共同演绎的歌曲《我们携手并肩》温暖上线。谨以这首歌，献给神州大地上，每一颗坚韧的心灵，每一位勇敢的斗士！我们携手并肩
萧县发布,:#萧县气象#【晚间天气预报】今天夜里到明天白天晴天到多云；偏东风3～4级，阵风6级；明晨最低气温0℃左右；明天最高气温10～12℃；预计3月6日多云到阴天。万众一心，众志成城，共克时艰，坚决打赢疫情防控阻击战！
玖梦海棠,#赵丽颖[超话]#zly#赵丽颖正能量#|疫情物资捐赠公告|梅花落和樱花开谢谢你正好也在寒冬过后便是春我们等待真正的暖春等待予你拥抱的时刻赵丽颖全球粉丝后援会与邓紫棋粉丝团联合向『陕西省汉中市汉中3201医院』捐赠面罩200个(每家100个)所有物资均已送达且投入使用[给你小心心]特此公示@赵丽颖
那个姑娘好飒,:什么叫共克时艰，克到自己头上的时候真的很想搞死湖北那帮烂官。你们他么的影响到每个人的头上了，影响到世界了，纳税养的是群草泥马，养的是专门不办人事倒打一耙的官府老爷。
和合齐心,:#疫情感想#<和谐至上>2020.2.13庚子伊始，疫情非常，自媒惑众，舆论导向，你方唱罢，我方登场，质疑体制，挑战官方，民众跟风，互诉衷肠，各抒己见，正负较量；共克时艰，和谐至上，收声安心，坚定信仰，不计功过，不辨真相，搁置不满，发热发光，是非善恶，果报自偿，我党定会，秋后算账。http://t.cn/RD4C3n3
野都壹壹,#昕薇公益##共克时艰，昕心相连#昕薇公益联手百位明星为中国加油！和@肖凯中KEVIN一起为在一线奋斗的所有工作人员们加油打气⛽️共同期待春天的到来～昕薇的微博视频
长江大学,:#长大资讯#【中国人民大学应用经济学院支援经管学院抗击疫情】@长江大学在这里向@中国人民大学表示感激之情，愿两校友谊长存、共克时艰！中国人民大学应用经济学院支援经管学院抗击疫情
华夏军团作战部,哭了！国企了不起！@汪海林@无为李爷@全真道士梁兴扬@贼叉@司马3忌@师伟微博@司马南哭了！我买不起热搜头条，但我要替全中国孩子感谢这座铁塔！
蓝缘6,:2020年的春天，是一段深刻的记忆，万众一心共克时艰，付出努力与智慧，成为一段不平凡的经历，防疫防邪，人间无恙。
钦州检察,#战疫情#【风雨同舟共克时艰——钦州、龙邦出入境边检站为支持疫情防控工作捐款】3月3日，钦州、龙邦出入境边防检查站积极响应党中央号召，按照上级党委部署，开展爱心捐款活动，用实际行动支持新冠肺炎疫情防控工作。（梁钧铭蒙正欢杨洁徐艳）
游园无梦,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！宽宽让宅家生活五彩缤纷！我承诺，与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫台历1本】！
我是窦莎,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！TCL大屏电视，全场景AI，无需遥控器，语音一句话操控全屋家电！我承诺，与@万和电气一起，用云端科技助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！关注@TCL电视@万和电气带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫手表】！@微博抽奖平台
用户6473962999,:#微博头像挂件#众志成城，共克时艰，共同战疫！我正在使用“中国加油”头像挂件，你也快带上一起为中国加油吧！头像挂件：中国加油
南岸微发布,:【哪里有需要，哪里就有区人大代表的身影】自新冠肺炎疫情发生以来，南岸区人大积极响应市人大的号召，认真贯彻落实区委区政府的部署要求，以实际行动认真践行了“人民选我当代表，我当代表为人民”的宗旨，想群众之所想，急群众之所急，彰显了人大代表的的责任和担当，就像一面旗帜，指引大家共克时艰，早日打赢这场疫情防控阻击战。点击链接查看更多内容：http://t.cn/A67layUt
更北京,:#我们战在一起，共克时艰#疫情之下，企业如何渡过难关？为及时解答企业和白领“疑惑”，北京CBD党工委、北京CBD管委会联合中智外服，共同策划本期白领驿站直播节目：“疫情之下的企业扶持政策”。3月5日（星期四）19:00准时开播，免费扫码观看。
今日张江,:#联防联控##志愿者招募令#亲爱的张江人：在疫情面前，我们不分年龄、地域，紧紧构筑人类命运共同体；在抗击疫情的重要阶段，更要守望相助，迎难而上，共克时艰！张江的朋友，如果你能熟练运用意大利语或日语或韩语，愿意协助张江镇防控工作指挥部完成与境外人员的交流工作，那么就请加入我们，参与志愿服务，一起战“疫”吧！一、招募要求1、能熟练运用意大利语或日语或韩语。2、年龄范围：18-50周岁3、身体条件：身体健康，无感冒、咳嗽、发烧等症状；近半个月本人及家人体温正常，未离沪，无湖北或其他重点关注地区来往经历，无与确诊及疑似人员密切接触史。4、参加志愿服务的志愿者需征得家人同意。二、服务内容1、协助张江镇防控工作指挥部完成与境外人员的交流工作。2、与社区卫生服务中心工作人员一同上门对需要居家隔离的境外人员进行交流。三、服务时间、地点原则上统一调度、就近安排。四、物资保障1、对志愿者提供口罩、护目镜、防护服等必要防护物品。2、50万元“守护志愿者特定保险”。五、报名方式1、上海志愿者网平台报名：平台报名链接：http://t.cn/A67lX3Om平台报名二维码：如图二2、微信小程序报名：如图三http://t.cn/A67lX3OT欢迎加入张江镇社区疫情防控志愿者服务队伍众志成城，共克时艰！胜利就在前方！
陪俊俊去冰岛看极光,#王俊凯[超话]#@TFBOYS-王俊凯难得有时间能好好的睡个觉，get到的新技能就是看看窗外。“90后被保护的，现在90后出来保护大家。”作为90后的尾巴很骄傲，希望医护人员都能平安归来，困境下，大家齐心协力过渡到新的开始！与小凯一起期待春暖花开！腾讯视频的微博视频
隔壁ta郑叔,:入鄂40天我在罗田吃上饺子了。这是我从年初一离家吃的最幸福最感动的一顿饭。饺子在北方如山中岱岳，是团圆也是家。感谢那些在幕后默默为我们付出的无名英雄们，是你们让我有了回家的温暖，让我一路走来充满力量。咱们携手一起共克时艰，迎接这个樱花盛开的春天。黄冈·罗田县
王阿东的小耳朵,#王旭东[超话]##能量偶像#让我们和健康倡议者@王旭东东东东阿东一起，共同倡导
西南大学荣昌校区学生会,:共青团西南大学荣昌校区委员会#“众志成城，共克时艰”抗疫系列活动#之“三行情书”中国加油活动作品分享DAY3来啦🎉🎉🎉你有什么话想对祖国说的吗？你也想为武汉送上一份祝福吗？扫描图中二维码，即可参与活动呀！
稳稳的幸福gf,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！@LOVO家纺让宅家生活温暖舒适！我承诺，与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫手账】一本！
言小乔的辛德瑞拉,#赵丽颖[超话]#zly#赵丽颖正能量#|疫情物资捐赠公告|梅花落和樱花开谢谢你正好也在寒冬过后便是春我们等待真正的暖春等待予你拥抱的时刻赵丽颖全球粉丝后援会与邓紫棋粉丝团联合向『陕西省汉中市汉中3201医院』捐赠面罩200个(每家100个)所有物资均已送达且投入使用[给你小心心]特此公示@赵丽颖
野原新之助广志,:共克时艰，手抓饼5分钟一个，速度快味道随意搭配，可辣可咸，真香。成都
酷中作乐2,#太原生活##太原身边事#【共克时艰，太原战“疫”】3月1日，太原市最后1例新冠肺炎确诊患者治愈出院。至此，太原市累计治愈新冠肺炎患者出院病例20例，实现了确诊病例和疑似病例“双清零”，医务人员“零感染”，太原战“疫”取得阶段性成果。每位市民都身处其中，共同演绎这座城市暖心的抗疫故事。#抗击疫情山西在行动#向为太原战“疫”作出无私奉献的医务工作者和市民致敬！http://t.cn/A67OqdS4
鼓楼人大,:疫情防控鼓楼人大在行动（十三）暨齐心“战疫”共克时艰鼓楼人大奋战在防控一线（十二）齐心“战疫”共克时艰鼓楼人大奋战在防控一线（十二）
杨杨洋穷,:众志成城，共克时艰，共同战疫！我正在使用“中国加油”#微博个性皮肤#，你也快换上为中国加油吧~个性皮肤：中国加油
克伊普康姆凯利昂,:今天工作的时候忽然发现，如今的我回头看去年的时候心里想的是“毛衣站可比病毒强多了”，然后我清晰的记得18/19年的我想的是“毛衣站以前的日子真好啊”。这三年我们经历太多了，三年前谁能想到现在过的是这么共克时艰凄风苦雨的日子啊
江边城外,你见过一个52岁的老汉直播卖烤鱼吗？你见过理发店还送“私人健身教练”吗？据网商银行的调研，在今年疫情的艰难环境下，仍有65%的小店，表示至少已经找到一条创新经营#自愈指南#，他们是真正“小生意大担当”，但对这些小店来说，最好的#自愈指南#其实是你的一句加油，留下你的一句暖心鼓励，为这些小店点个赞吧~我们将抽取三名用户送出价值百元的好礼！
葫芦岛市检察院,:众志成城共克时艰：网络直播课引导学生“宅家学”3月1日，由市文明办主办，龙港区委宣传部等单位承办的针对全市中小学生疫情期间心理疏导网络直播课在葫芦岛live直播平台上正式开播。众志成城共克时艰：网络直播课引导学生“宅家学”
季锋医生看胃病,:在疫情面前除了我们医护人员，还有军人在默默的奉献。全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！#中国军人#
桔红围脖,#为家守护共克时艰#我为#万和“安全家”行动#点赞！小沃让宅家生活丰富多彩，我承诺，与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！转发本微博，3月31日不过滤抽1位幸运鹅送【故宫手表】@微博抽奖平台
南京晨报,:#关注江苏新型肺炎疫情#【连线湖北|一封来自新冠病毒感染患者的感谢信】病毒无情，人间有情。昨天，在凛冽寒风逐渐散去的时候，在与新冠病毒投身抗争的时候，在与一身厚重笨拙的防护衣共克时艰的时候……如往常一样，当来自鼓楼医院援助武汉市第一医院的费素萍，给感染新冠病毒患者实施治疗的时候，收到一份来自9床患者的感谢信。http://t.cn/A67lMVLt通讯员柳辉艳南京晨报/爱南京记者戚在兵
Alice856756,:@文明西安#致敬最美逆行者#众志成城，共克时艰，武汉加油！中国加油！西安
vk_____上善若水,【#共克时艰，文旅在行动#国博虚拟展厅，打包送给您】春天悄然来临，疫情防控阻击战仍在继续，“宅”家享文化一起逛逛国家博物馆虚拟展厅，赏“馆藏开国元勋文物展——纪念中国人民解放军成立90周年”http://t.cn/A6hDYysA“戴泽艺术展”http://t.cn/A67pzysR“阿拉伯之路：沙特出土文物”http://t.cn/A67pzys8“卢浮宫的创想——卢浮宫与馆藏珍品见证法国历史八百年”http://t.cn/A67pzysY↓↓↓
武汉经开检察,:爱心汇聚共克时艰！企业全力助抗疫湖北电视台官方微博的微博视频
HuRunFund,在马路边，伸手拦了一辆出租车。司机一停下来，顿时就激动了。“金主，你是我今天的贵人啊”。俺吓了一跳，“大爷，我只不过二个路口。一个起步费，您可不必如此大礼啊”。司机说，“我从下午1:30开始兜圈，一直兜到现在4:20，没有任何生意。你是我接到的第一个客户。虽然路不远，但至少油费赚回来了”。“哦，出租车生意，这么惨淡么”。“现在的上海人，有私家车的，基本都开私家车了。嫌干净，谁愿意坐公共交通啊”。“之前我们的客户，很大一块是外国人，外地人”。“SARI疫情之后，外国人早没影了。外地人也不怎么来”。“收入下降几乎为零，份子钱还是照给”。“政府每天补贴80元，咱是差2400的那种人么”。“更惨的是，我一个兄弟，跑浦东机场线。机场总要接人吧”。“浦东机场还没有食堂，候着你都得自己带泡面”。“你猜他吃了几包”。“整整25个小时，出租车在机场排25个小时，才能拉到一单生意。赚一百来块钱”。“要等25个小时啊”。这也真是刷出三观了。我想，只有勤劳朴实的中国人民，才会等待25小时接一单吧。伟大的人民。#上海[地点]#
广西大学校主持人班,播IN电台#抵抗疫情特别节目#：《抗击疫情，我们始终在一起！》主播：梁爽❤️点击链接听取节目“抗疫情特别节目”展播：抗击疫情，我们始终在一起！（梁爽）@中国播音主持网@播音主持招聘指南@播音主持艺术指南@播音主持
环游蓝色水星-,【王俊凯：大家一起加油，春天一定会到来！】@TFBOYS-王俊凯说，“最感动的是医护人员对疫情作出的努力，看到他们摘下口罩的面孔，会特别心疼。大家众志成城，一起克服困难！”“责任不分年龄，一直被保护的90后出来保护大家，我也是90后的尾巴，希望他们保护他人的同时，也保护好自己！”“最大的愿望是疫情结束之后，能摘下口罩，去外面呼吸新鲜空气，大家一起加油，春天一定会到来！”
共青团枣庄市委,:“众志成城共克时艰”山东抗击疫情公益广告展播㉘：【视频】正确依规消杀防控潜在风险#关注新冠肺炎#枣庄发布的微博视频枣庄
锦官城外独归人,:#环球网#？？？？这种艰难时刻，这么多基层工作人员这么多普通群众还有这么多伟大的医护人员在面对疫情共克时艰的时候，你说的是什么话，不知道为什么而战？我告诉你，为人民而战！而且拜托您有这个时间发疑问，花一点时间放在永居条例上，好吗！！！
敢敢SpeakOut,:快递给我打电话问我地址是哪他不知道我好不会讲位置和指路我想加他微信发定位给他
SpecialQ_Cube,:#设计美学[超话]#美国著名插画师、平面设计师YuliyaPieletskaya手绘作品辑（7）出生于纽约2012年毕业于FIT，获得设计和商业双学位。从那时起，除了从事自由插画的工作之外，一直在设计制作和销售自己的原创贺卡和咖啡杯周边像许多艺术家一样，自然和动物对她来说是一种珍贵的灵感来源。Yuliya目前和两个兔子玛妮和汉姆一起住在芝加哥。#看起来健康未感染的一天##我们战在一起，共克时艰##坚持梦想有多难#http://t.cn/R2WxQOQ
临濮,:[話筒][贊]眾志成城共克時艱
1714川,:#同心战疫共克时艰#坚信会打赢这场持久战
张明强紫砂艺术号,:#中国科研团队发现新冠病毒已突变#这是一个坏消息，现在正是攻坚克难的关键时刻，囯内形势已初见曙光，国际上又是快速传播，让我们共克时艰吧。
大兴安岭卫士,#疫情在前警察不退##百万警进千万家#警民同心共克时艰众志成城抗击疫情“叔，把这钱收着吧，这是我的一片心意”这是长虹边境派出所片警杨硕对贫困户杨大爷所说的话。“疫情面前，警察不退”越是特殊时期，越要关注好困难群众。考虑到贫困群众自身抗风险能力较弱，为保障他们在疫情防控期间的生命安全和日常生活，近日，呼玛县公安局长虹边境派出所联合园西社区工作人员来到辖区贫困户家中，为他们送去了米、面、油等生活必需品，以及民警和社区的爱心捐款。“群众利益小事”，不仅仅是一句口号，更是一份承诺，疫情面前，呼玛县公安局长虹边境派出所将不忘初心，牢记使命，尽职尽责，始终如一的为广大人民群众保驾护航。@大兴安岭卫士@中国警察网@梨视频@龙警微博http://t.cn/A67O6dVo
十相电影,:一天刷完了《东京大饭店》，看到这一段剧情......当发现餐厅员工感染了诺如病毒后，木村拓哉和队友们有条不紊的处理方式令人欣慰啊！
扬子晚报,:“每一个企业都经营好，发展好，中国经济就一定会更好！”——百度创始人、董事长兼首席执行官李彦宏，通过全国工商联X电影频道X央影传媒联合出品《#风雨无阻向前进#》系列公益短片，呼吁企业携手互助、共克时艰，为中国加油！@百度@CCTV6电影频道@电影频道融媒体中心@中国电影报道@1905电影网官博http://t.cn/A67GgUow
河南大学马克思主义学院团委,:#小马分享#山川异域，风月同天。我们共克时艰，我们一起加油，学一下其他语言的“加油”吧！你们还会其他的语言吗?
