北京华军中医医院中医血液科,:谢别录主任用手机与患者进行远程会诊指导诊疗.mp4生活咨讯的优酷视频@优酷
南通热线,:#南通爆料#【通大附院关于恢复口腔科、耳鼻咽喉科、眼科等限制类诊疗服务的通知】关于有序恢复口腔科、耳鼻咽喉科、眼科等限制类诊疗服务的通知尊敬的来院人员：根据当前新冠肺炎疫情防控态势和我院所处的南通市崇川区低风险区的定性，医院在继续做好疫情防控工作的同时，按照省卫健委《关于在新冠肺炎疫情期间有序开展口腔等限制类医疗服务工作的通知》，经认真准备，医院有序恢复口腔科、耳鼻咽喉科、眼科等限制类医疗服务，现将有关事项通知如下：一、2020年3月5日起恢复眼科门诊，3月6日起恢复口腔科门诊，3月7日起恢复耳鼻咽喉科门诊。二、口腔科、耳鼻咽喉科、眼科门诊患者实行全部预约，不接受当日现场挂号和加号。未经预约，当日不能就诊。门诊预约途径有医院微信公众号、南通医保APP、12320网络（http://t.cn/RcY0Zjw）、12320电话（12320）、自助挂号缴费机、诊间、支付宝预约等。三、医院对医师门诊号源数量进行限制，并视情况逐步恢复至正常。四、门诊就诊其他注意事项1.提前一天及以上时间做好预约，并按约及时就诊，不要爽约。2.确因不可抗力不能按时来院者，要提前一天退号，及时释放号源，方便他人预约挂号。3.备好相关证件与防护品，如电子通行证、预约挂号凭证、身份证、医保卡、佩戴无呼气阀的符合要求的口罩、门诊病历本及既往医疗资料。由于电子通行证现场办理时间较长，建议大家在来医院之前办好。办理电子通行证出现技术问题的，请咨询0513-85029923。南通市以外患者办理电子通行证出现技术问题的，请咨询当地公安等相关部门。没有上述证件与口罩不符要求者，不能进入医院。4.陪同人员不能进入医院，确因病情需要者除外。5.进入医院时需要测量体温，接受预检分诊，接受疫情相关的流行病学史的询问，登记联系方式、家庭住址、流行病学史等信息，签署提供虚假信息、隐瞒疫情信息的法律责任书，若提供不实信息，需承担相应责任。6.在医院就诊期间需要全程佩戴符合要求的口罩，人与人之间努力保持1米以上的间距。7.医院控制诊区、诊室人员数，眼科、耳鼻喉科实行一医一患一诊室，非正在就诊者不能进入。8.门诊有关操作和手术前需要进行血常规、胸部CT、核酸等检测。9.口腔科不开展牙周超声洁治、牙齿种植植入手术和冠桥等操作时间较长、飞沫气溶胶产生较多的口腔择期手术和治疗。五、口腔科、耳鼻咽喉科、眼科急诊一直开放，无需预约。六、若有不理解事宜及其他事宜可向医院一站式服务台或门诊部咨询，咨询电话：0513-81160114、85052205。感谢您的理解与配合，对自己负责、对他人负责、对社会负责，让我们并肩携手、齐心协力，共同打赢这场疫情防控保卫战！南通大学附属医院门诊部二〇二〇年三月三日南通大学附属医院
为你的行为点赞,:伊朗开始行动了！伊朗将中国诊疗方案译成波斯语向公众公布。加油！为你的行为点赞的微博视频
江西新闻联播官博,:#“把自己当随州人，把随州的事当自己的事”#首先，强化医疗救治。我们始终把救治患者放在首位，建立健全与随州市医疗专家会商机制，及时优化医疗救治方案，并运用远程诊疗系统，对危重、重症患者进行多学科联合会诊，协助、配合随州市千方百计提高治愈率、降低病亡率。截至3月2日，累计接管病区12个，管理住院患者544例，其中重症和危重症70例；治愈出院378例；现管理在院治疗患者166例，其中危重、重症16例。其次，强化疫情防控。在做好医疗救治工作的同时，我们还积极参与核酸检测、流行病学调查、人员培训等疫情防控工作。目前完成2331份样本核酸检测，参与随州市各县（市、区）现场流调排查密切接触人员近3000人。#爱心守望情暖赣鄱##抗击疫情江西在行动##联防联控江西在行动#http://t.cn/A67NuoCB
潜江民工1,这就很尴尬了！3月3日，根据李跃华提供的“治愈”患者名单15人中的12人，封面新闻记者逐一进行采访。初步梳理结果为，在接受李跃华治疗前，他们均未确诊为新冠肺炎患者。接受李跃华的穴位注射苯酚后，在武汉全市大排查中，至少6人核酸检测呈阳性而住院，另外至少有4人仍在隔离观察中。
武汉发布,:#武汉抗疫防线##武汉必胜#【今天下午，武汉体校方舱医院首批患者康复出舱】3月3日下午，由湖北省妇幼保健院托管的武汉体校方舱医院首批32名患者康复出舱，年龄最大的65岁，最小的22岁。均严格按照国家卫健委发布的《新型冠状病毒感染的肺炎诊疗方案”(试行第六版)》，同时达到4个标准，并且经病区和医院两级专家会诊，一致认为达到出院条件后，决定出舱。在舱内举行的庆祝出舱活动中，湖北省妇幼保健院李明惠护士长还和一位舱友即兴舞蹈。据了解，武汉体校方舱医院是汉阳区第二座方舱医院，由湖北省妇幼保健院全面接管，2月22日开舱收治病人，目前已累计收治265人，重症转出7人。（湖北经视记者童亮通讯员温红蕾柯健）http://t.cn/A67NpURR
四川魏静,:【#伊朗新增新冠肺炎病例835例#累计确诊破2000】3月3日，伊朗激增835例新冠肺炎确诊病例，累计确诊2336例，死亡77例。同日伊朗外长在其推特公开求助，希望各界能捐助N95口罩、呼吸机、一次性手术服、新冠肺炎检测试纸以及面部金额头部防护用具。（世面）http://t.cn/A67NlcCl#伊朗将中国诊疗方案译成波斯语##中国向伊朗派出疾控专家组#
潘军强,:【这些你需要知道
潘军强,:【患者大爷“闹情绪”，护士一嗓《穆桂英挂帅》稳住了，还跟着打起来拍子】现在不会点才艺，护士都干不了，太暖了。医护人员多才多艺，不仅能治病救人还能逗患者开心，感谢战斗在一线的白衣战士，为你点赞
潘军强,:【转发点赞！为所有的中国军人加油！[加油]】全军医护保持零感染！这真的是太厉害了！为中国军人点赞加油
江苏海洋大学药学院,:#每日药闻#【治愈可期，I药惠及III期非小细胞肺癌患者】2月29日，阿斯利康举办“III期肺癌云海峰会”，邀请了国内一线肺癌专家参与交流III期肺癌的规范化诊疗，探讨III期肺癌的免疫治疗策略。因为新冠肺炎疫情的缘故，这场“云海峰会”通过网络在线直播的形式进行，吸引了超过4万人次医疗专业人士参与。大会主席、广东省人民医院终身主任吴一龙教授在大会开场讲话中提到：“随着中国首个PD-L1肺癌免疫治疗药物度伐利尤单抗注射液（化学名：Durvalumab，商品名：Imfinzi）的获批上市，III期非小细胞肺癌的治疗取得了突破性进展，为III期非小细胞肺癌患者带来了临床治愈的希望。”来源：医药魔方http://t.cn/RyhlHOb
渝不在重庆,:#伊朗将中国诊疗方案译成波斯语#接下来还是要尽早控制疫情蔓延啊
盐都发布,:市第三人民医院逐步恢复正常诊疗市第三人民医院逐步恢复正常诊疗
潘军强,:【转发致敬！李兰娟院士，您辛苦了！
哇啦哇啦可爱,:#王踢踢的宠物医院历险记#今日笔记（图一）在老板娘的建议下，绕开心血管那些直接开始了基础诊疗也不知道是推针管推的还是戴手套的原因，指甲和肉裂开了，痛死了，搞个胶带物理粘合（图二）这是我见过最胖的柯基（图三），四十斤，开门摸他的时候跑了出来，吓死了我都抱不动他
钛媒体APP,:【伊朗将中国诊疗方案译成波斯语；钟南山团队建议严格防控实施至4月底丨抗疫政策汇总（3月3日）】钟南山院士团队：#若管控措施推迟5天实施疫情规模将扩大至3倍##伊朗将中国诊疗方案译成波斯语##财政部表示群众不会因费用延误救治##工信部鼓励对困难学生推出特惠流量包##入沪前14天有重点国家旅居史一律隔离##浙江8输入病例在意大利同一餐厅工作#详戳@钛媒体APP直击新冠病毒肺炎疫情专题→http://t.cn/A67N8b9S
包头日报,:#众志成城战疫情·保六稳#【“包头造”诊疗车驰援战“疫”一线】近日，由包头企业北方稀土捐赠的驰影A30磁共振诊疗车正紧张调试，即将启程出发，向抗击疫情最需要的地区开进。（记者：张海芳，张建芳）http://t.cn/A67N8P6N
动点科技,:不久前，国家卫健委通知，要求各地在疫情防控工作中充分利用“互联网+医疗”的优势，推动互联网诊疗咨询服务在疫情防控中发挥更为重要的作用。互联网医疗包括以互联网为载体和技术手段的健康教育、医疗信息查询、电子健康档案、疾病风险评估、在线疾病咨询、电子处方、远程会诊、远程治疗和康复等形式的加快医疗服务。其中，远程会诊和在线问诊在此次疫情中的表现尤为突出。http://t.cn/A67NQosb
北京市戈友公益援助基金会,:#共同抗疫，戈友从不缺席#——作为医疗界坚定的“长跑者”，戈友郭华伟在疫情期间，抽调中美医疗集团的精锐团队驰援武汉；还与员工一起值守京冀两地疫情防控工作岗位，通过多渠道，组建患者咨询社群、搭建问诊平台，组建线上问诊咨询医生队伍，为居民们提供在线诊疗及科普服务。感谢所有医护人员的付出与牺牲，医者仁心，大爱无疆！#武汉加油#
一只股票波浪宽,:中医无论吹嘘博大精深大系统诊疗这些自己都不知道在说什么的大道理，归根结底还是要用药的，用药就得看疗效，看疗效就得随机双盲才有说服力，其它都是扯淡。
零何游戏,:时代的一粒灰，落在个人头上，就是一座山。现在网上很多人都对美国处理疫情的做法嗤之以鼻，键盘侠们大概是忘了武汉付出了多大的代价，目前美国毕竟没有大爆发，所以一城一策，避免完全休克疗法应该是恰当的。现在CDC已经变更了诊疗标准，华盛顿和加州已经宣布紧急状态，特朗普政府启用《国防生产法案》特别权力，迅速扩大防护口罩和防护服的国内生产规模。http://t.cn/RxnbTo1
HImyzone,:上海的患者在出院时，不仅要符合肺部渗出性病变明显吸收、临床症状改善和咽拭子病毒核酸检测阴性的标准，还要求出院患者的肛拭子（粪便）核酸检测为阴性。他表示，由于上海的出院标准较《诊疗方案》更加严格，到目前为止，上海出院患者未出现一例核酸转阳。《44名痊愈者26人复阳武汉医生：我们出院标准太宽了》武汉大学人民医院呼吸与危重症医学科副主任医师、副教授张旃日前表示。http://t.cn/A67NYQ5x
惠州教育,:【众志成城战疫必胜】各医疗机构逐步恢复日常诊疗服务惠州教育的微博视频
妇幼营养师戴永梅,:#我的健康十八式#南京市妇幼保健院线上诊疗服务已经正式开通，有需要的市民可以通过“互联网医院”进行咨询，足不出户就能进行相应就诊，方便快捷，简单实用。目前，医院已调派多名专家坐诊互联网医院咨询门诊，进行线上诊疗服务。首批开诊的科室有：妇科内分泌、妇女保健科、医疗美容科、妇科肿瘤科。疫情期间，医院互联网门诊将不收取患者的挂号费。（因系统计数需要，收取咨询者0.01元，敬请见谅）。您有相关诊疗需求都可以在线上进行咨询。http://t.cn/A6hoGOTz
09佩,:我同学和闺蜜都推荐来问你，给你发了我牙齿情况，看到了还麻烦回复我一下哟！@深圳牙齿矫正攻略君目前我想在深圳做拔牙拔智齿，之前有去过阳光口腔、南方医科大学深圳医院口腔诊疗中心、，但听做牙科的朋友说他们不怎么样，还有其他医院能帮忙推荐下吗#8岁儿童牙齿稀疏怎么办##牙齿稀疏戴牙套可以吗#
黔灵老道,:#腾讯新闻#伊朗翻译中国诊疗方案，向公众发布打开腾讯新闻，看188条评论来自@腾讯新闻
无邪升达,【外交部：#中方在能力范围内向外方提供支持#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，#中方向伊朗派遣志愿专家团队#。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（央视新闻）
微笑的嘎啦,3月3日，武汉市中心医院眼科医生梅仲明因新冠肺炎感染去世。
黄州声音,:【战疫行动】山东医疗队的创新疗法！对新冠肺炎病人的治疗，医生们都是按照国家公布的诊疗方案来进行的。山东援鄂医疗队秉承以人为本、注重细节的工作作风，在国家诊疗方案框架内运用一些临床创新，取得了不错的治疗效果，受到病患的赞誉。肺部超声首次用于诊断新冠肺炎患者2月24日上午，在大别山区域医疗中心，滨州医学院附属医院呼吸内科副主任医师潘磊正在给一名病人做肺部超声。肺部超声是从国外兴起的一项技术，近几年传到国内。在第二批援助湖北医疗队，潘磊第一个把它用到了诊断病人上。肺部超声虽然不能代替CT，但作为辅助检测手段，能在临床上发挥效果。33岁的王女士刚入院的时候病情十分严重，由于行动不便去做CT，潘磊通过肺部超声技术找到了治疗方案。“肺部超声可以实时探查肺内的变化，没有辐射，可重复操作，因为很多病人要随时了解病情变化，不可能一天让他做一个CT。而且很多重症病人他出去做CT是不方便的，会增加他的病情恶化风险和外界的感染。”潘磊说，任用肺超辅助检测手段，能够清晰掌握病理变化过程，便于临床治疗。预防肺栓塞降低老年患者死亡率一些老年危重患者，卧床之后就容易造成下肢血流瘀滞，加上血液粘稠、血管内皮损伤，容易形成下肢血栓，如果不注意，起身排便、下肢使劲，肺动脉上会形成肺栓塞，有休克、死亡的风险。在一至六版国家新冠肺炎诊疗规范的基础上，山东省立医院呼吸科医生王星光针对老年危重患者群体，提出了预防下肢深静脉血栓，从而降低肺栓塞形成风险的诊疗方案。2月24日下午，在大别山区域医疗中心，王星给一名患者揉动下肢，一边讲解：“这样捏，你的D2聚体升高，自己没事的时候就捏一捏，但是一旦形成血栓的时候就不能捏了。”呼吸锻炼助患者重获健康肺功能在治疗过程中，根据患者病情程度，山东医疗队针对患者出现的呼吸窘迫、肺功能受损等情况，制定个性化方案，加强呼吸锻炼，助患者重获健康肺功能。23岁的新冠肺炎患者小琴（化名）刚来大别山区域医疗中心时，病情很重，血氧饱和度只有76%，必须依靠经鼻高流量辅助吸氧，随着病情慢慢稳定，来自山东省立医院的李太东护士长为其制定的一套“呼吸操”帮助她恢复肺部呼吸功能。李太东说：“现在她自己一天做四次呼吸操，已经可以离开辅助吸氧，自己下床活动，状态越来越好了。”来源：山东广播电视台记者吴金成翁平亚
百谷清风,【世界大考场】#悬壶论道#
周重林,#伊朗将中国诊疗方案译成波斯语#【伊朗将中国诊疗方案译成波斯语向公众公布】为尽快遏制新冠肺炎疫情蔓延，伊朗日前采取了一系列措施。据当地媒体报道，伊朗卫生部长纳马基称，从3月2日起伊朗在全国各地派出30万个医疗小组上门逐户排查疫情。另据伊朗驻华使馆消息，相关的措施还包括：将中国诊疗方案翻译成波斯语向公众发布、全国所有学校停学、取消包括婚礼和葬礼在内的一切集会、在公共场所实施体温监测等。http://t.cn/A679Svh4
深海欣,【《新冠肺炎诊疗“福宜”方案》正式发布！】3月2日，福建医疗队的专家将一本刚刚汇编完成的《新冠肺炎诊疗“福宜”方案》，分享给宜昌的一线医务人员。该《方案》共有医疗、护理、康复与心理、临床药学与营养四个分册，为医护人员救治新冠肺炎患者提供专业化和精细化的指导。第一批600册“福宜”方案，将陆续分发到全市各区县新冠肺炎定点救治医院。#宜昌身边事##上海已追踪71名浙江输入病例密切接触者#http://t.cn/A67CcxJFhttp://t.cn/zR9teqF
叫木卜,:音乐诊疗室的视频《陈鸿宇《理想三旬》现场版》陈鸿宇《理想三旬》现场版（@网易云音乐）啊啊啊啊啊啊啊啊他俩
自新大陆,:#眼健康知识普及[超话]#注意:紫外线灯使用不规范会伤眼睛疫情当前，各种消毒方法被广泛使用。国家卫健委印发的《新型冠状病毒感染的肺炎诊疗方案试行第六版)》中提到，冠状病毒对紫外线敏感。而紫外线灯作为一种简便消毒方式，成为一些家庭的选择。不过紫外线灯消毒虽然便捷，但是使用不规范很伤眼。人的眼睛只要暴露在紫外线灯下几分钟，就会引起结膜、角膜上皮脱落，导致角膜急性发炎，长期照射还可能会引起白内障。此外，这种损伤患者可能当时没有感觉，有的需6-8小时以后才会出现明显的眼部症状，主要表现为双眼特别疼、泪流不止、睁不开眼、照镜子会发现眼睛肿了。这些情况就是典型的紫外线伤眼，类似于看了电焊，在眼科临床上叫做“电光性眼炎”。在治疗上，一般会使用营养角膜上皮的药或些消炎的药，如果是急性期疼痛感很强的话，需要在医生指导下适当使用一点表面麻醉剂止疼。大部分病人经过治疗几天内就可以恢复。
托尼富,:中方在能力范围内向外方提供支持，以分享诊疗方案为主，物资为辅。网友:我记得之前试剂盒送给日本，人家不用，所以口罩这东西吧，对日韩以市场价出售，对美国以十倍价格出售，这样就不会没人用了
浙江之声,:【温州市第六人民医院“小棉袄”护士，为患者开启“心理诊疗”】温州市第六人民医院六十三病区内，重症医学科护士毛佩芳在疫情面前无惧无畏。经过整整两周时间的抗“疫”，已出隔离病房的她又主动向领导申请再战一轮。除了日常的护理工作外，她在病房里带着患者跳起了舞，帮助患者树立抗击病毒的信心，放松心情舒缓压力，她也因此成了患者眼里的贴心“小棉袄”护士。#关注新冠肺炎##武汉加油，浙里挺你#（浙江之声记者林璐茗，通讯员：陈欢笑）http://t.cn/A67NoBIb
十六岁年遇见你,:#hpv九价##宁波hpv九价##杭州hpv九价##绍兴hpv九价#公告丨柯桥区妇保院有序恢复疫苗接种等业务疫情期间就诊指南根据当前疫情防控和“三复”工作要求，自2月28日起，柯桥区妇幼保健院有序恢复口腔科、眼科、耳鼻咽喉科、内镜中心、体检中心等科诊疗。疫苗接种门诊（卡介苗）周三上午、周六上午开放！HPV疫苗门诊自3月5日（周四）开放预约！本院科室均已有序开放！！！因目前仍处于疫情防控的关键时期，入院就诊的检查流程比较严格，望广大患者谅解。那么怎么顺利地来院就诊呢？快来跟着小编一起来看看吧！http://t.cn/A67NacnD
太阳之子Scott,:伊朗把中国诊疗方案翻译成波斯语!伊朗派30万个医疗小组逐户排查并翻译中国诊疗方案http://t.cn/A67CRGL7
北京顺义,:【顺义妇儿医院发热诊疗专区仅用10天建成投用】#全力抗疫情顺义在行动#为积极应对新冠肺炎疫情防控工作，妥善做好辖区内儿童和孕产妇发热患者的诊疗服务，在全区各相关部门的通力协助和全力支持下，顺义妇儿医院发热诊疗专区仅用10天建成投用。诊疗专区实现了呼吸道传染病筛查、救治功能的一体化，也实现了与医院正常诊疗区域的物理隔离、完全分开。
