珠宝匠,:浮力通知
智联招聘,:
W意霞,:疫情再不走，我的眉毛都要长得像太白星君一样挂在眼帘了——不会修眉的我跟长得飞快半个月要修剪一次的眉毛实在不搭
ZQ_以后要好好努力,:今天是复工第16天啦#疫情复工#
西北院企宣,:信息化护航战疫情高科技助力保复工戳↓信息化护航战疫情高科技助力保复工
扬州宽带网,【上海已追踪到浙江7例境外输入型病例在沪71名密切接触者！进一步明确涉外疫情防控和入境人员健康管理措施】#最新#今天下午举行的市新冠肺炎疫情防控工作领导小组新闻发布会透露：近期，多个国家和地区出现新冠肺炎确诊病例，数量持续攀升。鉴于当前境外疫情防控形势，结合上海实际，市防控工作领导小组及相关部门综合研判，进一步明确了涉外疫情防控和入境人员健康管理措施。所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。我们再次强调，上海对所有入境人员的管理坚持一视同仁，严格入口管理、严格落地管理、严格场所管理。也再次感谢社会各界及中外人士的积极支持和真诚理解。市卫健委通报：今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。#上海战疫##上海加油#
笑看公知狗们的表演,【16名韩国护士因疫情严重辞职？韩国官方发布"反转"信息】韩国一家医院被指定为新冠肺炎定点医院后，16名护士因太累集体辞职？近日，这一消息在中韩互联网上流传。不过，这一事件2日出现反转。韩国纽西斯通讯社2日报道称，这些护士并非因为疫情而辞职，他们早就计划在一二月份辞职。疫情突然来临后，他们还延迟了辞职时间，甚至有人现在仍奋斗在抗疫一线。今天，青瓦台方面也作出回应称，对这些人的辛苦被贬低而感到遗憾。（环视频）http://t.cn/A67oVbsF
客官月底了,#与爱同行，守护幸福##LoveTogetherHappinessForever#你的身边是否有这么一群特殊的新人？他们是辛勤奋战在抗疫一线的医护人员，亦是即将迈入幸福人生旅程的新婚夫妇，他们是全世界最美丽的人。为致敬这些心怀大爱的白衣天使，2020年2月27日起至6月30日，PRONOVIAS诚邀大家一同寻找身边因参加防疫工作以致婚礼延期的医护人员，我们将为其提供婚纱免费租赁。待春暖花开时，PRONOVIAS愿伴您共赴幸福旅程，不见不散。
阿西阿瓜,:18号站点取了件七天后还没动静25号象征性的点开了申诉后来被满屏的圈圈线线搞的退缩了结果第二天起来发现咦从站点运到进出港了就这样一直到昨天还在进出港我又象征性的点开了申诉鼓起勇气填满了表格最后想到该国疫情觉得算了催了吧也怪可怜的就退出了页面结果今天一刷发现咦已经安排上今晚航班了?
琼海交警,:#疫情在前交警不退#【“安全出行、疫情防控”两不误琼海交警开展宣传劝导工作】@海南省交警总队为打赢疫情防控阻击战，确保疫情防控期间道路交通形势平稳有序，琼海市公安局交通管理大队结合当前疫情防控工作，进一步强化交通安全宣传劝导和疫情防控常识宣传。在疫情防控期间，大队执勤人员通过“面对面”宣讲的方式，对二轮车不戴安全头盔、行人横跨护栏、二轮车超员、逆向行驶等不文明行为，采取“教育为主、处罚为辅”的方式进行劝导教育，对酒后驾驶、无牌无证、货车超载、客车超员等严重交通违法行为坚持从严查处。在整治、劝导各类交通违法行为的同时，大队执勤人员结合疫情防控工作，向当事人发放安全文明出行宣传小卡片，并向广大交通参与者宣传讲解“戴口罩、不聚集、少出行、多通风、勤洗手、强防护”的疫情防控安全常识，实现向交通参与者宣传道路交通安全知识与疫情防控安全常识两不误的效果，进一步提高群众的安全出行和防疫安全的意识。
清冷透骨,:终于疫情在祖国消停了，可国外严重了！！这回换我们中国人说话，你们外国的都别想进来！！
广东反邪教,【警惕邪教借疫情造谣这些谣言千万别信！】当前，正处于疫情防控关键期，邪教组织却不甘寂寞，趁机“谣动”疫情，一手炮制虚假消息进行破坏捣乱。视频中邪教的惯用伎俩要警惕了！↓↓↓提醒大家要擦亮双眼，不信谣不传谣，如发现有散布谣言鼓动民众言论的个人和组织，及时向公安机关报案。http://t.cn/A67CDqY4
经济视野,:《新疆一基层干部倒在战疫一线》自疫情发生，他一接到通知就迅速投入到防控工作中，一个月来，负责社区体温测量、垃圾清理、送菜送药等工作。新疆一基层干部倒在战疫一线
Lars的梦,:一个疫情让很多负债高的家庭真的面临破产哦～都TMD的加杆杆房贷车贷支付宝花呗借呗微信微博借款连劳资偶尔用的快递一百美图都天天鼓励你借贷更不要说不厌其烦的银行保险电话催您借贷看懂了没？一个大浪来了一切归零
杏花微雨-莹,:2020的02月是独特的，刷新了我的很多第一次，第一次在家办公，第一次可以在家一个月不出门，第一次月薪突破三万，并且庆祝体重重回5打头，我相信三月会更好，疫情终会过去，春暖必将花开，那时我可以扔掉口罩拥抱自然大连
0UvU0,【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。
朔州新闻网,:#抗击疫情山西在行动##山西迎战疫情#【会同八部门出台十条措施商务厅多举措支持外贸企业精准复工】http://t.cn/A679eaUa
平安白浪,:#疫情当前警察不退#【日行两万步一线防疫，他挑破脚泡继续前行】疫情当前，有这样一群人义无反顾，逆行而上，守在这场没有硝烟的战争的一线。每天冒着被感染的危险，穿梭于千家万户，扎实开展疫情宣传、排查、统计、重点人员管护等工作，用行动诠释着人民警察为人民的铮铮誓言。民警尹大勇就是其中的一员。尹大勇是十堰经济开发区公安分局白浪路派出所的社区民警，疫情期间，负责管理白浪村、小河村2个片区，其中白浪村有21个封堵点，小河村有6个封堵点，地处偏远，交通不便。疫情爆发后，他又被白浪街办火线任命为白浪村、小河村党支部副书记。看似升官了，其实身上的担子加重了，他不仅要履行社区民警的职责，还要开展好村党支部的各项工作。救助服务群众、核查重点人员、化解矛盾纠纷、排查两类人员、转运送治四类人员，以及封堵人员防疫知识培训等工作都需要他来做。尹大勇负责的最远的村距离派出所有四五公里的路程，因所里车辆紧张，没有交通工具的他就步行前往，而这一走就是30多天，腿走肿了，晚上回来敷一敷，第二天继续前行，脚走破了，长了水泡，时间长了变成了鸡眼，他托同事帮忙在药店买点药敷上，但双脚还是疼得厉害。他只好想办法找来一块泡沫，用它剪成一双鞋垫，垫在鞋里缓解疼痛。每天虽然很辛苦，但是看到自己的居民在警察的帮助下，生活逐渐恢复正常，他觉得一切都是值得的。
余姚卫生,:为确保我市企业稳步、有序、安全的复工复产，市卫健系统按照省里部署，市卫健系统组建了由卫生健康行政部门及下属医疗卫生健康单位业务骨干组成的驻企健康指导员队伍，“入编”各自联系区域的复工复产现场考察组，从专业角度指导做好疫情防控，进一步助力企业织密疫情防控网。
sosurreal-,一名新加坡学生疑因新冠病毒疫情引起的种族歧视，在英国被一群青少年围殴至重伤，随后其在Facebook发文寻求证人。3月2日，在英国伦敦念书已有两年的Jonathan发了两张被殴打后的照片，述说自己的经历。他说自己是在2月24日晚上9时15分在伦敦牛津街散步时被一群青少年袭击。照片显示，他右眼红肿，留下一大块淤青，鼻子也在流血。Jonathan说：“我走过一群青年男子时，有一人对着我看，说了一句‘冠状病毒’。我听到后很惊讶，转头看他。他发现我看他后对我大喊‘你竟敢瞪我！你这个XXX。’我没听出最后一句粗话，三秒之内他就对我挥拳。他的另外三四个朋友也开始攻击我，他们年龄都看起来不超过20岁。最后，还没等警察赶来，这群青少年就逃走了。”他到医院求医后发现脸部多处有骨折，医生表示或要进行改造手术来修复脸部骨头。
元江法院,:《关于政法机关依法保障疫情防控期间复工复产的意见》全文请收！《关于政法机关依法保障疫情防控期间复工复产的意见》全文请收！
杭锦发布,:【复工复产，不负春！】#万众一心抗击疫情#不负好春光防“疫”不松劲儿，发展紧跟上抓时间抢农时秧苗插起来车轮滚起来塔吊摆起来轰隆隆的设备转起来可爱的人儿陆续上岗了　　详情请戳：复工复产，不负春！
哈尔滨日报,:【我省疫情期间医疗废物全部无害化处置，55个防疫项目豁免环评审批】#防控疫情我们共同努力##哈尔滨身边事#明哲记者李木双日前，省生态环境厅发布消息，新冠肺炎疫情发生后，全省生态环境系统聚焦医废处置、水质安全、应急监测、防疫项目审批等重点领域和关键环节，为打赢疫情防控阻击战提供支撑保障。目前，全省医疗废物全部无害化处置，生态环境质量未受疫情影响，55个豁免环评审批的防疫项目已有44个投产。在医疗废物处置监管方面，省生态环境厅成立疫情医疗废物管理工作专班，确保医疗废物“应收尽收、应处尽处”，组织各地对涉及医疗废物收集、运输、贮存、处置的单位及新冠肺炎收治医疗机构进行重点排查，综合筛选出14个以生活垃圾焚烧和火力发电为主要处置方式的企业，作为医疗废物备选应急处置企业。目前，全省19个医疗废物集中处置设施全部正常运行，1月24日至3月2日，全省累计处置医疗废物2038.13吨，其中疫情医疗废物360.27吨，医疗废物处置率100%。在医疗污水处理监管方面，开展全省定点医疗机构及相关城镇污水处理厂情况调查和监督执法，要求没有固定处理设施的医院建设临时污水处理设施或收集消毒后运送到污水处理厂集中处理，并对149个县级以上水源地进行现场监督检查。截至3月1日，全省生态环境系统共检查城镇生活污水处理厂2191家(次)、饮用水水源地1195处(次)。全省130家定点医院、102个城镇污水处理厂、198个隔离点、4家重症救治中心产生的污水均采取了消毒处理。省生态环境厅全力做好生态环境应急监测保障，科学设置监测断面，增加疫情期间对余氯的现场监测。2月1日至3月1日，全省13个市(地)城市空气质量优良率92.0％，哈尔滨为80.0％，比去年同期分别提高17.8个和38.6个百分点。23个地表水断面I-Ⅲ类水质比例为100％，18个饮用水水源地水质类别为Ⅲ类，同比均无异常。总体看，全省地表水、饮用水水源地和城市环境空气质量稳定，生态环境质量未受疫情影响。省生态环境厅进一步深化“放管服”改革，减轻企业负担，实施包容审慎监管，主动靠前帮扶，实行“不见面”政务服务。截至3月1日，全省生态环境系统通过采取豁免审批、承诺备案等方式，服务保障55个防疫项目，其中44个已投产；全省300个“百大项目”中，已有牡丹江至佳木斯客专、多宝山铜矿、富裕通用机场等101个项目通过环评审批，占比超过三分之一。下一步，省生态环境厅将在坚决打赢疫情防控阻击战的同时，结合各市(地)疫情防控形势，有序推进污染防治攻坚战和中央环保督察反馈间题整改，坚决如期完成全面建成小康社会的“环保答卷”。
旺仔小甜饼呀,【#北大毕业卖米粉月亏2000万#，感谢网友提前收货】北大毕业的米粉店老板张天一，过去一个月经历了60家门店停业，500员工等着发工资，亏损2000万的压力。2月中旬他决定转向网店，吃货们几天就买断了货。电商平台的秒到账功能也让他快速回笼资金，挺过难关。他还感谢提前确认收货的网友，帮忙加速回血。http://t.cn/A67CkNKT
家庭报官微,:#抗击新型肺炎我们在行动#【新冠病毒疫情期间，不同人群健康防护指导·漫画版——伤残人士篇】多换气，保整洁；手卫生，随时做；复健时，戴口罩；需就医，提前约；车出行，多开窗；就医时，缩时间；回到家，勤消毒。#涨姿势#@卫生计生文化推广平台@健康中国@人民日报@央视新闻@新浪娱乐@腾讯娱乐@阿里娱乐@网易娱乐频道@凤凰网娱乐@世界卫生组织@中国广告协会@北京电视台@每日文娱播报@芒果TV@爱奇艺娱乐@优酷娱乐@搜狐娱乐@新华网@新京报@澎湃新闻@阿里巴巴公益@新浪新闻客户端@中国新闻网@头条新闻@环球网@中国青年报@封面新闻@新华视点@光明日报@武汉晚报@武汉发布@武汉中心医院@健康武汉官微
四川观察在现场,:【山东首例隐瞒湖北接触史确诊被判10个月】3月1日，山东首例疫情防控期间妨害传染病防治罪一案宣判，田某某被判处有期徒刑10个月。1月初，田某某出现发热、干咳等症状，后被确诊新冠肺炎。因其故意隐瞒湖北接触史，给37人造成被感染传播的危险，警方认定田某某涉嫌妨害传染病防治罪。http://t.cn/A67NAwq1
平顶山市教体局,:【疫情期间如何做到人宅心不“宅”？来听心理学家4点建议】疫情期间，长期宅在家里，非常着急焦虑，天天唉声叹气，该怎么缓解呢？随小编一起来听@华中师范大学心理学院副教授温芳芳的详解，疫情期间师生常见心理问题如何调整↓↓↓
妙蛙种子跟胡萝卜,:为我短暂的爬过bjyx短暂的粉过xz而懊悔不已真的挺没意思的…做错事立正挨打躺平任嘲不会嘛？现在天天不管啥都能看到xz乱七八糟乌烟瘴气挺讨厌的挺没意思的现在视线里都不想看见xz这人更别谈与之相关的了疫情期间找点舒服的快乐的事情做做不好吗
十年圆缺,2.5发出一句“你好”2.28说不出一句“再见”
绿森商城官方微博,:多国疫情升级如何科学防疫来看看世卫组织给出9项防疫建议转发周知[加油][加油][加油]
江苏梨,:【高校老师网课直播教烧菜：学生课后变厨艺大赛】因疫情高校延期开学，江苏淮安一高校烹调专业的老师尹忞强，直播教授学生制作菜肴。他称，直播上课后学生的积极性很高，在家会把课堂上学的菜做给家里人品尝，互动性更高。一手video的秒拍视频
-三奈-,:好想骂那几个从意大利回来的，虽然在丽水，但是也太坏了，我好想吃海底捞了，求求疫情快过去
泸州青年,:【送别！#武汉市中心医院梅仲明医生感染去世#】武汉中心医院微信公号发布公告：武汉市中心医院眼科副主任、主任医师梅仲明同志，在抗击新冠肺炎疫情工作中不幸染病，经全力抢救无效，于2020年3月3日中午12时在武汉市金银潭医院去世，享年57岁。公告
妙蛙种子跟胡萝卜,:为我短暂的爬过bjyx短暂的粉过xz而懊悔不已真的挺没意思的…做错事立正挨打躺平任嘲不会嘛？现在天天不管啥都能看到xz乱七八糟乌烟瘴气挺讨厌的挺没意思的现在视线里都不想看见xz这人更别谈与之相关的了疫情期间找点舒服的快乐的事情做做不好吗
十年圆缺,2.5发出一句“你好”2.28说不出一句“再见”
绿森商城官方微博,:多国疫情升级如何科学防疫来看看世卫组织给出9项防疫建议转发周知[加油][加油][加油]
江苏梨,:【高校老师网课直播教烧菜：学生课后变厨艺大赛】因疫情高校延期开学，江苏淮安一高校烹调专业的老师尹忞强，直播教授学生制作菜肴。他称，直播上课后学生的积极性很高，在家会把课堂上学的菜做给家里人品尝，互动性更高。一手video的秒拍视频
-三奈-,:好想骂那几个从意大利回来的，虽然在丽水，但是也太坏了，我好想吃海底捞了，求求疫情快过去
泸州青年,:【送别！#武汉市中心医院梅仲明医生感染去世#】武汉中心医院微信公号发布公告：武汉市中心医院眼科副主任、主任医师梅仲明同志，在抗击新冠肺炎疫情工作中不幸染病，经全力抢救无效，于2020年3月3日中午12时在武汉市金银潭医院去世，享年57岁。公告
兰西发布-,:http://t.cn/A67NAw1H#抗击肺炎绥化在行动##战“疫”备耕复产进行时##抗击肺炎疫情兰西在行动#没点才艺当不了医护！大爷闹情绪，河南护士大姐一嗓子震住了！
孙明展,:疫情带来的企业停摆、经济损失，大家也都有目共睹。这段时间，疫情逐渐好转，很多网友说，疫情过后要狠狠地吃吃喝喝买买，好好犒劳自己。于是，有人预测，疫情后这波报复性消费，可能会让经济快速恢复，就像2003年非典过后那样。到底会不会是这样？茶余饭后，我们来聊聊这个问题。我正在看#理财100问Vol.168｜疫情后经济会报复性上涨吗？#@腾讯视频http://t.cn/A67NwWVy
正义南康,:【外交部：46个国家和6个国际组织捐助的疫情防控物资已运抵中国】外交部发言人赵立坚3日说，截至3月2日，共有62个国家和7个国际组织承诺向中方捐助疫情防控物资，其中46个国家和6个国际组织的相关物资已运抵中国，12个国家和2个国际组织已向中方提供或宣布提供食品、现金等其他形式的物资支持。中方对此深表感谢，铭记在心。中方秉持人类命运共同体理念，将在继续做好国内防控工作的同时，加强抗击疫情的国际和地区合作。（新华视点）
一只夏目家的阳,:疫情期间，我的一日一餐流水外加蒸蛋糕和粥总结一下，万物皆可配煎蛋
利舰频道,:大利好！昆明房地产等项目可在1年内缴纳土地出让金而且……记者２日从云南省自然资源厅获悉，对受疫情影响较大的行业，属商业、房地产等经营性项目的可最长于１年缴纳土地出让金，属工业项目的可最长于两年缴纳土地出让金，原土地出让合同约定缴纳期限小于规定最长期限的，经本级政府批准，可根据项目受疫情影响实际调整合同缴纳期限，适当延期缴纳。因疫情影响未能按期缴纳土地出让金的，疫情持续期间不计算土地出让金未缴纳部分利息和滞纳金。主动对接项目投资主管部门、提前做好相关政策储备、统筹调剂计划指标、开通用地报批绿色通道……多措并举抓紧做好全省“五网”和“补短板、强弱项”等基础设施项目用地保障，重点做好“能通全通”和“互联互通”项目的用地报批工作。疫情防控以来，全省共批准建设项目用地２．９４万亩。此外，全省各级自然资源主管部门采取“不见面”方式，利用电话、短信、微信等对建设用地审批相关情况进行沟通联系，完成用地审批。省自然资源厅采取电话、代办、邮寄等多种方式减少在呈报材料、补件和领取批文三个环节“见面”办理，保障审批效率和服务质量（春城晚报记者张勇）PS：昆明最新购房投资榜单和新楼盘数据可点击公号菜单查询.温馨提示：《昆明房地产观察》推文内容如有侵权请您告知我们会在第一时间处理或撤销；互联网是一个资源共享的生态圈，我们崇尚分享。往期房价：昆明房价19年1月-12月各区房价走势及数据18年1月-12月昆明55区房价走势图发布昆明房价走势数据18年4月-19年3月昆明房价走势18年1月-18年12月昆明房价19年08月29日最新发布昆明房价19年04月26日最新发布昆明房价19年01月31日最新发布昆明房价18年11月18日最新发布昆明房价18年09月10日重磅发布往期精彩：重磅精华！昆明各区500个热门小区最新房价数据火热出炉58安居重磅买房数据发布：未来房价如何？政策利好城市及价值洼地受欢迎昆明楼市真实情况！年度报告发布，2020年昆明房价预测分析昆明哪个区涨最多？2018年1月-12月昆明55区房价走势图独家发布昆明房价同比涨幅全国第二！看下你在昆明买的房子到底多值钱？昆明、西安、成都、重庆、郑州这五个城市未来三年房价会怎样？深度剖析：昆明房地产楼市2019年下半年之后房价预判！重磅！昆明强势入选全球三线城市！现在起昆明有房人将身价暴涨！2020年昆明房价还会涨吗？11份重磅报告：研判中国房地产未来走势微信公号：昆明房地产观察(kmfdcgc)昆明买房刚需改善与投资最强大脑
石家庄的事儿,:#石家庄的事儿#抗击疫情，同舟共冀！新型冠状病毒肺炎疫情地图，实时动态追踪，官方数据权威发布，了解7*24最新疫情快讯，掌握各地实时疫情信息，戳这里→http://t.cn/A6PDdOH2
zhi洁儿,:#随手拍#疫情在家的n天zhi洁儿的微博视频
彼岸东宝贝,:因为这个疫情，已经一个多月没在外面吃饭了。想念螃蟹米粉、菜脯蒸鱼、蒜蓉竹节蚌、药材虾、老坛子、麻辣小龙虾、麻辣火锅、生鱼片。。。
知南而上嘎油,:本bot今天出门，现在是宽慰人心的原本看网络上各种消息，差不多以为外面车水马龙就差自己没工作没学上了但是并没有，路面上车子和行人很少，大家还是待工状态。所以稍微宽一点心，趁这段时间睡足觉也好等疫情过去，就有三十年的班要上，不急的
四川广播电视台,:【有序采收引导复工丹棱春茶上市按下“快进键”】眼下，气温逐渐升高，嫩芽吐露，丹棱县各茶区也开始进入春茶采摘期。2月29日，丹棱县顺龙乡虎皮寨村2组的茶山上，茶农们背着篮子，戴着口罩，分散在茶园中，忙着采摘春茶。而此次疫情对该村的茶叶销售有所影响，外地茶商较往年有所减少，“村上正在努力协调，做好茶商服务，吸引更多茶商，并督促村民们在做好防疫的同时，抓紧时间采收春茶，为销售旺季做好准备。”万年村党支部书记任清元说道。从一片嫩绿的叶芽，到杯中的一片茶叶，一叶小茶叶带富一方人。茶产业作为丹棱县新经济增长点，疫情防控期间，该县组织茶企以及产业链上众多从业者积极应对，在全面做好防护的同时，有序组织复工复产，并通过转型升级线上销售渠道，加大资金投入，多措并举确保茶叶生产和疫情防控“两不误”，为茶产业发展续航增能。
独爱个性Dd,1001位女性，就有1001种发光的样子，巴黎卡诗，用专业的产品和奢华的服务为每位女性从“头”打造#巴黎奢护实力发光#的闪耀机密，呵护她们爱自己的自信和勇敢。前往巴黎卡诗天猫官方旗舰店http://t.cn/A67SaJZC让实力和专业宠爱你的秀发#爱自己就是了不起#
朝阳党史,:践行初心使命强化担当作为区委党史办积极做好疫情防控工作http://t.cn/A67NAZrF
浙江长龙航空,:【#疫情防控交通动态#西安机场落地正常放行】即日起，由广州、深圳、杭州、温州飞往西安的航班落地，无需整机隔离，正常放行，旅客扫码登记即可进入。#西安在行动##西安一码通#@西安咸阳国际机场✈长龙航空西安地区在飞航线请看下图👇👇👇
浙江长龙航空,:【#疫情防控交通动态#西安机场落地正常放行】即日起，由广州、深圳、杭州、温州飞往西安的航班落地，无需整机隔离，正常放行，旅客扫码登记即可进入。#西安在行动##西安一码通#@西安咸阳国际机场✈长龙航空西安地区在飞航线请看下图👇👇👇
朝阳党史,:践行初心使命强化担当作为区委党史办积极做好疫情防控工作http://t.cn/A67NAZrF
独爱个性Dd,1001位女性，就有1001种发光的样子，巴黎卡诗，用专业的产品和奢华的服务为每位女性从“头”打造#巴黎奢护实力发光#的闪耀机密，呵护她们爱自己的自信和勇敢。前往巴黎卡诗天猫官方旗舰店http://t.cn/A67SaJZC让实力和专业宠爱你的秀发#爱自己就是了不起#
四川广播电视台,:【有序采收引导复工丹棱春茶上市按下“快进键”】眼下，气温逐渐升高，嫩芽吐露，丹棱县各茶区也开始进入春茶采摘期。2月29日，丹棱县顺龙乡虎皮寨村2组的茶山上，茶农们背着篮子，戴着口罩，分散在茶园中，忙着采摘春茶。而此次疫情对该村的茶叶销售有所影响，外地茶商较往年有所减少，“村上正在努力协调，做好茶商服务，吸引更多茶商，并督促村民们在做好防疫的同时，抓紧时间采收春茶，为销售旺季做好准备。”万年村党支部书记任清元说道。从一片嫩绿的叶芽，到杯中的一片茶叶，一叶小茶叶带富一方人。茶产业作为丹棱县新经济增长点，疫情防控期间，该县组织茶企以及产业链上众多从业者积极应对，在全面做好防护的同时，有序组织复工复产，并通过转型升级线上销售渠道，加大资金投入，多措并举确保茶叶生产和疫情防控“两不误”，为茶产业发展续航增能。
经济视野,:《新疆一基层干部倒在战疫一线》自疫情发生，他一接到通知就迅速投入到防控工作中，一个月来，负责社区体温测量、垃圾清理、送菜送药等工作。新疆一基层干部倒在战疫一线
妙蛙种子跟胡萝卜,:为我短暂的爬过bjyx短暂的粉过xz而懊悔不已真的挺没意思的…做错事立正挨打躺平任嘲不会嘛？现在天天不管啥都能看到xz乱七八糟乌烟瘴气挺讨厌的挺没意思的现在视线里都不想看见xz这人更别谈与之相关的了疫情期间找点舒服的快乐的事情做做不好吗
十年圆缺,2.5发出一句“你好”2.28说不出一句“再见”
绿森商城官方微博,:多国疫情升级如何科学防疫来看看世卫组织给出9项防疫建议转发周知[加油][加油][加油]
江苏梨,:【高校老师网课直播教烧菜：学生课后变厨艺大赛】因疫情高校延期开学，江苏淮安一高校烹调专业的老师尹忞强，直播教授学生制作菜肴。他称，直播上课后学生的积极性很高，在家会把课堂上学的菜做给家里人品尝，互动性更高。一手video的秒拍视频
-三奈-,:好想骂那几个从意大利回来的，虽然在丽水，但是也太坏了，我好想吃海底捞了，求求疫情快过去
泸州青年,:【送别！#武汉市中心医院梅仲明医生感染去世#】武汉中心医院微信公号发布公告：武汉市中心医院眼科副主任、主任医师梅仲明同志，在抗击新冠肺炎疫情工作中不幸染病，经全力抢救无效，于2020年3月3日中午12时在武汉市金银潭医院去世，享年57岁。公告
兰西发布-,:http://t.cn/A67NAw1H#抗击肺炎绥化在行动##战“疫”备耕复产进行时##抗击肺炎疫情兰西在行动#没点才艺当不了医护！大爷闹情绪，河南护士大姐一嗓子震住了！
这里是淮南,#淮南抗疫在行动#【淮南艺术家用作品为抗击疫情助力加油！】via淮南日报淮南艺术家用作品为抗击疫情助力加油！
木木子离,马云厉害了
威海交警四大队,#威海身边事#【
