卓明信援通讯社,:#最新疫情地图##疫情地图#湖北省新型冠状病毒肺炎县级现有确诊病例数据分布图，数据截至3月2日24时。3月2日，湖北全省现有病例28216例，较前一日下降2327例，降速7.62%。#应急管理[超话]#
四川监狱,:【湖北省神农架林区发生野猪非洲猪瘟疫情，共发现死亡野猪7头】#神农架发生野猪非洲猪瘟疫情#农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。（澎湃新闻）
荆楚网,:【#湖北涉疫求助可打119#】#湖北加油武汉挺住#根据应急管理部部署，日前，湖北省各市消防救援支队发布公告，119报警服务台受理涉疫报警求助。消防救援队伍全面受理社会单位和广大人民群众涉及人员转送、物资转运、洗消杀毒、排水排涝、紧急送水、高空救助等各项求助。提醒：求助通道留给真正需要的人，请勿随意拨打。#全力抗击新型冠状病毒肺炎#（央视网）http://t.cn/A67CV3TB
龙泉驿职工之家,:#武汉有12万人日均步数过万#【封城40天，有12万人日均步数过万】1月23日，武汉因新冠肺炎疫情第一次关上大门。在湖北被“隔离”的40天里，6.3万名公安民警、5.6万名辅警，逆行于荆楚大地，不分警种和岗位，坚守在抗疫一线。（视频来源：湖北省公安厅）http://t.cn/A67p2lSEhttp://t.cn/A67p2l0A
羊城晚报金羊网,:#共同战疫#【#我要记住你的样子#
冬旭儿,:湖北省竹山县战“疫”纪实http://t.cn/A67pAdTJ
948交通广播,:【#湖北制定出台对医护人员关爱政策#】#武汉新型冠状病毒肺炎疫情防控#湖北省人民政府副省长杨云彦3日在发布会上表示，湖北省制定出台了一系列关心关爱医护人员的政策措施，其中包括：①改善医护人员工作和休息条件，合理安排作息时间，加强健康防护，开展心理疏导，强化人文关怀；②对有家庭困难的一线医护人员家属，建立对口帮扶机制；③落实医护人员临时性的补助，对一线医护人员发放一次性的慰问补贴，核增绩效工资总量，落实卫生防疫津贴，开通工伤认定通道，鼓励建立专项保险；④对有突出贡献的一线医护人员，包括团队，及时开展表彰和奖励。（中新网）
香港紫荆卫视,:【湖北省神农架林区发生野猪非洲猪瘟疫情，共发现死亡野猪7头】#紫荆快讯#农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。
今晚报,:【#武汉将有序关停方舱医院#】今天在湖北疫情防控发布会上，湖北省卫健委副主任涂远超表示：高风险区如武汉市，要继续把疫情防控作为当前头等大事，同时尽最大努力满足患者正常的医疗需求。后续根据疫情防控实际，#武汉将逐步缩减新冠肺炎定点医院#，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。@央视新闻http://t.cn/A67NTOFk
湖北禁毒626,:【#湖北一男子发热后聚众打牌#致多名家人和牌友被感染】3月2日，湖北省黄石市政府通报一起涉嫌妨害传染病防治罪案件。2月21日至23日，太子镇老屋村4人先后被确诊为新冠肺炎，其中，村民潘某松和王某疫情期间频繁出入村子。而潘某松在出现发热、咳嗽症状后，恶意隐瞒，聚集村民打牌，导致多名家人和牌友被感染，该村确诊人数已达7人。因对村民放任自流，玩忽职守，该村村支书王某凤被撤职，警方对其和两村民以涉嫌妨害传染病防治罪立案侦查。http://t.cn/A67NKPTv
MAX517,:D41今天湖北省依旧没有任何的文件通知。看到网上各种说10号15号可以解放，可是钟南山专家说四月底。不知道还有多久，感觉是遥遥无期。即使能走了又怎样?估计开封了各省会紧急下发文件采取措施吧，一如接到社区的电话说疫情结束前不要回去，否则自费集中隔离;一如接到宝安区的短信，请湖北人安心待在家。今天还接到了领导的通知，说在家办公的话，薪资可能会按一定百分比发放，不会全额发放。其实早就想到了，接受的时候多了一份坦然吧。其实在家也挺好的，每天有吃有喝的，醒来就能上班，下班就能吃饭。不像以前在外面什么都要自己做。不过长久这样下去，真的要把家底吃光光哦，毕竟爸妈也不能工作，没有收入。庆幸的是年前以为哥哥会来过年，家里买了很多肉菜，每顿都能吃的挺好，青菜后门打开就能摘到，这还是多亏了奶奶的辛勤劳作。在家真的容易焦虑，闲下来就喜欢乱想。压力也是挺大的，希望希望尽快好起来吧！还有前天买的李宁(华晨宇心选)鞋子到了！还不错，只可惜寄到深圳了，也不能试穿。希望一切都好吧。晚安
生命时报,:【湖北省神农架林区发生野猪非洲猪瘟疫情，共发现死亡野猪7头】农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。（澎湃新闻）
中国红十字基金会,:#红基会项目进展#3月2日，中国红十字基金会接收杜邦公司捐赠的价值80万元6080盒HOWARU®益生菌产品送抵湖北武汉，陆续发放至武汉科技大学天佑医院、湖北省第三人民医院等共9家医院。该批捐赠物资于2月27日完成生产，2月28日中国邮政开辟绿色通道免费运送该批捐赠物资至武汉一线医院。#小红鞠躬致谢捐赠人#此前，杜邦公司通过中国红十字基金会捐赠的1.6万件个人防护服已发放至武汉协和医院、武汉同济医院、武汉雷神山医院和武汉火神山医院4所医院，为抗击疫情一线医院提供防控物资支持保障。#全球抗疫第一线#
祈祷的小麻雀,:湖北省内小规模纳税人3个月内免征增值税，湖北省外由现有征收率3%减到1%http://t.cn/A67Nc8am
TheLancet-Vivian,:【湖北卫健委：42322名医务人员支援湖北，钟南山李兰娟等10个院士团队齐聚湖北】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。
一笑倾城居所,:现在补发上月28日的微博：今天是中国台湾摇滚歌手、演员、主持人高凌风（1950年2月28日～2014年2月17日）诞生70周年的日子。他生于高雄县冈山镇（今高雄市冈山区）的空军眷村，本名葛元诚，祖籍湖北省武汉市。1969年组建第一个乐队，1974年签约歌林唱片公司，并推出首张国语专辑《女朋友》，1975年主演银幕处女作《剪剪风》，1982年推出的《冬天里的一把火》成为经典曲目。2001年重返演艺圈，在《2100全民乱讲》及《全民大闷锅》等模彷秀节目中模仿前“行政院长”张俊雄和佛光山星云大师等名人。演艺事业之外，高凌风还涉足商场，并曾经多次参与政治选举。1986年与美国亚裔小姐冠军文洁结婚，并在1991年与文洁离异。1995年与金友庄结婚。2014年2月17日晚间7时50分，高凌风病逝于新店慈济医院，享年63岁。
爱信阳,:#新型冠状病毒感染肺炎#【好消息！#湖北新冠肺炎患者治愈率大幅提升#】截至2日24时，湖北省共指定定点救治医院238家，当日新增出院2410例，累计治愈出院36167人，治愈率从2月12日的7.14%持续提升至3月2日的53.81%。这是记者从3日召开的湖北省新型冠状病毒肺炎疫情防控工作指挥部第38场新闻发布会上获悉的。　　湖北省副省长杨云彦说，湖北省在中央指导组的指导下，推动救治关口前移，解决患者收治难题；全力救治重症患者；预防轻症转重症，减少重症患者比例；全力提高新冠肺炎患者治愈率、降低病亡率。目前，全省各地市危重症床位配置基本满足救治需求。武汉市重症救治床位已由人等床转变为床等人。截至3月2日，同济光谷、协和医院等10家危重症救治定点医院共开放危重症床位7286张，其中负压ICU病床245张，共收治危重症、重症患者3728名。武汉市新冠肺炎患者病亡率正在逐渐下降。　　湖北省卫生健康委员会副主任涂远超说，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈巍、仝小林等10位业内著名的院士齐聚湖北，330多支医疗队、超4万名医务工作者从全国各地支援湖北。其中重症医学科、感染科、呼吸科、心血管科和麻醉科专家达到15000多人，援助湖北医疗队直接接管病区，在患者救治中发挥重要作用。　　杨云彦介绍，按照“四早”原则，湖北提升核酸检测效率，及时发现确诊病例，着力提高收治能力，加大建院增床力度，优化医疗资源配置，实现确诊病人、疑似病人应收尽收、应治尽治，提高医疗救治能力。“当前湖北疫情形势出现积极变化：发热病人人数持续下降；疑似病例和新增病例明显减少；密切接触者隔离人数持续上升；出院病例持续加大，重症和危重症病例、病亡人数持续下降；资源力量正在聚集，医疗救治能力稳步增强。”杨云彦表示，虽然出现积极变化，但湖北疫情防控形势依然严峻复杂，当前面临的主要问题是：消化存量的任务依然艰巨；增量风险仍然没有得到根本控制；疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；老旧社区、特殊场所等地方还存在薄弱环节。（@新华视点）#信阳生活#http://t.cn/RJydydJ
锦上花开,:湖北省司法厅连夜开会：向全国人民表示深深歉意http://t.cn/A67NEQGJ
华仔的天涯,【湖北省卫健委：#钟南山李兰娟等10个院士团队齐聚湖北#】3月3日，湖北省卫健委副主任涂远超表示，在中央赴湖北指导组协调下，钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈巍、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省参加抗击疫情相关工作。有330多支医疗队、超4万名医务工作者支援湖北，他们在救治中发挥了重要作用。#聚焦新冠肺炎疫情#@新京报我们视频http://t.cn/A67pPa5s
wlcy天涯茶友会微蓝,:云南农大首次发现：茶叶中的有效成分EGCG结合新冠病毒S蛋白阻断与人受体结合，茶为国饮，为保障居民日常饮茶生活需要，茶叶被纳入湖北省防疫期间重要生活物资保供范围！wlcy天涯茶友会微蓝的微博视频
月隐寒霜,:#湖北消化存量任务依然艰巨##湖北将继续采取最严格防控措施#三月三日，湖北省新型冠狀病毒肺炎疫情防控工作指揮部召開第三十八場新聞發佈會。湖北省人民政府副省長楊雲彦介紹，目前湖北疫情形勢依然嚴峻複雜，還要繼續採取最嚴格的防控措施。當前面臨的主要問題是：①消化存量的任務依然艱巨，全省還有二萬多名患者在院救治，六千多名重症、危重症患者仍需加大救治力度；②增量風險仍然沒有得到根本控制；③疫情防控仍具有不確定性，近期陸續發現一些無症狀檢測陽性患者，甚至極少數出院患者複檢陽性的現象；④疫情防控積極變化的基础還比較脆弱，像老舊社區、特殊場所等地方，還存在著薄弱環節。
政务新媒体学院,【3月2日湖北省发布类政务微博整体运行情况】@微博政务与湖北省委网信办联合发布湖北省发布类政务微博运行情况：3月2日，湖北省发布账号累计发博675条，平均日发布量17.7条，总阅读量为1704万，互动量为1.42万。#抗疫行动#详情戳图了解>>>（数据支持@铀媒）
GeekPark,:【拼多多上架专供湖北平价口罩，每天300万只均价低于2元】3月3日，拼多多方面宣布，为进一步做好抗疫物资保障工作，平台将联合「湖北省新冠肺炎疫情防控指挥部」所指定销售渠道，每天向湖北地区定向提供300万只一次性口罩，售价每只不到2元。目前，收货地址为湖北地区的拼多多用户可通过「限时秒杀」置顶的口罩专区购买这批口罩。（界面新闻）
FM963,:【湖北省副省长：#湖北消化存量任务依然艰巨#】#湖北将继续采取最严格防控措施#3月3日，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。湖北省人民政府副省长杨云彦介绍，目前湖北疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。@中国新闻网
鱼小烊,:2020年3月2日湖北省新冠肺炎疫情情况http://t.cn/A67KueIK
寡人很聪明的,:#湖北什么时候解封##我们是健康的##湖北政府一刀切#@湖北省政府@光明日报我在湖北仙桃市！很多和我一样的朋友都有我这样的心声。我市已连续5天无新增病历，为何我们还得不到靠自己养家糊口的权利？那些骂我们要到处跑的朋友们你们换位思考一下事情发生在你们身上你们作何感想？在家不能出去，只是问一下什么时候出去都被人骂我们不顾大局，出去又被其他省份歧视。房贷，车贷，外地的房租已经交两个月共计3万多！本来在外地小本经营现在面临客户流失，工人跳槽。只恳请政府给个准话，如果在近期我们好准备维护客户，线上找工作。如果时间很长我们可以准备变卖外地的资产，减少没必要的损失！
FM963,:【湖北加油！#四川60万毫升血液驰援湖北#】3月3日清晨，四川省第二批支援湖北的60万毫升血液启运出发。第二批血液由德阳、绵阳、遂宁、南充、广安、雅安6市中心血站共同筹备。下午2时40分，送血车队到达包茂高速达州南收费站。约10分钟后，湖北省宜昌、荆州两市中心血站的两辆运血车到达交接地点。工作人员纷纷右手握拳，向他们表达问候与祝福，“湖北加油！武汉加油！”@封面新闻
单词报时小超人,湖北省真的不止武汉一个城市，还有很多其他的城市，我就是其他城市中的一员，我们真的身处在水深火热之中，可能会有外省的人来抬杠，大家都一样啊，但是请你相信我，真的不一样。下面我就来一一分析湖北省内除武汉以外其他城市的状况。1:基本物资，出门是决不允许的，必须联系小区物业统一采购，我江苏浙江的朋友拥有通行证可以正常出门了，虽然商场很多店铺没开门，但是出门买杯咖啡便利店买个吃的完全没问题，对于在湖北的人来说，想出门，痴心妄想。2:迟迟不能返岗。外省的交通方式已经陆续恢复，而湖北，火车不通，飞机没有。肯定会有人说，疫情就是从武汉传出去的，湖北管控的严格一点是合理的。可是湖北省除武汉以外的部分城市也实现多日增长为0了啊。再给大家举个例子，距离武汉300公里的河南和湖南部分城市解封了，可是距离武汉500公里的湖北恩施还未解封，这是为什么呢？河南信阳市的感染人数甚至多于湖北恩施，就因为恩施地处湖北省内吗？还是说这个病毒只在湖北省内传播呢？很明显一刀切的政策就是不合理的。湖北省人口除开武汉市还有近5000万人口，而这5000万人口却迟迟不能返岗工作。谁替健康的湖北人考虑过吗？我给北京的社区打电话，社区叫我别回来，表妹给深圳的社区打电话，社区说已经把你们湖北的水电全断了，别回来了，公司也叫湖北的员工别回来，但是却变相的开始裁员了。从封城开始，已经隔离了40天了，我们愿意为了防护疫情做最大的牺牲，但是现在想要返岗却遥遥无期。人都是需要生活，没有工资，就无法偿还肩负的高额的房贷车贷等等贷款，还有私营业主，无法承担房租和员工各种开销，对于滞留在湖北的外省人以及外省务工人员来说，湖北人付出的代价远比你想象中多的多。很多人说忍一忍，配合一下，可是为什么外省的部分城市能返岗开工，偏偏湖北除武汉以外的城市不能呢？我支持封禁，但也希望官方能考虑下务工人员的感受，考虑一下除开武汉市以外湖北其他的居民，我们只想要正常的生活，努力工作，普普通通的活着。浙江省也有感染严重的地区，为什么湖北省不能参考一下浙江省的做法，按疫情轻重程度分区制定方案呢？疫情较轻的地区，在不影响防疫情况下给予适量放开，以科学的方式来控制疫情，保障群众的生产和生活呢？我相信每一个人都能配合健康的检查，做好防护，去工作的城市隔离14天再回到工作岗位上的。我们只想要生活下去，活下去。
内江政经事儿,:#内江30吨酒精援驰湖北3月3日11时许，一辆满载着货物的车辆从内江市资中县银山鸿展厂区驶出，开往湖北省。
湖北禁毒626,:【300万！武汉一公司涉嫌哄抬价格被“顶格”罚款】3月3日，湖北省武汉市市场监督管理局发出行政处罚听证告知书，拟对武汉土家二妹餐饮服务有限公司哄抬价格违法行为“顶格”罚款300万元。经查，2020年2月4日至2020年2月29日，该公司在电商平台上销售蔬菜，订单量共计6630份。其中，西红柿、四季豆、胡萝卜价格是武汉白沙洲农副产品大市场有限公司提供的同期上述蔬菜价格的数倍。这种销售方式客观上造成了消费者的恐慌情绪，推动了新冠肺炎疫情防控期间蔬菜价格过快上涨，情节极其严重，性质极其恶劣，影响极坏，且经市场监管部门约谈和告诫仍拒不改正，遂依法作出上述决定。#万众一心打赢疫情防控阻击战##武汉[地点]#（湖北经视）
吕梁中院,:希望我在夜里打开的车灯，照得到武汉的明天｜武汉一日希望我在夜里打开的车灯，照得到武汉的明天｜武汉一日来源：湖北省武汉市中级人民法院编辑：鲁婧晗本文转自最高人民法院微信公众平台
中国日报,:【湖北加油！#四川60万毫升血液驰援湖北#】3月3日清晨，四川省第二批支援湖北的60万毫升血液启运出发。第二批血液由德阳、绵阳、遂宁、南充、广安、雅安6市中心血站共同筹备。下午2时40分，送血车队到达包茂高速达州南收费站。约10分钟后，湖北省宜昌、荆州两市中心血站的两辆运血车到达交接地点。工作人员纷纷右手握拳，向他们表达问候与祝福，“湖北加油！武汉加油！”@封面新闻
吕梁中院,:叮！援汉广东医疗队，您的贴身管家24小时在线｜武汉一日叮！援汉广东医疗队，您的贴身管家24小时在线｜武汉一日来源：湖北省武汉市中级人民法院编辑：鲁婧晗本文转自最高人民法院微信公众平台
FM93浙江交通之声,:【湖北一男子#隐瞒发热聚众打牌牌友被感染#】3月2日，湖北省黄石市政府通报一起涉嫌妨害传染病防治罪案件。2月21日至23日，老屋村4人先后被确诊为新冠肺炎，其中，村民潘某松和王某疫情期间频繁出入村子。而潘某松在出现发热、咳嗽症状后，恶意隐瞒，聚集村民打牌，导致多名家人和牌友被感染http://t.cn/A67NKPTv
杭州日报,:【#湖北省司法厅连夜开会向全国人民道歉#】3月2日，在联合调查组公布“黄某英事件”调查结果后，湖北省司法厅党委连夜召开会议，一致表示，坚决拥护联合调查组的调查结果，坚决拥护省委、省纪委监委的处理决定。“’黄某英事件’虽然发生在武汉女子监狱，但根源在湖北省司法厅和湖北省监狱管理局，我们向全国人民表示深深的歉意。”
山西政法,:【湖北省神农架林区发生野猪非洲猪瘟疫情，共发现死亡野猪7头】#神农架发生野猪非洲猪瘟疫情#农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。（澎湃新闻）
福陆陆,希望收到信息的你，可以做个好梦，加油。@新世相@中国日报
CCTV巴德赛尔,:#全国疫情联防联控#【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。@人民日报
法律巴士网,:#京东口罩##京东健康#与国控湖北推出1500只特供口罩增援湖北，转需http://t.cn/A67p5u0L注：三层非医用，武汉发货，只有湖北省内收货地址才能下单。
钦州检察,:【在这个战场，每一瞬都刻骨铭心】2月8日以来，根据湖北省武汉市江岸区防控指挥部部署，江岸区检察院成立了包保发热门诊，专班突击队协助汉口医院完成发热门诊病人的隔离任务。在这场艰难的战"疫"中，这支队伍的付出，留下了不可磨灭的印记……@江岸检察#检察机关众志成城抗疫情#http://t.cn/A67p5oaS
东方博客南太湖,#新型冠状病毒感染肺炎#【好消息！#湖北新冠肺炎患者治愈率大幅提升#】截至2日24时，湖北省共指定定点救治医院238家，当日新增出院2410例，累计治愈出院36167人，治愈率从2月12日的7.14%持续提升至3月2日的53.81%。这是记者从3日召开的湖北省新型冠状病毒肺炎疫情防控工作指挥部第38场新闻发布会上获悉的。　　湖北省副省长杨云彦说，湖北省在中央指导组的指导下，推动救治关口前移，解决患者收治难题；全力救治重症患者；预防轻症转重症，减少重症患者比例；全力提高新冠肺炎患者治愈率、降低病亡率。目前，全省各地市危重症床位配置基本满足救治需求。武汉市重症救治床位已由人等床转变为床等人。截至3月2日，同济光谷、协和医院等10家危重症救治定点医院共开放危重症床位7286张，其中负压ICU病床245张，共收治危重症、重症患者3728名。武汉市新冠肺炎患者病亡率正在逐渐下降。　　湖北省卫生健康委员会副主任涂远超说，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈巍、仝小林等10位业内著名的院士齐聚湖北，330多支医疗队、超4万名医务工作者从全国各地支援湖北。其中重症医学科、感染科、呼吸科、心血管科和麻醉科专家达到15000多人，援助湖北医疗队直接接管病区，在患者救治中发挥重要作用。　　杨云彦介绍，按照“四早”原则，湖北提升核酸检测效率，及时发现确诊病例，着力提高收治能力，加大建院增床力度，优化医疗资源配置，实现确诊病人、疑似病人应收尽收、应治尽治，提高医疗救治能力。“当前湖北疫情形势出现积极变化：发热病人人数持续下降；疑似病例和新增病例明显减少；密切接触者隔离人数持续上升；出院病例持续加大，重症和危重症病例、病亡人数持续下降；资源力量正在聚集，医疗救治能力稳步增强。”杨云彦表示，虽然出现积极变化，但湖北疫情防控形势依然严峻复杂，当前面临的主要问题是：消化存量的任务依然艰巨；增量风险仍然没有得到根本控制；疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；老旧社区、特殊场所等地方还存在薄弱环节。
生态灞桥,:【#钟南山等10位院士团队先后支援湖北#】湖北省卫健委副主任涂远超在今天的疫情防控发布会上表示：钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省，有330多支医疗队、超4万名医务工作者从全国各地前来支援湖北，他们在救治中发挥了重要作用。（总台央视记者王伟超）http://t.cn/A67Nnjsk
-_-寒娃娃,:湖北省内小规模纳税人3个月内免征增值税，湖北省外由现有征收率3%减到1%湖北省内小规模纳税人3个月内免征增值税，湖北省外由现有征收率3%减到1%
沧慕xi,:#湖北什么时候解封#有些人说整个湖北省除了武汉都很惨？东西全往武汉送，武汉可以点外卖，武汉可以拿快递？？？我住在假武汉？封闭了多少天就在家待了多少天。那些捐给武汉的东西那是给我们的吗？那是给白衣天使，给病人的。我们买的是群里天价菜，那些什么几块钱的菜是微博武汉的，不是真实武汉的。没有外卖没有快递。我们和你们一样惨
