敲可耐的阿花qwq,:草尼玛写个研究论文急死我了
霏歆575,:广西阳朔：据悉日前中国城市竞争力研究会发布了《2014中国最美丽县》排名榜、湖南凤凰，而我们江西上饶婺源县以徽风赣韵美的美名列高居第四位：“水色边城美”。“瑶琳画境美”位列排名榜前三甲
南山大卫1,:麦肯锡全球研究所：生产力与技术变革之间脱节；诺奖获得者保罗克鲁格曼：新技术是宣传效果大，经济成果小，只是一些小玩意或者单纯的娱乐工具，很难产生对经济的彻底改变；麻省理工的技术乐观主义：当前创新将带来生产率的提高，但需要一定时间。历史告诉我们，从新技术的商业化到产生真正的效益，这个过程需要时间。经合组织专家:现在有两种企业，一种有能力创新并将先进技术运用到自己的生产过程中，剩下的是另一类公司。21世纪以来生产能力更高的全球化公司变得越来越强大，然而这些领袖企业与其他企业之间的差距不断扩大。
温爸教子,:家长：请问什么叫”进入可操作层面”?怎么判断？老温：只要不是研究事情的意义，只要不是摆弄自己愿望和出发点，只要不是讨论“该不该”，“好不好”……之类，直接进入“解决办法”层面，就是进入“可操作性层面”。
晓媛hyowon,参考地是北京，同样是婚姻投靠，外地人分两种婚姻投靠获得北京户口，才能享受北京资源。对比之下，外国人只需要结婚满5年，实际9个月即可享受北京资源明显简单得多。@法理有云·理论法高晖云
那天天气正好·,#完美关系##斯黛拉怼江达琳#江达琳真的太蠢了，斯黛拉直接要求罢免江达琳的总裁职位！卫哲说斯黛拉逼宫！这段斯黛拉和卫哲的对手戏才是最精彩的
任世光助人,:根据我们多年来对感染所致急性呼吸窘迫综合征（ARDS)及多脏器功能衰竭（MODS）微循环障碍发生机理和防治的临床及实验研究，分析新型冠状病毒肺炎重症之所以有较高的病死率，是因为人群对这一毒力较强的病毒缺乏抵抗力，一旦感染病毒很快达肺、入血，肺部广泛的较强的炎症反应是造成呼吸困难的一个因素，更重要的是引起了以肺为主的微循环障碍。肺微循环障碍一方面是微循环流出道痉挛，流出受阻大量体液漏出、肺水肿，出现呼吸困难、缺氧；另方面由于机体保障循环血量的代偿，大量肺微循环动-静脉短路开放，未经肺泡进行氧交换的静脉血回流到动脉，进一步加重全身缺氧，形成恶性循环。我们在以下的实验研究中已证实了以上的病理生理机制及酚妥拉明、山莨菪碱等是防治的有效药物：http://t.cn/A6vk673y
关注世间冷暖,:#巴西发现神秘病毒#美洲新冠肺炎病例数量继续增加，美国华盛顿州卫生官员2日宣布该州又有4人死于新冠肺炎。巴西研究人员对病毒基因测序的结果显示，巴西两个确诊病例体内的病毒有所不同。@头条新闻
赵木杉不是你以为的赵木杉,:【综合消息：#美国又有4人死于新冠肺炎#巴西对病毒基因测序发现不同⚠️不过美国也称#彭斯称普通美国人不需要买口罩#】综合新华社驻外记者报道：美洲新冠肺炎病例数量继续增加，美国华盛顿州卫生官员2日宣布该州又有4人死于新冠肺炎。巴西研究人员对病毒基因测序的结果显示，巴西两个确诊病例体内的病毒有所不同。　　美国华盛顿州金县卫生官员杰弗里·杜钦2日在新闻发布会上说，华盛顿州又有4人死于新冠肺炎，但这4个死亡病例此前未纳入美国疾病控制和预防中心的统计。　　美疾控中心2日发布的数据显示，截至1日美国共有91例确诊或推定阳性病例，有2个死亡病例。推定阳性病例指的是已在某些实验室检测结果为阳性，但未经过美疾控中心确认性检测的病例。　　加拿大安大略省卫生部2日宣布又确诊3例新冠肺炎病例。加拿大全国累计确诊病例数增至27例。　　巴西卫生部2日最新公布的数据显示，目前巴西有2例确诊病例。巴西阿道弗·卢茨研究所和圣保罗大学医学院的研究人员对这两个病例体内的病毒进行了基因测序，结果发现首个病例体内的病毒与在德国发现的病毒更加相似，而第二个病例体内的病毒则与在英国发现的病毒更加相似。二者与在中国发现的病毒也有所不同。据介绍，这两名患者都是今年2月在意大利感染后回到巴西的。　　圣保罗大学医学院研究人员埃斯特尔·萨比诺表示，病毒出现的变异是疫情在相关地区传播留下的印记，可被研究人员用于追踪病毒传播路径。（@新华视点）
勤劳的农夫TB,:【五部委：对关键核心技术中的重大科学问题给予长期支持】科技部、发展改革委、教育部、中科院与自然科学基金委印发《加强“从0到1”基础研究工作方案》，《方案》提出，国家科技计划突出支持关键核心技术中的重大科学问题。面向国家重大需求，对关键核心技术中的重大科学问题给予长期支持。重点支持人工智能、网络协同制造、3D打印和激光制造、重点基础材料、先进电子材料、结构与功能材料、制造技术与关键部件、云计算和大数据、高性能计算、宽带通信和新型网络、地球观测与导航、光电子器件及集成、生物育种、高端医疗器械、集成电路和微波器件、重大科学仪器设备等重大领域，推动关键核心技术突破。
狗大夫被gank了,从孙杨和肖战的这两个事件可以看得出来我们这一代很多的年轻人的价值观是多么的崩塌，抛开国家荣誉和对社会的贡献来说，更多给年轻人的表现出的价值观就是出名就有前途，长的帅就有饭吃，作为曾经眼睁睁看着欧洲美洲很多国家价值观崩塌的我来说真的好失望，看看今天的意大利年轻的各个都想做足球明星，看看西班牙的年轻人各个都想成为梅西C罗，足球是搞上去了，国家经济搞垮了。五星红旗不是宣传娱乐的资本，更不是为所欲为的借口，苍蝇不盯无缝的蛋，今天价值观是正确的也就没什么人会去买流量，更没有价值天天上热搜了。可能很多人说我也是个老不正经的东西，毕竟每个人个人情况都不一样，而且年龄摆在这里。总觉得有点失望，互联网成就了我们这一代人，但这种崩塌可能也会压倒一批我们这一代的人
防守反击D,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。http://t.cn/A67C8laK
视野图文,:#视野图文##视野君黄华[超话]#不应当急于求成，应当去熟悉自己的研究对象，锲而不舍，时间会成全一切。凡事开始最难，然而更难的是何以善终。——莎士比亚#中方连发四问回应美限制中国媒体#
cutiepie_addicted,改名新概念赎罪教材全解每日任务是躺平任嘲
任世光助人,:病毒肺炎实验研究对救治重症2019-nCoV肺炎的启示@新浪博客病毒肺炎实验研究对救治重症2019-nCoV肺炎的启示
爱赚钱的双胞胎美妈,:不敢当着双胞胎面前说他们一句笨蛋，这种拐着方式骂自己的事情我可不干。一般来说，男宝宝的智商被妈妈遗传的概率比较大，这一点已经被权威的研究证明了。人类与智力有关因素主要集中在X染色体上，妈妈有两个X染色体，这方面的遗传基因在“X”染色体上，所以妈妈的智力在遗传中占据重要的角色，男孩的智商多数随妈妈。而女孩的智商，父亲的X染色体精子与母亲的X染色体卵细胞结合发育而成，两条X染色体大小基本相等，女孩的智商发育由父亲，母亲两条染色体共同决定。所以教孩子写作业，当妈的要心平气和，各种彩虹屁夸孩子，夸到他不好意思不行。面对调皮的男孩子，更要用心引导爱护他，不要总是责备批评说笨蛋，这样拐着方式说自己，21世纪新时代的女性可不干。#一起家庭教育[超话]##育儿##一起家庭教育##儿童教育##萌娃养成记#@写书哥和@牛魔王啊
伊金霍洛发布,:#关注新冠肺炎##全球疫情##美国疫情#美国卫生与公共服务部长阿扎：我们刚刚在弗契医生领导的美国国家过敏和传染病研究所，进行了很好的访问。总统从科学家那里听到了消息，他们在三天内-在三天内-为#新型冠状病毒#开发了一种潜在的疫苗。他们还向总统报告了一些非常重要的消息，即昨天，美国食品药品管理局FDA授权该疫苗进入第一阶段安全性临床试验。#全球抗疫第一线##海外抗疫日记##战疫打卡行动#http://t.cn/A6705t20
彭未来7749,一睡觉就做梦
唔羊侬兔啾,:Everday🍛🥄研究怎麼吃🥔🥕🥩
成都市红十字会,【敢打必胜，决战决胜！王忠林：疫情防控关键期，要有志气、豪气、勇气】3月3日晚，湖北省委常委、武汉市委书记王忠林主持召开市新冠肺炎疫情防控指挥部视频调度会，研究核酸检测分类筛查处置、流行病学调查、特殊场所疫情防控等工作。“疫情防控进入关键阶段，越是到了这个时期，大家越要有决战的姿态”，王忠林就提振干部精气神、坚持科学救治、堵塞工作漏洞等作出部署。武汉疫情防控进入决战阶段，要坚持敢打必胜，切实做到决战决胜！http://t.cn/A6704xaH（长江日报）
裴哥谈医管,:转自@中国新闻网#关注新冠肺炎#【#钟南山团队建议严格防控实施至4月底#】#如推迟5天管控内地疫情或扩大至3倍#3月2日，广州呼吸健康研究院在官方公众号转载“AME科研时间”发布的消息称，钟南山团队近日在《JournalofThoracicDisease》期刊发表的研究文章称，人工智能预测模型已成功建立并且显示与经典传染病学预测模型相似的趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。研究预测，如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。另外，严格的防控措施如“早期筛查”最好实施至2020年4月底。(蔡敏婕)http://t.cn/A67SKocKhttp://t.cn/RD4C3n3
T先生爱下雨天,:对比起来，我更多的是遗憾（shame），而不是后悔（regret），是她让我成为了更完整的我，那些黑暗和光明都是。遗憾的地方在于，（知道自己的阿尼玛更多，）没能好好的说：“哈哈哈，原来你是这样子的哦？没关系，我们一起来好了”（而是：卧槽你怎么是这样的人？滚开，你不配！）#以自己为研究对象的心理纪录##改变的与被改变的#
江上孤舟,:“悬棺之谜”难倒考古界，专家悬赏40万求答案，老农两字道出关键世界之大，无奇不有，在这个世界上，存在着许多没有被人类破解的谜团。这也就说明，古代人的智慧不容小觑，他们能做很多让现代人都震惊的事。就比如说我国的悬棺，许多专家们研究了很久，都不知道是棺是如何被放在悬崖上的？不同的地方，会有不同的风俗，像在台湾，广西，四川，广东，江西，福建，湖北，湖南，贵州等地区，就曾经发现过悬棺。或许大家没有亲眼看到过悬棺，但如果大家看过盗墓题材的小说、电影或者电视剧，那么对于悬棺这种特殊的安葬方法就不陌生。所谓的悬棺，指的就是在悬崖峭壁上放置下的棺材。要知道，古代可不像现代这般，有如此多发达的工具。古代的人们，是凭借什么样的方法，将这么重的棺材放置在了悬崖上呢？考古学家们想了很久，终究是百思不得其解。无奈之下，他们给出了赏金，希望在民间寻求能帮他们破解谜团的能人。在专家们给出40万的重赏下，有一位老农站了出来，他轻描淡写的两个字，却让专家们觉得茅塞顿开。老农表示，这些棺材能够放在悬崖上，靠的就是"咕噜"。所谓的咕噜，其实就是一种定滑轮，借助这种滑轮的力量，棺材就能够被成功的传送上去。不得不说，古人们的智慧还真的是相当高，在那个时候，他们就已经研究出了定滑轮的作用。在知道解谜的关键以后，专家们就动手开始实验，最后发现这种方法的确是可行的。不过在这之后，他们又遇到了新的问题。如果用定滑轮将棺材传送上去，那么在悬崖峭壁上应该会留有痕迹才对，但是专家们多方寻找，却发现山上没有任何痕迹。就算是时间久了，这些痕迹经过了风吹雨淋，但多少也会留有一些印记才对，但是这里什么都没有，这太不正常了。难道是说，以前的古人们就已经很聪明了，他们早就想出了解决这个问题的方法吗？这一个疑问，到现在都没有破解。不少专家们觉得老祖宗们虽然很聪明，能够想到用定滑轮输送棺材，可是他们再聪明，也不可能毫无痕迹的就完成悬棺的设置吧？所以应该有什么细节是大家没有想到的。为了搞清楚这一个疑问，彻底的破解悬棺之谜，专家们将悬赏金额提到了100万。但是到现在为止，也还是没有人站出来表示自己知道答案。这就不知道要过多久，这个疑问才能够被彻底的解开。不过，从这个让人头疼的问题中，我们也能看出老祖宗们的智慧有多么强。看来，有的时候并不是科技发达了，就真的是无往不利了。古代的人们，生活在没有这么多高科技的社会，却也能利用智慧，完成很多现代人都无法完成的事，这还真是让人惊叹不已。不知道你们有没有听过悬棺的故事呢？你们能想清楚"悬棺之谜"吗？
长江网_留言板,:【敢打必胜，决战决胜！王忠林：疫情防控关键期，要有志气、豪气、勇气】3月3日晚，湖北省委常委、武汉市委书记王忠林主持召开市新冠肺炎疫情防控指挥部视频调度会，研究核酸检测分类筛查处置、流行病学调查、特殊场所疫情防控等工作。“疫情防控进入关键阶段，越是到了这个时期，大家越要有决战的姿态”，王忠林就提振干部精气神、坚持科学救治、堵塞工作漏洞等作出部署。武汉疫情防控进入决战阶段，要坚持敢打必胜，切实做到决战决胜！http://t.cn/A6704xaH（长江日报）
NWryu,:还好手头积压的工作已经整理的七七八八，就算要呆家里也不怕了。请完公休在家跟女儿研究剑盾，去没多少人的地方散步玩口袋go去。
妙法莲华经_,:#陈旭师父[超话]#“XCZ”今天追得清末民国秘本一本'里面记录了各帮会老大秘档'帮规'令牌字样等等。内容实在太多'就不一一照了。这本是研究'见证中国帮会的重要史料。怎么就被我追到了呢。[偷笑]13-01-17
温柔富贵全智贤,:做datavisualisationsolutiononbudgetallocation和帮artbutlet做数据研究客户调查网页布局之间选一个后者更加商业化感觉能接轨以后就业面试的时候还能show一show我做过的project选第一个怕是我做不出来啥高效的可视化设计ddl的时候炸毛kkkkkkkkkkkkkkk选哪个呀
friends化的NT,【#创作同人作品存在哪些法律风险#？法律界人士回应】同人作品，是指根据漫画、动画、游戏、小说、影视等作品，甚至现实里已知的人物、设定衍生出的文、图、影音、游戏等著作。以真人为原型创作同人作品存在有哪些法律风险？同人作品算是对原著的致敬还是侵权？3月3日，法律业内人士对此做出回应。（单璐）http://t.cn/A67pwIzP@中新视频
qi薇染,看看鹅的发票也可以开起来了
我们杭州,:#让我们生活得更好#杭州的人大代表具有较高的“代表意识”，在全国人大代表研究中是比较早被注意到的。在没有上级倡导和要求的情况下，有的代表自己在社区开设了“代表接待站”，主动联系选民，并听取选民的意见。
喵小杨,:研究生课堂“云”在线思想政治理论课在行动http://t.cn/A670imqT
风月不负许飞卿,我越来越觉得，中文的完整性和表达程度，在微博上，最大程度地被阉割、被污染了；发一句话，得整成中英混搭不明不白的缩写，不能带大名，不能发敏感词，一句话得包装好；许多莫名的词汇诸如“带节奏”“蹭热度”“下场”，被滥用到完全标签化，甚至直接代替了“思考”，也掩盖过了事实，只有这些模糊的文字，都说不清楚什么意思。这里整个的表达环境就是扭曲的，不止微博，LOF、晋江之类也是。因此，一个能包容文字完整性的平台才弥足珍贵，可以说相当于一处理想国，不必在意红线，不必在意禁区，这也是失去乐土之后，创作者们出离愤怒的原因之一。哦对了，在这里，不仅根源就是烂的，就算是得以发出来了，还有可能会死于举报呢。
新视财经,:【北京二手房交易量前两个月跌去近6成】疫情对房地产市场的影响开始显现，同比下降约57.6%“目前疫情原因，我们门店每天就一两个人值班，居委会也要求我们不能有太多人上班。”北京一名中介人员这样向记者表示，“目前二手房成交很少，一些零星交易也是年前就谈好的。”贝壳研究院数据显示，受疫情影响，2020年1～2月北京链家二手房实时成交量同比下降约57.6%。
JKVic66,:【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）JKVic66的微博视频
任世光助人,:临床及实验研究均观察到，阻抑微循环障碍的治疗，对重症感染性休克、呼吸窘迫综合征（ARDS）、多脏器功能衰竭（MODS）比过去疗法效果更好。影响在抗重度新冠肺炎中加用阻抑微循环障碍的治疗另一个因素就是，大家熟悉免疫反应，而对施瓦茨曼(Shwartzmen)反应了解较少，现将Shwartzmen反应简介如下：http://t.cn/A6h7jRRk
酒说诗话,:休谟认为，一个良善政治秩序的关键在于平衡好自由与权威之间的关系。1968年，塞缪尔·亨廷顿基于对发展中国家的经验研究，写下了这样的文字：他们当然可以有秩序而无自由，却不能有自由而无秩序……大卫·休谟：良善政治秩序的关键是什么？
串场绿茵,:【中国速度！院士陈薇团队疫苗研制获重要成果：在武汉攻关月余
热爱生活的叶学姐,:#毕业论文#原创本科专科，在职在校研究生硕士毕业论文降重等2自考论文开题，成人教育函授夜大，职称论文发表等3学年论文，期末论文查重，课程论文代，开题报告，文献综述，mba，mpa等自考本科、专升本、在职党校研究生毕业论文代笔继续教育学院、网络教育学院、电大论文表情包。教育类学前教育小学教育工商管理、市场营销、人力资源、财务管理、行政管理、电子商务、旅游管理、会计审计、经济与管理类，法学、医学、药学，汉语言文学等都可以#硕士论文#
酷哥2011V天下,:#微博知名博主[超话]#近日，研究人员在安徽黄山风景区发现的麝鼩属物种，经研究确认，为两种哺乳类新物种。#黄山爆料#
沧州能量,:【#安徽黄山发现两个哺乳类新物种#】科研人员近日在安徽黄山风景区发现的麝鼩(qú)属物种，经研究确认，为两种哺乳类新物种，分别命名为“安徽麝鼩”和“黄山小麝鼩”。研究人员介绍，麝鼩为劳亚食虫目鼩黶pace科麝鼩属动物，分布于亚洲、欧洲和非洲，大多数物种集中分布于热带和亚热带地区，栖息于森林、平原、丘陵和山地，主要以土壤昆虫为食，也吃一些植物的花、果实和种子。麝鼩形似老鼠，体型包含大、中、小3种类型。(刘浩吴贻军方立华)http://t.cn/A679grEGhttp://t.cn/RJZbR3y
任世光助人,:新冠肺炎一旦已经感染，预防和减轻感染中的施瓦茨曼反应，就是减轻病情、避免丧命的有效措施。除了对抗病毒、应用阻抑微循环障碍的药物外，本文简介通过施瓦茨曼反应的实验研究，对预防和减轻新冠肺炎中的施瓦茨曼反应措施的启示。如何预防和减轻新冠肺炎中的施瓦茨曼反应
yiqin_fu,:老师上课讲到一篇有趣的论文。欧洲有很多地区的人口数都集中在100、500、1000这些整数上。研究人员通过访谈发现，小地区的人口都是当地领导请人计算的，而人口只要达到500、1000等门槛，领导工资都会升一级。研究人员比较了德国、法国、意大利各地区人口在每个数量门槛集中的情况，发现意大利最糟糕，法国其次，德国几乎不存在。介绍这篇论文的老师当然是德国人，哈哈。论文：http://t.cn/A670iwRO#论文笔记#
offerstudio,:#英国研究生留学[超话]##埃克塞特大学#Times全英排名第14接受普通雅思和PTE申请语言课。申请条件：已经满足Offer所要求学术条件。联合CAS:满足学术与#英语#分数要求可用普通雅思申请6周、10周联合CAS，需要发予学校确认。
简浩红旗社区人,:请浏览我写的微博，都是科技创新文章。如何洞察与立项基础性和前沿性课题研究？一流的科学家企业家看未来，二流的科学家企业家看眼前，三流的科学家企业家看利益。重大核心科技需要大智慧、大胸怀、大视野、大境界！工业设计的最高境界是艺术。（简浩）
西安一套,:#早安·西安##青年战疫#【适宜的运动强度助你科学的居家锻炼】不同年龄的人应该如何科学地锻炼身体？听听国家体育总局体育科学研究所研究员徐建方怎么说。居家健身运动强度要适宜，特别忌讳平常不运动、锻炼搞突击。适宜的运动强度主要表现在：运动后感觉轻度呼吸急促，周身微热，面色微红，内心感觉轻松愉快。虽然稍微感觉有点疲乏，但是经过休息以后可以消除，并且没有疼痛和麻木。你还想了解哪些健康防护内容？欢迎给#青小豹健康空间#邮箱（qingxiaobaojk@163.com）留言。http://t.cn/A67NSBMI
Barbara燕子,:新家入驻第三天，慢慢的适应了，屋子变得有条理，科技感的东西在研究，再买更多的可以节省空间的东西。#带着边框一起拍#梦中真实的故事情节，人物，科幻般的变大变小，梦醒那些只能出现在梦中，一切如旧
ch好时光,:『五部门印发《加强“从0到1”基础研究工作方案》要求对关键核心技术中的重大科学问题给予长期支持』五部门印发《加强“从0到1”基础研究工作方案》要求对关键核心技术中的重大科学问题给予长期支持
海森保,#美联储降息#【#美联储宣布降息50个基点#应对新冠疫情风险】美国联邦储备委员会3日宣布将联邦基金利率目标区间下调50个基点到1%至1.25%的水平，这是美联储今年以来首次降息。　　美联储当天发表声明说，美国经济的基本面依然强劲，但新冠肺炎疫情对经济活动构成了不断演变的风险。面对这些风险，美联储为实现其充分就业和物价稳定的目标，决定下调联邦基金利率的目标区间。　　美联储还表示，正密切关注事态发展及其对经济前景的影响，并将利用其政策工具采取适当行动，以支持美国经济。　　近期，新冠肺炎疫情在全球多个国家扩散引发市场对企业业绩和经济增长的担忧，美股亦遭遇罕见重挫，金融市场投资者对美联储降息的呼声大增。但不少分析人士指出，降息并非应对疫情冲击的“特效药”。当前全球经济紧密相连，产业链跨国分布，疫情对经济的冲击更多体现在供给领域而非需求领域，因而保障供给更重要。
尘缘怡然,#领导拿补助远超抗疫一线医生#【关爱医护人员，要在疫时，更要在平时！】近日，陕西省安康市中心医院公示了一份抗疫一线补助，掀起轩然大波。按照网友爆料的公示，许多一线医护人员所能获得的补助极其微薄，有些一线医护居然一分钱都拿不到。相反，医院一干领导和行政人员，却拿钱拿到手软，有的医院领导拿到的补助，比驰援武汉一线的都多。相信任谁看了这个事，都会拍案而起。前方吃紧，后方紧吃？还没打完仗，就要有人来摘桃子？http://t.cn/A67pVb3o
尘缘怡然,#领导拿补助远超抗疫一线医生#【关爱医护人员，要在疫时，更要在平时！】近日，陕西省安康市中心医院公示了一份抗疫一线补助，掀起轩然大波。按照网友爆料的公示，许多一线医护人员所能获得的补助极其微薄，有些一线医护居然一分钱都拿不到。相反，医院一干领导和行政人员，却拿钱拿到手软，有的医院领导拿到的补助，比驰援武汉一线的都多。相信任谁看了这个事，都会拍案而起。前方吃紧，后方紧吃？还没打完仗，就要有人来摘桃子？http://t.cn/A67pVb3o
海淀区八里庄健康教育,:【中国疾控中心：六种情况不应进行消毒】随着疫情的发生，部分地方小区出入口设置了喷淋装置，甚至出动了炮雾车喷雾、用飞机喷洒，在3月2日国务院联防联控机制新闻发布会上，中国疾控中心研究员张流波强调：有六种情况不应进行消毒。张流波说，这些方式更多是重形式，这种消毒特别要避免，我们更多地要考虑消毒效果。2月29日国务院应对新型冠状病毒肺炎联防联控机制综合组专门下发了《关于进一步规范和加强新冠肺炎流行期间消毒工作的通知》，专门把过度消毒的问题作为重要一点强调，专门列出了六种情况不应进行消毒。一是不对室外环境开展大规模消毒。二是雨雪天气不对室外环境进行消毒。三是不对外环境进行空气的消毒。四是不直接使用消毒剂对人员全身进行喷洒消毒。五是不对外环境的水塘、水库、人工湖这些环境投加消毒剂进行消毒。六是不在有人的情况下对室内空气进行消毒。
搞笑味,:印度人视牛为神灵，喝牛尿在印度民间很普遍，很多人相信喝牛尿可以治疗疾病。印度卫生和家庭福利部部长曾表示，印度正在研究使用牛尿治疗癌症。#趣闻#搞笑味的微博视频
xiaoyulaoshi,:在《爱因斯坦文集》第一卷中，牛顿的基本概念和假说只是某种近似的真理。在研究电和光的规律时，第一次产生了建立新的基本概念的必要性。在19世纪前半期光的波动性质已经很明显了，他仍然同假想的物体---光以太联系在一起。可是我们对光的本性的知识越准确，要把那些可以不矛盾的说明他们的力学本性说成是光以太就越困难。此后不久，法拉第和麦克斯韦的研究揭示了电和光之间的密切联系，并且弄清楚了有一个基本概念还是经不住事实的反对。即时传递的超巨作用力的概念就是这样的概念。新的基本概念及场的概念占了他的地位。现在一个带电物体已经不可能对另一个带电物体直接发生作用，她有场围着，场在时间和空间上的变化，服从自己的特殊定律，这个场甚至能脱离物体。在讲到场时，指的是空间的能量状态，在数学上是用连续函数描述的，并且同物质的基本粒子一样在物理学上是实在的。从电磁场定律推出力学的企图导致电磁力学的建立。http://t.cn/RyhorhX
