liam53770,居家好物#迷惑行为大赏##搞笑视频#搞笑幽默官的微博视频
大上海那些事,:#上海身边事#【上海已追踪到浙江7例境外输入型病例在沪71名密切接触者！进一步明确涉外疫情防控和入境人员健康管理措施】今天下午举行的市新冠肺炎疫情防控工作领导小组新闻发布会透露：近期，多个国家和地区出现新冠肺炎确诊病例，数量持续攀升。鉴于当前境外疫情防控形势，结合上海实际，市防控工作领导小组及相关部门综合研判，进一步明确了涉外疫情防控和入境人员健康管理措施。所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。我们再次强调，上海对所有入境人员的管理坚持一视同仁，严格入口管理、严格落地管理、严格场所管理。也再次感谢社会各界及中外人士的积极支持和真诚理解。市卫健委通报：今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
fj雲,#周刊君与你共同战疫#【#远程居家办公怎么保护眼睛#：记住#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒…更多↓http://t.cn/A67CFqPQ
地球动态,:今日份打卡：平板支撑5分45秒，仰卧起坐10个，俯卧撑20个，臂力器弯曲50个。继续家练，宅家追剧。#居家微锻炼#
大连微博房产,:#房产周边#【病毒会随着空气飘进屋子？#居家通风小课堂#来啦！】疫情当前，勤开窗通风，保持室内空气流动，是重要的防护手段。但病毒会不会随着空气飘进屋子？如果邻居在家中隔离，还能不能开窗通风？住在医院附近怎么办？给你解答那些关于居家通风的问题！新华网的秒拍视频
智玄堂八字命理,:发布了头条文章：《智玄堂居家风水：你家房子有缺角吗？当心影响运势！》智玄堂居家风水：你家房子有缺角吗？当心影响运势！
葵葵是你爹,:#每日一善[超话]##蔡徐坤快乐大本营##蔡徐坤三个问号##阳光信用#互评带🔗❗15字以上有效~人因百业之差而善各不相同，然皆大同小异。观善者，可知己不足;观不善者，可警己过。为善者，当心存高远，或为大众或为后世子孙。劝人为善，劝人去恶，法有万千，当因人而异。言人之过，当多善少恶，先善后恶，扬善抑恶。为官一念，或福泽大众或危害社会，不可不慎。无道不可治国，无德不可驭民，无善不可教子。行善者，日久必随其愿;行恶者，日久必毁其成。恶虽小，但须防其毁人;善虽小，但知其能助人。善微而易行，善小而能行，久而能持，方为善道。建功立业，须实地着手;行善积德，要随处行事。一国之患，莫大于趋利;一国之福，莫大于扬善。忍耐二字，让人真受用;积善二字，让人真享福。居家之善，无非勤俭持家，孝养父母，严教子女。尽心为善，定可由小成大，由卑而高，由近至远。行一件善事，心中泰然;行一件恶事，寝食难安。善不在大小，能行即可;善不求日增，能恒即可。
丫儿-字十六MINDY,:#晚安短信湖北计划#湖北省汉川市脉旺镇刘口村的旺仔
偲摩尔赋,:#恋与制作人#点点滴滴的居家小事，发现他的另一面。全新温馨小屋上线，叙写你和他的朝暮物语。
悠然66Baby,:“【通知】各位居民：自3月1日起，来自（自驾途经）湖北省人员抵达珠海香洲后一律集中隔离14天，不再实施居家隔离，且费用自理。请各房东、企业、居民及时通知近期外地返珠人员务必绕行湖北省。隔离期间，一人一间房间单独居住，自行一次性缴纳14天的住宿费（吃饭自叫外卖），每人约5000元费用（承租房东通知不到位的，房东负责承担部分费用；企业通知不到位的，企业负责承担部分费用；个人不听劝告未绕行的，自行承担全部费用；湖北本地返珠的，自行承担全部费用）。为避免出现不必要的麻烦，请大家相互及时转告，谢谢！”请问这样的做法合法合理吗，请相关政府部门给我们未能回岗位复工的湖北人民一个合理的解释！！@珠海日报@珠海市政府@珠海市委http://t.cn/RLBZ7Ji
意味梨-,:听老刘说海螺小姐非常有人气很多人都很爱看几十年依旧不减热度据说很多上班族看了周一都不想上班
朽弃hokiko,:#靳东[超话]##靳东温暖的味道#小孙茶牌抹茶蛋糕🍵您的居家必备良品🍵抹茶粉采用后石沟精选茶叶研磨制成🍵入口即化，醇香浓郁（我编不下去了）
浅浅Violetta,偶像如何避免被粉丝连累，可能越来越成为一个真实存在甚至难以避免的问题，已经有不少明星因为粉丝的行为而败坏了路人缘，招致普遍的恶感，甚至丢了代言失去工作机会。是现在的粉丝格外疯狂吗？一部分是。原因大家可以自己分析。我想谈另一个原因，现在的偶像是集体失声的，他们不表达自己的看法，不表达自己关心的议题，不表达自己的政治倾向、价值倾向乃至性倾向。这可能是为了安全考虑，不想被任何人批评，也可能是出于商业的考虑，不希望失去部分粉丝。如果说被误解是表达者的宿命，那么任人装扮就是失声者的宿命。前者固然是有压力的，每一个表达者都体会过那种焦虑和压力，你被否定、被曲解，甚至被污蔑，你的表达会以某种方式被人恶意扭曲——每一个表达者都经历过，我们由此明白，表达是持续不断的事，你需要不断让人知道你真的在想什么。而失声的偶像，不但你真实地彻底物化，不再是自己，而仅仅沦为他人想象的符号，而且你的粉丝在代你发言，对路人来说，你的粉丝是为善的，这种善记在你身上，认为好的偶像给人正面的引导，你的粉丝是作恶的，你还怎么能独善其身——理智上，当然明白偶像无法为粉丝行为买单，但人在强烈的情绪之下，又怎么能做到理智呢？一种心理学上被称之为“遗憾假设”的心理就出现了：“如果你做了什么，结果很可能就会不一样吧？”。如果你曾为LGBT发声，你的粉丝不会憎恨同人，憎恨的可能会脱粉，如果你曾表态过对举报的不认同，你的粉丝也许不会采用这种方式，TA想这么做，其他粉丝也会公开排斥TA，甚至也许不需要碰这些议题，只需要多展示自己的个性和看法，无数的语言碎片里，人们就会拼凑出你大致的倾向，当意识到你很可能不会乐见某种行动时，粉丝很大可能不会做出这种事。偶像虽然只有一个人，但在与粉丝的博弈里，TA不是无助的，相反，TA有巨大的影响力。表达的风险每个人都在承受，偶像表达并不比普通人有更大的风险——除非我们在讨论的是偶像的风险是比普通人可能失去更多钱，那么大V是不是也可以同样的理由放弃对议题的表达？当然，每个人都可以这么做，但它总会有后果。希望偶像们认真考虑表达这件事，闭上嘴巴只发美图已经不算什么上选了。你自己表达，你承受自己的代价，别人代你表达，你承受别人表达的结果，没有人可以避免付出代价。
这么远那么近spp,5分钟居家臀腿训练，无需器械，在家就能完成，一共10个动作，每个动作30秒，中间无休息，强度非常大健身课的秒拍视频
红星视频,:【小学老师画58幅疫情速写记录感人瞬间：记住这些保护我们的人】疫情之下，江苏淮安的王红燕老师居家闭关，每天她都会看到各种各样的新闻，其中的一些都会让她觉得很感动，她用画笔记录下这些感动。在她的画笔下，有武汉金银潭医院的张定宇，有火神山工地的争分夺秒的工人，有紧张工作的医护人员，有风雪中的守候，有医护出征的离别，有公共场所的户外清洁工，有方舱医院，有温暖的倚靠，有淮安地区的一些感人画面http://t.cn/A67pU7Cw
我一拳打倆,:电脑播着毛概慕课平板刷着统计学经验手里还补着方剂作业居家大学生暴躁时刻+1
你噘嘴干嘛呀Yee,在“家”的一天@智族GQ
魅力虞城,:【#远程居家办公怎么保护眼睛#：记住#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒…更多↓http://t.cn/A67CFqPQ
偲摩尔赋,:#恋与制作人#点点滴滴的居家小事，发现他的另一面。全新温馨小屋上线，叙写你和他的朝暮物语。
麻团班长,在“家”的一天@智族GQ
浅浅Violetta,偶像如何避免被粉丝连累，可能越来越成为一个真实存在甚至难以避免的问题，已经有不少明星因为粉丝的行为而败坏了路人缘，招致普遍的恶感，甚至丢了代言失去工作机会。是现在的粉丝格外疯狂吗？一部分是。原因大家可以自己分析。我想谈另一个原因，现在的偶像是集体失声的，他们不表达自己的看法，不表达自己关心的议题，不表达自己的政治倾向、价值倾向乃至性倾向。这可能是为了安全考虑，不想被任何人批评，也可能是出于商业的考虑，不希望失去部分粉丝。如果说被误解是表达者的宿命，那么任人装扮就是失声者的宿命。前者固然是有压力的，每一个表达者都体会过那种焦虑和压力，你被否定、被曲解，甚至被污蔑，你的表达会以某种方式被人恶意扭曲——每一个表达者都经历过，我们由此明白，表达是持续不断的事，你需要不断让人知道你真的在想什么。而失声的偶像，不但你真实地彻底物化，不再是自己，而仅仅沦为他人想象的符号，而且你的粉丝在代你发言，对路人来说，你的粉丝是为善的，这种善记在你身上，认为好的偶像给人正面的引导，你的粉丝是作恶的，你还怎么能独善其身——理智上，当然明白偶像无法为粉丝行为买单，但人在强烈的情绪之下，又怎么能做到理智呢？一种心理学上被称之为“遗憾假设”的心理就出现了：“如果你做了什么，结果很可能就会不一样吧？”。如果你曾为LGBT发声，你的粉丝不会憎恨同人，憎恨的可能会脱粉，如果你曾表态过对举报的不认同，你的粉丝也许不会采用这种方式，TA想这么做，其他粉丝也会公开排斥TA，甚至也许不需要碰这些议题，只需要多展示自己的个性和看法，无数的语言碎片里，人们就会拼凑出你大致的倾向，当意识到你很可能不会乐见某种行动时，粉丝很大可能不会做出这种事。偶像虽然只有一个人，但在与粉丝的博弈里，TA不是无助的，相反，TA有巨大的影响力。表达的风险每个人都在承受，偶像表达并不比普通人有更大的风险——除非我们在讨论的是偶像的风险是比普通人可能失去更多钱，那么大V是不是也可以同样的理由放弃对议题的表达？当然，每个人都可以这么做，但它总会有后果。希望偶像们认真考虑表达这件事，闭上嘴巴只发美图已经不算什么上选了。你自己表达，你承受自己的代价，别人代你表达，你承受别人表达的结果，没有人可以避免付出代价。
这么远那么近spp,5分钟居家臀腿训练，无需器械，在家就能完成，一共10个动作，每个动作30秒，中间无休息，强度非常大健身课的秒拍视频
我可真是个小机灵gui,【#武汉被打配菜员发声#：有菜筐搁不下堆门口城管称影响市容】3月2日，武汉多名城管殴打蔬菜配送员的视频引关注。3月3日，被打的蔬菜配送员李锋告诉@紧急呼叫称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”。@新京报我们视频http://t.cn/A67NqDUi
骑着蜗牛上高速201410,:晚上十点多还在安排工作，过分了，真的过分了
赵妖镜a,:#居家隔离#第十二天，给学生们上完课，转头看到一个可怜巴巴望向窗外的背影，他此刻的内心独白是什么🤔？
转身已陌路1128,#易烊千玺[超话]#|🐈
欣欣is公主,《第一幕：少年的慎独日常》——从日出到日落，@TFBOYS-易烊千玺出没在“家”里的各个角落，趴在窗沿边看着太阳缓慢升起，躺在地板上漫不经心地翻着书，在床上发呆，在书桌前写写画画，在客厅里走来走去，伸个懒腰赶在太阳下山前给友人打电话......看似稀松平常又久违了的独处时光。#易烊千玺智族GQ封面#
吉宝宝围脖,【#远程居家办公怎么保护眼睛#：记住#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒…更多↓http://t.cn/A67CFqPQ
壹一廿八,在“家”的一天@智族GQ
zwjng,5分钟居家臀腿训练，无需器械，在家就能完成，一共10个动作，每个动作30秒，中间无休息，强度非常大健身课的秒拍视频
冷畈,【#武汉被打配菜员发声#：有菜筐搁不下堆门口城管称影响市容】3月2日，武汉多名城管殴打蔬菜配送员的视频引关注。3月3日，被打的蔬菜配送员李锋告诉@紧急呼叫称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”。@新京报我们视频http://t.cn/A67NqDUi
Plant歌姬迷井,:草！爽了，舍友回来老板让我再居家办公两周！快乐！太快乐了！
萧县反邪,【#居家消毒液怎么选#怎么用？】在家如何做好消毒？有哪些常用的消毒液？消毒液浓度越高越好？对此，中国疾控中心消毒学首席专家张流波给出建议↓↓同时提醒，#84消毒液和洁厕灵别混用#！戳↓↓央视网快看的微博视频
东华理工大学,:#东华理工新闻#【疫情防控安全先行——机电学院通过微信群开展线上消防安全“开学第一课”】防火如防疫，消防安全永不“过时”。为切实做好疫情防控期间教职工错峰上班及居家办公消防安全工作，进一步保障教职工的身体健康和生命安全，提高职工消防安全意识和自防自救能力。疫情之下，针对学校延迟开学、社区封闭管理等情况，机电学院迅速调整宣传思路，主动应对新形势、新问题，充分发挥在线培训简洁便利、受众广的优势，依托“线上宣传”精准施策，创新推出线上第一课。3月3日下午，赣安消防胡教官通过线上直播方式开展疫情期间线上消防安全培训及安全隐患排查，全力做好疫情防控期间消防宣传教育和安全指导服务，持续营造良好的消防宣传氛围。
啊呜走了神,#复工之后的体验#理想的工作状态。
彭国珩,:《最新！河北省教育厅最新通知来了》体育教师要通过多种方式给予指导，帮助学生通过居家体育活动，强健体魄，愉悦身心，控制和减少“小眼镜”“小胖墩”发生率。http://t.cn/A679M6Wy
一只小珺玮,:居家哥老官今日份的开心🥳
丢草莓的小姐姐,:买了咸柠檬做了咸柠可乐这次买的白玫瑰也太好看了吧花朵很饱满@鲜丰水果的西梅非常好恰一口气吃一斤那种上了两天班有些疲惫同楼层另一侧办公区因为出现了了一个新冠D级接触者紧急疏散居家隔离希望一切快快好起来
莹莹Yang_,:我要温婉居家
鱼鳞册19630808,:#3月3日#原本想多走路晚上能好好睡一觉。谁知道一夜无眠。凌晨三点多，小区居民从海南回来，要居家隔离。于是检查身份、体温检测，送回家中。折腾了半夜，躺在床上却没了睡意。今天又开始帮着买桶装水、蔬菜水果，又给房外消毒，还带着居民去银行柜员机取钱。到了晚上又值班。真心佩服自己有个好身体。http://t.cn/RMJI3lO
用户你好VVV,:放假居家活动一览：吃饭：
旅行家殷仁锋1314,:藏区深度旅行8理塘康巴人博物馆用蜡像再现了康巴藏区的生活。一楼屋内更多的展示了日常生活所需用品，挤奶、打酥油等生产生活方式。还有藏区独有的袖中交易等细节。二楼看起来与现在的藏民居家一模一样，有一间大客厅，里面有桌椅板凳，中间是一个做饭取暖用的炉子，有一间储藏室，还有一间是佛堂，藏民家的佛堂不能轻易进去哦。
眉山疾病防控,:#方舱医院患者准备考研见到导师#【（视频版）预防新型冠状病毒感染的肺炎普通居家人员防护指南】新型冠状病毒感染的肺炎不同风险人群防护指南（一）疾控科普的微博视频
小有名气的可爱鬼zy,:居家小能手✨明天又要开始上英语课啦🍃今天的愿望是长高变瘦🌸
敏er小妹,:#健康一春##养生时间##食疗#这款茶最适合居家办公的你（三）——槐花茶药物：菊花、槐花各6克，绿茶3克。功效：清肝凉血。用于肝火目赤、眩晕等证。做法：将槐花、菊花、绿茶同放入砂锅中，加水适量，煮沸即可饮用。如果菊花、槐花较干净，也可直接用水冲泡。说明：槐花有清泻肝火之功效，常与菊花配伍使用。茶叶则清热解毒，三者合用，增强其清热明目的作用。
碌碌长安Fairy,:风和浪一起去闯心里话我陪你讲你是我一生中最珍贵的宝藏温婉居家不卑不亢火箭少女101段奥娟《陪我长大》(《快把我哥带走》电影主题曲)陪我长大@QQ音乐
徐子妍Yeon,:生活碎片3️⃣#生活日常#居家版生活碎片
女装时尚搭配日记,:[最右]【2个装】情侣简约洗漱牙刷杯【￥8.8】这里领卷再下单：【5元券】微博专享限时领券【网红网红同款】情侣居家旅行必备哦，情梳万缕便携式漱口杯！握感舒适，容易清洗，不易产生污垢，而且还是优质PP材质，牢固耐用~【赠运费险】
独立如风,【
是时雨呀,:前几天我还觉得xz被骂是无辜的，只是受到脑残粉丝的牵连。但是随着时间一天天过去，他一直借着疫情居家躲在团队背后，任事件发酵到不可收拾的地步仍不出来发声，就凭这点，他肯定不无辜。粉丝也别洗他因为公司合约的禁锢无法自由发声了，如果没有出来承担后果的勇气，身居流量顶峰的弊端绝对远大于利，糊是早晚的事。
易只烊不是羊x,在“家”的一天@智族GQ
古树普洱1,:北京市政府：凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的、目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天。3月3日，在北京市新冠疫情防控工作新闻发布会上，北京市政府副秘书长陈蓓表示，近期新冠肺炎疫情在海外呈现扩散态势，部分国家疫情发展很快，形势还是很严峻。一些海...http://t.cn/A67pL1Nu
赛里木湖的那块和田玉,:【练口语经典电影】1阿甘正传，2电子情书3居家男人，4公主日记，5逃跑的新娘，6新岳父大人，7BJ单身日记，8奔腾年代，9蒙娜丽莎的微笑，10甜心先生，11热血强人，12铁血教练，13重建人生，14海上钢琴师，15大话王，16单身插班生，17风流奇男子，18妙手情真，19完美男人，20大鱼#影视娱乐#
把女朋友宠上天,:居家好物#走心视频##搞笑视频#把女朋友宠上天的微博视频
江宁发布,:#健康科普汇#【远程居家办公怎么保护眼睛？专家：#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示：①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒。http://t.cn/A67CFqPQ
前行的悠悠然,:通行中人，已开启居家模式，彻底享受生活。而默默的们，正在一路狂奔。不同的世界，千差万别。
yourReality,【纽约州长：新冠肺炎病例80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。http://t.cn/A67CVjKZ#纽约州长称新冠肺炎没必要去医院##特朗普要求几个月内开发出新冠疫苗#
-安安-An_,当代男艺人居家隔离状态：唱作人@于湉认真打歌。这段时间其实他还算平和，因为有更多的时间给到自己，有了更多的自我思考。#爱豆宅家日记##imfine##于湉[超话]#ESQUIREfine的微博视频
冬知夏暖-Girls,:#黄冈给郑爽一家写感谢信#默默的奉献出了自己的一臂之力，虽然不能见面，但也别忘记背后默默支持可爱的人儿，快来查收我的信息，get到我的居家必备，全方位好好爱自己，爱生活，爱周围的人！疫情过去，春暖花开时，希望看到你们的纯真无瑕的笑容！
哈耶耶耶耶哈,请回答1988里你们最想嫁给谁？来说说理由
夏茉GiGi,:居家隔离的第六天…我对黑纱下手了
小幸运_020,:转//#看点快报#《确诊者超5000！床位告急！4名居家隔离患者死亡，韩国进入24小时应急状态》http://t.cn/A67p2xkQ
27罐高兴,:两个菜鸟的居家德州等于没头脑比大小
心角留下的空位,:对于居家隔离，我是认真的，看看你们都吓跑啥，这不添乱吗
爱旅行的懒人,:肖战出演的最美表演短剧《买耳朵》#肖战#来看一看他一镜到底，催人泪下的真情演绎，疫情期间，响应号召居家隔离，多陪陪自己的家人，静待春暖花开
燥燠小姐姐,:#一人一猫的居家日记#D32早上带傻狗去换药，看到了昨天差点带回家的三十万，有点后悔没直接带走
库洛米小熊,【瘦腿】正式上班第一天，祝大家开工大吉！魔鬼帕梅拉女士也很应景的在今天更新了视频
_Hsuannn,孙艺珍📺经常请吃饭的漂亮姐姐𝙋𝙖𝙧𝙩2
红棉袄黄夹克,战战，叔叔阿姨都是克制理性的中年人，一路以来从来没有和任何人争辩过，我们年纪大了，好多都40奔50了，从来不会什么刷数据也不懂反黑，看不懂那些耐人寻味的字母，甚至不知道究竟发生了什么，为什么大家都在争吵，但是你在叔叔阿姨眼里是特别乖的孩子，我们对你的喜欢一点都不曾因为旁人的原因减少一分。战战，你不要怕，我们在用自己的方式守护你。你知道吗？叔叔阿姨有稳定的工作，家里的东西买什么都是我们说了算，我们觉得旁人再大的敌意也不会和赚钱过不去，我们会一直在。她们说中年人动情最恐怖，像老房子着火没救了，可是叔叔阿姨不怕，烧就烧吧，咱家底厚不怕！战战，你是一个大人了，叔叔阿姨知道你一定有自己的想法和决定。你本质善良，无论什么决定只要你初心不改，我们会力挺到底！好好吃饭，天不塌，我们这些老家伙就会一直在！加油！
非常喜欢悠悠球线,在“家”的一天@智族GQ
非常喜欢悠悠球线,在“家”的一天@智族GQ
1徐藝璿,:#趣享生活居家打卡活动#第二周第二天第一次
我是阿一子,#易烊千玺[超话]#|🐈
依稀伊诺,:拍了一晚上，最后没辙只能把手机藏在字后面让萱萱看着才有了一张勉强可以参加三八节活动的居家抗疫作品。表现负分的萱萱，今天一言不合就仰天嚎啕大哭，真的是越大越矫情。滨州·博兴县
食年河东食年河西,:#唯有美食不可辜负#广西居家厨师教大家制作一道超好味的美食，方便又简单食年河东食年河西的微博视频
心灵之音2129371101,:居家隔离解除第八天！儿子好久没出来溜达了！今天强烈要求出来走一走！孩子是真心的憋坏了
尔东威,很多人嘲笑欧美各国让感染者居家隔离。可人家的居家隔离和我们不是一码事。一家子挤在一套小房子里，那必然感染一个全家爆发；而在科学防护的前提下，一个人独居一套公寓，并不会感染同楼层的其他人，一家子住独栋别墅，感染者拥有独立房间+独立洗浴，也不会感染他人。——————被一群人涌过来嘲讽所以加一段解释——————我是措辞不慎，造成了一种“欧美人都好有钱”的错觉，戳到了强国自信神经，对此我深感抱歉。1我国大陆以及香港独特的土地公有制，是房价畸高的原因。收入到达了全国前5%，却还一家人挤在100平，这并不是正常现象。我们大城市的人均居住面积是相当低的。2我国推崇集体生活，不注重个人隐私，以至于群居成为绝对主流。假设你的预算够租一个宽敞明亮卧室，可是你不喜欢合租，宁可换一个面积更小装修更差的独立一居——你会发现，根本不存在这种选择。我们的独居人群也是相当小的。
雪中城子,:居家隔离也自在
天籁香,:@隆鼻综合鼻修复顾伟明米色为底的布艺沙发，深一号的棕色印花占据主导地位，虽整体造型略显简洁单薄，却为室内带来生机盎然的气氛。不过大花案的沙发不太容易驾驭，而留白处理的客厅空间和抢眼的花案沙发搭配，营造不一样的居家氛围。#生活小百科##品质生活#
请关爱大龄智障儿童,:终于结束居家办公的日子，明天去上班，我居然有一丢丢小小的紧张，这是怎么肥事
奀百,【8个居家腹肌训练动作】，无需器械，让你在家就能练出性感的人鱼线和马甲线，男女都能做的哈，推荐每周训练3次，每次跟着视频做1-2遍，腹肌绝对爆燃哦，今晚就开始锻炼腹肌吧！全球创意的微博视频
