Any-mua,xql小動作好多哦🥰
彬缤濒斌,:不知从什么时候开始，我有了一个和普通人相差甚大的交友原则和人际交往方式，我曾以此为荣。这么长时间以来，我对此产生了诸多怀疑和屡次否定。但今天，我深刻意识到，我的人际交往是如此的失败和不堪。我想向所有我曾经的和现在的朋友，道个歉，对不起大家。
慕倾l,:今日份的任务get
象牙灯,:#象牙日记##论读书#19/3/3/22我不爱看书，最讨厌看生涩难懂的书，最爱看垃圾书，主要看言情和搞笑的小说，武侠也看一点点。期期艾艾矫情如琼瑶类的不看，过于中二狗血的也不看，文笔和小学生一个水平的也不看。偶尔为了观察人类，我也看一点正儿八经的书，有些写书的人脑子里装了一房间书，很博学多才，有点让我羡慕呢。我看别人一般这么看书:有一些是网文看一本专业书看一本；有一些是分类看，这段时间看心理学，下个季度就研究社会学或者人类行为学；还有一些看书很随意，拿到一本就看一本；也有一些被人推荐去看书，不好看也硬着头皮看完，原因是觉得看书开了头就必须看到尾；也有一些看书非常有目标，从目录检索只取所需要的部分。
漂亮男孩研究中心,:今天浪费时间了吗浪费了！明天绝对不看手机（因为明天下午要交片
扇子要开花儿,:这段时间来的关注好多顶着二改图的头像简介格式——主修xxxxxxxx微博不到十条大部分人一条都没有空的…主页的图基本都是降噪过度，朦胧魔鬼色调
Design360,:#Award360°2019#年度最佳文创设计>>九九歌>>孙晓曦
枫唯宁,:如果可以
晨曦公益联合会,:人生云水一梦，而我们就是那个寻梦的人，在千年的河上漂流，看过流水落花的风景。有一天老无所依，就划着倦舟归来，回到水乡旧宅，喝几盏新茶，看一场老戏。时间，这样过去，甚好
最抽疯的视频,:法国曾经是白人国家，然而现在其人种的构成，却变成非洲黑人+黑白混血儿为主，这个时间只用了几十年。英法等国深受移民问题困扰，教训还不够吗？人口不够我们加油生不行吗？麻烦取消计划生育，给三胎的家庭小升初的加分政策可以不？歪果仁还是不要引进了好不好？
媛来缘来,:无会费无押金无套路手机电脑均可操作多劳多得时间自由咨询点这☞http://t.cn/A6huSyue懂得让步的人是聪明的，这是把决定事态走向的主动权握在了自己手上。感情中，赢了面子就输了情分。往往死撑到底的人，都成孤家寡人#手机兼职##网上兼职##手机赚钱##打字员#
Jermenote,:时间一步一步教会我们放弃与珍惜懂得珍惜才配拥有🍃
健身老班长,:工作太忙没有时间健身？利用好碎花时间就可以小粗腿！#瘦腿#(￣～￣)嚼!
皮皮卡喵,#每日所需李昇勋#🦁️#killingdancer李昇勋#【INS】200303zzin_pd更新#李昇勋[超话]#相关三个人在干嘛呢?#开始##初拍摄##张水院##李昇勋##权玄彬##噜噜啦啦##jtbcstudios#翻译：阿如呀@xiexietamong#WINNER[超话]#【2020新专回归团GO：http://t.cn/A6hO2nGn】【存爱箱第9箱：http://t.cn/A67PHaAm】
运动健身教程,:【快速流汗有氧训练】能够在短时间内高质量地燃烧体内脂肪，比在跑步机上连续跑一个小时还有效果。9个动作，每个25次，间隔休息30秒，坚持锻炼30天，你会看到明显效果的！#有氧运动#(┬＿┬)↘
壹只西西儿,:真不知道自己的手是咋回事，每过一段时间就会发现自己不知道啥时候点赞或关注了一些奇奇怪怪的微博
旧海·,:原来超级晋的时尚巴傻只有三个小时的拍摄时间啊烂的合情合理我理解了辛苦工作人员了李🈵给我爬
小娴娴娴姐,:那就不要一起生活了，老一辈的人生活环境不一样，很多东西跟年轻人的观念是不一样的，遇到互相理解，开明的还好，不然时间久了就会有矛盾，还不如分开住，距离产生美和婆婆观念不合应该怎么办？
运动健身教程,:【快速流汗有氧训练】能够在短时间内高质量地燃烧体内脂肪，比在跑步机上连续跑一个小时还有效果。9个动作，每个25次，间隔休息30秒，坚持锻炼30天，你会看到明显效果的！#有氧运动#(┬＿┬)↘
皮皮卡喵,#每日所需李昇勋#🦁️#killingdancer李昇勋#【INS】200303zzin_pd更新#李昇勋[超话]#相关三个人在干嘛呢?#开始##初拍摄##张水院##李昇勋##权玄彬##噜噜啦啦##jtbcstudios#翻译：阿如呀@xiexietamong#WINNER[超话]#【2020新专回归团GO：http://t.cn/A6hO2nGn】【存爱箱第9箱：http://t.cn/A67PHaAm】
_啊呀啊呀,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
听闻远方有你在等我,:多希望时间停留，停在你说那句话的时候，最初的美好与真挚。可是不管我们愿意不愿意，时光还是携裹着我们前行，告诉自己别害怕，喜怒哀乐我们一起去感受吧！#初心#
宇宙维他命-Vitamin,心情不好的时候就去健身，跑步，散步都可以，精神上的强大比任何强大都有力量。一直关注消极的东西没有什么用。有什么目标就一定要去行动，关注点放在如何成为更好的自己。尝试新的事物，包括新的友情，新的爱情，新的环境，尝试任何可能的东西。
StarElectricity,拥有娃娃脸是一种怎么样的感觉？#自信满满奥利给#
嘭冬Cheney,:#陈学冬[超话]##陈学冬格林威治时间#爱情最妙的不是天长地久更不是你死我活而是＂自动屏蔽＂我喜欢你的时候眼里没有别人@陈学冬
池円,#王子异[超话]#[拳頭]#王子异爱有我力挺#🆘🆘🆘拯救超话大作战开始啦！很感谢各位给小战提供建议的喜宝们！💙🈶️看到有喜宝问，打榜对子异真的有实际帮助吗？✅回答是毫无疑问的肯定。超话是安利窗口，也是重要门面。排名的不好真的会拖累不断在前进的子异，希望各位喜宝们真的重视并且行动起来！号是可以培养的，积少成多，但如果你不做只指望着别人，数据只会不断下滑。从以前的30+到现在的60+，你真的为子异努力了吗？不要因为他很努力，所以大家都不努力！❌❌📣小战在这里再次呼吁：没时间，当天一定把大号的分拿🈵️！有时间，养小号3-5个，大小号一起做！🔵做数据是很枯燥无趣，很多时候没有办法坚持下来，因此小战准备了丸圈超话打榜小组趣味pk赛，活动形式如下：1⃣️此条微博评论区自发报名担任队长。🔹申请队长时无严格数据要求，人人皆可。希望有责任能坚持的喜宝们能主动站出来担任队长，小战将建【队长群】进行统一管理。2⃣️队长在超话自主征集组员，人数不超过10人。🔹会做数据的喜宝尽量都当队长哦，带带新人。这才是组队的意义。🔹当队长选择数据大佬们做队友时，小战建议小号数量超过10个的大佬们分散在各群，能在不同队内带动新人。各队队长自主建小队群并组织决定队名，然后在【队长群】完成队名及队员ID登记。3⃣️队长统计每日队内完成「超话任务满分」情况，当日23:50前在小战的【队长群】汇报即可。🔹数据榜单打卡即可，与此项不冲突。4⃣️各队数据排名小战将在隔日开始进行每日播报。🔹请大家千万不要觉得只有一个号太少了就不参与。只要做了就值得被鼓励。同时，小战也想通过这样的方式，带动丸圈更多的喜宝们参与超话数据。🎁奖励机制：🔹小战将按周期根据各队数据排名奖励优秀队伍。🔹如果日后小战有获得的丸圈福利会站内成员与优秀队伍统筹考虑安排。🔹但由于小战提供奖品能力有限，如果有喜愿意赞助小奖品，可以私信小战。计分机制：🔵总分=基础分+附加分🔹附加分内容/优秀队伍选拔周期与名次等其他细节问题，将在【队长群】统一商量讨论决定。最后，如果有对提升超话排名及超话内容趣味性有更好的建议，欢迎私信小战。那么，现在就一起行动起来吧！[拳頭]@王子异
欧阳静鱼儿,:给所有的故事一个温暖的结局🍀#闲在家的一些零碎时间#北京·郑常庄307号院
山西吕梁交警,:#同心抗疫为爱护航#【汾阳警民携手抗疫情】疫情防控还在持续进行，企业复工复产工作也在有序开展。在这场战“疫”中，汾阳市公安局交警大队民警既是疫情防控的“守护人”，又是复工复产的“护航人”，他们不畏艰险、日夜兼程的用心守护彰显了公安干警的初心使命，也赢得了广大市民的真诚赞美。日前，该大队迎来了一位特殊的客人，他是汾阳市富元足道公司负责人曾凡良。其此行向交警大队赠送了800个口罩、300副手套、3箱消毒液等防疫物品。曾凡良被公安民警忠诚奉献、舍小家为大家的无私奉献精神所感动，他希望尽己所能，为一线执勤民警提供帮助，为疫情防控贡献自己的一份力量。该队闫亚平大队长代表全队干警向曾凡良致以最真诚的感谢，并表示会第一时间把物资发放到执勤民警手中，发挥其应有的作用。警为民，民爱警，警民鱼水一家人。在这特殊时期，汾阳爱心人士的善举，为这场疫情防控阻击战注入了一股暖流，温暖着一线执勤民警的心。非常时期，警民同心克难、携手作战、众志成城战疫情，决心打赢防控阻击战。@山西交警http://t.cn/AigLH3lA
Hisooi_Aa,#天天云时间#【录制花絮】高三生#何洛洛[超话]#在线分享真·网课日常[喵喵]@R1SE-何洛洛湖南卫视天天云时间的微博视频
曈朣是咸鱼,:get到了pm5的画风
健身老班长,:工作太忙没有时间健身？利用好碎花时间就可以小粗腿！#瘦腿#(￣～￣)嚼!
皮皮卡喵,#每日所需李昇勋#🦁️#killingdancer李昇勋#【INS】200303zzin_pd更新#李昇勋[超话]#相关三个人在干嘛呢?#开始##初拍摄##张水院##李昇勋##权玄彬##噜噜啦啦##jtbcstudios#翻译：阿如呀@xiexietamong#WINNER[超话]#【2020新专回归团GO：http://t.cn/A6hO2nGn】【存爱箱第9箱：http://t.cn/A67PHaAm】
运动健身教程,:【快速流汗有氧训练】能够在短时间内高质量地燃烧体内脂肪，比在跑步机上连续跑一个小时还有效果。9个动作，每个25次，间隔休息30秒，坚持锻炼30天，你会看到明显效果的！#有氧运动#(┬＿┬)↘
壹只西西儿,:真不知道自己的手是咋回事，每过一段时间就会发现自己不知道啥时候点赞或关注了一些奇奇怪怪的微博
知名大鳄,:【女性的健康标准】你足够健康么？①每周锻炼至少2.5小时；②腰围低于89cm；③总胆固醇水平200毫克/分升；④每天摄入膳食纤维：25克；⑤睡眠时间7—8小时；⑥血压120/80毫米汞柱；⑦宠物数量1—2个；⑧不吃抗氧化剂补充片；⑨每日饮酒量1杯；⑩不吸烟。
_啊呀啊呀,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
听闻远方有你在等我,:多希望时间停留，停在你说那句话的时候，最初的美好与真挚。可是不管我们愿意不愿意，时光还是携裹着我们前行，告诉自己别害怕，喜怒哀乐我们一起去感受吧！#初心#
宇宙维他命-Vitamin,心情不好的时候就去健身，跑步，散步都可以，精神上的强大比任何强大都有力量。一直关注消极的东西没有什么用。有什么目标就一定要去行动，关注点放在如何成为更好的自己。尝试新的事物，包括新的友情，新的爱情，新的环境，尝试任何可能的东西。
StarElectricity,拥有娃娃脸是一种怎么样的感觉？#自信满满奥利给#
嘭冬Cheney,:#陈学冬[超话]##陈学冬格林威治时间#爱情最妙的不是天长地久更不是你死我活而是＂自动屏蔽＂我喜欢你的时候眼里没有别人@陈学冬
池円,#王子异[超话]#[拳頭]#王子异爱有我力挺#🆘🆘🆘拯救超话大作战开始啦！很感谢各位给小战提供建议的喜宝们！💙🈶️看到有喜宝问，打榜对子异真的有实际帮助吗？✅回答是毫无疑问的肯定。超话是安利窗口，也是重要门面。排名的不好真的会拖累不断在前进的子异，希望各位喜宝们真的重视并且行动起来！号是可以培养的，积少成多，但如果你不做只指望着别人，数据只会不断下滑。从以前的30+到现在的60+，你真的为子异努力了吗？不要因为他很努力，所以大家都不努力！❌❌📣小战在这里再次呼吁：没时间，当天一定把大号的分拿🈵️！有时间，养小号3-5个，大小号一起做！🔵做数据是很枯燥无趣，很多时候没有办法坚持下来，因此小战准备了丸圈超话打榜小组趣味pk赛，活动形式如下：1⃣️此条微博评论区自发报名担任队长。🔹申请队长时无严格数据要求，人人皆可。希望有责任能坚持的喜宝们能主动站出来担任队长，小战将建【队长群】进行统一管理。2⃣️队长在超话自主征集组员，人数不超过10人。🔹会做数据的喜宝尽量都当队长哦，带带新人。这才是组队的意义。🔹当队长选择数据大佬们做队友时，小战建议小号数量超过10个的大佬们分散在各群，能在不同队内带动新人。各队队长自主建小队群并组织决定队名，然后在【队长群】完成队名及队员ID登记。3⃣️队长统计每日队内完成「超话任务满分」情况，当日23:50前在小战的【队长群】汇报即可。🔹数据榜单打卡即可，与此项不冲突。4⃣️各队数据排名小战将在隔日开始进行每日播报。🔹请大家千万不要觉得只有一个号太少了就不参与。只要做了就值得被鼓励。同时，小战也想通过这样的方式，带动丸圈更多的喜宝们参与超话数据。🎁奖励机制：🔹小战将按周期根据各队数据排名奖励优秀队伍。🔹如果日后小战有获得的丸圈福利会站内成员与优秀队伍统筹考虑安排。🔹但由于小战提供奖品能力有限，如果有喜愿意赞助小奖品，可以私信小战。计分机制：🔵总分=基础分+附加分🔹附加分内容/优秀队伍选拔周期与名次等其他细节问题，将在【队长群】统一商量讨论决定。最后，如果有对提升超话排名及超话内容趣味性有更好的建议，欢迎私信小战。那么，现在就一起行动起来吧！[拳頭]@王子异
Hisooi_Aa,#天天云时间#【录制花絮】高三生#何洛洛[超话]#在线分享真·网课日常[喵喵]@R1SE-何洛洛湖南卫视天天云时间的微博视频
山西吕梁交警,:#同心抗疫为爱护航#【汾阳警民携手抗疫情】疫情防控还在持续进行，企业复工复产工作也在有序开展。在这场战“疫”中，汾阳市公安局交警大队民警既是疫情防控的“守护人”，又是复工复产的“护航人”，他们不畏艰险、日夜兼程的用心守护彰显了公安干警的初心使命，也赢得了广大市民的真诚赞美。日前，该大队迎来了一位特殊的客人，他是汾阳市富元足道公司负责人曾凡良。其此行向交警大队赠送了800个口罩、300副手套、3箱消毒液等防疫物品。曾凡良被公安民警忠诚奉献、舍小家为大家的无私奉献精神所感动，他希望尽己所能，为一线执勤民警提供帮助，为疫情防控贡献自己的一份力量。该队闫亚平大队长代表全队干警向曾凡良致以最真诚的感谢，并表示会第一时间把物资发放到执勤民警手中，发挥其应有的作用。警为民，民爱警，警民鱼水一家人。在这特殊时期，汾阳爱心人士的善举，为这场疫情防控阻击战注入了一股暖流，温暖着一线执勤民警的心。非常时期，警民同心克难、携手作战、众志成城战疫情，决心打赢防控阻击战。@山西交警http://t.cn/AigLH3lA
旧海·,:原来超级晋的时尚巴傻只有三个小时的拍摄时间啊烂的合情合理我理解了辛苦工作人员了李🈵给我爬
小娴娴娴姐,:那就不要一起生活了，老一辈的人生活环境不一样，很多东西跟年轻人的观念是不一样的，遇到互相理解，开明的还好，不然时间久了就会有矛盾，还不如分开住，距离产生美和婆婆观念不合应该怎么办？
小娴娴娴姐,:那就不要一起生活了，老一辈的人生活环境不一样，很多东西跟年轻人的观念是不一样的，遇到互相理解，开明的还好，不然时间久了就会有矛盾，还不如分开住，距离产生美和婆婆观念不合应该怎么办？
Jermenote,:时间一步一步教会我们放弃与珍惜懂得珍惜才配拥有🍃
健身老班长,:工作太忙没有时间健身？利用好碎花时间就可以小粗腿！#瘦腿#(￣～￣)嚼!
皮皮卡喵,#每日所需李昇勋#🦁️#killingdancer李昇勋#【INS】200303zzin_pd更新#李昇勋[超话]#相关三个人在干嘛呢?#开始##初拍摄##张水院##李昇勋##权玄彬##噜噜啦啦##jtbcstudios#翻译：阿如呀@xiexietamong#WINNER[超话]#【2020新专回归团GO：http://t.cn/A6hO2nGn】【存爱箱第9箱：http://t.cn/A67PHaAm】
运动健身教程,:【快速流汗有氧训练】能够在短时间内高质量地燃烧体内脂肪，比在跑步机上连续跑一个小时还有效果。9个动作，每个25次，间隔休息30秒，坚持锻炼30天，你会看到明显效果的！#有氧运动#(┬＿┬)↘
土豆YOU个颇忒頭,:只管努力，其余都交给时间
知名大鳄,:【女性的健康标准】你足够健康么？①每周锻炼至少2.5小时；②腰围低于89cm；③总胆固醇水平200毫克/分升；④每天摄入膳食纤维：25克；⑤睡眠时间7—8小时；⑥血压120/80毫米汞柱；⑦宠物数量1—2个；⑧不吃抗氧化剂补充片；⑨每日饮酒量1杯；⑩不吸烟。
_啊呀啊呀,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
听闻远方有你在等我,:多希望时间停留，停在你说那句话的时候，最初的美好与真挚。可是不管我们愿意不愿意，时光还是携裹着我们前行，告诉自己别害怕，喜怒哀乐我们一起去感受吧！#初心#
宇宙维他命-Vitamin,心情不好的时候就去健身，跑步，散步都可以，精神上的强大比任何强大都有力量。一直关注消极的东西没有什么用。有什么目标就一定要去行动，关注点放在如何成为更好的自己。尝试新的事物，包括新的友情，新的爱情，新的环境，尝试任何可能的东西。
openatmidnight,:烤了面包并决定退出烘培界一段时间
周口审计,:河南继续推迟开学时间具体日期提前一周公布http://t.cn/A67XS9Ja
爱荣清,:翻着好友列表，看着这些年认识的各色各样的人，时间的真好快，快到我根本无法想象以后只剩下我自己的时候，我应该怎么过…特别是我的家人…一想到这些就难过的不能呼吸。
impppphoebe,:果然休息久了就会变懒，上班了一个星期，仍然没有上班的状态
刘小姐-Lx,:疫情在家打发时间可以的
piupiu-carol-h,#杨紫[超话]#速报总结zmjj辛苦了！过万过万
impppphoebe,:果然休息久了就会变懒，上班了一个星期，仍然没有上班的状态
刘小姐-Lx,:疫情在家打发时间可以的
吃很多糖也不蛀牙,:太顶了我因为不爱出门爱睡觉不爱说话爱翻白眼被我爸妈确诊抑郁症了一切矛盾的起因都源于一起在家呆太长时间了啥时候复工啊我太难了吧
汪知子Js,:我知道拍照时我的表现确实很菜啦……以后多拍些就好了吧这段时间只能用手机自拍🤳真希望以后拍正片时不那么菜了
piupiu-carol-h,#杨紫[超话]#速报总结zmjj辛苦了！过万过万
晓路说,:听说代购这段时间忙蒙了，前一阵子从日本往中国运口罩，现在又从中国往日本倒腾
