中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
深圳微博发布厅,:#防控工作每日发布#【确诊0新增！新增出院30例，累计出院1159例！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。http://t.cn/A67TAJpr
深圳特区报,:【3月4日广东无新增新冠肺炎确诊病例，新增出院30例，累计出院1159例】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。http://t.cn/A67TGRPw
新浪广东,:【3月4日广东确诊0新增，新增出院30例，累计出院1159例】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。#广东抗击新型肺炎#【专题报道】http://t.cn/A6P5cggj【治愈出院】@汕头发布今早又一例新冠肺炎患者治愈出院！http://t.cn/A67TKKXL@健康广州截至2020年3月4日24时广州新增治愈出院9例http://t.cn/A67T9XZj@深圳卫健委截至2020年3月4日24时深圳新增治愈出院9例http://t.cn/A67T9XZE@珠海卫生健康截至2020年3月4日24时珠海新增治愈出院1例http://t.cn/A67T9XZl
汕尾天气,:【早间天气】预计今天白天到夜间，我市阴天有小雨，城区15到19度，海丰、陆丰14到19度，陆河12到18度，偏东风3到4级，阵风5级，沿海阵风6到8级，相对湿度70%到98%。汕尾市气象台3月5日早发布
海丰县下楼村,:#汕尾爆料##城市生活家##汕尾身边事#【800名四川籍农民工乘专列抵达汕尾】在市委、市政府的指导下，市人社部门联合汕尾信利公司积极与四川省眉山市仁寿县对接，由汕尾市政府承担交通费用，统筹了800名农民工来汕务工。3月2日晚，这800名农民工乘坐的G6341仁寿来汕务工专列停靠在汕尾高铁站，很快他们就将走上工作岗位，为我市的复工复产再注入新动能。记者纪丹云：在这万物复苏的季节，复工复产仍是进行时，我市继在之前成功接回一批批返岗员工后，在今晚我们又迎来一批来自四川省眉山市仁寿县的农民工，（2号）晚上的22:58分，乘坐着仁寿来汕务工专列的800名来自四川省眉山市仁寿县“家人们”已经安全达到汕尾站。大家通过图片可以看到，现在他们陆续下车，汕尾再一次实现了务工人员“从出门到车门再到厂门”的“无缝链接”。　　据介绍，在多方的协调下，这800名员工于3月2日上午11:00从四川眉山市出发，经广州中转后抵达汕尾。我市相关部门安排了100名工作人员到场，落实员工对接、健康检测、接送安排等等各个细节，切实为企业用工服务当好“店小二”。四川籍来汕务工人员：这一路感觉到很顺利，政府给了我们这一次机会到广东来工作，大家在一起，队伍很团结。我们都是很平安的到达了目的地。四川籍来汕务工人员：现在都知道疫情这方面，出来很不方便，出远门，很麻烦的对不对，感谢信利公司对我们农民工的支持。四川籍来汕务工人员：（记者：如果没有这么快复工对你来说意味着什么？）就没有收入呀，挣不到钱。（记者：现在呢？）现在可以过来上班了，挺好的。记者纪丹云：而在汕尾站外，早有40辆新能源公交车等候着仁寿“家人”的到来。据了解，这40辆专车，是由我市交通运输局协调粤运公司调集的，从汕尾站出发后交警部门将全程“护航”，确保平安有序的将他们送到信利电子厂。市劳动就业服务管理中心主任李丽华：在市交通、卫健、公安等部门的共同努力和支持配合下，现在我们已经将四川仁寿800名新招员工顺利送达了咱们这个信利厂区，实现了从家门口到厂门口，点对点的企业用工服务，我们作为人社部门，就业部门，就要努力，为企业用工服务当好“店小二”。　　到达信利电子厂区之后，早已等候在这里的工作人员马上为这800名员工办理了相关的登记手续并将个人宿舍分配到位。据悉，川、粤、浙三省目前实现了健康互认机制，本次来汕务工人员均持有《四川外出务工人员健康申报》证明，一抵达汕尾即可迅速安排工作，大大加快了企业安全有序复工复产的节奏。信利集团行政及人力资源部总经理陈胜能：800位生力军的加入将会给我们信利的生产带来一股强大的动力，因为我们现在正在紧张的复工复产当中，这800人注入新生力量之后，将会使我们的产值得到一个很大的提升，咱们汕尾市人社局这次出了暖企政策，那么新到汕尾入职的外地务工人员将享有1000元的补助，800位新同事将会得到这个政策的补助。记者纪丹云：信利电子厂的宿舍区是4人间，现在已经入住了由我们刚刚从汕尾站接过来的仁寿县的务工人员，他们正在床上整理被褥，而且我们可以看到信利电子厂贴心的为他们准备了生活的物资，确保他们一下车来到信利电子厂就有一个舒适的生活环境。
汕尾天气,:【晚间天气】预计今晚到明天：阴天，有小到中雨，汕尾城区16到19度，海丰14到19度，陆丰15到19度，陆河12到18度，东北到东风3到4级，阵风5级，沿海阵风6到7级，相对湿度65%到98%。空气质量：优。汕尾市气象台3月4日傍晚发布
汕尾天气,:【汕尾海区天气】预计今晚到明天，汕尾附近海面：阴天，有中雨，18到21度，东北风7级，阵风8到9级，能见度9到17公里。汕尾市气象台3月4日傍晚发布
汕尾天气,:【汕尾海上强风警报】受冷空气影响，预计今晚到明天，汕尾附近海域风力加大，将出现东北风7级，阵风8到9级。防御指引：请上述海域航行、作业的船舶和人员留意我台最新预报警报，注意航行安全。汕尾市气象台2020年03月04日16时发布：http://t.cn/EbghzHg
白字戏吴佩锦,:汕尾市戏剧家协会创作的白字戏歌《泱泱中华无所惧》作词：林汉齐、钟训成，作曲：陈务可，编曲：严翔，演唱：吴佩锦、陈海珊等白字戏吴佩锦的微博视频
汕尾海洋预报台,:【汕尾市重点渔港】24小时海洋预报
汕尾海洋预报台,:【汕尾市近岸海域】24小时海洋预报
汕尾天气,:【午间天气】预计今天下午到夜间，我市阴天有小雨，汕尾城区15到21度，海丰、陆丰14到22度，陆河13到20度，偏东风3级，阵风4到5级，相对湿度70%到98%。汕尾市气象台3月4日中午发
佛山市图书馆,:3月3日，广东0新增！无疑似病例！截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。
广州铁路,:#交通战疫24小时##疫情防控交通动态##复工#3月2日21时20分，广州南站开出了一辆就业专列。这是供836名四川眉山籍务工人员前往广东汕尾市定点企业开工的专列，由广九客运段南广动车队担当值乘任务。接到开行“就业专列”的调令后，南广动车队迅速组织，党员主动请缨。列车能安全正点，旅客乘车安心，对服务满意，这就是铁路人的责任和使命。（周云嫣）@中国铁路
DV现场,:【3日广东新增确诊病例0例，新增出院48例】截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。
晶报,:【3日广东0新增确诊，新增治愈出院48例】截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。@健康广东
新浪广东湛江,:#湛江抗击疫情在行动#【最新】3日，湛江：0新增，广东：0新增！#湛江抗疫在行动#截至3月3日24时，湛江市累计报告新冠肺炎确诊病例22例。3日0-24时全市无新增确诊病例。有2名密切接触者正在接受医学观察。累计报告确诊病例中，男性12例，女性10例，年龄介于23至79岁之间。在院的确诊病例中，普通型3例。累计出院病例19例。无死亡病例，无医务人员感染病例。按照确诊病例管理地区划分，赤坎区3例，霞山区3例，坡头区2例，开发区1例，雷州市3例，廉江市2例，吴川市4例，其他4例（其中由健康管理集中监测点直接送往定点收治医院2例，由高铁站直接送往定点收治医院1例，由广西合浦县山口镇自驾前往定点收治医院1例）。广东2020年3月4日广东省新冠肺炎疫情情况截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。（湛江新冠防控办健康广东）
新浪广东顺德,:【3日广东新增确诊病例0例，新增出院48例】截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。http://t.cn/A67O7X7P
汕尾同城,:#汕尾爆料##城市生活家##汕尾身边事#【督查！汕尾市多家汽车企业防控措施不到位！】【战“疫”督查（44）】市城区部分企业防控措施不到位，服务企业跟进机制需完善　《战“疫”督查》系列报道播出后，相关职能部门行动，对曝光的问题迅速落实整改。对陆丰市陆城地区部分超市、市场防疫落实不到位问题，陆丰市上报，已经压实该市科工信局、市监局、东海镇责任，科工信局派出驻企指导组帮助企业落实整改，将用一个月时间对陆丰各地超市、商场、市场进行自查自纠，市监局约谈负责人提高疫情防控认识，落实没佩戴口罩不能进市场要求，做到一日一清洗一消毒，东海镇增加人员值守，逢人必检测，增强保洁力度，保持市场环境卫生。对陆河县企业服务还需进一步深入问题，陆河县上报，县农业农村局提升驻企指导员“店小二”服务水平，使惠企政策措施落实到位，而个别企业“粤康码”走过场情况，县科工信局已经上门指导，落实整改。接下来，我们继续关注最新的疫情督查情况。　　2月29日，市疫情防控指挥部督查督办组对市城区疫情防控与复工复产情况开展专项督查。其中，信德行汽贸有限公司、捷晟汽车有限公司、中溢丰田汽车销售服务有限公司、君乐汽车销售服务有限公司都存在部分顾客、员工没有佩戴口罩或口罩佩戴不规范问题，企业防疫主体责任与防控措施落实不到位。督查人员：我们进来的时候，很多人口罩没戴，你们要注意一下。汕尾市君乐汽车销售服务有限公司企业负责人：明白。　　督查中，君乐汽车销售服务有限公司对我市金融助企措施不了解，负责人反映没有收到金融助企措施的通知文件，驻企指导员仅到场1次。君乐汽车销售服务有限公司企业负责人：金融政策这个没有。督查人员：就是融资需求。　君乐汽车销售服务有限公司企业负责人：融资，文件是没有。　　随后，就企业反映问题，督查人员电话联系了服务专班负责人和驻企指导员。专班负责人表示，政策文件可能由其他部门发送；驻企指导员则表示因本职工作繁重，所以才到企指导1次。督查人员：企业在反映，到现在还没收到，这个金融帮助企业的一些政策性文件。专班负责人：文件没收到呀？金融这方面的宣传，我那天有拿了宣传资料给他们了，文件我究竟有没有拿给他们，我都没去注意。督查人员：自从疫情到现在，只有昨天（2月28日）来过一次啊？驻企指导员：因为我们这个是前两天才接到通知说，就是需要驻企指导，所以我昨天（2月28日）抽空过了一次。督查人员：那你们什么时候接到任务？驻企指导员：这周一（2月24日）。督查人员：等于说星期一（2月24日）接到通知，你到星期五（2月28日）才来一次，是不是这样子？驻企指导员：是的，然后途中都是用微信和电话跟他们通知。　　希望相关县区与职能部门针对存在问题，扎实落实整改，压实企业疫情防控主体责任，做好体温检测与劝导佩戴口罩工作，使防控措施落地生效。对市城区服务企业跟进机制需完善问题，希望相关企业服务专班和驻企指导员好好反思一下，该如何当好“店小二”、该如何“内强素质、外树形象”，希望市里也健全完善相应奖惩制度，奖励勤快有力的“店小二”，批评教育惩处软弱无力的“店小二”，让“店小二”这个品牌焕发光彩。【战“疫”督查（44）】市城区部分企业防控措施不到位，服务企业跟进机制需完善　《战“疫”督查》系列报道播出后，相关职能部门行动，对曝光的问题迅速落实整改。对陆丰市陆城地区部分超市、市场防疫落实不到位问题，陆丰市上报，已经压实该市科工信局、市监局、东海镇责任，科工信局派出驻企指导组帮助企业落实整改，将用一个月时间对陆丰各地超市、商场、市场进行自查自纠，市监局约谈负责人提高疫情防控认识，落实没佩戴口罩不能进市场要求，做到一日一清洗一消毒，东海镇增加人员值守，逢人必检测，增强保洁力度，保持市场环境卫生。对陆河县企业服务还需进一步深入问题，陆河县上报，县农业农村局提升驻企指导员“店小二”服务水平，使惠企政策措施落实到位，而个别企业“粤康码”走过场情况，县科工信局已经上门指导，落实整改。接下来，我们继续关注最新的疫情督查情况。　　2月29日，市疫情防控指挥部督查督办组对市城区疫情防控与复工复产情况开展专项督查。其中，信德行汽贸有限公司、捷晟汽车有限公司、中溢丰田汽车销售服务有限公司、君乐汽车销售服务有限公司都存在部分顾客、员工没有佩戴口罩或口罩佩戴不规范问题，企业防疫主体责任与防控措施落实不到位。督查人员：我们进来的时候，很多人口罩没戴，你们要注意一下。汕尾市君乐汽车销售服务有限公司企业负责人：明白。　　督查中，君乐汽车销售服务有限公司对我市金融助企措施不了解，负责人反映没有收到金融助企措施的通知文件，驻企指导员仅到场1次。君乐汽车销售服务有限公司企业负责人：金融政策这个没有。督查人员：就是融资需求。　君乐汽车销售服务有限公司企业负责人：融资，文件是没有。　　随后，就企业反映问题，督查人员电话联系了服务专班负责人和驻企指导员。专班负责人表示，政策文件可能由其他部门发送；驻企指导员则表示因本职工作繁重，所以才到企指导1次。督查人员：企业在反映，到现在还没收到，这个金融帮助企业的一些政策性文件。专班负责人：文件没收到呀？金融这方面的宣传，我那天有拿了宣传资料给他们了，文件我究竟有没有拿给他们，我都没去注意。督查人员：自从疫情到现在，只有昨天（2月28日）来过一次啊？驻企指导员：因为我们这个是前两天才接到通知说，就是需要驻企指导，所以我昨天（2月28日）抽空过了一次。督查人员：那你们什么时候接到任务？驻企指导员：这周一（2月24日）。督查人员：等于说星期一（2月24日）接到通知，你到星期五（2月28日）才来一次，是不是这样子？驻企指导员：是的，然后途中都是用微信和电话跟他们通知。　　希望相关县区与职能部门针对存在问题，扎实落实整改，压实企业疫情防控主体责任，做好体温检测与劝导佩戴口罩工作，使防控措施落地生效。对市城区服务企业跟进机制需完善问题，希望相关企业服务专班和驻企指导员好好反思一下，该如何当好“店小二”、该如何“内强素质、外树形象”，希望市里也健全完善相应奖惩制度，奖励勤快有力的“店小二”，批评教育惩处软弱无力的“店小二”，让“店小二”这个品牌焕发光彩。
