哎衣箱呀嗯嗯9459,:巨蟹座（胸部）。自以为很聪明……将对方能够轻易的掌握在手里。温州·顺溪嘉园
軍醫周曉峰,:【6种水果助丰胸】1.青木瓜促进蛋白质的吸收，搭配肉类效果最佳（木瓜排骨汤）。2.橙子富含维C，预防胸部下垂外扩（橙子酒酿）。3.葡萄预防胸部变形（葡萄番茄汁）。4.西柚抗氧化、美胸（西柚苹果汁）。5.番茄让胸部更有弹性（番茄豆腐汤）。6.牛油果含不饱和脂肪酸，促进女性荷尔蒙分泌。
海峡都市报,:【#远程居家办公怎么保护眼睛#：记住#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒…更多↓http://t.cn/A67CFqPQ
Lemon柚子殿下_柠檬家,:#猫奴用品#春夏款华歌尔品质稳稳的记住我每次强调的这句话！闭眼入就行了
XXXXXXXX民,:地狱之火灼烧着赌徒。虽然这两个人都看上去有胸但是都是男性，因为画家的画风就是这样，抄本其他页面里这种发型和胸部的是男性，女性多用长发表示。TaymouthHours，14c
晴天lepton,:弧度感觉的胸部设计……极具复古的气息；绝好的包裹线条。温州·永嘉电大
运动健身老师,:【瘦身减脂教程在家就能做的几个动作】8个动作，锻炼胸部同时赶走手臂拜拜肉！(•́.̫•̀)
知我天命胜过天,:#幽默搞笑#【胸大有脑？】美国社会学家艾温·罗斯戴尔女士在对1200名美国妇女胸部及智商联系进行对比研究后发现，女性的胸部越丰满，她就越聪明。胸部丰满的女性，智商要比普通女性高出10分左右。甚至那些“中号”女性也比“偏平胸”的女性们高出3至4分。评论：怪不得芙蓉姐姐要考北大清华！
amaylia,我跟你拼了
传承中医5,:【太冲穴】常按太冲穴到行间穴是解肝郁的好方法。（注意方向：从太冲穴往行间穴方向按）肝郁气滞，气郁生痰，经常生闷气，肝气郁结在心里的人会感觉喉咙里总有痰，吞又不下，吐又不出。有些女子因为经常生气导致胸部有硬块，患乳腺增生，子宫肌瘤的也不在少数。所以说，做人呐，最紧要的是开心。按太冲穴到行间穴，男女老少通用。视频演示如何按太冲穴http://t.cn/RSN3tMs
银狐hyk,:在公司拆快递，透过泡沫纸模模糊糊看到了大面积裸露的肉体，一只手摸着女人的胸部，以为是谁恶作剧给我寄了黄色碟片或者黄色广告，瞬间僵硬了。直播中快上车......
车厘子甜了呢,:我在@Keep完成了第10次的女生小哑铃塑形·胸部强化http://t.cn/A6706uZr
4mAYP183k4U,:在星巴克。能不能换一首有品位的音乐：随意的调节，这几首歌都太燥了、衣摆下方的抽带设计：帮我把耳机拿下来了；胸部的褶皱线条设计……无锡·广瑞公寓丰泽苑
娱圈小神探,:20岁的韩安冉胸部像两个“大布袋”，都掉到腰部了，却毫不在意#韩安冉#20岁的韩安冉胸部像两个“大布袋”，都掉到腰部了，却毫不在意
微风细雨620,全方位胸部肌肉锻炼，全中文字幕，非常全面的指导，赶紧get！运动健身精选的秒拍视频
运动健身教程,:9张关于锻炼腹肌的动图，360度无死角地轰炸你的腹肌，不怕腹肌不出来，只怕你不敢练哟
研华奈特不进,:一起听歌、将女性从对丰满的胸部或身体的近乎偏执的或自虐般的自我预设中解放出来———“她是第一位不以性感取胜的人”。一起吃饭、一起受罚、一起开心。『有感触的请转发』！如今想起了那所学校，一起聊天，记得曾经。
不瘦10斤不改名的皮卡丘,:#今日份晨练#女团腿-大腿✖️1女团腿-小腿✖️1暖央胸部运动✖️1(手臂力量依旧菜🐔，撑不起来)新美丽芭蕾腿部运动✖️1林芊妤20分钟瘦腿运动✖️1泡沫轴滚一滚来看帅哥不瘦10斤不改名的皮卡丘的微博视频
竹生生-,:又梦到家人在清理家里的杂物了，清理出一具陈年女尸，是几百年前因为太思想前卫而被人先奸后杀还要做成了标本，放在一个木盒子里面用福尔马林泡着的，只有脑袋胸部和双手的女尸。还梦到我又上广州塔了，这次是跟舍友一起，去上面玩机动游戏，过山车什么的
陈辣辣niki,:#宅家健康运动计划#【我的宅家运动】俯撑类的动作可以说是瑜伽垫上的全能动作了，不仅能训练核心，同时手臂胸部背部臀腿都可以练到；是宅家运动必不可少的；今天分享的几个动作，还可以训练身体的协调性及平衡性；一起练起来吧～#我的宅家运动##运动vlog#绿洲陈辣辣niki的微博视频
健身老班长,:在家进行胸部+背部锻炼，今天的目标是上半身，胸部和背部的锻炼!通过这四组胸背部运动来增强和调节上半身的力量，一起来打卡运动吧！细分：10次x4组所需设备：哑铃，稳定球+运动垫或其他柔软的表面。#胸部训练#--(˙<>˙)/--健身老班长的微博视频
尹欣怿_抑郁,:3；臀部，一边将膝盖接近胸部！大腿和膝盖用力，脚尖与腿部呈90度弯曲……4！【简单四招拯救微凸小肚子】1：大腿和膝盖内侧用力！
梦的水色,:就对对方好、所谓爱！相爱了：也可能是在犯错，拥有强大内心不如拥有强大的胸部；能让对方少一些麻烦与烦恼！但
kelly-momo,才知道原来坐月子就是流一个月大姨妈我特么震惊就冲这点男孩子也要好好对待女孩子嗷
Libra__大多wxy,:胸部下垂的老太婆。变成满脸皱纹；内心卑微的存在、成秃老头我也会一直看着你！你一直呆在我身边……--《恋爱世代》。看着我变
追影少年,:大师不紧盯着人家胸部看，居然还动手！#电影片段#追影少年的微博视频
遇不见再见雨润,:1：手掌向下；夹紧身体！效果更好；肩胛骨内缩！吸气……【响尾蛇式-胸腹舒压减脂操】此动作可伸展胸部
搞笑三叔,:【25岁小伙一直觉得自己胸大，医院一查发现催乳激素比哺乳期妇女还要高】小王今年25岁，从小胸部就比同龄男孩子大，而且他也不长胡子。4年前，他发现自己胸部很容易“出汗”，学医的女朋友发现不对劲，建议他就医。医生对他进行乳房检查，“轻轻地碰一下，乳汁马上就飙了50厘米的距离。”医院诊断发现，小王的脑部长了个泌乳素瘤，导致雄激素低，泌乳素高。好在经过一段时间对症下药，小王已逐渐恢复男性特征。
吴下文亦凡最爱的梅格妮,:Temptingthingsdestroyedthefeelings。【胸部保养科普】胸部主要由结缔组织和脂肪组织构成，挺拔的胸部很大程度上依靠结缔组织的承托、诱人的东西破坏了感情，胶原蛋白是结缔组织的主要成分，在结缔组织中胶原蛋白常与多糖蛋白相互交织成网状结构，产生一定的机械强度，承托人体曲线，所以，补充胶原蛋白是从根本上营养胸部
后悔药售卖室_halo,不过说到《想见你》的经典台词，我第一反应还是那句“你想要我，对吧”
D女郎-萍萍,:#女性健康课堂[超话]#♡丰胸主要作用：改善各种乳腺问题疏通排毒效果非常好有效预防胸部重大疾病有效改善先天性扁平哺乳后导致的下垂外扩萎缩干扁，健康丰大丰挺！#丰胸#苏州·首开玖珑花园
Le_feu_follet,:水清洗我的身体，情绪化为近乎自虐的抓挠。我低头观察皮肤上的淤痕，胸部上浅浅的划痕，腹部几道血色，手臂和大腿上成片的淤痕，不痛却刺目。这些殷红的痕迹像一种自我拉扯，也许不需要几天，几个小时，一觉睡醒，它们就消失
钱柜人望应予,:因此胸部肌肉主要是胸大肌。侧及中间沟皆应得到发展：【胸大肌锻炼方法大全】漂亮的胸应该即饱满又坚挺……哈尔滨·北山公园
红雨记忆,:今夜竟然失眠了！还有和我一样没睡的吗？
SSSS-泷川诺亚,#UCG分享#“不愧是摇曳的斩姬~
月刊勇者KuMa君,#UCG分享#“不愧是摇曳的斩姬~
手握一根稻草的馆长,#UCG分享#“不愧是摇曳的斩姬~
匪浅开会魔真抓,:老婆淋浴出来对老公说：没有借口。至少也要让你看到他努力认真的样子，“我感觉是一边小。我感觉我的胸部一边大一边小”老公笑道。天生就应该不软弱：办得到你办不了的事！那她还要你做什么，搞得定你搞不定的麻烦！”
LemonQingQing,话赶话都说到这里了，我就从基因进化角度谈谈一些事，首先女孩子一旦很瘦，一般来说，都很难丰胸，除非是基因好，腰细胸大，这没办法，老天爷安排的，凡人只能干瞪眼，但哪个女孩子不喜欢腰细胸大？有没有后天办法？有，我还是接着昨天跑步的事情来讲，跑步缩胸，这是进化的必然，那什么运动可以丰胸？
萧然金乌,:每组间隔30秒放松！③曲臂向上提拉小哑铃至胸部！所以只有不断的进取，哑铃的重量建议在3磅左右、弄不好只是别人的起点！双手握哑铃；提拉到胸部时停留1-2秒，人可以不上学……抬头挺胸……
上饶信使,:#上饶生活#【远程居家办公怎么保护眼睛？专家：#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示：①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒。http://t.cn/A67CFqPQhttp://t.cn/RJAcqZn
私黛-D女郎-一阵风,:#我想做丰胸[超话]#私黛说胸小的原因是在日常生活当中，很多女孩子为了保持身材，只吃素很少吃荤菜，所以导致胸部没有营养，胸部长不大，还影响到身体健康，或者是饮酒抽烟过多导致。
bonnieQ-,内外发布2020春夏大片《NOBODYISNOBODY》：没有一种身材，是微不足道的。文案：致我的身体——平胸真的不会有负担承认胸大反对无脑我58岁我依然爱我的身体成为妈妈后我没有丢掉自己我喜欢我的肚腩喜欢我的人也喜欢它疤痕完整我的生命线没有一种身材是微不足道的http://t.cn/A67wG3Xa
黄nnn,:穿上我哥的睡裤让你们见识一下什么叫胸部以下全是腿
bonnieQ-,内外发布2020春夏大片《NOBODYISNOBODY》：没有一种身材，是微不足道的。文案：致我的身体——平胸真的不会有负担承认胸大反对无脑我58岁我依然爱我的身体成为妈妈后我没有丢掉自己我喜欢我的肚腩喜欢我的人也喜欢它疤痕完整我的生命线没有一种身材是微不足道的http://t.cn/A67wG3Xa
黄nnn,:穿上我哥的睡裤让你们见识一下什么叫胸部以下全是腿
dme群青,:手肘打开；微微施力互推！不错的商城；保持正常的呼吸：让胸部外侧有用力的感觉！廊坊·水岸尚城
MissMaxxx,:猛然间惊觉原来我之前的胸部是假象啊这一刻我是绝望的
双葉弘,#UCG分享#“不愧是摇曳的斩姬~
bloodynosesarejustlikeroses,:体重增加了十二斤的体验：穿上legging感觉膨胀的双腿呼之欲出走起路来大腿内侧相互摩擦步伐也因此显得笨重小腹突出来的部分与大腿前侧的肉开始对齐胸部因为腰围的增加显得更加平坦无论把肩胛骨怎么挤都看不见锁骨皮肤变好了但是整个五官都像是嵌在一张烧饼上总的来说体验好糟糕哦！
小皮卡挖白菜,:【￥49】【KOREA同款】运动瑜伽服五件套高品质瑜伽衣，超弹速干运动面料，一套可穿四季，提拉胸部，蜜桃臀特殊走线，打造精致小蛮腰，强劲弹力，吸湿排汗，多种款式颜色可选，亏本冲量，5件套现在只要49元！！！
大圣杰大,胸部（肌肉解剖）图解训练动作合集CHESTWORKOUT💪🏿练一次胸✔️它默默的为你做着7件事：①预防胸部下垂随着年龄增长肌肉不断流失胸部缺乏承托力胸部就会出现下垂的问题胸部肌肉锻炼能够很有效增大胸部承托力让胸部变得更坚挺UP！UP！UP！🔥②预防胸部外扩内衣没穿对➕坐立姿势不正确=❌胸部外扩经常做一些负重夹胸训练动作能够让胸部肌肉收紧让胸部更有弹性③减小副乳副乳是胸部肌肉量不足➕肌肉过于松弛所致❌长期坚持胸部肌肉锻炼便可减少副乳保持性感健美身材UP！UP！🔥④视觉上胸部更大更丰满胸部=脂肪➕乳腺➕结缔组织长期坚持胸部肌肉锻炼可以让胸部肌肉增大变厚(增肌是一门学问)乳房下面胸部肌肉不断变大的同时视觉上胸部变得更大更丰满所以赶快练起来吧💪🏿💁🏿♀️不建议做过隆胸手术的人做大重量胸部锻炼⑤保护内脏有结实饱满的胸肌可以保护内脏➕肋骨胸肌覆盖在胸部肋骨➕心脏➕肺部的外表面在发生撞击或其他意外时有结实的胸肌能减少伤害⑥增强体质在锻炼胸部肌肉的过程中可以加快身体的血液循环➕增强肺活量➕提高身体新陈代谢能力加强身体抵抗力➕增强体质⑦锻炼意志力胸部肌肉的锻炼不是一朝一夕就能看到效果需要长期的自律➕坚持没有强大的意志力是很难坚持到最后锻炼意志力➕身体承受力http://t.cn/A67GpncD
丰胸达人花花,:_家用型：植物丰胸套盒一摸一抹一按在家就可以偷偷变大变大顺带疏通胸部乳腺问题莆田
丰胸达人花花,:丰胸主要作用：改善各种乳腺问题疏通排毒效果非常好有效预防胸部重大疾病有效改善先天性扁平哺乳后导致的下垂外扩萎缩干扁，健康丰大丰挺！莆田
琉蔻_MaToI,#UCG分享#“不愧是摇曳的斩姬~
春天的花还有夏天的树,#健身##瘦身视频#【让你挺起来的胸部锻炼】唯有运动才能真正让胸部集中挺拔，让你拥有完美迷人的上围曲线！请务必转给你身边的那些胸小的妹纸！S小姐的完美身材的微博视频
用过明天,:狂晕——原来是胸部太大压到键盘的空格键了
平安洛宁,:【#远程居家办公怎么保护眼睛#：记住#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒…更多↓http://t.cn/A67CFqPQ
孤风残卷,:自从婚礼闹伴娘事件开始刘涛不露胸照样美。柳岩不露胸会很丑，胸部已经严重下垂！明明柳岩是受害者却要柳岩出来道歉那之后柳岩事业明显下滑而包贝尔夫妻俩参加综艺还厚着脸皮提婚礼的事委屈巴巴卖惨明里暗里意思是埋怨柳岩坏了他们的好日子
似在深海,:本人有多神奇，五月份的时候胸部连续疼了好几天，去医院做检查，什么毛病没有，而且检查完的第二天没事了。上次肾疼也是，检查结果一出来立马不疼了。这次同样的情况，我从2月中旬开始胸闷后来越来越严重，甚至开始心悸憋气呼吸困难，昨天终于受不了了，决定去医院看看，做了心电图和彩超，果然什么事都没有，而且今天一整天我胸也不闷了，呼吸也正常了。
肺癌医僧王昆,问：肿瘤基因检测都有啥用呢？答：肿瘤组织或血液基因检测是评估患者使用药物种类和效果判定非常重要的一环，能从分子层面给医生用药予精确的指导，达到提高疗效、降低副反应的效果。1）选择最有效的肿瘤治疗药物（目前临床上用的靶向治疗药物）。2）通过对相关基因的连续动态分析，判定治疗效果及耐药。3)通过分析基因突变及微卫星稳定性，初步分析PDL1表达和肿瘤负荷（TMB）检测、有助于判定免疫治疗药物应用的有效性。4)检测相关基因的状态，有助于了解肿瘤发生的可能原因。
无事退散有事烧纸,:今天跪姿俯卧撑，且不说胸部发力的感觉找对没有，光是12×4已经耗尽了我所有力气。我已经是个废肥了！曾经跟人掰头俯卧撑仰卧起坐的我一去不复返了。真鸡儿难过。
永靖检察,:【#远程居家办公怎么保护眼睛#：记住#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒…更多↓@人民日报http://t.cn/A67CFqPQ
Chaki-doi,:最近胸部这一块一用力就痛，中间按着也很痛，周围医院接了发热病人也不能去看好像，我都怀疑自己是不是胸骨发炎或者其他严重疾病了
整形咨询师小汐,:青岛隆胸日记投稿：术后56天，自从胸部变得饱满了之后，穿衣的风格也变得越来越大胆了，但是就算是不穿低胸装效果也是很明显的，因为我现在不管什么衣服都是可以撑起来的，表现很明显的可能就是身边的女性朋友了，都在私下里问我隆胸的一些问题，看得出来胸部变大是每个女性都想要的。
李哈尼618,:李哈尼618打卡第97天，用时间雕琢最美的曲线，一起来打卡社区挑战吧！#运动玩出色#胸部训练打卡
南通身边事,:#南通爆料[超话]#【网传海安仁桥医院袁某身体不适住院？真实情况是这样的】网友：网传海安市第四例新冠肺炎患者仁桥医院袁某，今天身体出现异常，被120带去医院，请问什么情况？海安市卫健委：今日，仁桥医院袁某早餐后，自感轻度胸部不适，出现呼吸增快、手麻等症状，呼120转人民医院。经相关检查，未发现明显异常。但患者思想顾虑重、情绪不稳定，故留院观察并给予心理疏导，待情绪平稳后送回家。袁某于1月31日因新冠肺炎确诊住院，于2月15日治愈出院。后至我市隔离观察点隔离观察14天，2月29日复查胸部CT提示炎症明显好转吸收。3月1日，再次复查核酸阴性。袁某符合解除隔离观察标准，于3月2日，离开观察点。来源：网信海安
组织治理与风控,越南电视台报道在中国南海捕到一人形鱼，有手有脚，有人一样的胸部和腹郭，渔民当时吓出一身冷汗。现已交给科研部门研究，看看是否是人类从未发现的生物或是变异的物种。
最抽疯的视频,:越南电视台报道在中国南海捕到一人形鱼，有手有脚，有人一样的胸部和腹郭，渔民当时吓出一身冷汗。现已交给科研部门研究，看看是否是人类从未发现的生物或是变异的物种。
洋洋洋的hy,:👉🏻整理了一些「安慰身边人失恋文案」☪︎🐴⓿❶痛苦会让你成长就像胸部发育时候的胀痛一样痛过之后就长大了⓿❷不要因为遇见一个很差劲的家伙就自暴自弃因为不好的人是他不是你⓿❸我们的一辈子那么长要走很长很长的路会遇见许多许多的人⓿❹恋爱分手人之常情相爱是偶然合适的人可遇不可求爱而不得不止你一个⓿❺没有忘不掉的男孩子忘不掉的只有小蛋糕甜甜圈巧克力饼干小龙虾肉蟹煲和火锅⓿❻这么千载难逢的奇葩你确定不舍得让其他人有机会见识见识吗⓿❼只要对象换得快没有悲伤只有爱⓿❽乖过来抱带你去吃好吃的⓿❾擦干眼泪有请下一位❶⓿是他不配，别委屈了你自己❶❶男人如衣服蹦迪如手足❶❷你要相信星星会说话石头会开花你想要的终会到达❶❸忘记吧反正他好像没有那么喜欢你❶❹不就是个失恋我连恋爱都没谈过❶❺我去找你我们一起去吃好吃的肩膀也借你还有很多人爱你❶❻错过错的人才能遇到对的人❶❼单身好单身好想跟谁好跟谁好❶❽人生最遗憾的莫过于轻易地放弃了不该放弃的固执地坚持了不该坚持的❶❾世界上不能长久的东西不仅仅是他对你的爱还有他带给你的悲伤❷⓿所有的挣扎和不放手都不是徒劳的它们都加速了感情的灭亡❷❶梯子的梯阶从来不是用来搁脚的它只是让人们的脚放上一段时间以便让别一只脚能够再往上登❷❷真正的爱情是在能爱的时候懂得珍惜真正的爱情是在无法爱的时候懂得放手❷❸你只是失去一个不爱你的人他却失去了一个爱他的人还是他吃亏啊好男人多得是找一个比他更优秀的❷❹结束以后别告诉他我恨你因为爱情是两个人的事错过了大家都有责任❷❺不要悲伤不要绝望未来的路就在前方还有这么多朋友陪你一起去闯❷❻别说你最爱的是谁人生还很长谁也无法预知明天也许你的真爱还在下一秒等着你❷❼不从泥泞不堪的小道上迈步就踏不上铺满鲜花的大路❷❽挺起胸膛咬紧牙关生死容易低头难就算当不成英雄也要是一条好汉❷❾分手了就做回自己一个人的世界同样有月升月落也有美丽的瞬间把他归为记忆❸⓿你爱的不是一个人而是一类人不要因为他而放弃一群人@文案碎集👇🏻评论区欢迎补充～|#失恋#|#失恋博物馆#|#失恋六连拍#|http://t.cn/R2WxowL
疯纸妹,:标准：白、富（胸部）、美
Sadomasochiste,:上班真的太累了😭通勤不方便绕路就算了看看隔壁病区俩科室加起来6个住院病人还没我科我组一天收的多😭😭😭院前必查胸部CT等能办手续正午了挤着午休点办入院太折磨了😭
时尚女性健康专栏,:胸部塑形，赶走拜拜肉，每个动作12到15个休息15秒再循环一下，记得做完后拉伸哦~1个月后你会感觉到变化#塑身#
去冰三分甜加芋圆,才知道原来坐月子就是流一个月大姨妈我特么震惊就冲这点男孩子也要好好对待女孩子嗷
满满小蜗牛,:#卵巢癌[超话]#自从妈妈确诊以后，我感觉踹不上气，太突然了，难以接受。又觉得自己浑身上下都是毛病。头痛，胃不舒服，胸部闷，真的各种问题。
晋城市中级人民法院,:#微分享#【#远程居家办公怎么保护眼睛#：记住#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒…更多↓http://t.cn/A67CFqPQ（人民日报）
