一粒橙色丸子,【王源17岁就演爸爸】虽然知道很久了，但我还是表示震惊
微盘州,:#贵州累计确诊新型肺炎病例#【3月3日0—12时，贵州无新增确诊病例，现有疑似病例1例】2020年3月3日0—12时，全省新型冠状病毒肺炎无新增确诊病例。截至3月3日12时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。via.贵州省卫生健康委员会官方网站#坚决打赢疫情防控阻击战##抗疫行动#
Zanily2019,:希望心理年龄二十岁左右，或者再加十岁，反正不是现在，现在不配，应该吧。
愉想先生,:曾经以为的无欲无求不过是一句空话可能我想要的仅仅是比别人少一些而已人的状态会随着年龄的改变而改变然而下一个改变，我猜它即将到来泰国·BangkokThailand
鼻尖小鹿斑,:虽然替小朋友辩了那么几句，但我在那个年龄的时候，类似的蠢事一件都没有做过
乐姐倾诉吧616,:新的一天新的开始乐乐倾听屋为你敞开大门幸福乐乐的上半生人生感悟人这一生，没有最好的年龄，只有最好的心态。随着岁月的流逝，增长的不只是皱纹，还有宽阔的胸怀。在变老的路上，有人活得老气横秋，有人却老得精彩，老得自在。这是因为，真正的优雅，是内心的从容。康德说：“老年时像青年一样高高兴兴吧！青年人好比百灵鸟，有他们的晨歌；老年人好比夜莺，有他们的夜曲。”不太在意自己的年龄，才能始终保持一颗不老的心。衰老是自然的规律，而心态的年轻可以带动身体，始终保持一个健康的状态。在变老的路上，好好善待自己。乐乐的人生基本宗旨是:希望好心情每天照常营业，烦心事永久打烊。当对自己微笑时，世上烦事不找我。
世界硒都魅力恩施,:#恩施[超话]#不必站在50岁的年龄，悔恨30岁的生活，也不必站在30岁的年龄，悔恨17岁的爱情。我们不能站在后来的高度，去批判当年的自己，——晚安！
繁么么_,:睡前看催眠无脑文学发现主角比我小了两岁，瞬间从昏昏欲睡切换到年龄焦虑
黄杰文的无敌铁头粉,上帝派来的使者……朝雨邑尘blog的微博视频
猪皮大帅比,“当年蓬矢桑弧意，岂为功名始读书”那个女人年轻的时候真美，难怪按耐不住自豪发朋友圈那个男人当年在火车上对她一见钟情，回山东青岛把工作辞了，只为去北京泡她，真有眼光，山东男人做出这么疯狂的事，当年一定不被老家的人理解吧，吸引他的除了那绝世容颜，满身才华，想必还有那颗勇敢的心，有趣的灵魂，美好的肉体，两者兼具太稀有了，如果有一天我也遇上这样的人，能否和他一样，像红拂夜奔一样，抛弃一切只为得到一个人
璃月无忧,不如来忆个甜，看看这支MV里面你都嗑过哪些CP~~
_Araby_,:记录一下平均年龄16
沫84090,:祝大华生日快乐，现在的你已经从小园子的演出到了专场的演出，特别不容易，都说了你们是唯一没有经过三宝就有了自己专场的人，后面肯定有好多我们说看不见的，反正现在也慢慢的更好了，还有大华，我觉得你可以少抽点烟，想想你以前的嗓子，再看看现在的，没有一根烟是无辜的，你以后可以多唱歌，你要相信没有人会笑你，唱歌最重要的就是开心，还有自信啊，勇敢一点，你唱的真的挺好听的，（嗯，没错），还有谈恋爱这个事，无所谓了，最多会难受一点，过去就好了，有喜欢的还是要试试看的，毕竟有不小了（既然不能提年龄，这里就不说了，20岁以上就算不小了，）有女朋友也正常了，当然有男朋友我也是支持的（很支持，某些更好），最红就是希望你们前途似锦，越来越好-（当然作为原配党，也是希望能多撒点糖，一点点也行，不挑）爱你哟
boneinblue,非主流男女纷纷冷抖哭，这世道
一曲独奏觅知音,:牙套已经戴了快一年了，@矫正之家，还记得你当时说我的牙齿是深覆合深覆盖+门牙缝大，现在通过不拔牙矫正，上下颌都做推磨牙远移恢复，现在笑线不协调、唇部肌肉紧张，存在开唇露齿、闭嘴困难的问题，笑容僵硬都没有了！还是你帮我推荐的地方最满意。#无锡带牙套的最佳年龄##无锡正畸龅牙#
鼻尖小鹿斑,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我笑到羊水喷墙上
悦球上的吃货,:生日快乐！00:21，21是我的年龄，3.4是你的生日
桃花岛主彧小色,『关于年龄歧视』TED演讲：让我们终止年龄歧视。变老是人类的自然过程，但似乎我们很害怕变老，经常会听到这样的言论：过了25岁就变老了，大龄剩女，年纪大了思想就僵化了，有皱纹很难看，中年女演员的困境...演讲者AshtonApplewhite呼吁我们消除对变老的恐惧和偏见，“年龄歧视，歧视的是我们自己”。http://t.cn/A67pATAE
内蒙古_乐乐,SHE满满的回忆#爱音乐#记录世界记录你#内蒙古-乐乐的快手视频
jiubaoer3064,:特别困，却失眠了……回想了某些业务为什么没有在某行开拓，其实小企业，贴现才是我看家的本领，后期一度认为北京贴现市场已被平台垄断，很难再有贴现规模大的实体企业了。现在回想，这简单粗暴的业务，不得不重捡起来开始营销，是命运逼着你前进，回到入行时的状态，迷茫但无退路，银行业务确实1到2年用时间换空间，好在现在主流业务真的是都做过了也熟悉了，独当一面巴拉巴拉不成问题。这与年龄无关，这就是选择和应对。客户经理的环境天然就是无比现实赤裸的，这没有错，我本不该逃避这现实，想去什么管理岗，30而立，40不惑，卡在中间也该看清了自已的运，你没那种命。干就完了。
戴戴桑style_,:成都哪个医院做近视眼手术的好啊？@近视眼科室我今年18岁了，目前已经近视600度，我想要在高三的时候报考空军的学校，但是要求不能近视，所以我想做个手术，把我这双眼睛治疗好，想知道些情况。请问做近视眼手术会疼不？通过您预约会有优惠吗？学生党，穷。。。#多大年龄可以做近视眼手术##北京上海深圳成都昆明沈阳近视手术#
yellowfishandstop,:投完票结果不同年龄段的人聊了老半天，现在的小朋友太能唠了...
ID太长躲猫猫的时候会被发现么,:所以，大家突然开始怀旧了
啊哈哈哈你是谁,:
见鱼临溪,说起古早的男男CP，我们必须说一说当年华东理工大关于“韩寒和郭敬明应不应该在一起”的辩论赛哈哈哈哈哈哈#上海绝恋#偶像行为大赏的微博视频
是帝国丫,:通透，看待人和事都有超越年龄的想法宋亚轩身上有哪些优秀品质？
白云泽零六,:你会后悔的！说气话：越喜欢喝点小酒。加班越久、年龄越大。因为心里有些话越来越说不出口
小panda宝贝贝,:论结构专业直系思维部长安慰人的方式
请问黑洞有多深呢,:原著里火吻19，你囧雪才14，其实是有点大姐姐教坏小弟弟的即视感
日晷233,你有病，我有药。如何预防传染性脑残
左心室的一扇窗,:有时候真像网上说的，到了一定年龄，对结不结婚已没有感觉。
一位不愿透露姓名的炫酷网友,:任何一个年龄段的哥，哥全身上下的任何一个部位我都爱的死去活来
友利奈绪ll,:就算是今天我也不会在朋友圈暴露我的真实年龄
天狼作手,:人重要的不是年龄，而是经历石黑一雄在《远山淡影》里写到：“人重要的不是年龄，而是经历。有的人活到一百岁也没经历过什么事。”一个人活在世上，起初都是一张白纸，后来才慢慢被社会渲染，变成五颜六色。那些经历越多的人，活得越精彩；那些没什么经历的人，就像温室里的幼苗，拿出去就蔫了。
韩小百机会来了,:为什么粉丝热衷于做各种成年人看起来特别脑缺的事情，因为追星是她们跨越年龄阅历阻碍第一次参与到成人世界里的机会，而且因为操作过于简单特别容易在这个世界里见效。这些小朋友偶尔发现了我只要哭着抢就能抢到之后就会一直重复，直到有一天哭着抢的时候被别的家长打趴，打怕。
哈哈哈士奇哈,:年龄到了名副其实感到焦虑
因bed,【饭圈文化为什么会畸变成这个样子？】227事件过后，仅不到15%的网友认为粉丝行为不该偶像买单，而接近半数网友认为偶像应该对此负责，近4成网友认为看情况。诸如控评、联合举报、无差别攻击等行为，引起不满的本质原因在于，强占原本开放、交流畅通的公共言论空间，强行让每一个人闭嘴。via：@DT财经
外星人_49415,:个人建议：由于我国现在人口严重的老龄化和男女比例严重失调。国家对《婚姻法》应该进行调整立法：一是结婚年龄，男19岁，女16岁即可达到法定结婚年龄；二是可以实行一妻多夫制和一夫多妻制。
让路RL,:之前依稀记得小时候记得谁说90后在北京买不起房90后是一个年龄段与807060一样在特定的时期都是中国前进的力量现在的90后也就是20-30岁职业的发展变化导致用人的年轻化不可否认我们正在创造属于90后的历史各行各业都涌现了一些优秀人物时代的特殊性也决定了我们90后拥有最饱满的热情和对新生事物的认知处于新一轮科技浪潮我们必定是时代的宠儿合格的时代答卷人
好云霓黛,:那么这些移动游戏的玩家都是什么年龄段的呢、比去年同期降低了7岁……移动游戏玩家平均年龄是27.7岁：”“情商太高；近日！【移动游戏玩家平均年龄降低7岁女性偏爱休闲类游戏】之前就有专家预测未来可能是手移动游戏的天下、特别是手游越来越火爆！”！“为什么你每天睡多少都不够，一项新的研究表明。http://t.cn/RKojRnt
感情世界H,:不要用我们的现在判断我们的未来，现在倒霉不一定以后倒霉，现在精彩不一定以后精彩。就像不同的季节会有不同的鲜花开放一样，生命在不同的年龄也会展示出不同的风采。有人青春得意，有人中年灿烂，有人老年辉煌。
璇独爱KARRY-凯王,#王俊凯疫情期间get新技能#@TFBOYS-王俊凯和@吴磊LEO连线，小凯说，疫情期间终于可以每天睡够八小时，自己get的新技能就是每天看看窗外。给大家推荐的一部激励大家的电影《飞鹰艾迪》，看了之后会震撼到自己。“最感动的是医护人员对疫情作出的努力，看到他们摘下口罩的面孔，会特别心疼。大家众志成城，一起克服困难！”“责任不分年龄，一直被保护的90后出来保护大家，我也是90后的尾巴，希望他们保护他人的同时，也保护好自己！”“最大的愿望是疫情结束之后，能摘下口罩，去外面呼吸新鲜空气，大家一起加油，春天一定会到来！”
Li不知道要叫什么,:我遇见的你，是被这个世界打磨的你，我没见过你的青春，我认识你时，你已是待嫁的年龄。
心动确定事件,:喷喷都那么i团了还有人嘴啊
GX的雪默默,:我应该极具阿姨气质，戴口罩拿快递，穿得又红又紫的，一阿姨领着比她还高的孩子问：阿姨，居委怎么走？问完觉得不对抱歉看着我，我无比平静……坦然接受各个年龄层叫我阿姨
linhong潇潇,:今天本来想吐槽我们的女老师怎么都喜欢在下课的片刻给我们播放【你笑起来真好看】今晚想睡觉时打开闹钟才发现自己不也把这首歌设为铃声吗？果然女孩子的口味不分年龄都差不多的而我为什么不喜欢听这首歌了可能是天天放在耳边响被我给毁了吧……
岚陵_,:哈哈哈哈哈哈哈哈，不是，首页突然怎么肥四，挖出来那么多以前的宝藏八卦，梗太多了！害得我满满都是回忆！笑死我了，以前年龄小，都不知道的这么深，突然因祸得福！哈哈哈哈哈，持续笑疯中……
冷漠冷了,许多朋友因年龄而焦虑。无法恋爱，无法向上，无法坚持梦想，不约而同地突然说自己不年轻了。不是这样的。时间像河，但桨是在自己手里。背负了再多的包袱，大海也在那儿。足够心动的话，三十岁也可以感知到让你脸红的风。年龄都是幻觉，朋友。
夹心巧克琳,:我怎么又看了一部年龄相差十几岁的小说
低温女子2010,:我终于到了我小时候最羡慕的年龄可是没有成为小时候想成为的人
11twotwo33,#一起家庭教育#父母的态度会像一把看不见的刀慢慢地、昼夜不停地雕琢孩子的言行举止和思维方式。听我讲完“罗森塔尓效应”，就会明白原来改变孩子要这样做才对#育儿专家说#妈咪Jane_黄静洁的微博视频
茶茶爱说梦话,:按年龄顺序发照片而不是按番位亚轩儿真的好暖～
张西西说她叫Nancy,:不管到哪个年龄段，总会因为迷茫或落寞而烦恼，这时候也没人能帮到你，再过一段时间就好了，因为会有新的烦恼代替旧的烦恼
Ludvina,:虽然这个年龄样的穿着给我观感上有丁点的诧异、不过，美。衣服的衣领和袖口很喜欢。
璇独爱KARRY-凯王,#王俊凯[超话]#@TFBOYS-王俊凯难得有时间能好好的睡个觉，get到的新技能就是看看窗外。“90后被保护的，现在90后出来保护大家。”作为90后的尾巴很骄傲，希望医护人员都能平安归来，困境下，大家齐心协力过渡到新的开始！与小凯一起期待春暖花开！腾讯视频的微博视频
poorsoloo,:牙前面四颗前突导致兔牙嘴闭自然闭不上整体都向前突还有就是深覆合咬合很低这些钢丝牙套矫正可以吗？@牙齿矫正之家，我之前去过维乐口腔、品橙齿科、八益牙科，还是觉得你推荐的这家医院很棒，医生的技术好，审美也能和现在年轻人的想法接轨，坐标重庆。#重庆隐形牙齿矫正要多久##重庆牙齿矫正的最佳年龄#
蓝色大哆啦,:经常喜欢开玩笑说妈妈“更年期”，妈妈年龄慢慢大真的开始在意，我也在没有开过这个玩笑
smiley_T_,#佐藤健[超话]#恋无止境/将恋爱进行到底第八话剧照第四弹，非高清图✨
啊TTTTTTTAO,:我这个年龄段我睡得着觉。不达鸟
儒雅随和苍女士,临睡前刷首页，突然想到一个事。85后和95前，不少人应该对一个cp有印象：上海绝恋，韩寒和郭敬明。这CP当年超火，火到正主都知道，并且，我记得，在不同的正式场合，两个正主好像都被问过关于CP的问题，双方答的都挺有意思的，并没有觉得很恶心之类。ps：当时我的入坑文是郭攻韩受……文笔好到炸裂……
星月出逃,:年龄顺位给我滚
木木木創造機,:天啊年龄梗在偏差大点的年上里是过不去了，难受
一只甜灯,有内味了！土味挖掘机的微博视频
四月软着陆,:盆盆球最动人的地方就是心思特别细腻不管是什么都按照年龄的顺序来写信也是发合照也是这种细腻也的确配得上他被大家喜爱照顾吧！生日快乐！十六岁生日快乐！
性柔怀丨无情,:属于自己的不要放弃；选择了就不要后悔；【静思语录】总有明媚的清晨；总有绚烂的黄昏、我终于明白大人为什么不让未成年谈恋爱了因为这个年龄的我们不该承受这些……痛了会享受生活，曾经拥有的不要忘记，总有流星的夜晚，伤了才明白坚强……苦了才懂得满足……
依依7829,:#乐事品牌代言人李现#lx#李现丁宁#自从喜欢你之后，总会被来自现圈里的人或事所感动
袁可爱最可爱,:喜欢是一件纯粹的的事情如果带着自己的小心思追风的喜欢或者是为了取悦别人而喜欢带着目的的喜欢的话我劝你还是放弃吧我感觉没有必要再继续下去因为他不需要也不喜欢这种带着杂质的所谓的“喜欢”！且行且珍惜还是做点符合自己年龄的事情吧！goodnight
_年少如风,:真的是年龄越大越怕冷
incase八歲,:渐渐发现年龄越大……自己就变得越沉默铜陵·官塘新村
Luna爱吃小布丁,:我是个对称呼很严谨的人介绍人时把“朋友”“同学”分得很清楚姐姐妹妹什么的也不乱叫因为我就一个姐姐姐姐就指的是她不能是别人小学食堂打饭的叔叔让我叫他干爹我干脆再也不去他窗口打饭就更别提之前那个管我叫闺女的迷惑物理老师了最有意思的是幼儿园去朋友家玩她爸爸比我爸爸年龄大所以他爸让我叫他大大我当时觉得大大这个称呼有种高高在上的感觉（现在也这么觉得）所以抱着士可杀不可辱的心无论朋友家做了什么好吃的只要她爸爸在我就打死不去没有血缘关系的男女以兄妹相称我就更不能接受了什么哥哥给妹妹都是说不出口的喜欢写了这么多也不知道在写什么那就春雪快乐吧
逻辑通富婆,:不知道是不是年龄大了，来生做哥哥的女儿吧，我眼泪瞬间掉下来
need-wild,【俄媒：伊朗司法部长顾问因新冠病毒感染去世】据俄罗斯卫星通讯社刚刚消息，伊朗媒体报道说，该国司法部长的一名顾问因新冠病毒感染去世。（环球网）
HU_大古月,:#时间#倾诉欲和年龄的增长成反比
晚街听轻风,:已经过了那个～别人对自己的一丁点好就会感激涕零的～年龄～也过了会因为一件小事而觉得感动万分的～年龄～
凳子骑马,:#History-RichBrian;88rising[音乐]#啊啊啊啊又发现了宝藏男孩亚洲面孔，美式发音，黑人嗓音，混蛋年龄，最为致命重点是跟我同年同月同日生！@Rich_Brian__
爱吃火锅的甲乙丙丁,:希望年龄不要长在脸上希望年龄长在脑子上开启新一岁的人生就要放飞自我
南波兔叽,:看了杂乱无章的视频，太有感触了。其实最近的我很少看这种文章/视频了，突然觉得陷入自怨自艾的思想观，对我的生活并没有好处。不过今晚是例外，视频名是“没有人在意95后的长大”。我应该是近几年，很抗拒别人问我的年龄，感觉20+以后的生活，就像被推到了前线。你要懂事，你要承担，你有责任。貌似没有什么很好的借口让你可以去逃避这些。可能是我的小时候过的太过单调和孤独，所以长大以后才会想着时间慢一些再慢一些。以前是期待别人给我时间，让我安逸。现在才懂了，有些事情想不通就别去想，别人不能给你的纵容，自己去给。走一步，看一步，也还挺好。
Michelle_Snake,:#心灵鸡汤[超话]#[兔子]#一段文字，一种心情#走在人生路上，随着年龄增长，我们面对的事情越来越复杂，追求美好事物的欲望越来越膨胀，以至于常常浮躁，失去了曾经那份孩子般简单的快乐。一生不过数十个春秋，我们又何必争争吵吵，给自己留下很多烦恼和遗憾。与其耿耿于怀，不如学会原谅。
Early_Sixteen,:管它是什么呢，我还是我，年龄是什么
奶糖特别甜,:我们小盆真的太好了
啪叽,gali年龄操作🔆我好机智，给他们穿上衣服不就可以了吗👌
卿溪Sea,临睡前刷首页，突然想到一个事。85后和95前，不少人应该对一个cp有印象：上海绝恋，韩寒和郭敬明。这CP当年超火，火到正主都知道，并且，我记得，在不同的正式场合，两个正主好像都被问过关于CP的问题，双方答的都挺有意思的，并没有觉得很恶心之类。ps：当时我的入坑文是郭攻韩受……文笔好到炸裂……
溢萱品牌,:#溢萱Essence[超话]#这个点儿我还在音频谈事☎️这个年龄，我除了努力还是想努力机会就那么几年要把握住我在想所谓成年人成熟的人，大概就是能分得清什么是“屁大点事儿”好多事在我这儿都是“屁大的事儿”
July琪琪er,:最近准备矫正下颌后缩兼有上颌前突者，@广州齐牙君，闺蜜矫正的时候也是你安利的地方，求能帮忙推荐一下靠谱的牙科吗，想找适合自己性格一些的贴心专业的医生，暨博口腔、优典口腔、广华牙科怎么样？牙片也发你了康康我把！#广州牙齿矫正##广州龅牙矫正术需多大年龄#
白桃乌龙_小曲奇,【王道特辑】“好想念当年的快乐”
晴空一鹤Lilith,不如来忆个甜，看看这支MV里面你都嗑过哪些CP~~
樱儿猪,:#周奇[超话]#[微风]#喜欢周奇的奇妙日记#今天（应该说是昨天）心情挺不好的，在我这个年龄说，成人的世界，不容易，是否有点矫情？但一看这清新的少年，顿时觉得，喜欢真的也是挺有意义的。希望少年长大后，觉得成人的世界如此美妙。@周奇2000
浮曲叨比叨,:这几天很直观地感受到一些人的家教，吵架所向披靡世界无敌，从未设想过有朝一日这些恶毒的话语会报应在她们至亲身上，当年我们这一代人唯一的不堪回首是非主流，而她们是集齐了各种傻屌行为。年龄跟懂事挂钩有时候真的是有一定道理的，你总不能指望一个未断奶的小屁孩理解大人们赚奶粉钱的艰辛
momo_secretary,gali年龄操作🔆我好机智，给他们穿上衣服不就可以了吗👌
xjchn,【武汉市中心医院眼科#医生梅仲明因新冠肺炎去世#】3月3日，武汉市中心医院发布消息，医院眼科副主任、主任医师梅仲明同志，在抗击新冠肺炎疫情工作中不幸染病，经全力抢救无效，于2020年3月3日中午在武汉市金银潭医院去世，享年57岁。
触碰心灵的美文,:人啊到了一定年龄都是带着点心事带着点难言的痛每天笑嘻嘻地生活下去的
火腿炒方便面,:大人只是在忍，只是在忙着大人们的事，只是在用故作坚强来承担年龄的重担，大人们，也会疼。
Yuna_Yimayishi,【疯老师的小黑板】关于中国男孩的保护#中国女孩#中国男孩是谁？要保护谁？为啥要保护？什么是龙男凤女？嫁啥华夏郎？怎么就华服坠楼了？谁要昭君出塞？谁又是金陵十三钗？此文谨献给每天都在冲浪却总是一觉醒来脑容量爆炸的同学们。相信我，这是最近你见过的最矫情最尴尬的发言，非战斗人士敬请撤离！#迷惑行为大赏##中华男性魅力时间#
王源加油站,:王源其实王源带着一种这个年龄少见的清冷和文艺感，不管从他的专栏文字还是原创歌词中都不难看出来，印象最深的是他在环球人物专栏中还分享过佩索阿的诗，算是一个非常冷门的葡萄牙诗人了，给人的感觉深沉又温柔，了解了这些以后其实还蛮想认真探求一下他的内心世界的
学霸朱人生嗨嗨,:年前爸爸妈妈还说我是适婚年龄过了个年就嫌弃我年纪大了太善变了
暗黑少女没头脑,:感觉薛凯琪的样子只有她年龄的一半！
阿毛今天睡醒了没,:肖战粉咋这么喜欢跟别人叫阿姨，叫之前你好歹也核实一下年龄？？你跟肖战叫哥哥，跟我叫阿姨，四舍五入我一小年轻突然多一个29岁的大侄子？？？
买辣椒也用券22,:年龄如期而归，但也要心之所向！买辣椒也用券22的微博视频
這樣真的不好的,:不同年龄阶段的头围是：1岁小儿头围46cm（和头围大致相等），2岁时48cm，5岁时50cm，15岁时54cm（接近成人）。小儿生长发育一般遵循由上到下、由近至远、由粗到细、由低级到高级、由简单到复杂的顺序。
小小猫的麻麻S,:突然有点睡不着，突然很想回到十八岁，突然很想念学生时代。给自己买了女神节礼物，才越来越意识到自己年龄大了，没有瓶瓶罐罐，怎么看起来年轻。
神回复集中营,:截图截到的数字，就是你结婚的年龄
瓜瓜宝贝永在,【百岁老人的人生哲学
奶味谦糖,:#何九华[超话]##何九华0304生日快乐#监斩官33岁生日快乐呀[心]何老师自从认识你才知道原来可爱没有年龄限制，而你就是可爱本身cr.图logo奶味谦糖的微博视频
加油小桔灯,:好女人，不是姿色，而是心色；好妻子，不是相貌，而是心貌。有德行的女子，年龄越大，越有福相；无德行的女子，年龄越大，越有丑相。疫情当前，心存期待，春速归来！
动动你的脑子a,:要面对超出自己年龄阅历的事情太难了说的容易做起来难希望未来大家都可以成为自己的支柱
·银河系漫游·,:全世界最好的盆盆子是按年龄而不是按番位发的
Wendy儿童口腔医生,:“当你年龄越来越大甚至变老时，你会发现你真正想掌控的，从来都不是惊喜。你做足一切而永远不想见到的，是无常。一切安好便是晴天
GLP177,:不是天天熬日子，而是天天享受日子#cosplay#，115正值花季年龄，敢想、敢做、污力少女有脾气、有个性。#私拍写真##少女私房写真集##性感写真##私房艺术##比基尼#虽处于所谓最黑暗的人生阶段，一部好剧，生活简单了，就有时间享受人生。活得简单不难，只需懂得为自己而活http://t.cn/A6hRCInS
愛素HX,:以前对生离死别死亡这些字眼好生梳甚至不怎么理解清楚里面的意思随着年龄增长听着身边的人说看着身边的事发生才慢慢有了定义记得以前最接近死亡是去看走了的公公记忆很模糊那时候自己还少就知道公公不在了到今天接近的却很清楚知道甚至压抑是啊人总有一死我这么顾家重感情的人如果身边至亲离去我想我会崩溃一定要学会珍惜珍惜对自己好的人想见的人就要去见想做的事情就要去做尽自己能力去尽量不要给自己留下遗憾2020年的开头就让人铭记于心了希望会听到好消息一切好起来同时感恩现在所拥有的一切感恩对待我们好的你们啊感恩的心常在人容易满足才会容易得到快乐与幸福keeping
