儒小艺,:瓜又来啦
东方今报,:#河南防控新型肺炎疫情#【快讯！王国生到平顶山市检查重点项目建设和企业复工复产等工作】3月5日，省委书记王国生深入平顶山市企业车间和重点项目施工现场，检查疫情防控、复工复产和项目建设情况。（来源：大河网）#抗击疫情我们在一起#快讯！王国生到平顶山市检查重点项目建设和企业复工复产等工作
陆达让世界充满爱,:yindu002【五佛沿寺】五佛沿寺石窟建于北魏时期，座西面东，背山面河，因石窟内塑有五尊大佛像和千尊小佛像而得名。庙前的观河楼建筑结构精巧，登楼俯视，滔滔湍流，尽收眼底，远眺河南，挺拔峻秀，为沿寺一大景观。五佛沿寺石窟位于甘肃景泰县东面的五佛乡，距景泰县城20公里。整个石窟进深9米，宽7米。
青蕉视频,:【消防员出警归队遇小伙醉倒路边下车施救先为其戴好口罩】#青蕉拍客#近日，河南新乡获嘉县消防大队消防员在出警回来的途中，发现车道旁有一名男子躺在草丛中。消防员们赶紧下车查看情况，先给小伙戴上口罩，并帮其叫了救护车。送医后，男子已无大碍。青蕉视频的微博视频
影响剧大,:【#富士康一名员工不幸去世#】3月2日，河南郑州。航空港区富士康员工住处富鑫公寓一人坠楼。其疑从阳台落下，坠至商铺天花板。富士康科技集团今日证实，一名员工2日于郑州市航空港区不幸去世，集团对此表示遗憾，已派员全力协助家属处理后事，并配合警方针对事件进行调查。#影响剧大[超话]#感觉是历史重演，给员工的活路吧。http://t.cn/A67WqSm5
大河网,:【河南赴深免费爱心务工专列上路啦！农民工笑开颜：既赶上了复工又安全有保障】3月5日早上7时15分，在郑州东站，G4551列车缓缓开出，这是一趟免费爱心务工专列，目的地是深圳，乘客全部是在深圳打工的河南籍务工人员。6时45分左右，越来越多戴着统一的红袖标标志的农民工聚集在候车厅，他们就要乘坐这列专列返岗复工了。郑女士在深圳做人力资源工作，她在提交报名信息后两天内便收到回复。她说：“公司一直催着返岗。通过这个渠道，我终于赶上了公司复工，更重要的是安全有保障，特别感谢。”http://t.cn/A67HvL9C
新疆发布,:【#26省区市新增病例为0#】4日0-24时，天津、河北、山西、辽宁、吉林、上海、江苏、安徽、福建、江西、山东、河南、湖南、广东、广西、海南、重庆、贵州、云南、西藏、青海、宁夏、新疆（含兵团）新增确诊病例为0。4日8时-5日8时，陕西新增确诊病例为0；3日20时-4日20时，甘肃新增确诊病例为0；4日7时-5日7时，内蒙古新增确诊病例为0。
上海徐汇发布,:【又能撸铁啦！#上海健身房陆续营业#教练：戴口罩跑步需特别留意】据新闻晨报：#你会戴着口罩跑步吗#“再不来跑跑步，衣服就要穿不下了。”近日，上海“一兆韦德健身”门店陆续营业，目前恢复营业的门店占总数的10%，客流量也差不多达到了平日里的十分之一。记者在河南中路店看到，所有健身人士均佩戴口罩，健身器械每使用过一次，保洁阿姨就会用酒精擦拭一遍，跑步机只开放一半，健身人员需要隔台开启使用。巡场教练：戴着口罩跑步需特别留意，确保大家的心肺功能是否能够承受平时的运动量。http://t.cn/A67Tc9JJ
阚清闯81976,:【大志说】-完-文案：梁潮伟绘制：猴美丽排版：李琪琪统筹：白展堂河南终于藏不住了！http://t.cn/A67Tshfd
新东方前途出国韩丽君,:【河工大专场】#英国研究生offer#🎉恭喜#河南工业大学#Z同学截止目前斩获5枚#英国研究生#录取🇬🇧#埃克塞特##卡迪夫##利兹##伦敦玛丽女王##南安普顿#郑州·郑州市第十人民医院
幼童_22249,:发表了一篇转载博文《[转载]由我编剧的广播剧《驮在背上的深情》入选河南省第十二届五个一工程奖（公示中）》[转载]由我编剧的广播剧《驮在背上的深情》入选河南省第十二届五个一工程奖（公示中）
社渣克星,:#河南到底延迟开学吗?#别开学了，越变越强
躺喵阿妫,考个古有人说洛阳班的王一博长的可以你们见过吗
wowwwnnnn,:2010年最囧新闻！妻子叫来消防车说丈夫“火太大”……嫌河脏又爬上来了；先要半斤水饺再招供；6河南一乞丐讨钱未果愤然报警……
想耍啥耍啥,啊啊啊啊啊啊啊啊啊啊啊啊啊啊宝汁你说啥？？？？ssstarriest的微博视频
小妖怪Younger,:#河南农业大学[超话]#我想知道青梅楼可以进去吗？想去学校拿电脑
蔓聊,:【理赔数据】2020年1~2月河南地区理赔概况：赔付件数4706件，日均79件。赔付金额4618.93万，日均77万。申请后平均1.14天理赔款到账。从理赔数据中可以看到，只有发生理赔的时候才能真正意识到，当初投保的保额远远不够用。
极品小师弟,:【河南周口1岁小孩被狗咬掉半张脸！狗主人：小孩拿东西打我的狗了】2019年9月28日，周口商水县，奶奶带着一岁多的孙子去邻居家串门，被狗咬掉半张脸血肉模糊，几人合伙把孩子抢回来……狗主人承认他家的狗比较大，当时确实也没有拴绳。当记者质疑为什么不拴绳时，狗主人解释：我的狗没咬过人，http://t.cn/A67TFMEw
星光灿烂2012,哥几个看样子心情不错星光灿烂2012的微博视频
小谢废话特别多_YB,:#王一博[超话]##王一博无感#wyb#王一博谢允#河南小王：多一秒营业也要看爱心多不多！
想要翻身的崽,瞳孔地震小搞手册的微博视频
你永远得不到的女人X,:我更愿把披星戴月，让阳光洒满心房，带着阳光出发，吉林省考山东省考，青海省考#注册会计师考试#，浙江省考，甘肃省考，公安联考，2020省考联考，李梦圆申论，山东事业单位，山西省考，张小龙站长申论事业单位面试小宝言语花生十三，2021国考，粉笔省考网课，辽宁省考河南省考，陈剑数学，管理类联考我们不应该沉浸在过去，因为2021考研网课💗#初级会计#初级会计网课，注会网课，注册会计师，张宇数学，徐涛政治
啊啾啾不是肥啾啾,:河南王炸，炸。
大河财立方,:#河南在行动#【开封发布第九号通告：全面应用疫情防控“健康码”】所有开封市域内人员及返汴人员可通过“一码通”系统或在“汴捷办”APP的“健康码”功能在线申领“健康码”，凭“一码通”亮码或扫码通行，自觉接受查验。开封发布第九号通告：全面应用疫情防控“健康码”
地理答啦,:消失的省份之——平原省平原省是新中国成立之初在晋冀鲁豫根据地的基础上建立的，省域范围包括山东省西部、河南省北部地区，省会在新乡。1952年平原省撤销，新乡、安阳、濮阳等地回归河南省；菏泽、聊城等地归山东省。绿洲
Y修改一次,:黑夜中漫步当有一天你走出人生的迷茫，在夕阳下回首，你身后那串歪歪斜斜，磕磕绊绊的步履。河南实验中学视频这样的#河南实验中学视频#这个小妹妹还挺漂亮
只爱不知,:截至3月3日24时河南省新型冠状病毒肺炎疫情最新情况http://t.cn/A670165a
Y修改一次,:黑夜中漫步当有一天你走出人生的迷茫，在夕阳下回首，你身后那串歪歪斜斜，磕磕绊绊的步履。河南实验中学视频这样的#河南实验中学视频#这个小妹妹还挺漂亮
地理答啦,:消失的省份之——平原省平原省是新中国成立之初在晋冀鲁豫根据地的基础上建立的，省域范围包括山东省西部、河南省北部地区，省会在新乡。1952年平原省撤销，新乡、安阳、濮阳等地回归河南省；菏泽、聊城等地归山东省。#带着微博去旅行##文化旅游#
郑州月老相亲,:#许昌[地点]##郑州月老相亲[超话]#(已进群）7539号女嘉宾年龄：25身高：161体重：55星座：天秤座职业：美容籍贯：河南省-许昌兴趣爱好：安静的场合内心喜欢运动（但其实没有实际行动）听书听歌打羽毛球自我介绍：目前在上海工作今年打算到郑州生活比较独立圈子简单都是女生脾气不差有点慢热择偶要求：喜欢爱健身的小哥哥希望是你一位积极向上热爱生活开朗善良的人身高177以上不要胖温柔耐心一起向阳生活～最好是郑州或定居郑州。------------------------------------Θ公告1：不愿意投稿的.可以进vip群相亲Θ公告2：微博相亲.投稿.发布.联系嘉宾.均免费Θ公告3：公众号搜索“月老同城”全新【自助相亲】平台，效率更高------------------------------------#征婚交友#http://t.cn/RghlcLS
文明郑州微博,:【文明单位】自1月28日“绿城使者—小红象·健康行”志愿服务正式启动以来，全市各级文明单位和广大志愿者按照郑州市文明办的安排部署，奋战在郑州市各社区、高速卡口、车站等防疫一线已坚持一月有余。在第57个学雷锋纪念日到来之际，作为全国文明单位的河南省女子强制隔离戒毒所组织警察职工开展了“情暖‘活雷锋’我们在行动”活动，用实际行动关爱志愿者、礼赞志愿者。详情请点击链接：http://t.cn/A67TD1Dx@中国文明网@央视新闻@人民日报@新华网@文明河南
湖北新闻News,:【大爷不配合治疗，河南护士一曲豫剧给大爷震住了！】#河南护士唱豫剧送患者出院##医护人员有多可爱#湖北新闻News的微博视频
萌入心弦_,小王：多营业一秒都要给我加钱
千蝶闪到腰,那这不就绝配吗？
综艺轰趴馆,:#汪涵##王一博##天天向上#：王一博河南话硬核喊话村民，天天兄弟被逗笑，女支书大赞酷盖综艺轰趴馆的微博视频
国旗班战士8888,春已到，花已开，山河无恙，人间皆安。（图：曾亚芳）#信阳·新县[地点]##疫情之后你的愿望清单#
hyz时尚达人,:#科技的温度##富士康一名员工不幸去世#3月4日，河南郑州的一名富士康员工在员工公寓坠楼不幸去世。目前富士康正协助警方调查并协助逝者家属处理后事。
灵墟阁,:为啥祖师们的宠物没有猫？
内黄县法院,:内黄法院：巧用移动微法院房屋纠纷得调解内黄县法院王继芳宋琪疫情防控期间，河南省安阳市内黄县人民法院办案法官王继芳利用河南移动微法院，积极稳妥地调解了一起因房屋买卖引起的民事纠纷。原告李某与被告赵某于2019年11月签订了房屋买卖合同，被告赵某将其所有的位于内黄县建设路某局小区的一套房产以51万余元的价格出卖给原告李某。原告李某分四次将房款付清，被告赵某交付房产。案外人王某称房产有争议，于12月初入住该房屋，致使原告无法入住。因此李某要求解除合同，并要求被告返还购房款。该案立案后，在送达期间，原被告双方均愿尽快处理此案。但春节过后，受疫情影响，被告赵某因居住于驻马店市无法返回内黄解决案件。王继芳为减少当事人的诉累，尽快解决他们的纠纷，多次联系原、被告，并征得她们的同意，巧妙利用河南移动微法院平台，多次调解，历时两天，在网上促成该案的调解。最终，该房屋买卖合同解除，被告返还原告剩余款项，案件顺利结案。原告在电话里对王继芳反复感谢，更对内黄县法院网上办案表示由衷赞叹。一起原本要对簿公堂的纠纷在法官的弹指间偃旗息鼓，矛盾也逐渐缓和，内黄县法院将继续推广网上办案模式，跨越疫情带来的距离，让人民群众在每一个司法案件中都感受到公平正义。
2020中级会计网课,:每2020初级会计刘忠黄洁洵侯永斌一天都是崭新的即便2021考研英语二数学三，做好自己，2020中级会计，四六级考虫雅思，专四专八朱伟刘晓燕长难句！cpa网课肖秀荣2021考研政治张鑫！2020河北省考山东省考河南省考山西省考陕西省考贵州省考云南省考海南省考一建市政二建公路一建水利二建建筑！执着于梦想http://t.cn/A67jTror
国旗班战士8888,吕旅主持召开沙窝镇朴店村乡村振兴专题会议#信阳·新县[地点]#新县广播电视台的微博视频
河南城建学院校学生会,:#河南城建学院[超话]##今日惊蛰至#惊蛰到，万物复苏，出来冒冒泡，别让快乐冬眠、好运睡着(*ˊ˘ˋ*)｡♪:*°今天还要记得吃梨哦
一个简单的小番茄,#三八节可劲儿宠#【有一份礼物请集美们查收】除了脱单我觉得你还需要这个→参与本微博转评赞，郑州恒大城联合@植物的旅程_花店和@吉利汽车抽取10人送鲜花礼盒、抽30人送N95口罩（10个/人），给每一位女神至情宠爱！春意融融，暖心“罩”护下的你，一定有着花儿般的笑颜！郑州恒大城给女神更多宠爱
河南中医药大学,:#河中医新闻#【邀请函】2020年河南中医药大学网络双选会邀请函【邀请函】2020年河南中医药大学网络双选会邀请函
陪你过夏_,:哈哈哈哈哈哈，我们河南小王真是老实人
XH南南-,:#2020中国大学生好创意，为中国加油!武汉加油!#@全国大广赛组委会作品：《全国疫情图》作者：胡静依学校：河南艺术职业学院作品简介：本该如此，中国加油！
庐阳正道,【#河南53个贫困县全部脱贫#】#决战2020#经河南省脱贫攻坚领导小组审议，省政府第77次常务会议研究，正式批准嵩(sōng)县、汝阳县、鲁山县、范县、台前县、卢氏县、南召县、淅川县、社旗县、桐柏县、淮滨县等14个县退出贫困县序列。至此，全省53个贫困县全部实现脱贫摘帽。http://t.cn/A67bx7eu
河南全视角,:河南洛阳这个地企合作视频会议开得不寻常企业线上提问政府当场解答#滞留武汉亲戚家8人挤两室一厅#http://t.cn/A67TgRwH
Libra557,:一晃10年从2010年的第一封QQ邮件到至今16岁到26岁的我，20岁到30岁的你江西到河南，荆州到湛江，南昌到湛江1200多公里的距离，几个月一次的联系淡淡的久久的，不联系不代表忘记期待下一个十年
你嘴里的猪猪到底有几个,:闫军鹏29岁河南郑州大学体育系毕业，一个大骗子骗钱骗感情，骗我三年感情陆陆续续每次都几百几百的借我的钱，借了我13万消失了，他说他在传媒大学和合伙人一起开个工作室做健身和康复治疗，我一次没去过，也不知道真假，我现在找不到他，他拉黑我所有联系方式，拒不承认借我钱，这样的人渣我拿他没办法，他教我网贷借钱给他，让我想尽一切办法去借钱然后借给他，现在人跑了我自己欠了一屁股债心灰意冷，我怎么才能找到他还钱，这种人太猖狂，钻法律空子有认识他的帮我找到他，我只想他还我钱，谢谢大家@郑州大学@郑州大学新闻网http://t.cn/R0RZnt9
zengr307,#反对外国人永久居留管理条例#胡必亮：非洲留学生来华奖学金其实并不多，一年也就十万块钱左右！简直笑哭了的微博视频
XH南南-,:#2020中国大学生好创意，为中国加油!武汉加油!#@全国大广赛组委会作品：《全国疫情图》作者：胡静依学校：河南艺术职业学院作品简介：本该如此，中国加油！
河南大学新传院团委,【截至3月4日24时河南省新型冠状病毒肺炎疫情最新情况】2020年3月4日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例5例。截至3月4日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有危重病例1例，无重症病例，累计死亡病例22例，累计出院病例1239例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39234人，3月4日已解除观察212人，共有639人正在接受医学观察。
微博非遗,:【微博非遗公开课055期#非遗看河南#酇城糟鱼】新型冠状病毒肺炎疫情期间，在文化和旅游部非遗司的业务指导下，@微博非遗@文旅中国新浪地方站联合全国各地非遗保护协会共同发起“微博#非遗公开课#”系列活动！#遇见非遗#酂城糟鱼，源自永城市酂城镇，酂城糟鱼以鲫鱼为原料，油糟先去鳞(水糟、辣糟不去鳞)、去杂洗净，刀口朝下晾2小时除去水份，过油炸成焦黄色，再刀口朝上排列于砂锅内，加入适量猪油、盐、糖、酒、醋、"八大味"和水等，用瓷盘垫以湿布封严，用大火加热煮沸后，继续用文火烧3小时即成。具有色黄味鲜，肉熟骨酥，不腥不腻等特点。酂城糟鱼选用鲜鲤鱼，把鱼宰杀，去腮、五脏洗净(保留鱼鳞)。将鱼的头尾相交，层层码放。鱼锅中间留一孔，放入精盐、料酒、茴香、大料、桂皮、桔皮等十几种秘制调料。锅底旺火加热，烧开后文火慢烧，数小时后停火，凉后即成。做糟鱼通常夜间加工，文火慢炖一夜，次日凌晨出锅。吃糟鱼最好凉食，味极鲜香。@永城发布http://t.cn/A67TgnVC
庐阳正道,【#河南53个贫困县全部脱贫#】#决战2020#经河南省脱贫攻坚领导小组审议，省政府第77次常务会议研究，正式批准嵩(sōng)县、汝阳县、鲁山县、范县、台前县、卢氏县、南召县、淅川县、社旗县、桐柏县、淮滨县等14个县退出贫困县序列。至此，全省53个贫困县全部实现脱贫摘帽。http://t.cn/A67bx7eu
你嘴里的猪猪到底有几个,:闫军鹏29岁河南郑州大学体育系毕业，一个大骗子骗钱骗感情，骗我三年感情陆陆续续每次都几百几百的借我的钱，借了我13万消失了，他说他在传媒大学和合伙人一起开个工作室做健身和康复治疗，我一次没去过，也不知道真假，我现在找不到他，他拉黑我所有联系方式，拒不承认借我钱，这样的人渣我拿他没办法，他教我网贷借钱给他，让我想尽一切办法去借钱然后借给他，现在人跑了我自己欠了一屁股债心灰意冷，我怎么才能找到他还钱，这种人太猖狂，钻法律空子有认识他的帮我找到他，我只想他还我钱，谢谢大家@郑州大学@郑州大学新闻网http://t.cn/R0RZnt9
济南同城会,:【#富士康一名员工不幸去世#】3月2日，河南郑州。航空港区富士康员工住处富鑫公寓一人坠楼。其疑从阳台落下，坠至商铺天花板。富士康科技集团今日证实，一名员工2日于郑州市航空港区不幸去世，集团对此表示遗憾，已派员全力协助家属处理后事，并配合警方针对事件进行调查。（视频来源：澎湃新闻）http://t.cn/A67WqSm5
zengr307,#反对外国人永久居留管理条例#胡必亮：非洲留学生来华奖学金其实并不多，一年也就十万块钱左右！简直笑哭了的微博视频
秀秀寸草心,:#圆梦你我他[超话]#送养宝贝寻家[女孩]约1990年出生几天后疑从河南省南阳市被抱至新乡市的娜娜寻亲452772http://t.cn/A67Tgfri
开封市教育局,:我分享了【河南1350万中小学生已领到新课本！】，快来看吧！|河南1350万中小学生已领到新课本！
新浪河南,:#三八节可劲儿宠#【有一份礼物请集美们查收】除了脱单我觉得你还需要这个→参与本微博转评赞，郑州恒大城联合@植物的旅程_花店和@吉利汽车抽取10人送鲜花礼盒、抽30人送N95口罩（10个/人），给每一位女神至情宠爱！春意融融，暖心“罩”护下的你，一定有着花儿般的笑颜！郑州恒大城给女神更多宠爱
江苏城市频道,:【出租房没网没设备，#8岁留守男孩用老年机沟通作业#：成绩全班一二名
M鹿伯宝宝M,:#九辫儿河南后援会[超话]#“想驾着小小飞船，捡拾宇宙中细碎的星光，在每一个温柔的夜晚，拼凑成月亮的渔网，挂到你的床头@杨九郎L”
国网孟州市供电公司,:#电力雷锋●光明行动#【国网孟州市供电公司：菜棚里来了“电雷锋”】3月4日，国网孟州市供电公司青年志愿者来到河南省大宗蔬菜产业技术体系集约化育苗示范基地--城伯镇吴寨村，开展“电雷锋爱心助农”活动，动态了解农民用电需求，并帮助农民义务检修用电设备，助力农民增产增收。（陈欢欢）@电网头条@国网河南电力@大河报@焦作日报@国家电网报@东方今报@国网焦作供电公司
不开心等开心,:这条微博一直都不好上，为啥？古阿扎一笑倾城天青色等烟雨#古阿扎#~听说虎牙古阿扎火了~留学生刘玥站在河南实验中学门口等折耳鱼不呼吸，#宸荨樱桃#视频袅袅升起和台湾swag隔江千万里。她满腹才华，不如让#宸荨樱桃#不吃香菜yui##新郎扒皮新娘##李芳艺蕾lol##李芳艺视频#柳州女健身教练不吃香菜YUi和健身会员搞你懂得因为把感情看得太重小姐姐长得不错，婚礼上扒皮新娘新郎简直毁尽三观#新郎扒皮新娘#，虎牙古阿扎，小姐姐长得不错#6万一晚#视频还可以，6万女主居然被曝光来补课了6w女主?#6w兔兔#长城恨不穷。我们#二次元#永远都是生活的主宰者。http://t.cn/A67TJnth
柚零下度,:
小仙女怎么这么爱生气,:今天我发现啊河南实验中学的#河南实验中学视频#是一个比较受欢迎的教学材料，同学家中坐，瓜从天上落，我们就一边上网课一边吃瓜吧
济南-天使的翅膀,:#爱心寻人团[超话]##爱心寻人团##微博寻人[超话]##等着我寻人团##等着我##宝贝回家##宝贝回家[超话]##等着我寻人#【求助】约1990年出生几天后疑从河南省南阳市被抱至新乡市的娜娜寻亲452772先天口腔腭裂。据邻居说，当年一妇女负气从河南省南阳市离家出走到新乡市，被养父收留，后这妇女家人找到她并将她带回家。为了报答养父，这妇女将寻亲人从外地抱去送给养父抚养；寻亲人到养家时脐带还未脱落；养父已去世多年。http://t.cn/A67T1PcC(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！
李娇青创客,:3️⃣月5日“陪伴早餐”微博打卡第18天内容如下👇🏻👇🏻👇🏻如果理想不付诸行动，终究只是飘渺的雾。别怕输不起，一切来得及，太阳尚远，但必有太阳。没有艰辛，便无收获，人生路上，只有自己才能给你最好的未来。我是XX，我在参加@叶倩叶老师@河南电台叶子的#口才变现训练营#第一期，我今天第18次打卡.http://t.cn/A67TrJi3
LEYILIYA,:#2020中国大学生好创意，为中国加油!武汉加油!#@全国大广赛组委会作品名称：《全民战“疫”》作者：李娜萌学校：河南工学院指导老师:刘丽琼作品说明:致敬各行各业身处一线的工作人员，我们虽然无法看清他们的面容，却能深刻记住他们忙碌的身影，他们为这次战“疫”贡献着自己的力量，向一线的英雄们致敬！“说不出现在多心痛，只好说一声多保重！”http://t.cn/A67Tdubc
S孙芳丽,:在一起丨河南南阳：战“疫”不忘扶贫菜农心中的“暖男”第一书记http://t.cn/A67TyDW2
S孙芳丽,:河南郑州储备500万只口罩将定向供应高三学子http://t.cn/A67WedLs
财新周刊,:【河南一粮企面粉镉超标被罚状告市场监管局后败诉】该企业表示，镉超标的小麦是从豫北新乡、安阳一带拉回来的，而且小麦中的镉并不是企业添加的，是土壤污染造成的。河南一粮企面粉镉超标被罚状告市场监管局后败诉
小二爱雪碧,:截至3月3日24时河南省新型冠状病毒肺炎疫情最新情况http://t.cn/A670165a
杨志刚866,:2020.3.5河南郑州巩义回郭镇。虎豹肉合。巩义市杨志刚866的微博视频
文史知识园地,:#图说历史##历史冷知识##历史#唐玄宗天宝元年的冬天，太原人乔琳赴京城应试。走到大梁（今河南开封）的时候，天色已晚，就投宿在旅店里。当时天寒雪大，他的马死了，奴仆也都离他而去。乔琳听说浚仪县尉刘彦庄喜欢结交朋友，便前往求助。刘彦庄的朋友中有个名叫申屠生的人，精通相术。他自称已经八十多岁了，待人非常的傲慢，刘彦庄的朋友宾客中虽然有许多达官名流，但这个申屠生从来没给过这些人好脸色。乔琳来了，申屠生的态度却非常亲热，这让刘彦庄感到很奇怪。等乔琳出去时，刘彦庄就问申屠生：“我的宾客中，无论是有名的还是没名的，无论是有才的还是没才的，都没见过你跟他们说过一句话。这个乔琳只是个布衣平民，你为何对他异常客气？”申屠生笑着回答：“此人哪里是个平常的人呀！日后他还会成为你的上司。你应该好好地招待他，日后必能得到他的报答。我同他结交，也完全是为了你。只是可惜，看他的面相，有反叛的征兆。如做高官，不会超过百日，并且过了七十岁，必然死于非命。你记住我今天说过的话。”刘彦庄于是盛情款待了乔琳好几天，并在乔琳走的时候，赠送他车马，让他顺利地到达长安。而申屠生这时候也准备告辞，临行前对刘彦庄说：“我在你这里得到了很好的招待，今天终于也有所报答了，让我们从此分手吧。”申屠生走后，便不知去向了。乔琳后来果然考中进士，一直做各种高级官府的幕僚。唐代宗大历年间，乔琳被任命为怀州刺史，刘彦庄正在怀州所辖的修武任县令，因其断案中有误判致人屈死的情况，家属上诉要求申冤，皇上下诏命御史调查弹劾。等乔琳到了怀州，稍微活动了一下，就让刘彦庄无罪释放了。到了唐德宗建中初年，乔琳升迁为中书侍郎平章，上任后只有八十七天，就因病辞官。后来朱泚谋反时，乔琳已削发为僧。朱泚知道乔琳没有离开长安，就逼迫他出来当官，参与反叛。待叛乱被平息后，乔琳被朝廷下狱，他在狱中自陈被逼参与叛乱的经过。太尉李晟欲免其死罪，但是皇上不准，于是乔琳被杀。死时七十一岁。http://t.cn/R2WxRdx
单眼皮小巷,:#2020中国大学生好创意，为中国加油!武汉加油!#@全国大广赛组委会名称:《最想做的事》学校:河南艺术职业学院作者:毛凡指导老师:张亚丽作品介绍:疫情期间，医生护士等各类人群都奔忙在战疫前沿，为国家贡献出自己的一份力量，那普通人呢，只能隔离在家，尽自己所能不为社会添乱，在家隔离就意味着想见的人不能相见，那，你是不是也无时无刻不再想他？就像他也在想你一样http://t.cn/RIBUWBj
德阳爆料王,:#德阳爆料#【朋友圈里买口罩谨防遭人“烧得跳”】3月4日，从旌阳区公安分局了解到，该局刑警大队经过周密布控，成功抓获了一名外省逃犯黄某（27岁，绵竹人）。目前，黄某已被移交给河南警方。经过突击审讯，黄某对通过网络以出售口罩为名实施诈骗的犯罪行为供认不讳。3月3日下午，在履行完交接手续后，黄某被移交给平顶山市公安机关办案民警。据德阳晚报#德阳抗疫在行动#
M鹿伯宝宝M,:#九辫儿河南后援会[超话]#春风十里不如你们
小仙女怎么这么爱生气,:今天我发现啊河南实验中学的#河南实验中学视频#是一个比较受欢迎的教学材料，同学家中坐，瓜从天上落，我们就一边上网课一边吃瓜吧
