新浪广西,:#广西抗击新冠肺炎#【清零！广西玉林市11名确诊病例全部治愈出院
哈尔滨身边事,:【喜讯！哈尔滨市传染病院5名患者治愈出院
规矩与良知律师,:新冠肺炎救治中医药大有可为专家组及时研发出了“中医药防治新冠肺炎系列方”。在预防方面，针对本次疫情特征，从扶正和辟瘟角度出发，形成了扶正辟瘟方，用于普通人群和密切接触者预防用药；在治疗方面，在辨证施治的基础上，总结临床经验，形成了针对普通型和重型患者治疗的中药方剂，普通型患者使用宣肺化浊方，重型患者使用清肺通络方。“这组中医药防治新冠肺炎系列方，是专家组总结前期中医药参与防治经验凝练提升形成的。”甘肃新冠肺炎救治实行一人一策，中医药也是一人一方，同时配套香熏、香囊、足浴、石疗等方法。中医药的这套方法优势明显，但不利于推广。为此，专家组成员在甘肃方案的基础上，根据实际经验，总结凝练出了具有普适性易于推广的“甘肃方剂”。http://t.cn/A67Nmcfw
哈尔滨电视台哈尔滨新闻,:【哈尔滨市传染病院第13批5名确诊新冠肺炎患者治愈出院】今天哈尔滨市传染病院继续传来喜讯：第13批5名确诊新冠肺炎患者治愈出院。看到越来越多的患者康复出院，医务工作者的内心充满了成就感和喜悦感。这批5名确诊新冠肺炎患者，年龄分别为8岁、56岁、63岁、65岁、73岁，皆为新冠肺炎普通型病例。在医院的精心救治和护理下，体温恢复正常三天以上、呼吸道症状明显好转、肺部影像学显示炎症明显吸收、连续三次呼吸道病原的核酸检测阴性。经省专家组评估，达到治愈出院标准，于今日出院。其中陈XX，男，73岁，既往高血压病史多年，半年前脑梗，左侧肢体瘫痪，有确诊病例接触史，2月1日出现发热，体温38.2℃，2月8日由120转送至市传染病院，以“新型冠状病毒肺炎疑似病例”收入院。2月9日核酸检测阳性，确诊为“新型冠状病毒肺炎”。国家在抗疫，医护人员在抗疫，各个战线都在抗疫，但最关键的抗疫者，还是我们自己。请广大市民切不可麻痹大意，不扎堆人群，待病毒消散之际，再看遍大好河山！
微时区,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
东江石排,【东莞新冠肺炎疫情权威报告：99例确诊病例85例来源于湖北】截至2020年3月2日，东莞累计报告确诊病例99例，累计出院81例（含今天上午出院的7人），死亡1例，在院治疗17例，在院患者中危重型2例，重型0例，普通型11例，轻型4例。无医务人员感染。11镇街（园区）已无在院确诊病例。透过数字，更多的市民渴望知道：现在东莞的疫情防控重点是什么？东莞的新冠肺炎疫情有什么特点？东莞的这些确诊患者大多来自哪里？现阶段市民是否可以稍稍轻松一点了？了解更多，请戳》》》http://t.cn/A67N4wQA
太行日报,:#晋城##治愈#【目前我市确诊的10例新冠肺炎已全部治愈出院，专家组们是如何确保救治效果的？】晋城市人民医院救治病区的10例患者概况：发病年龄24-64岁，平均43岁，发病至就诊时间4小时至8天，平均3.5天，确诊至出院时间1周至26天，平均17.4天。确诊的10例患者中，普通型7例，危重症2例，重症1例，现已全部治愈出院。
晋城市中级人民法院,:【棒：晋城最后一例新冠肺炎确诊患者出院！晋城清零！
最美边城丹东,:【#辽宁新增3例新冠肺炎均为丹东病例#：存在无症状、潜伏期超1个月的情况】3月2日，辽宁省新增3例新冠病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例，存在无症状感染、潜伏期超过1个月的情况。2月12日以后境外入丹东人员将全部开展新冠肺炎核酸检测。一手video的秒拍视频
中山发布,:#城事#【松滋患者转危为安与医护同唱《我和我的祖国》】湖北松滋市人民医院重症医学科主任杨文，昨日在朋友圈里分享了一段视频。新冠肺炎的重症病人胡阿姨在得知自己的病情由重症型转为普通型后，坐在病床上，开心地与医护人员一起唱起了《我和我的祖国》。在视频里，站在病人右手边的医生就是中山市陈星海医院呼吸与危重症医学科的主任医师周红梅。
东莞日报,:【东莞新冠肺炎疫情权威报告：99例确诊病例85例来源于湖北】截至2020年3月2日，东莞累计报告确诊病例99例，累计出院81例（含今天上午出院的7人），死亡1例，在院治疗17例，在院患者中危重型2例，重型0例，普通型11例，轻型4例。无医务人员感染。11镇街（园区）已无在院确诊病例。透过数字，更多的市民渴望知道：现在东莞的疫情防控重点是什么？东莞的新冠肺炎疫情有什么特点？东莞的这些确诊患者大多来自哪里？现阶段市民是否可以稍稍轻松一点了？了解更多，请戳》》》http://t.cn/A67N4wQA
湛泸剑,:【截至3月3日12时，贵州省无新增确诊病例】2020年3月3日0—12时，全省新型冠状病毒肺炎无新增确诊病例。截至3月3日12时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。（贵州省卫生健康委员会）
胡老大他爹,:【辽宁新增3例确诊病例，均为丹东市病例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。
晋城号外,:#晋城爆料#【棒：晋城最后一例新冠肺炎确诊患者出院！晋城清零！
海天之边,:《新增：0！重症：0！出院：74！》截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。新增：0！重症：0！出院：74！东莞考卷。
广州新闻电台FM962,:#抗疫最前线#【3月2日广东无新增确诊病例，新增出院47例】来源：南方网　　南方网讯据广东省卫健委官方网站消息，截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
虎门太平,:#防疫信息#【新增：0！重症：0！出院：74！】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。东莞昨日无新增确诊病例。出院8例，其中塘厦2例，东城、南城、大岭山、大朗、沙田、桥头各1例。东莞治愈率达75%，3/4的确诊病人已治愈出院。
欢乐长安,:#防疫进行时#【东莞新增：0！重症：0！出院：74！】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。http://t.cn/A67Csu2y
旅游梅州,:截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。持续稳住！梅州无新增，广东全省无新增！
晋城通,:#晋城爆料#【棒：晋城最后一例新冠肺炎确诊患者出院！晋城清零！
新浪辽宁,:#抗击疫情辽宁在行动#【辽宁丹东新增3例确诊病例：存在无症状、潜伏期超1个月的情况】2020年3月2日，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例，存在无症状感染、潜伏期超过1个月的情况。2月12日以后境外入丹东人员将全部开展新冠肺炎核酸检测。http://t.cn/A67CyOZs
济南日报,:#山东疫情#【济南市传染病医院今天又有4例患者出院，全市已治愈36例！】济南市传染病医院今天有4例确诊患者康复出院，至此，济南市传染病医院已有32例病人出院，济南市共有36例确诊患者出院。先出来的两名患者都是普通型，他们入院时有发热咳嗽等典型症状，对他们进行了抗病毒治疗，加上中医药，整个治疗过程顺利。其中一名患者耿某某，正在上研一，是第27例确诊病例的女儿，24日被感染的，其妈妈已经出院。她说，“医护人员对我像亲人一样，走很舍不得，感谢主任、护士长，我们留了联系方式，会再相见的。我知道他们背后也有家庭，抛下家庭为了我们。”另一名小患者王某某，5岁，其妈妈已经出院12天，爸爸还在住院。他们一家三口是去武汉探亲时被传染的。“我在医院不怕。我在病房里还给爸爸过生日了。”孩子说。他们出院后要在留观点隔离14天，回家还要再隔离14天，一共是四周。
韶关发布,:【韶关连续17天无新增！昨日广东无新增，累计出院1081例】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
文明V中山,:【辽宁公布新增3例确诊病例行程轨迹】3月3日，根据国家《新型冠状病毒肺炎诊疗方案（试行第六版）》，经省专家组确认，丹东市新增3例新冠肺炎确诊病例，其中2例为普通型，1例为轻型。截至3月2日24时，丹东市累计报告新冠肺炎确诊病例为11例，其中治愈出院7例，1例在省集中救治大连中心治疗，已由重型转为普通型；另3例在丹东定点医院住院治疗，病情稳定。一、确诊病例情况及行程轨迹确诊病例1：史某，女，52岁，丹东人，退休返聘职工。2月22日14时因发热到市中心医院发热门诊就诊，问诊无流行病学史，经院内专家会诊认为肺部CT影像学表现不符合新冠肺炎诊断标准，建议居家隔离，口服药物，告知病情若有变化门诊随诊。2月29日上午因发热到市中心医院发热门诊就诊，诊断为新冠肺炎疑似病例进行隔离治疗，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例2：宋某某，男，30岁，丹东人，在深圳读书。2月29日出现咽部不适，轻度咳痰，头痛、无其他症状，自行服药（药名不详），症状无缓解。3月1日由指定救护车送至市传染病医院发热门诊就诊，诊断为新冠肺炎疑似病例，经核酸检测阳性，诊断为新冠肺炎确诊病例。留院隔离治疗。密切接触者均实施了隔离医学观察。病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。http://t.cn/A67Crjcw，15时回家无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例3：宋某某，男，57岁，在职职工。3月1日作为疑似病例密切接触者被隔离医学观察，3月2日由指定救护车转至市传染病医院发热门诊留观，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。患者自述，外出时均佩戴口罩。
粤西资讯网,:#阳江身边事[超话]#【截至3月2日24时，广东0新增，阳江0新增】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。http://t.cn/A67Cr2FP
FM910攀枝花汽车电台,:【#辽宁新增3例新冠肺炎均为丹东病例#：存在无症状、潜伏期超1个月的情况】3月2日，辽宁省新增3例新冠病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例，存在无症状感染、潜伏期超过1个月的情况。2月12日以后境外入丹东人员将全部开展新冠肺炎核酸检测。#新型肺炎抗疫全记录#http://t.cn/A67CyOZs
花香满径伴和风,:#沈阳[超话]##抗击疫情辽宁在行动#🙏🙏2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。
沈阳日报,:【#辽宁新增3例新冠肺炎均为丹东病例#：存在无症状、潜伏期超1个月的情况】3月2日，辽宁省新增3例新冠病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例，存在无症状感染、潜伏期超过1个月的情况。2月12日以后境外入丹东人员将全部开展新冠肺炎核酸检测。#新型肺炎抗疫全记录#http://t.cn/A67CCqwT
木大夫分享,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）http://t.cn/A67C9oij
铜仁发布,:#贵山望楚水黔心连鄂枝#【方舱医院里的70后铜仁护士赵贵萍】武昌方舱医院，虽然收治的是普通型新冠肺炎患者，但是，要做好自身防护工作，以及患者的救治工作，每一项工作都要做到十分严谨，来不得半点马虎。2月15日凌晨6时许，几声震动，把赵贵萍从睡梦中惊醒。“接上级通知，要对贵州省第五批援鄂医护人员，进行新一轮考核，考核合格之后，方可随队前往武昌。”通知信息是凌晨1点多发布的，考核前，需要递交请战书。来不及洗漱，赵贵萍连忙找来纸和笔，一字一句地写下请战书。写毕，匆忙跑下楼去，到了电梯口，才反应过来，忘记戴口罩了。在最终的录取名单上，总共有5名医护人员超过40岁，其中包含两名领队。今年43岁的赵贵萍，是高龄队伍中最年轻的医护人员。“姐姐你是好样的，这一分钟感觉姐好伟大，你是一名真正的共产党员。”尽管赵贵萍缄口不提驰援湖北的事情，最终，弟弟还是通过官方政务微信微玉屏知道了。女儿从旁人口中得知消息以后，回复道：“无论你做什么决定，我都支持你。”“我作为一名共产党员，国家遇到困难，必须冲锋在前。”言出必行的赵贵萍，通过自己的实际行动，赢得了身边同事的肯定和赞许。前不久，她被推选为贵州省第五批援鄂医疗队临时党支部第三小组组长，依然在疫情一线战斗着。#10地连续10天以上无新增病例##共同战疫##一线医护的真实工作状态#（覃嵩松）
微博锦州,:【2020年3月2日0时至24时辽宁新型冠状病毒肺炎疫情情况】发布时间：2020-03-0307:50:002020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。辽宁省卫生健康委员会
胶州市人民检察院,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。#防控新型冠状病毒肺炎#（人民日报）
释善平,:《清肺排毒汤_百度百科》清肺排毒汤来源于中医经典方剂组合。可用于治疗新型冠状病毒感染的肺炎轻型、普通型、重型患者，在危重症患者救治中也可结合患者实际情况合理使用。但该方为疾病治疗方剂，不建议作为预防方使用。http://t.cn/A67SFf9K
