呆梨各种吹,巴萨铁三角又来了！
叶箫大人,忽视、欺骗、失职：浙江8人逃离意大利背后▲浙江连续多日无确诊案例的记录，被8名归国华侨打破了。3月2日和3月3日，浙江丽水市青田县连续发布了8例确诊，他们都是青田县在意大利的华侨，在贝加莫的同一家餐厅工作。他们在七天前，回到了故乡。但这8人逃离意大利背后藏着的，是重重的忽视、隐瞒、欺骗、失职。浙江连续多日无确诊案例的记录，被8名归国华侨打破了3月2日和3月3日，浙江丽水市青田县连续发布了8例确诊，他们都是青田县在意大利的华侨，在贝加莫的同一家餐厅工作。他们在七天前，回到了故乡。丽水本来是浙江全省第一个清零的地区。换言之，是餐厅老板夫妻，带着自己的六位员工，从疫情爆发初期的意大利，逃回了疫情趋于平稳的浙江。8人中，餐厅老板娘王玉某是第一个被确诊的，第二天，其余七人也全被确诊。在社交媒体上，很多人欢呼浙江的大度，认为：之前华侨为祖国防疫捐钱捐物，现在到了我们回报的时候了。社长当然觉得华侨回国接受更好的救治，是一件好事。但是当我仔细研究了八人一路的轨迹，后背却出了冷汗。2这个温馨的故事背后藏着的，是重重的忽视、隐瞒、欺骗、失职这个温馨的故事背后藏着的，是重重的忽视、隐瞒、欺骗、失职。过去一个多月的防疫经验证明，这些行为的危害，比病毒本身的危害更大。老板娘王玉某申报的回国的原因是，意大利北部疫情严重，餐厅生意较差，但事实是，她自己2月16日，就出现了新冠肺炎的症状。先来看这样一条官方信息的时间线：2月16日，老板娘王玉某出现咳嗽、头痛、腹泻等症状；2月26日-27日，老板娘等7人，意大利贝加莫餐厅-米兰-俄罗斯-上海浦东；2月28日，7人包车（分乘两辆车）进入青田；2月28日，剩余1人从意大利起飞；2月29日，德国-上海浦东。2月29日，一人包车进入青田。逃出意大利行为，事实上已经构成一个高危的国际传播案例。因为他们的选择，很多无辜的人，都要被牵连和隔离了。更不用说，这一路走来，他们躲过了防疫工作监控的行为，已经构成隐瞒和欺骗。首先，这八人的行程非常复杂。他们的停留地点包括四个国家的5个机场——米兰马尔本萨机场、俄罗斯谢诺梅杰沃、意大利利纳特机场、德国法兰克福机场和上海浦东机场：从米兰到俄罗斯，机上5个小时；俄罗斯谢诺梅杰沃机场，4个小时；从俄罗斯回浦东，机上13个小时；利纳特机场到法兰克福，机上1个小时；法兰克福机场，6个小时；法兰克福到上海浦东，机上17个小时。即便完全扣除他们在机场停留的时间，他们在高人流的密闭空间里，呆了整整46个小时。沿途5个机场和4个航班的乘客，都不知道自己与病人处于同一空间内。在这八人落地之后，浙江方面已追踪到39名密切接触者，其中38人在丽水，1人在杭州，均已采取隔离措施。但这与他们接触过的人数相比，真的太少了。其次，从意大利到中国，这八人一路都有隐瞒和欺骗的嫌疑。从官方通报中就可以看出，这八人是在回到青田后才向政府申报自己的情况。也就是说，一路以来，他们都没有向周围人示警，让机场和飞机上接触到的工作人员，就此成为了高危人群。而进入中国境内后，他们的欺骗和隐瞒行为也基本可以坐实。根据防疫工作的流程和规定，进入上海的人员要反复填写健康申明，包括如实填写自己的症状和接触史。而他们落地后，顺利出了上海。这几乎可以断定，这八人在申报时撒了谎。从浦东机场出来后，他们分别乘坐三辆私家车（并非网上传言的丽水政府包车），回到青田。可以预见的是，他们也没有对三位私家车司机说实话。这三名司机，就这样承受了来自意大利的无妄之灾。最后，可以证明浦东机场的防疫工作是完全失守的。浦东机场防疫工作人员唯一能依赖的，只是病人的自觉。他们把8个几乎确诊的病人，就这样从眼皮子底下放走了。逃离意大利也就算了，他们竟然从上海逃走了，这才是整件事中最不可思议的地方。这说明，浦东机场从健康申报到体温枪检测，都是失守的。接下来的防疫重点，可能是疫情重灾区国家的反向输入，尤其是华人的反向输入。当然，相比起上海，社长更替意大利捏了一把汗。从2月16日出症状，到2月26日启程回国，这位餐厅老板娘和她的七位员工到底接触了多少客人。这个数字，就只能留给意大利政府去寻找吧。上帝保佑意大利！■
一只方仔,:啊啊啊意大利小姐姐太美了啊啊啊啊
今天也要波霸奶茶加布丁呀,#美疾控中心停止公布各州确诊数#
简驿广告,:#意大利确诊病例升至3089例##意大利确诊病例升至3089例#意大利增长速度太快了，目前意大利的受感染情况还是相对严峻的，真心希望意大利政府和民众能充分意识到这次疫情的严重性，前两天看到意大利居民拒戴口罩要自由，生命是最重要啊，崇尚自由和保护自身安全并没有冲突，希望可以及时宣传并做好防护，这一场突如其来的疫情，没有任何一个国家更没有任何一个人能置身事外，全世界必须团结起来，战胜新冠肺炎疫情所带来的困难，这是全球性质的共抗疫情，也衷心希望各国并肩作战，一起打赢这场新型肺炎“歼灭战”。
泉网新闻,:#环球资讯#【全球疫情数据速报】#中国境外新冠肺炎确诊12668例##韩国累计确诊5766例新冠肺炎#全球疫情升级，多国新冠肺炎确诊人数增加，战“疫”没有旁观者，一起加油！
三七NaN,:#意大利决定关闭全国学校及大学#本来以为中国拉响了极高的病毒警报，没想到欧美封闭边境仅仅是对中国的不信任，而非对病毒警报的恐惧，俨然是“外紧内松”。现在，欧洲各国因为信任意大利很可能成为下一个意大利。破百的病死数在中国任何一个省都是瘫痪医疗体系的前兆，午夜的前夜......
简驿广告,:#意大利决定关闭全国学校及大学#【疫情严重！#意大利决定关闭全国学校及大学#至3月中旬
ZLATAN伊布2,意大利乘客现在嫌司机向悬崖开车速度不够快，把司机推开自己狂踩油门冲下去。。。杨晓春的微博视频
七月-噶让平措,:终于在骄傲的新生儿科排名第一的《ADC-FN》（实时IF5.298）发表文章
七月-噶让平措,:终于在骄傲的新生儿科排名第一的《ADC-FN》（实时IF5.298）发表文章
hu0408,:意大利新冠肺炎确诊病例增至3089例政府计划禁止进行公共活动意大利新冠肺炎确诊病例增至3089例政府计划禁止进行公共活动
我是一只废瓜,:#韩国新冠肺炎升至5766人#卧槽这都快6000人了韩国的措施到位了吗#意大利确诊病例升至3089例#意大利也升得好快啊
弹钢琴的张佳林,:一版较冷门的《茶花女》选段，Carteri、Valletti这些二战后一代意大利歌剧一线演员在今天没有什么知名度了，但他们也是“黄金时代”重要的遗迹之一。这版录音只发行有选段，遗憾的是第二幕中三段男高音较戏剧性的唱段都没有收录，或许也并非瓦雷蒂所长。但这套班底曾在大都会演过全剧。自翻黑胶APE
上山不怕老虎咬,【#意大利奶奶硬核防疫建议#：见面抛媚眼，超酷挡喷嚏手势
HMD蜗牛先生struggle,:【87岁意大利老奶奶防疫视频\英国街头访疫】，更多分享视频可以关注B站up主：HU蜗牛先生；用户名：46653350150_biliHMD蜗牛先生struggle的微博视频
福州新闻广播,:【4日，福州0新增确诊病例、0新增疑似病例】　　3月4日0-24时，福州市无新增新型冠状病毒肺炎确诊病例、疑似病例。　　截至3月4日24时，福州市累计报告新型冠状病毒肺炎确诊病例72例，其中：鼓楼区2例、仓山区10例、晋安区11例、长乐区8例（湖北武汉2例，航班经停长乐机场）、福清市16例、闽侯县3例、连江县8例、闽清县7例、罗源县1例、永泰县2例、宁德古田1例、南平延平1例、湖北武汉2例。　　累计治愈出院70例，其中：鼓楼区2例、仓山区10例、晋安区10例、长乐区8例、福清市16例、闽侯县2例、连江县8例、闽清县7例、罗源县1例、永泰县2例、宁德古田1例、南平延平1例、湖北武汉2例。死亡1例，为晋安区病例。　　累计排除新型冠状病毒肺炎疑似病例206例，现无新型冠状病毒肺炎疑似病例。　　目前，累计追踪到的密切接触者1894人，已解除医学观察1794人，其余正在接受医学观察。#美疾控中心停止公布各州确诊数##意大利确诊病例升至3089例#
周详的资浩,:真TMD好吃-_-||；也有落幕的一天：也有空号的一天：西班牙吃了意大利面：也有淡忘的一天;再浪漫的剧情！
春语摄影,:#微博旅游[超话]#综合卫健委通报，3月4日湖北以外30省新增确诊病例5例，其中浙江湖州2例，黑龙江牡丹江、北京朝阳区、四川成都各1例，其余27省份0例。湖北武汉新增确诊病例131例，鄂州2例，黄石1例，其余地市0例。现有疑似病例522例，湖北315例，武汉247例。韩国、意大利、伊朗、日本等国疫情继续增长。全国实现无新增确诊和疑似病例仍需继续努力防控。阻断境外输入，防止死灰复燃是当前疫情防控首要任务！http://t.cn/RDUnNFD
韶关发布,:【从韩国意大利伊朗日本等国入粤，须隔离观察14天】3月4日下午，广东省人民政府新闻办公室举办新闻发布会，广东省卫生健康委二级巡视员纪乐勤通报了我省新冠肺炎疫情防控工作最新情况。针对近期新冠肺炎疫情在海外呈现扩散态势，纪乐勤表示，广东高度关注，建立了口岸联防联控机制，组织口岸、卫健、边检、海关、公安、外事、民航局等部门联勤联动，统筹做好健康监测、应急处理等工作，全面加强入境健康管理，严防境外疫情输入风险，保护入境人员生命健康安全。http://t.cn/A67T0eAB
海蓝Navyblue,:国外累计感染人数接近15000人国内的疫情慢慢收到控制，确诊病例越来越少，治愈率保持稳定，随着时间推移，新药和治疗方法越来越有效，疫苗也在路上了。国外则是另一个方向，韩国意大利伊朗持续大面积感染，特别是意大利，昨天一天就接近600例。美国悠哉悠哉说没事，不肯公布数据，但川建国宝宝心里的苦，只有自己知道。http://t.cn/A67T0gUQ
上城智造,【浙江省昨日新增新冠肺炎确诊病例2例，均为境外输入病例】#关注#2020年3月4日0-24时，浙江省新增新型冠状病毒肺炎确诊病例2例（均为湖州市德清县报告的意大利输入病例），新增出院病例23例。其中：新增出院病例中，杭州市4例、温州市12例、台州市7例。
健康同行栏目,:#美国疫情#心大的美国政府：普通美国民众真的不用戴口罩，消毒搓手液没有也没关系。主要还是靠用肥皂洗手20秒。明天副总统彭斯将率新冠特别小组的官员们访问华盛顿州和田纳西的3M工厂。美国官员说，新冠的危险人群主要是老年人。韩国🇰🇷数据显示，没有30岁以下的死亡病例；在意大利🇮🇹感染新冠的人平均年龄60岁以上，死亡病例在80岁以上。http://t.cn/A67YlGQq
Loki才露尖尖角,【当“中国游客因新冠疫情被歧视”发生在比利时……】2月中旬，一个名叫《你会作何反应》的比利时团体，拍摄了一段反种族歧视的社会实验视频。他们邀请2名白人女性扮演比利时人，在地铁上辱骂另外3名演员扮演的中国人，以“会传染新冠病毒“”为由，将他们赶下地铁。然后，记录下了乘客们的反应……http://t.cn/A67la7zW
灌篮杂志,:#加里纳利关键三分##NBA吐槽大会#意大利炮开炮！加里纳利关键三分杀死比赛，带队获得比赛胜利！这三分真稳
主播金三秒,:意大利人好像没有做好疫情准备
山花梅猶,:浙江海外回来的能不能别给浙江丢脸，要么直飞浙江下来隔离，要么别回来了，到处转机真是丢脸
北京粉笔教育,:#北京粉笔带你学热点#外防输入，内防扩散，是这一阶段疫情防控的主基调。无论是在韩国、日本等近邻，还是在意大利、美国等西方国家，疫情都有愈演愈烈之势。即便存在一定风险，我们也不能贸然关闭国境，应该细致排查、迅速隔离，积极帮助治疗，更好展现我们的人文关怀。
别给我瞎科普我有自己的判断,:#意大利确诊病例升至3089例#继续抗议和歧视戴口罩😷吧
优行商旅,:【优行·商旅快报】2020年3月5日3月5日，星期四，农历二月十二1.中国境外确诊新冠超1.2万例，八成来自韩国意大利伊朗。2.北京、上海、广东宣布对来自韩意伊日等国家的入境人员一律隔离观察14天。3.滴滴出行：疫情期间不佩戴口罩的乘客，司机有权拒载（取消订单）。4.2月东方航空、南方航空分揽全球大型航司准点冠亚军；2月深圳航空成为国内到港率最准点冠军。5.深航针对凤凰知音会员推出飞行达人回馈季，乘机达标后即可免费获得免费里程、礼券、2.5折特价机票等奖励。6.国家移民管理局：截至目前已有超过40个国家恢复签证申请。【优言优语】行动是打败焦虑的最好办法，当你不知道该做什么的时候，就把手头的每件小事做好；当你不知道怎么开始时，就把离你最近的事情做好。
PerfectFrame铂扉婚纱摄影,:#意大利#罗马教堂婚礼愿疫情早日结束，自由呼吸拥抱阳光#婚纱摄影##教堂婚礼##婚礼#
CETV新闻,:【#意大利决定关闭全国学校及大学#】3月4日，意大利媒体报道称，意大利决定暂时关闭全国各地的学校和大学。该措施将于3月5日生效，持续到3月中旬。近日，意大利暴发新冠肺炎疫情，目前已确诊2502例，其中死亡79例。病例席卷该国各大区，除一大区外都有了确诊病例。（新京报）#新型冠状病毒#http://t.cn/A67jGKPa
中新浙里,:【#浙江省昨日新增新冠肺炎确诊病例2例#，均为境外输入病例】2020年3月4日0-24时，浙江省新增新型冠状病毒肺炎确诊病例2例（均为湖州市德清县报告的意大利输入病例），新增出院病例23例。其中：新增出院病例中，杭州市4例、温州市12例、台州市7例。截至3月4日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1215例（其中境外输入病例10例），现有重症病例3例（其中危重2例），累计死亡1例，累计出院1130例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市12例（其中境外输入病例2例）、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市1例、嘉兴市1例；死亡病例中，温州市1例；出院病例中，杭州市174例（其中划归外省病例12例）、宁波市154例、温州市478例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市127例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41850人，当日解除医学观察56人，尚有669人正在接受医学观察。
与尓銷愁,:你要不要和我一起去意大利阿马尔菲海岸的柠檬夏天@喝下这口百利甜
NowhereSmoking,:马塞洛·马斯楚安尼一个意大利男人，出现在西奥·安哲罗普洛斯的电影里？
李映红,:澳大利亚总理莫里森再次宣布禁令延长一周至3月14日！与此同时，禁令的范围还从中国大陆和伊朗，扩大到了韩国……估计很快就会加上意大利。之前曾经预测澳大利亚会在三月上中旬放宽中国学生入境，但因为全球疫情形势日趋严峻，就连澳大利亚全国的确诊也是连日暴涨到52人，昨天甚至新增1例死亡病例。中国留学生回澳的大门虽然没有关闭，但其路漫漫。#韩国新冠肺炎升至5766人##意大利决定关闭全国学校及大学#
枫糖飘香,:澳大利亚继对中国伊朗travelban之后又ban了韩国。但不ban意大利，抢厕纸，不带口罩的迷之操作我不能理解
欧阳sun映雪,:每日一景|意大利威尼斯风光每日一景|意大利威尼斯风光
polocc,
老陳ChenY,:一天的坏心情，从两个意大利回来的b开始
小微论坛,:#意大利确诊病例升至3089例#这种事大意不得！越尽早重视，越好！
空间与艺术,:水彩绘画丨意大利水彩绘师Massimiliano#遇见艺术##爱与艺术#
中国消费者报,:【北京发布1例意大利输入病例情况说明】北京市卫生健康委5日凌晨就1例境外输入病例情况作出说明。据海关总署3月4日发布的消息称，3月3日海关采样检测和排查转运北京的核酸阳性者1例，该患者来自意大利，经问诊和综合检查，已在北京市定点医院确诊，并进行隔离治疗。3月4日上午，北京市公布的新冠肺炎疫情中已将此患者计入到2例境外输入病例中。
股市女人,:意大利已经一天500了，韩国处理及时数量也在回落...日本，美国，还在捂着锅盖...想把肉烂在锅里。
请不要吃我好嘛,直播：莫里森召开新闻发布会，应该会发布新的禁令政策。
阿等陣先,:现在坐在一个🇮🇹cafe里看着手机热搜意大利的确诊人数心莫名有点慌
一木百才,:在疫情爆发的几个国家里伊朗可能是我们最该大规模援助的！美国对伊朗的医疗物资封锁其实是在枉顾人命，人道和人性！中国对伊朗的帮助不该低于对世界总援助的30%！对于像日本和韩国，意大利等国以清单为主，由这些国家提出需要清单，我们尽力提供货源和帮助！
时今强,:一天增加587例！意大利累计确诊3089例死亡107例一天增加587例！意大利累计确诊3089例死亡107例
贵州长安网,:【#意大利确诊病例升至3089例#，#意大利累计死亡107例#】根据当地时间3月4日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者2706例，死亡107例，治愈276例，累计确诊感染新冠病毒总人数为3089例，较3月3日18时新增587例，新增28例死亡病例。意大利卫生部4日宣布，自3日以来，意大利民防部门已经向意大利疫情“红区”（伦巴第的十个城镇及威尼托的一个城镇）的居民分发了2.5万支医用口罩。同时，还向意大利全境的医护人员提供了40万个FFP2和FFP3两个欧洲标准等级的防护口罩。
北京日报,:#对疫情的警惕性不能降低#【#多国学者发现新冠病毒已变异#】多国研究人员发现本国新冠病例已出现变异。这种变异会带来哪些影响呢？巴西卫生部2日最新公布的数据显示，目前巴西有2例确诊病例。巴研究人员发现首个病例与在德国发现的病毒更加相似，而第二个病例则与在英国发现的病毒更加相似。据介绍，这两名患者都是今年2月在意大利感染后回到巴西的。圣保罗大学医学院研究人员表示，病毒出现的变异是疫情在相关地区传播留下的印记，可被研究人员用于追踪病毒传播路径。不过，专家表示二者与在中国发现的病例也有所不同。在澳大利亚，同样有研究人员声称发现病毒正在发生变异。武汉大学医学部病毒学研究所教授杨占秋4日对《环球时报》记者表示，两名巴西患者身上的病毒样本一个跟英国一样，一个跟德国一样，说明在欧洲流行的新冠病毒可能就是这几个亚型。（环球网）http://t.cn/A67T6kPB
平潭时报,:【#意大利确诊病例升至3089例#，#意大利累计死亡107例#】根据当地时间3月4日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者2706例，死亡107例，治愈276例，累计确诊感染新冠病毒总人数为3089例，较3月3日18时新增587例，新增28例死亡病例。意大利卫生部4日宣布，自3日以来，意大利民防部门已经向意大利疫情“红区”（伦巴第的十个城镇及威尼托的一个城镇）的居民分发了2.5万支医用口罩。同时，还向意大利全境的医护人员提供了40万个FFP2和FFP3两个欧洲标准等级的防护口罩。（Via：人民日报）
雷霆中文网,:2020.03.05雷霆VS活塞Thunderwin！！！第四节领先10+就不会打球了，大家拿到球就晃一下传给队友，都不投，一下不会打球了，被反超了，分差1分咬的很紧，最后21.6秒靠意大利炮命中三分球获胜，不能大意啊，如果是对方进，输的可就是我们了。~~~渣雷加油，继续前行。#ThunderUp#
AVARITIAAA,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
祝他有钱赚,#美疾控中心停止公布各州确诊数#为什么不公布？？#意大利确诊病例升至3089例#希望疫情早点过去，出门一定要戴好口罩啊
FZ4eva,:#意大利确诊病例升至3089例#这发展的也太迅速了吧，涨幅太大了，需要赶快出应对措施！民众们应该要有自我保护意识，戴口罩，少聚集，保护自己，也保护他人！#意大利决定关闭全国学校及大学#学校是重中之重，学生的密度大，有一个或许会成为上百或更多，所以关闭学校是必要的措施！
咻哒咻哒,五角大楼：由于冠状病毒，日本的F-35喷气式飞机组装厂的工作暂停了～～
我问问水中鱼,:#韩国新冠肺炎升至5766人#💔#意大利确诊病例升至3089例#全球都应该重视啊…………最近浙江新增都是境外输入的
上帝之弃子坚毅之恶魔,#中外舰闻#绿洲
非常豹笑,:二营长，你他娘的意大利炮呢
新闻广东,:【#浙江输入病例曾途经巴黎广州杭州#】3月4日0-24时，湖州市新增新型冠状病毒肺炎确诊病例2例（均为德清县报告的意大利输入病例）。新增2例境外输入病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班）、2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。#湖州身边事#
恒温椰风,:#意大利确诊病例升至3089例#不管在哪里都要做好防护，安全自己也安全别人。既然不好出门那我们来画个小青蛙小熊吧学起来
想牛鹅同台想疯球了的卑微粉,:意大利好不要脸哦
四不拗六,:#美疾控中心停止公布各州确诊数#这是准备掩耳盗铃吗……别整这些sao操作了#意大利确诊病例升至3089例#这个增长速度太快了，应对措施要加强了
希望五只幸福的小瓜,害想当初刺莲……
光明日报,:#疫情阻击动态#【北京发布1例意大利输入病例情况说明】今天，北京市卫生健康委发布1例意大利输入病例情况说明：据海关总署3月4日发布的消息称，3月3日海关采样检测和排查转运北京的核酸阳性者1例，该患者来自意大利，经问诊和综合检查，已在我市定点医院确诊，并进行隔离治疗。3月4日上午我市公布的新冠肺炎疫情中已将此患者计入到2例境外输入病例中。3月4日0时至24时，北京市新增1例新冠肺炎确诊病例，为确诊病例的密切接触者，已送至定点医疗机构进行救治。报告新增疑似病例10例、密切接触者71人。治愈出院患者3例，分别从市区两级定点医院出院。
超级胡大果子,【#浙江2境外输入病例曾途经巴黎广州杭州#】新增2例境外输入病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班）、2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。
Chris_EIU,:英国学学隔壁意大利吧赶紧停课了
苏格兰勋位骑士团领主,五角大楼：由于冠状病毒，日本的F-35喷气式飞机组装厂的工作暂停了～～
