天厨星-林功宇,:《伊朗新增586例新冠肺炎确诊病例累计2922例》伊朗新增586例新冠肺炎确诊病例累计2922例http://t.cn/A67l8YH4
第一新闻,:【#韩国最大华人聚集城市零感染#，韩媒：还以为会是重灾区】京畿道安山市是韩国最大的外国人聚居市，约有8.7万外籍人口，其中66%是包括中国朝鲜族在内的中国人，即约5.7万人。韩媒称该市至今未发现一例新冠肺炎感染者，曾以为会是重灾区。当地中国同胞接受采访称：此前许多人都把中国人当病毒传播者，但其实这里没人感染。http://t.cn/A67lwXWv#韩国新冠肺炎确诊病例升至5621例#
登登PTE,【5国首现确诊病例！#中国境外确诊病例超过1万#】#关注全球疫情地图#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。据报道，目前，意大利新冠肺炎累计确诊病例已增至2084例；韩国增至5186例，日本增至985例，伊朗增至1501例。美国、德国、西班牙等确诊病例均过百。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#。#伊朗23名议员确诊新冠肺炎#，总统下令国家进入备战状态。http://t.cn/A67pLnMa
历史沉河,:【#浙江多名华侨从意大利回国#，工作人员登机测温，异常者周围乘客需留观】3月3日晚，由北京飞往杭州的CZ6163次航班降落在萧山国际机场，其中有6人为意大利华侨。杭州市疾控中心的人员对机上147名乘客进行体温测量。据浙江省卫健委通报，3月1日、2日，共有8例新增境外输入型确诊病例，均为意大利贝加莫省一家餐厅工作的华侨。新http://t.cn/A670phaP
人类早睡精华,:#韩国新冠肺炎确诊病例升至5621例#看电视看到的“平平无奇”工作人员
法制与生活新闻观察,:【不想上班男子P图撒谎接触新冠患者造成47名员工被居家隔离
途鹅退税Tourego,为什么有些人收到政府发布的#新冠肺炎#确诊病例信息总会晚一些些？那是因为政府正在给民众用软件翻译，完了还要校对......英文华文马来文淡米尔文个来一遍也不容易啊~#新加坡疫情##全球抗疫第一线#新加坡眼的微博视频
中医育儿郑大夫,#中国境外确诊病例超过1万#全球新冠肺炎疫情形势不容乐观！目前，虽然中国的疫情得到了有效控制并在逐渐向好，但#中国境外新冠肺炎病例过万#了，特别是韩国、日本、意大利、伊朗等国感染人数增长迅速，一些原先没有感染病例的国家也相继出现了病例。疫情的发展，已经给世界经济造成了影响，美联储降息、东京奥运会欧洲杯等一些重大国际体育赛事也或将受到牵连。病毒无国界，世界各国有必要团结协作，同心抗疫。
搞笑酱子君APPLE,:#日本累计确诊病例破千##日本累计确诊病例破千#其实，失恋、单恋、苦恋久了，也就这样了。生活渐渐地会变成“我”一个人的生活，并因为这个“我”变得精彩充实。每次自卑失落的时候，我还是会孤助无力
米兰罗西尼,:对于突然宣布推迟尤文图斯主场和AC米兰这场意大利杯半决赛次回合比赛的原因，都灵地方的行政长官克劳迪奥-帕隆巴给出了解释。周二意大利新增了248例新冠肺炎的确诊病例，总确诊病例达到了2263例，死亡人数从周一开始增加了27人，目前已经有79人死于新冠肺炎。本场尤文和米兰的比赛原本已经确定会允许除伦巴第、威内托以及艾米利亚-罗马涅三个大区以外的球迷进场，不过在开赛前24小时，在米兰全队已经抵达都灵的情况下，比赛被宣布推迟。对此都灵地方的行政长官克劳迪奥-帕隆巴在一份声明中指出，本场意大利杯半决赛已经售出了4万张球票，如此一来不仅仅是球场内，在球迷等候进场的过程中都会不可避免地造成大量的人员聚集。最重要的是，当局无法辨别这些球迷来自于何处，这会给公众的健康带来风险，因此他们最终决定推迟本场比赛。
松原发布,:【松原市新冠肺炎疫情通报（2020年3月4日公布）】#松原消息#3月3日0-24时，松原市无新增新型冠状病毒肺炎确诊病例。截至3月3日24时，松原市累计报告新型冠状病毒肺炎确诊病例2例，已全部出院。截至3月3日24时，松原市现无疑似病例。全市累计追踪密接人员655人，累计解除医学观察655人。
-Dan姑娘,:连续12天无新增！截至3月3日24时，云南累计治愈出院169例，现有确诊病例3例http://t.cn/A670llb3
魏氏思语,:《法国征用全国防护口罩，目前共报告212例确诊病例》勒梅尔还表示，新冠肺炎疫情对法国旅游业造成负面影响，自法国暴发疫情开始，酒店业营业额已经下降了20%。http://t.cn/A67lHs7L
含山经侦大队,【马鞍山昨日新增确诊病例0例新增疑似病例0例】#马鞍山战疫#
CaneSky,:#腾讯新闻#湖北有的地方已连续11天零新增，接下来该咋办？http://t.cn/A67lHmQ8PS：疑似人员清零、确诊病患清零且满足出院14天未转阳性后，开始14天统一观察后，无新增疑似、确诊病例，行政区内可解除封闭式管理。但存在跨市输入病例可能性，需要对输入人员隔离7天并在第3～5天进行血液抗体检测，阴性可考虑解除隔离。
上海闵行,:【6家商场超市现确诊病例，中国疾控中心建议：只买东西不要逛！】3月2日，中国疾控中心研究员张流波在国务院联防联控机制新闻发布会上说：“商场、超市要满足老百姓日常生活需求，在这种情况下必须开门。作为消费者，我们应该尽量少去这些地方，去了也要尽量缩短停留时间。我们到商超应该是买东西，而不是逛商店。”记者统计全国案例发现，目前中国内地和中国香港已有6个商场超市员工感染新冠案例，感染员工至少10人。#上海战疫##上海加油#http://t.cn/A67lH81F
2020大变局,:广东：韩国入境乘客需自行承担隔离费用。截至昨天下午4点，韩国境内感染新型冠状病毒确诊病例增至5186例，这是韩国出现首例感染患者43天来病例数首次突破五千。为了防止输入性病例，广东省政府决定从3月2日起针对所有从韩国抵达广州、深圳两地机场或港口的乘客，无论什么国籍，一律进行为期14天的隔离，即使检测结果呈现阴性，也必须在指定酒店隔离14天时间，而强制隔离费用由乘客自费承担。对此，韩国总领馆已经提出强烈抗议，并建议“大家尽可能不要到当地访问，如果必须前往，请务必准备好个人用品”。为这种做法点赞，这就对了，韩国人都把到中国避疫当成旅游了，入境后好吃好喝好招待，在中国白吃白喝14天，还免费检测是不是有病，临走还骂中国人，天下哪有这样的道理。
播in,:#主播说联播#【#隔离不分内外一视同仁#】这几天有些省增加了输入性病例。当下新冠肺炎疫情已蔓延到70多个国家，中国之外的确诊病例数已突破1万。韩国、意大利、伊朗等国形势尤其严峻。据我们的防控经验，加强隔离是可行的办法。隔离不分内外，也不会区别对待，更不会有例外，只有一视同仁和严格执行。http://t.cn/A67pGrZf
新浪湖南,:#湖南防控新型肺炎#截至3月4日12时，全省累计报告确诊病例1018例，出院病例927例，在院治疗87例，累计治愈出院率达91.1%，累计报告重症病例147例，现有重症病例15例，死亡病例4例。近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。全省122个县市区中有114个连续14天以上无新增确诊病例，有4个市州实现确诊患者治愈清零。#长沙[地点]#http://t.cn/A67lHtnO
小J大m,:#韩国新冠肺炎确诊病例升至5621例#希望哥哥们没事
无锡交通广播,:【#韩国近七成新冠病例属集体感染#，最大聚集性感染来自新天地会】韩国中央防疫对策本部本部长郑银敬4日在记者会上表示，境内感染新型冠状病毒确诊病例中65.6%与集体感染有关，其中最大的聚集性感染是新天地大邱教会。时差视频的微博视频
Aki求突破,:确诊病例去过的超市和楼下这家名字一样，离的又那么近，老板这几天烦死了吧哈哈哈哈哈
车圈大事件,:福特中国表示，疫情爆发初期，福特中国员工中有一例确诊病例，目前已经康复，在指定地点隔离。另外有一位来自于关联公司的确诊病例并非福特员工，目前也已经痊愈康复。福特中国：仅1名员工确诊新冠肺炎全球差旅限制体现“以人为本”
用户飞舞的黄蝴蝶,:国家卫健委通报最新疫情情况：3日新增确诊病例119例出院2652例(分享自@芒果TV)国家卫健委通报最新疫情情况：3日新增确诊病例119例出院2652例
静雅心理咨询中心,:昨天一天，意大利新增466例确诊病例，27例死亡病例，总确诊数达2502例，死亡数达79例。目前，意大利已经下令，禁止人们互相亲吻——早干嘛去了？#新型冠状病毒##2019冠状病毒病##最新疫情地图##意大利疫情#
微酸粒粒几,:湖南无新增确诊病例，在院治疗101例，累计出院913例http://t.cn/A67WumQS
成都爆料头条,:【宅家太久，颈椎难受？几个小动作让你轻松摆脱】宅家太久，长时间玩手机、看电视，缺乏运动，容易导致颈椎病发作，出现颈痛、头晕、恶心、手麻等症状。试试这几个小动作，让你不出家门、不去医院也可轻松缓解症状。#湖北连续9天治愈出院超2千##湖北新增确诊病例115例#@新华网http://t.cn/A670cjmF
天枰座Anny_,:最新消息！希腊新增一例新冠肺炎确诊病例！累计病例达8例！3月4日，希腊卫生部新确认一例新冠肺炎确诊病例，该国累计确诊病例达到8例。
陕西日报新媒体,:【欧洲疾控中心上调风险等级】据新华社北京3月3日电综合新华社驻外记者报道：2日，欧洲多国新冠肺炎病例持续增加，其中拉脱维亚首现确诊病例，意大利病例数超过两千。欧洲疾病预防与控制中心已将疫情风险等级上调为“中度到高度”。欧盟委员会主席冯德莱恩2日在布鲁塞尔举行的新闻发布会上说，新冠病毒持续在欧洲传播，欧洲疾病预防与控制中心已将疫情风险等级从“低度到中度”上调为“中度到高度”。冯德莱恩表示，欧盟当日启动一个新冠病毒应对小组，以协调各方分享信息和防控疫情。http://t.cn/A67lTtPB
长安号官微,:#西安抗疫最前线#【全国新增119例新冠肺炎，#31省区市累计报告80270例新冠肺炎#】#疫情动态播报#3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。
美东侨报,:#全国最新疫情地图#【#新冠肺炎#全国累计确诊80424例】截至3月3日20时31分，全国累计确诊病例80424例（昨日新增120），现有确诊27427例（新增-2572），疑似病例520例（新增143），现有重症6416例（新增-390），累计治愈病例50013例（新增2654），累计死亡病例2984例（新增38）。
天枰座Anny_,:最新消息！瑞典新增3例新冠肺炎确诊病例！累计33例！当地时间3月4日，瑞典电视台（SVT）报道，瑞典新增3例新冠肺炎病例，目前瑞典累计33例新冠肺炎病例。据报道，瑞典西约塔兰地区有11例病例，都是在国外感染或与国外感染者接触感染的
tea707,:3月3日广西无新增确诊病例现有确诊病例40例其中危重5例http://t.cn/A670HT38
爱信阳,:#新型冠状病毒感染肺炎#【正在直播：新型冠状病毒疫情在全球持续蔓延扩散】目前，新型冠状病毒疫情在全球持续蔓延扩散。据世卫组织3日公布的数据，中国以外累计确诊病例人数过万。请看#视点直播#从首尔、东京、德黑兰、罗马发回的报道↓新华视点的微博视频.#信阳生活#信阳
fyw1833,#两岸头条#【台湾新增150例新冠肺炎疑似病例暂无新增确诊病例】台湾地区3日新增150例新冠肺炎疑似病例，累计通报2599例，其中2237例已排除，确诊人数则维持42例。中国台湾网的微博视频
映佳,:战争、瘟疫、种族歧视、环境破坏，玩弄权术，让世界的未来越来越不确定，人类的命运永远掌握在自己的手中，就看自己怎么做。#中国境外确诊病例超过1万#
天枰座Anny_,:最新消息！苏格兰新增2例新冠肺炎确诊病例！英全境累计确诊53例！当地时间4日，苏格兰卫生部表示，苏格兰地区新增2例新冠肺炎确诊病例，该地区累计确诊3例。截至目前，英国全境累计确诊新冠肺炎病例升至53例。
伊春中院,【疫情通报】截至2020年3月4日17时，伊春市新冠肺炎无疑似病例，无确诊病例。伊春市应对新型冠状病毒感染肺炎疫情工作领导小组指挥部办公室2020年3月4日#伊春加油##最新疫情地图##全国确诊新型肺炎病例#
军旅菌,:“小土豆妈妈爱你”“为了火锅加油”援鄂军队医护人员在防护服上写下祝福令人动容，愿平安。#德国载有1200名乘客游轮检测结果出炉##新冠肺炎与季节性流感有4大不同##中国境外确诊病例超过1万##军旅菌[超话]#军旅菌的微博视频
朱长元,【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。http://t.cn/A67NxpVk
滦州股侠,#全球抗疫第一线#【#中国境外累计确诊超1.2万例#】目前，新冠肺炎疫情仍在多国持续蔓延。截至北京时间4日10：00，中国境外累计确诊病例已超1.2万例。中国境外新增新冠肺炎患者80%来自于韩国、伊朗和意大利三个国家，3个国家确诊病例已合计过万。一图了解新冠肺炎世界疫情形势↓关注！
长春校园,:【“清零”可期长春加油】#长春校园#今日又有两名患者达到《新型冠状病毒肺炎诊疗方案》规定的解除隔离和出院标准，可以出院。截至3月4日18时，长春市累计报告新冠肺炎确诊病例45例，出院43例，其余2例在定点医院治疗。“清零”可期，长春加油！最后关头，大家请一定坚持住！长春发布的微博视频
海绝一号,:#中国境外确诊病例八成来自韩意伊#其他国家再不好好控制，到时只要是境外来的都是高风险
央视网,:#伊朗单日新增确诊病例586例#【#伊朗累计确诊新冠肺炎病例2922例#】截至当地时间4日中午，据伊朗卫生部，伊朗单日新增新冠肺炎病例586例，新增死亡病例15例。目前，伊朗共确诊新冠肺炎病例2922例，其中552例康复，92例死亡。#最新疫情报道#
国家应急广播,:#全球抗疫第一线#【#马来西亚累计确诊新冠肺炎50例#】当地时间4日下午，马来西亚卫生部总监召开记者会说，马来西亚新增14例新冠肺炎确诊病例，创下单日最高确诊病例纪录。新增的第37名患者至第50名患者当中，绝大部分都和第26名确诊患者有接触。目前马来西亚累计确诊病例50例，其中治愈出院22例。@央视新闻
美丽天津,:【3月4日6时至18时天津无新增新冠肺炎确诊病例治愈出院4人】记者从市疾控中心获悉，3月4日6时至18时，本市无新增新冠肺炎确诊病例，治愈出院4人。http://t.cn/A67llgv6
长安号官微,:#西安抗疫最前线#【奥地利新冠肺炎确诊病例增至24例】#疫情动态播报#据奥地利卫生部网站消息，截至当地时间3月3日16时，奥共进行了2683次新冠病毒检测，现有确诊病例24例。同日，奥地利卫生部长安朔贝尔在奥议会健康委员会会议上表示，全球新冠肺炎疫情不断发展，消极和积极因素并存。一方面，全球确诊总人数已超90000，死亡人数超3100，韩国、伊朗疫情迅速蔓延，意大利作为欧洲疫情扩散中心，已有54例死亡病例。另一方面，受疫情影响最大的中国新增确诊病例大幅下降，3月2日仅新增125例，且主要集中在武汉地区。世卫组织代表团成员对中国卓有成效的抗疫措施印象深刻。奥地利目前约有350人接收隔离观察，确诊人数比例较低，但预计未来感染人数将继续上升。希望能在两周内研制出快速检测试剂，以大幅提高疫情防控效率。　3日，奥地利《皇冠报》报道，抗击新冠肺炎疫情迎来第一道希望曙光。中国防控疫情取得初步成功，周日以来新增确诊病例大幅下降，且主要集中在湖北省，证明中国采取的隔离等防治措施对阻止病原体传播起到重要作用。目前全球治愈人数已经超过新增感染人数，气温逐步升高有利于抑制病毒传播，都是防控疫情的有利因素。（央视）
佛释般若,:据日本共同社报道，世界卫生组织（WHO）总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。在过去24小时内的新增确诊病例中，中国约有120人，而世界各地共计约为1800人，约为中国的15倍，除中国以外，世界各地感染者增加的趋势显著。#跟新浪看热点#世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍
老挝磨丁经济特区,:目前，老挝暂无确诊新型冠状病毒感染所致肺炎确诊病例。暖春三月，老挝无疫情，磨丁经济特区即将复工起航。
晋城发布,:【最新消息！晋城城区被调整为低风险区】城区已连续14天无新增确诊病例，根据《晋城市科学防治精准施策分区分级做好新冠肺炎疫情防控工作实施方案》规定，符合低风险区标准。经市疫情防控领导小组决定，于3月4日0时起，城区由中风险区调整为低风险区！
长安号官微,:#西安抗疫最前线##战疫情西安在行动#【陕西连续13日无新增！累计218例治愈出院】@健康陕西通报：2020年3月3日8时至4日8时，陕西无新增新冠肺炎确诊病例，新增疑似病例0例。截至3月4日8时，陕西累计报告新冠肺炎确诊病例245例（218例治愈出院，1例死亡），其中输入性病例116例，密切接触者114例，无明确接触史病例15例。累计确诊病例中，西安市120例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市15例、延安市8例、榆林市3例、汉中市26例、安康市26例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例0例。全省新增密切接触者1人（外省协查），累计18937人，均集中医学观察。新增解除密切接触者79人，累计解除密切接触者18388人。
大雅堂书画院,:#21数读##湖北除武汉外治愈率为76.8%#【零新增！5城清零，1城未感染，50秒速览广东疫情是如何演变的】广东“战疫”进行时，不全胜不收兵！截至3月3日，广东再次实现全省新冠肺炎确诊病例零增长，其中清远、河源、潮州、汕尾、揭阳5个地级市先后实现病例清零，且无死亡病例>O零新增！5城清零，50秒看懂广东“战疫”进行时#世家口腔#http://t.cn/A67WRb4g
长安号官微,:#西安抗疫最前线#【奥地利新冠肺炎确诊病例增至24例】#疫情动态播报#据奥地利卫生部网站消息，截至当地时间3月3日16时，奥共进行了2683次新冠病毒检测，现有确诊病例24例。同日，奥地利卫生部长安朔贝尔在奥议会健康委员会会议上表示，全球新冠肺炎疫情不断发展，消极和积极因素并存。一方面，全球确诊总人数已超90000，死亡人数超3100，韩国、伊朗疫情迅速蔓延，意大利作为欧洲疫情扩散中心，已有54例死亡病例。另一方面，受疫情影响最大的中国新增确诊病例大幅下降，3月2日仅新增125例，且主要集中在武汉地区。世卫组织代表团成员对中国卓有成效的抗疫措施印象深刻。奥地利目前约有350人接收隔离观察，确诊人数比例较低，但预计未来感染人数将继续上升。希望能在两周内研制出快速检测试剂，以大幅提高疫情防控效率。　3日，奥地利《皇冠报》报道，抗击新冠肺炎疫情迎来第一道希望曙光。中国防控疫情取得初步成功，周日以来新增确诊病例大幅下降，且主要集中在湖北省，证明中国采取的隔离等防治措施对阻止病原体传播起到重要作用。目前全球治愈人数已经超过新增感染人数，气温逐步升高有利于抑制病毒传播，都是防控疫情的有利因素。（央视）
佛释般若,:据日本共同社报道，世界卫生组织（WHO）总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。在过去24小时内的新增确诊病例中，中国约有120人，而世界各地共计约为1800人，约为中国的15倍，除中国以外，世界各地感染者增加的趋势显著。#跟新浪看热点#世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍
老挝磨丁经济特区,:目前，老挝暂无确诊新型冠状病毒感染所致肺炎确诊病例。暖春三月，老挝无疫情，磨丁经济特区即将复工起航。
晋城发布,:【最新消息！晋城城区被调整为低风险区】城区已连续14天无新增确诊病例，根据《晋城市科学防治精准施策分区分级做好新冠肺炎疫情防控工作实施方案》规定，符合低风险区标准。经市疫情防控领导小组决定，于3月4日0时起，城区由中风险区调整为低风险区！
