永州同城,:#永州身边事#【大爱
徐付群,:【15倍！】据日本共同社报道，世界卫生组织(WHO)总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。在过去24小时内的新增确诊病例中，中国约有120人，而世界各地共计约为1800人，约为中国的15倍，除中国以外，世界各地感染者增加的趋势显著。【评】病毒不只是在考验中国，而是在考验全世界。
青岛爆料,:【世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍】据日本共同社报道，世界卫生组织(WHO)总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。在过去24小时内的新增确诊病例中，中国约有120人，而世界各地共计约为1800人，约为中国的15倍，除中国以外，世界各地感染者增加的趋势显著。《今日日本》报道称，疫情在世界的迅速蔓延与中国的乐观形势形成了鲜明对比。在中国，数千名康复病人正在回家的路上，新感染病例的数量已经降至数周以来的最低水平。#最新疫情地图##新冠肺炎##关注新型肺炎#http://t.cn/RDUBkfz
慧眼看日本,:#日本政府#日本厚生劳动省3日发表称，根据《国民生活稳定紧急措施法》，要求家庭用口罩生产销售厂家和进口商家将口罩出售给国家，政府一次性购买约400万只口罩，提供给#新型冠状病毒#感染者较多的北海道，首先提供给感染比例高的北海道中富良野町、以及可能有超级感染者的北见市，通过日本邮便寄出，最早6日可以送到，约6万4000户的所有家庭，1家40只左右口罩，2周的用量。政府购买的口罩费用从19年年度预算的预备费中支出22亿8500万日元。
京蜜,:#世卫组织：过去24小时境外新增确诊病例是中国的15倍#谭德塞称，中国以外的新增病例，八成出现在韩国、意大利、伊朗这3个国家。据日本共同社报道，世界卫生组织(WHO)总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。在过去24小时内的新增确诊病例中，中国约有120人，而世界各地共计约为1800人，约为中国的15倍，除中国以外，世界各地感染者增加的趋势显著。《今日日本》报道称，疫情在世界的迅速蔓延与中国的乐观形势形成了鲜明对比。在中国，数千名康复病人正在回家的路上，新感染病例的数量已经降至数周以来的最低水平。在记者招待会上谭德塞称，中国以外的新增病例，八成出现在韩国、意大利、伊朗这3个国家。出现确诊病例的国家和地区数量也比前一天增加了12个。死亡人数累计3110人。谭德塞说：“我们担心，由于不断增长的需求、囤积和滥用，会导致全球个人防护装备供应严重中断，各国的应对能力正在受到损害。”“如果不保护我们的卫生工作者，我们就无法阻止新冠病毒。”谭德塞指出，目前为止能够判明的事是：新型冠状病毒“并没有流行性感冒的感染效率高”。流感多为通过无症状的感染者进行扩散，但新冠病毒无症状感染者只占比1%，且这些无症状感染者多数也会在确诊2天之内出现症状。（环球时报）
成都肛肠专科医院-公立,:#新型冠状病毒#【世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍
AsahiShimbun中文网,:#中国地区##新型冠状病毒##感染者#【国内感染总数达1000人中国地区现首例感染（内附详情表）】山口县下关市政府于4日宣布，居住在市内的1名40多岁男性公司职员感染了新型冠状病毒……http://t.cn/A67WjPzQ
日本共同社,:【日本国内新冠病毒感染者达千人】有关新型冠状病毒肺炎扩大问题，日本山口县政府4日宣布感染者新增1人，包括“钻石公主”号游轮搭乘者在内国内感染者达到1000人。死者达12人。http://t.cn/A67WoL1E
中量大经管新闻中心,:#抗疫行动##新型冠状病毒##经日分享#科普知识第3⃣️弹
永州零距离,:#永州身边事#【大爱
北京怀柔卫生监督,:#公众防护篇#32.儿童就医应注意什么？答：有疫情高发区旅游史或新型冠状病毒感染者接触史的孩子，出现可疑症状要去发热门诊就医；无上述情况的，出现发热可前往儿童医院就医。
宁国传媒网,:【3月4日宁国市新型冠状病毒肺炎疫情防控情况通报】截至3月3日24时，我市共报告确诊病例2例（治愈1例），无新增疑似病例、感染者报告；发热门诊就诊累计2529人（新增26人），留观37人（新增1人），35人已出院（无新增）。确诊病例（李某某）今日治愈出院，并被移送至集中隔离点进行医学观察。截至3月3日24时，累计摸排湖北来（返）宁1238人（无新增），解除居家隔离医学观察1222人（无新增），集中隔离医学观察16人。自3月1日启动境外来返宁人员信息摸排，目前居家隔离医学观察20人，集中隔离医学观察3人。温馨提醒：复工复产后，个人防护请做到：触摸各种公用物品及污物后要洗手；公共场所、公共交通、多人办公场所务必佩戴口罩；居室、办公室经常开窗通风，保持室内空气流通；减少面对面近距离交流，彼此至少保持一米以上距离。宁国市新型冠状病毒肺炎疫情防控应急指挥部办公室2020年3月4日
慧眼看日本,:#日本疫情#随着#新型冠状病毒#感染扩大，4日京都和山口县各新增加1名感染者，为此，到4日含钻石公主号邮轮、武汉归国者在内的日本国内感染者超过1千人，死者12人。其中，从人员来看，邮轮最多，为706人，日本各地（含中国游客）感染者和检疫官共计281人。从地区来看，最严重的是北海道，超过79人，东京、神奈川、爱知也分别在30人以上，和歌山等地出现小集团感染。
常冬青整形日常,:#新型冠状病毒##科学抗击疫情#战疫科学解读：数据分析，新冠肺炎感染者是否偏爱男性？
齐齐哈尔铁路运输法院,:#法警风采#新型冠状病毒许多症状是可以处理的，因此需根据患者临床情况进行治疗。此外，对感染者的辅助护理可能非常有效。
俄罗斯卫星通讯社,:【日本冠状病毒感染者人数达1000人死亡12人】共同社报道称，日本新型冠状病毒感染者人数已达1000人，死亡12人。其中多数共706人为“钻石公主”号邮轮上的乘客和船员，14人为从中国用包机撤离团中的人员。日本47个县中27个已确认280例感染病例，59人状况严重，正进行肺人工换气或在重症监护中。几乎所有具有感染症状的人都住院治疗，迄今已康复和出院210人。http://t.cn/A67OEjRO
月隐寒霜,:#全国海关检出75例新冠病毒核酸阳性病例#隨著疫情輸入風險持續加大，全國海關對所有出入境人員嚴格實施百分之百查驗健康申報，全面開展體溫監測篩查。三月三日日，海關采樣檢測和排查轉運地方檢出核酸陽性病例五例，其中上海四例、北京一例。截至三月四日零時，全國海關共發現入境有癥狀旅客六千七百二十八人，其中疑似病例七百七十九例，檢出新型冠狀病毒核酸檢測陽性病例七十五例，所有均按聯防聯控機制工作要求妥善移交或者通報相關衛生健康部門處置。這條消息已經可以說明，入境人員當中佔有大比例是新型冠狀病毒感染者，而且在這一時期不斷入境的人，肯定是逃難，祗是不能這樣表達罷了。現在從大環境來說，中國防疫的力度最大，也最為盡責，他們來到中國，還有生存的希望，中國就是現在你們所謂的諾亞方舟，不管你們信不信。
明月我家,:日本新冠病毒感染者达千人共同社3月4日电据日本厚生劳动省等介绍，国内新型冠状病毒感染者4日达到1000人，其中包括“钻石公主”号游轮搭乘者。
弥陀极乐世界,:《女子带娃乘电梯未戴口罩与患者待1分钟就被感染》韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。http://t.cn/A67O8vxa
月隐寒霜,:#日本确诊新冠肺炎数破千#根據日本厚生勞動省今天上午的信息：日本的新冠肺炎感染者已達一千人。其中，日本國内確診二百八十例，包機從武漢接回十四例，鑽石公主號郵輪上確診七百零六例。日本確診新型冠狀病毒肺炎已經破千，日本照理說感染不會少，我之前認為是不檢測導致的問題，其實也有另外一個問題，就是對於新型冠狀病毒肺炎判斷的差異問題。也許日本對於我國感染者之感染狀態的初期並不認同，因此日本可能另據判斷，在我們感染的中期部分才算檢測範圍，不然很多事情就說不通了。
安徽城市之声,:【#新冠肺炎第七版诊疗方案#：注意粪便及尿造成气溶胶或接触传播】4日，国家卫健委发布新型冠状病毒肺炎诊疗方案（试行第七版）。传染源及途径方面，《试行第七版》指出，目前所见传染源主要是新型冠状病毒感染的患者，无症状感染者也可能成为传染源。此外，经呼吸道飞沫和密切接触传播是主要的传播途径，在相对封闭的环境中长时间暴露于高浓度气溶胶情况下存在经气溶胶传播的可能。由于在粪便及尿中可分离到新型冠状病毒，应该注意粪便及尿对环境污染造成气溶胶或接触传播。
新安晚报,:【#新冠肺炎第七版诊疗方案#：注意粪便及尿造成气溶胶或接触传播】4日，国家卫健委发布新型冠状病毒肺炎诊疗方案（试行第七版）。传染源及途径方面，《试行第七版》指出，目前所见传染源主要是新型冠状病毒感染的患者，无症状感染者也可能成为传染源。此外，经呼吸道飞沫和密切接触传播是主要的传播途径，在相对封闭的环境中长时间暴露于高浓度气溶胶情况下存在经气溶胶传播的可能。由于在粪便及尿中可分离到新型冠状病毒，应该注意粪便及尿对环境污染造成气溶胶或接触传播。http://t.cn/A67OaLKa
检察日报,:【#日本确诊新冠肺炎数破千#】根据日本厚生劳动省今天上午的信息：日本的新冠肺炎感染者已达1000人。其中，日本国内确诊280例，包机从武汉接回14例，“钻石公主号”邮轮上确诊706例。#防控新型冠状病毒肺炎#
北部湾在线,:【广西研制出新冠肺炎快速检测试纸10分钟出结果】2月12日，桂林电子科技大学成功研制出新型冠状病毒现场快速检测试纸。据了解，针对体温检测只能检测已有症状感染者，核酸检测需要相关配套设备且时间较长的问题，在广西科技厅疫情应急管理项目的支持下，桂林电子科技大学“广西八桂学者”陈真诚教授团队放弃寒假，迎难而上，勇于担当，联合桂林世康医疗科技有限公司于2月初开始夜以继日地联合攻关。经过多次试验筛选出最佳的实验配方和合理的制备工艺，并于2月12日成功研制出一款专门用于新型冠状病毒快速检测试纸，在桂林市疾控中心和南宁第四人民医院等定点医院进行了批量临床样本测试，检测时间仅需10分钟，临床测试结果与核酸检测结果匹配度达到100%，目前科研成果正在重庆大学附属医院和解放军总医院派驻武汉医疗队进行更大范围测试。http://t.cn/A67Oi8fv
吴令杰的快乐生活,:答案是ABCD都选！新型冠状病毒的传播途径有哪些？说好的只有飞沫传播呢？飞沫传播是最主要的传播途径，但不是唯一的传播途径。根据国家卫建委绘制的《新型冠状病毒传播途径与预防指南》，病毒的传播途径主要包括：直接/气溶胶传播：吸入感染者咳嗽、喷嚏说话时喷出的飞沫，或者飞沫形成的气溶胶接触传播：飞沫沉积在物品表面（如桌子或门把手），之后再触摸口、鼻或眼睛此外，接近携带病毒的动物，食用未煮熟的带病肉类，也可以传播病毒现在大家对于直接传播和气溶胶传播都有了足够的认识，但很多人对接触传播依然警惕不足。最近广州首次在门把手上检测到新型冠状病毒，提醒大家一定记得勤洗手、多消毒。皮肤接触会传播病毒吗？不会。卫健委第四版新型肺炎诊疗方案提到了病毒的「接触传播」。病毒学话题优秀回答者表示，这里的「接触」是指接触口、鼻、眼睛等处的黏膜。除非皮破了，否则单纯的皮肤接触不会感染。粪便或下水道会传播病毒吗？有可能。新型肺炎患者粪便中检测到了病毒阳性，说明存在粪口传播的风险。食品科学话题优秀回答者提醒大家，一定记得勤洗手，马桶盖关上再冲水，并定期对卫生间地漏进行补水和消毒。外卖和快递会传播病毒吗？可能性不高，但仍需要注意防护。最近深圳一名外卖骑手被确诊为新型肺炎。之前科科的回答里也建议大家，戴好口罩去取外卖和快递，并建议用75%酒精喷洒外包装消毒。对于外卖，还建议，尽量选择大品牌、现做食物、无接触外卖，用餐前认真洗手，还可以重复加热消毒。病毒可能通过母婴垂直传播吗？尚不清楚。近日，武汉儿童医院确诊两例新生儿新型肺炎病例。回答说，暂时不清楚这两例新生儿是通过什么方式感染，但是，之前也有确诊孕妇顺利产下了健康婴儿的先例。以及，从目前的情况来看，即使孕妈妈感染了病毒，孩子依然是可以要的。待在家谁也不接触，会感染病毒吗？可能性很低很低。内蒙古报道了一例病例，据说没有外出，仅仅是楼下住着名患者就被感染了，让人不禁想起了2003年香港淘大花园的集体感染事件。但实际上，淘大花园事件存在一定的巧合性，内蒙古这名患者也只是没有去外地，但在本市有频繁的活动，绝非闭门不出。根据的建议，在家的时候多通风，注意个人卫生，按照上文多消毒下水道，是不太可能感染病毒的。这么多传播方式，那怎么保护自己呢？一句话就还是：勤通风，多洗手，讲卫生，常消毒，戴口罩，不扎堆。http://t.cn/A67qcAL5
数码IT电商哥,:#日本累计确诊新冠肺炎999例#最新：日本累计确诊新冠肺炎999例最新：日本累计确诊新冠肺炎999例，死亡累计12人日本今日新增19例新冠肺炎病例，累计999例】据日本共同社刚刚消息，日本国内3日新确诊19人感染新型冠状病毒，包括游轮“钻石公主”号乘客和船员在内的感染者累计增至999人。大分县确诊首个病例。共同社称，日本各地方政府通报的新增感染人数分别为：北海道2人，东京都1人，神奈川县1人，爱知县9人，京都府1人，大阪府2人，兵库县2人，大分县1人。（环球时报）http://t.cn/A670CjqOhttp://t.cn/A670CYUT
西安生态环境,:#关注##新型冠状病毒防护知识#如果无症状感染者一直未被发现会怎样？该如何防控？视频为你解密隐形带“毒”者。#抗击肺炎疫情#生态环境部的微博视频
微博财经7X24小时,:【日本国内新冠感染者增至999人大分县确诊首例】日本国内3日新确诊19人感染新型冠状病毒，包括游轮“钻石公主”号乘客和船员在内的感染者累计增至999人。大分县确诊首个病例。微博财经7X24小时频道
中国永州新闻网,:#湖南防控新型肺炎##快告诉亲人##防控肺炎疫情我们在一起##抗击疫情保障供应##同江同湖同舟共济#【传递正能量！永州市三名新冠肺炎康复患者捐献IgG抗体血浆】“感谢医务人员的悉心照顾，希望自己能够为疫情防控出一份力。”3月3日下午，永州3名新冠肺炎治愈患者符合《新型冠状病毒感染者恢复期血浆临床治疗方案（试行第一版）》的捐献者要求，在永州市中心医院零陵院区自愿捐献自己的抗体血浆，助力其他新冠肺炎患者治疗。http://t.cn/A67OPAE3
永州发布,:#湖南防控新型肺炎##快告诉亲人##防控肺炎疫情我们在一起##抗击疫情保障供应##同江同湖同舟共济#【传递正能量！永州市三名新冠肺炎康复患者捐献IgG抗体血浆】“感谢医务人员的悉心照顾，希望自己能够为疫情防控出一份力。”3月3日下午，永州3名新冠肺炎治愈患者符合《新型冠状病毒感染者恢复期血浆临床治疗方案（试行第一版）》的捐献者要求，在永州市中心医院零陵院区自愿捐献自己的抗体血浆，助力其他新冠肺炎患者治疗。http://t.cn/A67OPAE3
微博日本,:【参加大阪LiveHouse的全员成为病毒检查对象】由于多名新型冠状病毒感染者到访位于大阪市的同一LiveHouse，大阪府知事吉村在记者会上宣布，上月15日、16日参加演唱会的所有人都将作为病毒检查对象。知事呼吁所有参加演唱会的人，与保健所的谘询中心联络。
日本昊宇,:山口县今早确诊第一例新型冠状病毒感染者，至此，日本感染者达到1000人，其中国内感染者280人、“钻石公主号”乘客与船员感染者706人、从武汉归国感染者14人。死者12人。#日本疫情#
昌邑检察,:【#韩国累计确诊新冠肺炎5186例#死亡29人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在#韩国全国进入同传染病战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。（央视新闻）（来源：检察日报）
资讯微播报,:【女子带娃乘电梯未戴口罩与患者待1分钟就被感染】日前，韩国一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时这名41岁的妇女带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。她所工作的城东区区政府随即关闭，同楼层的职员也须自行隔离。http://t.cn/A67N4YGf
网络热新闻,:【女子带娃乘电梯未戴口罩与患者待1分钟就被感染】日前，韩国一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时这名41岁的妇女带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。她所工作的城东区区政府随即关闭，同楼层的职员也须自行隔离。http://t.cn/A67N4YGf
新闻早发声,:【女子带娃乘电梯未戴口罩与患者待1分钟就被感染】日前，韩国一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时这名41岁的妇女带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。她所工作的城东区区政府随即关闭，同楼层的职员也须自行隔离。http://t.cn/A67N4YGf
nkrr2000不能激活号,【#韩国政府发售588万个口罩#：民众扎堆抢购现场人山人海为缓解口罩供应紧张难题，3月2日，韩国政府在邮局等官方定点销售处发售了588万个口罩。当天，韩国各地销售处都排起了长龙。韩国《中央日报》感慨，这人山人海的场面，堪比中秋节抢票。#韩国全国进入了同传染病的战争阶段##文在寅为口罩供应不足道歉##风视频#http://t.cn/A67NgsMHhttp://t.cn/A67NeZOU
连淮徐盐,:韩国累计确诊新冠肺炎5186例。据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡31人。文在寅表示，现在韩国全国进入了同传染病的战争阶段，所有政府机构要启动24小时应急机制共同应对疫情。为缓解口罩供应紧张难题，3月2日，韩国政府在邮局等官方定点销售处发售了588万个口罩。当天，韩国各地销售处都排起了长龙。韩国《中央日报》感慨，这人山人海的场面，堪比中秋节抢票。
净壹1970,:#净壹[超话]#快讯！日本今日新增19例新冠肺炎病例，累计999例环球网【环球网快讯】据日本共同社刚刚消息，日本国内3日新确诊19人感染新型冠状病毒，包括游轮“钻石公主”号乘客和船员在内的感染者累计增至999人。大分县确诊首个病例。共同社称，日本各地方政府通报的新增感染人数分别为：北海道2人，东京都1人，神奈川县1人，爱知县9人，京都府1人，大阪府2人，兵库县2人，大分县1人。#快讯##早安#
大连54青年,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。http://t.cn/A67NxpVkhttp://t.cn/A67NxpVk
炒股娶她,:央视新闻报道，当地时间3日晚（北京时间4日凌晨），爱尔兰卫生部在举行的新闻发布会上公布，爱尔兰确诊第2例感染新型冠状病毒感染者。该患者是一名女性、来自爱尔兰东部，近期从意大利北部疫区返回。爱尔兰卫生部门说，到目前为止已经为397人进行过新冠病毒检测，只发现2例确诊感染者。
遂川政法,:#天下万象#【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。http://t.cn/A67NxpVkhttp://t.cn/A67NxpVk
华盛7x24,:【爱尔兰确诊第2例新冠病毒感染者】当地时间3日晚（北京时间4日凌晨），爱尔兰卫生部在举行的新闻发布会上公布，爱尔兰确诊第2例感染新型冠状病毒感染者。该患者是一名女性、来自爱尔兰东部，近期从意大利北部疫区返回。爱尔兰卫生部门说，到目前为止已经为397人进行过新冠病毒检测，只发现2例确诊感染者。（央视新闻）
快兰斯24小时财经直播,:实时播报：【爱尔兰确诊第2例新冠病毒感染者】当地时间3日晚（北京时间4日凌晨），爱尔兰卫生部在举行的新闻发布会上公布，爱尔兰确诊第2例感染新型冠状病毒感染者。该患者是一名女性、来自爱尔兰东部，近期从意大利北部疫区返回。爱尔兰卫生部门说，到目前为止已经为397人进行过新冠病毒检测，只发现2例确诊感染者。（央视新闻）
空空空3空空,:【#爱尔兰出现首例新冠病毒感染者#】#周刊君与你共同战疫#当地时间2月29日晚，爱尔兰卫生部发表声明宣布，爱尔兰确诊首例新型冠状病毒感染者。患者是一名男性，来自爱尔兰东部地区，曾经去过发生疫情的意大利北部地区，目前患者已经开始接受适当治疗。?
我是摄影人邦坚妮,:【#爱尔兰出现首例新冠病毒感染者#】#周刊君与你共同战疫#当地时间2月29日晚，爱尔兰卫生部发表声明宣布，爱尔兰确诊首例新型冠状病毒感染者。患者是一名男性，来自爱尔兰东部地区，曾经去过发生疫情的意大利北部地区，目前患者已经开始接受适当治疗。?
健康使者李宇森,:当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。2日16时至3日16时，共报新增确诊851人。另据消息，3日下午韩国大邱再报两例死亡病例，韩国累计死亡达31人。今天，全球除中国外，新冠肺炎确诊病例超过10000人。泰州
紫扬剑的微博,:【埃塞俄比亚爆发神秘"X疾病"感染者口鼻流血高烧而死】当全球其他地方正努力抗击新型冠状病毒时，一种可怕的神秘疾病却在埃塞俄比亚和索马里爆发。据英国《每日邮报》3月1日报道，近期，在埃塞俄比亚和索马里一些村庄，一种神秘的疾病夺去了当地人的生命。由于病原体未知，这种疾病被世界卫生组织（WHO）称为“X疾病”。据报道，“X疾病”是一种“神秘而恐怖”的传染病，会导致严重的病毒性出血热疫情，被感染者出现眼睛、嘴巴和肛门流血，最后死亡。在东非，这种疾病被非正式地称为“眼睛出血热”，它的死亡率比鼠疫更高。自2014年以来，已有至少2000人死于这种神秘的“X疾病”。http://t.cn/A67ppDuK
風清揚观市,:#新冠肺炎最新动态#【日本国内新冠感染者增至999人大分县确诊首例】日本国内3日新确诊19人感染新型冠状病毒，包括游轮“钻石公主”号乘客和船员在内的感染者累计增至999人。大分县确诊首个病例。
微博财经7X24小时,:【日本国内新冠感染者增至999人大分县确诊首例】日本国内3日新确诊19人感染新型冠状病毒，包括游轮“钻石公主”号乘客和船员在内的感染者累计增至999人。大分县确诊首个病例。微博财经7X24小时频道
浅末风尘,:#日本累计确诊999例新冠肺炎#据日本共同社刚刚消息，日本国内3日新确诊#新型冠状病毒#感染的肺炎病例19例，包括游轮“钻石公主”号乘客和船员在内的感染者累计增至999人，大分县确诊首个病例。共同社称，日本各地方政府通报的新增感染人数分别为：北海道2人，东京都1人，神奈川县1人，爱知县9人，京都府1人，大阪府2人，兵库县2人，大分县1人。#日本疫情##新冠肺炎已开始在日本流行##全球疫情##共同战疫#
兜兜6789,#财经每日必读[超话]#周一强势股接力赚钱效应70%预设周二持平或者向上👆，早盘重点观察成交量能否有效放大，明日重点观察新能源汽车/特斯拉/光伏、大金融（券商+金融科技）、华为科技（5G+半导体芯片+物联网）板块持续性；观察第一小时成交量能否达到1400亿、道恩股份/克劳斯、宏润建设、斯莱克、汉钟精机等作为板块情绪标杆观察即可，科创板重点观察有华润微、安博通、交控科技、优刻得等回踩后企稳的操机会；预设科技股和新能源可以反复做，主板短期震荡会加大、但预设周二强势股会分化、皮皮计划做1进2涨停板（****注意选择集合竞价高开带量（高于五日均量15%以上）重点操作，另关注再升、尚荣、模塑、旭升、气模转2、泰晶、晶瑞等转债套利机会、风险偏好低的同学请忽略；另外手中的持仓可以做T操作。点赞今日大赚、转发帐户长红
