V1v1an-GAO,:同款你get了吗
四季甜度日记,#全民洗手舞#跟着@Dzr_丁泽仁小哥哥来跳洗手舞啦~
萍乡市共青团,:【振奋！萍乡：“清零”！33例确诊病例已全部治愈出院】好消息！截至3月4日，萍乡确诊病例33例已全部治愈出院。这是一个令人振奋的消息但并不意味着疫情结束清零≠结束提醒大家千万不可放松警惕坚持勤洗手、戴口罩不聚集、不聚会非必要、不外出
果云46,:在这次疫情中，看到了许多有内涵的东西。看到了我们国家的富强，有效率，以及全国人民团结一心，共同克服困难的决心，就像以前的地震，许多人从四面八方来支援，爱国不仅仅是口头上的，更是体现在具体行动中，武汉加油，中国加油。我们作为普通百姓，能做的就是服从安排，尽量呆在家里，勤洗手，出门戴口罩，做些有意义的事情，为武汉加油，相信我们能一起度过难关，迎来美好的明天。@西南医科大学医学影像系团总支@共青团西南医科大学委员会微博
健康八桂,:疫期复工个人防护怎么做？南宁疾控的科普动画告诉您，为了自己和他人健康，请务必继续保持高度警惕和自我管理意识，主动配合扫码，配合体温测量；出门戴口罩，不聚集、不聚聊、不聚餐，勤洗手、勤通风、讲卫生。健康八桂的微博视频
小梅花情怀,:#日本将新冠肺炎检测纳入医保#个人觉得日本这样子做非常人性化，既解决了困难家庭及时检测确诊问题，又避免了有病不医到处传播问题。当然，日本的抗疫之路还漫长，可以借鉴中国成功防疫经验:不出门戴口罩勤洗手
李晗-攻城狮,:不聚会，少出门，勤洗手，戴口罩！我正在使用“戴口罩”#微博头像挂件#，共同抗疫从戴好口罩开始，你也快带上吧！头像挂件：戴口罩
爱自游小玉,:心中有太阳🌞无论走到哪都会很温暖😊现在疫情当前大家千万不要松懈下来🙏照顾卫生和小心提防真的很重要‼️勤洗手、适度消毒等真的很重要啊‼️很重要‼️希望疫情可以快快过去，一切都会好起来的。疫情散去后，你第一件最想做的是什么🤔？#疫情过后的第一件事#疫情过后你最想干嘛#疫情过后最想见的人是谁#疫情过后一切会更好#everythingwillgetbettersoon#positivevibes#xy#xiaoyu#fighting#staystrong#preventionisbetterthancure#中国加油##武汉加油##全世界加油#
·江上鹤纷飞·,:#北京新增1例新冠肺炎#1例了但是还是不能放松警惕做好防护#四川新增确诊病例1例#一定会过去的[加油][加油]戴口罩勤洗手
小困收藏夹·,:#四川新增确诊病例1例#一定会过去的，勤洗手一定要戴口罩！！希望不要再有新增的了
------不渝,:我最近逮到一个美国人就问，你怎么看冠状病毒，你觉得严不严重。三个反应:1.完全不在意，这个病毒不可怕，每几年都有病毒，每年都克服了。2.认为病毒有一定攻击性，但是觉得自己很健康，身强力壮，因此不担心。3.认可病毒的危害性，做到勤洗手，但不改变生活方式。针对不出门的方案，认为会降低生活质量。大部分人都觉得冠状病毒和流感差不多，因此不用担心。我们国人看到美国流感的报道都很担心问我在美国还好不好，因为流感很多人致死，但美国人并不觉得流感多严重。我就很奇怪，为什么每天讨论“公正和人权”，生死和“社会公正”无关吗？每个人去社会做志愿服务，但是大家对基本生命健康熟视无睹。觉得不会发生在自己身上，但肆虐在世界范围的病毒不是对人类共同的挑战吗？希望得到讨论。http://t.cn/Rqz8QaO
大道有形,:德国刚刚宣布今天新增确诊104！首次超百！新增确诊数超百是个重要里程碑，过了这个门槛，最终规模很可能会破万：中国1月21日新增确诊数超百，花了15天见顶，规模超八万；韩国2月20日新增确诊数超百，花了9天见顶，预估规模超万；意大利2月25日新增确诊数超百，至今9天未明显见顶；伊朗2月27日新增确诊数超百，至今7天未明显见顶；德国3月4日新增数超百，…………..在检测能力基本可信的情况下，新增确诊数超百的日期，再结合新增确诊数拐点的日期，可粗略预估未来疫情规模。疫情发展的模式和轨迹：1，新增确诊数破百，会导致宿主大规模恐慌。2，宿主大规模恐慌，会快速大幅地改变宿主行为（戴口罩，勤洗手，少聚集，老外加一条少亲吻）。3，宿主行为的改变会降低R0。4，R0降低的时间和速度决定最终疫情规模。
闽清气象,:闽清县气象局温馨提示：勤洗手，注意保持室内空气流通，避免到封闭、空气不流通的公众场合和人多拥挤的地方，必须前往时可佩带口罩。增强卫生健康知识，加强锻炼，规律作息，提高自身免疫力。3月5日11时35分发布
奶昏包,#吴世勋[超话]#ins更新不要生病这条一定要截一下嗯
bridgeman艺术品版权管理,:抗疫情，勤洗手，正确的洗手姿势应该是这样的bridgeman艺术品版权管理的微博视频
广州南沙发布,:【钟南山的这条呼吁，是时候认真对待了！你家有做到吗？】新冠肺炎疫情暴发以来，戴口罩、勤洗手、少外出成为了全国人民的共识。然而，围桌共食、不用公筷的就餐方式也在危及人民的健康，给病毒传播提供了便捷的途径。钟南山的这条呼吁，是时候认真对待了！你家有做到吗？
说好陪你走完娱乐圈,:#又一艘公主号邮轮发生疫情#疫情期间少出门勤洗手多消毒少去人群密集的地方#韩国新冠肺炎升至5766人#韩国作为发达国家政府应该大力重视新冠状病毒的传播而不是一昧的去驱赶中国人
下午也有事,:#姚明明FILA潮流运动大使#🐱#姚明明SOARING#in苏州勤通风，勤洗手，勤健身，吃熟食，一起加油，抗击疫情，众志成城！全国人民同心协力，让力量汇聚成希望，驱散疫情，照亮未来！武汉加油！中国加油！
新浪资讯台,:【不握手不拥抱！#OPEC代表不握手改碰脚问候#3月5日至6日，奥地利维也纳将举行石油输出国组织（OPEC）大会。由于新冠疫情的蔓延，这次大会要求官员、代表之间不握手不拥抱，并且勤洗手。在这种情况下，OPEC秘书长穆罕默德·巴金多像玩游戏一般与代表碰完右脚，再碰左脚。身后的俄罗斯能源部长亚历山大·诺瓦克见状也上前“凑热闹”，还与巴金多长时间“碰脚（握手）”，并合影留念。http://t.cn/A67TR4xL
昼夜颠倒的Fentick,美国德州的预防新冠病毒宣传：好好洗手，就像你刚切完配玉米片吃的墨西哥辣椒，接下来要摘隐形眼镜那样好好洗。(差不多得搓20秒吧，老铁们)
moimoln你好云朵,:加油武汉❤️加油中国
橙啦翻硕教育官微,:#翻译硕士##橙啦翻硕#【约翰逊演讲：英国抗疫作战计划公布】随着英国确诊病例不断飙升，首相鲍里斯·约翰逊昨日公布应对新冠病毒的作战行动计划，并现场发表演说：疫情极有可能在英国大面积爆发！最后一再反复强调——勤洗手，还亲自传授抗疫小贴士：热水洗手的时候，要唱两遍生日快乐歌！viahttp://t.cn/A67lN7sY
雅思哥,:【约翰逊演讲：英国抗疫作战计划公布】随着英国确诊病例不断飙升，首相鲍里斯·约翰逊昨日公布应对新冠病毒的作战行动计划，并现场发表演说：疫情极有可能在英国大面积爆发！最后一再反复强调——一定要勤洗手！cr：英国普罗派乐卫视英国普罗派乐卫视的微博视频
航宝_Hang,:——“都要健康照顾好自己不要生病要每天勤洗手”缪缪也要staysafe期待不一样的缪缪回归🥰航宝_Hang的微博视频
医美咨询梧桐,:#梧桐读书##梧桐美肤课#通常感冒的时候，都认为是风寒引起的，实际上，感冒是由病毒引起的，而且，如果保持一定的温度，与病毒少接触甚至隔绝，感冒的几率就会下降，总结一下就是：注意保暖，勤洗手，戴口罩。当然，还要增强免疫力。科学懂不懂的微博视频
田心王大可_,来跟着拉面同学一起洗手🧼洗手要唱两遍生日快乐歌哦
清远供电,:#直击一线#【“疫”路有你，志愿前行】3月5日上午，南方电网广东清远清城供电局团青志愿者来到源潭镇连塘村2户五保户家中，帮忙行动不便的老人进行家居消毒，把口罩、免洗消毒液送到他们手里，用图片向老人讲述防控病毒的健康教育知识和正确的佩戴口罩方法，叮嘱老人出外一定要佩戴口罩，勤洗手。除此之外，还检查了老人家中用电设备，宣讲安全用电知识，为老人们送上暖心服务。@广东电网@南网50Hz
不会游泳的小歪,:主管来提示我们注意勤洗手等，我们才意识到我们现在是最危险的存在……
西安-印象城,:#龙首印象城##惊蛰#斗指丁雷鸣动宜保阴潜阳补益正气增强免疫特别提示：戴口罩勤洗手常消毒勿聚集
思妍丽,:#勤洗手出门口罩带着走#频繁洗手清洁，手部又干又发红？快来get思妍丽香薰手部滋润护理
腊八的八,:#雷神山院长称疫情拐点已经来到##疫情的拐点已经来到#疫情不是很严重，戴口罩，勤洗手，尽量宅家少出门。疫情的拐点已经来到，你那里的疫情怎么样了？有明显好转吗？
桂林理工大学博文管理学院,:防控疫情，人人有责，少出门，出门戴口罩，多居家，勤洗手，照顾好自己，疫情过后，我们平安博文见
安阳同城,:#抗击肺炎，安阳在行动#【安阳】复工复产，防疫不能松劲。戴口罩、勤洗手，少聚会、多通风，有情况、勤报告，有症状、速就医。坚持防护，不要让无数人的努力功亏一篑！安阳市新型冠状病毒感染的肺炎疫情防控指挥部安阳
海上来医,:最近各行各业已开始有序返工复产，但保持警惕仍是核心关键词。希望在我们的一起努力下，疫情能早日结束、生活能恢复如常。每时每刻都要不断提醒自己，用下面四项简单行动，保护好自己，保护好他人：社交场合保持距离、勤洗手、注意呼吸道礼仪和正确使用口罩，不论是在日常生活中，还是在回归工作后，都需时刻谨记，谨记，再谨记。http://t.cn/A6hsGdwL
蚌埠日报,:
spider右边看北,:#灿勋[超话]#3月5号的两位身体力行的向我们展示了勤洗手及带口罩。不负责瞎想，osh这么晚还在外面是去你哥工作室等他下班一起回家吗（and马强的背好厚，一对比显得两位帅哥更消瘦了
投资潮网站微博,:【#奥巴马谈新冠肺炎预防#：不用戴口罩，不要惊慌】#奥巴马称新冠肺炎预防不用戴口罩#美国前总统奥巴马日前发出呼吁，对新冠肺炎病毒采取“基本预防措施”：遵守勤洗手指南，但不用戴口罩。法新社5日报道称，奥巴马4日在推特上写道：“请把口罩留给医护人员。让我们保持冷静，倾听专家的意见，关注科学防护。”奥巴马表示，人们应该随时关注美国疾控中心的最新信息。如果感觉自己生病了，就应该呆在家里。世界卫生组织表示，医疗工作者使用的口罩、护目镜和其他防护设备供应不足，原因在于“需求增加、囤积和误用”。据美国有线新闻网最新消息，美国新冠肺炎确诊病例已达158例。确诊病例包括境外输入型病例49例，而在美国本土病例达到109例。华盛顿州、佛罗里达州、加利福尼亚州已宣布进入紧急状态。（海外网）
芹菜_xiu儿,:午安！疫情期间上午都在家睡不醒！下午去公司透气！好多都上班了！出门戴口罩😷！勤洗手！离人一米远！注意安全！保护好自己！珠海
吴小莉Sally,:#每日正能量#本周五问答，袁国勇教授将以科学家医生的角度为我们分析目前全球的疫情和我们该如何自处？袁国勇教授的一些提醒，很实用和大家分享：戴口罩勤洗手，保持社交距离，热水和一般的肥皂就能够破坏病毒的保护膜，让它不再具有传染力，他判断新冠不会像非典一样消失，而会在温度到达25~30度的时候，它的毒性减弱，人的抵抗力上来而不发病，但是今年的冬天它会再卷土重来，所以疫苗要跟时间赛跑，不过就算在年底，估计大批量的产生疫苗也很难，所以不论是现在或者是今年的冬天，最好的方式就是做好自己的个人卫生和隔离，期待炎炎夏日大家满血复活。😇🙏@凤凰卫视@凤凰秀官博@凤凰网视频http://t.cn/A67TjXUvhttp://t.cn/RJycfbu
叫我波特然,:#四川新增确诊病例1例#传染源呢？匪夷所思难道是有无症状感染者还未被发现？在成都还是在昭觉县？少出门，戴口罩，勤洗手
乌拉乌拉变丞丞,:#韩国新冠肺炎升至5766人#扩散力速度非常之快！请尽快重视起来！勤洗手戴口罩
EvaFederer,疑似是今天的合影😍🤔🇨🇭#费德勒[超话]##ins合影#📸http://t.cn/A67Yhu4ohttp://t.cn/A67Yhu4S
清水的香甜味道,:#战疫打卡行动#我已打卡4天，面对疫情我承诺：讲卫生，勤洗手。每天打卡—>#战疫打卡行动#，表达战疫态度，让每个小坚持都有大意义！活动期间，新浪每天向疫区捐助1辆负压救护车。有你我的坚持，武汉不孤单！
LiLi种草日记,:【两面针酒精免洗手液，大牌活动4瓶14.8！】现货秒发！特殊时期~大伙记得勤洗手，勤消毒！有效消毒杀菌~茉莉清香，免水洗速干~出门更方便使用！速抢~！【赠运费险】
木子MUZI·,:#肖战壁纸[超话]##肖战#🐰#肖烟四起为战而来#保护好自己，出行要记得戴口罩，勤洗手2020年一切都顺顺利利，平平安安天空越黑，星星才越闪耀七年满级之约，共2555天今天第一百零九天倒计时2446天@X玖少年团肖战DAYTOY图片来源见图，侵权勿删
BIGBANG啊_,【联合新闻】[胜利将于9日入伍]5日，据多家媒体报道，胜利将于9日进入江原铁原郡陆军6师团新兵教育队。他将在接受约5周的基础军事训练，分配到部队后作为现役军人服役。
白白株式会社yakumo,:#上新#是否这段时间和看板娘一样，因为太过勤洗手导致手都被水洗得发干啦
天津恒隆广场,:#天津恒隆广场#复工小贴士第二趴！办公室八小时，如何做到“不聚集”！室内也要佩戴口罩，每天至少通风3次，每次20-30分钟，不要使用中央空调；工作中和同事保持1米以上距离，勤洗手，减少集中开会，控制会议时长。距离会远，安全更近！
琪草芬芳,:无题by蓝琪2020.03.05少吃肉肉多吃菜，杜绝奶茶和咖灰。慢跑抖腰普拉提，掉二两后胖三斤。尝道本是易胖体，奈何每天刷dou音。凉皮蛋糕火鸡面，炖锅烤翅手抓饼。疫情面前少出门，上班都是好同志。勤洗手来多消毒，不给国家添担忧。全民健身变大厨，家庭关系上层楼。进出打卡测体温，网购网课有制度。药店口罩消毒水，排队相距百公分。水果蔬菜不涨价，超市处处现明文。身体不适频报备，邻居个个赛亲人。快递送餐零接触，老师大夫网红真。社区街道与医护，党员80、90后。耄耋院士钟南山，救国危难第一人。社会稳定不慌乱，赞我中华真强大。待到春来疫情过，朋友亲属话情深。
A_Pugss_,:#加州宣布进入紧急状态#加州已确诊53例新冠肺炎，宣布进入紧急状态。加州出现了第一例死亡病例。德国称新冠疫情为流行病。一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#四川新增确诊病例1例#大家再坚持一下一定会过去的，希望疫情快点结束大家还是不能放松警惕啊做好防护措施
花都天气,:【花都预警发布中心】温馨提醒：请大家保持健康作息、健康饮食，勤运动、勤开窗、勤洗手、勤消毒，减少到空气不流通或人流密集场合活动，不吃野生动物，积极预防疾病。花都预警发布中心3月5日11时发布http://t.cn/EbghzHg
Quatre_Reines,【联合新闻】[胜利将于9日入伍]5日，据多家媒体报道，胜利将于9日进入江原铁原郡陆军6师团新兵教育队。他将在接受约5周的基础军事训练，分配到部队后作为现役军人服役。
好汉199311,:#技术报国#响应号召勤洗手不出门
南京绿石,#这道彩虹真赞#【#26省区市无新增病例#来之不易，更要坚持！】防控这根弦一定要绷紧！戴好口罩不聚集，转起，加油！
蒲兴旺医生,:#四川新增确诊病例1例#防疫形势依然严峻，切不可掉以轻心，做好防疫工作至关重要！勤洗手，多开窗，少出门，戴口罩，防新冠，勿轻视！#全国首个口罩自助售卖机#
表叫我再睡五分钟,专家实验：空气不是病毒传播的主要途径，接触才可怕。大漠鱼的微博视频
张祺悦,:【#奥巴马谈新冠肺炎预防#：不用戴口罩，不要惊慌
飞哥传奇1982,:再次呼吁：勤洗手，别聚餐！别给我们医务人员添麻烦！许昌·长葛市人民医院飞哥传奇1982的微博视频
被驯服的小猪佩奇,:#惊蛰#惊蛰到啦，乍暖还寒的时候，记得做好保暖工作
宜昌消防,:#战疫打卡行动#小伙伴们都返工了吗？记得在工作场所一定要做好防护，不要让病毒有可乘之机。如果要咳嗽或者打喷嚏，一定要用纸巾或者弯曲的手肘捂住口鼻，一起跟@沈腾学↓↓另外，勤洗手，工作场所避免身体接触、与人保持1米以上的距离。
55周晓照,:备足物质，禁足防疫，戴二个大口罩，勤洗手，勤消毒，勤开窗，多喝水，多运动，加强营养，好好休息，宅家无恙据刚刚得到消息，欧洲人没有防疫抗疫意识，公共场所完全不戴口罩，人传人非常严重，意大利感染严重人群接踵而至跑往英国，结果昨天造成英国感染人数直线上升。由于英国医疗资源太缺乏，退休医生恐怕都要重返医院，但仍无济于事。据官方消息，面对突如其来的瘟疫，英国唯一的办法就是多造太平间，太恐怖了！http://t.cn/R2WxQOQ
北京牙医谭晖-美学正畸,:#唇齿相依·共度齿刻#预防病毒，勤洗手是关键，你会洗手吗？以下几个“勤洗手”误区，你中了几招？原来“洗手”也有大讲究，快来get一下[机智]
我小时候很高的,:#李糕糕的日常#华图教育绝了。一开始以为是快递接了电话：“机构这边注意到您最近有关注编制方面的内容请问您是否需要备考呢”“没有也没有关系如果您有这方面的打算也可以拨打电话联系华图，有非常多的资料”“这段时间要记得勤洗手戴口罩少出门注意安全。”挂了！挂了！让我说句话好吗？成功引起我的注意。http://t.cn/RJyEU4Q
渣蜀黍的日常,:哈哈哈哈已经快一个月没洗脚了只通知了勤洗手啥时候洗脚也没通知#崔英俊恶心#
博某人的微博,:周末还在笑话抢手纸的，今儿发现家里就剩一卷纸了，这打脸太快了，所以加拿大卫生部长还提倡勤洗手是吧
寒山寺香客,:#日本网民疯抢花岗岩#哎，现实版的《疯狂石头》，抄袭我们中国的作业不好吗？却去疯抢石头，去镇魔？不如囤积些中药调理吧或者出行少些，勤洗手，戴口罩，少聚餐，少聚群……。
懿和丰德-晏国富,:#四川新增确诊病例1例#虽然疫情已逐步稳定，但防疫工作仍不可忽视，少出门，戴口罩，勤洗手，多通风，不扎堆！为抗疫做出力所能及的贡献！#全国首个口罩自助售卖机#
毛毛球制造厂,:#北京新增1例新冠肺炎#害一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据
肖战请我吃奶糖,#北京新增1例新冠肺炎#1例了但是还是不能放松警惕做好防护#四川新增确诊病例1例#一定会过去的[加油][加油]戴口罩勤洗手
快乐肥宅庆先森,讲真世界三大宗教里基督教的人有原罪论和佛教的无欲望则不痛苦论咱现在是越来越赞同了至于剩下的那个，相信它既然发展到这么大可能从现在来看落后于生产力发展，但是在当年必然也有它局部的先进认知，感觉可以了解下而不是一味随大流抵制嘲讽。
解忧阅读馆,为了与蝗虫斗争，我们的先人豁出一切。我们不求叭蜡发善心，不求刘猛显神威，要保护老百姓的庄稼地，全靠我们自己。——莫言《长安大道上的骑驴美人》
微游仙,:#今日惊蛰#今起，游仙片区#公交#线路逐步恢复正常发车啦，仙友们又可以正常坐公交咯！#温馨提醒##疫情#还未结束，大家一定要记得出门戴好口罩，回家勤洗手哟~
每天都很可爱呢,#加州宣布进入紧急状态#【戴口罩，勤洗手，科学防护】特朗普的保守主义，都是活生生的例子。照妖镜325的微博视频
中新经纬,:【奥巴马谈新冠肺炎预防：不用戴口罩，不要惊慌
是你幂的皮卡,#北京新增1例新冠肺炎#害一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据
是你幂的皮卡,#香港狗#不要抛弃它们不要抛弃它们
梦三国OL,:今天终于见到阳光啦~开森森~大家要继续保持良好作息，勤洗手，保持室内通风，出门采购/上班不忘戴口罩哦！
是你幂的皮卡,:#北京新增1例新冠肺炎#害一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据
高明天气,:【午间预报】预计今天中午到傍晚：阴天间多云，气温16到19度，相对湿度70%到95%，偏北风2级。防疫关键期请注意做好健康防护，少出门，不聚会，勤洗手，戴口罩。高明区气象台2020年3月5日10时35分发布http://t.cn/RPZDIRa
Magic_高七七,:#北京新增1例新冠肺炎#害，一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#加州已确诊53例新冠肺炎，宣布进入紧急状态。加州出现了第一例死亡病例。德国称新冠疫情为流行病。
魏RW,#北京新增1例新冠肺炎#害一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据
打上花火petard,:#北京新增1例新冠肺炎#要密切跟踪啊，防护措施还是不可少的，口罩带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据
李物gg,:每天出门前兄弟俩都会提醒我说记得带好口罩，勤洗手吖
·时山远雾·,#北京新增1例新冠肺炎#要密切跟踪啊，防护措施还是不可少的，口罩带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据
读物故事会,为了与蝗虫斗争，我们的先人豁出一切。我们不求叭蜡发善心，不求刘猛显神威，要保护老百姓的庄稼地，全靠我们自己。——莫言《长安大道上的骑驴美人》
王一博的宝贝奶膘,:#北京新增1例新冠肺炎#要密切跟踪啊，防护措施还是不可少的，口罩带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据
1CM领誉-二拾,:#北京新增1例新冠肺炎#害一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据...
冬日恋丞指南,:#北京新增1例新冠肺炎#一定要密切跟踪啊，全部排查。防护措施还是必须戴口罩，勤洗手多通风，希望疫情快点结束吧！#四川新增确诊病例1例#四川由0变成1希望大家不要乱跑坚持一下做好防护！让疫情早点过去！
聪明婷bb,:#北京新增1例新冠肺炎#害一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据
85MotorcycleBoy,:#北京新增1例新冠肺炎#害一定要密切跟踪啊，然后防护措施还是不可以少的，口罩要带好，勤洗手多通风，希望疫情快点结束吧！#加州宣布进入紧急状态#都进去紧急状态了还不公开具体数据...
微游仙,:#今日惊蛰#今起，游仙片区#公交#线路逐步恢复正常发车啦，仙友们又可以正常坐公交咯！#温馨提醒##疫情#还未结束，大家一定要记得出门戴好口罩，回家勤洗手哟~
四川大学华西医院上锦医院,#健康发布#【华西医院严密防守，外地患儿的陪护被查出确诊新冠，密切接触者全部隔离】华西医院自新冠肺炎疫情以来，严密防守新冠肺炎交叉感染，对住院患者的陪护每日进行筛查。3月4日，住院患儿（1岁）的陪护（母亲）在住院第三天时，因出现发热，华西医院迅速将其隔离检查，陪护（母亲）被确诊为新冠肺炎病例。患者，女，30岁，凉山彝族自治州昭觉县人。因女儿生病，患者与丈夫自驾车于2月29日夜抵达华西医院就诊，3月1日女儿住院治疗，患者1人陪护。3月3日，医院对陪护人员常规检查中发现患者体温高达38度（3月1、2日体温检测均正常），立即进行相关检查，最终确诊为新冠肺炎病例并隔离治疗。同时，医院迅速排查密切接触者并全部隔离。目前，患者丈夫和女儿核酸检测阴性。成都市疾控机构迅速开展患者的流行病学调查，密切接触者已追踪到位，并隔离医学观察。华西医院严格做好消毒、医疗废弃物处置等工作。同时，凉山州也立即追踪管理密切接触者，落实隔离措施。有关方面将及时通报进一步的消息。温馨提示大家：疫情形势依然严峻，千万不可掉以轻心。
