闻且如是_,#HereatAWS#
武汉交通广播,:#武汉能行#【公益联盟快讯】（通讯员：朱艳萍、刘玉、周鑫）武汉抗疫公益志愿者联盟宣传负责人朱艳萍从2月23日经视直播注意到，二周前，武汉市武昌区盛世徐东小区居民自发组成十余人的志愿者团队，在小区大门口接收居民们团购的各类生活物资，按团购清单逐一分好并送上楼。虽然志愿者们比较辛苦，但减少了居民下楼集中取货的聚集，居民们表示居住在盛世徐东小区安全、放心。让居民安心宅在家，这些志愿者从身边小事做起，服务居民，值得肯定。在与盛世徐东小区志愿者负责人周鑫联系确认后，武汉抗疫公益志愿者联盟决定捐赠一批口罩、防护服等物资，助力盛世徐东小区的志愿者。25日下午，相关物资已经送到小区志愿者手中。据了解，2月23日，武汉市疫情防控指挥部发出通告，在全市范围内专项招募志愿者，主要在小区内为居民提供食品药品代购代送等服务。武汉抗疫公益志愿者联盟总协调人邓明锋表示:伟大出自平凡，帮居民解决后顾之忧，在第一时间把物资送到居民手中是非常有意义的事情，希望有更多的人加入志愿者团队，我们所有人一起共同努力，定能早日战胜疫情！#武汉是我家，我和武汉在一起##我的治愈手记##平凡人们给我更多感动#http://t.cn/R2WxQOQ
FM99香格里拉之声,:【斗南花市可以买花了请拿好身份证戴好口罩进入】7岁的杨馫怡最喜欢的颜色是粉色，平时买衣服，她都让妈妈给自己买粉色的。2月25日，杨馫怡和爸爸妈妈来到斗南花花世界，在市场上选了一把粉色的玫瑰，抱在怀里。为做好疫情防控的同时保障企业安全有序复工复产，推动斗南花卉产业持续健康发展，从2月24日起，斗南花花世界对手交易区、斗南农资市场、昆明盆花苗木市场、斗南盆景花卉生态园等市场逐步恢复开放。2月25日，记者来到斗南花花世界看到，1号馆内已有部分商家入驻，开启了卖花模式。现场零售花商大概有30个左右，前来买花的多数为昆明市民，大家都戴起口罩，认真挑选鲜花。受疫情影响，现场零售的鲜切花价格也相较于年前有了大幅下降。在场馆外围市场，进口花卉以及百合花卉区，也有花商在进行售卖，并等待下午开始的对手交易。“我喜欢买花、插花，听说市场可以买花了，赶紧来买点回去。”市民林女士说。“我是安徽人，今年过年在呈贡过的，在斗南卖花七八年了，听说市场开了，就赶紧过来卖花了，希望以后生意越来越好。”卖玫瑰的大姐说。斗南花卉产业集团运营总监董瑞表示，以一号馆一楼为例，正常情况下的摊位是2000个，从目前的情况来看，复工的花商大约只有整个场馆的10%，随着疫情的好转，会有更多的花商逐步复工。此外，针对目前从鲜切花拍卖、零售等情况看，鲜花价格普遍偏低，董瑞也表示，情人节过后，花卉市场就进入了淡季，下一个花卉的小旺季出现约在3月8日左右，也是新一季花上市的时候，预计花价会有一定程度的上涨。据昆明花拍中心工作人员介绍，2月10日至2月24日，花拍中心总供货量2267.91万枝，日均151万枝；总交易量1513.35万枝，成交率66.73%，交易均价0.56元/枝。“随着终端批发市场及花店逐步复工后，整体成交率不断上升，整体交易行情也正在逐步回暖。”该工作人员说。此外，斗南花卉电子交易中心工作人员也表示，近期购买商有所增加，鲜花交易均价0.6元左右，呈上涨趋势，供货量也呈上涨趋势，成交率90%以上。每天的供货量30万支左右，成交量28万支左右。(云南信息报记者张艳萍）
南京晨报,:#关注江苏新型肺炎疫情#【满足普通患者看病就医需求南医大二附院推出八种预约挂号方式】新冠肺炎防控期间，如何满足普通市民的看病就医需求，记者了解到，南京医科大学第二附属医院从2月24日起全面推行预约挂号、分时段就诊，引导患者错峰就医。http://t.cn/A67vsFHC通讯员陈艳萍南京晨报爱南京记者钱鸣
北京联通_网络设备维护中心,:《抗击疫情一起来加油》书法作品（维护中心赵艳萍）《共抗时艰》《临王莽嘉量铭》
承德微新闻,:#承德身边事#【防控疫情齐心奋战，承德夫妻携手坚守一线】本来计划趁春节放假带孩子与父母团聚，没想到新冠肺炎疫情打乱了最初的计划。疫情当前，张树军与妻子申艳萍坚守在各自的岗位上，他们携手并肩，相互鼓励，全力以赴，成为了抗疫战场上最美的“风景线”。（承德晚报）
看看新闻在现场,:【患者不会说普通话医疗队写下小纸条老人：看一次就觉得离希望更近】付艳萍是湖南第一支援鄂医疗队的队员，她来自株洲市中心医院，她通过手机传送视频，讲述了一个关于“小纸条”的故事。在隔离病房的患者，他们的心情都非常焦虑，其中还有很多老人家不会说普通话，和湖南医疗队交流非常困难。株洲支援黄冈的医生们想到了一个好办法：写纸条。每次查完房之后，给患者写一张纸条，上面有患者目前所有的情况，检查结果，使用药物等，还写一些鼓励的话语。患者每看一次纸条，就觉得离希望更进一步。一张小纸条，成为了株洲支援黄冈医疗队的工作法宝。http://t.cn/A67vp7F3
阳光定会暖民心,:《春望》盼早出门踏青寻梅/寻梅不知处，偶拾桃花开。春芳不歇脚，独闻幽香来。～刘艳萍怜香低眉醉，如梦林间徊。可有踏青客，知音向亭台。~知暖#记录世界记录你#知暖679的快手视频
986路上好朋友,:#关注辽宁新型肺炎疫情#【老爸，我和妈妈在家等你……】“老爸，你都一个月没有回家了，最近我总是能梦见你，在梦里你工作时的样子非常帅。爸爸，想你……”2月18日，韩刚的女儿孟怡将老爸工作时的样子画了出来，并用手机拍照后微信转给了自己的老爸。韩刚看后，眼泪直在眼眶里打转，他实在是太想念自己的宝贝女儿了，可是手头还有那么多“规定动作”和“附加动作”需要他去处理。他咽下眼泪，努力淡定地回复到：“等疫情退了，爸爸就回去，到时侯你提任何要求，爸爸都满足你！”懂事的女儿秒回：“爸爸，我没有什么要求，我只希望你平安，我和妈妈在家等你……”韩刚，国网法库县供电公司柏家沟供电所所长，党支部书记，作为一名退伍20年的老兵，他始终保持着“退伍不褪志，退伍不褪色”的军人本色。自担任所长以来，他连续7年春节“扎”在工作岗位上，做好责任区内广大居民的保供电工作。2020年的春节与往年不同，面对来势汹汹的新冠肺炎疫情，原本就忙碌的他更加忙碌了，他像拧紧发条的机器人，每天“连轴转”。有人劝他歇歇，可用他的话说：“我是所长，更是一名党员，这个时候就应该冲在前……”翻开韩刚的手抄日记，上面清晰地记录着他每天的“规定动作”：6时30分：对所内办公区域消毒，检查工器具及抢修物资。7时30分：检查人员身体状况，布置巡线任务。8时30分：对10千伏柏和线刘大沟支线、2台100千伏安变压器及镇政府、医院重要场所线路设备每天进行一次特巡，仔细记录设备运行情况，排查安全隐患……当天下午，韩刚又接到了柏家沟镇大六、泡子沿等村的求助电话，由于疫情防控工作的紧迫性，他们需要在村头设立临时检查点，请求供电公司帮忙接通临时电。接到通知后，韩刚带领班组人员，带好备品、备料奔走在村头，经过连续10个小时的奋战，他们一口气完成了9个检查点的临时电接入，架设线路720余米，安装照明灯18个、取暖设施18个，第一时间将冰冷的“防疫站”变成了温馨的“驿站”。看着自己温暖的小窝，柏家沟镇大六村村长激动地表示：“真是太谢谢你们了，不然今晚我们就得挨冻了。”此时已是夜里8点多，终于完成最后一个临时电接入任务，韩刚带领班员们踏上返回单位的路。坐在车里，他再次打开手机，端详着女儿为自己画的肖像：“蓝色安全帽，一身蓝衣裳……”女儿的祝福让疲惫中的他立刻振作了几分……（来源:国网沈阳供电公司，986记者高峰，通讯员:段莹莹史艳萍）
颜Constance,:梦到奶奶，立人学校，厦门理工，小巷，艳萍，耀玲，哥，滑冰，烧香，考试，跑步，打饭……还有胡歌……
武汉交通广播,:#武汉能行#【联盟快讯】关爱志愿者送防护服给你们英雄的武汉，活跃着一大批的志愿者，他们不计生死、无私奉献，贴人贴钱贴时间，只为对武汉深切的喜爱而并肩作战。武汉抗疫公益志愿者联盟谷晓红小分队负责人谷晓红，注意到有不少志愿者们的防护措施的缺乏，既为志愿者们的付出感动，也为志愿者的健康忧心。得知此事的武大总裁23班志愿者与谷晓红主动取得联系，在班长张建国号召下，杨敏、朱珊、刘海涛、王勇强、陈晓林、陈建强等同学积极参与，学员们共定向捐助了价值73000元的900套防护服，委托谷晓红进行转运、分发。2月24日，全部900套防护服已发放给中国蓝天救援队、新芽公益团队、武汉吖爱心车队、司马车队等17家公益组织。什么是志愿者？志愿者是指不为物质报酬，基于良知、信念和责任，自愿为社会和他人提供服务和帮助的人。志愿者们从来就不孤单，在中国九百六十万平方公里的广袤大地上，还有更多的志愿者们在各自的城市拼搏，在拼搏中迎接属于我们中国人这场疫情的胜利。而这样的胜利，中国人盼望的胜利，我们相信，不会太远！谢谢所有的志愿者们！武汉，加油！中国，加油！（通讯员：朱艳萍）#武汉是我家，我和武汉在一起##平凡人们给我更多感动##我的治愈手记#http://t.cn/R2WxQOQ
哈尔滨市司法局,:哈尔滨市人大代表马艳萍到万家强戒所慰问基层一线干警疫情无情人有情。面对突如其来的重大疫情，2月24日上午，哈尔滨市人大代表、哈尔滨农信村镇银行董事长马艳萍来到万家强戒所，慰问奋战在疫情防控一线的基层干警，并以个人名义向万家强戒所捐赠了桔子、香蕉、酸奶、方便面、矿泉水等价值1万元的爱心物资。市司法局党组书记、局长吴勇出席了捐赠仪式，万家强戒所所长金继东代表全所干警职工接受了捐赠。吴勇对马艳萍代表大力支持万家强戒所的疫情防控工作表示感谢，并表示，马艳萍代表能在防疫工作正处于最吃劲的关键时期，奉献爱心，以实际行动弘扬了社会正气，充分彰显了人大代表的责任当担，为全市司法行政系统打赢疫情防控阻击战贡献了一份实实在在的力量。马艳萍表示，既然代表人民，那就做好人民的代表，承担起相应的社会责任，捐款捐物是我们应尽的责任。全所干警职工收到慰问品后备受鼓舞，纷纷表示，十分感谢马艳萍代表的亲切慰问和爱心捐赠，一定不负重托、忠诚履职尽责，全面完成各项防疫任务。http://t.cn/A6hka00V
用户6165490064,:当成长成为自己的需要时，前行的脚步就具有了不可阻挡的力量；当方向逐渐清晰时，大家知道，唯有向前走，才可能遇到最好的自己。——刘艳萍
安徽交通广播,:【患者不会说普通话医疗队写下小纸条老人：看一次就觉得离希望更近】付艳萍是湖南第一支援鄂医疗队的队员，来自株洲市中心医院，她通过手机传送视频，讲述了一个关于“小纸条的”故事。在隔离病房的患者，他们的心情都非常焦虑，其中还有很多老人家不会说普通话，和湖南医疗队交流非常困难。株洲支援黄冈的医生们想到了一个好办法：写纸条。每次查完房之后，给患者写一张纸条，上面有患者目前所有的情况，检查结果，使用药物等，还写一些鼓励的话语。患者每看一次纸条，就觉得离希望更进一步。一张小纸条，成为了株洲支援黄冈医疗队的工作法宝。（湖北新闻·公共频道）http://t.cn/A6hebH0f
北京市第一中级人民法院,:【患者不会说普通话医疗队写下小纸条老人：看一次就觉得离希望更近】付艳萍是湖南第一支援鄂医疗队的队员，来自株洲市中心医院，她通过手机传送视频，讲述了一个关于“小纸条的”故事。在隔离病房的患者，他们的心情都非常焦虑，其中还有很多老人家不会说普通话，和湖南医疗队交流非常困难。株洲支援黄冈的医生们想到了一个好办法：写纸条。每次查完房之后，给患者写一张纸条，上面有患者目前所有的情况，检查结果，使用药物等，还写一些鼓励的话语。患者每看一次纸条，就觉得离希望更进一步。一张小纸条，成为了株洲支援黄冈医疗队的工作法宝。http://t.cn/A6hebH0f
哼着小调儿mf,:发表了博文《患者不会说普通话医疗队写下小纸条老人：看一次就觉得离希望更近》【患者不会说普通话医疗队写下小纸条老人：看一次就觉得离希望更近】付艳萍是湖南第一支援鄂医疗队的队员，来自株洲市中心医院，她通过患者不会说普通话医疗队写下小纸条老人：看一次就觉得离希望更近
看看新闻正能量,:【患者不会说普通话医疗队写下小纸条老人：看一次就觉得离希望更近】付艳萍是湖南第一支援鄂医疗队的队员，来自株洲市中心医院，她通过手机传送视频，讲述了一个关于“小纸条的”故事。在隔离病房的患者，他们的心情都非常焦虑，其中还有很多老人家不会说普通话，和湖南医疗队交流非常困难。株洲支援黄冈的医生们想到了一个好办法：写纸条。每次查完房之后，给患者写一张纸条，上面有患者目前所有的情况，检查结果，使用药物等，还写一些鼓励的话语。患者每看一次纸条，就觉得离希望更进一步。一张小纸条，成为了株洲支援黄冈医疗队的工作法宝。（湖北新闻·公共频道）http://t.cn/A6hebH0f
延安检察,:#检察机关众志成城抗疫情#【黄龙县检察院县公安局联合对看守所疫情防控工作进行监督检查】为认真贯彻落实中省市政法委关于新冠肺炎疫情防控工作电视电话会议精神，进一步加强对监管场所疫情防控工作的监督检查，确保在押人员安全，2月21日上午，黄龙县政府副县长、县公安局局长李泽斌，县检察院检察长潘振洲，县公安局政委鲁强一行对黄龙县看守所疫情防控工作进行联合监督检查。县公安局副政委申军，县检察院第三检察部主任段艳萍一同督导检查。http://t.cn/A6hre1sx@陕西检察@黄龙检察
seven21857,:欢迎大家参加18线主播的课程明天下午开播速度进群🎉14天有氧运动赛2.24身所线上课程直播预告一🔔2月24日下午👉主讲导师：李军徐艳萍👉课程内容：1⃣心肺训练2⃣爆汗淋淋释放压力③让你通过最简单的方式最快速度的掉体重④复工前的全面进阶，从宅家模式复活🌹相约修炼｜一起成长🌹🌹联袂抗疫｜共克时艰🌹让我们得2020有一个更好的开始http://t.cn/zRzlxai
奉贤-南桥-WE健身小智,:欢迎大家参加18线主播的课程明天下午开播速度进群🎉14天有氧运动赛2.24身所线上课程直播预告一🔔2月24日下午👉主讲导师：李军徐艳萍👉课程内容：1⃣心肺训练2⃣爆汗淋淋释放压力③让你通过最简单的方式最快速度的掉体重④复工前的全面进阶，从宅家模式复活🌹相约修炼｜一起成长🌹🌹联袂抗疫｜共克时艰🌹让我们得2020有一个更好的开始http://t.cn/RJ2IpDz
胖小玉胖,:
魏氏思语,:《「湖北救援日记」因为缺氧，我提前出舱了，很难过……》讲述人：广西支援湖北抗疫医疗队队员、广西中医药大学第一附属医院东葛院区内分泌科主管护师梁艳萍。http://t.cn/A6h1BHYw
