李留申i,:2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。
文明开封,:#疫情防控开封在行动#【战“疫”不忘扶贫和农村人居环境整治】#共同战疫##抗疫行动#3月3日下午，在开封市新冠肺炎疫情防控专题第四场新闻发布会上，市农业农村局负责人刘磊介绍了我市农业农村部门围绕打赢疫情防控阻击战，在抓好农业产业扶贫和农村人居环境整治方面的举措，多措并举，全力应对疫情对农业产业扶贫影响，持续推进人居环境整治工作，筑牢疫情防控的“卫生防线”。刘磊说，一是加强产销对接。疫情防控期间，市农业农村局会同商务和市场监管部门建立了联席会议机制，为滞销卖难的农产品制订了应急销售方案，把贫困地区农产品作为疫情防控期间“菜篮子”产品有效供给的重要来源，通过建立微信群等方式构建“点对点”的对接关系，目前全市已销售扶贫农产品1600余万元。二是做好复工复产。市农业农村局成立了10个工作指导组，多途径协调解决带贫龙头企业、农民合作社等复工复产问题，全市已有725个带贫经营主体恢复生产，稳妥有序推进贫困群众返岗就业。三是发展特色产业。积极推进全市高标准农田项目建设，引导贫困村和贫困户发展优质小麦、优质大蒜、优质花生、优质果蔬和优质草畜产业。大力推广“两瓜一菜”带贫设施模式，因地制宜发展设施农业，在全市拥有6万座设施大棚的基础上，今年计划发展设施大棚3000~5000座，采用“1+1”带贫模式，每座大棚力争带动1个贫困户稳定增收，同时安排一个有劳动能力的贫困户在大棚里务工。四是提升服务水平。充分发挥益农信息社平台作用，全市1145个益农信息社站点投入运营，累计提供公益服务3.5万次。组织动员全市300余名技术服务人员，通过网络授课、印发技术资料等多种形式，开展技术服务。充分发挥1348名产业发展指导员的攻坚作用，为贫困户提供高质量的产业指导帮扶。刘磊表示，全市各村庄通过错峰式、分散式的作业方式进一步加强村庄环境保洁，做好村庄保洁消毒、提高群众卫生素养。同时，以疫情防控为切入点，创新帮扶手段，对有劳动能力的贫困户，采取不进门方式动员贫困户进行房前屋后大扫除。对老弱病残贫困户，帮扶干部主动上门，帮助打扫庭院卫生死角，对厕所、禽圈等区域进行消杀，确保所有贫困户实现“五净”，即院内净、卧室净、厨房净、厕所净、个人卫生净。@文明开封农业农村局@文明开封@中国文明网
文明开封,:#疫情防控开封在行动#【战“疫”不忘扶贫和农村人居环境整治】#共同战疫##抗疫行动#3月3日下午，在开封市新冠肺炎疫情防控专题第四场新闻发布会上，市农业农村局负责人刘磊介绍了我市农业农村部门围绕打赢疫情防控阻击战，在抓好农业产业扶贫和农村人居环境整治方面的举措，多措并举，全力应对疫情对农业产业扶贫影响，持续推进人居环境整治工作，筑牢疫情防控的“卫生防线”。刘磊说，一是加强产销对接。疫情防控期间，市农业农村局会同商务和市场监管部门建立了联席会议机制，为滞销卖难的农产品制订了应急销售方案，把贫困地区农产品作为疫情防控期间“菜篮子”产品有效供给的重要来源，通过建立微信群等方式构建“点对点”的对接关系，目前全市已销售扶贫农产品1600余万元。二是做好复工复产。市农业农村局成立了10个工作指导组，多途径协调解决带贫龙头企业、农民合作社等复工复产问题，全市已有725个带贫经营主体恢复生产，稳妥有序推进贫困群众返岗就业。三是发展特色产业。积极推进全市高标准农田项目建设，引导贫困村和贫困户发展优质小麦、优质大蒜、优质花生、优质果蔬和优质草畜产业。大力推广“两瓜一菜”带贫设施模式，因地制宜发展设施农业，在全市拥有6万座设施大棚的基础上，今年计划发展设施大棚3000~5000座，采用“1+1”带贫模式，每座大棚力争带动1个贫困户稳定增收，同时安排一个有劳动能力的贫困户在大棚里务工。四是提升服务水平。充分发挥益农信息社平台作用，全市1145个益农信息社站点投入运营，累计提供公益服务3.5万次。组织动员全市300余名技术服务人员，通过网络授课、印发技术资料等多种形式，开展技术服务。充分发挥1348名产业发展指导员的攻坚作用，为贫困户提供高质量的产业指导帮扶。刘磊表示，全市各村庄通过错峰式、分散式的作业方式进一步加强村庄环境保洁，做好村庄保洁消毒、提高群众卫生素养。同时，以疫情防控为切入点，创新帮扶手段，对有劳动能力的贫困户，采取不进门方式动员贫困户进行房前屋后大扫除。对老弱病残贫困户，帮扶干部主动上门，帮助打扫庭院卫生死角，对厕所、禽圈等区域进行消杀，确保所有贫困户实现“五净”，即院内净、卧室净、厨房净、厕所净、个人卫生净。@文明开封农业农村局@文明开封@中国文明网
南城不记事,明代开封府城里一堆周藩的郡王府，王爷、将军一众宗室遍地走
新乡同城,:#新乡身边事#【河南连续6日0新增！11地已清零】2020年3月3日0-24时，河南省连续6日无新增确诊病例。已有11个地市确诊病例清零！分别是，三门峡市、驻马店市、商丘市、漯河市、许昌市、开封市、焦作市、平顶山市、洛阳市、鹤壁市、濮阳市。全省在院治疗病例剩16例，其中新乡、济源示范区、安阳各1例。还有哪些地市即将清零？来看河南18地市战“疫”情况最新汇报http://t.cn/R2WxHlo
百年五中,:#疫情防控开封在行动##抗疫行动#为确保“停课不停教、不停学”，3月3日，开封五中迅速开展春季教材教辅发放工作，为安全有序进行教材发放，提前一天对存放教材的场所提前一天进行消杀处理，通知安排一名身体健康的家长戴口罩前来错峰领取。@文明开封@文明河南@中国文明网@开封市教育局
开封市见义勇为,:#霸王别姬动态海报#第一次看这部电影时。我才17岁，是在开封市人民会场电影院看的，现在这个开封市人民会场电影院都倒闭拆迁了，岁月如梭。人生无常
开封网,:#防控前沿#【开封市新冠肺炎疫情防控专题第四场新闻发布会举行】3月3日下午，开封市新冠肺炎疫情防控专题第四场新闻发布会在市政府新闻发布厅举行。此次发布会以开封市战“疫”战“贫”两不误，坚决打赢防疫扶贫两场硬仗为发布主题。发布会上，疫情防控指挥部成员、市扶贫办党组书记、主任蔡建春全面通报了我市在疫情防控期间脱贫攻坚推进情况及相关工作安排。市疫情防控指挥部成员及市疫情防控指挥部农村工作专班、市人社部门相关负责人出席发布会并回答新闻媒体提问。发布会由市疫情防控指挥部宣传组组长、市委宣传部常务副部长徐超文主持。发布会上，市疫情防控指挥部成员、市财政局党组书记、局长孙国才，市疫情防控指挥部成员、市商务局党组书记、局长成忠民，市疫情防控指挥部农村工作专班副组长、市农业农村局党组副书记、副局长刘磊，市人力资源和社会保障局四级调研员魏蕾，分别就我市产业扶贫和农村人居环境整治、稳岗就业助力脱贫攻坚、财政支持脱贫攻坚政策落实情况、大力推进电商扶贫等有关工作回答了记者的提问。河南日报、映象网、开封日报、开封广播电视台等媒体记者参加发布会。http://t.cn/A67OqcMs
开封网,:#防控前沿#【全力统筹做好疫情防控和文旅企业复工复产工作】在开封市新冠肺炎疫情防控专题第三场新闻发布会上，开封市文化广电和旅游局副局长张克彬就全市文旅系统疫情防控以及复工复产等情况回答了记者提问。自疫情发生以来，在市委、市政府和市疫情防控指挥部的统一部署领导下，全市各级公共图书馆（室）、文化馆（站）、美术馆、博物馆等公共文化服务机构和场馆，18家A级景区全部关停或停办；全市246家网吧、122家歌舞娱乐场所、6家游艺娱乐场，经审批的经营性演出11家单位全部关停停演；全市所有旅行社停止组接团业务，所有星级饭店、所有文旅项目全部关停。张克彬说，文旅企业是城市的形象和窗口，也是受疫情冲击最严重的行业。市文广旅局在指导企业做好疫情防控的同时，全力以赴帮助企业积极做好复工复产工作。一是发挥主流媒体作用，加强正面宣传引导，及时发布复工复产信息，开展线上看开封、云直播等宣传推广活动，累计曝光量达到980万次，提升了开封的文化影响力和旅游吸引力。二是积极研究企业复苏发展的扶持措施，制定了《开封市应对疫情支持文化旅游企业发展相关政策》等，积极帮助文旅企业尽快实现开复工。记者了解到，目前我市城墙本体（东城墙）修缮项目、州桥—古汴河遗址考古发掘项目、汴梁小宋城二期项目等七个项目已经顺利开工，开元名都大酒店和开运旅行社也已开始运营，其他文旅企业也已做好开工前的准备工作。http://t.cn/A67OGH9O
9号直播间,:【开封市已连续17日无新增确诊病例！】2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月3日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无疑似病例，密切接触者已全部解除医学观察。开封市已连续17日无新增确诊病例，自即日起，如无新的疫情情况，不再发布。（via开封市卫生健康委员会）
开封网,:#防控前沿#【开封市新冠肺炎疫情防控专题第三场新闻发布会举行】3月3日，开封市新冠肺炎疫情防控专题第三场新闻发布会在市政府新闻发布厅举行，全面通报我市商贸领域企业复工复产工作情况。发布会上，市疫情防控指挥部成员，市商务局党组书记、局长成忠民；市疫情防控指挥部成员，市粮食和储备局党组书记、局长彭广辉；市疫情防控农村工作专班副组长，市农业农村局党组副书记、副局长刘磊以及市市场监管局党组成员、副局长郭振启，市文化广电旅游局党组成员、副局长张克彬，分别就各自单位相关领域复工复产的有关情况和群众普遍关心的问题，回答了记者的提问。发布会由市疫情防控指挥部宣传舆论工作专班副组长、市委宣传部副部长、市文明办主任张琳主持。河南日报、大河网、开封日报、开封广播电视台等媒体记者参加发布会。http://t.cn/A67OG9KB
河南新农村频道,:【开封市已连续17日无新增确诊病例！】2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月3日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无疑似病例，密切接触者已全部解除医学观察。开封市已连续17日无新增确诊病例，自即日起，如无新的疫情情况，不再发布。（via开封市卫生健康委员会）
开封网,:#防控前沿#【开封市交通运输局组织开展支持新冠肺炎疫情防控捐款活动】抗击疫情，交通有爱。为进一步支持疫情防控工作，3月3日上午，市交通运输局全体党员积极响应党中央的号召，自愿捐款支持新冠肺炎疫情防控工作，活动中，该局党组书记、局长牛彦斌带领党组成员率先捐款，全体党员积极响应，彰显交通人的政治自觉和责任担当，表达对疫情防控工作的坚定支持。据悉，市交通运输局组织的此次捐款充分尊重个人意愿，坚持自觉自愿、量力而行，不提硬性要求，倡导根据实际情况表达爱心。捐款提倡以分散捐款为主，采用微信、支付宝、现场收取等方式进行，减少人员流动和聚集。在该局党员干部的带动下，部分群众也踊跃奉献爱心，共同助力疫情防控。据统计，该局共计捐款8650元。新冠肺炎疫情发生以来，全市交通运输系统广大党员坚持守土有责、守土尽责，积极参与交通检疫、机关社区监管与防控，不顾个人安危，冲锋在疫情防控第一线，坚守人民群众的生命健康安全，全力以赴打好疫情防控阻击战。当前，疫情防控工作正处于最吃劲的关键阶段，市交通运输局党组以捐款行动响应党中央的号召，同时向全市交通运输系统各级党组织发出为打赢疫情防控阻击战加油助力的号召，得到了热烈响应，以一份份捐款表达交通人对战胜疫情的美好祝愿和必胜信念。截至目前，全市交通运输系统为支持疫情防控的捐款工作正在有序进行中。牛彦斌代表全市交通运输系统党员干部职工表示，扎实做好本职工作，团结一致，共同努力，用实际行动践行初心使命，努力为打赢疫情防控的人民战争、总体战、阻击战贡献交通运输力量。http://t.cn/A67ObjZM
开封市文广新局,#疫情防控开封在行动#【转发周知！开封市各大超市3月4日生活必需品价格出炉，请市民对照监督】#抗疫行动##共同战疫#根据全市统一安排部署，经过今天（3月4日）早晨对开封市各大超市的统计，蔬菜、粮油等生活必需品的价格已经出炉，请广大市民对照监督。开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。@开封市场监管@文明河南@中国文明网@河南大学广播站@平安开封http://t.cn/R2WxHAA
巴士管家,【客运恢复运行了！开封交运集团已开通省内线路55条】为了保证大家的出行需求，目前，开封市交运集团已恢复55条省内地市路线，并开通了可定制班线。有省内出行需求的市民可根据不同需求登陆巴士管家App、河南省联网售票网络平台(http://t.cn/8Fvewqd)查阅定制包车发班情况和网上购买车票。http://t.cn/A67NDnxA
魅丽开封,:【开封市新型冠状病毒肺炎疫情最新情况】#开封身边事#2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月3日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无疑似病例，密切接触者已全部解除医学观察。开封市已连续17日无新增确诊病例，自即日起，如无新的疫情情况，不再发布。开封市卫生健康委员会2020年3月4日
河南法治频道,:#河南防控新型肺炎疫情#【截至3月3日24时河南省新型冠状病毒肺炎疫情最新情况】2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。（河南省卫生健康委官网）#抗击疫情我们在一起#
文旅开封,:开封市新型冠状病毒肺炎疫情最新情况
开封网,:【开封市新型冠状病毒肺炎疫情最新情况】2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月3日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无疑似病例，密切接触者已全部解除医学观察。开封市已连续17日无新增确诊病例，自即日起，如无新的疫情情况，不再发布。开封市卫生健康委员会2020年3月4日http://t.cn/A6708u1n
开封日报,:【开封市新型冠状病毒肺炎疫情最新情况】2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月3日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无疑似病例，密切接触者已全部解除医学观察。开封市已连续17日无新增确诊病例，自即日起，如无新的疫情情况，不再发布。开封市卫生健康委员会2020年3月4日（开封市卫生健康委员会官方网站）
平安开封,:【转发周知！开封市各大超市3月4日生活必需品价格出炉，请市民对照监督】开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。#共同战疫#
开封日报,:#权威发布#开封市新型冠状病毒肺炎疫情最新情况2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月3日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无疑似病例，密切接触者已全部解除医学观察。开封市已连续17日无新增确诊病例，自即日起，如无新的疫情情况，不再发布。开封市卫生健康委员会2020年3月4日（信息来自开封市卫生健康委员会官方网站）
兮梦兮远,:2020.3.3日酷盖14正版11莉莉1展述了开封市复兴大道街上向南拐西环路上北头再向东拐复兴大道街上的一些情感故事……
开封广电菊城报道,:【请对照监督！3月4日开封市生活必需品价格公示出炉】今天早上（3月4日），记者从开封市市场监督管理局获悉，根据全市统一安排部署，经过今天对全市各大超市的统计，主要蔬菜和粮油品种等生活必需品的价格已经出炉，请广大市民对照监督。如发现有哄抬物价、扰乱市场行为，市民可以拨打12315，消费者维权举报热线进行投诉举报，开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查。http://t.cn/R2WxHAA
开封检察,:【开封市人民检察院制定十项措施积极服务保障企业复工复产】http://t.cn/A670CRzJ
谢文流氓,:【河南省】·【开封市】·【山陕甘会馆】·【印象随拍】一#河南省##开封市##开封·山陕甘会馆[地点]##山陕甘会馆##印象#齐齐哈尔·光荣三区
金明区法院,#疫情防控开封在行动#【开封市新型冠状病毒肺炎疫情最新情况】#共同战疫##开封战疫#截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。#抗疫行动#开封市卫生健康委员会2020年3月3日（开封市卫生健康委员会官方网站）
商丘报道,:#商丘爆料#【客运逐步恢复运行了！可坐大巴从开封至商丘市、睢县、民权、宁陵、柘城等县市】为了保证大家的出行需求，目前，开封市交运集团已恢复55条省内地市路线，并开通了可定制班线。Ps:查了一下，网络购票平台有从开封出发去商丘部分县市的票，但部分县市没有到开封的票。请以实际为准。[加油]
牛铃,#历史人物#他的书法，位列帝王前三甲，他是？
开封见义勇为后,:我1996年4月21日下午3点左右在开封市大梁路马市街顺天大厦二楼见义勇为救了两名被5个流氓调戏殴打的女同胞，我当时因为救人被5个流氓用刀砍伤了，左腿3刀，右肩膀1刀，脾脏被打肿大，有出警记录，具其中一名被救女同胞说，另外一名被救女同胞叫杨梅，案子发生时候在这个楼的顺天宾馆工作是这个宾馆的服务员，是这个叫杨梅的女同胞跑到我面前告诉我，她们俩被流氓殴打并且把我领到了案子发生现场，当时杨梅看到了整个案子发生过程，我想找一下这个叫杨梅的女同胞，我不要杨梅赔偿我医药费，也不要杨梅负责，我只想要杨梅给我写一个证明材料，就是把1996年4月21日下午她们被流氓殴打，找到我让我帮助她们俩的过程写一下，就是这个意思。我现在需要这个证明材料，因为现在在派出所只有另外一个被救女同胞牛丽娜的一份询问笔录，我当时给办案子民警说的是两名女同胞，并且牛丽娜的询问笔录里也说了杨梅的情况，当时这个顺天大酒店老板叫王钢领，不知道王钢领老板现在对酒店服务员杨梅还有印象没有，有没有杨梅这个员工的联系方式，顺天宾馆的其他员工对杨梅还有印象没有，这个杨梅可能是1979年左右出生的，现在可能有40岁左右，这个顺天宾馆的楼房是开封市马市街村委会的产权，有马市街村委会的工作人员认识顺天宾馆的工作员工吗，如果有这方面的信息可以跟我联系一下，谢谢帮助感谢。
宋都微生活,:#开封朋友圈##开封生活##开封热点##疫情防控#开封市新型冠状病毒肺炎疫情最新情况截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。开封市卫生健康委员会2020年3月3日
开封气象微博,:根据开封市气象台17时预报分析，今天夜里到明天白天我市多云间晴天，地面风：偏东风3级。具体详情→别担心，晴好天还在
中共开封市委党校,#疫情防控开封在行动#网络视频作品展播：《感谢有你》
开封市场监管,:【喜讯！开封全部“清零”，26名确诊患者全部治愈！】截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。开封市卫生健康委员会2020年3月3日
杞县那点事,:我发表了头条文章:《重磅！开封市新型冠状病毒肺炎疫情最新情况！确诊病例全部治愈！》重磅！开封市新型冠状病毒肺炎疫情最新情况！确诊病例全部治愈！开封·杞县
开封文化园区文明微博,#疫情防控开封在行动#网络视频作品展播：《感谢有你》
安阳网,:【河南新冠肺炎疫情防控工作第二十一场新闻发布会召开全省规上工业企业复工率突破90%】3月2日，省政府新闻办召开新冠肺炎疫情防控工作第二十一场新闻发布会，省卫健委和省发展改革委、开封市和洛阳市、省电力公司和中铁七局及双汇集团等省直部门、地市、企业的负责人，就当前疫情防控和复工复产等工作进行通报，并针对热点问题回应群众关切。http://t.cn/A67NZ2f9⑥
河南法治频道,:#河南防控新型肺炎疫情#【开封市新型冠状病毒肺炎疫情最新情况】截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。（开封发布）#抗击疫情我们在一起#
开封交警,:#护航复工复产#【开封交警五大队全力为复工复产“保驾护航”】为切实做好复工复产期间交通管理工作。2020年3月3日，开封市交警五大队中队长刘志勇带领辅警刘豪亮，侯盼望深入到辖区开封市长明模塑有限公司进行访问，积极主动上门倾听企业心声，了解企业目前情况和存在的困难，以及需要及时解决的问题等，点对点为企业做好交通运输服务保障，为企业复工复产提供有力的交通安全管理服务，全力保障企业复工复产。@公安部交通管理局@平安中原@河南交警@平安开封@开封网
开封广播电视台,:#开封市新型冠状病毒肺炎疫情最新情况#　　截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。开封市卫生健康委员会2020年3月3日来源：信息来自开封市卫生健康委员会官方网站
1051开封交通广播,:【开封市新型冠状病毒肺炎疫情最新情况】截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。开封市卫生健康委员会2020年3月3日（“信息来自开封市卫生健康委员会官方网站”）http://t.cn/R2WxHAA
洛阳商报,:【洛阳发往杞县、叶县客运班线恢复至许昌班线停运】3月3日，洛报融媒记者从洛阳汽车站得知，由该站发往开封市杞县和平顶山市叶县的长途客运班线恢复；由该站发往许昌的长途客运班线停发。温馨提示：以上班线发车站为洛阳汽车站；乘车须佩戴口罩、随身携带身份证；配合司乘人员测量体温；咨询电话：63233186。（洛报融媒记者赵硕通讯员张智民文/图）#抗击疫情洛阳在行动#
河图网,:【洛阳发往杞县、叶县客运班线恢复至许昌班线停运】3月3日，洛报融媒记者从洛阳汽车站得知，由该站发往开封市杞县和平顶山市叶县的长途客运班线恢复；由该站发往许昌的长途客运班线停发。温馨提示：以上班线发车站为洛阳汽车站；乘车须佩戴口罩、随身携带身份证；配合司乘人员测量体温；咨询电话：63233186。（洛报融媒记者赵硕通讯员张智民文/图）#抗击疫情洛阳在行动#
洛阳商报,:【洛阳发往杞县、叶县客运班线恢复至许昌班线停运】3月3日，洛报融媒记者从洛阳汽车站得知，由该站发往开封市杞县和平顶山市叶县的长途客运班线恢复；由该站发往许昌的长途客运班线停发。温馨提示：以上班线发车站为洛阳汽车站；乘车须佩戴口罩、随身携带身份证；配合司乘人员测量体温；咨询电话：63233186。（洛报融媒记者赵硕通讯员张智民文/图）#抗击疫情洛阳在行动#
河图网,:【洛阳发往杞县、叶县客运班线恢复至许昌班线停运】3月3日，洛报融媒记者从洛阳汽车站得知，由该站发往开封市杞县和平顶山市叶县的长途客运班线恢复；由该站发往许昌的长途客运班线停发。温馨提示：以上班线发车站为洛阳汽车站；乘车须佩戴口罩、随身携带身份证；配合司乘人员测量体温；咨询电话：63233186。（洛报融媒记者赵硕通讯员张智民文/图）#抗击疫情洛阳在行动#
洛阳晚报,:#抗击疫情洛阳在行动##洛阳24小时#【洛阳发往杞县、叶县客运班线恢复至许昌班线停运】3月3日，洛报融媒记者从洛阳汽车站得知，由该站发往开封市杞县和平顶山市叶县的长途客运班线恢复；由该站发往许昌的长途客运班线停发。温馨提示：以上班线发车站为洛阳汽车站；乘车须佩戴口罩、随身携带身份证；配合司乘人员测量体温；咨询电话：63233186。（洛报融媒记者赵硕通讯员张智民文/图）
网信开封,:#开封战疫#【开封市新型冠状病毒肺炎疫情最新情况】截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。开封市卫生健康委员会2020年3月3日（来源：开封市卫生健康委员会官方网站）
文旅开封,:权威发布！开封市新型冠状病毒肺炎疫情最新情况
开封广电菊城报道,:【最新通报】开封市新型冠状病毒肺炎疫情最新情况截至目前，全市累计报告新型冠状病毒肺炎确诊病例26例，已全部治愈。无新增确诊病例，无疑似病例。密切接触者已全部解除医学观察。开封市卫生健康委员会2020年3月3日信息来自开封市卫生健康委员会官方网站http://t.cn/R2WxHAA
开封公交,:#疫情防控开封在行动##共同战疫#众志成城，共克时坚。为打赢疫情防控阻击战，开封市公交总公司广大党员积极响应党中央号召，自发为支持新冠肺炎疫情防控工作踊跃捐款，以实际行动守初心、担使命。@文明开封@文明河南@中国文明网
河南网信,:【#河南战疫我们在行动#网络作品展播（294）：感谢有你】内容简介：向一线的白衣天使致敬。作者：开封市卫健委#抗击疫情我们在一起##联防联控河南在行动##没有斗篷的河南人也是superman#点击链接查看河南网信的微博视频
