美东侨报,:#全国最新疫情地图#【#新冠肺炎#全国累计确诊80424例】截至3月3日20时31分，全国累计确诊病例80424例（昨日新增120），现有确诊27427例（新增-2572），疑似病例520例（新增143），现有重症6416例（新增-390），累计治愈病例50013例（新增2654），累计死亡病例2984例（新增38）。
昆明市官渡区法院,:#加强疫情防控云南在行动#【截至3月3日24时云南省新冠肺炎疫情情况】3月3日12时至24时，无新增确诊病例。截至3月3日24时，已连续12天新增病例为0，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例5例。密切接触者当日解除医学观察12人，正在观察81人。云南129个县市区全部为低风险地区。
驻马店市生态环境局,:【最新通报】3月3日0-24时河南省无新增新冠肺炎确诊病例出院11例河南发布天中环保今天2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。（来源：河南省卫生健康委员会）
CCTV巴德赛尔,:#联播快讯#【#意大利新增342例新冠肺炎#，#意大利累计确诊2036例新冠肺炎#】#全球抗疫第一线#根据当地时间3月2日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者1835例，死亡52例，治愈149例，累计确诊感染新冠病毒总人数为2036例，较3月1日18时新增342例，其中重症166例，新增18例死亡病例。@人民日报http://t.cn/ESn96Ky
南昌帮帮帮,:【2020年3月3日南昌市新型冠状病毒肺炎疫情情况】2020年3月4日，江西省卫生健康委发布疫情通报，2020年3月3日0-24时，江西省无新增新型冠状病毒肺炎确诊病例，新增出院病例14例，累计确诊病例935例，治愈出院病例884例，死亡病例1例；现有重症病例5例，疑似病例1例。其中南昌市报告新增新型冠状病毒肺炎确诊病例0例，新增出院病例2例，累计报告确诊病例230例，累计出院病例218例。南昌市报告无新增确诊病例。各县（区）已确诊病例中，南昌县42例；进贤县37例；安义县5例；东湖区14例；西湖区35例；青山湖区15例；青云谱区14例；新建区9例；经开区5例；高新区43例；红谷滩新区11例。目前追踪到密切接触者4196人，尚有187人正在接受医学观察。南昌市卫生健康委员会2020年3月4日
湘潭晚报,:#湖南防控新型肺炎#【最新！湖南无新增病例！在院治疗101例，累计出院913例】2020年3月3日0-24时，湖南省报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例21例。其中：新增出院病例中，长沙市6例、株洲市1例、岳阳市6例、常德市6例、郴州市1例、娄底市1例。截至3月3日24时，湖南省累计报告新型冠状病毒肺炎确诊病例1018例，累计报告重症病例147例，现有重症病例15例，死亡病例4例，出院病例913例，在院治疗101例。其中：确诊病例中，长沙市242例、衡阳市48例、株洲市80例、湘潭市36例、邵阳市102例、岳阳市156例、常德市82例、张家界市5例、益阳市60例、郴州市39例、永州市44例、怀化市40例、娄底市76例、湘西自治州8例。现有重症病例中，长沙市6例、株洲市4例、邵阳市1例、常德市1例、益阳市1例、娄底市2例。死亡病例中，长沙市2例、邵阳市1例、岳阳市1例。出院病例中，长沙市192例、衡阳市48例、株洲市70例、湘潭市35例、邵阳市100例、岳阳市130例、常德市80例、张家界市5例、益阳市59例、郴州市36例、永州市43例、怀化市40例、娄底市67例、湘西自治州8例。目前追踪到密切接触者26928人，已解除医学观察26599人，尚有329人正在接受医学观察。
中国新闻社贵州分社,:【3月4日0—12时，贵州省新型冠状病毒肺炎疫情情况】2020年3月4日0—12时，全省新型冠状病毒肺炎无新增确诊病例。截至3月4日12时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2489人，尚在接受医学观察13人。
青蕉视频,:【湖北黄石“小汤山”危重症病例清零医生：回家的日子越来越近了】3月3日，湖北黄石。在医护人员共同努力下，黄石市近日的出院病例数不断增加，而在院治疗人数则不断减少。被称为黄石“小汤山”的黄石市中医医院和黄石市中心医院的重症医学科合并，黄石小汤山里的危重症病例实现清零。合并之后，ICU里的医护人员有近80人，富余的医疗人员会参与到普通病患的救治工作中。医生赵炜表示，感觉离回家的日子越来越近了。http://t.cn/A67l7ZbP
青州发布,:#新冠肺炎最新动态#【#治愈达75%！#】@健康山东@潍坊市卫健委3月4日0-12时，潍坊市有2名新冠肺炎确诊患者出院，无新增确诊病例。至此，潍坊市已有33名患者治愈出院。截至4日12时，潍坊市累计确诊新冠肺炎44例，出院33例，在院隔离治疗11例，其中1名重症，其他患者病情稳定。#山东省新冠肺炎最新动态#2020年3月4日0-12时，山东省无新冠肺炎疑似病例;无新增确诊病例，累计确诊病例758例(其中，重症病例6例，危重症病例2例，死亡病例6例);新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。备注:根据要求，按病例确诊时医院所在县区统计。
昆明高新区管委会,:#疫情最新情况#【新增确诊病例119例，截至3月3日24时，全国累计确诊80270例】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。（国家卫生健康委员会）
山东外事,:【2020年3月4日0时至12时山东省新型冠状病毒肺炎疫情情况】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。http://t.cn/A67WsqMZ
心空身尘2,❌疫情爆发❌意大利人也不戴口罩，也不用消毒水，也不闭门思过，认为戴口罩怪怪的，大街上戴口罩的大多是理性智慧的中国华人……
环球网健康,:#环环球球与你共同战疫#【上海3月4日0-12时无新增确诊病例】据3月4日下午，上海市新冠肺炎疫情防控新闻发布会上通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。
山东广播电视报,:【3月4日0时至12时，山东无新增确诊病例，新增治愈出院4例】2020年3月4日0-12时，山东省无新冠肺炎疑似病例;无新增确诊病例，累计确诊病例758例(其中，重症病例6例，危重症病例2例，死亡病例6例);新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。详见下表(单位:例)：备注：根据要求，按病例确诊时医院所在县区统计。
主播金三秒,:截至3月1日晚，意大利新冠肺炎累计确诊人数达1713例，累计死亡41例，重症患者83例。#中国境外确诊病例超过1万##意大利居民拒戴口罩要自由#主播金三秒的微博视频
陵水气象爱好者,:#张文宏预测新冠病毒最终发展#【仅剩5例！海南全省治愈率升至94%！】今天下午，位于三亚的定点医院新增1例治愈出院，其中，三亚市1例，截至目前，海南省现存确诊病例仅剩5例（含重症2例）！
红网消费频道,:【全省122个县市区中有114个连续14天以上无新增确诊病例】截至3月4日12时，全省累计报告确诊病例1018例，出院病例927例，在院治疗87例，累计治愈出院率达91.1%，累计报告重症病例147例，现有重症病例15例，死亡病例4例。近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。全省122个县市区中有114个连续14天以上无新增确诊病例，有4个市州实现确诊患者治愈清零。http://t.cn/EhGn2gw
滨州发布,:【2020年3月4日0时-12时，滨州市无新增新冠肺炎确诊病例】2020年3月4日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月4日12时，累计确诊病例15例（含治愈出院14例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（已全部治愈出院）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
闪电新闻,:#滨州身边事##山东新型冠状病毒肺炎最新消息#【3月4日0时-12时滨州无新增新冠肺炎确诊及疑似病例】3月4日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月4日12时，累计确诊病例15例（含治愈出院14例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（已全部治愈出院）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
株洲新闻网,:#抗击疫情在株洲#【株洲新增确诊0例在院治疗10例累计出院70例】2020年3月3日0-24时，株洲市报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例1例。其中：新增出院病例中，茶陵县1例。株洲新增确诊0例在院治疗10例累计出院70例
吕梁广播电台,:【（3月4日通报）山西连续8天无新增，治愈出院124例】2020年3月3日0时至24时，山西省无新增新型冠状病毒肺炎确诊病例，累计报告确诊病例133例。新增治愈出院5例，累计治愈出院124例。现有在院隔离治疗确诊病例9例，其中重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。（山西日报）
滨州文旅,:#万众一心打赢疫情防控阻击战##滨州身边事#【2020年3月4日0时-12时，滨州市无新增新冠肺炎确诊病例】2020年3月4日0时-12时，滨州市无新增#新冠肺炎#确诊及疑似病例，无重症和死亡病例报告。截至3月4日12时，累计确诊病例15例（含治愈出院14例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（已全部治愈出院）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。滨州市卫生健康委员会2020年3月4日
滨州发布,:【2020年3月4日0时-12时，滨州市无新增新冠肺炎确诊病例】2020年3月4日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月4日12时，累计确诊病例15例（含治愈出院14例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（已全部治愈出院）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
闪电新闻,:#滨州身边事##山东新型冠状病毒肺炎最新消息#【3月4日0时-12时滨州无新增新冠肺炎确诊及疑似病例】3月4日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月4日12时，累计确诊病例15例（含治愈出院14例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（已全部治愈出院）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
株洲新闻网,:#抗击疫情在株洲#【株洲新增确诊0例在院治疗10例累计出院70例】2020年3月3日0-24时，株洲市报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例1例。其中：新增出院病例中，茶陵县1例。株洲新增确诊0例在院治疗10例累计出院70例
吕梁广播电台,:【（3月4日通报）山西连续8天无新增，治愈出院124例】2020年3月3日0时至24时，山西省无新增新型冠状病毒肺炎确诊病例，累计报告确诊病例133例。新增治愈出院5例，累计治愈出院124例。现有在院隔离治疗确诊病例9例，其中重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。（山西日报）
滨州文旅,:#万众一心打赢疫情防控阻击战##滨州身边事#【2020年3月4日0时-12时，滨州市无新增新冠肺炎确诊病例】2020年3月4日0时-12时，滨州市无新增#新冠肺炎#确诊及疑似病例，无重症和死亡病例报告。截至3月4日12时，累计确诊病例15例（含治愈出院14例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（已全部治愈出院）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。滨州市卫生健康委员会2020年3月4日
济宁这些事儿,:#济宁身边事#【疫情通报|3月4日0—12时济宁无新增确诊病例新增治愈出院1例】3月4日0—12时，济宁市无新增新冠肺炎确诊病例，无新增疑似病例，新增治愈出院1例。截至3月4日12时，济宁市累计报告确诊病例260例，其中治愈出院84例，无重症、危重症病例；现无疑似病例。济宁市260例确诊病例中，按病例确诊时医院所在县市区统计：任城235例，兖州6例，曲阜13例，邹城1例，微山1例，金乡1例，嘉祥1例，汶上2例。
潍坊人潍坊事儿,:【2020年3月4日0时至12时山东省新型冠状病毒肺炎疫情情况】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。（备注：根据要求，按病例确诊时医院所在县区统计。）#潍坊人潍坊事儿#
浦东时报,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】市卫健委今日（4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。
云南理论网,:#疫情最新情况#【无新增！截至3月4日12时，云南累计治愈出院169例，现有确诊病例3例】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南省卫生健康委员会）http://t.cn/RI9RdU5
阳光滨州,:2020年3月4日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月4日12时，累计确诊病例15例（含治愈出院14例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（已全部治愈出院）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。滨州市卫生健康委员会2020年3月4日
青岛微生活,:2020年3月4日0时至12时青岛市新型冠状病毒肺炎疫情情况2020年3月4日0—12时，我市无新增新型冠状病毒肺炎确诊病例。截至3月4日12时，我市累计确诊60例新型冠状病毒肺炎病例（男性27人、女性33人），其中治愈出院58例，死亡1例，现有确诊病例1例（重症），在定点医院接受隔离治疗。累计已排除疑似病例304例，目前疑似病例为0。累计已解除医学观察719人，仍纳入医学观察的密切接触者3人，未发现异常。按病例确诊医院所在区市分布情况：市南区7例（已治愈出院6例，死亡1例）、市北区13例（已治愈出院12例）、李沧区6例(均已治愈出院)、崂山区4例(均已治愈出院)、城阳区2例(均已治愈出院)、黄岛区13例（均已治愈出院）、即墨区8例(均已治愈出院)、胶州市1例（已治愈出院）、平度市3例（均已治愈出院）、莱西市3例（均已治愈出院）。青岛市卫生健康委员会2020年3月4日
南阳交警,:【#31省区市新增119例新冠肺炎#，#31省区市累计报告80270例新冠肺炎#】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。
威海播报,:【威海日报社讯】【疫情通报：3月4日山东新型冠状病毒肺炎疫情情况】2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。备注：根据要求，按病例确诊时医院所在县区统计。
经济日报,:【#湖北除武汉外治愈率为76.8%#】国家卫生健康委新闻发言人、宣传司副司长米锋4日通报了最新疫情情况。3月3日，除湖北以外，其他省份新增确诊病例4例，新增疑似病例91例，新增死亡病例1例，重症病例减少29例。从确诊病例治愈率看，截至3月3日，武汉为50.2%，湖北除武汉为76.8%，其他省份为87.3%，均连续19日上升。下一步，要切实巩固前期救治成果，不断完善治疗方案，坚持中西医结合，加强对重型、危重型患者的密切监测和整体护理，不断提高治愈率，降低病亡率。（记者吴佳佳）#疫情动态##湖北新增确诊病例115例#
美好鲁南,:#山东新型肺炎疫情情况#【
山西省生态环境厅,:【2020年3月4日山西省新型冠状病毒肺炎疫情情况】2020年3月3日0时至24时，山西省无新增新型冠状病毒肺炎确诊病例，累计报告确诊病例133例。新增治愈出院5例，累计治愈出院124例。现有在院隔离治疗确诊病例9例，其中重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。（来源：山西省卫健委）
温秀军Jason,:#意大利疫情#【意大利确诊2502例！温籍华侨很苦恼：口罩戴不戴，都是问题！回温华侨大呼感动！拯救同胞的温州人太狠了】“我戴了口罩，许多意大利人觉得我有病，远远地躲着我；不戴口罩，我又担心受感染。这是我最纠结最苦恼的，也是我身边许多华人进退两难的问题所在。”北京时间3月2日晚，温籍华侨、意大利马尔凯国际中文学校校长李加越等三位在意大利的温籍华侨向记者倾诉了同个苦恼。#全球疫情##泰国疫情##韩国疫情##美国疫情##日本疫情##意大利##意大利居民拒戴口罩要自由##意大利新增566例新冠肺炎##浙江多名华侨从意大利回国##浙江新增7例均为意大利输入病例##意大利累计确诊新冠肺炎2502例##意大利考虑只公布重症确诊患者##温州驰援意大利#http://t.cn/RyhYNv0
青岛西海岸新闻网,:#新型冠状病毒感染肺炎#【3月4日上午，青岛无新增新型确诊病例，现有确诊病例1例】截至3月4日12时，我市累计确诊60例新型冠状病毒肺炎病例(男性27人、女性33人)，其中治愈出院58例，死亡1例，现有确诊病例1例(重症)，在定点医院接受隔离治疗。累计已排除疑似病例304例，目前疑似病例为0。累计已解除医学观察719人，仍纳入医学观察的密切接触者3人，未发现异常。按病例确诊医院所在区市分布情况：市南区7例(已治愈出院6例，死亡1例)、市北区13例(已治愈出院12例)、李沧区6例(均已治愈出院)、崂山区4例(均已治愈出院)、城阳区2例(均已治愈出院)、黄岛区13例(均已治愈出院)、即墨区8例(均已治愈出院)、胶州市1例(已治愈出院)、平度市3例(均已治愈出院)、莱西市3例(均已治愈出院)。青岛市卫生健康委员会2020年3月4日
中国侨网,:【#意大利累计确诊新冠肺炎2502例#】人民日报记者韩硕消息，根据当地时间3月3日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者2263例，死亡79例，治愈160例，累计确诊感染新冠病毒总人数为2502例，较3月2日18时新增466例，其中重症229例，新增27例死亡病例。
