新浪重庆,:#重庆抗击新冠肺炎#【最新：重庆连续8日无新增确诊病例现有在院确诊病例为零区县增至14个】2020年3月3日0—24时，重庆市无新冠肺炎新增确诊病例报告，新增治愈出院病例21例。新增治愈出院病例中，万州区5例、涪陵区1例、江北区2例、九龙坡区1例、南岸区1例、合川区1例、綦江区1例、大足区1例、铜梁区1例、垫江县2例、忠县1例、云阳县1例、奉节县1例、巫山县1例、石柱县1例。截至3月3日24时，重庆市现有在院确诊病例80例（其中重型病例5例、危重型病例2例），累计死亡病例6例，累计治愈出院病例490例，累计报告确诊病例576例。累计追踪到密切接触者23602人，已解除医学观察23288人，尚有314人正在接受医学观察。具体情况如下：专家认为，截至3月3日，我市连续8日无新增确诊病例，现有在院确诊病例降至80例，现有在院确诊病例为零的区县增至14个，疫情发展态势积极向好。但是，零增长并不等于零风险。随着企业复工复产比例不断提高，来渝返渝人员包括境外来渝返渝人员不断增加，当前疫情防控形势依然严峻复杂，仍有很大的不确定性，面临着反弹压力，决不能盲目乐观，必须抓紧抓实抓细各项防控措施。重庆市卫生健康委提示：当前仍然是疫情防控的关键时期，广大市民千万不要放松警惕，依然要持续做好个人防护，坚持少出门、戴口罩、勤洗手、不聚餐、不聚集。如果出现发热、咳嗽、乏力等可疑症状，请戴好口罩，及时到发热门诊就诊。
云阳县江口镇,#重庆市政府新闻发布会#【重庆已有274万人获得获得“渝康码”】今（2）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十七场），市大数据发展局党组成员、副局长景根元介绍：市大数据发展局组织腾讯、阿里、浪潮、中软国际、数字重庆公司等公司的技术人员，针对前期推广中市民反映的问题，不断更新“渝康码”系统，优化通俗易读的信息环境和简洁高效的友好界面。截至3月2日12:00，微信、支付宝端用户访问量共计5360万，获得健康码用户量274万。
云阳县江口镇,#重庆市政府新闻发布会#【重庆要织密织紧防控网络全力降低疫情输入风险】今（2）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十七场），市卫生健康委党委副书记夏沛介绍：专家指出，要更加精准地落实防控措施，紧盯各类来渝返渝人员、场所和重点人群，织密织紧防控网络，全力降低疫情输入风险。对疫情严重地区以及高风险地区流入人员，要运用大数据等手段，加强跟踪管理，开展健康监测和服务。对公共交通工具和机场、车站、码头等人员密集场所，按要求设立留验站，配备必要人员设备，严格落实体温筛检等防控措施，发现可疑人员应当劝阻其登乘，进行暂时隔离，并立即通知相关部门及时处置。提供住宿服务的经营单位要如实登记旅客信息，对来自疫情防控重点地区的旅客进行排查并及时报告，按要求落实相应措施。社区要做好组织动员、健康教育、信息告知、重点地区和高风险地区返回人员管理、环境卫生治理等工作。用工单位要严格落实复工复产疫情防控要求，做好返岗员工登记报备并建立员工健康台账。实行“进出检”制度，做好员工日常体温检测和健康监测。
晨光午茶摘聞繪友分享閱讀觀,:法治故事：“地摊品”变脸如果突然有人告诉你，你花300块钱在街边买的一个摆件是一个价值连城的古董，甚至可以拍卖到300万元的高价，你会怎么想呢？家住重庆市的朱女士碰到了这种事情，那么她会相信吗？到底是有人真的慧眼识珠，还是故弄玄虚另有所图呢？http://t.cn/A67pYVG6
希子_德庆卓玛,:2020年3月2日重庆市新冠肺炎疫情情况http://t.cn/A67XD45J
綦江微发布,:好消息！綦江纳入低风险区县关于调整有关区县新冠肺炎疫情分区分级等级的通知各区县（自治县）新冠肺炎疫情防控工作领导小组，市政府各部门，有关单位：根据目前疫情形势变化，按照《重庆市新冠肺炎疫情分区分级分类防控实施方案》确定的分区分级标准，经市新型冠状病毒肺炎疫情防控工作领导小组同意，决定对部分区县（自治县，含开发区，以下统称区县）分区分级等级进行调整。一、将北碚区、綦江区、潼南区、荣昌区、重庆经开区、铜梁区等6个区县纳入低风险区县。二、将巴南区纳入中风险区县。三、其他区县分级分区等级不变。各区县要继续按照分区分级防控工作要求，统筹做好疫情防控和经济社会发展工作。重庆市新型冠状病毒肺炎疫情防控工作领导小组2020年3月2日
我和我喜欢的aq,:《王俊凯_百度百科》王俊凯，1999年9月21日出生于重庆市，中国内地流行乐男歌手、影视演员、TFBOYS队长。2010年底，加入TF家族。2012年2月，通过网络翻唱歌曲《囚鸟》走进大众视野。2013年8月6日，与王源、易烊千玺组成组合TFBOYS正式出道，王俊凯担任组合队http://t.cn/AisVFBA7
摆小棒,:重庆市绿洲
·我的男孩大红大紫·,:#共战疫情渝你同在#予人为乐，与己而乐。我在“抗击疫情，重庆“雄起”！”项目捐款成功！@重庆市慈善总会抗击疫情，重庆“雄起”！
建筑业-常文杰,:『《2020年重庆市勘察设计工作要点》』《2020年重庆市勘察设计工作要点》
辜友陈博客,:3月2日，重庆市政府新闻办举行新冠肺炎疫情防控工作例行新闻发布会。重庆市疾控中心专家、流行病学博士宿昆对相关病例进行通报。
墨之趣于黑白中,:2020年3月3日重庆市新冠肺炎疫情情况http://t.cn/A679Txm2
斯洛尼维格白酒,“用一种植物形容丁程鑫”哈哈哈哈哈哈哈哈哈的哈哈哈哈哈没想到场面逐渐失控，我的笑点卡focus小丁的表情上了！！！请团里唯一的成年哥哥好好享受来自弟弟们疯狂输出的夸赞吧！！！追星PD的微博视频
大渡口发布,#重庆市政府新闻发布会#【“湖北所需、重庆所能”，全力支援湖北抗击新冠肺炎】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍了重庆支援湖北的相关情况。人员方面。重庆有18批1636名队员支援湖北，其中812名队员在孝感。除此，武汉、荆门、天门等地都有重庆的队员。物资方面。市卫健委向医疗队员调拨医疗物资24.44万件，生活物资有12.41万件，向湖北孝感紧急支援了ECMO等关键设备。调集重庆的爱心血液52.35万毫升。
大渡口发布,#重庆市政府新闻发布会#【重庆企业复工复产水电气有哪些优惠？实行“三降低一减免”】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，涉及企业复工复产水电气等的政策主要有“三降低一减免”。“三降低”，即降低用电的成本、降低用水的成本、降低用气的成本；“一减免”，即减免部分电费，预计可降低企业用电用水用气成本约14.5亿元。
大渡口发布,#重庆市政府新闻发布会#【精准开展政策辅导，多举措确保政策落地】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市税务局副局长姚朝智介绍，为保证政策的落实，市税务局主要做了以下几方面工作：●精准开展政策辅导。市税务局及时梳理了阶段性新政策，和现行有效老政策，发布了支持疫情防控的税费政策指引，编写了政策操作问答四期，通过电子税务局、12366纳税服务热线、微信、网站等向纳税人实时推送。●最大限度便利政策享受。除延期缴纳税款（属于行政许可）和中小困难企业申请房产税、城镇土地使用税减免（属于税收核准）这两项外，其它的政策都按照“纳税人自行判别、申报享受、相关资料留存备查”的方式办理。●持续加强政策效应分析。定点联系企业，分户确定税务联络员，市、区（县）两级税务机关分别组建定点联系企业团队，及时了解企业困难，跟踪分析评估各项税费政策执行效应，快速响应企业涉税诉求及意见建议。
大渡口发布,#重庆市政府新闻发布会#【专项再贷款+专用再贷款，重庆两贷款政策“加持”助力复工复产】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场）。发布会上，人行重庆营管部副主任王江渝就人行重庆营管部牵头的两项再贷款政策作简要解读。一、疫情防控重点企业专项再贷款。专项再贷款，用于支持金融机构向相关直接参与防疫的重点医用物品和生活物资的生产、运输和销售的重点企业提供优惠利率信贷支持。专项再贷款执行优惠利率，目前为1.55%，并相应要求银行向重点企业发放的贷款利率不得高于最近一期一年期LPR减100个基点（目前为3.05%），同时财政给予50%的贴息。二、专用再贷款政策。金融机构使用再贷款专用额度贷款利率上限为最近的一年期LPR加50个基点，目前为4.55%。支农再贷款的使用投向主要是支持脱贫攻坚、春耕备耕、养猪等禽畜养殖、县域小微企业复工复产等领域；运用支小再贷款专用额度的资金投向用途为普惠小微企业贷款，重点支持受疫情影响较大的外贸、制造业、旅游娱乐、住宿餐饮、交通运输等行业的小微企业和个体工商户。
长安号官微,:#西安抗疫最前线##关注新冠肺炎#【重庆连续7日无新增确诊病例，昨日出院19例】2020年3月2日0—24时，重庆市无新冠肺炎新增确诊病例报告，新增治愈出院病例19例。截至3月2日24时，重庆市现有在院确诊病例101例（其中重型病例7例、危重型病例2例），累计死亡病例6例，累计治愈出院病例469例，累计报告确诊病例576例。累计追踪到密切接触者23592人，已解除医学观察23235人，尚有357人正在接受医学观察。（人民日报）
大渡口发布,#重庆市政府新闻发布会#【“支持企业40条”中续贷续保的政策，如何操作看这里】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），会上，金融监管局副局长金勇杰介绍了“支持企业40条”中的续贷续保政策的具体操作流作。●对于受疫情影响困难中小微企业（含个体工商户和小微企业主），可向贷款银行提出延期支付本金利息、免收罚息的申请，银行金融机构接到申请后，在平等协商、达成一致的前提下，双方按照《合同法》《商业银行法》完善相应的合同及协议等相关手续，即可办理，还本付息日期最长可延至2020年6月30日。●对于2020年6月30日前到期且单户贷款规模1000万元以下的困难小微企业（含个体工商户和小微企业主）可向原贷款银行提出申请，贷款本金最长可展期6个月，利息可最长可缓期6个月支付，展期期间不视为逾期贷款，也不应加收罚息。●对于在贷款时有融资担保公司提供担保的中小微企业，除了银行外，还需融资担保机构同步配合办理续保，才能实现展期续贷。企业（含个体工商户和小微企业主）通过经办银行提出申请，经银行机构审核同意后将符合条件的企业推送融资担保机构审核，各融资担保机构与企业共同完善续保法律文书，配合银行做好同步续保工作，并缓收担保费。
sunyi123321,#重庆市政府新闻发布会#【速看！“渝康码”明确使用场景在这些地方】今（2）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十七场），市大数据发展局党组成员、副局长景根元介绍：根据《关于规范使用“渝康码”的通知》通知，对各类场所推广应用提出了明确要求。1.企业复工人员。各类企业应全面使用“渝康码”，实现员工上岗健康数据采集，市属国有企业要率先普及使用。2.住宅小区。管理工作人员要对居民实行“扫码”和测温管理，实时掌握居民动态健康信息，发现异常情况及时报告处理。3.公共场所。商贸门店、办公楼宇、机场、火车站、港口码头、长途客运站、出租车、网约车、高校、医疗机构等人流量较多的，要实行“亮码”和测温管理。4.办理健康证明。外出务工人员可在“渝康码”上申办线上《健康证明》，与《关于做好外出务工人员健康申报证明的通知》规定的纸质《健康证明》具有同等效力。5.外出务工人员。已申请“渝康码”的个人前往与重庆市互认健康码的省市，可实现包括健康证明在内的有关健康信息互认。
巴南气象,:【重庆市巴南区预警信息发布中心】巴南区气象局2020年3月3日22时50分发布“大雾黄色预警信号”：预计3日23时到4日12时，我区部分地区将出现能见度小于500米，局地小于200米的大雾，请注意预防大雾天气可能造成的危害。
改个什么名字好呢呢呢呢呢呢呢呢,#重庆寻狗[超话]##寻狗启示#@狗bot@重庆流浪狗送养专场@重庆小动物保护协会求转发❗❗❗求扩散❗❗❗小金毛拾五19年由于腹水而流浪后大家拉群捐款救助。好转后被人领养，当大家都以为拾五的幸福生活就要开始的时候…令人悲痛的是领养人在将拾五带回家几个月后，就将它再次抛弃😭😭😭十二月份大概被遗弃在重庆市西门老交警队附近。群里关心拾五的人联系不到领养人，也是最近才知道它又被遗弃，大家都很难过，它还小确遭遇了一次又一次变故😭希望好心人可以提供线索帮帮我们帮帮拾五🐶http://t.cn/A67aUawy
重庆潼南法院,:#共同战疫法院在行动#【潼南法院开始全面使用“渝康码”】为落实疫情防控工作任务，重庆市潼南区人民法院根据相关文件精神，于3月2日开始全力推进使用“渝康码”工作，严格按照“一人一码，凭码进院”的工作要求，对所有进出法院人员实行扫描个人“渝康码”和测量体温管理。
泸州网警巡查执法,:#抗击疫情公安在行动#【网警行动丨病毒？病毒！（二）】重庆市公安局网安总队和内蒙古兴安盟公安局网安支队近期分别接到线索通报，发现有人将恶意木马程序伪装成跟新冠肺炎疫情相关的文件进行传播，以此获取他人计算机控制权限。当前，我国抗击疫情阻击战正如火如荼，这些木马利用全国人民对疫情的严重关切，实施网络攻击，窃取公民信息，并为网络诈骗等犯罪提供生存土壤，性质恶劣，后果严重，影响极坏。对此类违法犯罪，公安机关网安部门将依法查处，严惩不贷。#抗击新型肺炎第一线##抗击新型肺炎我们在行动#http://t.cn/A67pGncQ
重庆晚报,:#重庆快新闻#【我市血液中心多项措施保障采血工作，为湖北抗疫捐血近53万毫升】今年新冠肺炎疫情暴发以后，重庆市血液中心的采血工作受到了较大的影响。因为街上的人少了，献血车、献血方舱和固定献血点都无人问津，我市各采供血机构的血库都出现了供应紧缺。危急时刻，市血液中心围绕“一手抓疫情防控、一手抓血液保障”的工作思路，通过精准招募、电话预约、上门服务等措施保障了采血工作。截止目前为止，重庆各采供血机构分3批次将2602袋、近53万毫升重庆市民的“热血”交付给此次疫情的最前线湖北，有力支援了抗疫工作。http://t.cn/A67pb3S2
毋说涛坪井抬三梅田晴且,:重庆市财政局发布《重庆市财政局关于拨付重庆长安汽车股份有限公司2012年工业稳增长专项资金的通知》……【长安汽车获重庆市补贴资金5900万元】日期，根据考核目标完成情况……长安汽车公告称……12月8日！该笔补贴资金将计入当期损益！该公司已收到重庆市财政局拨付的财政补贴资金5900万元http://t.cn/Rys2O7h
华龙网,:#抗击疫情重庆行动#【渝医Audiolog⑦丨“满月”】今天一大早就有好消息，3名患者治愈出院了！他们还录了小视频感谢一线的医护队员，有一位患者说的话让我特别感动，他说：“这26天来特别感谢所有的医护人员，看到你们每天辛苦的身影，有时候我默默地流泪。剩下的朋友们，你们好好加油！都会好起来的......”重庆市急救医疗中心/重庆大学附属中心医院第一批支援湖北医疗队队长、呼吸内科副主任医师杨晓娟记录了怎样的抗疫故事？一起来看http://t.cn/A67pUIq7
重庆法制报,:【疫情当前，重庆“云”法院给这个医院批了1.07亿】2020年伊始，新型冠状病毒感染肺炎疫情暴发，重庆市三级法院大力推行互联网办案，依托重庆智慧法院的“易诉”“易审”“易解”“易达”“法智云”等平台，为当事人在疫情期间的在线诉讼提供了一系列的“云操作”。“云攻略”：足不出户打官司“新型冠状病毒感染肺炎疫情防控期间，为了保护您及家人身体健康，如果需要在重庆法院办理诉讼和信访事务，建议首选通过网络办理。”2020年2月2日，重庆市高级人民法院官方微信号的一条推送《足不出户也能打官司！攻略来了》刷爆朋友圈。有网友留言称：“这是一个非常‘健康’又方便群众的好办法！高！”这份攻略将网上立案、网上缴费、网上提交证据、网上文书送达、网上审判流程信息查询、网上申诉信访等操作流程，以图文并茂的方式展现出来，为当事人和律师在疫情防控的关键时期如何开展网上诉讼指明了方向。“为了让当事人在线上顺利办理各项诉讼事务，我们费了不少心思。”重庆高院立案一庭审判员黄新木告诉记者，他和同事们积极筹备，收集整理了《易诉平台操作流程》《易解平台在线调解操作手册》《重庆移动微法院操作流程》《中国审判流程信息公开微信公众号和小程序演示动画》等材料，并多次联系相关技术公司确认平台各项功能。为了方便老百姓阅读、理解，黄新木和宣传处工作人员吴辉几易其稿，将冷冰冰的文字转为图文并茂的攻略，为老百姓在家中办理网上立案、网上申诉信访等事项提供了具体形象的图文指导。据统计，自节后上班以来，重庆市三级法院累计审核网上立案申请9410件，受理调解申请2938件，网上开庭556件，网上调解500件，累计接听12368及诉讼服务电话咨询18868个，通过微信为百余名当事人、律师提供网上立案技术支持。“云立案”：跨域立案更方便“在疫情这么严重的特殊时期，谢谢你们为农民工办了大实事！”2月13日，巫溪县人民法院立案庭接到了当事人汤某打来的致谢电话。1月26日，汤某给巫溪法院立案庭打来求助电话。原来，汤某在海南省万宁市某工地上务工时受伤，万宁市劳动人事仲裁委员会裁决驳回了汤某的仲裁请求。汤某于1月21日收到仲裁裁定书，按照规定，他必须在2月5日前向万宁市人民法院提交诉讼材料，否则将超过诉讼时效。但当前正值疫情防控的关键时期，交通不便、快递停运、法院延迟上班，这让汤某焦急万分。接到电话后，巫溪法院立案庭工作人员立即登录跨域连平台，联系了万宁法院立案庭，得知万宁法院将于2月3日上班。于是，2月3日，巫溪法院立案庭再一次联系万宁法院，通过跨域立案平台向其提交材料。但因网络不畅，多次传送失败，立案庭工作人员又联系了重庆高院，几经辗转，当天下午，汤某的立案材料终于提交至万宁法院，并最终成功立案。“云审判”：隔空审判化解纠纷2月11日下午，在潼南区人民法院215办公室内，身着法袍、戴着口罩的女法官刘芯妍和书记员一起，与当事人进行了一场“零接触式”的隔空庭审。这是一起探望权纠纷案。原告明某与被告何某原系夫妻关系，双方婚后生有一女。二人离婚后，何某将女儿带回潼南区抚养，明某每月给付抚养费。明某数次前往潼南探视女儿，并欲将女儿带去外地玩耍，但何某以不利于女儿成长为由，拒绝明某的要求，双方因此发生纠纷。1月6日，明某诉至潼南区法院，请求判决何某协助明某行使探视权。被告身在潼南，原告远在四川，当事人到法院开庭存在一定风险。在征求双方当事人同意后，刘芯妍专门建立了一个QQ群，远程开庭审理该案。庭审中，分处四地的法官、原告、被告、双方诉讼代理人和被告的证人依托在线视频实时对话，规范有序地完成核对当事人信息、法庭调查、法庭辩论和最后陈述等法定程序。庭审在30分钟内就顺利结束，并进行了全程同步录音录像。庭审结束后，刘芯妍立即拟写法律文书，于2月12日再次视频连线双方当事人，对该案进行公开宣判：明某每年寒假与女儿一起生活7天，暑假生活10天，由何某予以协助。随后，判决书以网络电子送达方式送达给了双方当事人。“云执行”：解冻资金助战“疫”“感谢重庆高中两级法院及时高效为我们办理解冻，这下抗疫资金有保障了！”2月14日，重庆医科大学附属第三医院（以下简称“重医大附三院”）相关负责人激动地对重庆市第一中级人民法院执行法官表示感谢。此前，重庆一中院依申请人申请冻结了重医大附三院1.07亿元涉诉资金。疫情暴发以来，重医大附三院成为了渝北区仅有的两家新冠肺炎医疗救治定点医院之一，还派出了医疗专家赴鄂援助。抗疫工作使得该院资金极度紧张，亟须现金购买抗疫设备物资及支付医护人员工资报酬。情急之下，重医大附三院向法院提出申请，以自有相应价值的医疗设备作为担保，申请置换账户资金投入抗疫工作。特事特办！由于该案已经上诉至重庆高院，正在二审审理过程中，重庆一中院迅速将申请资料通过网络报送重庆高院。重庆高院当即作出裁定，依法指定重庆一中院办理此事，并通过网络视频对案件办理进行指导。经过网络专题会研究讨论，法院认为疫情系突发重大卫生安全事件，重医大附三院作为医疗救治定点医院，承担着特殊任务，其申请符合法律规定，应予支持。在综合评估重医大附三院提供的医疗设备购买价格、折旧、变现等因素及医院短期资金缺口情况，并兼顾保全申请人权利的基础上，法院准予对重医大附三院部分被冻结银行存款4043万元予以解除冻结。裁定作出当日，重庆一中院执行干警立即赶到银行完成解冻工作，医院的防疫工作及时得到了资金支持。“云调解”：及时兑现合法权益“感谢法院在非常时期能为我主持公道！”2月14日，身在四川省邻水县的杨某通过视频向重庆市第五中级人民法院法官表达了感谢。杨某是一起劳动争议纠纷案件的当事人，在四川某建设公司承建的重庆市南岸区某项目工地从事焊工工作。2019年4月，杨某在工作时受伤，经认定属工伤，且达到九级伤残。为了及时保护杨某受工伤后应享有的合法权益，不让公平正义因疫情而迟延兑现，该案承办人、重庆五中院民四庭法官苏渝在征得双方当事人同意后，决定利用互联网法庭及时审理该案。2月14日，苏渝和身处邻水的杨某、身处成都的用人单位代理人赖某一起登录互联网法庭。在听取双方当事人充分发表的诉辩意见后，苏渝发现双方的分歧并不大，遂立即组织双方进行调解，最终成功促成当事人达成了调解协议，由四川某建设公司支付杨某各项工伤保险待遇共计13.5万元。“云听证”：网上听证秩序井然2月17日，刚成立不久的重庆破产法庭首次通过互联网法庭进行听证，审查伏某对重庆某医药股份有限公司的破产清算申请。当天上午，伏某本人及公司部分股东的委托代理人以网络视频方式参加听证，该公司经公告传唤未有代表参加听证。法庭听取了伏某的申请理由和公司股东意见，通过网络视频出示质证了当事人所举证据，调查询问了相关案件事实，尤其调查了公司目前的经营情况及是否与疫情防控有关，并听取了各方最后陈述意见。听证结束，法庭决定由合议庭评议后再作出裁定。整个过程秩序井然，音质画质流畅清晰，信息传输到位。“云服务”：在线诉讼全面推行2月21日，重庆高院、重庆市司法局和重庆市律师协会联合发出《关于全面推行在线诉讼服务充分保障当事人诉讼权利的通知》（以下简称《通知》），明确了将在疫情防控期间以及今后一个时期全面推行在线诉讼服务工作。“这个《通知》下发，为重庆广大法官、律师、基层法律服务工作者和案件当事人在线参与诉讼活动，提供了指引。”重庆高院相关负责人告诉记者，当事人足不出户即可完成立案申请、诉讼交费、参与调解、证据交换、远程庭审、文书送达等诉讼事项。为保证网上庭审的质量，《通知》还对线上一系列的操作规程进行了细化：在线庭审活动一律以在线视频方式进行，不得采取书面或者语音方式。要通过语音识别技术同步生成庭审电子笔录，由审判人员、法官助理、书记员、当事人及其他诉讼参与人等在线确认，确保在线庭审活动效力。在线庭审中法官一般应当在法庭内；确需在其他场所在线开庭的，应当报请本院院长同意，并保证开庭场所庄重严肃、庭审礼仪规范。在线庭审应当遵循诉讼法律及司法解释的相关规定，充分保障当事人申请回避、举证、质证、陈述、辩论等诉讼权利……据介绍，这份全面推行在线服务的《通知》仅是重庆高院为应对疫情下发的众多文件中的一份。自疫情暴发以来，重庆高院接连下发了《关于疫情防控期间诉讼服务和申诉信访工作的通知》《关于严惩危害疫情防控犯罪行为的通知》《关于疫情防控期间办理保全查封工作的通知》《关于做好疫情防控期间破产审判工作的通知》《关于为依法防控疫情与经济社会平稳发展提供司法保障的意见》等一系列文件，并与市检察院、市公安局、市司法局联合发布《关于依法严惩妨害新型冠状病毒感染肺炎疫情防控违法犯罪的通告》《关于依法惩治妨害新型冠状病毒肺炎疫情防控违法犯罪的实施意见》。“疫情当前，重庆法院将继续一手抓防控，一手抓审判，两手都不能软，为打赢疫情防控阻击战提供强有力的司法保障和服务。”重庆高院负责人表示。@重庆高院
