孔家72代的,:舒口水总结就是到位，赞
旗木雪莉莉,【专家复盘：“不明原因肺炎”上报失灵的背后】疫情之后的总结反思十分重要，其中首当其冲的一个问题就是：疫情为什么没有更早一些时间引起高度重视？到底卡在了哪个环节？国家卫健委第二批专家组的一位专家称，当地提供给专家组的资料有限，很难判断出病毒有没有人传人的能力。临床医生被感染，是疾病人传人的敏感信号。1月1日至11日，武汉已有7名医务人员感染。可这样的情况为什么没有向专家组汇报？http://t.cn/A67OrgCT
会飞的小小天,#世卫组织新冠病毒源头尚不确定#湾湾的这个节目举证病毒源头是美国，有些意思的分析#美国加州出现第二例感染途径不明病例#张洲的微博视频
彦东闹市,:我的券商一下子冲上来了！！！舒服！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
彦东闹市,:炒股一定要保持一个好的心态，其次是要有自己的操作模式，两者加在一起，会觉的炒股非常的简单，好了不吹牛13了，面的又把指数吹下来了！！！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
我是靳光祥,:武汉不明原因的病毒性肺炎疫情病原体初步判定为新型冠状病毒从病人中发现病原的核酸、基因组和抗体证据，短期内可以完成。病原的分离和致病性鉴定等科学研究，则需要数周时间。针对一种新发病原体的特效药物和疫苗研发可能需要数年时间来完成。专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒，下一步需结合病原学研究、流行病学调查和临床表现进行专家研判。http://t.cn/AisCfxF6
彦东闹市,:【机构】维生素缺货严重价格直线上涨据悉，受疫情在海外扩散的影响，近期巴斯夫VA、VE、B2已全面缺货，国外客户反映其生产不正常，开始无法正常报价，现货市场异常紧张；VA、VE价格已连续跳涨。4日，VE市场价格涨至70-80元/公斤，VA涨至340-350元/公斤，VK3则涨至127-158元/公斤，生物素涨至360元/公斤。而一个月前的2月4日，VE报价还仅为52-65元/公斤，VA报价为305-315元/公斤，VK3报价为63-73元/公斤，生物素价格为165元/公斤。分析师表示，维生素除VC外，其他品种的主要下游为饲料，需求较为刚性，本身受疫情冲击较小。同时，维生素涨价有其背后的核心驱动因素，疫情只是影响了涨价幅度但不改涨价方向。目前，多个产品景气度向上且持续性较强，涨价幅度可能会超市场预期。不仅如此，供给端持续利好，供需不足矛盾将逐步凸显。目前维生素板块供给端呈现多重利好，供需缺口持续支撑产品价格向上。以VA为例，巴斯夫欧洲VA工厂仍维持较低的开工率且供给端受限可能贯穿整个2020年；VE方面，帝斯曼受朗盛间甲酚供应影响开工，能特科技受疫情影响工厂改造升级，其复产将低于之前的市场预期。最后，维生素产业链的库存当前也处于较低水平。分析师认为，随着库存的进一步去化，需求逐步向好，加上强力的政策支持、头猪高盈利以及近期研制成功的非洲猪瘟疫苗将持续助力需求回暖，维生素价格有望维持强势。#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
新闻深呼吸-舒口水,:【专家复盘：“不明原因肺炎”上报失灵的背后】疫情之后的总结反思十分重要，其中首当其冲的一个问题就是：疫情为什么没有更早一些时间引起高度重视？到底卡在了哪个环节？国家卫健委第二批专家组的一位专家称，当地提供给专家组的资料有限，很难判断出病毒有没有人传人的能力。临床医生被感染，是疾病人传人的敏感信号。1月1日至11日，武汉已有7名医务人员感染。可这样的情况为什么没有向专家组汇报？http://t.cn/A67OrgCT
李金明在鹤庆,:2007年，原卫生部修订印发了《全国不明原因肺炎病例监测、排查和管理方案》，其中明确规定，“各级各类医疗机构人员发现不明原因肺炎定义的病例后，应立即报告医疗机构。医疗机构在12小时内组织专家会诊和排查，仍不能明确诊断的，应立即填写传染病报告，注明‘不明原因肺炎’并进行网络直报”。显然，按照规定，任何不明原因肺炎病例均包括其中，申报主体与责任人是医疗机构。
新闻深呼吸-舒口水,:#两手硬两战赢#【直报系统和不明原因肺炎病例监测为什么都失灵】在中国的疾控体系里，并非只有一个直报系统，原卫生部从2004年起要求在全国范围内开展不明原因肺炎，即PUE的病例监测。PUE与传染病直报系统相联，医生可以通过PUE在直报系统中上报不明原因肺炎病例。虽然制度设计是好的，但执行中却出现了问题。原江苏省疾控中心主任、省卫生厅副厅长汪华表示，“临床医生在接诊时发现不明原因肺炎病人，按要求本应立即报告，但实际操作中没人管。医生都很忙，上报就意味着后续一系列登记填表、调查的工作要做，这对于他们是额外的负担。”http://t.cn/A67OT2CA
夏至华01,:刘远立：有这个可能。任何突发公共卫生事件的有效应对都是跟时间赛跑，一要发现及时，二要反应快速，三要措施得当。2019年12月底，包括张继先医生在内的有专业敏感和责任担当的临床医生就向武汉当地卫生行政部门上报了不明原因肺炎病例的发现。有迹象表明，新加坡、香港等国家和地区在2020年1月3日就已经发出了疫情预警。http://t.cn/A67OYLIt
刘伟律师_深圳,方方：“看到有些事情，瞬间就有进展。比方出狱女人奔到北京的事，比方李跃华无证行医的事。同样在疫情之中，处理起来无比快速。可他们想要的回答呢？比方，李文亮的事，已经调查了这么久，说法呢？”方方：你也要给我们大家一个说法（3月3日）
彦东闹市,:#今日看盘[超话]#在别开板了，给个面子！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
俏皮的紫,:专家复盘：“不明原因肺炎”上报失灵的背后专家复盘：“不明原因肺炎”上报失灵的背后
彦东闹市,:巴菲特再次出手达美航空，上一次暴跌出售的苹果，赚了一倍多！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
高悟琴,发表了博文《老何偶感：若干回放与一缕反思》老何偶感：若干回放与一缕反思问题：几个中国公知如此急狂给米国洗地，是要掩盖下面这一系列故事吗？不久以前新闻披露美国去年曾经发生了如下一个令人毛骨悚然的意外事件老何偶感：若干回放与一缕反思
彦东闹市,:#今日看盘[超话]#现货黄金大涨，俺的黄金今天能不能表现一下！！😁#日本新冠肺炎确诊人数达737人##今日看盘[超话]##武汉发现不明原因肺炎#
打造不煩品味,:韓國人上廁所不愛洗手！所以跟韓國人握手要小心#武汉发现不明原因肺炎#
比忧,:牛还是我们西班牙牛，2月13日出现不明原因的肺炎死亡病例都不往新冠身上想一想
首都爱心团,:【专家复盘：“不明原因肺炎”上报失灵的背后】1月9日早7点，中国疾控中心首席流行病学家曾光坐上北京飞武汉的飞机。因在武汉只待了一天，曾光没有参与现场调查。在地方给包括他在内的专家的汇报中，他听到的是武汉已隔离多少人，密切接触者中没有出现感染者，感染者病症不是太重，和季节性流感差不多……“我们得到的都是这样的信息。”回忆起那次经历时，曾光拍着桌子问，“那时我哪知道还有个李文亮，还有张继先?”更多详情→http://t.cn/A67Cg9Ud
李茁贤,现在中国抗疫进入收官，全球一片哀嚎。我们这时候除了安抚伤痛，总结经验，反思不足，还应该痛快的幸灾乐祸。当然不是幸中国的灾乐外国的祸，而是幸公知的灾乐恨国党的祸。他们一个月前把中国措手不及时应对的不完美污蔑成人祸，诋毁国家有多疯狂，今天我们就应该多么高兴用外国的溃败来抽他们的嘴。
西西福厮,现在中国抗疫进入收官，全球一片哀嚎。我们这时候除了安抚伤痛，总结经验，反思不足，还应该痛快的幸灾乐祸。当然不是幸中国的灾乐外国的祸，而是幸公知的灾乐恨国党的祸。他们一个月前把中国措手不及时应对的不完美污蔑成人祸，诋毁国家有多疯狂，今天我们就应该多么高兴用外国的溃败来抽他们的嘴。
chinappx,:难过『专家复盘：“不明原因肺炎”上报失灵的背后』http://t.cn/A67NYbii
zpf92,【专家复盘：“不明原因肺炎”上报失灵的背后】#周刊君与你共同战疫#中疾控传染病预防控制所病毒学家、复旦大学上海市公共卫生临床中心兼职教授张永振领导的团队于2019年12月26日收到来自武汉的不明原因发热患者标本一份。1月5日上午，他们从标本中检测出一种新型冠状病毒，获得了该病毒的全基因组序列。上海公卫临床中心在同日向国家卫健委提交了一份病原学调查报告。报告指出：鉴于该病毒与造成SARS疫情的冠状病毒同源，应是经呼吸道传播，建议在公共场所采取相应的防控措施以及在临床救治中采用抗病毒治疗。但这份报告似乎并未起到什么作用。从第二天，即1月6日开始，到1月10日，武汉市卫健委均未作疫情通报。与此形成对照的是，早至1月4日，香港特区政府便对不明原因肺炎启动了“严重”级别应变，尽管当时该地怀疑病例只有7例。“是公共卫生系统出问题了。”曾光告诉@中国新闻周刊，“不是流行学调查没调查好，也不是病毒不该研究，也不是不该发论文。这些信息都报上去了，怎么及时转化成防控行动？陈国强等人则指出，地区决策者是公共卫生事件中的指挥主体，需要第一时间组织专家团队提供决策建议。武汉作为国内临床医疗、公共卫生及病毒研究最豪华的专业阵容所在地，此次专业团队在当地政府早期疫情判断及应对决策过程中的作用似乎没有得到最大发挥，是需要深入思考与反省的。李立明强调，基本的公卫知识和观念非常重要。“呼吸道传染病，怎么可能不出现人传人？只是时间早晚的问题，不应该出现‘有限的人传人’这种说法。如果全社会都有一些基本共识，早期防控不应该是这样。”http://t.cn/A67SFamO
纽约好吃不,:昨天好玩君介绍了全球疫情升级，以及美国出现数起不明原因的确诊，并且全美第一例新冠肺炎死亡的消息
玉泉溪_,:《专家复盘：“不明原因肺炎”上报失灵的背后》（2月6日下午，一辆运送医疗设备和工作人员的车辆抵达武汉火神山医院。摄影/长江日报陈卓）…（分享自@凯迪网络）点击链接查看详情分享链接http://t.cn/A67K1Ejp
Zhangchangming,:#腾讯新闻#专家复盘：“不明原因肺炎”上报失灵的背后http://t.cn/A67NufzL来自@腾讯新闻
柔板66,:『专家复盘：“不明原因肺炎”上报失灵的背后』http://t.cn/A67NYbii
糊涂虫460,:分享网易新闻《专家复盘：“不明原因肺炎”上报失灵的背后》专家复盘：“不明原因肺炎”上报失灵的背后来自@网易新闻客户端#网易新闻#你们这些领导，砖家，院士都没有错，是病毒太狡猾。
掌印给事中,:临床医生在接诊时发现不明原因肺炎病人，按要求本应立即报告，但实际操作中没人管。医生都很忙，上报就意味着后续一系列登记填表、调查的工作要做，这对于他们是额外的负担。专家复盘：“不明原因肺炎”上报失灵的背后
网易财经,:#新型冠状病毒感染肺炎#【专家复盘：“不明原因肺炎”上报失灵的背后】1月8日晚，作为中国疾病预防控制中心（CDC）首席流行病学家，曾光突然接到国家卫健委通知，要求他尽快去一趟武汉。次日早上7点，他就坐上了从北京飞往武汉的飞机。因在武汉只待了一天，曾光没有参与现场调查。在地方给包括他在内的专家的汇报中，他听到的是武汉市已经隔离了多少人，密切接触者中没有出现感染者，感染者病症不是太重，和季节性流感差不多……“我们得到的都是这样的信息。”在向《中国新闻周刊》回忆起那次经历时，曾光拍着桌子问，“那时我哪知道还有个李文亮，还有张继先？”即便是基于这样的信息，出于SARS时期的经验，曾光还是建议当地要把感染者完全隔离，疑似病人不但要收治进医院，还要一人一个单间，密切接触者要集中隔离，这是防控要点。但在当时，武汉并没有采纳这样的措施。http://t.cn/A67NYbii
Gun神-现,:一、新型冠状病毒肺炎知识Q：什么是新型冠状病毒？A：从武汉市不明原因肺炎患者下呼吸道分离出的冠状病毒，为一种新型冠状病毒，世界卫生组织命名2019-nCoV。Q：哪些人容易感染新型冠状病毒？A：人群普遍易感。新型冠状病毒感染的肺炎在免疫功能低下和免疫功能正常人群均可发生，与接触病毒的量有一定关系。对于免疫功能较差的人群，例如老年人、孕产妇、存在肝肾功能异常、有慢性病人群，感染后病情更重。Q：新型冠状病毒的传播途径有哪些？A：主要传播方式是经呼吸道飞沫传播，也可通过接触传播（飞沫或其他带病毒体液沉积在物品表面，手接触污染后，再接触口腔、鼻腔、眼睛等粘膜，导致感染）。从一些聚集性病例的发病关联次序判断，人传人的特征十分明显，且存在一定范围的社区传播。Q：什么是密切接触者？A：密切接触者指与疑似病例、确诊病例、轻症病例，无症状感染者（检测阳性）有过共同生活或工作，但未采取有效防护者。接触情形包括与办公室的同事、同一教室、宿舍的同学接触、同机、同乘出租车、同乘电梯等，以及病毒感染患者的陪护、诊疗。#梅仲明医生因新冠肺炎去世#http://t.cn/RDUBkfz
懂生活的猫,:『专家复盘：“不明原因肺炎”上报失灵的背后_手机新浪网』专家复盘：“不明原因肺炎”上报失灵的背后
蓝梦陈永刚,:【中国新闻周刊】（2月6日下午，一辆运送医疗设备和工作人员的车辆抵达武汉火神山医院。摄影/长江日报陈卓）1专家复盘：“不明原因肺炎”上报失灵的背后http://t.cn/A67N5FX9
和鴻观道,:『专家复盘：“不明原因肺炎”上报失灵的背后』专家复盘：“不明原因肺炎”上报失灵的背后
我不爱吃鱼子酱,:#武汉通报不明原因肺炎情况##全国确诊新型肺炎病例#对比一下真心酸
狼群里的老羊,:#搜狐资讯#《到底是谁最先去招惹了新冠病毒？是谁打开了潘多拉魔盒？一文读懂》自2019年底湖北武汉陆续发现不明原因肺炎后，这场以新型冠状http://t.cn/A67CkFK1
大河报,:【专家复盘：“不明原因肺炎”上报失灵的背后】1月9日早7点，中国疾控中心首席流行病学家曾光坐上北京飞武汉的飞机。因在武汉只待了一天，曾光没有参与现场调查。在地方给包括他在内的专家的汇报中，他听到的是武汉已隔离多少人，密切接触者中没有出现感染者，感染者病症不是太重，和季节性流感差不多……“我们得到的都是这样的信息。”回忆起那次经历时，曾光拍着桌子问，“那时我哪知道还有个李文亮，还有张继先?”更多详情→http://t.cn/A67Cg9Ud
少年游1,:专家复盘：“不明原因肺炎”上报失灵的背后专家复盘：“不明原因肺炎”上报失灵的背后
彦东闹市,:收评收在10日线上面，嘛毛病都没有，明天继续嗨！！！今天买进了工程机械，建设机械，买进了医疗保健艾德生物#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎#
彦东闹市,:收评收在10日线上面，嘛毛病都没有，明天继续嗨！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎#
彦东闹市,:买进了工程机械！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎#
时代傲虎2000981535,:专家复盘：“不明原因肺炎”上报失灵的背后专家复盘：“不明原因肺炎”上报失灵的背后
北斗一号虚拟实验,:专家复盘：“不明原因肺炎”上报失灵的背后～武汉作为国内临床医疗、公共卫生及病毒研究最豪华的专业阵容所在地，此次专业团队在当地政府早期疫情判断及应对决策过程中的作用似乎没有得到最大发挥，是需要深入思考与反省的。曾光说，如果决策者缺乏专业知识，专业人士的建议可能也是徒劳。李立明强调，基本的公卫知识和观念非常重要。“呼吸道传染病，怎么可能不出现人传人？只是时间早晚的问题，不应该出现‘有限的人传人’这种说法。如果全社会都有一些基本共识，早期防控不应该是这样。”http://t.cn/A67S12ow
敲种人steven,:疾控中心首席专家曾光指责防控系统和决策延误等重大问题！//专家复盘：“不明原因肺炎”上报失灵的背后专家复盘：“不明原因肺炎”上报失灵的背后
荷生88,:专家复盘：“不明原因肺炎”上报失灵的背后“如果决策者缺乏专业知识，专业人士的建议可能也是徒劳”专家复盘：“不明原因肺炎”上报失灵的背后
沙丘古城李金祥,:山东省卫生健康委员会官方公众号“健康山东”发布山东省新冠肺炎疫情分区分级表。全省共125个县（市、区）为低风险地区，聊城八个县市区均为低风险地区。青岛市市南区等12个县（市、区）为中风险地区。风险等级每周调整一次，发生突发聚集性疫情或不明原因社区传播疫情时随时调整。山东省新冠肺炎疫情分区分级表（2020年3月1日）按照中央《关于科学防治精准施策分区分级做好新冠肺炎疫情防控工作的指导意见》：低风险地...http://t.cn/A679enIn
彦东闹市,:#今日看盘[超话]#诚迈科技可不可以追？答：去翻一下历史十倍大牛股，有几个，被套的现在都没出来！！！不要去趟这个浑水！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#$诚迈科技sz300598$
江苏光风霁月,:¡¾专家复盘：“不明原因肺炎”上报失灵的背后|疫情|传染病|新冠肺炎_新浪新闻¡¿原标题：专家复盘：“不明原因肺炎”上报失灵的背后这些信息都报上去了怎么及时转化成防控行动？1月8日晚，作为中国疾病预防控制中心（CDC）首席流行病学家，曾光突然接到国...专家复盘：“不明原因肺炎”上报失灵的背后
彦东闹市,:#今日看盘[超话]#买到了吗！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#$杭钢股份sh600126$
彦东闹市,:#今日看盘[超话]#赚钱的出来扣个666#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
涧清渊浊,:【中国新闻周刊|专家复盘：“不明原因肺炎”上报失灵的背后】3月2日，《中国新闻周刊》发表了一篇文章，题目是《专家复盘：“不明原因肺炎”上报失灵的背后》。这篇文章被新浪等各大网络媒体转载。该文章谈的是这次武汉发现的“不明原因肺炎”最初上报后为什么没有了结局。这个问题其实在之前已有一些文章做了梳理。文章探究的依然是：是什么原因致使这次疫情的发布被推迟了一段时间......http://t.cn/A679tRyfhttp://t.cn/A679tRyb
韩城土豆,:专家复盘不明原因肺炎上报失灵的背后专家复盘不明原因肺炎上报失灵的背后
彦东闹市,:能不能来个板！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
彦东闹市,:这样的行情尽量别做短线，会损失很多利润，尽量找好股，捂着！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
拜托了东宫老师,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
新浪山东德州频道,:经组织省专家组研判，以县域为单位进行新冠肺炎疫情风险等级评估，济南市历下区等125个县（市、区）为低风险地区，青岛市市南区等12个县（市、区）为中风险地区。风险等级每周调整一次，发生突发聚集性疫情或不明原因社区传播疫情时随时调整。山东省新冠肺炎疫情分区分级表
失落的牛虻,:专家复盘：“不明原因肺炎”上报失灵的背后“针对新发传染病，2004年12月对《传染病防治法》进行了修订，在需要上报的传染病范围一项，增加了“或者发现其他传染病暴发、流行以及突发原因不明的传染病”内容。新发传染病可以通过直报系统下的子系统“突发公共卫生事件报告系统”上报”http://t.cn/A67owEDv
彦东闹市,:重仓了医疗保健！！！猜猜是那只股！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
东辉1972,:【中国新闻周刊】（2月6日下午，一辆运送医疗设备和工作人员的车辆抵达武汉火神山医院。摄影/长江日报陈卓）1专家复盘：“不明原因肺炎”上报失灵的背后http://t.cn/A679wLzj
邹明微亮时光,:内幕一个一个揭开，教训无不深刻，本不该现在的样子，但却成了现在的样子！#凤凰新闻#分享凤凰新闻：专家复盘不明原因肺炎上报失灵的背后专家复盘不明原因肺炎上报失灵的背后来自@凤凰新闻客户端
彦东闹市,:再次站上3000点，大霄千万别出来发生！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
中华龙会,:【中国新闻周刊】（2月6日下午，一辆运送医疗设备和工作人员的车辆抵达武汉火神山医院。摄影/长江日报陈卓）1专家复盘：“不明原因肺炎”上报失灵的背后http://t.cn/A67KdBzX
Dhl好好生活,:《专家复盘：“不明原因肺炎”上报失灵的背后》1月8日晚，作为中国疾病预防控制中心首席流行病学家，曾光突然接到国家卫健委通知，要求他尽快去一趟武汉。http://t.cn/A67KnjYh
自由lear,:『专家复盘：“不明原因肺炎”上报失灵的背后_手机新浪网』专家复盘：“不明原因肺炎”上报失灵的背后
积数资产,:不作为官僚主义这次疫情向社会展示了中国社会的痛点和短板，也推动了社会的共识，明确了未来改革的方向，以最大的决心推动政府治理体系的改革吧，也不辜负了这么巨大的代价。#腾讯新闻#专家复盘：“不明原因肺炎”上报失灵的背后http://t.cn/A67KEFCd来自@腾讯新闻
彦东闹市,:#今日看盘[超话]#美股暴涨1200的多点！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
李伟平126,:论文都首先去外国发表，正常吗？《专家复盘：“不明原因肺炎”上报失灵的背后》专家复盘：“不明原因肺炎”上报失灵的背后来自@网易新闻客户端#网易新闻#
张林1020,:专家复盘：“不明原因肺炎”上报失灵的背后。1月8日晚，作为中国疾病预防控制中心首席流行病学家，曾光突然接到国家卫健委通知，要求他尽快去一趟武汉。http://t.cn/A67KoHri
胡建芝营养师,:分享网易新闻《专家复盘：“不明原因肺炎”上报失灵的背后》专家复盘：“不明原因肺炎”上报失灵的背后来自@网易新闻客户端#网易新闻#
厦门朗,:专家复盘：“不明原因肺炎”上报失灵的背后前车之鉴后事之师。这些祖训怎么没有落实到实处呢？更何况有之前sars禽流感猪流感等等的教训？专家复盘：“不明原因肺炎”上报失灵的背后
济南新闻播报,:#关注新型肺炎#经组织省专家组研判，以县域为单位进行新冠肺炎疫情风险等级评估，济南市历下区等125个县（市、区）为低风险地区，青岛市市南区等12个县（市、区）为中风险地区。风险等级每周调整一次，发生突发聚集性疫情或不明原因社区传播疫情时随时调整。山东省新冠肺炎疫情分区分级表（2020年3月1日）来源：山东省卫生健康委员会
张教官聊世界,:《专家复盘：“不明原因肺炎”上报失灵的背后》1月8日晚，作为中国疾病预防控制中心首席流行病学家，曾光突然接到国家卫健委通知，要求他尽快去一趟武汉。http://t.cn/A67omURH
M_Wens,:分享网易新闻《专家复盘：“不明原因肺炎”上报失灵的背后》专家复盘：“不明原因肺炎”上报失灵的背后来自@网易新闻客户端#网易新闻#
王思铁,:摘要：根据国家CDC、湖北省CDC等机构1月29日发表在《新英格兰医学杂志》上的文章，2019年12月29日，武汉当地医院通过PUE监测系统，发现了最早报告的4个新冠肺炎病例。但实际上，根据中国CDC的回溯性分析，以发病日统计，2019年12月31日前已经有104人感染，15人死亡。《专家复盘：“不明原因肺炎”上报失灵的背后》1月8日晚，作为中国疾病预防控制中心首席流行病学家，曾光突然接到国家卫健委通知，要求他尽快去一趟武汉。http://t.cn/A67olH5E
军迷世界,:《专家复盘：“不明原因肺炎”上报失灵的背后》1月8日晚，作为中国疾病预防控制中心首席流行病学家，曾光突然接到国家卫健委通知，要求他尽快去一趟武汉。http://t.cn/A67oOxTL
祈祷地,:专家研讨：“不明原因肺炎”上报失灵的背后！警钟长鸣！http://t.cn/A67ooOtP来自@腾讯新闻
庸医张,:『专家复盘：“不明原因肺炎”上报失灵的背后_手机新浪网』专家复盘：“不明原因肺炎”上报失灵的背后
cn-future,://分享网易跟贴:《专家:"不明原因肺炎"上报失灵多因实际操作没人管》http://t.cn/A67oJ9Z9@网易新闻客户端#网易新闻#
念父,复旦大学上海市公共卫生临床中心兼职教授张永振领导的团队于2019年12月26日收到来自武汉的不明原因发热患者标本一份。1月5日上午，他们从标本中检测出一种新型冠状病毒，获得了该病毒的全基因组序列。上海公卫临床中心在同日向国家卫健委提交了一份病原学调查报告。报告指出：鉴于该病毒与造成SARS疫情的冠状病毒同源，应是经呼吸道传播，建议在公共场所采取相应的防控措施以及在临床救治中采用抗病毒治疗。
点线世界传媒,:专家复盘：“不明原因肺炎”上报失灵的背后，这些信息都报上去了，怎么及时转化成防控行动？#跟新浪看热点#专家复盘：“不明原因肺炎”上报失灵的背后
