三秦都市报,:【阿念：我#转院去火神山医院陪外婆#
触电新闻,:#广东抗击肺炎疫情#【#重症减少的关键是早治疗#】广东省人民政府新闻办公室将于2020年3月3日（星期二）下午16:00时在广州广东大厦三楼国际会议厅举行新闻发布会，通报我省新冠肺炎疫情和防控工作情况；重点介绍我省市场监管领域疫情防控及复工复产相关工作情况。发布会邀请省卫生健康委、省市场监管局、省药监局负责同志参加。http://t.cn/A67NqqF4
雁塔检察,:#致敬一线战疫者#【爷爷，我给你好好洗个脚】3月1日晚，武汉市第八医院（卓尔应急定点医院）四病区病房里，陕西援鄂医疗队队员贺焕为一位高龄重症患者洗脚。贺焕毕业于第四军医大学护理系，现在是西安国际医学中心医院消化外科三科主管护师。奔赴武汉战疫一线，在病房工作的这段日子，喂饭、洗脚、护理……贺焕像对待家人一样关爱病区的每一位患者。（记者章胜制作熊丽审看寇鹏视频来源：西安国际医学中心医院）@长江日报http://t.cn/A67NP9ql
夏七Sweety,:
哈尔滨电视台哈尔滨新闻,:省新冠肺炎重症救治中心81岁重症患者治愈出院省新冠肺炎重症救治中心81岁重症患者治愈出院
我爱长沙520,:#长沙身边事#【抗疫最前线！赵晓勇的战役日记：疫情不退，我们不回！】在“经视新闻”前阶段的抗疫报道中，我们曾经关注过中南大学湘雅三医院神经外科重症室男护士赵晓勇，半个多月过去了，他用日记记录下了驰援武汉的点点滴滴，昨天他又发回了一篇音频日记，讲述了病房里的感人故事。#湖南防控新型肺炎##同江同湖同舟共济##长沙[地点]#http://t.cn/A67XHnlf
财经网,:【#武汉将分批分步恢复正常医疗秩序#：#武汉重点保障肿瘤孕产妇等医疗需求#】湖北省卫生健康委员会副主任涂远超表示，在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务。后期根据防控实际，逐步缩减新冠肺炎收治定点医院，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。@人民日报http://t.cn/A67NLCQ5
临沂市民政局微博,:最新疫情通报，还有这份重要通知······2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。截至目前，追踪到密切接触者16956人，尚有529人正在接受医学观察。详见下表（单位:例）：备注：根据要求，按病例确诊时医院所在县区统计。近日，交通运输部印发《关于分区分级科学做好疫情防控期间城乡道路运输服务保障工作的通知》提出，要“科学有序恢复城乡道路运输服务，有力支撑企业复工复产和经济社会平稳运行”。《通知》要求，分区分级恢复城乡道路运输服务。各省级交通运输主管部门要在当地疫情防控工作机制领导下，根据辖区内低风险、中风险、高风险县（市、区、旗）名单，落实分区分级管控要求，指导各地有序恢复道路客运、城市公共交通（含城市轨道交通）和出租汽车（含网约车）等城乡道路运输服务。低风险地区要按照“外防输入”原则，立即全面恢复城乡道路运输服务。中风险地区要按照“外防输入、内防扩散”原则，在做好疫情防控工作前提下，尽快有序恢复城乡道路运输服务。高风险地区要按照“内防扩散、外防输出、严格管控”的原则，采取有效措施保障医护人员、公共事业运行一线人员等重点群体的必要出行，并结合疫情防控形势变化情况，稳妥有序恢复城乡道路运输服务。湖北省要继续实行严格的离汉离鄂通道管控措施。北京市的省际道路客运服务，按照首都严格进京管理联防联控协调机制的决策执行。除湖北省和北京市以外，其他暂未恢复省际道路客运服务的地区，不得阻碍其他非高风险县（市、区、旗）发出的客运车辆进入或者途经本地。《通知》进一步明确，严格落实交通运输疫情防控措施。各地交通运输主管部门要督促指导道路运输经营者和从业人员严格执行客运场站和交通工具消毒通风、乘客测温和信息登记、发热乘客移交、从业人员和乘客防护等疫情防控措施。中、高风险地区客运场站和出入中、高风险地区的交通工具，还要在落实上述疫情防控措施的基础上，适当增加消毒通风频次。根据《通知》要求，疫情防控期间，三类以上班线客车和包车要在客车后两排设置留观区域；出入高、中风险地区（不含途经）的省际、市际客运班车、包车，要将客座率控制在50%以内。同时，严禁客运班车、包车在途经的高、中风险地区上下客。此外，《通知》还对各地保障道路运输安全、遏制重特大事故发生给予特别关注。要求各地交通运输管理部门对农民工返岗包车，强化针对性的安全措施，加强行驶路线规划、车辆检测维护、司乘人员培训、运输过程监控等全流程管理，切实消除安全隐患，确保运营安全。来源：健康山东、交通运输部
薛定谔的验证码,:截止3月3日下午5点，日本新增5例确诊病例，累计确诊985人（其中包含游轮上感染的706人），累计死亡12人，其中有57名重症患者。很明显日本新增确诊数增长并不合理，至于原因应该是核酸检测效率低下，日媒表示在过去10天内，日本只进行了4200次检测，每天平均才420次，作为对比隔壁韩国检测量已经突破了4万人，国内仅武汉检测能力就达到了2万人/天。此外，目前厚劳省的新冠热线已经接到了83000个咨询电话，其中至少有1358人被转诊。厚劳省的说辞是3月10日后每天可以检测4600个样本，但日媒采访了川崎市健康与安全研究所（全国83个地方实验室之一），发现该实验室每天检测量仅有20人/天。
南铁南昌工务段,:【广东援鄂一线医护火线入党，#55年党龄钟南山院士庄严领誓#】2日下午，广州医科大学附属第一医院党委举行粤鄂远程视频连线，为坚持奋战在抗疫一线的重症医学科副主任医师徐永昊、内分泌科驰援武汉汉口医院护士李颖贤两名同志举行“火线入党”宣誓仪式。当日，钟南山院士庄严领誓。@人民日报http://t.cn/A67oijGs
中山发布,:#城事#【松滋患者转危为安与医护同唱《我和我的祖国》】湖北松滋市人民医院重症医学科主任杨文，昨日在朋友圈里分享了一段视频。新冠肺炎的重症病人胡阿姨在得知自己的病情由重症型转为普通型后，坐在病床上，开心地与医护人员一起唱起了《我和我的祖国》。在视频里，站在病人右手边的医生就是中山市陈星海医院呼吸与危重症医学科的主任医师周红梅。
Antoine_CN-EU,【教皇方济各因身体抱恙接受新冠肺炎检测结果呈阴性】环球网：英国《卫报》援引意大利《信使报》（IlMessaggero）3月2日的报道称，因“身体不适”，罗马教皇方济各接受了新型冠状病毒检测，检测结果呈阴性。报道称，目前，梵蒂冈新闻发言人布鲁尼（MatteoBruni）并未对此置评。#罗马教皇新冠病毒检测呈阴性#http://t.cn/A67aPDXl
南京晨报,:#关注江苏新型肺炎疫情#【30年前父亲迎战“埃博拉”，30年后女儿支援湖北抗击“新冠”】3月1日，是江苏省老年病医院重症医学科护士李霞在黄石支援的第20天，李霞所在的黄石市中医医院ICU病区将全面关闭。李霞在日志中写到“这是一个振奋人心的消息，我看了最新疫情发布，截至2月29日24时，黄石市累计报告新冠肺炎病例1014例，累计治愈出院697例。代表我们的工作已经完成了近50%。http://t.cn/A67NGLVb通讯员张婷南京晨报/爱南京记者孙苏静
一躲喵,刚才等行李，旁边一个人在擤鼻涕，低头看手机没抬起头来，只是心里嘀咕了一句，这个节骨眼擤鼻涕真的是。。。还没念叨晚，那人大叫一声倒地，差点被吓哭。本来没有特别担心的一趟差，现在内心在颤抖。美国·夏洛特
醉人雷语,:这个是真神药了吧？医院一线传来好消息，脐带间充质干细胞临床使用与新冠肺炎救治有奇效！！！！湖南两例重症患者康复出院，现在湖北黄冈医院也有重症病人使用，据说疗效非常显著！！！『微博视频』http://t.cn/A67NGAXX
星星之火可以-,#关注新冠肺炎#【湖北省副省长：#湖北消化存量任务依然艰巨#】3月3日，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。湖北省人民政府副省长杨云彦介绍，目前湖北疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。（上官云）
楚天都市报,:#湖北发布会#【杨云彦：要让病人在发病之初就得到及时治疗】湖北省副省长杨云彦在发布会上介绍了湖北下一步疫情防控工作的重点。他说，要高度重视轻症患者救治，制定措施进一步关口前移。加强对轻诊病人的医疗干预，让病人在发病之初就得到及时的治疗，减少轻症转重症。加快对各类管理人员进行全面核酸检测，抓住患者从发病到进入医院治疗时间这个关键点，推动关口进一步前移。http://t.cn/A67NbDgV
精彩渝水,:【ICU护士实拍！记录新冠肺炎危重患者救治过程：#9名医护为插满管患者翻身#】广东东莞市人民医院ICU护士韩淑芬，用视频记录疫情期间在重症病房的工作。她记录了救治新冠肺炎危重症患者的过程：9名身穿严密防护服的医护为患者进行俯卧位通气治疗，有人抱头，有人抱身，有人抱脚，一起用力将插满管子的患者从仰卧转为俯卧。http://t.cn/A67oWZ3v
占卜预测卜卦师,:来查事的缘主，办事的法金是根据你当时的情况而定。不是你过几个月再来法金还是那个金额。好比你去医院看病，轻症时你不治疗，拖延到中症时再去治疗那病情不同了治病的钱自然不同，当拖延到重症时那或许就不是钱能解决的了，这是相同的道理。来我家查事的一般都知道，我从不夸大其词，更不会吓唬你，我只把我看出来的告诉你怎么办都取决于你……🙏🙏🙏
昆明禄劝发布,:#疫情最新情况#【云南129个县市区均为低风险！截至3月3日12时，全省现有确诊病例仅剩3例】3月3日0时至12时，无新增确诊病例。新增治愈出院病例1例（保山市）。截至3月3日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例），昭通市25例（治愈出院25例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院13例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院13例），保山市9例（治愈出院9例），红河州9例（治愈出院9例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区均为低风险。（云南省卫生健康委员会）
伊春发布,:【伊春市妇幼保健院关于疫情期间相关管理规定的通告】疫情期间为避免人员聚集，防止交叉感染，本着优先收治急危重症，优化资源配置，满足患者必须的诊疗需求的原则，按照黑龙江省和伊春市卫健委相关文件要求，结合我院实际情况做如下规定：1、来我院就诊的患者和家属请佩戴口罩从患者通道入口进入医院。2、就诊患者必须首先出示“龙江健康码”，并接受体温检测和信息登记，排除新冠肺炎后进入科室就诊。3、实行实名制就诊，请您提供真实病史和有效联系方式。4、请您充分利用健康龙江服务平台、微信公众号等预约就医方式，选择在互联网上进行线上咨询、问诊。5、为避免人员聚集，对需要到医院就诊人员，请保持1.5米距离。门诊实行“一医一患一诊室”。6、门诊患者进行有创操作前必须做肺部CT及血常规检查。需要住院的患者必须在门诊做肺CT（除孕妇和儿童外）和血常规，排除新冠肺炎疑似症状后，才能办理住院。7、有下列情况的孕妇及儿童在肺CT检查结果正常后方可办理入院。（1）有呼吸道症状患者；（2）体温≥37.3°的患者；（3）有流行病学接触史、旅游史的患者；为了您和他人的健康，请您积极配合!医患携手，早日打赢疫情防控阻击战。祝广大患者身体健康!
你今天是不是又胖了,来自#非肺炎患者求助##非肺炎重症疾病求助[超话]##肝癌#者求助大家好，非常抱歉在疫情这么严重的情况下占用资源，但是我们家实在没有办法了，所以来微博向大家求助，希望大家能帮帮我们病人姓名:戚文浩年龄:51工作:中国航天科工集团第六研究院职工所在地:内蒙古自治区呼和浩特市联系电话:15661021025血型:O型疫情期间，我的父亲因乙肝恶化转变为癌症，已是晚期，高烧不退，十分紧急，目前医院资源短缺，无法住院治疗，并且血液短缺！这个病实在不能在拖了，十分无奈之下才发微博求助，希望大家可以帮忙转发，或者提供血源和帮助！求求了！真的万分感谢！求医院开启病房并且有呼和浩特的好心人士可以捐献O型血给我的父亲！附上病例单后排艾特转发@掌上内蒙古官微@新浪内蒙古@内蒙古日报@内蒙古自治区卫生健康委员会@内蒙古团委@中国共青团网@内蒙古公安厅指挥中心
不锈钢飞鱼,:今日疫情，死亡31人，重症尚有6806人。按世卫组织重症死亡率50％计算，未来还将死亡3000人以上，加上截止今天的死亡人数2947人，总死亡人数可能要超过6000人。这个数字有点大。由这个数字所引发的内心的不适感，是任何正能量的宣传所无法抵消的。为武汉人民祈祷
棒棒医生,:如果要我选新冠肺炎以来医学专家的金句，我推荐以下：1.钟南山第一时间说的＂有人传人＂。2.张文宏＂没有神药＂。3.张文宏＂最强的学科联合救治重症是关键（大意）。＂4.张文宏＂如果不尽快复工，（相关）死亡将远大于新冠肺炎＂。
精彩渝水,:#新型冠状病毒感染肺炎#【勇战红区！高危、汗水、勒痕，只为与死神抢人！】“红区”，抗疫医院中重症隔离病房的别称。这里是人类与疫魔激烈交锋的战区。气管插管、吸痰都是极高危操作，医护人员可能在一瞬间就被感染，怕过、担心过，但何曾退却？在这里，医护人员与死神抢人，在这里，对每一位重症患者的救治，都是一场惊心动魄的战役。http://t.cn/A67CU7dB
爱因斯但玎,#新冠肺炎重症患者死亡率超过50%#肺彻底坏死是不可逆的，死亡率极高。治疗的关键是不让轻症转变成重症，重症的肺彻底坏掉了，基本恢复不了功能。
环球时报,:【#武汉将分批分步恢复正常医疗秩序#：#武汉重点保障肿瘤孕产妇等医疗需求#】湖北省卫生健康委员会副主任涂远超表示，在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务。后期根据防控实际，逐步缩减新冠肺炎收治定点医院，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NLCQ5
有个梨UGlee,:重症率还是18%，治愈/死亡患者中，死亡率下降到6%。
大河健康报,:【#31省区市新增125例新冠肺炎#，#31省区市累计报告80151例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
彼岸歸航-Riverside_View-,:
我是环境热线的粉丝,【李兰娟院士远程会诊陕西一新冠肺炎重症患者】3月3日早上，西安交大一附院专家与李兰娟院士通过视频连线，就一名新冠肺炎重症患者情况，进行远程会诊。据了解，这名患者是一名66岁的女性，来自渭南市澄城县，2020年2月5日进入交大一附院治疗，就诊时患者淋巴细胞较低，两肺发生病变，面积较大，并出现纤维化症状。医院接诊后按照新冠肺炎救治，但经过医院近一个月的努力，目前病人的病状进入瓶颈期。接下来，交大一附院将根据会诊的情况制定治疗方案。#陕西防控新型肺炎#
现代快报,:#江苏最美人物##致敬最美医务工作者#【致敬湖北重症病区的“生命守护者”！10人获江苏“最美医务工作者”称号】3月3日，由中共江苏省委宣传部、江苏省卫生健康委员会主办，现代快报、江苏城市频道等承办的《江苏最美人物》播出。发布会上，中共江苏省委宣传部、江苏省卫生健康委员会决定，授予赵炜、惠亮亮、李晓青、姚欣、莫敏、张永华、胡星星、王俊、李娟娟、张倩等10位同志江苏“最美医务工作者”荣誉称号。@现代快报快快看视频http://t.cn/A67NUxmLhttp://t.cn/A67NUiBI
黄金眼融媒,:【#战斗在武汉#：不是所有人都能做到你们这样，心目中的英雄】3月2号，武汉协和肿瘤中心ICU，3位重症新冠肺炎患者康复出院。他们换下病患服，整理好行囊，和浙大二院医护人员握手、拥抱。他们用信、用画、用视频表达对医护人员最真挚的感谢。黄金眼融媒的微博视频
北京市石景山医院官博,:为孕妈妈筑牢安全屏障面对突如其来的新冠病毒肺炎疫情，石景山医院妇产科全体医务人员迅速进入战时状态，放弃休假，坚守岗位。盛晓滨主任统筹领导，第一时间组织妇产科全员进行新冠病毒肺炎的诊疗方案、消毒隔离与防护、孕产妇和新生儿的疾病特点以及重症病人转诊会诊处理等相关知识培训。通过交班查房等工作环节督导培训情况，确保准确诊断治疗，避免交叉感染。在做好医务人员培训，落实有关要求的基础上，注重将培训成果有效运用到实际工作中。已经有怀孕计划的，准备去医院待产的，为即将出生的宝宝做准备的孕妈妈们，因为疫情的原因心中或多或少生出一些担忧。面对这些精神紧张、满心顾虑的孕产妇及家属，妇产科医务人员积极行动，按照诊疗指南结合专业经验，进行心理疏导知识和技能培训，在增强自身心理健康的同时，提高整体在特殊时期下帮助患者心理疏导的能力。及时对孕产妇及家属进行有效的心理疏导，介绍新冠肺炎情况，耐心解答她们的问题，并提出合理建议。及时干预不适症状，缓解紧张情绪，减轻心理压力。疫情发生以来，科室孕妇均保持良好的心理状态，安心待产，产妇顺利分娩，平安出院。在疫情肆虐的特殊时期，对于妇产科的医务人员来说，病房和产房就是我们的一线阵地，我们一定会全力保证孕产妇和新生儿的生命安全和身体健康，坚守好我们的这块阵地！
中央空调市场,:#我和中央空调的那些事##美的中央空调##吉林身边事##抗疫行动##别人的flag#【打造抗“疫”样板工程美的中央空调吉林分中心获多方点赞】http://t.cn/A67NU0U33月2日，美的中央空调收到作为吉林省新型冠状病毒感染肺炎重症救治定点医院的吉林省结核病医院的感谢信。信中称，美的中央空调捐赠的风机表冷器4组，为吉林省结核病医院的重症救治工作提供了有力保障！据了解，为打赢疫情防控攻坚战，吉林省卫健委正式启动实施吉林版的“火神山”医院(吉林省结核病医院新址项目)用于新型冠状肺炎重症病例患者收治，于2月15日正式交付使用。美的中央空调以优质的产品品质和完善的服务水平获得院方青睐，成为项目设备供应商，为该院提供了6大系列空调设备，包括风冷(热泵)模块式冷水机组(1365KW)、风机盘管、新风机组、组合式净化空调机组、多联机系统和BMS控制器等设备。在项目实施过程中，美的中央空全力配合，向吉林省结核病医院捐赠风机表冷器4组。同时，根据新冠状病毒防疫要求，美的中央空调吉林分中心的服务团队将保持随时待命，全力配合医院做好防疫服务工作，为该项目的正常高效运行保驾护航。@美的中央空调官方微博
骨W由,【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。青蜂侠Bee的秒拍视频
果果咩羊毛团,:#战疫打卡行动#🇺🇸PDI无乙醇消毒湿巾160抽，💰119。复合季铵盐，针对44种微生物有效消毒。pdi专注消毒40年，专供医院，主要应用医疗保健机构和重症监护场所，如：急诊室，重症监护病房(ICU)，手术房，救护车，牙科，透析中心等。
55周晓照,:武汉市每天还有三位数的新增病例今天（3月3日）下午，省政府副省长杨云彦在疫情防控工作会议上强调，新冠肺炎救治效果稳步提升，但疫情形势依然严峻复杂，还有2万多名患者在院救治，6000多名重症、危重症患者仍需加大救助力度，这说明增量风险仍然没有得到根本控制！武汉
姚懿诺,:当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。
偏爱lllc,:脸盲重症患者
青秀发布,:#战胜疫情南宁在行动#【轻症患者总担心病情加重，如何自我调节？】新冠肺炎疫情中，感染的患者可分为轻症和重症。对于轻症患者来说，除了身体不适，还有不少心理负担，比如总担心病情会加重。对此，北京大学第六医院临床心理中心主任唐登华表示，这种恐慌心态可以理解，但应该采取一些积极行动。via：http://t.cn/A67Ke4Za
家庭报官微,:#武汉实现床等人#【武汉：重症患者床位大幅增加，病亡率正逐渐下降】3月3日，湖北省召开的新型冠状病毒感染的肺炎疫情防控工作例行新闻发布会上，湖北省人民政府副省长杨云彦介绍，湖北全力救治重症患者，降低患者病亡率，落实4集中的原则，最大限度减少病亡数量。目前湖北省各地市危重症床位配置基本能够满足重症病人的救治需求。武汉市经过加快建设，重症患者床位大幅增加，已由“人等床”转为“床等人”。截至3月2日，武汉市同济光谷、协和医院等10家危重症救治定点医院共开放危重症床位7286张，共收治危重症、重症患者3728名，武汉市新冠肺炎患者病亡率正在逐渐下降。@武汉晚报来源：武汉晚报
盐不盐的吧,:原来危重症是危重症我一直以为是微重症
黔灵老道,:【澎湃新闻：湖北省卫健委：全省仍有6593例重症和危重型患者在院救治】湖北省卫健委：全省仍有6593例重症和危重型患者在院救治(分享自@澎湃新闻，澎湃APP下载>>澎湃新闻)
德州发布,:省卫健委：德州无新增确诊、无疑似病例！武城3名新冠肺炎患者治愈出院，累计出院21人2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。
韩联社中文网微博,:【韩国新冠病毒#病死率#与中国武汉以外...】#新冠疫情#韩国中央防疫对策本部副本部长权埈郁3日在记者会上援引世界卫生组织（WHO）的报告表示，韩国新型冠状病毒（COVID-19）重症病例...http://t.cn/A67NLdZm
四川工商职业技术学院酒食系,:2020年2月6日，经《中国新闻周刊》核实，武汉市中心医院眼科医生李文亮病危仍在ICU抢救。《中国新闻周刊》于2月6日21时24分第一次打通武汉市中心医院重症监护室电话时，对方说正在抢救，直到23时56分最后一次致电，仍在抢救中。武汉协和医院一名医生表示，李文亮于2月6日21时30分左右停止心跳，但用上了ECMO（人工膜肺）进行抢救。此后湖北省卫生健康委向李文亮医生表示深切哀悼，并向其家属表示诚挚慰问！向一直奋战在抗疫一线的全体医务工作者表示崇高敬意！值此抗疫关键时期，希望全体医务人员在抗击疫情的战斗中切实做好防护工作，更好地为人民群众健康服务，坚定信心、齐心协力打赢这场防疫阻击战！让我们向每一位为抗议英雄致敬！愿中国平安、愿世界平安🙏🙏
人民日报,:【#武汉将分批分步恢复正常医疗秩序#：#武汉重点保障肿瘤孕产妇等医疗需求#】湖北省卫生健康委员会副主任涂远超表示，在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务。后期根据防控实际，逐步缩减新冠肺炎收治定点医院，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NLCQ5
间歇性抽风星莹,上❤️辣～是久违的男款
热门表哥,:振奋人心好消息！脐带间充质干细胞临床使用与新冠肺炎救治有奇效！湖南两例重症患者康复出院。关注@热门表哥观看更多热门视频热门表哥的微博视频
保仁堂主,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
