我不做主你做主,:#韩国大邱一确诊者混入长队买口罩#确诊了不入院治疗吗？这是什么操作
宣恩发布,:#湖北宣恩##湖北加油武汉挺住#【今天，宣恩这位新冠肺炎治愈患者成功捐献400毫升血浆！】3月3日中午12时，在恩施州中心血站爱心献血屋，宣恩小伙莫宣（化名）在工作人员的指引下开始进行献血。莫宣是宣恩县高罗镇人，今年32岁。1月26日被确诊患新冠肺炎。经过14天入院治疗，2月9日莫宣从宣恩县人民医院治愈出院，是该县第三位治愈出院患者。出院后，莫宣身体恢复良好。“在医院的那段时间，我体会到医护人员的不容易，让我很受触动。”莫宣出院后，一方面继续做好居家隔离，一方面萌生着想为疫情防控做点事情的打算。通过新闻，莫宣得知治愈患者的血浆可用于新冠肺炎患者临床治疗，他十分兴奋。“如果我符合条件，我也想去献血！”3月2日下午3时左右，一个电话让莫宣开心不已。来电的是恩施州中心血站工作人员，希望莫宣能够捐献血浆。“我愿意，这个血我一定要献！”莫宣急忙回复，主动询问献血需要哪些准备。得知饮食需清淡，莫宣特意熬粥作为晚餐。3月3日上午10时，恩施州中心血站的救护车到达莫宣家门口，将其接到恩施进行采血。到达州中心血站爱心献血屋后，莫宣在工作人员指引下进行身体检查。结果显示，他符合捐献血浆的要求，并成功捐献400毫升血浆。采集血浆需用时20分钟左右，莫宣丝毫不觉得痛，反而有些激动。“是医护人员的努力让我痊愈，能献血再去帮助别人，是我该做的！”莫宣是宣恩首位捐献血浆的新冠肺炎治愈患者。莫宣的血浆采集后，将送到武汉中国生物公司进行病毒检测。7天后，若相关检测结果符合要求，这份血浆将用于临床救治新冠肺炎危重病人。疫情发生以来，我州血库告急，普通献血者和愿意捐献血浆的新冠肺炎康复者，可拨打州中心血站24小时热线电话0718-8251971进行咨询和预约。
一颗大行星呀,:每次尝试女团腿🦵我都害怕第二天新闻出现“女生盲目模仿网络腿部拉伸，韧带撕裂入院”这样的标题...
RheaLYY,求助（补充：遗传的恶性间叶源性肿瘤
云南政法,:【又一地清零！#云南玉溪70岁危重症患者治愈出院#，钟南山曾会诊】3月2日，云南玉溪最后一例新冠肺炎患者治愈出院，至此玉溪实现确诊病例清零。玉溪市人民医院院长介绍，这名70岁患者入院时病情危重，钟南山院士团队还曾进行远程会诊，经过精心治疗，患者从危重症转为重症再到治愈。@玉溪政法http://t.cn/A67NjrvF
描绘理想国,伊朗韩国意大利都要炸，已经不是一家一室一城一国的事了。事情往不敢想的地方发展了。
千禧花园,:《韩国版“火神山医院”在大邱开建了！超2000人正在等待入院》http://t.cn/A67NeRaj
夏日的花花花,求助（补充：遗传的恶性间叶源性肿瘤
中国青年报,:#青年战疫#【火线提拔的九〇后干部饶玥：“只是在做自己能做的事”】作为被火线提拔的武汉市90后干部，饶玥近来受到不少关注。今年30岁的她原本是武汉市江汉区民族街党建办副主任，拟任江汉区民族街党建办主任。2015年从中南财经政法大学研究生毕业后，饶玥作为一名选调生来到武汉市江汉区民族街党建办，负责基层党建等工作。她所在的街道辖区共有5500余户、1万余人，连续20天，饶玥每天坚持完成确诊病人转送入院、疑似病人转送隔离点的“双清零”任务，有时凌晨4点仍然在调度。之前，因为家有尚未断奶的女儿，她还每天回家。后来忙起来，饶玥也顾不上家了，吃住在单位。虽说被火线提拔，但她觉得自己“只是在做自己能做的事而已”。眼下，随着武汉市“应收尽收”工作不断推进，最艰难的时候已经过去了，但饶玥依然忙得不可开交。她盼着疫情能早日结束，自己下班后也能够安心回家“撸娃”。http://t.cn/A67Nd3U1
津云,:#津日战“疫”##天津公布一例复阳后治愈出院患者治疗细节#【复阳入院后4天就出院，这位患者的治疗细节披露……】本市第43例确诊病例，2月11日出院，2月27日复阳，3月2日再次出院，为何从复阳入院到再次出院仅用了4天？治疗细节来了↓↓↓复阳入院后4天就出院，这位患者的治疗细节披露……
内蒙古晨报,:【最小仅17个月大!刚刚，5名患者同时治愈出院!】3月3日，锡林郭勒盟中心医院传来令人振奋的消息——经过该院全力治疗，锡盟现有的全部6例新冠肺炎患者当中有5例患者同时痊愈出院。本次出院的5名新冠肺炎患者中，1名为锡林浩特市确诊患者，于2月10日入院。4名为多伦县确诊患者，系一家三口和母亲，其中，最小的患儿只有17个月大，于2月12日开始陆续转入锡盟中心医院接受治疗。自1月23日，收治第一例新冠肺炎患者至今，锡盟中心医院抽调院内业务能力强、经验丰富的多学科业务骨干，成立医疗救治组，每日上午，协同自治区专家组远程会诊，每日下午，由锡盟救治专家组会诊，做到了“一人一案”。并严格按照国家诊疗方案进行抗病毒治疗，充分发挥中蒙医特色治疗和心理医生及时心理干预的优势，同时由肺部康复师指导患者肺部康复训练以及专业厨师给予营养支持。经过医护人员精心治疗，该5名确诊患者均已无发热及咳嗽等症状，经过2次核酸检测均为阴性，经内蒙古自治区和锡盟两级医疗专家组会诊确认，符合国家制定的出院标准，予以出院。据悉，出院后，他们将在在锡林郭勒职业学院康复医院接受14天的医学隔离观察。一位治愈出院患者接受采访时说：“在接受治疗的这些天，医护人员除了尽职尽责照顾我们之外，还给了我们很多鼓励和关爱，消除了我们心里的顾虑和恐惧。真心希望我们国家能够尽早战胜疫情，患者们像我们一样治愈出院，回归到正常的生活轨道中。”据悉，新冠肺炎疫情发生以来，锡盟医用应急防护物资实行日调度和统筹供应，紧急拨付医疗救治、防控应急物资采购和一线人员补助等各类资金5936万元，确保一线人员应急有力、安全有防护。与此同时，按照“四早、四集中”要求，对确诊、疑似病例进行科学救治，切实提高治愈率。截至到目前，锡林郭勒盟还有1例新冠肺炎患者在锡盟中心医院感染性疾病科接受着隔离治疗。
湖北广播电视报-同城,:【湖北省中医院成为滞留在武昌外地人员非新冠肺炎就医用药的定点医院】3月1日起，湖北省中医院花园山院区正式成为服务滞留在武昌区外地人员非新冠肺炎就医用药的定点医院。这部分患者要入院必须持武昌区卫生健康委滞留人员转诊单方能入院，预检分诊排查体温后进入绿色通道。按照要求，滞留人员就医全免费，住院期间的生活保障、急危重症病人护理工作均由医院组织实施，所需费用由武昌区卫健局核定结算。（湖北经视记者童亮通讯员胡梦）
劉___洋子,:
广西壮族自治区妇幼保健院,:#广西妇幼卫生#【“疫”线vlog：我们接管的首批病人出院了!】“这位患者是广西医疗队1月29日接管黄陂区中医医院后开科的首批病人，患者入院时病情危重，生活不能自理且精神极度焦虑，悲观。因患者全家同时入院，而她病情较重，必须与家人分开隔离治疗。经过一个月的治疗和悉心照料，2月29日这天，她终于康复出院了。”患者通过与广西妇幼保健院支援湖北医疗队护士李家丽和吴美姬录制视频向医务人员表示感谢。#致敬疫情前线医护人员#http://t.cn/A67NmM8u
常州新鲜事儿,:【一家三代确诊后老人不愿治疗欲轻生#医生手抄35首歌词劝解轻生确诊老人#】3月2日，湖北咸宁，熊女士是一名新冠肺炎确诊患者，她的老伴已是癌症晚期。随着儿孙相继被确诊，入院时，熊女士的情绪极度焦虑，不愿治疗甚至有轻生念头。医护人员得知熊女士平时喜欢唱歌，连忙为她手抄了35首歌词，让她用唱歌的方式缓解心中压力。在医护人员的精心护理下，熊女士的病情有了明显好转。http://t.cn/A67NnXSW
心血管科张医生,:巨大倒置T波，是冠心病心肌缺血吗？46岁女性患者发作性胸闷就诊，心肺查体无明显异常，急诊心电图如下图:巨大倒置T波，入院后第一天早晨出现胸闷，心电监测反复尖端扭转性室性心动过速，持续50s，自行转复。急查电解质：血钾3.4mmol/L，血钠132mmol/L，血氯98mmol/L。给予利多卡因泵入，补钾、补镁，患者未再次发作室速，急诊造影右冠植入支架一枚，考虑心电图变化根本原因是啥？
冠骋GuanCheng教你数字心理学382,:《香港又一老戏骨去世，曾为争4.2亿遗产闹灵堂，今去世家里无人知》也有传闻称洪国华大年初一就已开始发病，入院后便进入ICU治疗，最终却还是撒手人寰。http://t.cn/A67N88r7
老麦白泽,#肺炎患者求助[超话]#求助人信息（若有相关化验单，请上传图片）【姓名】邓中梅【年龄】56【所在城市】四川广安【所在小区、社区】溪口镇【患病时间】2018年12月底【联系方式】177134528205【其他紧急联系人】15700519934【病情描述我的妈妈18年底检查出宫颈癌，我们立即奔赴重庆市附属肿瘤医院，二次复查，再次告知是宫颈癌中期了，当时检查的医院说医院正在装修无法手术，我们又赶紧返回广安当时就很危险了，就马上在广安动了手术，今年宫颈癌复发，我们又去了重庆附属肿瘤医院检查，医生说需要2次手术，现在因为新冠的出现，医院大排长龙，无法住院，无法手术，而妈妈病情急需手术，我们问遍周围亲戚朋友，都没有熟人，真的是没有办法了！各位好心人氏，求求您们，有熟人在重庆附属肿瘤医院的帮帮我吧
Lamda_314,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。#http://t.cn/A67C8laK
都怪你们,:1月23日发病2月3日到现在入院1个月整整一个月，心脏骤停抢救无效。妈妈，好走。武汉
郑大一附院胃肠外科董新华,:早八点到晚八点，一天的门诊收了七个新入院需要做手术的胃癌，结肠挨，直肠癌患者，忙到现在，有种疫情已经结束的错觉…郑州·郑州大学第一附属医院
微时区,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
网易安徽,:#关注新冠肺炎#【六安清零！69例确诊患者全部治愈出院】3月3日上午六安市6名新冠肺炎确诊患者出院。至此该市69例确诊患者全部治愈出院。这是继铜陵后，安徽省第二个实现新冠肺炎住院患者“清零”目标的城市。据悉，自首例确诊病例入院以来，六安始终坚持集中患者、集中专家、集中资源、集中救治“四集中”原则，取得了良好的救治效果。为促进患者康复，率先提出定点隔离休养、居家医学观察、健康状况随访“三段式”接续管理服务。截至3月3日，安徽省已连续多日无新增确诊病例报告。今日新增出院24例，住院病例减少到43例，累计治愈出院病人941人，治愈率达到95.1%。目前，滁州、亳州、芜湖、池州、安庆、黄山6市均仅剩1例住院病例。@中安在线
长沙新媒体头条,:【一个女孩记录的父母抗疫日记#患病父亲与女儿视频做俯卧撑#】1月20日，湖南长沙，陈一条的父母从武汉回老家长沙。没多久，爸爸发烧入院，三天后，妈妈也被确诊。年三十，女儿做饭送给在医院治疗的父亲。年三十父女隔楼相望，女儿朝父亲大喊：新年快乐。为不让女儿担心，父亲与视频视频时在病房做起了http://t.cn/A67bYrcy
竞技赛事君,:发布了头条文章：《马卡报：C罗母亲中风入院，目前情况稳定》马卡报：C罗母亲中风入院，目前情况稳定
快乐的小小小小ao,2.5发出一句“你好”2.28说不出一句“再见”
颈椎腰椎-脊椎,:#韩国全国进入了同传染病的战争阶段#韩国的疫情发展速度加快了一天出现几百新增感染者，累计感染人数五千多了，和新冠病毒的作战已经开始，上阵比较匆忙阵脚不能乱，当务之急是要尽快让感染者入院治疗，在家等候会使家庭成员感染，不是个事啊，在家买不到口罩还不是最重要的，当前最重要的是保证医院的物资供应，加油啊！#微博视角#
小春日本,:3日，神户市确诊首例新冠肺炎病例，为一名住在神户市内的40多岁男性。该男子在2月27日出现发热症状，但没有咳嗽，便到了当地医疗机构就诊。29日，因持续发烧，第二次去了医疗机构。3月2日发烧至38℃入院，感到轻微倦怠感，3月3日PCR检测结果为阳性，确诊感染了新型冠状病毒。
一棹夕阳过,:今天有朋友用邮件给我传了几张微博截图，是一位博主记录患癌症的母亲去世的全过程。因为新冠的原因，持续两年的治疗被迫中断，没办法入院，最后一周是在极端的痛苦中度过的。“那天，我看着我妈的心电监护慢慢停止。”没有语言可以形容这样的事。而这样的事，每时每刻都在发生着。之前转很多癌症患者被迫出院的帖子，曾收到私信说，本来晚期癌症治愈的可能性就低，危机时刻应该让出医疗资源。其实那些发私信骂我事儿逼没文化乃至诅咒全家火葬场和给我发生殖器照片的并不会让我多难受，但是这种自以为“考虑大局”、“理智冷静”的消息，却每每让我极其伤心。
伤寒经方传承,:#韩国版方舱医院#今天韩国征用公共设施为中轻症患者提供集中隔离的"生活治疗中心"，当日，大邱1号生活治疗中心将从1662名待入院病人中收治160名轻症确诊者。另外根据韩媒报道（见图）：有人质疑，韩国大邱市是在有病人在等待病床过程中死亡，才开始相关的措施，对此，大邱市市长表示：“政府当初也没有预想到会出现像这样的扩散现象。”他补充说：“事实上，韩国也是首次遇到新冠肺炎这样的疾病。”而在前一天大邱又有两位病人在等待住院的过程中死在家里。据悉，这两人(86岁，77岁)分别患有高血压和支气管炎等疾病。目前，大邱3081名确诊患者中，住院的只有1050名(34%)。剩下的2031名患者在自己家中等待。（如有翻译不准的地方，欢迎补充，也顺便贴出原文）
融锦创富投资管理,:百万医疗保障最低仅需0.45元/天，入院就报案，服务轻松享http://t.cn/A67N6d55宁波
香港保险王舒韵,:#香港友邦[超话]#6理赔篇在香港住院，医生会将医疗赔偿申请书中医生负责填写的部分填妥；保单受保人只需要填写保单信息、索偿类别、个人入院相关问题，选好理赔款的入账方式，建议同时附加上一份退回正本文件的声明书，将住院期间的全部资料，一并交给保险公司的理赔部。保险公司收到理赔材料后发来了慰问的邮件：索偿申请已收妥，会尽快处理；APP也同时更新了这条信息。
远远圆滚滚,:时隔一个月再次入院心情低落到谷底真的很努力的做一个妈妈最终还是没有把你照顾好
香港保险王舒韵,:#香港友邦[超话]#Tips留意一下高端医疗保险的陪床条款，是亲属陪同还是只可以大人陪床小孩，不同的产品还是有差别哦。关于高端医疗保险的膳食报销，受保人入院的膳食是一定报销的，陪床人士则视不同的产品规定。听过某司膳食费没有报销的案子，是因为受保人来了一大家子探望，在养和医院吃了一桌筵席！合理点餐很重要哦！
香港保险王舒韵,:#香港友邦[超话]#2入院手续篇护士和我确认住半私家病房，各类治疗费、药费、物料费、特别仪器、手术费和医生费用，随病房的等级定价不同，会比标准房贵出30-50%；我表示接受（这么爽快是因为我的保险病房报销等级就是半私家房），生病了，休息好非常重要！领了入院须知，缴纳好按金；有专人服务带进病房区，医院很细心，每一个环节都有人交待「讲普通话」，而我次日将被转介给医院的呼吸科专科医生。护士确认完亲属陪床，讲解病房设施、注意事项，指导用药；哎，发现我没带睡衣，还拿了套新的给我。病房的条件，是真好～香港养和医院和仁安医院病房收费参考Tips香港私家医院的病房分为：大床房、半私家病房、私家病房，收费不同，不同的医疗保险cover的病房等级不同；不同的病房不仅仅是房间收费不同，一块药棉的定价也会不同。以半私家病房为例，不同医院的病房房型有单人间（与私家房不同，不享有独立卫生间）、双人间（靠窗）、双人间（不靠窗），三人间，房间费依次从高到低。
平妹妹七月初六,渣翻有错请指正谢谢岩本照说SixTONES和SnowMan被叫去J桑病房的时候，其他人的椅子放在后面，前面专门放了两把椅子，TAKKI让岩本和杰西过去坐，岩本心想“该不会是要宣布我们两团合并出个15人巨型团吧？”，然后TAKKI说“你们两团各自出道”，听到出道的消息，向井当场在J桑病房就哭了。另外，杰西北斗宫馆在J桑病倒的时候去病房陪夜，在病房祈祷着“爷爷绝对不要死”
狙击手伍德,:【韩国版“火神山医院”开建了！超2000人等】韩国版“火神山医院”开建了！超2000人等待入院视频：韩国版“火神山医院”开建了！超2000人等待入院#孙俪求杨超越保佑业绩#
周公子观察,【湖北减灾办：#湖北3月极端天气增多##严防极端天气导致疫情回头#】近日，湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形势分析报告》，经过省应急管理厅、省减灾委员会办公室会同省水利厅、省交通厅等部门专事会商，综合判断，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。进入仲春时节，各种病毒和有害细菌也会更加活跃，这对全省业已紧绷的防疫工作和超负荷运转的医疗体系带来挑战。一方面，高温高湿环境有可能加大病毒和细菌的滋生和传播。今年3月，较常年全省气温偏高1～2℃、降水量偏多1～3成，且降水多以阵雨的形式集中出现，气温偏暧、湿气偏重的环境不利于抑制病毒和细菌。另一方面，冷暖不定的气象条件极易诱发各类春季流行疾病。预计3月主要冷空气及降水过程集中在7～8日、14～15日、17～18日、20～22日、25～26日五个阶段，其中，17～18日、25～26日会伴有短时大风，中下旬中可能出现“倒春寒”。在忽冷忽热、大风大雨的天气条件下，人们更易感冒发烧，极易诱发各类春季流行疾病。有关部门提供，湖北省各地特别是武汉及周边地区务必抓细抓实抓早各项防范措施，严防疫情回头和其它春季流行病的发生。一要指导社会公众做好防潮保暖的工作，利用晴好天气加强室内通风，阻断各类流行疾病诱发因素；二要强化消毒隔离工作；三要加大物资储备力度，尤其是消毒消炎物资及预防各类流感等春季易发病药材配给量，早防早治其它流行性疾病；四是做好医护人员的防护，特别是援鄂医护人员着衣调配，防止出现医护人员感染或生病的情况。（人民日报记者范昊天）
支持爱豆的大含梦叫珠珠,:暂时办好了，如果需要出入院记录我可以去提的
偎依吾将浪迹,:颅内留有血块……目前在上海第一人民医院重症监护室观察治疗、甜美少女的田园风格连衣裙：发生意外……【演员EMrel=在沪车祸进重症监护疑助手开车酿祸】重庆籍影视演员彭波昨日在上海发生车祸入院……东莞·嘉宝楼
正墓室1,:广州市新型冠状病毒肺炎疫情防控指挥部发布4号通告，要求开展核酸大筛查，对发热门诊患者、有流行病学史的普通门急诊患者、在院和新收治入院患者全部进行核酸检测。通告认为，当前，广州市疫情防控正处在最吃劲的关键阶段，人员流动和聚集带来的感染风险依然存在。除开展核酸大筛查外，通告还提出多项措施，包括：疫情严重地区返穗人员须接受居家隔离或集中隔离健康观察14天。抵穗当天应及时通过“穗康”微信小程序申报或向所在...http://t.cn/A67NV7jr
中医鸬鹚派邹齐,:浅论时间与治疗的关系圣人山剑客17小时前何某，52年3月初三申时生人，2011年4月就诊，入院诊断：肺气肿，气胸，左心衰。舌苔白根腻边有痕，脉结代。五行：壬辰.癸卯.癸酉.庚申。五行分析：1.命主生于二月卯木当令旺盛，卯辰半会东方木局同时木局又得到天干金水生木，卯木可谓盛到极至。2.癸酉坐下申酉半会西方金局，天干庚金透天，以致金水相生，壬癸之水泄申酉金局之气，金在命中无土相生可谓势单，又失月令与卯木相比金处弱势。3.印辰半会东方木局与申酉半会金局发卯酉相冲，可谓是板块式的冲击，整个五行构成"木旺金缺"之态。4.金在五行里代表"肺与大肠“，命主自幼患有呼吸系统毛病。治疗：1.取土生金制木，止水，泄木之顽气。2.四君子十戊已丸。人参，茯苓，白术，白芍，黄连，吴茱萸，大枣，甘草。3.患者3天出院，自诉症状全消，无不适症状。热门推荐猜
倩倩菌子,:#财政部表示群众不会因费用延误救治#感觉我费了国家好多钱，入院就是无症状，不输液不给开药吃，在医院住了二十天了，CT做了四五次，一次比一次好，最近一次肺部已经干干净净了，没有任何阴影。血抽了四次，每次10管
琉璃瑾-pearl,:特殊时期安排访视真的给跪了
Seesee海,#武汉义务送药人被举报#【武汉送药人：义务送药被人举报“赚差价”，配合调查期间奶奶脑出血昏迷入院】武汉“封城”后，25岁的中学老师吴悠@海边的万物理论，骑上电瓶车为网上的求助者义务送药。截至目前，吴悠和朋友们已经为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。近日，有人以非法售药和牟利举报了吴悠。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报赚差价#http://t.cn/A67yV0xQ
