依露申qian,:『新浪调查』http://t.cn/A67ppM4I
黎民百姓甘仔木瓜,:医院抗疫补助领导远超一线医护？当地卫健委：介入调查http://t.cn/A67pJQXI
Foxtrot风,今日话题：回到古代你最想做的一件事是什么？
扭蛋机里扭真姬,#警方提醒#网络不是粉圈的“秀场”，发布虚假自杀言论博眼球，已涉嫌违法！
无去来处动静等观,【郭杰瑞调查：新冠肺炎“病不起”的美国】如果有症状担心自己得了新冠肺炎打电话给美国医生，医生会叫救护车来接去医院，费用1000美元，检测试剂服务3500美元。一旦确诊了，瑞德西韦每天用量大约也是几千美元（同情用药不知免费不？估计不行）。这对于大多数超前消费的美国家庭都是破产之路。#王小石的石[超话]#http://t.cn/A67phGN2
仰慕润之,:如果黄某英不是离汉进京而去其他地方呢？《黄某英离汉进京事件调查结果湖北司法厅厅长等多人被查》黄某英离汉进京事件调查结果湖北司法厅厅长等多人被查http://t.cn/A67pNtmS
合约量化大师,:调查：疫情期间千禧一代将比特币与黄金视为首选投资工具据FXStreet消息，iTrustCapital进行的最新研究显示，疫情增加了经济的不确定性，在此期间，千禧一代将比特币与黄金视为首选投资工具。加密货币和实物黄金交易平台专家询问了受访者，在冠状病毒疫情期间，他们会选择哪些资产。值得注意的是，黄金是所有年龄组的首选资产。约44%的受访者表示，他们将投资黄金。然而，年龄在30岁至44岁之间的人购买比特币的可能性是其他任何年龄段的人的两倍。调查结果证实了以前报告的结论。专家发现，超过55%的比特币用户年龄在25岁到45岁之间。
龙口市人民检察院,:【微信群聊“疫情瞒报”？湖北云梦调查：系主观臆造】近日，一则从微信群聊中传出的关于湖北孝感某地疫情瞒报的消息引起广泛关注。对此，孝感市云梦县疫情防控指挥部迅速组织专班进行调查核实。经查，这段对话系群内人员主观臆造，反映情况不实。　　据云梦县疫情防控指挥部调查，“众乐乐”微信群是一个同学群，有38名成员。针对群聊中说的“从现在开始，确诊人员每天数字都会是零，官方上面公告不能再出现病例，否则追责”，被调查人员表示：“这段话没有任何依据，属开玩笑，没有核实，也没有看到官方公告。”针对群聊中说的另外几个问题，被调查人员均表示是开玩笑，没有真实依据。　　云梦县疫情防控指挥部表示，将继续全面深入调查，严肃查处涉事人员；坚决落实疫情防控要求，实事求是上报疫情，瞒报疫情等行为要追究刑事责任。（新华社）http://t.cn/RyhH8On
王小琪bigot,:所以，女性多吃盐容易长皱纹。〇〇……有时候……【女性多吃食盐容易长皱纹】法国一项调查表明
一颗星w_,200302#周一熬夜看月曜#喜闻乐见的日本人英语能力调查又双叒叕来了！本次考试分5部分①单词；②和式英语；③英译日；④听力；⑤实际对话。#日本人英语人均小学生#吗？
微博财经7X24小时,:【报道】近日，网传“湖北孝感某地疫情瞒报”的消息引起广泛关注。孝感市云梦县组织专班进行调查：对话系微信群内人员主观臆造，反映情况不实，将严肃查处。微博财经7X24小时频道
时光的盔甲,#国家监委派调查组调查李文亮问题#将近一个月了，请问你们人呢？被隔离了吗？『最新！国家监委调查组已抵达武汉，调查李文亮医生有关问题_媒体_澎湃新闻-ThePaper』最新！国家监委调查组已抵达武汉，调查李文亮医生有关问题
古月西原CY_,:饭圈女孩调查表接(emm我觉得我可能…算不上真正意义饭圈吧
喝茶聊天儿,副总统，阿扎尔部长及美国疾控中心首席副主任安妮·舒查特博士今天向各州州长通报了有关新型冠状病毒的最新信息。
哎呦含蓄,:深夜来个调查，图片里的产品，你们谁没有用过
狮子座的向向向日葵,:#外国人永久居留管理条例#我都没看完内容就被投票了，确定是真心想咨询调查而不是在走形式路线？？？？
七七阿7,:#王者荣耀[超话]#麻烦大家帮忙填一下问卷感谢[求关注]关于《王者荣耀》游戏玩家的消费行为调查研究http://t.cn/A67p9RBp
朱邵玉老婆,:饭圈女孩调查表接①什么时候开始追星:不记得了②初恋追星的爱豆是谁：胡歌③对白嫖🐶什么看法:没啥看法④本命是谁:胡歌⑤见过自己本命吗:见过⑥在饭圈什么地位:越来越佛系的小透明⑦饭圈人际关系怎么样:一般⑧愿意为蒸煮花💰吗：觉得值就会花⑨有墙头吗:没有⑩艾特你的人和你关系怎么样:小辣鸡⑪艾特你饭圈姐妹三位回答问题，不可以更改拒绝回答问题@笙歌一曲绾秋风@履善ing@喵喵的蘑菇头
严若望福传,:农人信教调查在浙江省钱库镇XJ村，一位基督徒谈到信主原因时直接回答：“因为我的女儿生病，求佛、烧香都不管用，打针也不见效果，但信耶稣后，其病情逐渐好转，因而就信了。”在内蒙翁牛特旗S村，很多信徒因为本人或家人得了久治不愈之症，比如脑-瘫、癌-症等而信教。笔者近日于河南省永城市条河乡进行抽样调研获得的数据显示，48.6％的信徒因本人或家人生病而信教。上述数据说明，祈求医治是农村信徒信教的一个主要因素。农民之所以走入教堂，除弱势群体求帮助之外，另一个原因就是农村文化生活的荒芜，农闲时无所事事，农忙时又无调节身心之处。目前，中国农村基层政权很难满足农民在文化层面的多样性需求，农村教堂及活动无疑成为人们社交、娱乐并陶冶情操的替代场所。2008年，一份有关陕西关中地区某村基督教的调研报告中这样记载：“在南村及更多区域的村庄，大部分农民闲暇时除了看电视之外，就是打-麻-将和玩-纸-牌”，而“信徒除了每周日在南村教堂聚会一次，一般在己家也进行。如唱赞美诗，讲圣经和共同祷告。当时“尽管大雪融化后道路泥泞，然而附近村落没有信神的农民也纷纷前来观看‘热闹’。其中有步履蹒跚、白发如雪的80岁的老人，有怀抱婴儿的少妇和年轻男子，还有数个村的村支书、村主任和村民组长。”对于农村的年轻人，教会的这种“集体活动”同样具有吸引力。2008年，另一份关于安徽省泗县的调查报告记载：“城关镇教堂设有‘唱诗班’，每天下午都有读经活动。‘基督教青年会’和‘基督教女青年会’同时开办‘青年读经班’，对青年人特别是女青年进行宗教知识培训和普及乐理知识，丰富了青年人的文化生活。”无疑，这些共同的信仰及教会活动在一定程度上扩大了农民的生活及社交范围，丰富了农民的生活内容。另外，在农村，基督教教义对于酗-酒、赌-博等不良X惯有禁止性规定，更不允许信徒有偷盗、打人、骂人等行为，同时要求人们诚实、不嫉妒、孝敬父母、疼爱子女、教徒间要亲同兄弟姊妹，这些无疑有助于教徒在日常行为中约束zi己，并在被动的“怕主惩罚”的意义上获得道德提升。2008年，笔者在云南宣威地区调研时遇到这样一件事：一位姓刘的信徒举了一个生活中的小例子，来证明基督徒的良好公民形象。一次，他请生意上的伙伴吃饭，饭后那个人要“洗脚”。刘先生认为这种“休闲活动”有悖于他的信仰，于是拿出400元让那个人单独去了。然而，在场的另一位姓单的信徒不同意刘先生的做法，认为这助长了那种违反圣经诫命的做法，压根儿不应该给那个人钱。单先生见证说，他不久前患病，发烧咳嗽，医药无用，向上帝祷告也始终不好。经过多日折磨，他认为zi己的病因应是多日前摸麻将的后果。当时，朋友玩麻将三缺一，在他们再三邀请下，他碍于情面只得加入其中。尽管为了让上帝原谅他，他把赢的钱都还给了其他人，但神还是怪罪了他。于是，他痛哭流涕向上帝忏悔，结果，病很快就好了。由此，单先生更加坚定了不做违背圣经原则的事的决心，即便是向世俗风气妥协的行为也不行。单先生甚至还认为，正是“神”让他改变了“翘二郎腿”这个对人不敬、但改了几十年也改不了的坏毛病。农村教会之所以出现“老年人、妇女及体弱者”多的现象，即农村很多青壮年，尤其是男性均外出打工或找更好的发展机会这个事实，这直接导致了农村信徒中男性青壮年人数较少这一现状。
樱桃Amo,:饭圈女孩调查表接@云沫灵哈哈哈哈一上来就被点名既视感
爱biw,:一家银行被抢劫了；大家一起围着火炉吃着火锅很有味道和气氛，派出最优秀的调查员去调查，所以有点吃撑了，别笑我哈湖州·浙江农信学院
kilposition,其实妓女有心，只是将军不信其实妓女有心，只是将军不信
秋风87654321,:《争议李跃华：“神医”还是“神棍”？｜深度》对此，调查报告特别指出，2020年2月24日，李跃华在接受武汉市汉阳区卫生健康局执法人员调查时，曾承认未取得《医师执业证书》。http://t.cn/A67p9thr
仙女真的没有梦,:wb的热心网友真的太多啦感谢大家让我在没办法去医院调查的日子里也能收获数据
江门五邑,:#江门五邑#【网上发视频秀车技却引来交警，江门三名摩托男被查处！】近日，江门三名男子拍摄的骑摩托车“玩杂耍”的视频，在网络社交平台上火了，这些“拉风”的表演不但成功吸引了网友的眼球，也引起了江门交警的注意，很快便把这三名男子一一查获。目前，交警部门已依法暂扣涉案车辆进行调查，相关驾驶人将面临相应的法律追究。案件还在进一步调查处理当中。@江门五邑http://t.cn/A67pzMEV
时光的盔甲,#国家监委派调查组调查李文亮问题#将近一个月了，请问你们人呢？被隔离了吗？『最新！国家监委调查组已抵达武汉，调查李文亮医生有关问题_媒体_澎湃新闻-ThePaper』最新！国家监委调查组已抵达武汉，调查李文亮医生有关问题
古月西原CY_,:饭圈女孩调查表接(emm我觉得我可能…算不上真正意义饭圈吧
彡威俊喆Faithe,:最后：虎大怒……狐狸包给松鼠，掉脸盆里淹死了，打了松鼠。松鼠雇几只蚂蚁搓澡接客。派警察调查情况：抓了8只蚂蚁！竟然没搓澡证。
阳光蓝天白云菠菜,:#华南海鲜市场开始消杀工作#调查清楚了？
豫乐直播,:网络安全公司360本月3日宣布，通过该公司旗下“360安全大脑”的调查分析，发现美国中央情报局（CIA）的网络攻击组织“APT-C-39（由360命名）”对中国进行长达11年的网络攻击渗透。“实锤”披露CIA持续11年攻击中国网络专家：或已窃取大量敏感数据
袁国庆,:【陕西一医院被曝一线医护补助最低400元，医院领导拿8000元卫健委：已介入调查】#医院领导抗疫补助远高一线医护#3月2日，一名网友在微博中贴出陕西省安康市中心医院抗疫一线补助名单，该院负责预检分诊及发热门诊、急诊内科、CT室的医护人员核定的补贴在400到4000元之间，其中大部分医护人员补贴金额不足1000元。另一方面，网友用红线在表格中圈出39人，其中显示，他们的补贴金额在8000到12000余元之间，公示名单中注明这些人大多为安康市新型冠状病毒感染的肺炎病例医疗救治专家组成员，也有控感科工作人员及院长助理。
焦作老乐,【#武汉被打配菜员发声#：有菜筐搁不下堆门口城管称影响市容】3月2日，武汉多名城管殴打蔬菜配送员的视频引关注。3月3日，被打的蔬菜配送员李锋告诉@紧急呼叫称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”。@新京报我们视频http://t.cn/A67NqDUi
少爷家的小狐狸,:饭圈女孩调查表接@叶雨声烦烦烦烦烦我的天！从来没搞过这东西呀！①什么时候开始追星:从天外飞仙开始就一直对胡歌恋恋不忘，特别有好感，但是因为小时候家里有好几年没有电视，直接断网状态，直到仙三才又开始看到胡歌！然后就是轩辕剑，琅琊榜等等等，一直都是坑底躺平的状态！②初恋追星的爱豆是谁：胡歌③对白嫖🐶什么看法:没什么看法，各自喜欢并且不影响别人就好④本命是谁:胡歌啊！！胡歌是本命！是底线！！⑤见过自己本命吗:见过！去年小聚会南京路演！从隔壁城市和闺蜜提前五个小时到场地，整个过程跟做梦似的！后悔为啥要一直拍照还拍不清楚！！眼睛看到的才是最难忘的呀！⑥在饭圈什么地位:坑底躺平没啥贡献默默追随的一只小透明⑦饭圈人际关系怎么样:一直都是自娱自乐，也没有可以去结交饭圈的小伙伴们！都是默默关注…（话说这样我要怎么解决最后一个问题呀！）⑧愿意为蒸煮花💰吗：愿意呀！但是胡老大不给机会呀！⑨有墙头吗:有的呀，追星是为了让自己开心嘛，能够让我开心的爱豆都会有点喜欢哒，但是可能不太长久哈哈哈！本命永远不会变！！⑩艾特你的人和你关系怎么样:十多年的闺蜜！去年一起去见的胡歌！见证了彼此疯狂的模样！⑪艾特你饭圈姐妹三位回答问题，不可以更改拒绝回答问题@眉有钱就歌唱@南野与风@Claire_198401
静儿喜欢Jinger,:小城镇的公务员每天真的就是在混日子，浪费国家的钱。疫情期间每月调查所在地人员具体信息这件事我不排斥，也理解，但是晚上12点打电话，人睡了没接到就打电话到父母那里问你家孩子工作所在地就真的是忍不了，你说你明天一早要给领导汇报，那就请你早一点开始统计呀，临了临了打扰别人，还威胁你就应该要配合是个什么鬼？还有就是工作效率非常低，每一次都要问你具体的工作地点，你每个月统计一次，能不能先问一下这个月工作地点还是不是上次那个，如果有变化再让对方一个字一个字告诉不行吗？每次都要别人给你复述一遍，最主要还语言不通，说半天。说什么工作人员辛苦，这明明就是效率低下好吗？让别人24小时为你的低效率工作配合，还美其名曰我们也很辛苦，谁的工作不辛苦？别人就有义务为你的低效率买单？还动不动就你也是大学生，你就应该理解我们，不好意思，你晚上12点打电话，还打扰到我的父母我就没办法理解，工作时间请问你们在干嘛？？？真的是老虎不在猴子称大王，一副所有人就得配合我，不配合你以后在村里就不好过，小心给你抓进去改造，这还是法治社会吗？？？有关部门还是管一管吧，老百姓不敢吱声，就可以使劲捏，这真的是有点过分了！！@伊宁县政府@伊宁市政府http://t.cn/AigLmeSr
Coisini-nuhes,:接首页姐妹们喜欢男生类型深夜大调查脸好身材好活好爱我就行
陈等等和李喋喋的肉酱军,:上一棒@小胖腿辣酱饭圈女孩调查①什么时候开始追星：2010年？或者更早？②初恋追星的爱豆是谁：焦恩俊孙兴（没错我追爱豆就是根据cp来的！自豪脸）③对白嫖什么看法：别搞事情都ok④本命是谁：本命？现在还得过去，现在王一博肖战，过去小罗伯特唐尼克里斯埃文斯前前是陈伟霆李易峰⑤见过自己本命吗:我见过前前
走在路上心未变,:北京公布黄某英进京事件调查结果：进京时检查站有值班人上厕所北京公布黄某英进京事件调查结果：进京时检查站有值班人上厕所
小雷特一高富贵,:现在还持有套单的继续发来一并帮你们处理了，别一会冒出一个一会冒出一个！在汇市中，真正的高手是懂得“放弃”的，根据《2018年个人投资者状况调查报告》，亏损者与盈利者在知识水平和投资理念上并无明显差异，两者在止损意识上占比几乎相等，分别为38.8％和38.7％，但在交易行为上差异明显。【外汇国际现货伦敦上海美黄金原油美元恒生指数英镑澳元欧元兑美元技术分析解套投资经理人】
走在路上心未变,:武汉“城管队员殴打配菜员”续：3名城管被辞退、1人被立案调查武汉“城管队员殴打配菜员”续：3名城管被辞退、1人被立案调查
小心别迷上我了哦,:最近老听到神秘的叮当声经走近科学节目组调查原来是我穷的叮当响
kahwangtin,:垃圾小米活该倒闭问卷调查居然没有魅族
企鵝大暴走,#武汉野味肺炎#你认为是中国给人类制造灾难还是强力阻止病毒扩散从而帮助了世界？
用户2709264983,发布了头条文章：《“神医”李跃华，正确的姿势应该是这样的……》#江湖神医李跃华被指无证行医##庄律说法#“神医”李跃华，正确的姿势应该是这样的……
上海宝山公安,:【警情通报】3月3日20时许，宝山公安分局通河新村派出所民警接报，辖区一户居民失联多日。民警即前往处置，发现瞿某(女，59岁)及其女儿已在家中死亡、身上有伤，瞿某前夫黄某(59岁)在现场自缢身亡并留有遗书。经初步勘查和调查，黄某因感情及财产纠纷杀害母女两人后自缢。目前，案件在进一步侦查中。
闲云野鹤ABC,:吴鹏飞的建议，可否成立一个中立和公正的调查小组，人员由卫健委官员、中西医药专家、纪检监察人员、新闻记者、群众代表等组成，按照李跃华提供的患者名单，逐一了解他之前诊疗的效果，和这次新冠肺炎患者的治愈情况。@胡锡进@孙海峰博士@投行泰山@央视财经独家发布：李跃华晒出了自己的第三军医大毕业证书
一盒山竹馅,:接@破译94密码喜欢男生类型深夜大调查1.喜欢打篮球的男生还是踢足球的男生？必须篮球2.喜欢高的男生还是矮的男生？1853.喜欢只对自己撒娇的男生？适当可以俺喜欢斯文败类的4.喜欢弹钢琴的男生还是弹吉他？都喜欢一定要选一个的话就是钢琴5.喜欢手长的男生吗？当然比比爱曲那种6.喜欢头发比较二逼的男生吗？？我又不是二逼7.喜欢会做饭的男生吗？喜欢因为我不会做饭8.喜欢现在（班里）的某个男生吗？没追星之后看现实中男生都不咋顺眼…9.如果喜欢的男生老是跟别人暧昧，你会怎么办？放弃不值得10.如果你想要一件看中的东西会要求他给你吗？会自己买…11.喜欢打游戏的男生吗？帅哥可以一：被点到的人必须在自己首页公开发布二：请老实回答每一个问题三：不准擅自涂改题目四：点五个人五：不准不点名（我改了可以不点名）六：手机里面第五张照片不点了不点了时间太晚了我游戏终结者
哼谁要和你天下第一好,:喜欢男生类型深夜大调查1.喜欢打篮球的男生还是踢足球的男生？都可以2.喜欢高的男生还是矮的男生？高3.喜欢只对自己撒娇的男生？喜欢4.喜欢弹钢琴的男生还是弹吉他？都喜欢5.喜欢手长的男生吗？喜欢6.喜欢头发比较二逼的男生吗？no7.喜欢会做饭的男生吗？喜欢8.喜欢现在（班里）的某个男生吗？没有9.如果喜欢的男生老是跟别人暧昧，你会怎么办？没有喜欢的男生10.如果你想要一件看中的东西会要求他给你吗？不会11.喜欢打游戏的男生吗？还行，特别是边伯贤一：被点到的人必须在自己首页公开发布二：请老实回答每一个问题三：不准擅自涂改题目四：点五个人五：不准不点名六：手机里面第五张照片该睡觉啦人就不点了妈妈打
青衫隐竹林,:我提出了问题"a03，lofter平台被举报，举报后什么流程，调查吗，结果有公告吗？平台出公告了吗，国家出公告了吗？"a03，lofter平台被举报，举报后什么流程，调查吗，结果有公告吗？平台出公告了吗，国家出公告了吗？@微博问答
头冷少女还能再肝,:【睡前小调查】清流上线之后，因特别的基建技能引起博士们广泛讨论……那么各位博士的基建安排是怎么样的呢？153，243，333……？（以上数字是按照贸易站、制造站、发电站数量得来）#明日方舟[超话]#
蛮蛮今天熬夜了吗,:饭圈女孩调查①什么时候开始追星:2019年②初恋追星的爱豆是:周震南③对白嫖🐶什么看法:我🙈你
Kim可可_,:「10の秘密」第八話｜#松村北斗#继续调查妈妈死亡的真相，盯梢宇都宫的时候却意外发现了菜七子的秘密...Kim可可_的微博视频
爱漾de三眼皮儿Raincy,:接上一棒@达尔文抛物线饭圈女孩调查①什么时候开始追星：高一②初恋追星的爱豆是是：三字弟弟，属性凯源偏凯③对白嫖什么看法：哈哈哈舔物料可以，挑刺没你说话的份儿，闭嘴哈
潇洒川江2765936213,:『大河调查之追踪|“神医”李跃华“铁杆代言人”是策划公司老板-大河报网』大河调查之追踪|“神医”李跃华“铁杆代言人”是策划公司老板
夏小橙,:接@海绵博博我又开始做这种暴露年龄的调查吗？饭圈女孩调查①什么时候开始追星：三年级②初恋追星的爱豆是谁：陈慧琳③对白嫖什么看法：呵呵④本命是谁：赵让⑤见过自己本命吗:是的⑥在饭圈什么地位：卑微客服，菠萝屋鄙视链底端⑦饭圈人际关系怎么样：喜欢我的很喜欢，讨厌我的很讨厌，还有一堆不想理我的。⑧愿意为蒸煮花💰吗：努力想当个高贵的bp，一直在失败。⑨有墙头吗：想了好久，没想出来⑩艾特你的人和你关系怎么样：是打不过我的小可爱⑪艾特你饭圈姐妹十位回答问题，不可以更改打不过我的人太多了，我就不欺负人了
佛山人谈天说地,:央视新闻北京公安局：正调查黄某英事件是否构成违法犯罪视频|北京公安局：正调查黄某英事件是否构成违法犯罪
Steven_爱音乐,:【调查一下】
女娲娘娘9981,胡歌先生从未与赚多多团队有过任何合作，并且从未担任赚多多团队代言人！我方已经就此侵权行为取证调查，保留进一步追究法律责任的权利！特此声明！
老虎吃豆芽,:注册一调网-做调查赚现金http://t.cn/EIIyOua
给我两丫橘子,:一想着论文要做一份问卷调查，我头都秃了。我想问那是干嘛的，我哭了
抵橡树的牛犊,反对阴谋论，主张证伪求真！希望医学界大咖能够回答这篇文章中提出的问题和疑惑。那些对李跃华嗤之以鼻的，能否从学理和实证上认真研究他的这种超常规“治疗方法”，是否真的具有疗效？？『若李跃华医生苯酚注射法效果为真，欧美抗病毒药物公司将破产』若李跃华医生苯酚注射法效果为真，欧美抗病毒药物公司将破产
刀田一_扫文扫剧吐槽专用,:#扫影#《利刃出鞘/KnivesOut》（2019）知名推理小说家哈兰在生日的第二天被发现离奇死在自己的庄园中，警方本打算以自杀结案，却有人匿名雇佣侦探来重新调查此案。于是参加生日宴的哈兰的子孙及他的护士都被召集到庄园里，在对每个人的问询中，侦探还原出了生日宴当晚的情况，并敏锐地察觉到哈兰家并非表面上那样和睦，每个人似乎都有着不可告人的秘密……挺喜欢前面通过多人视角拼凑还原现场的部分，案件真相其实很早就明了了，为的是揭开隐藏在暗处的更大的谜。一些细节和伏笔前后呼应，使得整个故事最后严丝合缝地形成一个环状，但感觉节奏还能更紧凑些，中间有段略无聊，等到后面层层反转才勾起人的兴趣。看完后又看了点解析，发现这部在细节暗示上算是做到极致了。总体来说挺精彩的本格推理电影，推荐。
晒玉米,【调查：#外地人滞留武汉如何才能领取3000元救济金#】2月27日，武汉发布通告，关于开启滞留在汉外地人员救助通道。3月2日，有媒体报道“武汉：外地滞留者每人可申领3000元政府临时救助”，对于何种情况可以申请救助？申请标准如何？风视频独家联系了武汉的玉兰里社区和百瑞景社区。工作人员回应称，主要是针对在武汉没有工作单位且滞留在这里的流动人员。关于社区是否会进行筛查审核，风视频了解到有的社区会进行初审，有的社区不会。具体申请标准是由民政局出。“这笔钱肯定是从民政局出，社区不可能有这笔费用。”风视频尝试联系武汉市民政局，但对方未接通电话。#风视频#http://t.cn/A67pvlo0http://t.cn/A67pvQ6a
汇文视角-杨柳,:曝光：南宁一女子不戴口罩“大闹”南湖公园，还辱骂工作人员。今天上午，南湖公园内一位女子不佩戴口罩，拒绝配合防疫人员检查、口吐“芬芳”、肆意辱骂工作人员以及执勤协警。在劝说无果下，工作人员无奈报了警。中午11点，南湖派出所民警来到现场，要求该女子佩戴好口罩，并要求其配合警方问询调查。http://t.cn/RyhYBYM
林夕欣啊,:这几天事情真的好多论文录组合作业访谈调查评析鉴赏测试考试日常训练满课的一整天好累加油忙完就可以休息一口气了明早继续奋斗！
蓬莱无路沧海无垠,【#官方公布贫困户女儿喝药调查#：家中装有宽带，有2部手机】近日，河南邓州一14岁女孩因无手机上网课吞下大量药物自杀引关注。3日，河南日报消息，邓州公布的调查回应称，女孩家中装有宽带，有2部手机，姐弟三人轮流使用，其网课一直正常运行。此前，女孩就因家庭琐事服药昏迷。知情人称，女孩现在已经能喝粥了。事发后有好心人组织捐款累计1万余元。http://t.cn/A67CLsOp
yh_solos,:《联合调查组：湖北省监狱局管理不力，严重缺失大局意识、法治意识》联合调查组：湖北省监狱局管理不力，严重缺失大局意识、法治意识http://t.cn/A67pXSAr
等待中的人2022,我看到很多博主都在说和银行重新签利率时要签浮动利率而不是固定利率，我感觉他们都是银行的托啊。
水鱼,#拒吃野生动物#地球上的哺乳动物36%是人类，60%是人类养的牲畜，剩下的4%才是野生动物。不吃野生动物，不是什么人类的牺牲，而是我们，自封的“万物之灵”，对自身的反省和救赎。#不再做沉默的无辜者#
HR帝李晶V,现在HR方向的线上直播或线上培训论坛推广的，感觉真的看的人很少啊。。很多看几分钟就跑了。大家有什么好办法呢
爱尚昌吉,:3月4日昌吉市政府补贴口罩购买药店名单。即日起，供应政府补贴口罩的药店每天由昌吉市医保局摸底调查后时时动态向社会公布，请广大居民留意相关更新信息。
羽绒鹅毛,【#如何看待饭圈举报文化#】连日来，#肖战[超话]#粉丝大战同人圈引发全网关注。对此，凤凰网娱乐发起了投票调查。截止3月3日上午10时，共有276128人参与了调查。结果显示——http://t.cn/A67pzILI①近七成网友认为肖战粉丝该为此事件买单。②近90%的网友认为，肖战本人需要出面发表声明、向公众说明情况以及向平台及创作者道歉。③四成网友认为粉丝举报行为是对公民权利的滥用与亵渎；同样有四成网友赞同“粉丝行为，偶像买单”。④六成网友认为，同人文应当允许大家自由地观看。但由于涉及到对明星名誉权等合法权利的侵害，也有36.66%的网友认为，同人文可以存在，但如果发布在公众平台上，就应该受到平台的管控及读者的审视。⑤九成参与投票的网友认为，风波后肖战的代言或多或少都会受到影响。⑥87%的网友对饭圈文化持负面态度，认为饭圈需要整顿，并且饭圈文化已经走向极端。
破译94密码,:接@正在和边伯贤谈恋爱喜欢男生类型深夜大调查1.喜欢打篮球的男生还是踢足球的男生？篮球赛高
