我的身体已经菠萝菠萝哒,http://t.cn/A67qod6l大家记得一定要填法米通六周年调查问卷啊
新京报我们视频,:【财政部：兜底确诊患者医疗费#全国疫情防控资金1087.5亿元#】财政部应对疫情工作领导小组办公室主任、财政部社会保障司司长符金陵介绍，明确了确诊患者的医疗费用在基本医保、大病保险、医疗救助等按规定支付后，个人负担部分由财政兜底。截至3月2日，各级财政安排的疫情防控资金已经达到1087.5亿元。#聚焦新冠肺炎疫情#@我们直播http://t.cn/A67NAn3G
济州旅游发展局,:曾经，我们也像图中的小鸟一样，可以飞到别的国家自由自在地#旅行#～现在，因为#新型冠状病毒#的影响，我们只能在室内看着旅行的照片。莫名感到伤感。#韩国##济州岛#截止到现在为止一共发现了三例确诊患者，大街上基本上也很少的人在走动。天气好的时候，好想去小火山上走一走。感受一下阳光和风。希望疫情赶紧结束，大家可以正常生活。大家都一起加油喔～戴口罩、勤洗手、咳嗽或打喷嚏时用袖子挡一挡，就医时，请提前告诉医生旅行史，疑似得了传染病时，请拨打相关机构电话，在韩国时，请拨打疾病管理本部电话1339.
Mr球ER,#吴亦凡[超话]#[心]#吴亦凡饭制视频#吴亦凡《LALALand》虚幻/真实之地Nothingcanhelpusenduredarktimesbetterthanourfaith.制频Lafa_W的秒拍视频wyf51fkriswu
iceseraph,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
衡阳发布,:#湖南防控新型肺炎#【热血传真情衡阳市调拨新冠肺炎康复者恢复期血浆支援邵阳[加油]】3月3日，衡阳市中心血站紧急调拔400毫升新冠肺炎康复者恢复期血浆，支援邵阳市的新冠肺炎危重症患者救治工作，共同抗击疫情。当天下午14点30分，衡阳市中心血站工作人员在认真完成血液的出库、核对、装箱等相关工作后，顺利与邵阳市中心血站工作人员进行新冠肺炎康复者恢复期血浆交接。http://t.cn/A67Nv8Wt
她的悦,:#急救车接隔离患者闯红灯撞翻#【急救车接隔离患者闯红灯撞翻，司机：去接隔离患者有点着急】3月3日，哈尔滨一辆120急救车去接被隔离患者途中闯红灯，与一辆出租车相撞后侧翻，等红灯的另一辆出租车也被波及。驾驶员姚先生称，当时是接到防疫指挥部的任务，前往定点隔离宾馆接一个隔离的患者。#哈尔滨爆料#http://t.cn/A679sEw6
惠州身边事,:#惠州战疫##惠州身边事#【报告！惠州全部清0！】3月3日，据@健康惠州通报，惠州2名新冠肺炎确诊患者（病例4，吴某某；病例57，阙某某）经包括中医的综合治疗，通过专家组评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准，于今日痊愈出院。惠州市目前收治的62例新冠肺炎确诊病例已全部痊愈出院。
木子无界,:#湖北回应首家方舱医院休舱#湖北疫情防控取得了巨大的进步，增量的问题大体解决了，但消化存量的任务依然严峻：全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。认真对待，决不能大意，疫情防控仍有不确定性！
啊碎丶,:#中国女孩#最近评论太过魔幻一堆中二病患者
Alice-lys,【#新疆一基层干部倒在战疫一线#】昨天，新疆伊犁哈萨克自治州特克斯县自然资源局干部巴格努尔·哈那里汗，因突发心源性猝死，倒在了战疫一线。自疫情发生，他一接到通知就迅速投入到防控工作中，一个月来，负责社区体温测量、垃圾清理、送菜送药等工作。送别！（总台央视记者崔宁阿尔曼）
大腾不蛋疼,:从不配合到致谢江西医疗队，随州85岁患者痊愈出院从不配合到致谢江西医疗队，随州85岁患者痊愈出院http://t.cn/A67NAEL4
丫头的祖母绿,#警方提醒#网络不是粉圈的“秀场”，发布虚假自杀言论博眼球，已涉嫌违法！
盘活使者二零一八,:#新冠肺炎患者的肺和SARS患者的区别##安徽黄山发现两个哺乳类新物种#普及医学知识（脾脏的描述）:脾交感神经对脾脏免疫功能的影响主要表现为两个方面：调节脾脏血液灌流量和脾免疫细胞功能。脾交感神经电生理活动与内毒素呈剂量依赖关系，内毒素剂量越大，脾交感神经电生理活动强度越高，潜伏期越短，脾脏血液灌流量越低，说明脾交感神经对内毒素的敏感性较高，能快速调节脾脏血流量，使之表现出相应的免疫反应。
文明安顺开发区,:【新华社评论员：群众需求在哪里，共产党人的身影就应出现在哪里】把人民群众生命安全和身体健康放在第一位，是疫情防控的根本要求，也是共产党人政治本色的集中体现。群众的需求在哪里，群众的呼声在哪里，共产党人的身影就应该出现在哪里。从救治患者的病房，到城乡社区，再到百姓的“米袋子”“菜篮子”，无不是为群众排忧解难的考场。只有心系人民的安危冷暖，及时解决群众所急所忧所思所盼，才能取信于民。http://t.cn/A67Nh1Ky
安徽卫视,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
加拿大乐活网,:【#大邱确诊患者出门排队买口罩#，接受采访称：早上刚被确诊】3月2日上午11时，韩国大邱市某邮局开售政府配置的口罩，每人限购5个，众多市民提前3小时排队，队伍长达数十米，仅33分钟口罩遍售罄。记者到现场采访，发现一男子称"我早上被确诊了，但口罩总要买的，你说是吧”。随后记者劝告男子不要出门，赶紧回家。并向警方报案，经确认该男子是确诊者，警方表示会强制隔离，让男子先接受治疗，随后展开调查。（环球时报）http://t.cn/A67CxnMt
江北检察,:【一定是特别的缘分！#方舱医院患者考研究生见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者表示她要考湖南省中医药大学的研究生。刚好这个学校的博士生导师毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。#聚焦新型冠状病毒肺炎#http://t.cn/A67CVFi0@中国青年网
SDP山栀花,:2日，@拉萨发布刊发《温馨提示》：①请近14日居住在湖北省的人员不要进藏来拉萨；②近14日内本人所在村（居）小区有确诊病例的不要进藏来拉萨；③确诊病例、疑似病例、发热症状患者、与确诊病例密切接触者四类人员不要进藏来拉萨；④非以上人员需要进藏来拉萨的，必须持有其居住地所在乡镇（街道）或村居（社区）开具的健康证明。cr:中国日报http://t.cn/R2WxTYc
搞笑视频精集,:中二病患者集中地，一个个都戏精！#搞笑#搞笑视频精集的微博视频
哈尔滨身边事,:【好消息！鸡西冲进个位数，刚刚又有2人出院
Tivogliobenee,:好想开学，宅家是滋生懒惰的温床
美牙小天使呀,:武汉第10天9℃希望每天都能送患者出院身体健健康康
吕梁发布,:发布了头条文章：《全省又有3例新冠肺炎患者治愈出院，累计治愈出院119例》全省又有3例新冠肺炎患者治愈出院，累计治愈出院119例
Filleli,【这位来自东北#驰援武汉的呼吸科专家陈宏#上了新闻联播
临朐政法,#法治新闻速览#【国家卫建委：全国治愈出院比例达到52.1%】①最大规模！武汉客厅方舱医院患者集体出院。
白水检察,:【悼念！李文亮所在眼科副主任#梅仲明医生因新冠肺炎去世#
晋城政法,:#抗疫行动#【晋城第八例#新冠肺炎#确诊患者出院，晋城清零！】今天上午，我市第八例新冠肺炎确诊患者在市第三人民医院出院。至此，我市已经确诊的10例新冠肺炎患者全部治愈出院，晋城清零了！刚刚，晋城市人民政府新闻办公室举行发布会，对我市第八例确诊患者的出院情况进行发布：病例8：男，64岁，沁水县郑庄镇人。患者主因“发热乏力1天”于2月5日入住沁水县人民医院，2月6日确诊新冠肺炎普通型，转入晋城市人民医院隔离救治病区。诊断：新型冠状病毒肺炎（普通型）入院后给予抗病毒、抗感染、中药汤剂、静点丙种免疫球蛋白、对症支持等治疗后，患者体温逐渐下降，2月11日体温完全正常，呼吸道症状消失，3月2日复查胸部CT病灶基本吸收。3月1日、3月2日两次咽拭子、痰核酸检测、3月2日全血核酸检测，结果均为阴性。结合患者体温正常20天，呼吸道症状消失及胸痛CT肺部炎症明显吸收，符合国家卫健委《新型冠状病毒肺炎诊疗方案（试行第六版）》出院标准和山西省卫生健康委办公室《新型冠状病毒肺炎诊疗山西专家共识（第一版）》出院标准。经省级、市级专家组会诊，评估确认，于3月3日治愈出院。
黎明man,【纽约州长：新冠肺炎病例80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。http://t.cn/A67CVjKZ#纽约州长称新冠肺炎没必要去医院#
妤灵儿呀,都怪#李易峰围观韩延直播#，害我无心制作，这是#我在北京等你#8-10的吐槽，恩，里面还有徐天对红毛的建议，我要求有收墙头的爱好者仔细品，对了，徐天说的“管sha不管埋”就是cfjj卖安利的宗旨。希望大家继续支持我们老北京，高清看@李易峰好美貌呀#李易峰[超话]#葵SPP的微博视频
你一句成全,:#韩国累计确诊新冠肺炎5186例#我觉得韩国真的有点全面爆发的征兆，韩国早就该进入全面戒备状态，前几天看到韩国大邱医护人员和病床告急，希望政府还是快点拿出决策，先把患者隔离了。大邱就相当于中国的武汉，武汉封得了城，大邱的新天地教却像洪水一样拦不住，中国这次抗疫更是发挥得淋漓尽致，能够一呼百应众志成城，全国瞬间进入防控状态，这一点韩国是比不了的，也衷心希望各国并肩作战，一起打赢这场新型肺炎“歼灭战”。
黄骅司法,:#小司微播报#【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。（央视新闻）http://t.cn/A67Cu2Aa
中安在线,:【六安清零！69例确诊患者全部治愈出院】3月3日上午六安市6名新冠肺炎确诊患者出院。至此该市69例确诊患者全部治愈出院。这是继铜陵后，安徽省第二个实现新冠肺炎住院患者“清零”目标的城市。据悉，自首例确诊病例入院以来，六安始终坚持集中患者、集中专家、集中资源、集中救治“四集中”原则，取得了良好的救治效果。为促进患者康复，率先提出定点隔离休养、居家医学观察、健康状况随访“三段式”接续管理服务。截至3月3日，安徽省已连续多日无新增确诊病例报告。今日新增出院24例，住院病例减少到43例，累计治愈出院病人941人，治愈率达到95.1%。目前，滁州、亳州、芜湖、池州、安庆、黄山6市均仅剩1例住院病例。（记者王佳）
等待牛的21GS,【#韩国累计确诊新冠肺炎5186例#，文在寅宣布进入抗疫“战争阶段”】央视新闻微博3月3日消息，据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在韩国全国进入了同传染病的战争阶段，所有政府机构要启动24小时应急机制共同应对疫情。http://t.cn/A67N7CwS
David鵬,李文亮的同事，同科室的医生，武汉市中心医院眼科主任梅仲明，刚刚走了。该医院目前还有数名医生危重。
新浪湖南,:#湖南防控新型肺炎#【热血传真情衡阳市调拨新冠肺炎康复者恢复期血浆支援邵阳[加油]】3月3日，衡阳市中心血站紧急调拔400毫升新冠肺炎康复者恢复期血浆，支援邵阳市的新冠肺炎危重症患者救治工作，共同抗击疫情。当天下午14点30分，衡阳市中心血站工作人员在认真完成血液的出库、核对、装箱等相关工作后，顺利与邵阳市中心血站工作人员进行新冠肺炎康复者恢复期血浆交接。http://t.cn/A67Nv8Wt
保山新闻网,:#抗击疫情保山在行动##抗击新冠肺炎云南在行动#【虽然隔着护目镜口罩我看不清楚他们的模样但我相信他们
洛杉矶华人资讯网,:OC消防队员在遇到正在接受COVID-19检测的患者后被隔离http://t.cn/A67NAcgG
中国经济网,:【湖北回应首家方舱医院休舱：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。疫情增量风险仍未根本控制。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
欢乐口腔医院,:很多戴隐形牙套的患者都会问：“为什么戴牙套要咬胶？”首先要知道咬胶是专门针对隐形矫正配套使用的硅胶“糖块”，能更好地保证隐形矫正的效果。咬胶不是工具，只是“按摩”就位器，一般是先用手把牙套佩戴上，然后通过嚼咬胶帮助牙套与牙齿充分贴合。咬胶可以反复使用，用水或者漱口水冲洗即可，至少1个月更换一次
