林要carpediem,:美国政府从上到下加上各种相关机构对新冠肺炎的反应态度和处理措施我只能用WTF
扎西德勒·天珠收藏,:#美国疫情#
佳崽_,:深夜睡不着感叹一下今天发生的事租我家房子的一家人今天刚从他们老家回来需要去社区办理居住证才可以入住也需要房东签字才可以所以我这个美女房东（哈哈哈哈）就带他们去了两个老人带着一个女孩子也不认识字所以只好拜托我给他们填资料我问他们儿子儿媳怎么没回来爷爷奶奶说儿子他们开车下高速被拦着了需要隔离观察他们是自己坐大巴回来的大包小包的看着真的挺心疼的一家五口来这里打拼也真是不容易想想自己已经很幸运了父母提供优质的生活所以还在抱怨什么呢努力生活吧！💪
爱蛋糕的喵喵喵,【#武汉被打配菜员发声#：有菜筐搁不下堆门口城管称影响市容】3月2日，武汉多名城管殴打蔬菜配送员的视频引关注。3月3日，被打的蔬菜配送员李锋告诉@紧急呼叫称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”。@新京报我们视频http://t.cn/A67NqDUi
神马神逻辑,:对永居条例条款的各种分析已经很多了，这里不再重复，只提一个非常重要但几乎不被关注的现象，就是外国人聚居问题。一个文化上和中国格格不入，又扎堆聚居，内部十分封闭的外国人社区，是非常不利于同化的。这个问题必须重视，建议政府机构规定一个小区、甚至一个楼栋，外国人居住比例不得超过5%，超过5%后即不准后来的外国人在该小区或楼栋买房、租房。可借鉴新加坡的种族混居制度。
heodora_49425,#新疆无差别隔离##新疆解封#我在西安考研班的复学证明都开来了，即便这样新疆都不让我走……我现在住在新疆伊犁六十二团一连，自疫情开始以后这里的工作人员没有给过我们任何一张填写式的表让登记我回疆人员的信息，也没说过让我们在微信上给他们发我的信息。现在我要准备离疆了，他们说我不在回疆人员名单上……说是他们多次来我家问了很多遍我家有没有从疆外回来的人员，是我爸妈不给他们说……然后就说我没登记回疆所以就不能离疆……现在还诱导我写一篇类似于认错的情况说明书，证明这件事不是他们的工作失职失误，而是我们一家人不配合工作犯的错。我们何错之有？封路后第十天左右我还去过连长办公室说我是西安上学回来的，问他我现在怎么样可以回西安……他们自己不登记，现在却说他们多次询问是我父母不上报？况且在我去连长办公室之前都没有任何工作人员来过我家，我们在家就是真的生病了都有可能没人知道……最可气的是说他们最后一次来我家送体温计的时候还再次询问了是否有回疆人员的时候我母亲还说没有，是他们来送体温计的那一次是我自己出去和他们接触的，并非我母亲，我绝对不会记错他们根本没有询问我这件事情！你们不矛盾吗？现在什么意思？推卸责任？颠倒是非？我不否认你们来过我家三次，前两次你们问没问我不知道，但第三次你们绝对没有问！同时我也相信你们若是问了，我父母也绝不会不报！我的户口在六十三团，六十三团和连队的工作人员给我和我的父母多次打电话核对我的信息和我一路的行程信息，我们都在如实上报配合工作。这样我们又怎么会不配合六十二团工作人员的调查工作呢？我的父母都是听党话跟党走的人，大是大非面前绝对不会马虎，更何况我回疆这种事情我们有什么好隐瞒的？也不可能隐瞒！如实上报这是我们的义务和责任我们太清楚不过了！被封在六十二的家里蔬菜供应不及时不说，还不给配送牙膏洗头膏沐浴露等生活用品，一打电话就是让我们坚持坚持配合工作，好，我们配合支持，我们都从来没有一句怨言，拿盐刷牙，不洗澡不洗头……我们配合了之后呢？现在反过来什么都是我们的错了……实在令人寒心……这个情况说明说我不会写的，我的父母和我都没有错，更不存在认错一说！要写我就写在这！这就是我说明的所有的真实情况！这就是新疆，我的家乡，现在令我厌恶寒心失望的地方，一辈子都不愿意再回来的地方！这些话若有一句不属实，我天打雷劈不得好死！
骏仔要把活儿干得漂亮,:#湖北什么时候解封#广州的家小区物业说就算湖北解封了也不让我进让提前通报然后去区党校集中隔离14天费用自理3500块广州上班租住的地方直接给我停水停电门锁密码出厂设置了租金还要继续交说如果湖北解封了也不让我进社区要去隔离我一个外地人就住这里我去哪隔离@人民日报@头条新闻@央视新闻http://t.cn/R2WxQdu
不知名碎纸机,:虽然疫情看上去快结束了，但我妈还在社区值班就很让人烦躁。阿拉弗波佬真滴是惨。
歌岛礼矢7,#政法通讯#【返京不登记任性打民警拘你没商量！】近日，@平安朝阳管庄北里社区民警在逐户排查了解情况时遇到一名十分不配合的女子。该女子返京不登记、不隔离，在拿着行李箱出社区被民警劝阻时对民警动粗。目前，该女子因涉嫌妨害公务罪被警方刑事拘留。小政：疫情期间，社区民警和工作人员要了解每一个人的返京情况才能保证居民安全，请配合工作，我们#共同战疫#！#致敬战疫逆行者##北京战疫#http://t.cn/A67aScDP@平安北京#中央要求各地关心关爱一线社区工作者#
sunnyleah,:新氧高美商社区正在热议#浓颜系PK淡颜系http://t.cn/A67p0USD#新氧#
Ni-palll,#新疆无差别#先别骂了！求证是不是真的？乌鲁木齐
纽约吃货,:纽约时报报道，纽约州长宣布纽约市确诊第二例新冠肺炎，这是一位50多岁的男子，住在Westchestercounty，他孩子上的学校已经封校，比较可怕的是这名男子没有明确的传染路径，有可能是社区感染
悠然小筑,:社区通知明天可以办通行证了，真的要放开复工了，可是我突然觉得，我还没有休息好
远方社工,:我发表了头条文章:《实地记录|24小时的坚守——我在社区战疫》实地记录|24小时的坚守——我在社区战疫
亲儒弘毛Noah,#新疆解封##父亲病危##求求你们了#各级政府单位：你们好，我父亲肝癌晚期，生命垂危，父母户籍地新疆伊犁伊宁县，2019年底在乌鲁木齐市医学院治疗，2020年1月出院在昌吉市家中休养，因父亲生命已经垂危，能活几天真的说不准，我在乌鲁木齐根本不让进昌吉，母亲一人在昌吉家中照顾病危父亲，父亲也想回伊犁老家安享自己最后的生命，目前受疫情影响我们都能理解，但是希望政府单位能看到我们家特殊情况尽快帮我们解决以下诉求为盼，我爸真的剩不了多少日子了，每天跟母亲视频多次只能看到垂危的父亲，真的求你们发发善心帮下我们吧：1、给的政府咨询电话基本都是通话中，疫情期间公务繁忙我们都可以理解，我不知道到底该去找谁能帮我们彻底落实此事。2、父母户籍地社区回复一直在上报，目前在等伊犁州回复是否可以从昌吉回伊犁，已经过去一周多了还是不能确定是否可以回去。老家社区给了伊宁县防疫指挥部电话说让昌吉市防疫指挥部联系伊宁县防疫指挥部，昌吉社区又给了昌吉市防疫指挥部的电话说让伊宁县防疫指挥部自己联系昌吉市防疫指挥部。我们真的没有这么大本事让两个政府单位去对接。难道社区只能做到不让出不让进吗？若不是特殊情况我们也不至于再次发微博求助了。3、如果实在不允许我们家属自驾带父亲回伊犁老家的情况下，昌吉市政府可否协调医院出动救护车送我父亲回伊犁老家。求你们了！！！别让我再删微博了，求你们能帮我们落实。@伊犁政府网@昌吉州政府网@新疆政府网
大漠aa168,:龙卷风凌晨横扫美国中南部三州酿至少19死"超级星期二"投票恐受影响当地时间:2020-3-310:25美联社田纳西州紧急事务管理局（TennesseeEmergencyManagementAgency）周二通报，当天凌晨，一场巨大的龙卷风在纳什维尔肆虐，多家企业和房屋被夷为平地，造成最少19人死亡。图为周二，田纳西州居民站在被龙卷风损毁的房屋前。这次龙卷风至少破坏三个州，田纳西州，密苏里州和肯塔基州。受灾较为严重的芒特茱莉亚（Mt.Juliet）警察局周二清晨通报说，“龙卷风极大地影响了我们社区。有多所房屋受损，多人受伤。我们的官员正处于响应的初期，我们将继续评估正在发生的事，仍有多人被困。”芒特茱莉亚（Mt.Juliet）警方还说，龙卷风发生后出现“煤气管线泄漏，电力线落在地面上，多个紧急响应人员正在对受伤的人作出反应，并试图为他们提供所需的帮助。”据报道，龙卷风在田纳西州的轨迹为数十英里。据ABC报道，飓风中受灾最严重的地区包括西纳什维尔的百年林荫大道和布里利公园大道，据报道，位于该地区的建筑受到严重损毁。
广州市海珠区中大国际轻纺城,:http://t.cn/A67ppSzt还原Steem风波始末：孙宇晨“夺权”，原社区竟成“黑客”
Metaxu_Research,:新冠可能已經在紐約市發生社區傳播，一名沒有明確旅行史，在曼哈頓區工作的中年五十歲律師確診....CoronavirusinN.Y.:CuomoConfirmsSecondCaseintheStateAmanfromWestchesterCountywashospitalized，andaschoolattendedbyoneofhischildrenwasclosedonTuesday.http://t.cn/A67ppM9OALBANY，N.Y.—Gov.AndrewM.CuomoannouncedonTuesdaymorningasecondconfirmedcaseofcoronavirusinNewYork，amaninhis50sinWestchesterCounty，justoutsideofNewYorkCity，suggestingthatitwasspreadingincommunitieswithnoknownconnectionstohotspotsforthedisease.Thepatient，whosetestwasconfirmedovernightinNewYorkCity，isalawyerwhoworksinManhattanandlivesinNewRochelle.Hehadnodirectlinkwithanyknowncenterofthecontagion，whichwasfirstidentifiedinChinainlateDecemberandhassincespreadaroundtheworld.HehadrecentlytraveledtoMiami.
微新闻播报,#岩松帮你问#【#白岩松对话中国驻韩大使#】截至当地时间下午16时，韩国新冠肺炎感染者总数升至4335人，韩国将如何加强疫情防控？需要哪些帮助？目前，武汉社区如何保障困难人群、外地滞留人群生活供应？白岩松连线中国驻韩国大使邢海明，武昌中南路街道百瑞景社区党委书记王涯玲↓http://t.cn/A67otJUn.
庭守之猫,:艮地是憋芍鸟莫早才能放我出去逛哈子
锌热,#抵制肖战#哦我一个不混🍚⭕的男的看了半天终于懂了，既然女生的AO3相当于男生的steam，那他确实该死。毕竟游戏比女人重要，同理适用于你们得AO3
广轻食品与生物工程系分团委,【#中国有故事#|致敬志愿者】危急关头，一个个平凡的人绽放出不平凡的光彩。他们奋战在街头，接送医护人员上下班；他们来往于运输点，为隔离在家的人们送去各类物资。平时，他们是小老板、社区居民、大学生、公司白领、快递小哥等，此刻，他们是中国志愿者。#筑起防疫青春长城##众志成城抗疫情#http://t.cn/A67CZVdf
IRInSilhouette,对地球负责|2020普利兹克建筑奖获奖者理念视频#普利兹克建筑奖#建筑学院-Archcollege的微博视频
dragon-aro,:突发奇想建了个魔兽世界furry社区，部落邀请码：WMMD2D5Hl7X，联盟邀请码：0ookpPZfwNn
百毒不侵0202,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
巨能吃er,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
小俊装载机,:#微博辟谣#此人恶意将素人视频截图造谣成艺人，不但侵犯素人的权益，此造谣言论，严重危害了艺人明星的名誉权。同时该用户的暴力低俗言论严重危害未成年网友身心健康，严重违反了《微博社区管理规定(试行)》，严重破坏网络治安环境。请尽快处理，谢谢。.
狂暴章鱼小丸子,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
YYYYue鸭,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
小乌龟缩壳想变小王八,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
WJK是RHY最大的坚持,:#微博辟谣#此人恶意将素人视频截图造谣成艺人，不但侵犯素人的权益，此造谣言论，严重危害了艺人明星的名誉权。同时该用户的暴力低俗言论严重危害未成年网友身心健康，严重违反了《微博社区管理规定(试行)》，严重破坏网络治安环境。请尽快处理，谢谢。.
IHDbapi,:万达，疫情期间，通宵施工。@乐山市政务服务中心@乐山市城市管理行政执法局@乐山新闻网海棠社区@乐山新闻联播乐山·乐山万达广场IHDbapi的微博视频
搞絕世苏神,这个故事要从几颗泡水珠开始哈哈好惨
是公仔,关于武汉菜价的问题，网上其实挺两极分化的，有些人说自己买的菜特便宜，有些人说买的都是很贵的菜，其实大家都没说谎，因为品牌物业和高档小区对接的大型商超什么的，资源丰富送货上门，不管是服务还是菜价以及品种，都跟新闻里面的一模一样，要新鲜肉有新鲜肉，要水果有水果，小区里面有专业人员定时消毒，物业人员认真负责，随时上门服务。但是一些老小区，或者物业公司非常小甚至没有物业的，靠几个网格员和物业值班的人，怎么可能买的过来，更别说便宜菜了，能有菜吃就不错了，他们也不认识谁只能去找下武商中百这样的渠道团菜，才有可能几个人服务的了几千人的社区，连送菜上门都做不了，你说要低价菜，品种花样多，那真的是强求他们了，他们每天真的忙不过来，从登记到对接都得一天连轴转。这就是现在武汉的菜价囧境，越是这种时候，越体现出这个社会被割裂的情况，新闻是真实的，而困境，也是真实的。
白桃也行,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
宋宋天天,【#中央要求各地关心关爱一线社区工作者#】中央应对疫情工作领导小组会议指出，当前除湖北外我国疫情总体处于较低水平，出现向好态势，但要进一步控制疫情散发，防止偶发聚集性疫情，社区防控是重要关口和基础。各地要通过给予适当工作补助、落实待遇、改善防护条件、安排轮休等，关心关爱防控一线社区工作者。力戒形式主义，#制止多头重复向基层派任务要表格#。http://t.cn/A67Seymo
羊城晚报金羊网,:【#美国确认首例人传人新冠肺炎病例#】#关注新冠肺炎#当地时间3月3日，美国纽约州州长科莫表示，一名居住在威彻斯特县并在曼哈顿工作的男子，成为纽约州第二例确诊新冠病毒感染者，这也是首例“社区传播”病例。对该男子初步审查后未发现其在疫情暴发时，有任何去中国或其他国家的旅行记录。其伴侣的测试结果仍在等待中。
張冉嶼,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
火星上的一条咸鱼,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
一颗桃Ll,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
J_Rid,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
罗洁大王,【#toudu是什么呀#：#toudu就是土里面长出来的一个坨坨#
夏夜_mysore,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
用户6220380822,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
林梁-,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
槿离离离离离,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
寒月梨雪223,#小未分享#【#中央要求各地关心关爱一线社区工作者#】中央应对疫情工作领导小组会议指出，当前除湖北外我国疫情总体处于较低水平，出现向好态势，但要进一步控制疫情散发，防止偶发聚集性疫情，社区防控是重要关口和基础。各地要通过给予适当工作补助、落实待遇、改善防护条件、安排轮休等，关心关爱防控一线社区工作者。力戒形式主义，#制止多头重复向基层派任务要表格#。http://t.cn/A67Seymo
会飞的贼_33,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
Molly君_C,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
FujiSugata,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
猫咪养成日記,:#微博辟谣#此人恶意将素人视频截图造谣成艺人，不但侵犯素人的权益，此造谣言论，严重危害了艺人明星的名誉权。同时该用户的暴力低俗言论严重危害未成年网友身心健康，严重违反了《微博社区管理规定(试行)》，严重破坏网络治安环境。请尽快处理，谢谢。.
薏米绿豆tang好喝,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
茶想去IKEA,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
一醉楠柯,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
PANDArrr,:#南安普顿大学二手社区[超话]#请问有人知道在南安怎么买到小宠物吗！
MinnyKyuu,#美国疫情#【最新！纽约确诊首例新冠肺炎病例】当地时间周日，纽约州州长宣布纽约州确诊首例新冠肺炎病例。该病例为一30多岁女性，位于曼哈顿，曾去过伊朗，目前在家隔离。纽约州长也称，该病例自从进入纽约市之后一直处于受监测状态，目前普通纽约市民仍属于“低风险”。更多信息➡️http://t.cn/A6764hkr
HangLoveEcon,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
无法鉴定的病人,:既然不需要再发工作视频了，朋友圈可以关闭了。希望可以出门，各位少给社会，社区工作人员添麻烦，这是起码的素质。想想要上班了，好舍不得啊。在家对于我来说，简直是天堂，苏杭，飞翔！就这样吧。晚安。
amadeusamor,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
隔壁家的蓝鲸,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
晴天小小何,:【东洲区搭连街道社区卫生服务中心】万众一心，抗击疫情—致敬书记院长侯海燕http://t.cn/A67pN4h8（使用@美篇App创作）
小谷围蹲街女,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
寒_树,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
一脸假笑的Jinchao,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
汪小妞爱努力,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
盐玖是种酒,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
淡雅的宝宝,【#武汉被打配菜员发声#：有菜筐搁不下堆门口城管称影响市容】3月2日，武汉多名城管殴打蔬菜配送员的视频引关注。3月3日，被打的蔬菜配送员李锋告诉@紧急呼叫称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”。@新京报我们视频http://t.cn/A67NqDUi
爱吃但挑食,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
人渣est,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
一心一易de叶公子,#易烊千玺[超话]##一心一意，易烊千玺##易烊千玺封面#终于把@TFBOYS-易烊千玺2018-2019年的杂志切页整理好了因为2017年很多都只有一本怕手残所以没有切希望2020年的也能顺顺利利
醉美郧阳,#共同战疫#【给力！
Tuscanysunshine,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
呜呜不打烊,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
morning_wmy,:想喝奶茶还指明厂家口味想吃自热火锅社区网格的工作人员居然真的去买去满足是认真的嘛服了你们可是在疫区中心啊
喝百利甜的Semillon,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
弓十弓,:第四十一天，（二月十一）。今天上午在小区门口值守，7点不到就到位了，天气阴冷，小雨。同事已经在门口了，社区下沉人员也依规定准时到达。感觉今天外出的人比上次的要少些，外出的人员有下沉社区的，医生，上班的，一个买药的，测温填单，进出秩序井然。送菜的来了三四波，有装备护卫严实的快递员和公司的员工，也有不那么严格的个体，一个是送豆腐的，新鲜豆腐7快一斤，一个是送猪肉的，他们就没有护卫全身的衣服。但都是一色的口罩，一色的匆忙，顶绵绵春雨。停在门外的车亏电了，不能启动，前胎有个漏气，气压估计1.5。不经常开，就会亏损和漏气，身体好久不能充分运动了，也在衰退了，春没有人们的渲染，也孤寂了，凡事运转充分，就会正常。http://t.cn/R2WxQOQ
你提交的暱稱不能使用請進行修改,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
山椿碗齐,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
林娜琏的小饼干,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
旭酱_妹妹今天吃肉了嘛,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
长沢幸子_,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
吉光碎羽,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
盖伦1万2千转,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
徵语,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
小巷深处de背影_613,:#超话小秘书[超话]#你好，【现世现报】http://t.cn/A67NwBgu，该超话由黑粉恶意组织申请开通，申请人及汇集粉丝皆为黑粉，旨在借由该超话发布对艺人不利的内容，此行为严重危害艺人的名誉权和公众形象，危害未成年网友身心健康。违反了《微博社区管理规定》，请尽快处理，谢谢！@超话小秘书@超话社区@微博小秘书@微博客服
DK奎葵,:已经沦落到大晚上社区群超市团购了
雞賊大師,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
一根_胡萝卜,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
箫雨笙寒,:湖北省委书记应勇：扭住城乡社区防控和患者救治两个关键http://t.cn/A67N3x5U
indestructible1991,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
碳烧鱼肉堡,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
远方社工,:实地记录|24小时的坚守——我在社区战疫远方社工的微博视频
十八楼的莫文蔚,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
朱一龙的血包w,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
有皇冠的小狮子,:昨晚做噩梦刚醒就炸了纽约社区传播还是来了等不了两周了再等一周我就回国美国·ManhattanNewYork
一只小天QAQ,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
坂田银时呐,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
云淡风清8208,:我们乌东站社区的书记也真是绝了，潜伏在我们的业主群里天天看大家聊什么。现在社区领导都这么闲吗？
不充会员我骄傲,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
