陈骁,:#美国累计确诊100例新冠肺炎#川普3月加急枪毙名单新成员⬇️
股海金刚手,:【印度总理莫迪在社交媒体发文呼吁民众不必对疫情过于恐慌】印度总理莫迪3日在社交媒体上发文，呼吁印度民众不必对新冠肺炎疫情过于恐慌，他说政府已经采取了不多但是非常重要的措施来保证民众安全。印度目前已经累计发现新冠肺炎确诊病例5例，其中3人已经出院，2日新确诊了2例病例，另外还有2例疑似病例初检呈阳性，病例样本还在进一步检测以获得最终确认。（点评：无知者无畏，难道恒河水可以消灭病毒）
字节匠人,:#上海已追踪71名浙江输入病例密切接触者#导语：3月3日上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。
夏天了Y_,@原芮--『抗击新冠肺炎最新《新冠病毒刷新全球科研文化法国美国瑞士荷兰印度香港》—新闻—科学网-】。法国里尔巴斯德研究所的研究人员正在研究新型冠状病毒。。美国威斯康星国家灵长类动物研究中心建立了一个“武汉派”。他们看到中国出现一种新疾病的新闻，意识到如果研究人员想要回答有关这种疾病的一些重要生物学问题，需要一个灵长类动物模型。于是，他们邀请几十名同事加入即时通讯平台Slack上的一个新工作组——“武汉派”。。“武汉派”只是一个例子，显示了新冠病毒暴发如何改变科学家应对快速变化的健康危机的沟通方式。。10年前还不存在的预印本服务器如今每天都在发布大量数据；《新英格兰医学杂志》在提交48小时内就发表了一篇新冠病毒论文；病毒基因组发布在GISAID等平台上，以便进化生物学家对病毒基因组进行即时分析，并随时分享。。哈佛大学陈曾熙公共卫生学院流行病学家MarcLipsitch说：“这次经历与我参与过的任何一次疫情暴发都非常不同。”。维康信托基金会负责人JeremyFarrar表示：“在6周内，人们获得了前所未有的知识。”在过去的疫情暴发中，迟缓的科学传播常常是一个问题。研究人员有时会搁置一些重要数据，直到一篇论文被一家知名的同行评审期刊接收，因为担心竞争对手可能会与他们竞争。即使研究人员愿意提前分享他们的发现，也没有一个平台能这样做。。新冠病毒暴发打破了这种模式。现在，两个最大的生物医学预印本服务器bioRxiv和medRxiv“每天收到大约10篇关于新型冠状病毒的研究论文”，负责运营这两个服务器的冷泉港实验室出版社负责人JohnInglis说，论文洪流“对我们的小团队来说是个挑战”。。预印本工作人员和外部科学家所做的大部分工作是筛选论文，以剔除伪科学和观点文章。。香港大学流行病学家KeijiFukuda说，手稿质量参差不齐，有些不是很有帮助，有些非常有帮助。美国国家过敏和传染病研究所所长AnthonyFauci，常常在深夜阅读预印本，“11点、12点到了，你发现自己有25个这样的东西要读”。。印度科学家1月31日在bioRxiv上发表的一篇预印本指出，新冠病毒与艾滋病病毒之间存在“不可思议的”相似性，这助长了有关基因工程的阴谋论。尽管一些科学家立即表示它有缺陷。在被撤回前，该论文在48小时内收到了90条批评意见。。荷兰伊拉斯谟医学中心病毒学家MarionKoopmans说，这些数据正在成为不良信息库的一部分，科学界需要就如何处理这些信息展开辩论。。即使是顶级期刊的同行评审也不能保证论文是正确的。1月30日《新英格兰医学杂志》发表的一篇论文称，一名没有表现出新冠肺炎症状的中国女子把病毒传染给了德国人。这篇论文后来受到了严厉批评，因为作者实际上并没有和这名女子交流过，后来的采访显示她出现了一些症状。该杂志总编EricRubin承认，严谨和速度之间存在矛盾。他表示，如果有更多时间，我们和作者可以做得更仔细。但目前医生正在应对一场危机，快速获得信息更好。。O’Connor说，为了加速研究，分享那些可能不起作用的东西很重要，这也是“武汉派”如此有用的原因。成员们讨论了是否用传统的方式感染动物，比如把液体病毒悬液放入动物的鼻子里，还是用一种更像打喷嚏的新型喷雾剂。“通过公开分享计划，我们可以减少冗余。”Friedrich说。。目前还不清楚这种科学合作是否有助于缓解疫情，但瑞士日内瓦新兴病毒性疾病研究中心的病毒学家IsabellaEckerle表示，“我们正在向一种全新的科研文化过渡。这是令人兴奋的。”http://t.cn/A67KixPE
子非子我非我,:浙江今日新确诊7例全部境外输入？？？？
胡锡进,:伊朗刚刚宣布，在过去的一天里新确诊新冠肺炎病例835例，累计2336例。新增死亡11例，累计77例。伊朗的疫情看来失控了。非常担心伊朗的医疗体系被压垮。这个8000多万人口的国家不太可能有力量进行中国各地援助武汉那样的大规模抗疫动员。不知道该国的形势接下来会如何恶化。另外老胡去过伊朗，它不像我们想象的那样落后，人均GDP5000多美元，比菲律宾、印尼等都要发达得多。衷心祝愿伊朗能够渡过这个难关，平稳着陆。
内蒙古反邪教,:【#韩国新天地教徒新冠肺炎调查收尾#：#大邱新天地4千教徒阳性率达六成#
西安网,:【#德国累计确诊188例新冠肺炎#】根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月3日上午10时，德国共确诊188例新冠病毒肺炎感染病例。其中，仅西部的北莱茵-威斯特法伦州就累计确诊101例。此外，勃兰登堡州、萨克森州和图林根州这3个新联邦州也首次出现了新冠病毒肺炎感染者。至此，德国全境仅剩西部的萨尔州，东部的梅克伦堡-前波美拉尼亚州和萨克森-安哈尔特州未出现确诊病例。罗伯特·科赫研究所2日已宣布将新冠病毒肺炎疫情对德国人口健康的风险等级上调为中等。（人民日报）
科普江华,:全球首例老年新冠肺移植手术成功；开普勒任务新发现17颗行星丨科技早新闻http://t.cn/A67N0fnB
欧洲时报,:【#欧洲新冠肺炎病例进展#】截至巴黎时间3月3日11时20分，欧洲地区累计报告新冠状病毒感染病例2789例，相比3月3日8时增加26例。#近距离看欧洲#法国
今晚报,:【#德国累计确诊188例新冠肺炎#】根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月3日上午10时，德国共确诊188例新冠病毒肺炎感染病例。其中，仅西部的北莱茵-威斯特法伦州就累计确诊101例。此外，勃兰登堡州、萨克森州和图林根州这3个新联邦州也首次出现了新冠病毒肺炎感染者。至此，德国全境仅剩西部的萨尔州，东部的梅克伦堡-前波美拉尼亚州和萨克森-安哈尔特州未出现确诊病例。罗伯特·科赫研究所2日已宣布将新冠病毒肺炎疫情对德国人口健康的风险等级上调为中等。@人民日报
上海同城,:【71人全部隔离！上海已追踪到浙江境外输入病例在沪密切接触者】#浙江输入7例未在上海逗留#针对浙江省发布的新确诊7例境外输入型病例的信息，上海市疾控中心启动调查，截至目前已追踪到在沪密切接触者71人，都已落实隔离措施。据悉，该7例从意大利返回病例，从浦东机场直接包车返浙，均未在上海逗留。市政府新闻发言人徐威在新闻发布会上强调，所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。（看看新闻）#上海[地点]#http://t.cn/A67Cl8ox
QuantHedgeFund,:#量化对冲基金#【报道】据美国有线新闻网(CNN)报道，厄瓜多尔卫生部2日晚间宣布，该国目前有七例新冠肺炎病例。厄瓜多尔卫生部称，新确诊的患者曾与该国最初报告的新冠肺炎病例有过接触，目前有177人因与首例患者接触在接受观察。（中新网）
QuantHedgeFund,:#量化对冲基金#【报道】上海市卫健委发言人表示，今天，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施。（一财）
國老1947二窗口,【#莫斯科首例确诊患者活动轨迹#：从意大利返俄6天后确诊致24人被隔离】3月2日，莫斯科宣布确诊首例新冠肺炎，患者此前曾去过意大利北部。2月23日，他乘飞机返回俄罗斯，29日出现症状后确诊。期间与患者有密切接触的11名亲友正进行医学观察，他们目前未出现症状。同一航班上有13人因出现疑似轻症被收治。#聚焦新冠肺炎疫情#@世面http://t.cn/A67NIydA
初声君闲聊日本,:【日本疫情新泻5例均为乒乓球学校学员】今天新泻对确诊的5人进行调查发现，在新泻县确诊的这5个人均为同一个乒乓球学校的成员。诶妈妈，日本出现了很多是健身房之类小型聚集性传播情况。在日本的小伙伴们多多注意，虽说这个时候增加抵抗力要多运动，但是像健身房这类市内密闭空间还是不去了吧。咱们在家一起做keep好不好#日本疫情##日本多地出现无法确认感染路径病例#http://t.cn/A67NXZnz
eugeneeeeeeee,:#韩国累计确诊新冠肺炎5186例#新病毒说不好到底从哪里来的，细微极恐
Eunchanted,:#殷志源[超话]#想以自己为例，和新来的丸开们说说不运回的日积月累有多重要🙇🏻♀️去年三月入坑，四月开始不运回的日积月累，因为是学生党，所以基本上是每天7.8分配给不运回和音源，从第19期到28期，每天如此（有消息放出来的时候就打个168或者68）也就是每天这几块钱，四月到七月首周结束，一共攒下来了12份不运回（当时一份好像是80）。虽然现在solo确切日子不确定，假定是年底或者明年初，现在是3月初，到年底还有10个月，一天一块，一个月按30天算，一天一块，年底就有300，按上次回归算，就是3张不运回；一天一杯奶茶（按10算），年底就有3000了，约等于37张不运回[跪了]一个人是37，两个人就是74张，十个人就是370张
SVM支持向量鸡,:3月3日，浙江省发布了新确诊7例境外输入型病例的信息。追踪到在上海密切接触者71人。如果有一个漏网之鱼，漏到了小县城，以现在小县城放浪形骸的样子。。。永远不要低估这个病毒的传染性。30秒足以。一线城市周边的所有城市所有小县城，都不要太过自信哦。很多高层专家领导，怕是没有真正感受过小县城的蜜汁自信。复工可以，放松警惕不行。一个月前中国国外是什么情况？今天，美国CDC都已经不再公布检测人数了。好好品一品这个消息。
游历的胖大海,:#韩国累计确诊新冠肺炎5186例##新天地教会#教主，你怎么看？游历的胖大海的微博视频
78动漫网,:HJ杂志作例：MSZ-010A1θ(Theta)Plus新照
DessertsRoy,:#韩国100多名军人是新天地教徒#那是进部队前就是教徒了吧？毕竟部队应该还是很严格的！#韩国累计确诊4812例新冠肺炎#现在重点要做的就是赶紧工厂停厂学校停学，控制出行隔离传染人员把伤害减到最低！
柴大官人在长春,:#韩国累计确诊新冠肺炎5186例#新天地教会会长手表上有朴槿惠这几个字，不知道在狱中的她，会怎么想？长春柴大官人在长春的微博视频
白武士韦航,:【金融街下午茶2020年3月3日星期二】①境外新冠肺炎疫情持续扩散，确诊病例超万例②新基建投资清单出炉，总投资额近34万亿③A股延续强势，成交额连续10日破万亿④澳洲率先降息，全球央行携手抗疫。(分享自万得股票)@Wind资讯
刘万祖,:#韩国确诊患者现场观看亚冠#据消息韩国疫情，韩国累计确诊5186例。该男子在2月26日确诊为新冠肺炎，随后他访问了大邱新天地教会。他曾于2月19日乘坐公交车，观看水原三星vs神户胜利船的亚冠比赛，该患者坐在E区1层残疾人坐席附近，本场比赛有17372名观众现场观战！新浪体育视频的微博视频
廊坊高校新鲜事儿,:【#上海已追踪71名浙江输入病例密切接触者#均已落实隔离措施
股Sir,:疫情数据继续下降，武汉就要着陆了。但新问题来了，海外群众带病回乡，浙江有7例意大利回来的确诊。我的看法是，都是同胞肯定要让人回家，但也请在抵达时诚实报告自己的情况。免费管你隔离和治病都认了，但至少别再传染给别人。这病最喜欢鸡贼，最怕老实人。不过总体看国内的确可防可控了，下一步就是在防疫和复工中找到一个最好的平衡。
浅末风尘,:#德国累计确诊188例新冠肺炎#根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月3日上午10时，德国共确诊188例#新型冠状病毒#感染的肺炎病例。其中，仅西部的北莱茵-威斯特法伦州就累计确诊101例。此外，勃兰登堡州、萨克森州和图林根州这3个新联邦州也首次出现了新冠病毒肺炎感染者。至此，德国全境仅剩西部的萨尔州，东部的梅克伦堡-前波美拉尼亚州和萨克森-安哈尔特州未出现确诊病例。罗伯特·科赫研究所2日已宣布将新冠病毒肺炎疫情对德国人口健康的风险等级上调为中等。（人民日报）#德国疫情##全球疫情##共同战疫#
Cool-杨小串,:#安徽黄山发现两个哺乳类新物种#长得像老鼠
长不齐哦,:鞍山好像又有新病例了日本韩国的回来也基本都往沈阳大连跑丹东增加三例这种每天和家里吵完架和对象吵的日子过够了我tm想上学！
羊城晚报,:【#德国累计确诊188例新冠肺炎#】根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月3日上午10时，德国共确诊188例新冠病毒肺炎感染病例。其中，仅西部的北莱茵-威斯特法伦州就累计确诊101例。此外，勃兰登堡州、萨克森州和图林根州这3个新联邦州也首次出现了新冠病毒肺炎感染者。至此，德国全境仅剩西部的萨尔州，东部的梅克伦堡-前波美拉尼亚州和萨克森-安哈尔特州未出现确诊病例。罗伯特·科赫研究所2日已宣布将新冠病毒肺炎疫情对德国人口健康的风险等级上调为中等。（人民日报）
浦东发布,:【今天，请和我“分手”！】据新华社：3月3日是世界野生动植物日。我们收到了一封特殊的信件，它们说：爱我，就和我“分手”吧！#安徽黄山发现两个哺乳类新物种##韩国累计确诊新冠肺炎5186例#浦东发布的微博视频
a李二先生,【#张文宏回应把痰栓吸出是治疗关键#：不负责任的宣传】2月29日，上海市新冠肺炎临床救治专家组组长张文宏表示，有说法称新冠肺炎逝者遗体解剖结果显示把痰栓吸出来是治疗关键，他认为这种说法是不科学的，是不负责任的宣传。他表示，在研究遗体解剖结果时，应该将研究结果和治疗方案进行印证，从而决定“比如说对整个肺的毛细血管的保护，对疾病加重的关键窗口我们如何去判断，在病理里面是怎么表现的，我们采取什么样的方案来组织疾病的进展”。#聚焦新冠肺炎疫情#http://t.cn/A67cSeOu
健康界国际,:【新研究：#巴西新冠病毒存在三处突变#】2月28日，巴西首例新冠肺炎患者的病毒基因组序列（Brazil/SPBR1/2020）公布，这项工作由巴西圣保罗大学和英国牛津大学的科学家合作完成，他们对比了17个国家的127个病毒基因组，进行遗传分析后发现巴西新冠病毒与武汉参照菌株（Wuhan-Hu-1）相比，存在三处突变，其中两处与德国慕尼黑的菌株（Germany/BavPat1/2020）非常接近。据悉，巴西首位新冠肺炎患者曾于2月9日至21日到意大利伦巴第地区旅游。
海峡卫视,:【#上海追踪71名浙江输入病例密切接触者#】上海市卫健委通报：今天，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施。经调查，浙江新增确诊病例中6人与昨天浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。（央视）#携手抗击疫情#http://t.cn/A67CCuXb
财经网,:【#德国累计确诊188例新冠肺炎#】根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月3日上午10时，德国共确诊188例新冠病毒肺炎感染病例。其中，仅西部的北莱茵-威斯特法伦州就累计确诊101例。此外，勃兰登堡州、萨克森州和图林根州这3个新联邦州也首次出现了新冠病毒肺炎感染者。至此，德国全境仅剩西部的萨尔州，东部的梅克伦堡-前波美拉尼亚州和萨克森-安哈尔特州未出现确诊病例。罗伯特·科赫研究所2日已宣布将新冠病毒肺炎疫情对德国人口健康的风险等级上调为中等。@人民日报
日韩肺炎疫情,:#韩国累计确诊新冠肺炎5186例#韩国新增2例确诊新冠肺炎死亡病例，累计死亡病例31例。韩国新天地教会真是害死人，人员密集空间，肯定存在气溶胶传播了，直接让韩国进入24小时紧急状态了。邪教误国啊
一避风歌怜长影,想想搞木头人也真是不容易要面对各种突发情况比如:“偶”像失声举例叶小钗“偶”像失明举例枫岫主人“偶”像失身举例御清绝“偶”像失独举例惜夫人“偶”像失智举例素还真“偶”像失忆举例玉倾欢“偶”像失觉举例植物人卧江子“偶”像失格举例破格的多位大佬“偶”像失业举例《傲笑红尘惊婚记》“偶”像失踪举例靖玄录之前的东宫神玺“偶”像失命这就不用举例了举不过来了还有那些缺了胳膊断了腿没了亲人家被毁万中无一倒霉鬼百般筹谋付流水的种种心酸苦难就不一一举例我们才是真的被资本操控的无助的小粉丝啊
TOY_PANDA,:#安徽黄山发现两个哺乳类新物种#新物种新物种#韩国累计确诊新冠肺炎5186例#别涨了别涨了
这里是瑞典,:#最瑞典[超话]##瑞典新冠疫情#延雪平今日新确诊一例，瑞典已累计确诊16例。与第十一例都在意大利被感染。2月24日从意大利回国，26日有症状，今天确诊，目前正在追踪密切接触者。
紫荆树,:【美国出现六起死亡病例冠病药物最快夏季面市】美国华盛顿州出现6例新冠状病毒疾病死亡病例，全国累计病例增至99例。负责领导美国防疫工作的副总统彭斯2日宣布，冠病药物最快可能在今年夏季上市。
联通韩福秀,:《【沙特确诊首例新冠肺炎】当地时间2日晚，沙特卫生部发布公告，确诊一例新冠肺炎病例，患者》环球时报在百度动态发表了新动态http://t.cn/A67NUOQS#沙特#
扬子晚报,:【#德国累计确诊188例新冠肺炎#】根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月3日上午10时，德国共确诊188例新冠病毒肺炎感染病例。其中，仅西部的北莱茵-威斯特法伦州就累计确诊101例。此外，勃兰登堡州、萨克森州和图林根州这3个新联邦州也首次出现了新冠病毒肺炎感染者。至此，德国全境仅剩西部的萨尔州，东部的梅克伦堡-前波美拉尼亚州和萨克森-安哈尔特州未出现确诊病例。罗伯特·科赫研究所2日已宣布将新冠病毒肺炎疫情对德国人口健康的风险等级上调为中等。@人民日报
中国新闻周刊,:【#德国累计确诊188例新冠肺炎#】#周刊君与你共同战疫#根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月3日上午10时，德国共确诊188例新冠病毒肺炎感染病例。其中，仅西部的北莱茵-威斯特法伦州就累计确诊101例。此外，勃兰登堡州、萨克森州和图林根州这3个新联邦州也首次出现了新冠病毒肺炎感染者。至此，德国全境仅剩西部的萨尔州，东部的梅克伦堡-前波美拉尼亚州和萨克森-安哈尔特州未出现确诊病例。罗伯特·科赫研究所2日已宣布将新冠病毒肺炎疫情对德国人口健康的风险等级上调为中等。
淳安检察,:【新研究：#巴西新冠病毒存在三处突变#】2月28日，巴西首例新冠肺炎患者的病毒基因组序列（Brazil/SPBR1/2020）公布，这项工作由巴西圣保罗大学和英国牛津大学的科学家合作完成，他们对比了17个国家的127个病毒基因组，进行遗传分析后发现巴西新冠病毒与武汉参照菌株（Wuhan-Hu-1）相比，存在三处突变，其中两处与德国慕尼黑的菌株（Germany/BavPat1/2020）非常接近。巴西首位新冠肺炎患者曾于2月9日至21日到意大利伦巴第地区旅游。http://t.cn/A67Sn4Cb
市界,:美国6例死亡病例均在华盛顿州：早已社区传播美国感染规模或可达1500人
东营网警巡查执法,:【每日热点关注】2020年3月3日，周二，东营网警祝您工作愉快【国际热点】1、韩国新增374例新冠肺炎确诊病例累计5186例2、韩国政府发售588万个口罩现场人山人海3、俄罗斯官员被捕后吞下证据，险些窒息而死4、日本累计确诊980例新冠肺炎5、韩国100多名军人是新天地教徒正逐个接受调查6、特朗普：现在举行集会非常安全民主党人也在搞【国内热点】1、浙江新增7例意大利输入病例这个干部讲话有水平2、钟南山院士团队发文：疫情发展趋势与预测吻合3、安徽黄山发现两个哺乳类新物种4、向捐赠物资伸“黑手”，河南三名干部被处分5、财政部：财政安排的疫情防控资金已超千亿6、这场特殊的发布会，军方为何罕见着迷彩服出席？【省内热点】1、山东将解决中小学生午餐问题无法配建食堂的学校将集中配餐2、山东2020年公办园在园幼儿占比将到50%3、山东“菜篮子”总体稳定，已累计向湖北调运蔬菜7060吨4、山东将加快推进康复大学建设，同时大力开展高水平中外合作办学5、山东省教育厅：疫情得到有效控制后高三、初三、大四优先返校6、山东及时公开2020年省级专项资金目录，本次公开34项【本地热点】1、李宽端:坚持问题导向强化精准施策推动疫情防控和经济社会发展两手抓、两促进2、“停课不停学”东营市技师学院242名教师开展线上教学3、3月5日起东营火车站往返济南、陵城旅客车执行新时刻表
十堰高警,:#万众一心打赢疫情防控阻击战#【#上海已追踪71名浙江输入病例密切接触者#】3月3日上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与3月2日浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与3月2日浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。#共同战疫##中国加油##新型冠状病毒#
天津政法,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
欧洲时报,:【新冠袭法国，华人囤物资抗疫】2月26日起，法国新冠疫情随着意大利疫情的加剧飞速进展，华人群体内开始出现囤积物资的情况，中超内顾客数量激增，更是出现"店内人均一袋大米”的情景。欧时记者随机选择一家中超，拍摄了华人群体采购物资的画面。截至巴黎时间2020年3月3日早8点，法国共确诊191例新冠状病毒感染病例。#近距离看法国##欧洲新冠肺炎病例进展#http://t.cn/A67NAVbs
泉网新闻,:#泉州关注[超话]#【#上海已追踪71名浙江输入病例密切接触者#均已落实隔离措施】上海市卫健委通报：3月3日，浙江省发布了新确诊7例境外输入型病例的信息。截至目前已追踪到在沪密切接触者71人，已落实隔离措施。中宏网新闻的微博视频
