tjf微笑,:为打赢疫情防控阻击战贡献湖南科技力量http://t.cn/A670eDVF
中国梁子湖,【正在直播：赏花海看春耕#云守护小石榴#】今天，@央视新闻#共同战疫#不间断直播将带来美、英国、日、韩等国疫情动态；带你看武汉华南海鲜市场、韩国首尔火车站消杀现场；实地探访支援湖北医护人员；看各地复工复课准备；早间云赏花海，看春耕春播；晚间一起守护小石榴…关注！http://t.cn/A6PMafJg.
钦北检察,:【进一步精简审批优化服务精准稳妥推进企业复工复产】3日，国务院办公厅印发《关于进一步精简审批优化服务精准稳妥推进企业复工复产的通知》。《通知》指出，要贯彻落实党中央关于统筹推进疫情防控和经济社会发展工作的决策部署，提供便利服务，精准稳妥推进企业复工复产。http://t.cn/A67lNPWAhttp://t.cn/A67ldjwf
龙南发布,:#江西全力防控新型肺炎#【450余家企业在“江西微就业”平台“寻才”近8万名毕业生自荐“亮相”】#江西应对疫情稳定经济增长二十条#虽然当前还是疫情期间，但高校毕业生就业服务并未停歇。自3月2日启动“2020年网络智能化就业招聘周”活动以来，“江西微就业”服务平台“寻才”的企业和“自荐”的毕业生就络绎不绝。截至3月4日下午15时，“江西微就业”平台已吸引453家用人单位网上“招贤纳才”，提供15689个岗位需求。同时，有76542名毕业生在“江西微就业”服务提出职位匹配意向，已经匹配到用人单位信息1.9万多人次，其中7768名毕业生基本达成签约意向。（江西省教育厅）http://t.cn/A67jPx3K
鹤壁日报,:#全民战疫#【#全国21省区市下调应急响应级别#】截至3月4日19时，山西、广东、江苏、新疆、四川、宁夏、浙江、黑龙江等8省份将疫情防控应急响应级别由一级调整为二级。甘肃、辽宁、贵州、云南、广西、内蒙古、青海、海南、陕西等9省份将疫情防控应急响应级别由一级调整为三级。同时还有4省根据省内区域不同的风险程度，分区分级地进行精准防控。
林星微观点__,:#法国政府征用全国口罩#疫情早期法国官方并没有及时采取防控措施，并且民众对疫情的严重性认识不足，目前法国疫情形势并不乐观，疫情面前无小事，任何轻视病毒传染力的小事都可能引发一场悲剧，韩国就是例子。现在法国疫情逐步加重，法国当局也开始重视起来了，开始征用口罩了，这是好的转变。早知道，早采取防控措施，才能把损失降到最低点。
上饶之窗,:#联防联控江西在行动##抗击疫情江西在行动#【450余家企业在“江西微就业”平台“寻才”近8万名毕业生自荐“亮相”】为做到疫情防控和毕业生就业两手抓、两不误，努力实现2020届毕业生高质量就业，3月2日至6日，江西省教育厅、省人社厅举办“2020年网络智能化就业招聘周”活动，依托“江西微就业”服务平台的“智就业”系统，通过利用大数据收集招聘、就业信息，进行职位网络智能匹配，为企业“纳才”，帮毕业生实现就业。http://t.cn/A67jhHlG
长乐未央,:#联防联控未央在行动#“小身影，大力量”——疫情防控，谭家街道蒲公英志愿者的那抹红（一）需要人不？我来！我在家没事，我加入！我想为我们小区做点事！我是党员，我要执勤！我是大学生，我想去当志愿者！我退休了，我也发挥发挥余热！………这是续写不断的志愿情话这是割舍不了的志愿情怀在疫情防控的人民战争中谭家街道蒲公英志愿者一直在行动！　你复工，我服务　　“什么时候开工？我们什么时候可以开门啊！”这是谭家街道疫情防控指挥部这几天接到的最多的咨询电话，为了减轻指挥部的接线压力，街道蒲公英志愿者走上街头，挨家挨户为小区底商、沿街门店做开复工宣传，送政策、送温暖。志愿者们详细的为商户讲解目前的开复工政策，面对问题也一一解答，同时对符合开工条件的门店提醒做好防控措施，确保安全第一，商户纷纷表示，这次的志愿活动，可谓给我们吃了颗定心丸啊！
触电新闻,:#新型冠状病毒感染肺炎#【国务院办公厅印发通知进一步精简审批优化服务#精准稳妥推进企业复工复产#】新华社北京3月4日电3月3日，国务院办公厅印发《关于进一步精简审批优化服务精准稳妥推进企业复工复产的通知》（以下简称《通知》）。　　《通知》指出，要贯彻落实党中央关于统筹推进疫情防控和经济社会发展工作的决策部署，深化“放管服”改革，取消不合理审批，提供便利服务，精准稳妥推进企业复工复产。《通知》提出了五个方面政策措施。　　一是提高复工复产服务便利度。各地区要压实属地管理责任，继续依法依规、科学有序做好防控工作，并按照分区分级原则，以县域为单位采取差异化防控和复工复产措施。低风险地区不得采取审批、备案等方式延缓开工。对中、高风险两类地区，省级政府要在满足疫情防控要求的基础上，按照最少、必需原则分别制定公布全省统一的复工复产条件，对确有必要的审批和证明事项实行清单管理，清单之外一律不得实施审批或索要证明，严禁向企业收取保证金。全面实行企业复工复产申请“一口受理、并行办理”，原则上2个工作日内作出答复。有条件的地方可将复工复产审批制改为备案或告知承诺制。　　二是大力推行政务服务网上办。各地区各部门要抓紧梳理一批与企业复工复产、群众生活密切相关的政务服务事项，实现全程网办。充分发挥全国一体化政务服务平台“小微企业和个体工商户服务专栏”作用，使各项政策易于知晓、服务事项一站办理。加快推动疫情防控和复工复产中急需的政务数据实现共享。　　三是完善为复工复产企业服务机制。提升企业投资生产经营事项审批效率，鼓励通过网络、视频等开展项目评估评审，对疫情防控期间到期的许可证予以适当延期。探索推行“企业管家”、“企业服务包”等举措，为推进全产业链协同复工复产提供服务保障。建立健全企业复工复产诉求响应机制，及时掌握和解决企业遇到的实际困难。　　四是及时纠正不合理的人流物流管控措施。非疫情防控重点地区原则上不得限制返岗务工人员出行。对确需开具健康证明的，相关地区要推进健康证明跨省互认。鼓励采取“点对点、一站式”直达运输服务，确保务工人员安全返岗。推进货车司乘人员检疫检测结果跨省互认，减少重复检查。　　五是加强对复工复产企业防疫工作的监管服务。各地区各部门要督促指导企业严格落实《企事业单位复工复产疫情防控措施指南》等规定，强化防控主体责任，帮助企业协调调度防疫物资，及时处置感染案例，最大限度降低聚集性传染风险。　　《通知》强调，各地区各部门要加强组织领导和督促落实，统筹做好疫情防控和复工复产，及时总结疫情防控期间深化“放管服”改革支持复工复产的典型经验，把一些好的政策和做法规范化、制度化。
拱墅检察,:#北京制定国内首个新冠肺炎临床路径#【临床路径对临床救治有何意义？专家回应】昨天，北京推出了新冠肺炎病例的临床路径（第一版）。临床路径对临床救治有何意义？3月4日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京地坛医院主任医师陈志海说，新冠肺炎临床路径的内容包括流程和表单。其中一个是流程，包括新冠肺炎疑似病例标准住院流程、确诊病例标准住院流程，另外一个是表单，包括疑似病例临床路径表单，确诊病例轻型、普通型、重型表单，以及危重型临床路径表单。临床路径用表单的形式，使临床医师治疗新冠肺炎更简洁、易操作，突出规范合理的诊疗流程、注重治疗过程中各专科间的协同性，是近期临床救治经验的提炼与总结，可以避免同一疾病在不同地区、不同医院，不同的治疗组或者不同医师间出现差异较大的治疗方案，减少随意性，提高准确性、规范性。临床路径对于提升新冠肺炎的救治效果将产生积极的促进作用。http://t.cn/A67Wg8Nc
房县电信冯兴炎,:我正在看【房县行政审批局全“员”上阵　助力疫情防控阻击战-房县政府网】，分享给你，一起看吧！房县行政审批局全“员”上阵　助力疫情防控阻击战-房县政府网
五指山法院,:沈晓明：深入总结经验教训扎实完成疫情防控工作http://t.cn/A67lCV0x
现代快报,:#苏政50条服务指南出炉#【部分服务事项可在线办！“苏政50条”专栏在省政务服务平台上线】疫情防控和经济发展，两手都要抓。2月12日，江苏省政府出台《关于应对新型冠状病毒肺炎疫情影响推动经济循环畅通和稳定持续发展的若干政策措施》（简称“苏政50条”）。2月28日起，江苏省疫情防控工作领导小组经济运行保障组分批次发布《“苏政50条”服务指南》，对“苏政50条”中的政策举措再深化再细化，努力让政策惠及受困行业企业，为全省经济发展稳心助力。3月4日，为方便企业了解相关政策指引、申办具体事项，江苏政务服务平台正式开通“苏政50条”服务专栏。http://t.cn/A67j5ry7
中国电影报道,:#我们的战疫故事#“电影人和你在一起”融媒体系列直播《战疫故事》：人称“伊春小歌王”的援鄂黑龙江医疗队护士任志达，遇到经历坎坷有轻生念头的新冠肺炎患者大姐，任志达充分发挥东北小伙的魅力，不仅八个小时无微不至的陪伴，还唱歌、唠嗑，细心开导，最后大姐终于康复出院。给这位暖心的小哥哥点赞！
候鸟的天空1314,:#荥阳下雪了#2月6日终于赶上立春后的第一场雪了，还不小啊，希望对于防控疫情有所帮助。不过根据专家提醒，病毒会随着降雪飘落，所以暂时还是不要接触积雪，堆雪人打雪仗还是要等疫情过去吧，祝福全国上下众志成城早日战胜疫情，一切回归正常轨道。瑞雪兆丰年，携手奔小康。加油中国!加油武汉！
十堰广播电视台,#防控疫情，巾帼力量#【女警打仗在边关，组织温暖到一线】#三八妇女节#到来之际，十堰市公安局对奋战在#抗击新型肺炎第一线#的女公安民、辅警进行慰问。女神们吃着蛋糕笑着说，感受到了满满的爱和力量！
粉你不止现在,【《在春天》第三集演员篇http://t.cn/A67l8cul】由电影频道出品，《今日影评》栏目制作的#万众一心打赢疫情防控阻击战#特别节目《在春天》正在热播。http://t.cn/A67l8cBN，将连线李冰冰、李现、杨紫、杨幂、周迅等多位演员，共同探讨近期演员们为复工所做的准备工作。（按姓氏拼音顺序）http://t.cn/A67lQW6P
青春济南,:【#全国21省区市下调应急响应级别#】截至3月4日19时，山西、广东、江苏、新疆、四川、宁夏、浙江、黑龙江等8省份将疫情防控应急响应级别由一级调整为二级。甘肃、辽宁、贵州、云南、广西、内蒙古、青海、海南、陕西等9省份将疫情防控应急响应级别由一级调整为三级。同时还有4省根据省内区域不同的风险程度，分区分级地进行精准防控。
触电新闻,:#新型冠状病毒感染肺炎#每日定时发布：截至3月4日20时30分，疫情最新防控举措，戳图↓#每日疫情防控播报#
本钢新闻,:#今日关注#【生产一线，也是战“疫”前线!本钢集团全力以赴迎“春”来】在2月28日召开的本钢集团视频干部大会上，本钢集团党委书记、董事长陈继壮对当前疫情防控和生产经营工作做出全面部署。连日来，本钢集团各单位全面贯彻落实相关要求，“疫”战到底，全力以赴做好各项工作。【今日关注】生产一线，也是战“疫”前线!本钢集团全力以赴迎“春”来
微博交通,#交通战疫24小时#公路运输向湖北运送疫情防控及生活物资26.58万吨#疫情防控交通动态#
河海大学,#教育系统疫情防控#【#用心战疫#㊷:疫情期间如何做到人宅心不“宅”？来听心理学家4点建议】疫情期间，长期宅在家里，非常着急焦虑，天天唉声叹气，该怎么缓解呢？随教育小微一起来听@华中师范大学心理学院副教授温芳芳的详解，疫情期间师生常见心理问题如何调整↓↓↓关于心理方面你有什么想问的问题，欢迎大家留言，我们将邀请专家详细解答。
小白84511,:求是网评论员：在法治轨道上推进疫情防控http://t.cn/A67j5HLA
shuiyaoer,:布小林在兴安盟调研时强调统筹做好疫情防控和经济社会发展工作http://t.cn/A67CyeTL
平原晚报,:党旗在心中：解放军疾控中心官兵坚守疫情防控最前哨-中国军网党旗在心中：解放军疾控中心官兵坚守疫情防控最前哨
我就是个二人ZR,:北京新冠肺炎疫情防控工作领导小组召开第三十七次会议http://t.cn/A670ugQ0
衡水微新闻,:最新消息！衡水市民乘坐出租车实名登记！为进一步加强城市公共交通行业疫情防控工作，更好地保障广大市民健康、安全出行，确保疫情防控可追溯，衡水市区内出租汽车实行乘客“实名制扫码登记”乘车。@衡水同城@衡水交警宣传
省钱白菜小可爱,:网友拍到的一位在雪中执勤的疫情防控工作人员，我们有什么理由不为疫情努力？致敬
本钢新闻,:#新闻看点#【生产再传捷报！矿业公司防疫生产“两手抓”“两不误”！】面对突发的新冠肺炎疫情，矿业公司全面贯彻落实本钢集团疫情防控决策部署，切实采取有效措施，坚决打赢疫情防控阻击战。在科学防疫的同时，科学强化生产组织，层层细化落实责任，实现了疫情防控与生产经营“两手抓”“两不误”。2月份，铁精矿产量比计划超产3.2万吨，铁矿石比计划超产3万吨，创历史最好水平。http://t.cn/A67j5Odj
刷会儿微博再睡,:疫情快点过去吧，防控工作要把人搞死了
海南交通广播,:【“健康码”与个人信用记录挂钩，这份权威解读你一定要收好！】3月4日，海南省疫情防控工作指挥部发布最新的海南健康码规则解读。根据规则，申领者和使用者在填报申请信息时，必须保证内容的真实性和完整性。若谎报、瞒报“健康码”申请信息套取绿码的，将纳入个人信用记录，对申请人进行公开媒体曝光，并将其转为“红码”进行惩罚。详情戳→http://t.cn/A67j509i了解（记者李晓婷）
三江都市报,:【乐山工业重点项目复工复产进展良好】3月4日，记者从市经信局获悉，为更好支持企业复工复产，该局建立了“生产协调、防疫物资、政策落实”专项工作组，组建“一厂一组”工作专班，上门服务，帮助企业制定疫情防控和复工复产方案，协助解决原辅料供应、物流运输、员工返岗、资金需求、要素保障等紧迫问题。　　截止3月2日，全市141个工业重点项目的开、复工率已达到80%以上。其中：列入省经信厅重点的13个项目，已开、复工11个，开、复工率达到84.6%；晶科年产5GW单晶硅拉棒二期等3个省政府重点工业项目开工率达100%，晶科项目已顺利投产；全市“挂图作战”工业重点项目中继建项目11个，复工率达90%。http://t.cn/A67WTzbk
山西共青团,:【山西省为1535名支援湖北医护人员减免通信费用】#山西迎战疫情#免话费、送话费、推出专属语音包……3月4日，从山西省通信管理局传来消息，山西联通、山西移动、山西电信三家央企向“最美逆行者”支援湖北抗疫医护人员提供暖心服务。截至3月1日，共为1535名援鄂人员提供专项通信服务保障。#疫情防控青年力量#
轻轻咏荷,:军队广大党员踊跃捐款支持新冠肺炎疫情防控工作http://t.cn/A67poMu8
广州日报,:【#全国21省区市下调应急响应级别#你怎么看？】据@人民日报截至3月4日19时，山西、广东、江苏、新疆、四川、宁夏、浙江、黑龙江等8省份将疫情防控应急响应级别由一级调整为二级。甘肃、辽宁、贵州、云南、广西、内蒙古、青海、海南、陕西等9省份将疫情防控应急响应级别由一级调整为三级。同时还有4省根据省内区域不同的风险程度，分区分级地进行精准防控。PS：对此，你怎么看？http://t.cn/A67j5MOm
武威职业学院,:教育部党组发文，部署统筹做好教育系统新冠肺炎疫情防控和教育改革发展工作-武威职业学院http://t.cn/A67j5ftO
海南新闻广播,:【#海南#南海“110”为渔船民复工复产提供保障】开展疫情防控工作以来，海南省公安厅海岸警察总队（筹备组）琼海支队潭门派出所党支部主动根据新形势、新任务，结合当前关于复工复产相关工作部署，因地制宜为辖区渔船民复工复产提供保障。“南海110”是一个专门为海上渔船民及其他海上作业者保驾护航的救助系统，是海南省公安厅海岸警察总队（筹备组）琼海支队潭门派出所建立的一个对讲平台，主要任务是为南海的渔船和作业者提供天气预报等动态信息。在疫情防控工作中，该平台利用互联互通、触角延伸优势，发挥桥梁纽带作用，累计服务渔船100多艘。自潭门渔船民复工复产开展海上生产作业以来，该支队潭门派出所充分利用“南海110”对讲平台积极开展防疫宣传、主动了解掌握渔船民的身体状况。一方面利用“南海110”等平台服务和管理渔船民，将疫情防控和渔船民管理工作延伸到海上；另一方面依托“百万警进千万家”活动，主动走访辖区养殖场、海鲜店、制冰场等人员较为密集的企业，开展宣传劝导。同时到辖区外港籍渔民聚居点等人员密集场所定期开展消毒，最大程度消除疫情隐患，并通过无人机、微信群、张贴海报等贴近群众生活的方式开展防疫宣传，引导辖区居民养成良好的自我防范意识。从2月20日至今，该所累计登记返港作业的渔船民600多人，走访商铺、养殖场、企事业单位70多家。（记者陈海波，通讯员：彭崴王明东）
安徽反邪教,:#反邪快讯#【合肥市包河区：反邪音频声声入耳，警惕邪教造谣生事
本钢新闻,:#一线传真#【职工利益无小事，厂内公交车解决大难题!】在疫情防控的特殊时期，怎样解决职工厂内交通难题。本钢集团的做法是：在做好防疫措施的前提下，恢复厂内公交车，本钢职工可以按照防疫工作要求乘坐，为职工上下班提供了方便。【一线传真】职工利益无小事，厂内公交车解决大难题!
北京日报都视频,:#都视频#【跨省载客进京，北京查扣60余辆“黑车”】开着私家车，从外省揽客进京，不仅车辆没有营运资质，车上的人也互不相识，存在疫情传播风险。对这样的跨省载客“黑车”，北京持续严打、高限处罚，近一个月已经查扣60余辆。查扣黑车中河北车牌最多，也有部分山西、河南等地车牌。疫情防控期间，市交通执法总队始终将跨省载客“黑车”作为执法打击重点，严查严处、高压严打，重点围绕省际客运站和进出京主要道路以及三、四环路沿线等区域周边，加密巡查检查频次。同时，会同公安部门联勤联动，捆绑执法，登记核录人员信息，确保来源可追溯。开通投诉举报绿色通道，对市民反应的问题，严格按照接诉即办要求，迅速核实办理，发现违法违章行为，依法依规严厉查处。http://t.cn/A67j5ID6
粉你不止现在,【《在春天》第三集演员篇今晚21:53播出】由电影频道出品，《今日影评》栏目制作的#万众一心打赢疫情防控阻击战#特别节目《在春天》正在热播。今晚21:53分将为您播出第三集“演员篇”，将连线李冰冰、李现、杨紫、杨幂、周迅等多位演员，共同探讨近期演员们为复工所做的准备工作。（按姓氏拼音顺序）http://t.cn/A67lQW6P
呼和浩特交通广播,:#新型冠状病毒#疫情过去之后重要的医疗救治设备会不会出现冗余的情况？【国务院联防联控机制权威发布会系列问答】#众志成城抗疫情#在这次疫情防控的过程中，各级政府采购、征调，社会捐赠了大量的医疗设备，目前均集中用于湖北和武汉的定点医疗机构。疫情过后，为了做好相关医疗设备的合理使用，在中央指导组的指导下，国家卫生健康委正在会同国家发改委以及湖北省，研究制订疫情后医疗设备处置的方案，切实加强疫情应急医疗设备的统筹管理和科学调配。同时，也利用这次机会来提升湖北省各级医院和基层医疗卫生机构的装备水平。
耿马警方,:治庸·便民【深耕“放管服”利民赢真情】2020年春节以来，新型冠状病毒感染的肺炎疫情蔓延，孟定派出所全体民警辅警日夜坚守在这场疫情防控的人民战争中，社会各界爱心企业和热心群众踊跃“参战”，纷纷向孟定派出所捐赠口罩、护目镜、矿泉水、方便面等抗疫物资，而这份来自人民群众的理解及支持，与近年来孟定派出所深化警务改革、切实惠民利民有着紧密的联系。最大限度汇聚民力，提升群众“融入感”；积极作为严打严控，提升群众“安全感”；创新便民利民举措，提升群众“获得感”。在“放开格局，服务统领，警民共管”运作模式下，孟定派出所形成具备自我特色的“放管服”体系，而此规范高效、群众便利、警民融洽的公安“窗口”亦深得民心......@云南警方@临沧警方
北碚发布,:3月4日新闻简讯，请查收！全文请戳http://t.cn/A67j5qc01、好消息！北碚区被纳入低风险区县！3月2日，重庆市新型冠状病毒肺炎疫情防控工作领导小组发布关于调整有关区县新冠肺炎疫情分区分级等级的通知。通知称，根据目前疫情形势变化，决定将北碚区纳入低风险区县。2、北碚汽车客运中心部分班线陆续恢复运营即日起，北碚汽车客运中心部分班线陆续恢复运营。3、战“疫”一线报道北碚疾控中心的生死时速！在防控疫情的战场上，北碚区疾控中心的广大党员、干部始终坚持站在最前列、冲在第一线，同时间赛跑、与疫情较量。4、全民战“疫”基层实招频出北碚市场监管局、区城管局、朝阳街道、水土街道……自疫情发生以来，结合各自职能和需要，推出了系列措施。5、北碚区科协90岁老党员为疫情防控捐款5000元周鹤昌是一名有着73年党龄的老党员，今年已届90岁高龄。日前，他积极响应党中央号召，将5000元捐款交到区科协党组。6、北碚区发挥中医药特色优势助力疫情防控区中医院发挥自身职业优势，通过免费配熬中药预防汤剂、在辖区内医疗机构大厅等处设置艾盒，为大家穿好“防护甲”。
山西省退役军人事务厅,:#打赢疫情防控阻击战#【斗志不减！武警纠察兵变身炊事员】女兵想吃糖三角？安排！这三位“有求必应”的炊事员，过去都是纠察兵。由战勤转到后勤，从哨位来到灶台，岗位变了，斗志不减！疫情爆发后，伙食保障任务更重了，他们坚守岗位，想方设法满足大家的需求，努力让官兵吃饱吃好
平原晚报,:军队广大党员踊跃捐款支持新冠肺炎疫情防控工作_新闻频道_央视网(cctv.com)http://news.cctv.com/2020/03/03/ARTIvgKjGFj8IKeYZXZAFL9X200303.shtml
车事无忧,:#打赢疫情防控阻击战#南阳部分县禁止湖北、浙江、郑州、信阳等地车辆进入！严控旅游、娱乐、餐饮、洗浴及旅馆复工！#车事无忧#郑州
陈贤雷zs,:我在看：【人社部：参加疫情防控一线工作的医务人员优先晋升职称等】#跟新浪看热点#人社部：参加疫情防控一线工作的医务人员优先晋升职称等
廊坊日报廊坊传媒网,:#廊坊抗疫群英谱#【舍“小家”顾“大家”奋战疫情防控一线的“硬核”女支书】“没事少出门，就在家待着，我们要全力以赴为疫情防控作贡献!”这位劝说村民赶快回家的人是班子茹。今年37岁的班子茹，是固安县大杨先务村党支部书记。作为村里的当家人，她和村里的党员、干部、志愿者一起奋战在一线，守护着全村658户、2188人的生命安全和身体健康。大杨先务村人口多、街道错综复杂，这无形中给疫情防控工作增加了难度。自疫情发生以来，班子茹没有休息过一天，一直坚守在岗，和全村党员干部、群众一起战斗，构建起一支群防群控的“硬核”队伍。班子茹以“防外来疫情输入、防村街聚集性交叉感染”为工作标准，在进出村的路口设卡，设专人24小时轮流值守，严查出入村街的车辆和人员，同时对村内进行防控消杀。村里的大喇叭还定时播放疫情防控知识和相关政策法规，让村民们熟记在心。“村民们积极主动参与到防控一线志愿服务中，充实了村里的疫情防控力量，这是战‘疫’中让我最感动的事。”班子茹说，现在全村上下拧成一股绳，劲儿往一处使，构筑起了疫情防控的“铜墙铁壁”。“在班书记的影响下，我们村有60多人加入村志愿者服务队。全村村民自发向村委会捐款捐物，我们有决心、有信心打赢这次疫情防控的人民战争、总体战、阻击战。”固安县大杨先务村村民孙士林说。除了村里的工作，家中的大事小情、老老少少也离不开班子茹。“妈妈现在很忙，不仅要忙村里的疫情防控工作，还要抽时间辅导我上课，很辛苦。”班子茹的儿子班海胜说。“作为一名党员、一名基层妇女干部，我要做到守土尽责。为了全村人的健康，我必须冲在前面，尽全力做好防控工作，让群众少一份担忧，多一份安全。我会一直坚守在疫情防控第一线，用自己的行动践行初心和使命。”班子茹说。
新晚报,:【黑龙江省“八个强化”措施，防止疫情反弹】记者从省政府新闻办4日召开的黑龙江省新型冠状病毒感染的肺炎疫情联防联控进展情况第28场新闻发布会上了解到，疫情防控应急响应由一级调整为二级后，黑龙江省将采取"八个强化"措施，继续有效管控，防止疫情出现反弹。（记者节永志/文刘达齐/摄）
天翼问问,:疫情防控，要走在法治轨道上http://t.cn/A67j5zSg
元気白桃乌龙Tea,:公司疫情防控稳了马上就可以回家了返岗前买的艾希源计划和西部天使皮肤还没用几下呢终于可以相见了峡谷排位妈妈来了!!!
元気白桃乌龙Tea,:公司疫情防控稳了马上就可以回家了返岗前买的艾希源计划和西部天使皮肤还没用几下呢终于可以相见了峡谷排位妈妈来了!!!
宁局南昆货运中心,#疫情防控交通动态#【万众一心打赢疫情防控阻击战】中国铁路南宁局集团有限公司柳州工务段的王恒玮，是一名地地道道的武汉人，来柳州工作已经四年。今年春节回家的票他提前半个月就拿到手了。面对突发的疫情，他紧握着好不容易抢到的车票犹豫许久，还是狠下心来，将车票退掉。面对疫情，作为段团委副书记的王恒玮主动请缨，担任疫情防控联络员，负责柳州工务段防疫资料的统计工作。他的父亲是武汉火神山医院、方舱医院的建设者，姑姑是武汉市第九人民医院的一名护士。全家齐上阵，互相打气，共同坚守工作一线，一起为抗击疫情做贡献。@中国铁路http://t.cn/A67lgnMe
爱尚昌吉,:#众志成城打赢疫情防控阻击战#【这一吻戳中了多少人的泪点】昌吉市一名护士妈妈奋战在抗疫一线好久都没回家了。她一岁的宝宝亲吻她的照片表达思念……爱尚昌吉的微博视频
世界很美我不能不婷,#三部门发布16个新职业#，里面包括人工智能训练师、全媒体运营师、装配式建筑施工员等，我觉得人工智能训练师听起来最高大上，我pick了。#你最想从事的三类职业#万能编辑部的秒拍视频
