上海众合,:如果结果不如你所愿，就在尘埃落定前奋力一博
jfmmm2019,#童子功#抹耳保健心脑血管法。耳朵上部就是降压沟，按摩维持血压正常，保护心脑血管。耳尖去各种焦虑上火烦躁，按视频操作，前后做高血压对照血压下降为有效。人老血压先高，维持血压后边就是气血通畅。针灸匠张宝旬的微博视频
炒饭懒羊羊,:现在的微博上的网友是真的病了吗？本来以为都会支持孙杨的，结果。。。
你瘦了诶,:过的我都不知道今天周几了，以为周五了呢结果还是周二
希达的小屋,:期待结果公布，做最坏的打算，心态平和
南有乔木xinxin,:今天心情很差刚到北京租房门锁就打不开打了开锁电话又不舍得花钱想着和同事试试自己翘开了锁想省点然后撬开了之后给开锁打电话结果说要上门费80不给不行结果报警了然后来了一顿说最后给了30接着房东知道我刚到北京联系我说怕我们得病啥的说不让在租房隔离让我们去住酒店隔离说让我们明天搬出去那一刻我就脆弱了瞬间有点眼红这会根本找不了房子又没有多少钱觉得挺难的孤立无援的感觉在这一瞬间觉得真想逃离这个大城市一切都那么不尽人意什么都是感情工作真的觉得好累一个人的北漂生活真的很打磨人。哭的很伤心真的好难过。http://t.cn/z8USgB7
玖公子qs,:#江苏网警#不吵架，不想被举报我真的佛了，真的不能给我们冷圈子的人一些公道么？！我们平白无故被炸粮仓，结果无关人员花样舞蹈，带节奏的，花样洗白的，佛了，是我们不配么？！哭了！！这事情过去了？？？凭什么啊
你瘦了诶,:过的我都不知道今天周几了，以为周五了呢结果还是周二
希达的小屋,:期待结果公布，做最坏的打算，心态平和
南有乔木xinxin,:今天心情很差刚到北京租房门锁就打不开打了开锁电话又不舍得花钱想着和同事试试自己翘开了锁想省点然后撬开了之后给开锁打电话结果说要上门费80不给不行结果报警了然后来了一顿说最后给了30接着房东知道我刚到北京联系我说怕我们得病啥的说不让在租房隔离让我们去住酒店隔离说让我们明天搬出去那一刻我就脆弱了瞬间有点眼红这会根本找不了房子又没有多少钱觉得挺难的孤立无援的感觉在这一瞬间觉得真想逃离这个大城市一切都那么不尽人意什么都是感情工作真的觉得好累一个人的北漂生活真的很打磨人。哭的很伤心真的好难过。http://t.cn/z8USgB7
玖公子qs,:#江苏网警#不吵架，不想被举报我真的佛了，真的不能给我们冷圈子的人一些公道么？！我们平白无故被炸粮仓，结果无关人员花样舞蹈，带节奏的，花样洗白的，佛了，是我们不配么？！哭了！！这事情过去了？？？凭什么啊
不可理喻的年轻人,我发表了头条文章:《肖战、粉丝、偶像责任和危机公关》肖战、粉丝、偶像责任和危机公关
中华政商界Alan,:#双滋影视传媒总部[超话]##黄某英离汉进京事件调查结果##正调查黄某英事件是否构成违法犯罪##武汉市长回应万家宴#哈哈，黄登英是恩施州宣恩县的水产局副股长，有个非常知名优秀的市长曾经是宣恩县长、恩施州长。它们应该不认识，顶多是知名市长下属的下属。恩施州经济湖北省倒数第一名，一个副股长可以十年前贪污几十万（现在价值百万以上）可见恩施州腐败多严重
思雨很爱困kun,:#蔡徐坤[超话]#刚刚想看一下青你下面有没有还在带坤的结果……是我想多了晾着他让他自己玩可真好
端庄的木三观,:#日常吐槽#今天和先生在家看剧看到女主的画面我说：这个打工妹女主居然穿着华伦天奴？先生：你们女人好可怕，一眼就看得出来衣服牌子？结果到男主画面先生：这个霸道总裁怎么回事啊？开着玛莎拉蒂居然只戴三万块的万宝龙？我：你们男人也很可怕嘛……
GDTV草莓姐姐,:听说他俩想我想到无法工作结果今天一天都进不去台里最后吃了顿火锅结束了会面广州
恋爱过敏的小喵,:昨天晚上杨俊杰做烤鱼上了他的当吃了一点点结果今天早上净体重105.6比前天还涨了没减很后悔昨晚吃饭了今天晚上他又炸烤肠骨肉相连小粉皮打死我也不吃～故意端我跟前诱惑我还好我早早喝完了我的养生粥于是只闻了闻味道我也是无动于衷哈哈哈坚持早晚各一碗粥是我的原则哦……[加油][加油][加油]
很二萌,:今天本来想开个弘杨文的头，结果沉迷看老福特忘记开文了
爱听Hebe唱歌的濂糕啊,:每天让需要好好吃饭的人要多吃点好好吃饭，结果是最不需要多吃的我胖了5斤
春雨影视,:千王之王：美女想偷看牌，结果看到牌面彻底懵圈，大叫见鬼了春雨影视的微博视频
贝加尔湖畔的绿草,:下午困到打瞌睡，结果误事，收盘才醒结果行情又波动，想做馒头，开始和面的时候客户一直找，同事又找我聊，等和好面都快五点，这下着急了，这个时间肯定不够，加一杯热水放在微波炉想加快时间，拔苗助长也是不行，等六点一看发的有点不对劲，像是太快，我前一下打开看的时候空气跑进行，导致有水蒸汽，面塌陷厉害，这下焦虑起来，还好朴朴买了些配菜就怕这个失误，一半面团做面条，另一半重新揉好继续发，做馒头的面太软，面条煮的时候太软烂，勉强可以应付一餐，下楼陪女儿拍完视频上楼，馒头的面发的还可以继续整型醒发中，不知道能不能蒸成功，所以睡觉耽误事呀。
方糖oi,:因为要写一篇关于抑郁症的文章，去抖音找记忆中那个抑郁症小姐姐的视频，结果看到了这个
WSS-Ivy,:3月3，行道树的叶子落光了，心情有点blue；久未联系的同事突然告诉我今天是个特别日子，我以为是她的啥几周年，结果是202033😂；因公司新规，有人结婚了，也是很拼。
抱起我家龙龙就是一个百米冲刺,:#九九八十一#眼看着自家房子一个一个塌掉的我
好省熙熙,:专注做好一件事必定会爆发我们一起努力人生所有的努力，无非两种结果，见笑或者见效！做好迎接前者的准备，做好遇见后者的从容！💪
包工头呀,:今天下午去剪了头发。当时问我怎么弄，我说怎么帅怎么来吧。结果，巨丑啊，巨丑啊，心痛苦到现在。
二宫雅祭是桃子味的,:神庙进不去旁边沼泽地的宝箱也拿不到拿吸铁拖板子拖了半天本来以为一定能搭好桥了一按A结果还给我沉下去了
橙多柚,:尴尬微博另一个号把现实生活中的朋友移出粉丝了因为想要有自己的空间结果又有人关注回来了
青白江应急,:【男子遇事要跳楼，结果……“墙”生气了】合肥一中年男子遇到难事欲跳楼，消防员成功将其劝说。但是“墙”不愿意了，要给男子一些教训……阿消提醒：遇事要冷静，有事好商量。生命诚可贵，劝君要珍惜！中国消防的秒拍视频@中国消防
今日份菠萝包,:缘分是个很奇妙的事情，有缘无分就是猜中开头却没料到结尾。很多东西一眼早就知道结局，可能就是为了过程的美好所以放任自己，结果却让自己无地自容的尴尬。今日份菠萝包的微博视频
生田番茄_10969,:有试过摘下眼镜自拍结果就是我连镜头在哪都看不到
顾天宝-,:💥泰夸💥新的一期猜歌大赛“四大篇”由于录泰high结果大超时，所以“四大”篇要分上下期出吗？
二宫雅祭是桃子味的,:神庙进不去旁边沼泽地的宝箱也拿不到拿吸铁拖板子拖了半天本来以为一定能搭好桥了一按A结果还给我沉下去了
橙多柚,:尴尬微博另一个号把现实生活中的朋友移出粉丝了因为想要有自己的空间结果又有人关注回来了
青白江应急,:【男子遇事要跳楼，结果……“墙”生气了】合肥一中年男子遇到难事欲跳楼，消防员成功将其劝说。但是“墙”不愿意了，要给男子一些教训……阿消提醒：遇事要冷静，有事好商量。生命诚可贵，劝君要珍惜！中国消防的秒拍视频@中国消防
今日份菠萝包,:缘分是个很奇妙的事情，有缘无分就是猜中开头却没料到结尾。很多东西一眼早就知道结局，可能就是为了过程的美好所以放任自己，结果却让自己无地自容的尴尬。今日份菠萝包的微博视频
生田番茄_10969,:有试过摘下眼镜自拍结果就是我连镜头在哪都看不到
生田番茄_10969,:有试过摘下眼镜自拍结果就是我连镜头在哪都看不到
顾天宝-,:💥泰夸💥新的一期猜歌大赛“四大篇”由于录泰high结果大超时，所以“四大”篇要分上下期出吗？
橡皮糖梦想家,:觉得3.8节便宜想买绿豆，结果想起来查一查原来买的五谷盒子能装多少就买多少的。又想着算啦，起来看看实物算了。看了实物竟然想着快刷刷到时候搬家带去。结果的结果就是，公婆陪我一起把大锅小锅都收拾出来了准备带去……想想，快搬家了，7年的喜怒哀乐……
不定时吐槽的封魔小号,:有的人觉得自己可牛逼了，不在意了，结果刷破站刷到去年的event，有首歌一出来就哭到要晕厥
宇宙最甜小熊软糖,:刚刚看到那个海河牛奶，我突然想起在考数学的前一天晚上我和小刘同学在酒店附近找到一个便利店，里面有海河的咖啡牛奶还是辉山的哦，还有两种我们特别想吃的冰淇淋。结果因为想到第二天考数学怕拉肚子就忍住了没有吃。后来考完了就不再想吃了。现在看看我的数学成绩，还不如当时吃了第二天拉肚子，这样可以为我的数学成绩做借口
卖火柴的小菇凉111,:我是一个装逼犯，我直接承认了，上次跟兄弟出去喝酒，用牙齿开酒瓶盖把牙齿弄松了，结果牙槽骨被吸收，吃东西嚼不烂，肠胃不好。去看牙医，牙医说我是不仅牙齿排列拥挤+不整齐还有有四颗智齿。建议我通过矫正后解决前牙开合，调整咬合关系，改善露龈笑矫正！@隐形牙齿矫正君成都市口腔、思迈口腔、高地思迈口腔怎么样？在那里矫正性价比高吗？#隐适美##成都虎牙矫正费用#
总之还是一把勺子,:玉兰油其实挺惨的真的，想搞产品升级建立youngandtrendy的形象，结果只有特定产品（比如小白瓶）做到了，品牌自身效果在这俩形象上做的还不如百雀羚（...百雀羚现在真的很trendy，又雅又潮的，营销部门是真的鬼才
草莓墨水儿,:#江苏网警#其实昨天我们群里也群内反串了，结果就是变成各种口红安利“姐妹你皮肤白这个试色好看诶”“姐妹你这个哪家的？”“姐妹这个是哪个色号？”嗯
张灯结彩0211,:#中国女孩#呼吁很好，要平权也是对的，就怕口口声声要平权，结果该努力的时候就想着“哎呀，女孩子这么辛苦干嘛，以后嫁个好人家，有老公养呀”，从小就被灌输这种思想才可怕，往往都是既不能独当一面，又没有老公可以依靠。思想的改变才是治根本。
白沙枇杷西山梅,:因为疫情一直没办法去看小程序demo，本以为这么延迟下去没什么人有兴趣用了。结果这两天瞎逛发现好多新粉，震撼了。好的，这条就是说明下：还记着这事儿呢，没忘没忘。
蟹晓蟹,:觉得自己对不起这么多好吃的水果小爸爸下班就带回来想吃的水果可是一推门看见我在连麦打游戏瞬间笑容就没了“我一心想着你昨晚要吃水果，今天就买回来了，都是最好的。结果，你不写论文，还连麦打游戏，真的很失望，有点生你气”心里好愧疚
我是尾巴,:突然变成本周就出结果的科大打乱了我的一切计划。
呱榔頭,:再友情提示一下哈，这个事情我可以说很久，因为AO3被封这件事情我是真的很伤心，不夸张的说在ao3官方通知一出来我就掉了眼泪，这是几年来越来越严的收缩政策上的最后一根稻草的结果。其他各种各样的原因我都说过了不再重复，如果还对我的文有点兴趣不想看我bb的可以移步去新号，那边会很清静，如果不赞同我也对我的文没有留恋的可以屏蔽、取关、拉黑、双向，都没有关系，网络冲浪本就随心，生活已经很苦了，不必再去忍耐一些不必忍耐的事让自己难受，这个号代表的也不过是一个具有种种瑕疵的虚拟人格。也不必担心我这样做会导致刚愎自用的结局，这件事上各种立场我都思考过，最后我依旧选择这种态度和立场。
里里啊_,:本来是要收衣服的，结果看到被雨淋湿的绿萝和吊兰，太好看了(｡･ω･｡)ﾉ♡，满满一股春天的气息，一起期待摘下口罩的春天
陈予怀,:太尴尬了我刚才，我以为评论的是自己的微博结果评论完了往上一划竟然不是？？？！！！火速删除，耗时0.05秒
春日沦陷,有没有为爱做1的文
13滚滚红尘14,:爱追星的小助理这丫我老佩服她这强大的八卦精神了，星座上来看，我本以为她是个双子座的宝宝结果人家胆子真的大，还真的填了生日资料，时辰随便排的，人家不可能爆真实头像，我当然也没法排盘，至少前三柱是按她资料写的嗯，年柱伤官制杀，是说伤官八卦，然后七杀给她胆量么？还是个庚戌日的，庚日主果然不怕死啊
又TM占用了,:#王者荣耀大乔##王者荣耀#图里的大乔那么好看，结果整出来%@！#%那这个小乔，我哈哈哈哈哈哈哈哈哈哈
Brown熊的Cony兔,:我这个老母亲给宝宝办少儿医保走多久都有劲儿，爬几层楼梯都有力气，折腾两天终于搞定～今天去医院复查，爬一层楼梯都直喘～累得不行，回来睡了一个下午都睡不醒，还很疲乏
药药不爱吃药药,#肖战[超话]##肖战#畅谈新生代演员、演戏过程中的成长、分析角色情绪、直面评价……和一直在努力的肖战一起“保持清醒”！@X玖少年团肖战DAYTOY（采访_傅圆媛陆茜视频制作_小钟）南都娱乐周刊的秒拍视频
龙寒waiting,:靠，模型想得差不多了，结果除了前两个，其他省份的数据都不全，放弃省份查城市，又没有
不会打麻将啊,:26✅早上起来称体重，又瘦了一点，结果晚上吃了一碗酸辣面皮，我有罪
c陈国泰,:宁要痴心不要多情。也许更好。找个爱自己多一点的：结果是你牵挂他。一举一动都会令你想太多；而他不牵挂你
将将将将9,:我太难过了😫昨天晚上就准备的午餐材料，起个大早炒了鸡胸肉糜，煮了西兰花和豆腐，装好了盒。结果忘记带了！啊！这是个糟糕的开始！中午没饭吃就吃了同事的蛋黄酥和巧克力，晚上回家看着我的午饭太可怜了，我也吃了。我一整天吃了1700大卡，又没运动。我十几天战战兢兢地饿着，坚持运动，也瘦不了两斤，别人这么搞都能瘦五六斤了！这下我完蛋了
谁偷了我五百块钱,:我的皮肤就是属于那种不护肤的时候贼好一贴面膜还是抹水乳就会长痘我靠前几天晚上睡觉前一直抹水乳结果额头就长了好几颗痘
c陈国泰,:宁要痴心不要多情。也许更好。找个爱自己多一点的：结果是你牵挂他。一举一动都会令你想太多；而他不牵挂你
半假甜女孩,:我哭了每每打开论文就是对活着失去希望我为啥选知识产权法我是为了韩老师才选的啊！结果老师没排上我哭了
内田真扎,:草，上当了。狗东到家永旺上看橘子，沃柑算了，多少钱忘了，400g一份，结果到手200g一个的大果，晕了。吃倒是好吃
-迪士尼在逃公主-zz,:#开瓶#1.fab急救面霜换季皮肤敏感，有点发红偶尔还会痒，昨晚开始用，今天一天都没痒，而且不红了！！缺点就是味道贼难闻，上脸前必须彻底乳化，不然搓泥。2.理肤泉Ai乳，脸上冒了颗痘，忍不住想挤，看功课说挤完厚涂这个可以好的快一点，结果收到这个以后，我的痘痘没了……不过家里可以常备！不一定哪天又有新痘痘
灿灿xi,【#送孩子上学结果忘记带孩子#】国外一位妈妈开车送孩子们去上学，开到半路才发现把他们落家里了...看到孩子本人后，我只想问：这么大两只您是怎么忘记的？
灿灿xi,【#送孩子上学结果忘记带孩子#】国外一位妈妈开车送孩子们去上学，开到半路才发现把他们落家里了...看到孩子本人后，我只想问：这么大两只您是怎么忘记的？
Taectoi,:等了好久的水乳到了结果壳子碎了
MBA张琪,:如果你真的愿意去努力，你人生最坏的结果，也不过是大器晚成。
我最爱的最美好的你们,李文亮的同事，同科室的医生，武汉市中心医院眼科主任梅仲明，刚刚走了。该医院目前还有数名医生危重。
用户钢铸魂,:张文宏：对于疫情，我们预测到了开始，没有预测到结果http://t.cn/A67NkWAM
呼噜噜naive,我记得大约就在三、四年前，我去逛同人展，一路搜索自家CP的本儿而不得，倒是看到了不少新奇或一直不吃的CP本儿。于是一时嘴碎跟闺蜜吐槽:我才不要买，看着就不像有肉的样子！！！哼╯^╰谁料被近处的摊主听见了！姑娘嗖地一声抽出一本，一把塞给我:“有！有肉的！！！”旁边的摊主也听见了，跟我们一起笑得东倒西歪不提，还抢生意的对我喊:“这儿有二十万鸿篇巨肉！”这动静搞得整整一排的摊主都看到了我，于是接下来，我每走到一个摊位前，摊主都会爆笑着告诉我:“有！有肉的！！！这本儿！”那一天的快乐，我永远都不会忘记。我几乎买下了所有摊主推荐的作品，包括那本“鸿篇巨肉”。其中大部分都不是我常磕的CP，但其中绝对不乏让我享受到美好阅读的故事。至于那篇“鸿篇巨肉”不但没有遍布肢体的拼接，甚至严肃得一塌糊涂，竟然是那天所有作品里相对最纯情的一本。敬该死的小骗子！我能体察到姑娘们的笑声里，对于创作自由的共识。这是作者与读者之间，最具幽默感的心照不宣。然而不知不觉之间，这个国家的严苛恐怖又轰然降临，阅读今天的微博让我心寒又压抑。如果少年不可再写，如若少年不可再读。明天八九点钟，太阳不会再升起。我只能咬牙对自己说，要跟鲁迅一样，永远愤怒，永不妥协！这恐怕得从肖战倒下谈起！
奥特曼不吃糖,:绝食自杀是这所有死亡里最安静的。平静的走向自己选择的终点。我不希望他们为我难过。因为，我早就失去了活下去的希望。想记录一下如果可以大彻大悟那是万幸如果走向死亡那是我最想要的结果。
符小福yeah,:原本想着就悄悄地过去就好了，结果收到了惊喜。对我好的人那么多，我有多幸运。符气满满，生日快乐！
无敌欢乐喵,:前天晚上喵喵在路上摔了一跤，当时也没啥，她自己爬起来了，掸了掸衣服继续走。结果回到家，她看到自己的手蹭破了一点点皮，她就开始哭唧唧地说“啊哦”，还要我跟她爸轮流给她的手指亲亲又吹吹，然后自己也给自己亲亲，搞得跟受了多大伤一样的。真是太能撒娇了，怕了怕了
嘚啵嘚啵是Vc,【在线教学不能一刀切！#各地线上教学规定#】教育部印发通知：全国开学时间原则上继续推迟，不能要求所有学生每天上网打卡。①广东要求中小学线上课程不超20分钟；②#河南严禁老师直播课程打赏#；③#黑龙江不得向家长布置作业#；④安徽高中作业时间不超过2小时…你开始上网课了吗？
爱过的爱丶,:你爱慕过谁、你仇恨过谁、疫情过后、终归殊途、希望疫情过后都有好结果、希望未来、都是好日子
m葁綾蘹,卫哲我警告你，我不允许你喜欢江达琳更不许追江达琳。我觉得她和谭新凯是绝配，是天造地设的一对。除了谭新凯没人能配的上我们达琳，你要是敢拆我CP，有你受的！！！
一块方糖ing,:#虚构推理#本来冲着mamo去的结果男主台词也太少了吧
潜入月夜,:打一局排位选英雄是最后剩下我和另一个那个憨批不看对面阵容选了个瑶到我选只剩下一个上路给我了我发了句上路我会努力的结果那个瑶妹说我赌你送一血我？？？？？？？？
2020年改个微博名,:#阳光信用#是要这样嘛，十五个字？@fffyq_朋友，看我，等下告诉你结果
