外汇原油黄金白银指导分析-燕儿,:原油回踩支撑之上，我们低多进场，成功自动止盈60+个点利润
有报天天读,:【英国军方做好抗击新冠疫情最坏情况的准备】据路透社报道，英国首相约翰逊当地时间3日表示，英国军队已准备好支持警方维持公共秩序，这是政府为预防新冠肺炎疫情扩散的最坏情况所做的计划的一部分。#新冠肺炎最新动态#@凤凰秀官博
如此一然,:区党委要求各学校党员结对帮扶区里的贫困生，要求每天关心他们，辅导他们的作业，并做好记录。我结对的孩子是一所民办学校的二年级女生。一天时间，我把她爸爸妈妈姐姐班主任微信都加上了，还进了他们班级群。第一天，大电话，空号。学校又发了个电话给我，打通了，是爸爸。跟他说明了情况，了解到这个孩子上学期十一月的时候外公去世，妈妈就带着回老家了，还没过来。问他孩子作业情况，爸爸把电话给了姐姐。绕了一大圈，我听明白了，姐姐在上高中，上课很忙。妹妹的作业呢，需要姐姐从班级群里发到妈妈的qq，做好了妈妈再发给她。妈妈不会用微信，只会用qq。姐姐因为太忙，也是很少管妹妹的作业。现在妹妹和妈妈在老家，爸爸和姐姐已经过来了。那我要怎么辅导呢？于是，我加了姐姐微信，希望她能先让家里的亲戚把妈妈的微信教起来，或者让妈妈加我qq。但姐姐还得把作业发给我，于是我说，要不让我跟妹妹班主任联系下，看看能不能直接加班级群，获得作业信息。“那只能加我爸爸，他有老师微信”。加了爸爸和老师，打电话给班主任说明情况，于是加了班级群。过了一个下午，妈妈加了微信了。于是，我加了这个孩子全家和她班主任的微信，还加了他们班群。然而…辅导之路没那么容易。老师说这个孩子挺乖的，成绩还可以。上学期后来没上课，也考了90多。但爸爸不识字的，家里也没人辅导她。跟孩子聊了聊，告诉她作业有不会的可以给我看。发了一个语文作业，批改，返回。然后杳无音信。晚上班级群里发了作业，我发给她。第二天，杳无音信。我打电话询问，显然，孩子没有做这天的作业。妈妈说，今天去玩了。我把作业讲解了下，有两个需要背诵的，她没有材料。发图片。然后语音回来，背的不是这部分内容。然后没有音信了…孩子和家长到底要不要这种辅导呢？他们真的会自卑而不敢问吗？我们那么主动地要提供帮助，是不是意识地站在了高处，反而被厌烦呢？因为是老师，也不好意思拒绝，但实际是抗拒的呢？
零碎记忆3281356803,:德国铁路股份公司则规定！超2小时则达到50%。也可以说是一种国际惯例。从国外的情况来看，比如西班牙铁路网公司规定；火车晚点给予旅客一定赔偿：列车晚点铁路部门要支付一定的退票费。而在国内！鹤壁·淇县公益口腔医院
永远的MH370,【#共同战疫#！不间断直播继续！[加油]】今天，@央视新闻将带你去湖北孝感，看志愿者如何送药上门；到上海，看“无人值守爱心餐车”如何运作；还将独家连线驻德国、韩国、美国、新加坡等地记者，看各国如何应对疫情…此外，“小石榴”今天满月，快来一起#云守护小石榴#↓央视新闻的微博直播.
韩城检察,:【太无辜！#墨西哥啤酒与病毒同名#！#科罗娜啤酒因新冠肺炎无辜躺枪#：调查显示38%的人不会再买了
黄焖鸡米饭不要蘑菇,#肺炎患者求助[超话]#求助人信息（若有相关化验单，请上传图片）【姓名】邓中梅【年龄】56【所在城市】四川广安【所在小区、社区】溪口镇【患病时间】2018年12月底【联系方式】177134528205【其他紧急联系人】15700519934【病情描述我的妈妈18年底检查出宫颈癌，我们立即奔赴重庆市附属肿瘤医院，二次复查，再次告知是宫颈癌中期了，当时检查的医院说医院正在装修无法手术，我们又赶紧返回广安当时就很危险了，就马上在广安动了手术，今年宫颈癌复发，我们又去了重庆附属肿瘤医院检查，医生说需要2次手术，现在因为新冠的出现，医院大排长龙，无法住院，无法手术，而妈妈病情急需手术，我们问遍周围亲戚朋友，都没有熟人，真的是没有办法了！各位好心人氏，求求您们，有熟人在重庆附属肿瘤医院的帮帮我吧
有报天天读,:【英国军方做好抗击新冠疫情最坏情况的准备】据路透社报道，英国首相约翰逊当地时间3日表示，英国军队已准备好支持警方维持公共秩序，这是政府为预防新冠肺炎疫情扩散的最坏情况所做的计划的一部分。#新冠肺炎最新动态#@凤凰秀官博
如此一然,:区党委要求各学校党员结对帮扶区里的贫困生，要求每天关心他们，辅导他们的作业，并做好记录。我结对的孩子是一所民办学校的二年级女生。一天时间，我把她爸爸妈妈姐姐班主任微信都加上了，还进了他们班级群。第一天，大电话，空号。学校又发了个电话给我，打通了，是爸爸。跟他说明了情况，了解到这个孩子上学期十一月的时候外公去世，妈妈就带着回老家了，还没过来。问他孩子作业情况，爸爸把电话给了姐姐。绕了一大圈，我听明白了，姐姐在上高中，上课很忙。妹妹的作业呢，需要姐姐从班级群里发到妈妈的qq，做好了妈妈再发给她。妈妈不会用微信，只会用qq。姐姐因为太忙，也是很少管妹妹的作业。现在妹妹和妈妈在老家，爸爸和姐姐已经过来了。那我要怎么辅导呢？于是，我加了姐姐微信，希望她能先让家里的亲戚把妈妈的微信教起来，或者让妈妈加我qq。但姐姐还得把作业发给我，于是我说，要不让我跟妹妹班主任联系下，看看能不能直接加班级群，获得作业信息。“那只能加我爸爸，他有老师微信”。加了爸爸和老师，打电话给班主任说明情况，于是加了班级群。过了一个下午，妈妈加了微信了。于是，我加了这个孩子全家和她班主任的微信，还加了他们班群。然而…辅导之路没那么容易。老师说这个孩子挺乖的，成绩还可以。上学期后来没上课，也考了90多。但爸爸不识字的，家里也没人辅导她。跟孩子聊了聊，告诉她作业有不会的可以给我看。发了一个语文作业，批改，返回。然后杳无音信。晚上班级群里发了作业，我发给她。第二天，杳无音信。我打电话询问，显然，孩子没有做这天的作业。妈妈说，今天去玩了。我把作业讲解了下，有两个需要背诵的，她没有材料。发图片。然后语音回来，背的不是这部分内容。然后没有音信了…孩子和家长到底要不要这种辅导呢？他们真的会自卑而不敢问吗？我们那么主动地要提供帮助，是不是意识地站在了高处，反而被厌烦呢？因为是老师，也不好意思拒绝，但实际是抗拒的呢？
零碎记忆3281356803,:德国铁路股份公司则规定！超2小时则达到50%。也可以说是一种国际惯例。从国外的情况来看，比如西班牙铁路网公司规定；火车晚点给予旅客一定赔偿：列车晚点铁路部门要支付一定的退票费。而在国内！鹤壁·淇县公益口腔医院
永远的MH370,【#共同战疫#！不间断直播继续！[加油]】今天，@央视新闻将带你去湖北孝感，看志愿者如何送药上门；到上海，看“无人值守爱心餐车”如何运作；还将独家连线驻德国、韩国、美国、新加坡等地记者，看各国如何应对疫情…此外，“小石榴”今天满月，快来一起#云守护小石榴#↓央视新闻的微博直播.
云L冷雨夜,:【直播！#湖北通报疫情防控最新进展#】今天下午，湖北省政府新闻办公室召开新型冠状病毒感染的肺炎疫情防控工作新闻发布会，介绍全省新冠肺炎疫情医疗救治工作情况，并回答记者提问。看直播↓关注！（总台央视记者王伟超）http://t.cn/A67NzP6B
小鹿白鸽Lily,#王子健朱闪闪#今晚《安家》中，朱闪闪@孙佳雨_PaNdA发了十万张传单，好不容易等来了有希望的一单！壁橱公主还遇到了潜规则，zha男客户快放开你的咸猪手
小猫区块链,币圈有多残酷，举个例子吧，去年就听小侠说他们公司的几十个职业炒币操盘手除了他已经全军覆没了，就小侠幸存。然后呢，今年小侠大亏一两千万，只剩1600了。但是1600里面有小侠通过点卡赚的1500万，实质上来讲，小侠也是合约顶尖高手了，扣除点卡赚的，算是在合约上暴完了所有利润和本金。@交易员小侠。听了这个例子，大家还敢不敢玩合约
時雨_我不轉彎,:距离15年的方博，已经五年了。这是近一年来安心坐下看方博比赛时，突然想到。今天的方博表现的不是很好，很少看到他这个样子，也很少看到他会以这样的情况出场。年轻真好，这个道理谁都懂，运动员最怕的伤痛和年纪问题，在对面那个年轻运动员身上，形成照明对比。可是他还是很努力啊。解说员说，方博好像有个外号，抢七小王子，是不是。是，今天又是抢七。观看依旧紧张的一次次为他加油又怕毒奶又好气这并不会影响到他自己担心什么。担心他会输啊，谁不希望看到他赢的4-0而不是第七局的分分揪心。但是，他还是那个不放弃的方博。距离15年的方博已经五年了，但方博，还是那个方博。http://t.cn/A67pwzAH
达莎Dasha,:在MOOC上学了两门课程，一是乐理知识，音程转位弄得我一愣一愣，音乐亦是数学，而数学显然已经是我的盲区。另一门是西方音乐史，学到中世纪了，在漫长的黑暗的教会统治的一千年，如同文学艺术一样，音乐也是充满神性，很难在作品中体会到人的情感，而音乐正是在这样的情况下缓慢发展着。由衷感谢现代科技，让我足不出户享受知识的乐趣，因此我喝了两杯从土楼带回的青梅酒。近两日看了两部是枝裕和的电影，《无人知晓》和《步履不停》。前一部非常压抑，电影里没有崩溃，没有嚎啕，就只是平静的对话着，表达着。电影里几乎都是暖色调，孩子们游戏玩乐，开怀大笑，但这温暖背后，是被自私的母亲遗弃的孩子；是无法去读书，无法出门的孩子；是摔死后被装进行李箱然后被哥哥亲手埋葬的女孩；是不得不承担家庭的12岁男孩。最绝望的是电影根据真实事件改编，而现实比电影更惨。
我亲爱的茉莉花先球市生,:在这种情况下我也不会管的，哪怕是我的母亲！却不是先人后己勇于牺牲自我的人；在这种生死抉择的瞬间：范跑跑课堂遭遇地震言论:我是一个追求自由和公正的人；其他的人……只有为了我的女儿我才可能考虑牺牲自我
鱼冲冲不嗜甜,“你想搞死他吗，你想毁了他吗”有这种人混进队伍里，受害者报案后何愁得不到二次伤害啊。
我乐乐多92,【教师#未戴口罩跑步被送到强制隔离点#，并给予记过处分
亚马逊运营博客,:【通知】翻新可以跨店铺了！！什么意思呢？就是说listing变狗甚至店铺都被封了，没关系，你提供一个新店铺，我把库存帮你匹配到那个店铺下售卖[加油]基于这个情况，也可以用于想更换店铺卖货的解决方案，比如库存指标爆表，需要腾出一部分库存容量让库存分数升上去，但是又不用移除弃置库存[皱眉]
-林七一,:一般人只有在“刚得到”和“快失去”的两种情况下才愿意付出所有
爱豆语录bot,:“在任何情况下我们都可能成为某种少数，记得选择你自己，支持你自己”——蔡依林
星野寄冬,:#黄冈给郑爽一家写感谢信#小仙女人美心善，默默无闻做好事，不炒作不高调，虽然被渣男骗了钱，经济不宽裕的情况下捐了60万，真正的但行好事，莫问前程！
-Akyu-Qwow,:老师只希望你能做的更好领导只希望你能做到最好而且不考虑实际情况🙃
guardian峰峰,:#李易峰[超话]##我在北京等你##李易峰徐天#我想说这两天看剧大家有点失望吧！峰哥的戏份太少！但我希望大家为了峰哥不要转台！现在心里最难受的是哥哥吧！当时他看的剧本一定很精彩他才决定出演的！事实上他塑造的徐天是真的让人爱！现在的情况挂着李易峰的男主所有的收视口碑都由李易峰担！看到那些营销号的新闻我就心痛！家人们事情已经这样我们一起努力把这部剧对哥哥的影响降到最低！谢谢大家！
搬砖工财叔,都说金融职场就业看背景，金融狗们常见口头禅：XX以下无金融
小透明社团,:🌟置顶说明🌟给4.1准二周年庆来个集合图透✓（圆标一惯的简陋
VoiD_的,:直播翻车的一天：电脑卡了然后关机重启，然后还是打不开直播，然后就拿手机对着电脑开直播，在打开制作好的视频让学生看的时候电脑没反应过来黑屏了然后我的睡衣我的歪丸子我的油脸还有半戴的睡衣帽子全都出现在了学生眼前，也许还包括家长#当老师适应了直播##河南对中小学网课情况全面摸排##河南严禁老师直播课程打赏#
卫平布莱恩特-,:❤️#C罗母亲中风被紧急送医##C罗#据《马卡报》报道，C罗的母亲多洛雷斯在当地时间今日凌晨中风，被送往葡萄牙马德拉岛Funchal的一家医院，并在重症监护室接受治疗，据葡萄牙媒体，目前C罗母亲情况稳定并且是有意识的，将在未来几个小时接受新的检查。
努力活着的小透明,:#戴口罩如何缓解耳朵疼痛感#看情况的
恋爱婚姻情感修复,:二次吸引后#如何怎么挽回前男友前女友前任#没有一个男人会抗拒自信又有魅力的女人，不管对方有多么想要和你聊天，也不要贸然暴露需求求复合，因为男人最怕对方逼着自己做决定，尤其是在自己还没有考虑清楚的情况下，这会让他们犹豫退缩不敢向前。最佳的做法是“嘴上保持一种朋友关系，但行为上可以超越朋友”，但要把握好这个度，偶尔的撩~拨是可以的，但是不要发生关系，轻易的得到只会换来男人的不珍惜，他就更不会愿意和你复合。#分手了失恋了怎么办挽回？爱情婚姻家庭有了裂痕怎么挽回?拉黑如何复联?异国恋异地恋怎么挽回同性恋军恋姐弟恋网恋#
紫色海月,大家一定都遇到过这种情况，没想到还可以这么解决，太实用了
天南星许愿见到大野智,大家都遇到过的情况，没想到可以这样解决
JillfordSaga,福建人民安全了
重度拖延症患者之一,:上午学而思公益课下午Evan-Moor手工晚上上节画画课《如果地球被我们吃掉了》，做13页迷宫，逻辑狗，讲故事睡觉，只有没午睡的情况下才能秒睡，多希望每天九点半就能💤
改一个昵称zhao,:《贱女渣男》某女在某男有女朋友的情况下以朋友名义借钱在某男分手后直接上位女朋友一举两得不仅成功找了个男朋友钱都省的还了
刘菲菲11,:我耳朵上贴了耳豆之后（就是在肺部区域），咳嗽的情况缓和了一些，然后前几天急促地干咳的状态减缓（太难受了而且是那种无法克制）喉咙、口腔没那么干燥，会有些痰，晚上睡觉不用吃药了，之前我真的没办法，出去前要喝止咳药，而且人多的地方还要避免咳嗽。
麦黛西杉SAMA,目前看起来美国情况不容乐观。南江何佳的微博视频
孙百万手,:鳄鱼流泪是生理现象，其目的在于排泄体内多余的盐分。通常情况下，排除体内盐分主要通过肾脏和汗腺来完成，但是鳄鱼的肾功能不完善，无法排泄，而且鳄鱼不可能通过出汗排盐，所以只能通过一种特殊的盐腺来排盐，而鳄鱼的盐腺正好位于眼睛附近
天使A的翅膀,半夜12点，我家小恶魔在画画
天使A的翅膀,半夜12点，我家小恶魔在画画
时光不负你与我,#肖战#对于近期部分不理智粉丝给各位带来的困扰，再次抱歉肖战在出道前的微博言论引起了不小的关注，如果好奇他是个怎么样的人，他在出道前又说过怎样让人意料不到的话，不如看一下这200条肖战素人时期的微博总结，带你走进一个不是粉丝口中的完美偶像的，普通人肖战原贴【多图慎入】我无聊地花两天时间翻了肖战出道前200多条微博
励孜,:建议上级部门调查一下，李跃华治病情况，他治疗了多少人？治疗的效果怎么样？他的方法是否真正有效？把他的病人找到，用事实说话。如果治疗有效，要总结、支持、推广；如果无效，属欺世盗名，再处理，一定会获得支持。如果不调查这点，用那些套路处理人，自然难以服众。请注意：现在湖北卫健委缺少公信力了，应该上级部门调查处理。李跃华，解放军第三军医大学毕业，82年到87年，学士学位，不知道这个毕业证是真是假，还是调查一下比较好，如果是真，这还是科班出身呢！想不明白这次调查李跃华，为啥不去调查一下李跃华治病的真相，他的方法是否有效？他治愈了多少人？这才是调查。这次阻击疫情，中医的表现突出了一些，木秀于林，风必摧之，于是就于是了。我想不明白，在阻击疫情那么艰难的情况下，很多病人求救无门，找不到医院，找不到病床，无法治疗，很多人自生自灭，李跃华站出来救人，到底错哪了？要知道，一天天死人，一天天推荐各种治疗药物，连双黄连都被抢购一空，李跃华治病救人，到底是否有效？不去调查，就要处理，还有没有点正义和公理呢？这件事，我看要调查一下这个调查！韩东言媒体人传媒领域创作者10万粉丝·56万赞转：韩东言图文
股海安东手执,:这是实现不了的：春节改为农历正月初一。初二、人心之所以不安；那是我们沉默的歌颂，从而避免了上班族需要连续工作7天的情况；往往就是把自己寄托在了那些不稳定和不真实的东西上
绝迹·温柔,好狠啊
德玛西亚第一猛男,:【职场人生：升职有没有捷径】你有幸进入了一家大公司，辛辛苦苦谋到一个经理，一查公司架构表，即使是自己的上司，离最高层的位置还有七八个阶梯。在这种情况下，有尽快升职的捷径吗？如何才能让老板发现你是个难得的人才而
HANA樱吹雪,#理娱1+1#最近肖战因自家粉丝举报事件被全网“讨伐”。从小众饭圈战争到进入大众视线，这件事情是从哪一步开始崩坏的，艺人以及团队又做错了什么？今天《理娱1+1》连线肖战粉丝，还原“肖战&ao3”事件中的关键环节，以及粉丝运营专家，看看这件事情中的“间接当事人”—肖战及其团队错在哪？http://t.cn/A67p7Uwh
这里是纪子,:#227大团结#我们最重要的是向身旁人的陈述事实，抵制所有肖战的产品。抵制是最有效果的行为，本身饭圈就已经妖魔化了，如果这次他全身而退了，资本就会带来下一个肖战，那下一个被搞停的是什么呢？不要说艺人没错，在粉丝大部分是未成年人的情况，不及时引导，甚至推锅给粉丝，就已经不配做偶像了。
Rex_XP,今天长海医院……直接排到了中原路
秋小胖QUQ,:三天打鱼两天晒网的我，今天没有运动，因为大姨妈了，为什么我每次想要认真运动的时候都赶上生理期呢
槐荫环保,【CCTV新闻联播｜国务院联防联控机制新闻发布会：湖北省以外省份新增确诊病例4例】今天（2月29日），国务院联防联控机制新闻发布会介绍了疫情的最新情况以及新冠肺炎治疗与患者康复有关情况。#打赢疫情防控的人民战争总体战阻击战#山东环境的微博视频
dmm_and_zy,日本首相安倍晋三出席国会参议院会议时出现咳嗽情况#工作##新冠病毒无症状感染者有强传染性#寰亚SYHP的微博视频
啾咪嘎,:#全网抵制肖战代言##抵制肖战#感觉得最近刷比较流行的社交媒体某音某手已经很频繁地刷到玉兰油的广告，底下一堆肖战粉丝支持他家哥哥，讲真引起生理恶心了。这种情况我只恨之前没在国内买过玉兰油不然现在开发票也有我的一份子😭😭
攀枝花平安西区,:【灵活高效、分时分段，可移动红绿灯发挥大作用】#奋进2号#3月3日，针对辖区复工复产后街面人车流量增大的情况，为保障辖区道路交通安全、畅通，西区交警大队组织民警在城区人员密集地安装可移动红绿灯，此举灵活有效的缓解了城区主干道的交通压力，弥补警力不足，有效预防和降低事故发生。#平安在你身边#
娜娜melisa,:明天3月4日未有效跌破2970的情况下，在下午理应上摸一下黄金分割87.5%位置3036，也是3127-3058连接位置，那么高点以后的下跌，先看前面2878－明天高点的80.9%位置大约2900附近。
槐荫环保,【统一思想狠抓落实奋力夺取“双胜利”｜山东：连续3天无新增确诊病例新冠肺炎治愈率达55.16%】省政府新闻办今天（2月29日）在济南召开新闻发布会，介绍山东全力救治新冠肺炎确诊患者，进一步抓好疫情精准防控相关情况。目前，山东已连续3天无新增确诊病例。#打赢疫情防控的人民战争总体战阻击战#http://t.cn/A67x2koo
热门资讯第一线,:#泰国隔离#之前看到许多留学生由于接收国限制国内出发入境，选择在泰国呆14天再出发，现在入境泰国也要隔离了，
云深处夜未央,:#神农架发生野猪非洲猪瘟疫情#OMG
瓜王幸福,:《财政部：1月份全国共销售彩票272.10亿元》一、全国彩票销售情况。http://t.cn/A67pZjWH
风中的狼2655360931,:24号出院后的第三疗程，太、太辛苦了！在疫情这么紧张的情况下。市中医院查血常规一次，4200。隔壁二天，中心医院查血常规3000，注射粒细胞因子一针。隔二天周一中(心医院血常规3100。昨天今天注射两针。还开了皮注升血色素的针。好难受！3月九号入院第四疗程。……
风中的狼2655360931,:24号出院后的第三疗程，太、太辛苦了！在疫情这么紧张的情况下。市中医院查血常规一次，4200。隔壁二天，中心医院查血常规3000，注射粒细胞因子一针。隔二天周一中(心医院血常规3100。昨天今天注射两针。还开了皮注升血色素的针。好难受！3月九号入院第四疗程。……
4yq4yq,:#外国人永久居留管理条例#理由大家都说得差不多了，我只代表我的个人观点，对中国做出特殊贡献的科学家可以酌情考虑，其他情况我都反对。外国人永久居留管理条例，你会反对外国人永久居留中国吗？
Wy小卷毛儿,:互联网+的时代，“停课不停学”所形成的双师模式，以及家长的加持，按理来说应该效果更好啊，可是就日常交作业的情况来看，不容乐观！正如林老师说的，潘多拉的盒子已经打开，有人会收获惊喜，也总有人注定要捡到遗憾！上饶·婺源县
浅月_繁星,:#中国矿业大学[超话]#我是20考研生在准备复试想寻找控制专业的学长学姐了解下情况，我考控制科学与工程。希望控制专业的学长学姐能够帮忙。聊城·冠县
平安盖州,:盖州市副市长、公安局长王克大到各乡镇督导检查工作3月2日，盖州市副市长、公安局长王克大带领政治处主任马青、工会主席安振海等一行人来到双台子、九垄地、归州、二台子、九寨、陈屯、杨运镇政府，对当前防疫工作、环境卫生整治及脱贫攻坚工作的开展情况进行督导检查。每到一处，王克大都仔细询问大家近期疫情防控工作的开展情况，他指出：随着复工复产等工作有序推进，来盖返盖人员将逐步增多，辖区内人口流动也将更为频繁，防疫工作已经进入了新阶段，从“守住卡点、源头阻断变成“外防输入、内防扩散”。这个阶段的防疫工作将更加辛苦，大家要以变应变，科学防治，确保对流动人口，尤其是境外输入人口的管控到位。压实责任，确保辖区内工作人员和老百姓万无一失。针对环境卫生整治工作，王克大指出：环境卫生是一个地区最直观的名片，环境卫生整治工作是改善农村人居环境、提高村民生活质量的重要工作。各乡镇要继续加强河道清理、垃圾投放点清理等重点工作整治，将现有的好的方法完善推广，形成长效机制。同时，要注重引导村民养成长期环保意识，从而实现从内到外、从短期到长期，彻底改善乡村“颜值”。针对脱贫攻坚工作，王克大详细询问了各乡镇扶贫现状，他强调：扶贫扶志，也要扶智。要讲方法、有措施。一定要切实掌握每一户帮扶对象的思想动态，做好备注。针对个别困难对象、因病致残、智力缺欠等对象，要做好标记，充分分析后，按帮扶对象真实所需，制定科学有效的帮扶对策。http://t.cn/R2Wx9Jd
