肥鱼鳞,:#日本福岛核禁区解禁#快去住快去住，核辐射能抗击新冠病毒，不信你们去试试
上海瑞金医院感染科,:【视频】新冠瑞金主委说：谢青教授教你分辨感冒、流感和新冠。#新型冠状病毒##抗击疫情##健康中国2030#为进一步提高公众对新冠病毒疫情的认识和应对，加强对新冠病毒相关知识的普及，瑞金医院相关学科的14位中华医学会和上海医学会主任委员，针对民众在疫情发展不同阶段所关心关注的问题，通过微视频的方式作出权威解答，精心制作推出《新冠-瑞金主委说》系列访谈。今天第二期，隆重推出中华医学会感染病分会副主任委员、中国医师协会感染科医师分会副会长、上海医师协会感染科医师分会会长，上海医学会感染病分会前任主任委员，瑞金医院感染科主任谢青教授解答。提问一：这次疫情恰逢冬春交替时节，往年这个时候流感、感冒较多，流感、普通感冒与新冠病毒感染的症状有何区别？应该如何区分？回答：冬春季本就是普通感冒和流感高发季，以呼吸道症状为主的疾病非常多，今年新冠肺炎也正好在全国流行，所以大家都非常担心，是不是发烧了、感冒了，就是得了新冠肺炎？我们可以先初步评估一下自己的情况。普通感冒不止冬春季节，一年四季都有，症状以咳嗽、流鼻涕、鼻塞、喉咙发痒为主，绝大多数病人不发烧，偶有发烧也只有一两天，时间较短。感冒是能够自愈的，多休息、多喝水，或者吃一点VC泡腾片，体温就降下来了，这是自限性的普通感冒，不用药，三五天就可以自然好，不用太担心。流感有轻有重，首发症状和普通感冒类似，另有一些其它表现，比如发烧、咳嗽甚至咳痰，流感性的肺炎可能有气急胸闷的情况。较重的病人会全身关节酸痛，就像被别人打了一样，人乏力、没胃口。发烧时体温会超过39度，相对较高，且持续时间较长。如果出现了长时间的高体温或者上述的全身症状，就说明流感比较重，需要到医院就诊。新冠如何自行初步鉴别？虽然新冠也有乏力、肌肉酸痛等全身症状，但它的特点是干咳、痰很少，另外还有一个特点是胸闷，有时候气喘不过来。最重要的是，新冠病人一开始都有武汉的接触史，比如到过武汉、接触过武汉人，甚至出差经过武汉等等，类似的流行病学史是非常重要的。我们排查时除了症状外，一定还要注意流行病学史。所以，了解这几点，大家就可以初步自我评估，判断自己大概属于哪一类。提问二：如果要去医院看发热门诊的话，在个人防护上需要做哪些工作？回答：去看发热门诊，首先建议戴上口罩，保护自己的同时，也保护别人。无论是流感还是新冠肺炎，都是通过呼吸道传播的，也就是通过咳嗽、咳痰、讲话时候产生的飞沫传播，戴口罩就可以切断它的传播途径。提问三：什么样的口罩才能起到防护作用？不同场合是否应该戴不同的口罩？回答：任何时候都戴口罩没有必要，分人群、分不同的场合，戴合适的口罩非常关键。在户外，比如人员密度不大的马路、广场上，戴一般的口罩完全可以；在家里，通风较好、人口密度也不是高，完全可以不戴口罩；如果到了人口比较密集的地方，或者接触、护理普通病人（非新冠肺炎），戴一般的医用口罩也完全可以。要提醒的是，复工后人流也慢慢增多，上下班在地铁、公交车这样相对密闭的空间里，可以戴医用口罩。戴口罩的方法有讲究，方法不对起不到防护作用，比如有些人会把口罩戴到鼻子下面，这是错误的；正确的方法要戴到眼下，口罩上沿有一个金属条，要在鼻梁上稍微压一下。口罩正反面不能搞错，一般的口罩都是外面颜色深，里面是颜色浅。如果是医用口罩，基本外面是淡蓝色，里面是白色。提问四：对于口罩的使用来讲，一个口罩一般能戴多长时间？回答：一般来说要看口罩使用的频率高不高，还有戴口罩的时间长短。如果你一直戴着口罩，那么4小时就基本需要更换了。但如果是出去买个菜或者倒个垃圾，只有10分钟的时间，也不接触任何的高危人群，就不一定需要换，用了一会挂在通风的地方，就可以重复使用。当然是口罩是专人专用，不能混合用。（更多《新冠-瑞金主委说》系列访谈请关注：“上海交通大学医学院附属瑞金医院”）http://t.cn/A67llOZ2
格隆汇,:【伊朗第一副总统新冠病毒检测结果呈阳性】据伊朗网络媒体消息，消息人士称，伊朗第一副总统埃沙格·贾汉吉里的新冠病毒检测结果呈阳性，目前正在安全的环境中接受治疗。埃沙格·贾汉吉里是在2月28日举行的第五次抗击新冠病毒总部会议后被转移至家中，并开始隔离。当时他表现出患新冠肺炎的症状，并在不久后接受检测。此外，另有6名出现症状的伊朗内阁成员也接受了检测，目前尚不清楚他们是否已被感染。
中国宣汉,:【#外交部坚决反对称新冠病毒是中国病毒#】3月4日，外交部发言人赵立坚表示，个别媒体妄称新冠病毒是“中国病毒”，企图让中国背上制造疫情灾害的黑锅，完全是别有用心。疫情面前，我们需要的是科学、理性、合作，用科学战胜愚昧，用合作抵制偏见。#抗击新型肺炎第一线##美国主持人#http://t.cn/A67WDRAb
唐佚不做人了,【#张文宏预测新冠病毒最终发展#：你相信好了我的预测一定是对的】疫情，依旧是当前最大的主题。国内新增病例持续走低意味着什么？境外传播加剧该如何应对？复工和防疫要怎么权衡？层出不穷的试用药究竟如何？我们离正常的生活还有多远……来听听他怎么说。@新京报我们视频出圈的酷燃视频
咸宁日报,:#万众一心抗击新冠肺炎##咸宁身边事#【咸宁市新型冠状病毒感染的肺炎防控指挥部接收捐赠生活物资情况公示（五）】月29日至3月2日，咸宁市新型冠状病毒感染的肺炎防控指挥部接收政府间援助生活物资1批次，价值51万元；已拨付1批次，价值51万元。库存物资中有425.5件滇雪一级菜籽油、401件罗平菜籽油、569袋家家春软米，组织市直单位干部职工1497人义购，筹得防控资金27.0867万元，集中缴入专门账户，接受财政监管，专项用于全市抗击新冠肺炎疫情工作。具体明细如下：
Ssaroconte,2019年底暴发的新型冠状病毒肺炎是中国自2003年SARS以来最严重的新发病毒传染病疫情，尽管目前#新冠肺炎仍非全球性流行病#。但是它不仅严重威胁着国民的生命安全，也对我国的经济、社会发展造成了极大的影响，引起了社会各界的高度重视。那么新型冠状病毒从哪里来？为何如此难以防控？会在感染者之间交叉传播，变异成更厉害的病毒吗？本文从病毒演化、毒力变化的角度给出了回答。#返朴解惑新冠肺炎##科学抗击疫情#http://t.cn/A6hsHOqq
诗剑如侠,http://t.cn/A67lSMQM
伯林的微博,新闻：我们已经宣布提供3700万美元帮助抗击新型冠状病毒COVID-19。这笔资金将帮助强化实验室，改善疾病监测与响应，支持就风险进行沟通等等。http://t.cn/A67loXO0
开封文化艺术职业学院,:#疫情防控开封在行动#万众一心，没有翻不过的山。心手相牵，没有越不过的坎。当前，抗击新冠肺炎疫情正处于关键时期。病毒无情，人间有爱，只要我们众志成城，定能共克时艰。我们坚信，逾越这个寒冬，武汉的樱花会开、春天会来。全国人民生命的春天也一定会早日到来。@文明开封@文明河南@中国文明网
青春达州,:【#外交部坚决反对称新冠病毒是中国病毒#】3月4日，外交部发言人赵立坚表示，个别媒体妄称新冠病毒是“中国病毒”，企图让中国背上制造疫情灾害的黑锅，完全是别有用心。疫情面前，我们需要的是科学、理性、合作，用科学战胜愚昧，用合作抵制偏见。#抗击新型肺炎第一线##美国主持人#http://t.cn/A67WDRAb
s22净住,#常观世音微语录[超话]##常观世音微语录#《新冠状病毒检测方法成效与前瞻》这是我与师兄们的对话，供大家参考。
湖北私家车广播,:【抗击新冠疫情院士们正在实验室里忙什么？】#抗击新型肺炎进行时##新冠肺炎防控#为了尽快找到战胜新冠病毒的方法，很多科研人员在争分夺秒地工作。从分离病毒到建立动物模型，从核酸检测到研制疫苗，在实验室里，他们每个人都是一名战士。小央视频的秒拍视频
韩联社中文网微博,:【韩#花滑名将金妍儿#为抗疫人员...】#新冠疫情#韩国前花样滑冰运动员金妍儿4日在个人社交网站发文，为在抗击新型冠状病毒（COVID-19）一线的医务人员和工作人员加油。金妍儿...http://t.cn/A67la1cT
重庆日报,:#抗击疫情重庆行动##全民防控众志成城#【重庆造两款新冠病毒抗体检测试剂盒获批将正式投入临床应用】由重庆医科大学联合企业研发的两款新冠病毒抗体检测试剂盒，于3月1日获得国家药品监督管理局正式批准，许可上市，即将正式投入临床应用。这是我国自主研发的首批获准上市的化学发光法检测试剂盒。http://t.cn/A67lxaXK（华龙网）
温秀军Jason,:#权威发布#【伊朗新增586例新冠肺炎确诊病例累计2922例】#全球疫情##伊朗疫情##伊朗工业部长感染新冠病毒#海外网3月4日电据伊朗PressTV最新消息，伊朗卫生部当地时间4日中午通报称，过去一天，伊朗新增586例新冠肺炎确诊病例，累计确诊2922例。#日本疫情##法国疫情##意大利疫情##韩国疫情##美国疫情##泰国疫情##抗击新型肺炎我们在行动##抗击新型肺炎第一线##伊朗##伊朗副总统新型冠状病毒检测呈阳性#http://t.cn/RyhYNv0
绍兴晚报,:【绍兴致外籍人士和境外返绍人员的公开信（中英文）】在全市人民的积极配合、共同努力下，我市新型冠冠状病毒肺炎疫情防控工作取得了阶段性成效。但全球抗击新冠肺炎疫情的形势依然严峻复杂，目前多国确认病例蔓延，疫情扩散的势头尚未得到有效遏制。做好境外来绍人员的疫情防控工作，已成为我市疫情防控工作的重点。为进一步保障您和家人的健康，保护城市安全，我们向您友情提示。http://t.cn/A67lx5io
魔都学人,:隔离中的乐趣，我们中国人杠杠滴！这个视频看完了，没有歧视，除了逗乐，老外们看起来还是真心佩服和祝福咱们的。
辽宁交通广播,:#抗击新冠肺炎疫情进行时#【#二手烟会传播新冠病毒吗#？专家：单纯二手烟雾不属于飞沫传播】3月4日，上海召开疫情防控新闻发布会，上海中医药大学附属曙光医院主任医师崔松答市民咨询的热点问题。新冠病毒携带者若是烟民，他的二手烟会不会传染？崔松说，单纯的二手烟雾不属于飞沫传播，但如果能闻到二手烟，说明双方间距较小，这种风险要避免。http://t.cn/A67lMV0O
南阳新闻广播,:#抗击疫情，我们始终在一起#【外交部：#坚决反对称新冠病毒是中国病毒#】外交部发言人赵立坚在今天的例行记者会上表示，个别媒体称新冠病毒是“中国病毒”极不负责任，我们对此坚决反对。目前病毒溯源工作仍在进行中，尚无定论。世界卫生组织多次表示，新冠病毒是全球现象，源头尚不确定，此时应关注如何应对遏制病毒，应避免地域的污名化语言。个别媒体在没有任何事实依据的情况下，妄称新冠病毒是“中国病毒”，企图让中国背上制造疫情灾害的黑锅，完全是别有用心。新冠肺炎疫情是世界各国面临的共同挑战，国际社会同心协力、携手应对才是人间正道，共同抵制谣言偏见是应有之义，疫情面前，我们需要的是科学、理性、合作，用科学战胜愚昧，用合作抵制偏见。
LINC金羽杰,:Linc加油！#湖北加油#自新冠病毒爆发以来，Linc金羽杰积极组织动员全公司抗击疫情，心系湖北，支援武汉。此次，金羽杰为湖北各经销商捐赠口罩等防护物资，为抗疫尽份绵薄之力。胜利在即，金羽杰将和你携手共度难关！
脊梁in上海-印济良,:日本人抗击新冠肺炎疫情抢购花岗岩？？？
大撓小王子,《破解新冠状病毒检测上的迷思》这是我和师兄们的谈话，供大家参考，希望能真正开出一条准确又简单便捷的检测新路径。
德阳茶人,:#中国科研团队发现新冠病毒已突变#
宋中清主任律师,:#肺炎[超话]##新冠肺炎##抗击新型肺炎歌曲##侠之大者#@新华网【MV《侠之大者》，人民战歌唱人民】#防控新型冠状病毒肺炎#新华网的秒拍视频北京·新华社XinhuaNewsAgency
贵阳微博房产,:#抗击疫情希望同行#
厨邦酱油,:#万众一心抗击疫情#来势汹汹的新冠病毒肺炎，牵动了全国人民的心，一方有难，八方支援，为响应疫情救治，
合肥发布,:#抗击疫情合肥必胜#【中国科大推荐方案正式进入新冠病毒诊疗第七版】3月4日，国家卫健委发布《新型冠状病毒肺炎诊疗方案（试行第七版）》。中国科大魏海明教授团队与中国科大附属第一医院徐晓玲主任医师团队基于“托珠单抗”免疫治疗方案正式进入。《新型冠状病毒肺炎诊疗方案（试行第七版）》3月4日上午，应国家卫健委要求，中国科大附一院徐晓玲主任医师和生医部魏海明书记分别在合肥和武汉通过视频对全国抗击新冠肺炎疫情的相关医生进行了培训，接下来可望在全国推广应用。截止3月3日晚，中国科大专家组已经在火神山、雷神山和金银潭等医院开展推广。此前，2月13日，安徽省委常委、常务副省长、省疫情防控工作领导小组常务副组长邓向阳来到中国科大附属第一医院（安徽省立医院）南区，调研我校疫情防控攻关进展。调研中，中国科大临床医学院执行院长、附一院副院长翁建平教授代表中国科学院临床研究医院疫情防控科技攻关指挥部汇报了临床研究平台近期取得的重要进展，中国科大生命科学与医学部魏海明教授，中国科大附一院副院长、安徽省新型冠状病毒肺炎医疗救治工作专家组组长徐晓玲主任医师重点汇报了攻关团队在新冠肺炎炎症风暴机理和临床治疗的重要进展。2月15日，国务院联防联控机制新闻发布会就介绍了中国科学技术大学在本次疫情防控科技攻关任务中的最新进展。前期经过验证有细胞水平有作用的药物，已经开始投入部分临床。中国科学技术大学附属第一医院已在14例重症和危重症病人救治过程中开展临床药物的使用（其中年龄最大的82岁），结果令人鼓舞。
芒果追剧少女,:#中国科研团队发现新冠病毒已突变#疫情下的苏州，安静亦是一种守护！众志成城！抗击疫情！苏州深夜食堂的微博视频
湖南国际频道,【一图看懂：境外#74国累计确诊12621例新冠肺炎#】截至北京时间3月4日12时，除中国外，74个国家累计确诊12621例新冠肺炎，累计死亡218例。转发关注#新冠肺炎疫情全球走势#！
深房理,:【人在家中坐，钱从天上来】2020年初，重大项目投资近34万亿。太阳底下没啥新鲜事，放松信贷、铁公基、房地产，还是老三样。包工头们拿到钱以后，又一次头也不回的奔向了售楼处。要么选择贷款，购买优质房产去抢钱。要么选择存钱，买不起房等着被抢。你选，你仔细选！#中国科研团队发现新冠病毒已突变##抗击疫情房地产在行动#
头条新闻快递,:#中国科研团队发现新冠病毒已突变##抗击新型肺炎第一线#人生建议：找女朋友就要找身穿白大褂，左手拿着针，右手拿着棉签的白衣天使~好酷的小姐姐
林珏_,#疫情动态播报#【动画：看中国的抗“疫”战报，每个数字都不易！】自新冠肺炎疫情爆发以来，全国各地4万多名医护人员驰援湖北，19个省市对口支援湖北、核酸检测时间大幅缩短……一个个数字背后，是众志成城的努力、艰辛和付出！戳视频，看中国的抗“疫”战报！中报视频的秒拍视频
市场星报,:#安徽打响清零战##安徽抗击肺炎#【8市清零！安徽省治愈率提高至96.6%】3月4日，安徽省6市新冠肺炎确诊住院病例陆续全部出院。至此，全省16个市中已有8个市实现“清零”目标，“清零版图”正在逐步扩大。截至3月4日下午17:00，安徽省累计治愈出院病例达到956例，在院患者减少到28例，治愈率已达96.6%。根据3月4日公布的最新疫情风险等级分类名单，安徽省已无高风险地区，中风险地区由8个调整为5个，低风险地区由97个调整至100个。（安徽省卫健委）#中国科研团队发现新冠病毒已突变#http://t.cn/A67lZnXQ
fm95浙江经济广播,:#张文宏预测新冠病毒最终发展#：人类终将胜利❤️#万众一心抗击疫情#fm95浙江经济广播的微博视频
来点石锤,:#日本网民疯抢花岗岩#近日日本又传出谣言花岗岩能抗击新冠病毒，于是花岗岩被抢空了…看来伴随重大事件产生的谣言，各个国家都一样，谣言惑众就是各怀鬼胎的人释放的假消息吧#大话石锤[超话]##祖国反黑站[超话]#来点石锤的微博视频
感恩的心-2011,善心莲心捐赠防护服报告：新冠疫情爆发后，善心莲心早在第一时间即联系了抗击疫情的一线医院，与医护人员直接对接，了解前线最需要的物资。目前，防护服依旧是一线稀缺的防护物资，前线医护人员反馈防护服每天的消耗量非常大，接管了方舱医院后，防护物资的需求量更大了。善心莲心直接对接防护服生产厂家南山集团南山自重堂，定制了2500件防护服捐助前线，还暖心地附赠《送衣诗》：“岂曰无衣泪满行，不嫌我服少鲜光；与子同袍相偕去，从今暖入九回肠。”贴在了每一箱防护服上，驰援武汉市中心医院、武汉科技大学附属天佑医院、湖北省宜昌市枝江市人民医院、谷城县第二人民医院。在与前线沟通信息时，武汉市中心医院的病区负责人非常感动地说：“我代表我科室126位医护人员感谢你们，我们一定会穿上你们捐赠的防护服，打好这场战役。”近日，南山防护服已经直接点对点发往四所一线医院！“护国心，急如弦上箭，壮怀激烈扣心弦！中华锦绣好江山，人人为国同捐献！！！”
感恩的心-2011,善心莲心捐赠前线医护人员健康素餐报告：继呼吸机、制氧机、防护服一批批救护物资捐助湖北前线后，善心莲心更是为当地医护人员奉上营养可口的素餐。2月26日，善心莲心武汉同学为武汉大学中南医院的医护人员送去免费素餐200份，为武汉市第七医院送去免费素餐300份。疫情期间，医院的后勤保障工作压力骤增，人手忙不过来，餐食供不应求，但是从事高强度救护工作的医护人员，他们的健康和及时的餐饮保障此刻又是多么得重要。善心莲心心系医护人员，很快联系当地素食餐厅，克服当下采买食材困难等不便，选购优质新鲜的食材，用心烹调出素餐，务求前线的生命卫士们能吃上健康美味的热菜热饭。大家普遍对素餐反馈满意，只要营养搭配全面，并没有觉得素食营养不足。真心希望素餐能更广泛地遍及大众，大家一起长期吃素，令血液恢复弱碱性，提高免疫力，更快更好地打赢这场抗疫战！
感恩的心-2011,善心莲心释迦牟尼佛出家日联合大放生、派防疫中药茶报告：万种疾患皆由业，万种痊愈因放生，救生护生，亦即救人护人，善心莲心加码放生，广为国土同胞消病因；甄选专业中药方，用心熬制药茶，广为免费派发；祈求佛力加持，唯愿人人安好，染病者早日康复，未染者疾疫不临！
感恩的心-2011,#常观世音微语录[超话]##常观世音微语录#只有掌握当今最先进、最前卫的医疗手段，才可救护更多人。钱怎样也可赚来糊个口，花了可以再拼搏，但命只有一条；所以，在医疗这块上的投入，在所不惜！
感恩的心-2011,#常观世音微语录[超话]##常观世音微语录#有少部份猫狗的身上是带有新冠状病毒的，记得是少部份，绝对不是大数、大范围，人和这些带毒的猫狗相处並不会受到感染，原因是毒量非常低，不足以传染给人而发病，所以将宠养了十多二十年的猫狗毁灭，比如从高空掷下令它们致死，这是非常血腥亦极不智的做法，试问：这样狠心，你心中究竟有没有痛过？养了那么多年的动物难道没有感情吗？不是逼于无奈，怕它们传染给你自己及家人才这么做，而是你没智慧、愚痴不懂分别正邪好坏，一有少少风吹草动就立即行扑杀令，这是极不应该的，这是非常自私的行为。猫狗不会将新冠状病毒传染人，有的都是极其少数，可以忽略不计；根本就不会传染，哪又怕什么呢？！
濮阳人濮阳事儿,:#俄罗斯两万人同吃野韭菜#近日，俄罗斯民众聚集一起烹饪品尝韭菜，甚至用于榨汁，当地旅游部长称野韭菜营养丰富、能提高抵抗力，当地居民甚至准备靠它来预防新冠病毒。说好的不聚集呢？希望可以个人防护，共同抗击新冠疫情。青蜂侠Bee的秒拍视频
鞅雪是商鞅的鞅,【#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。对不同亚型的深入了解，将有助于新冠肺炎的差异化的治疗和防控。以上研究来自中国科学院主办的《国家科学评论》于3月3日发表的论文《关于SARS-CoV-2的起源和持续进化》。论文通讯作者为陆剑研究员（北京大学生命科学学院生物信息中心）、崔杰研究员（中国科学院上海巴斯德研究所）。http://t.cn/A67Wwyzc
感恩的心-2011,#常观世音微语录[超话]##常观世音微语录#新冠状肺炎病毒，其实一点也不新，只可说相对已发现的叫新而已。这种病毒，以某些家禽家畜为宿主；相对来说，在家禽身上发现会多于家畜，这些要待专家们去作进一步长期深入调研才可证明。大体来说，这种病毒在家禽家畜身上不是普遍地存在，但有，然而却不会传到人的身上，只会在动物间相互传播而寄生，也不会时常引发出动物间的瘟疫，而且传播性是跨界跨物种的，比如完全不搭界的猴子和老鼠之间，在某个偶发的机会下也会相互传染。只有一种情况才会传到人的身上，就是吃了带毒的动物肉，比如：一只鸡肉、一只鸭肉或一只鹅肉等等。即便病毒已传到人的身上，也不一定会即时发病，它们会一直寄生在细胞中，好像冬眠一样不动，这叫潜伏期；短者从三天到一星期、二十五天不等，长者个多两个月，甚至半年一年也会有。相对于潜伏期的就是发病期，即是病毒活跃的时候，一般在感染两三天内便会发病，但发病后很少部份人是没有出现病征的，比如：发热或咳嗽、胸痛、胸部不适、胃部不适及腹泻等等；之所以会这样，主要是因为这种病毒专门攻击呼吸系统及消化系统。已被感染却没有症状的带毒者，並不表示病毒一定处于潜伏期，只是表示这段时候对外的传播能力比有症状的人略为低与弱。低与弱、高和强，是由病毒本身的健康状态来决定的。健康又强壮的病毒，当然传播能力强，比如一个肥仔、一个大力士叫他去举重就比较轻易一点；相反孱弱的病毒，就尤如一个瘦病的人叫他去举重，就非常不轻松，一样道理。人一旦被感染而发病，一般在开头的三到七天，是最高传染力的；特别被感染后而无症状的人，是传播者中的高危人士，和他们接触就使人疏于防范，从而引发出一系列的传播感染。这场根本与人类无关、绝无必要发生的动物间的感染，却造成现在那么严重的全球性大灾难，为什么我们会摊上了呢？就是因为你吃了它！
NGO陈晓波,:我在看：【港媒关注：战斗在抗击新冠病毒一线的女将军】#跟新浪看热点#港媒关注：战斗在抗击新冠病毒一线的女将军
楚萍微客,:#韩国研究团队发现新冠病毒抗体#病毒不分国界，新冠肺炎疫情是全人类的挑战，韩国研究团队发现病毒抗体，对于世界各国来说都是一个好消息。发现了抗体，也就意味着我们离研发出疫苗又更进了一步。当前，世界范围内的新冠肺炎疫情形势不容乐观，抗击病毒，在世界各个国家都为之努力进行攻关的同时，有必要加强国际合作与交流，分享各国的经验和对策，共同应对人类共同的敌人——新冠肺炎疫情。
中国低碳网,:发布了头条文章：《为抗击疫情增添一份力量》2020年春节前夕，一场由新型冠状病毒感染引发的肺炎疫情不期而至。面对严峻的新冠肺炎疫情，中国绿色碳汇基金会坚决贯彻落实党中央国务院决策部署，认真落实各项防控措施。目前，全国抗击疫情阻击战进入关键阶段，中国绿色碳汇基金会积极响应民政部号召，向武汉市慈善总会捐赠50万元自有资金，为抗击疫情增添一份力量。中国绿色碳汇基金会全体职工还积极响应党组织号召，踊跃捐款，为奋战在一线的抗疫勇士送上一份温暖。http://t.cn/A67lPshK
西华青年说,:#西华大学##万众一心抗击疫情#新冠病毒肆虐，打破了已往的安宁，但并不会击垮我们，雨会停的，天会晴的。让我们一起期待春暖花开时胜利的消息吧！
青秀长塘,【依法精准防控新冠肺炎疫情系列海报（二）】#新型冠状病毒##新冠肺炎##抗击新型肺炎我们在行动#
申城文化,:抗击疫情，心系家乡，信阳起蒝食用油爱心捐赠，慰问一线执勤人！#信阳身边事##中国科研团队发现新冠病毒已突变#申城文化的微博视频
XQMOOO,:将我国抗击疫情的成功经验无偿的向国际社会共享，从国际人道主义的角度讲，是对的，是应该的。如果从知识产权的角度讲，则是不应该的。因为，我国取得的抗击新冠病毒疫情的成功经验，是成千上万人的生命代价换来的；是十四亿中国人经历长达近两个月的居家隔离的困苦换来的；是几十上百万医务人员冒着生命危险拼出来的；是几十上百万党政干部、机关公务员、机关事业人员、人民解放军、公安干警冒着生命危险干出来的！这一经验，来之不易啊！转发
海外综艺片场,:【#TED#：流行病学教授回答关于新冠病毒的六个提问】TED特邀流行病学教授戴维·海曼在总部为大家科普新冠病毒防治，他曾任世界卫生组织健康安全与环境助理总干事，负责过全球抗击SARS的行动。这个短片便是他的演讲精华。海外综艺片场的微博视频
海南国际旅游岛之声,:截至2020年3月3日，海南全省已连续13天无新增确诊和疑似病例。但我们必须看到，全球抗击新冠肺炎疫情的形势仍然十分严峻。新型冠状肺炎病毒是人类共同的敌人，防控是我们共同的责任。为全面打赢全球防疫战争、尽早恢复国际间人员正常往来做出海南贡献。为此，海南向境外来琼人员发出一封信。#最新疫情地图#详戳→http://t.cn/A67WDBgC
创合会展服务有限公司,:#快克##抗击疫情##同舟共济战疫情#发布了头条文章：《抗击疫情|快克药业肩负使命，捐赠新冠病毒防控物资，为战“疫”助力》抗击疫情|快克药业肩负使命，捐赠新冠病毒防控物资，为战“疫”助力
