呼和浩特市总工会,:【日韩两国口罩价格飞涨#日本口罩一只卖300元#
海淀农业,:【一产战“疫”线海淀农业领域企事业单位在行动（二）】海淀区委农工委区农业农村局全面贯彻落实中央、市委市政府、区委区政府统筹推进新冠肺炎疫情防控和经济社会发展工作部署会议精神，一手抓牢疫情防控，一手抓稳复工复产。按照“统一领导，分类负责”的原则，由职能科室和下设事业单位根据职责分类管理，全面覆盖，摸清底数。海淀农业领域的企业事业单位积极履行社会责任，以实际行动落实中央会议精神，为全国的稳产保供、经济建设贡献海淀力量。北京嘉博文生物科技有限公司，是一家专注于餐厨垃圾无害化处理和土壤耕地质量提升的农业产业化国家重点企业。防控初期，嘉博文旗下抗疫团队积极采购防疫物资，将10000只医用口罩捐赠给双流区疾控中心；湖北分公司将自种草莓950斤分别捐赠给郧阳区人民医院、十堰市太和医院，为疫情防控贡献绵薄之力。各项目公司种植基地、农场通过公众号生鲜配送方式供应居民水果蔬菜，每天配送400斤草莓，500斤蔬菜；培育相关水果蔬菜种苗，每天300亩，为春耕种植打好基础；为保证城市清洁服务，嘉博文旗下海淀区大工村项目、上海闵行项目等均未停工，保障厨余垃圾和粪便得到持续无害化处理，解决环境问题。北农大科技股份有限公司，主要致力于高效动物饲料和优良畜禽品种的科研与推广，是农业产业化国家重点龙头企业。企业目前的复工率达到60-70%，复产率达到60%。现着手解决向湖北地区发送核心预混料及从父母代场向湖北地区运送雏鸡受阻问题。曲周父母代基地向曲周县交警队、县人民医院、白寨镇人民政府、白寨派出所和曲周县红十字会捐赠550个礼品盒包装鸡蛋，共22000枚。北京双塔绿谷农业有限公司，是集果蔬标准化生产、科技示范、蔬菜基地建设、果蔬贮藏、加工配送为一体的新型都市农业企业。在首农食品集团和西郊农场支持下，双塔绿谷公司顺利实现“小汤山医院食材食品供应”三级保障供应体系的快速搭建。目前首批供应物资已在首农庄园集结完毕，并顺利送抵小汤山医院。复工复产期间，旗下首农庄园为北大国际医院、天坛医院、美中宜和等医院的一线医护人员提供便民蔬菜礼盒；通过中石化、壳牌400余家加油站为市民提供便民蔬菜礼盒；为外企人力资源集团（fesco)服务的4万余家企业提供便民蔬菜礼盒，总计上万份。北京依科曼生物技术股份有限公司，是一家专业从事绿色植物保护的集团公司。依科曼江陵生产基地在地方政府的帮助下，用最短的时间启动一条消毒液生产线，及时将第一批消毒液捐赠给江陵政府，支持地方的科学抗疫活动。面对疫情，北京公司开通线上办公，复工率达80%以上。北京佳格天地科技有限公司，是一家通过环境和农业大数据收集、处理、分析和可视化系统，提供环境和农业解决方案的大数据应用公司。为应对疫情期间春播备耕，佳格天地充分发挥自身技术特长，基于卫星遥感与大数据优势，特别推出“春播备耕战‘疫’决策平台”，为广大农业生产主体提供免费线上服务，帮助实现足不出户便可了解春耕进展，部署相关工作。“春播备耕战‘疫’决策平台”囊括“战‘疫’播种区”、“春播风险预报”、“备耕气象趋势”三大功能模块，从地理空间、时间、作物等多维度为全国春耕备耕提供动态可视化展示和大数据决策分析。
中国通辽网,:【总投资2亿元公共卫生应急产业园项目落户开发区】近日，华界健康产业吉林有限公司公共卫生应急产业园项目落户通辽经济技术开发区。公共卫生应急产业园项目计划总投资2亿元，占地200亩，分两期建设。一期投资800万元，与科尔沁药业合作建设4条一次性医用外科口罩生产线和2条消杀用品生产线；二期投资1.92亿元，建设公共卫生应急产业基地与仓储物流基地。项目建成后将成为东北最大的口罩、防护服生产基地，带动就业1000余人。
韩剧大天使,:
北京卫生职业学院,:#卫院分享#如何安全佩戴好口罩一次性口罩是医用普通外科口罩，有正反两面，正面的佩戴应该是蓝色面朝外，颜色浅的朝里，贴紧脸部。不仅如此，口罩还分上下，内有金属条摸起来较硬的一边为上端。除此之外，正确的步骤应该有，洗：清洗双手，以免手不干净污染口罩内面。此外还要注意挂：将口罩横贴在脸部口鼻上，用双手将两端的绳子挂在耳朵上。其次是拉，双手同时向上下方向将口罩褶皱拉开，是口罩能够完全的覆盖口鼻和下巴。最后压：用双手的食指压紧鼻梁两侧的金属条，使口罩上端能够紧贴鼻梁。这样我们就算安全的佩戴好口罩了，大家一定要注意哦！
连云港市广播电视台-港城365,:发布了头条文章：《用75%医用酒精喷口罩消毒行不行？权威机构做了个测试……》用75%医用酒精喷口罩消毒行不行？权威机构做了个测试……
我是rose上海,:【美国参议院健康委员会听证会：口罩库存只占口罩总需求量的十分之一】据央视新闻，当地时间3月3日，在美国参议院健康委员会听证会上相关官员称，如果新冠病毒疫情在美国暴发成为“全面”大流行，那么目前美国医务人员所需的医用口罩只占总量的10%。美国卫生与公共服务部（HHS）防备和应对事务助理部长卡德莱克（Kadlec）周二（3日）在参议院卫生、教育、劳工和退休金委员会上表示，“我们大约有3500万只口罩，只占总量的百分之十，我们还在积极努力。”
最近特别爱吃菜,:转发抽奖国产一次性医用口罩10个，邮费自理顺丰到付。3月8日上午开奖
财经网,:【投票：疫情期间你的口罩是如何买到的？】#WHO预计全球每月需要8900万个口罩#世卫组织在3日呼吁，全球医疗产品紧缺，根据其模型计算，为应对新冠疫情，全球每月需要使用8900万个医用口罩、7600万副检查用手套和160万副护目镜。而目前医用口罩价格上涨6倍，N95口罩的价格增至3倍。http://t.cn/A67O4via
苏州高端制造,:有资质，有名有姓的一次性医用口罩不多
哈斯Mao,:#医用口罩[超话]#一次性医用，现货不多
肾斗士_7777,:关于婴舒宝的企业标准，我查过了，他是引用医用护理口罩标准，同时过滤效率采用YY0469的细菌过滤效率测试方法，达到95%以上。
丿我是你们的痴女啊,:安心。剩下就抢抢便宜和医用口罩啦
云见心,【为什么你还买不到口罩？】中国是世界上最大的口罩生产和出口国，2019年中国生产约50亿只口罩，其中可用于病毒防护的医用口罩27亿只，但这在暴发的疫情面前仍然是杯水车薪。当下中国每天的口罩供应够多少人用？生产一只口罩需要经过多少环节？口罩短缺的情况什么时候才能结束？via回形针PaperClip#为什么你还买不到口罩##中国口罩日产能产量双双突破1亿只#http://t.cn/A67fIDZV
阳光报,:【美国参议院健康委员会听证会：美国口罩库存只占总需求量的10%】当地时间3月3日，在美国参议院健康委员会听证会上相关官员称，如果新冠病毒疫情在美国暴发成为“全面”大流行，那么目前美国医务人员所需的医用口罩只占总量的10%。美国卫生与公共服务部官员罗伯特•卡德尔茨博士估计，美国大约需要35亿个医疗级N95口罩，这种口罩可以过滤掉大约95％的液体或空气传播颗粒。但数学计算表明，如果美国仅拥有3500万个口罩，并且需要35亿个口罩，美国实际上仅拥有所需用品的1％。
A玫瑰少年,:支付宝摇号中签的口罩，医用外科，独立包装，3.2一个
海总整形注射医生蒋娜,:疫情期间可以户外跑步吗？户外跑步是可以的，不过要注意以下几个问题：1，保证身体状况良好；2，选择人员约稀疏的时间和地点，并与他人保持2米的距离；3，戴好医用外科口罩；4，自己一个人跑，不要多人一起跑；5跑后尽快回家换干衣服，以免着凉。
兰大高个儿,:一次性使用医用口罩（鲁械注准20202140233），十万级洁净车间生产，不限购，量大分批发，已经预订到3月底。
yamap-piaoyang,#山下智久[超话]#神仙下凡[可爱]
薅羊毛队长-,:#购物分享[超话]##医用外科口罩#速度，茵茵补库存了，目前挺容易拍的一家。
Solove米菲纸尿裤-琼哥,:ᵕ̈💛ᵕ̈💛ᵕ̈𝗺𝗼𝗿𝗻𝗶𝗻𝗴𝘆𝗮♡第一批二级医用类口罩上线而且仅供湖北地区代理有种特别骄傲自豪的感觉咋说现在也是有大量口罩的人想要的赶紧抓紧时间找我聊聊！#米菲纸尿裤#
娱乐天天看,:#摩登兄弟[超话]#[给你小心心]#摩登兄弟传递正能量#刘宇宁多个粉丝个站联合公益应援，驰援武汉、与“宁”同行！为武汉市儿童医院捐赠医用口罩3000个；消毒液336瓶，总金额24300元！饭随爱豆传递满满的正能量，在公益路上从未缺席！
最近特别爱吃菜,一次性医用口罩都4块钱一个了？？？做个微博抽奖吧，日本进口女用医用口罩10个，邮费自理。因为一盒是50个，所以拆开戴手套分装的，介意的慎重。3月4日上午10点开奖抽奖详情
M大肉,:【送三个医用口罩】84消毒液1000ml，，29.9入！下单就赠3只口罩！下单就赠三只口罩！杀菌杀毒，配方温和，最近复工复学，消毒液少不了的
松江区建管委,:【巾帼战疫之助力口罩生产】“三八”妇女节来临之际，区建管委妇联走进美迪康医用材料（上海）有限公司开展志愿服务。
双少飞翔,:医用外科口罩与医用一次性口罩的区别　1:产品说明不同：不同材质的口罩功能和用途都是不同的，其产品说明一般情况下会注明口罩所适用的环境和条件。　　2:价格不同：医用外科口罩一般价格较高，通常是普通医用口罩价格的数倍。扩展资料：医用外科口罩，一般用于医疗门诊、实验室、手术室等高要求环境，为医护人员工作时所佩戴的口罩。安全系数相对较高，对于细菌、病毒的抵抗能力较强。医用外科口罩也可用于防流感；如需与甲型H1N1流感患者接触，或长时间处于人员密集且不通风的场所，则应当通过佩戴口罩进行个人防护。http://t.cn/R2WxH0G
博弈短线牛股,:合同投资英科医疗(300677)：拟投资扩建年产98.8亿只高端医用手套及建设其他医疗耗材项目公司全资子公司安徽英科拟投资8亿元实施投资扩建年产99.8亿只（998万箱）高端医用手套项目、投资2400万元实施建设年产3亿只口罩及100万套防护服项目。粤水电(002060)：联合中标两项目金额合计9001万元近日，公司与建工机施组成的联合体中标“广宁县绥江流域第二批中小河流治理（二期）工程施工总承包”、“广宁县绥江流域第三批中小河流治理（二期）工程施工总承包”项目，两个项目中标金额合计9001.18万元。根据联合体协议书，公司负责水利水电工程施工总承包叁级或以上资质所能承担的施工内容，并负责施工总承包管理工作。中国铁建(601186)：下属公司新签近58亿元海外合同近日，公司下属中国土木工程集团有限公司与赞比亚交通与通信部签订了赞比亚既有铁路线修复项目设计、采购、施工合同，工期8年，合同额约为8.2487亿美元，折合人民币约57.7951亿元，约占公司中国会计准则下2018年营业收入的0.79%。
拆快递的小猫咪,:10点口罩整理好了，准备啦~有稳健加油#京东口罩#三奇口罩今天补货#医用外科口罩#多蹲几次口罩，总会抢到的，振德，家至宝，稳健和白元口罩还会有，姐妹加油🦆！
米奇君君,:付致这行话(Drur1g8BnAS)转移至【稳健医用护理口罩一次性灭菌级非独立包装细菌过滤效率≥95%30只】十点也好难
成都水务,:#成都新闻#【给力！首批5000只“双流造”医用N95口罩已于今天正式面市！】3月3日，首批5000只“双流造”医用N95口罩正式面市！这意味着成都实现了医用N95口罩本地造的生产能力。四川海汇药业有限公司医疗器械事业部负责人李好雨告诉双双：“现在是日产量5000个左右，预期到下周就能达到每天1万到1万2的产量。”
拆快递的小猫咪,:10点口罩整理好了，准备啦~有稳健加油#京东口罩#三奇口罩今天补货#医用外科口罩#多蹲几次口罩，总会抢到的，振德，家至宝，稳健和白元口罩还会有，姐妹加油🦆！
FM93浙江交通之声,:【我国口罩日产能产量双双突破1亿只】国家发改委2日表示，我国口罩日产能产量连续快速增长，双双突破1亿只。2月29日，包括普通口罩、医用口罩、医用N95口罩在内，全国口罩日产能达到1.1亿只，日产量达到1.16亿只，分别是2月1日的5.2倍、12倍。其中，医用N95口罩日产能产量分别达到196万只、166万只，有效解决了一线医护人员的防护需要。http://t.cn/A67pv2az
米奇君君,:付致这行话(Drur1g8BnAS)转移至【稳健医用护理口罩一次性灭菌级非独立包装细菌过滤效率≥95%30只】十点也好难
微看郑州,:【郑州济南铁警查获32万只假口罩18人制假贩假被抓】近日，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。新京报我们视频的秒拍视频
成都水务,:#成都新闻#【给力！首批5000只“双流造”医用N95口罩已于今天正式面市！】3月3日，首批5000只“双流造”医用N95口罩正式面市！这意味着成都实现了医用N95口罩本地造的生产能力。四川海汇药业有限公司医疗器械事业部负责人李好雨告诉双双：“现在是日产量5000个左右，预期到下周就能达到每天1万到1万2的产量。”
Peter_Chou001,:#工业级N95与医用级N95口罩的区别#当前形势下医用级口罩都是急需物资，希望那些无良商家不要拿工业级N95口罩(劳保)充当医用级N95口罩售卖。劳保口罩只能防尘，不能防病毒。
秦淮区夫子庙街道饮虹园社区,【#南京新增7条口罩生产线#企业转产医用口罩日产16万只】疫情发生前，南京仅有1家企业生产医用口罩。经调研后，市场监管部门鼓励有条件的企业调整经营范围，并为企业开辟绿色审批通道。目前，南京新增3家企业获得省药监局的防疫物资口罩应急生产备案件，共新增7条口罩生产线，全市日产量16万只以上。#南京[地点]#http://t.cn/A679VFFN
喵喵头上一定会长出猫的,:口罩好贵啊，30多一个普通的医用口罩，我真的买不起了
淮安同城看点,:【日韩两国口罩价格飞涨，#日本医用口罩单价突破300元人民币#】据韩国统计厅27日发布的数据，近期KF94口罩的网上售价超过4000韩元（约合人民币23元），较疫情前增长6-8倍。据日本时事通讯社报道，普通的一盒医用口罩（40只装）可以卖到20万日元（约合人民币12937元），平均每只5000日元（约合人民币323.5元）。（via：@沸点国际）http://t.cn/A6796Namhttp://t.cn/RQXRJUM
承德网警巡查执法,:【郑州济南铁警查获32万只假口罩18人制假贩假被抓】3月3日，记者从郑州铁路公安处获悉，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。#疫情当前警察不退#新京报我们视频的秒拍视频
湄洲日报,:【涵江区引导企业跨界转产扩产打造防控物资产业链】　　从无到有，秉承担当和创新，涵江区委区政府携手企业以战“疫”速度，填补了我市没有医用口罩、医用防护服生产企业的空白。　　以创新取胜，以速度作答，涵江区政企同心打造防控物资产业链，为全市疫情防控物资保障工作作出了“涵江贡献”。http://t.cn/A67O7Zxk
青岛交通运输,:#共同战疫#【疫情期防止过度消毒：医用酒精不要喷口罩车轮鞋底“不用管”】新冠病毒的主要传播途径为飞沫传播、接触传播。使用无人机等，对小区、街道、广场等室外空间进行空气消毒，没有意义。公共地面、绿植如果不是被呕吐物、分泌物、排泄物污染过，不需要消毒。对着车轮喷洒消毒剂，属于过度消毒。日常生活中不需要对鞋底消毒，保持清洁即可，建议回家后在门口换鞋。用医用酒精、消毒剂等喷洒口罩，会使防护效率降低等http://t.cn/A6hjNxFc
一封信与邮差,寄回家的口罩到了三天不派送快递电话也不接什么鬼情况
唐苏苏念,【#医用防护口罩日产量达84.4万#】25日，国家药品监督管理局副局长颜江瑛表示，截至2月24日，医用防护服日产量已经达到了33万套，医用防护口罩日产量达到了84.4万个，#核酸检测试剂日产能达170万人份#，抗体检测试剂的产能每日可以达到35万人份。人民日报的微博视频
撕白菜,:✨10点（日常提醒）（需先入会）http://t.cn/A67GAt26【1.98+8运/可买10件】稳健医疗医用护理口罩1只（1010件）http://t.cn/A6hqVsfW【59.9+15运】稳健医疗医用护理口罩30只（300件，留意上架）http://t.cn/A67pRcBc【39+6运】ohsunny口罩KP953枚（6040件，可买2件）http://t.cn/A6hK6iTV【119】婴舒宝一次性防护口罩50片（1021件，标题下领10券）http://t.cn/A6hkIIO2【96】依芙德伦一次性无纺布口罩30只（403件）http://t.cn/A67bgdnu【59.9】蓝盺KN95口罩5只（2000件）http://t.cn/A6h1x9Uw
生态新都,【正式投产！#中国牙谷日产口罩将达10万只#】新冠肺炎疫情以来，抗疫一线防疫物资一直比较缺乏。3月3日，川投集团在资阳“中国牙谷”医疗产业园区的一条医用口罩生产线正式投产，达产后，日产量将达到10万只。四川观察的微博视频
秦淮区夫子庙街道饮虹园社区,【#南京新增7条口罩生产线#企业转产医用口罩日产16万只】疫情发生前，南京仅有1家企业生产医用口罩。经调研后，市场监管部门鼓励有条件的企业调整经营范围，并为企业开辟绿色审批通道。目前，南京新增3家企业获得省药监局的防疫物资口罩应急生产备案件，共新增7条口罩生产线，全市日产量16万只以上。#南京[地点]#http://t.cn/A679VFFN
鶴九Tsuruku,:昨天晚上，在德国医院读博的同学和我打电话吐槽。她给我吐槽了一大堆槽，例如：1、欧洲有个反蒙面法，很多地方买医用口罩需要开证明。2、亚裔+戴着口罩上街，如果碰上种族主义者，可能会被殴打。3、欧美人就不爱戴口罩，和医院医生护士住一栋楼搞得她躲都没地方躲。4、国境边界没关，她平时买菜都去荷兰买，鬼知道每天都跑进来哪里的人，希腊那边还在扛中东非法移民。5、德国一边让民众不要恐慌，但是医生护士私下里都在囤口罩，毕竟德国口罩也不够用。6、拜外媒传统艺能所赐，欧美（及日韩）民众普遍认为，中国隐瞒了大量死亡数字——但是相对的，他们又认为这个病不厉害，所以不怎么需要戴口罩。我问我同学，它们是如何做到，一边相信中国国内死了非常多人，一边又认为这个病不够厉害的？同学说，如果这问题有解，我就不用在家躺尸了。我们吐槽这么多不是为了比烂，也不是为了自豪，只是说明我们俩都很累。我们俩都知晓，这个星球上的沙比是根本不能被过滤掉的事实，但是又打心眼里想去一个沙比浓度稍微低一点的地方安静地躺尸，仅此而已。
薅羊毛队长-,:#口罩##医用外科口罩#10点婴舒宝准备，反馈是众多口罩中，比较容易蹲的。
买买小白,:下单就赠口罩10个！下单就赠口罩10个！
武威公安,:【郑州济南铁警查获32万只假口罩18人制假贩假被抓】3月3日，记者从郑州铁路公安处获悉，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。新京报我们视频的秒拍视频
926梁溪之声广播,:【#WHO预计全球每月需要8900万个口罩#】世卫组织在3日呼吁，全球医疗产品紧缺，根据其模型计算，为应对新冠疫情，全球每月需要使用8900万个医用口罩、7600万副检查用手套和160万副护目镜。而目前医用口罩价格上涨6倍，N95口罩的价格增至3倍，防护衣的价格则翻了一番。为了满足不断增长的全球需求，WHO预计，必须全球范围内个人防护设备的供应需要增加40％。各国政府应鼓励相关工业增加产量，这其中就包括放宽对个人防护设备和其他医疗用品的出口和分销的限制。（财经网）http://t.cn/A67Ovo1A
平安绵阳,:【郑州济南铁警查获32万只假口罩18人制假贩假被抓】3月3日，记者从郑州铁路公安处获悉，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。#疫情当前警察不退#新京报我们视频的秒拍视频
中国对外贸易杂志英文版,:【#WHO预计全球每月需要8900万个口罩#】世卫组织在3日呼吁，全球医疗产品紧缺，根据其模型计算，为应对新冠疫情，全球每月需要使用8900万个医用口罩、7600万副检查用手套和160万副护目镜。而目前医用口罩价格上涨6倍，N95口罩的价格增至3倍，防护衣的价格则翻了一番。为了满足不断增长的全球需求，WHO预计，必须全球范围内个人防护设备的供应需要增加40％。各国政府应鼓励相关工业增加产量，这其中就包括放宽对个人防护设备和其他医疗用品的出口和分销的限制。http://t.cn/A67Ovo1A
财经网,:【#WHO预计全球每月需要8900万个口罩#】世卫组织在3日呼吁，全球医疗产品紧缺，根据其模型计算，为应对新冠疫情，全球每月需要使用8900万个医用口罩、7600万副检查用手套和160万副护目镜。而目前医用口罩价格上涨6倍，N95口罩的价格增至3倍，防护衣的价格则翻了一番。为了满足不断增长的全球需求，WHO预计，必须全球范围内个人防护设备的供应需要增加40％。各国政府应鼓励相关工业增加产量，这其中就包括放宽对个人防护设备和其他医疗用品的出口和分销的限制。http://t.cn/A67Ovo1A
看福清官方微博,:【下雨天别让你的口罩被打湿】因为口罩一旦碰水极大可能会破坏口罩的过滤效率，再使用时口罩上被分离出来的病毒，甚至有可能被吸入。此前，教育部产业用纺织品工程中心副主任、东华大学非织造材料与工程系靳向煜教授表示，无论是N95还是医用外科口罩，都是在比较蓬松的情况下才能有效吸附空气中的各种微粒。因此“清蒸”“水煮”，会让水进入，导致过滤效果大幅下降。而用酒精喷洒口罩表面，酒精挥发时会将里面的水分一起带走，再使用时，被分离出来的病毒有可能被吸入。所以，一定要小心！不要让雨水淋湿你的口罩！http://t.cn/A670U2Ep
差点远方,:#旅行[超话]##日本一只口罩卖300人民币#【日韩两国口罩价格飞涨日本医用口罩单价突破300元人民币】随着新冠疫情在全球范围内蔓延，口罩等防护物品的价格飞涨，库存紧缺。据韩国统计厅27日发布的数据，近期KF94口罩的网上售价超过4000韩元（约合人民币23元），较疫情前增长6-8倍。而日本方面，医用口罩的价格更是高得离谱。据日本时事通讯社报道，普通的一盒医用口罩（40只装）甚至可以卖到20万日元（约合人民币12937元），平均每只5000日元（约合人民币323.5元）。不仅如此，日本多地还出现了哄抢厕纸的情况。为此，日本经济产业省出面辟谣，并呼吁日本民众冷静，不要相信谣言，正常采购生活物资。
河南鹤壁平安鹤山,:【郑州济南铁警查获32万只假口罩18人制假贩假被抓】3月3日，记者从郑州铁路公安处获悉，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。#疫情当前警察不退#新京报我们视频的秒拍视频
DeVilfishManta-,:#开学#我一想到戴着口罩上课然后学校大澡堂的话根本不想开学而且我也没几只口罩了医用买不到就算是预约到了也只有十只十天预约一次n95想都不用想千方百计买到一些kf94贵的要死接下来可能也是买不到的了毕竟韩国那么严重
