七月ssst,:#火箭军回应护士向国家要男朋友#我🍋了我也想要国家分配
复兴中华记实杂谈,#强态度#【领导坐台上，专家在台下！他们需要话语权】新冠肺炎疫情是对我国治理体系和能力的一次大考，在这次大考中，疾控体系暴露出一些问题。”中国人民大学教授毛寿龙认为，“现在的信息传播机制主要是请示汇报制度，这种制度对于耽误此次疫情应对有很大责任。”#这场战疫我们能赢##战疫曝光台#http://t.cn/A67ae8vW
长春中医药大学,:#那批喜欢画校服的学生长大了#我校附属医院的护士，现援武汉雷神山医院国家中医医疗队队员“艺璇小姐姐”
hu西溪,:#李佳琦直播间#能不能多关注#外国人永久居留管理条例#这才是人们最应该关注的国家大事啊！
慧剑心灯,#英国首次发布防疫措施#划重点：大家发现没有，在英国这个老牌资本主义国家，竟然还有公立医院……
周周周周周周周周可爱,:只想当一条不危害国家的闲鱼下辈子求别让我做人了没意思真没意思
爱就一起吃好多饭,【#火箭军回应护士向国家要男朋友#】听说有护士小姐姐要求分配男朋友？安排！#东风快递代表队#来了！东风快递的微博视频
半夏末雪儿,:#韩国医院艺人减肥[超话]#韩国发货发新加坡美国英国[捂脸]全国都可以发哦字大点挡住信息半夏末雪儿的微博视频
不丧良心的Lily,:#外国人永久居留管理条例#今天在公众号上看到一句话，一个国家不会因为引进人才而强大，而是会因为强大吸引来人才，不要本末倒置@司法部
紫魅茜歆,【韩国确诊病例超4000#80国对韩采取入境管制#】3月2日，因新冠肺炎疫情，韩联社报道称有80个国家和地区对韩国采取入境管制措施。其中36个国家和地区全面或限期禁止韩国公民入境，44个国家加大了对从韩国入境人员的检疫力度。截至当地时间3月2日，韩国已确诊4212例。#聚焦新冠肺炎疫情#@新京报我们视频http://t.cn/A67aJG3s
界面新闻,:【#德国新冠肺炎确诊病例达196例#】据德国《欧洲时报》当地时间3月3日14时公布的统计数据，德国已累计确诊新冠肺炎患者196例，成为欧洲除意大利外病例最多的国家，当天德国16个州中已有13个州出现新冠肺炎病例，前东德地区继柏林后也陆续出现确诊病例。
陇南礼县发布,:【#伊朗确诊病例升至2336例#，#伊朗累计77例死亡病例#】据外媒报道，伊朗卫生部宣布，过去24小时伊朗境内新增新冠肺炎感染者835例，累计例2336，新增11例死亡，累计达77例。伊朗最高领袖哈梅内伊当天在国家电视台表示，将命令军队协助抗击疫情。（人民日报记者周輖）
价值投资日志,:【抵制歧视！新加坡留学生在伦敦市中心惨遭当地居民群殴】由于新冠疫情蔓延到欧美部分国家，很多地区都出现了严重的排斥亚裔现象。一名在英国留学的新加坡学生就表示，在2月24日当天他在伦敦牛津街被几名当地青年围殴，打人者还冲他吼道：“我们国家不要你的新冠病毒，滚出我们的国家！”根据这名学生的facebook得知该男生名叫JonathanMok，是英国名校UCL(伦敦大学学院)的学生。随后医院证实他脸部有多处骨折，需进行手术。他在Facebook上发文表示，种族歧视不是愚蠢，而是仇恨。种族歧视一直在找各种借口，而新冠病毒的出现就给了他们新的借口。#钟南山团队建议严格防控实施至4月底##全球抗疫第一线##三月的新目标#
赵超阳,:【安排！#火箭军回应护士向国家要男朋友#
卷毛毛的驴咂,:啊感谢我前边的84位同学选了别的国家我抢到比利时了
e人微言,:纪录片《以色列全史》，了解以色列这个神奇的国家，要从这个国家的历史开始……
鄧曉矖,收到一个安康中心医院员工的私信
念念如思,:#火箭军回应护士向国家要男朋友#哇！@龚成Mua@庸人的休暇时间的奴隶87452看看
尼古拉斯韩老师,:#考研国家线##考研成绩#过线不是压力，进不进复试看什么？
今今今若Luck,:#火箭军回应护士向国家要男朋友#去哪里领国家分配的男朋友？举手手～疫情期间在后方逆行的医护工作者可以排队领个号吗？第二个——可爱的那个就可以
小幺妹1116,:#朱正廷0318生日快乐#🍬#朱正廷318我一直都在#朱正廷zzt贝贝廷廷听听人间仙子云里前桥根正苗红青年演员🍭hello小孩公益项目推广大使🍭国家太空C计划志愿者🍭公益图书室成为示范区🍭有猫有狗人生赢家🍭八块腹肌肩宽腰细大长腿🍭双料录取上戏第一附中首席🍭性感烟嗓甜蜜告白舞台王者🍭时尚满分杂志多多🍭做菜沙雕综艺满满@THEO-朱正廷
前部胜勇,:#外国人永久居留管理条例#华夷之辩，主要看内心（文化的认同），有的人生在中国，鲜廉寡耻对国家无益，只是“华皮夷心”而已。而有的人虽然来自异域，但品德合乎礼义，于国有益，这样的人其实是外国脸中国心。而他的看法最终得到了唐宣宗的认可，钦点了李彦升为翰林学士。李彦升中进士的故事也被唐朝文学家陈黯写成了一篇知名散文，名字就叫《华心》。
果果味冰淇淋,:#日行一善[超话]#倡导富强民主文明和谐，倡导自由平等公正法治，倡导爱国、敬业、诚信、友善，积极培育和践行社会主义核心价值观。富强、民主、文明、和谐是国家层面的价值目标，自由、平等、公正、法治是社会层面的价值取向，爱国、敬业、诚信、友善是公民个人层面的价值准则互必回
彭州市升平镇卫生院_13088,:成都成交量居全国第一，🤗你品，你细品？按全国的房价来比，成都的房价底，是事实。排在准一线城市榜首，有国际双机场，有国家级新区，有很好的国际影响力等等，也是事实。也可以说成都的房价跟不上城市发展的步伐[奋斗][奋斗]房价随时有蓄势待发的节奏[奋斗][奋斗][福][福]请别输在时间和等字上[福][福]错过了2015年、错过了高新区、错过了华阳，错过了限购之前，别在错过2020年#房产##成都##北京[超话]##武汉#http://t.cn/R2WxuYt
空手接白刃的刻刻帝,:#火箭军回应护士向国家要男朋友#我觉得可以啊。都是国家的英雄，正好可以做搭档，然后谈恋爱做夫妻，这个主意不错，总之就是想谢谢这些宝贝们做的贡献！祝福！
苦菜拌蜗牛,大家快来喝光明牛奶，支持一下光明乳业！光明不清真！太穷了请不起代言，大家多多了解一下！牛奶好喝，优倍家中常备！一堆花生巧克努力也非常好喝，全家罗森一直有活动9.9两个！
番茄土豆牛腩火锅啦,:#火箭军回应护士向国家要男朋友#安排！！！！给老子安排！！！！！
今今今若Luck,:#火箭军回应护士向国家要男朋友#去哪里领国家分配的男朋友？举手手～疫情期间在后方逆行的医护工作者可以排队领个号吗？第二个——可爱的那个就可以
宝儿贰爷,【#遭武汉城管殴打配菜员发声#：有菜筐搁不下堆门口城管称影响市容】3月2日，武汉多名城管殴打蔬菜配送员的视频引关注。3月3日，被打的蔬菜配送员李锋告诉记者称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”。（by新京报）http://t.cn/A67NqDUi
Selbstdisziplin丶,:#肖战#我不懂为什么这么多人骂肖战和他的粉丝，为什么会有人觉得低素质个体可以代表整个群体？举个最简单的例子：我是个外国人，中国有一群废青把我家砸了，我开始觉得中国人都不是什么好人，一定是领导人没有管好，于是我开始在网络上辱骂所有中国人，并要求国家的领导人给我一个说法。你们觉得这样做对吗？很简单的道理为什么到自己身上就不懂了呢？
小幺妹1116,:#朱正廷0318生日快乐#🍬#朱正廷318我一直都在#朱正廷zzt贝贝廷廷听听人间仙子云里前桥根正苗红青年演员🍭hello小孩公益项目推广大使🍭国家太空C计划志愿者🍭公益图书室成为示范区🍭有猫有狗人生赢家🍭八块腹肌肩宽腰细大长腿🍭双料录取上戏第一附中首席🍭性感烟嗓甜蜜告白舞台王者🍭时尚满分杂志多多🍭做菜沙雕综艺满满@THEO-朱正廷
国家电投,:#抗击疫情央企行动#喜讯！3月3日，国家电投内蒙古公司所属白音华坑口电厂2×66万千瓦超超临界燃煤机组项目正式获得核准，标志着该项目经过17年的不懈努力，即将进入全面开工建设阶段。这既是国家关于锡盟煤电基地特高压外送后续配套煤电项目中的首个核准项目，也是内蒙古自治区2020年核准的首个大型火电项目。
前部胜勇,:#外国人永久居留管理条例#华夷之辩，主要看内心（文化的认同），有的人生在中国，鲜廉寡耻对国家无益，只是“华皮夷心”而已。而有的人虽然来自异域，但品德合乎礼义，于国有益，这样的人其实是外国脸中国心。而他的看法最终得到了唐宣宗的认可，钦点了李彦升为翰林学士。李彦升中进士的故事也被唐朝文学家陈黯写成了一篇知名散文，名字就叫《华心》。
彭州市升平镇卫生院_13088,:成都成交量居全国第一，🤗你品，你细品？按全国的房价来比，成都的房价底，是事实。排在准一线城市榜首，有国际双机场，有国家级新区，有很好的国际影响力等等，也是事实。也可以说成都的房价跟不上城市发展的步伐[奋斗][奋斗]房价随时有蓄势待发的节奏[奋斗][奋斗][福][福]请别输在时间和等字上[福][福]错过了2015年、错过了高新区、错过了华阳，错过了限购之前，别在错过2020年#房产##成都##北京[超话]##武汉#http://t.cn/R2WxuYt
奔六,印度宣布发给日本人的签证全部无效…日本人暂时无法进入印度了。底下评论，机翻。#日本疫情#
Panacea--,:吹泡泡国家一级运动员🥇
渤海东方钺,#网络名人同心战疫#孟雅琪，伊朗网红，毕业于德黑兰一所大学(中文系)，汉语很流利。因伊朗疫情严重，目前在德黑兰的家中隔离。她用中文发视频称：谢谢您中国，在我们最困难的时刻，就为我们送来了我们急需的试剂盒，呼吸机，口罩以及其它许多救援医疗物资，这对伊朗人民来说真的是雪中送炭，这对我们来说就是生命！如今中国疫情形势越来越明朗，已经看到了胜利的曙光。相信伊朗人民也一定会战胜疫情。中伊两国人民友谊万岁。http://t.cn/A67X34yE
飞燕踏马m,【#希腊派特种部队严防难民越境#】自土耳其上周宣布“放行难民前往欧盟”，数以万计的难民和非法移民连日来试图通过陆路、海路进入希腊境内。在陆路边境处，希腊军警与难民的冲突还在持续。希腊政府已将边境防御等级提升至最高级，并增派大量军警包括特种部队加固边境铁丝网，严防越境。@央视军事http://t.cn/A67NSpxB
Isabeli-,:看了好多国家的skam每个国家都太好了挪威版真的太美了两对我都爱死了（女神真的太漂亮了没有任何一个版本可以超越）法版我心中白月光太浪漫了法国人（因为我太喜欢了我要放四张法版的）比利时版也太救赎了
丁丁猫STEAM空间,:信息量超大的两张图：1、全球语言使用的人口分布，汉语单独父节点啊，一个国家顶一个欧洲的语言种类，英语才能匹敌，印度语hindi意外吗？人口摆在那里，超过中国人口的节奏；2.基督教排第二，排第一的是神马？None确指啥都不信的人口。
阿准加油,#阿云嘎[超话]#⚡#阿云嘎追梦2020#顺手做的。三年，年年不同。阿云嘎@阿云嘎Musical，牛！希望这个表：未完待续，持续更新。[doge]
渤海东方钺,看来人们怀疑新冠状病毒与美国有关，并非空穴来风！！！
广州新闻电台FM962,:【外交部：#中方在能力范围内向外方提供支持#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，#中方向伊朗派遣志愿专家团队#。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（总台央视记者朱若梦靳丹妮）
潮水褪去谁在裸泳,:#美国#不戴口罩是因为口罩资源匮乏，去年“流感”死一万多是因为检查新冠肺炎全部要自费，要去检查是否感染新冠肺炎费用可不小，在美国这种全民透支消费贫富悬殊超大的国家估计还是不少人拿不出这笔钱。我可以这么理解吗?看视频→_→#美国#你准备好了吗！
潮水褪去谁在裸泳,:#美国#不戴口罩是因为口罩资源匮乏，去年“流感”死一万多是因为检查新冠肺炎全部要自费，要去检查是否感染新冠肺炎费用可不小，在美国这种全民透支消费贫富悬殊超大的国家估计还是不少人拿不出这笔钱。我可以这么理解吗?看视频→_→#美国#你准备好了吗！
潇湘晨报,:【#隔离不分内外一视同仁#】这几天有些省增加了输入性病例。当下新冠肺炎疫情已蔓延到70多个国家，中国之外的确诊病例数已突破1万。韩国、意大利、伊朗等国形势尤其严峻。据我们的防控经验，加强隔离是可行的办法。隔离不分内外，也不会区别对待，更不会有例外，只有一视同仁和严格执行。http://t.cn/A67pGrZf
蔡许清治,:转//#看点快报#《新西兰会成为下一个韩、意、伊吗？总理称我们做的比其他国家还多》http://t.cn/A67pqNZ5
慧珺子矜,#意识形态要闻#【#思想微评#：决不能把外国人的权利放在本国人的权利之上】复旦大学郑若麟：没有一个国家是把外国人的权利放在本国人的权利之上的！也没有一个国家是以自己女性嫁给外国人为荣的！然而……简直笑哭了的微博视频
STAR鲍鲍,#中国女孩##外国人永久居留管理条例##中国将全面开放油气勘查开采市场#他们都有医保社保了吗？他们的孩子都能跟着他们进城读书了吗？
翻译硕士mti考研备考,:我发表了头条文章:《2020年考研国家线发布前谈2020年翻译硕士考研复试准备不拖延》2020年考研国家线发布前谈2020年翻译硕士考研复试准备不拖延
朱枫JUDE,【#天津60个国企混改项目股权拍卖#，最高可出让100%股权（附表）】参与混改的企业中有天津滨海农商行、百利融租、天津信托等金融机构，均出让50%以上的股权。天津60个国企混改项目股权“拍卖”最高可出让100%股权（附表）
光头帮主,:【拿600亿美元向非洲引进留学生，谁知道干啥用？】#帮主微评#《魏建国:国家拿出六百亿美元向非洲引进留学生》http://t.cn/A67CJpBi来自@网易新闻客户端#网易新闻#
国米国王,发布了头条文章：《逐条全面分析《外国人永居管理条例》的问题和漏洞》逐条全面分析《外国人永居管理条例》的问题和漏洞
光头帮主,:【拿600亿美元向非洲引进留学生，谁知道干啥用？】#帮主微评#《魏建国:国家拿出六百亿美元向非洲引进留学生》http://t.cn/A67CJpBi来自@网易新闻客户端#网易新闻#
朱枫JUDE,【#天津60个国企混改项目股权拍卖#，最高可出让100%股权（附表）】参与混改的企业中有天津滨海农商行、百利融租、天津信托等金融机构，均出让50%以上的股权。天津60个国企混改项目股权“拍卖”最高可出让100%股权（附表）
国米国王,发布了头条文章：《逐条全面分析《外国人永居管理条例》的问题和漏洞》逐条全面分析《外国人永居管理条例》的问题和漏洞
江湖俏佳人很小美,:#反对外国人永久居留管理条例通过#几代人辛辛苦苦建立的国家不能毁在洋垃圾手里
中石化广东石油分公司,:根据国家发改委消息，今晚24时国内成品油调价窗口开启，现预计上调油价10元/吨，未达到50元/吨的上涨标准，所以今晚油价将出现搁浅调整，也就是不会上涨，也不会下跌。本轮统计数据将积累到下次统计之中，下次油价调整将在3月17日24时进行，距离现在还有2周的时间。
陈Iron,上次去新疆，汉族朋友对当地政策很有怨言，限制人身自由、提心吊胆、生活不便等等，我说这些都是事实但不妨先想想：1还是像七五之后那样，2像现在这样，必须二选一，你选哪个？朋友都说：当然还是要管的，不能像七五那样，但是balabala……。其实吧，你之所以balabala，是因为没有被逼到二选一的地步。
一颗小小的韭菜a,:被删掉的微博，再发一次，不要被带偏了(如扯男女分离我们，扯法律折中等于间接同意条例，还有更扯淡的联姻、引进先进人才博士来忽悠，)，坚决反对条例，反对全部子项，不能折中。重点一。二代三代资本家等能够合法资产转移到海外，利用基金洗钱，会让国家资产外流，造成RMB贬值，通货膨胀，甚至金融危机重点二。引入亚非拉人口，想把阶级斗争转为种族矛盾，民族矛盾，最终可能导致民族“灭亡”重点三。超国民待遇，某些人的外籍子女可借此条例“回家”，享受事实的“双重国籍”待遇。#外国人永久居留管理条例##十部委严控公立医院数量##中國將全面開放油氣勘查開採市场##中国女孩#
红树西岸,:为什么中国不会产生苹果、特斯拉这样的具有创新力的公司？我们尽管GDP位居世界第二，但人均GDP太低了，甚至都低于墨西哥。人均GDP很低的国家，没有办法产生科技创新能力。很简单，中国即使有一家公司生产出iPhone，整个国家没有产品的生态能力。这些年，稍微有点创新力的是乐视，但乐视失败了。失败的原因，它没有存活的土壤。贾跃亭做的那个东西还是很超前，但中国的人均GDP太低了，产生不了革命性的具有苹果特斯拉气质的创新企业。
钟易手作-小船,:南极气温首破20度！根据美国国家海洋和大气管理局报告显示：2020年1月，全球平均气温破纪录。是1880年有气象记录以来的最热1月。
Gabi是贝克水母,#国际泳联考虑将孙杨金牌罚给霍顿##孙杨公布完整血样瓶#事情到现在，双方各执一词。我有点好奇大家目前心目中的真相是什么样的？顺便说明下你的理由......你认为国际体育仲裁法庭（CAS）的对孙杨的判罚合理吗？
李贵生律师以案说法,:在法治社会，只要你不触犯法律，无需向任何人屈服；在人治社会，无论你触不触犯法律，必须要向权力屈服。所以，法治国家的人是站着的，人治国家的人是跪着的，低头哈腰的。
李贵生律师以案说法,:在法治社会，只要你不触犯法律，无需向任何人屈服；在人治社会，无论你触不触犯法律，必须要向权力屈服。所以，法治国家的人是站着的，人治国家的人是跪着的，低头哈腰的。
SMDX344,一线疾控医生的心声：请不要再骂我们了！疾控人的心声
黄豆黄子馨,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
浅笑,【过去40天，这12万人干了什么？】#抗击疫情公安在行动#隔离封控、收治转运、帮扶群众……40天，湖北12万名民、辅警启动近1000个小时的超长“待机”，从50后爷爷警察到95后警营“小花”，以日均过“万”的步数，守护自己的城、自己的家。没有生来英勇，只有选择无畏！#抗击疫情公安在行动#@人民网@央视新闻@平安湖北http://t.cn/A67CyDLs
可爱的海盗船长captain,:福克斯新闻援引伊朗国家电视台消息称，伊朗23名议员感染新冠病毒（Foxnews）伊朗紧急卫生服务部门负责人PirhosseinKollwand感染新冠病毒（Sputniknews）伊朗司法部长顾问AhmadTuiserkani死于新冠病毒（Sputniknews）（阿拉伯卫星电视台）
尋路_xl,:【国家战疫‖2020.03.03】http://t.cn/A67pqaSk
噢-亲爱的田小姐,#孙杨遭禁赛8年#我不喜欢他，跟他吃没吃药无关。大红矛的微博视频
张优优爱花生生,:效力性强制规范和取缔性强制规范二者的主要区别方法在于：如果违反该强制性规定继续履行合同是否会损害国家、集体、第三人利益及社会公共利益。那么该强制性规定即为效力性强制性规定。法律、法规没有规定违反其规定，将导致合同无效或不成立，虽然违反该规定，但若使合同继续有效并不损害国家利益和社会公共利益，而只是损害当事人利益的，属于取缔性强制规范。效力性强制规范是指法律及行政法规明确规定违反了这些禁止性规定将导致合同无效或者合同不成立的规范；或者是法律及行政法规虽然没有明确规定违反这些禁止性规范后将导致合同无效或者不成立，但是违反了这些禁止性规范后如果使合同继续有效将损害国家利益和社会公共利益的规范。取缔性强制规范是指法律及行政法规没有明确规定违反此类规范将导致合同无效或者不成立，而且违反此类规范后如果使合同继续有效也并不损害国家或者社会公共利益，而只是损害当事人的利益的规范。#我的法考笔记#
陇南礼县发布,:【#人民锐评#：#严防境外输入的硬核措施#，不妨再多些】境外日新增病例数连续多日超过中国，对疫情“输入”的担忧已非杞人之忧。疫情防控仍处在最吃劲的关键阶段，容不得一丝大意。我们看到，国家移民管理局已经把防范海外疫情输入风险作为当前最重要任务，海关总署全面启动健康申报制度，并严格开展出入境检疫。这样的“硬核”措施，不妨再多些。http://t.cn/A67o2PBl
无名価,2015年4月6日、中国海军的补给舰“微山湖”从混乱的也门撤退时，救助了九名中国人和一名日本人。这名日本人的名字叫上鶴久幸。这次武汉的新型肺炎、上鶴桑向中国捐献了10万個口罩。
松叶姑娘_,:#外国人永久居留管理条例#外国人居住其实是可以接受的，但前提条件要看什么样的外国人以什么目的留在中国。如若像杨说的，鼓励中国女大学生与黑人联姻，这点坚决杜绝。黑人在中国的种种行为已经让绝大多数中国人唾弃不已，这种人永居中国怕只会玷污国家的新鲜空气吧
黄豆黄子馨,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
媒体勇哥,:【#隔离不分内外一视同仁#】这几天有些省增加了输入性病例。当下新冠肺炎疫情已蔓延到70多个国家，中国之外的确诊病例数已突破1万。韩国、意大利、伊朗等国形势尤其严峻。据我们的防控经验，加强隔离是可行的办法。隔离不分内外，也不会区别对待，更不会有例外，只有一视同仁和严格执行。http://t.cn/A67pGrZf
尋路_xl,:【国家战疫‖2020.03.03】http://t.cn/A67pqaSk
可爱的海盗船长captain,:福克斯新闻援引伊朗国家电视台消息称，伊朗23名议员感染新冠病毒（Foxnews）伊朗紧急卫生服务部门负责人PirhosseinKollwand感染新冠病毒（Sputniknews）伊朗司法部长顾问AhmadTuiserkani死于新冠病毒（Sputniknews）（阿拉伯卫星电视台）
浅笑,【过去40天，这12万人干了什么？】#抗击疫情公安在行动#隔离封控、收治转运、帮扶群众……40天，湖北12万名民、辅警启动近1000个小时的超长“待机”，从50后爷爷警察到95后警营“小花”，以日均过“万”的步数，守护自己的城、自己的家。没有生来英勇，只有选择无畏！#抗击疫情公安在行动#@人民网@央视新闻@平安湖北http://t.cn/A67CyDLs
噢-亲爱的田小姐,#孙杨遭禁赛8年#我不喜欢他，跟他吃没吃药无关。大红矛的微博视频
浅笑,【过去40天，这12万人干了什么？】#抗击疫情公安在行动#隔离封控、收治转运、帮扶群众……40天，湖北12万名民、辅警启动近1000个小时的超长“待机”，从50后爷爷警察到95后警营“小花”，以日均过“万”的步数，守护自己的城、自己的家。没有生来英勇，只有选择无畏！#抗击疫情公安在行动#@人民网@央视新闻@平安湖北http://t.cn/A67CyDLs
可爱的海盗船长captain,:福克斯新闻援引伊朗国家电视台消息称，伊朗23名议员感染新冠病毒（Foxnews）伊朗紧急卫生服务部门负责人PirhosseinKollwand感染新冠病毒（Sputniknews）伊朗司法部长顾问AhmadTuiserkani死于新冠病毒（Sputniknews）（阿拉伯卫星电视台）
尋路_xl,:【国家战疫‖2020.03.03】http://t.cn/A67pqaSk
噢-亲爱的田小姐,#孙杨遭禁赛8年#我不喜欢他，跟他吃没吃药无关。大红矛的微博视频
陇南礼县发布,:【#人民锐评#：#严防境外输入的硬核措施#，不妨再多些】境外日新增病例数连续多日超过中国，对疫情“输入”的担忧已非杞人之忧。疫情防控仍处在最吃劲的关键阶段，容不得一丝大意。我们看到，国家移民管理局已经把防范海外疫情输入风险作为当前最重要任务，海关总署全面启动健康申报制度，并严格开展出入境检疫。这样的“硬核”措施，不妨再多些。http://t.cn/A67o2PBl
