用户6185715777如鹰,:霍阳任梅州市副市长霍阳任梅州市副市长
梅州天气,:【中午天气预报】今天中午到明天早晨，全市阴天，有小到中雨，最低气温11到14度，最高气温17到20度，偏北风2到3级。梅州市气象台4日10时发布
梅州电台新闻台,:【梅州年龄最小的患者出院！累计出院13例】今天上午，梅州市年龄最小的确诊病例，3岁的女孩从梅州市人民医院治愈出院了。梅州市累计报告确诊病例16例，出院13例。其中在梅州市人民医院治疗9例，出院8例，包括2例重症患者。杨某某，女，3岁，常住于江西省南昌市，1月25日返梅，系梅州市确诊病例14、16的女儿。2月14日收治梅州市人民医院并确诊为新冠肺炎病例。经过该院医疗团队的精心救治，患者无发热、咳嗽、气促等症状，复查胸部CT提示肺部未见明确异常，连续两次（间隔24小时以上）复查咽拭子核酸检测均为阴性，符合国家卫健委新型冠状病毒肺炎确诊病例出院标准，予今日出院。
梅州天气,:【早间天气预报】今天白天，全市阴天，有小到中雨，最高气温18到22度，偏北风2到3级。梅州市气象台4日6时发布
模糊的背影le,:此人是骗子。用多个微信号诈骗，然后说是别人冒充他，求你们帮帮我。
梅州电台新闻台,:【新课本来了！梅州市中小学生陆续“签收”纸质教科书】记者从梅州新华书店了解到，目前梅州市中小学校所有教材已经送达各学校。这几天，各学校正陆续通过物流渠道快递到每个学生手中。
旅游梅州,:截至3月2日24时，梅州市累计报告确诊病例16例，累计治愈出院12例。在院患者无重型、危重型和死亡病例。目前追踪到密切接触者，均在进行医学观察。最新疫情通报！(3月3日)
梅州天气,:【傍晚天气预报】今晚到明天，全市阴天，有小到中雨，最低气温13到16度，最高气温18到22度，偏北风2到3级。梅州市气象台3日16时发布
注定这结局,:广东省梅州市五华县注定这结局的微博视频
湖北私家车广播,:【广东一线医护给满月女儿写“道歉信”：对不起，爸爸没能在你身边】#新冠肺炎防控##抗击新型肺炎进行时#2月10日，来自广东梅州市人民医院的护士吴伟林，在自己的宝宝刚出生12天，便离开梅州赶往湖北支援一线抗疫。3月1日，宝宝满月了，远在千里之外，奋战在湖北荆州公安县的他，给自己的女儿写了一封信。他说，“对不起，孩子，国是千万个家，没有大家的平安，就没有小家的平安。”http://t.cn/A679zMor
梅州电台1058,:【发生交通事故不用等交警电话，自己也可查看进度和结果了】以前，发生交通事故后，双方当事人或家属只能等、等、等、等交警的通知。不过，接下来，只要下载一个手机APP，自己就可以跟踪查看事故处理的进度和结果！记者从梅州市公安局交警支队直属大队事故处理中队了解到，从3月1日开始，包括广东、上海、江苏等6省市将先行试点交通事故处理进度和结果网上查询。对造成人员伤亡或者较大财产损失、使用一般程序处理的交通事故，事故各方当事人，包括事故当事人的近亲属及代理人可以通过互联网交通安全综合服务平台、交管12123手机APP查询事故处理进度、结果。具体能查询内容：包括一般程序处理交通事故的案件受理、调查取证、检验鉴定、扣留扣押、事故认定、复核申请、复核结论、损害赔偿调解、逃逸事故侦办、事故结案等10个处理环节进度内容，以及道路交通事故认定书、道路交通事故证明、道路交通事故复核结论等法律文书。据民警介绍，查询事故处理进度和结果还需要特定的凭证，一般情况下，交警部门在处理事故时，将按规定告知事故当事人各方网上查询权利，并提供查询凭证。而对于事故车辆所有人、事故车辆承保保险公司人员，需向公安交管部门提交书面申请，经审核通过后，方可获取查询凭证。
梅州天气,:【中午天气预报】今天中午到明天早晨，全市多云到阴天转小雨，最低气温13到16度，最高气温23到25度，偏北风1到2级。梅州市气象台3日10时发布
梅州电台1058,:【早间天气预报】今天白天，全市多云到阴天，局部有小雨，最高气温24到25度，偏北风1到2级。梅州市气象台3日6时发布
梅州铁炉桥医院,:2月24日，梅州市副市长、梅县区委书记吴泽桐莅临我院视察新冠肺炎病毒的防疫工作情况。我院钟李峰院长带领院领导班子、党支部陪同视察。吴副市长就我院预检分诊、发热门诊、院感防控、一线医护人员个人防护、后勤保障等工作做了详细了解，对医院工作认真落实防疫工作给予了充分肯定，也提出了要求，并再三叮嘱院领导在全面抓好疫情防控工作的同时，一定要做实做好院内感控工作及职工的安全防护工作。他指出，发热门诊是防控工作的最前沿，责任重大，要精准防控，理清发病走向，便于做好全市统筹布控。最后，他还叮嘱，医护人员很辛苦，要继续奋战，还要确保休息好！钟院长表示，我院一定严格落实好各项防控工作，尽职尽责，全力以赴，不辜负各级领导的殷切希望，把发热门诊工作做实、做细、做好。下午，梅州市卫生健康局领导莅临我院检查发热门诊的建设情况。钟李峰院长带领院领导班子随同检查。为了保证工程进度，医院动用全部力量，联合多个部门协同作战，从改造施工到投入使用，仅仅花了半个月时间，为防控新冠肺炎疫情提供有力的医疗防治支撑。梅州市卫生健康局领导实地查看发热门诊、检验室、留观室、医患通道等处，通过与工作人员访谈交流、现场模拟发热患者就诊流程，提出针对性建议。惟其艰难方显勇毅，惟其笃行方显珍贵。新冠肺炎疫情发生以来，我院全体医务工作者始终把人民群众身体健康和生命安全放在首位，坚守在疫情防控第一线，做好健康卫士，履行好白衣战士的责任担当，做好疫情防控医疗救治工作，以实际行动践行初心使命。
梅州新闻联播,:【主播说梅州|刚满月的小宝宝收到的一封来自湖北的信】2月10日，梅州市人民医院的ICU专科护士吴伟林在自己的宝宝刚出生12天的时候便赶往湖北支援抗击新冠肺炎疫情。如今，这位瑄瑄小宝贝刚满月，但是远在千里之外的吴伟林却没办法准备礼物，于是他连夜给女儿写了一封长信。下面，一起来听梅州广播电视台主持人常正宝给我们读这封信。#战疫打卡行动##武汉日记##荆州身边事##每日亲子陪伴#http://t.cn/A67KdHJv
梅州日报,:#梅州新闻#【粤M99M99、粤M99J99...@新车主，梅州将新增小汽车号段资源，“好牌”来了】据梅州市公安局交通警察支队车辆管理所消息，为进一步加大警务公开的力度，提升工作透明度，体现公平、公正，根据上级业务部门的工作要求及业务需求，该所拟于3月16日投放以下小型汽车号段资源：一、在公安网系统投放：粤M00J00—粤M99J99；粤M00K00—粤M99K99；粤M00L00—粤M99L99。公安网系统投放的新号段只可通过随机选号方式选取。二、在互联网交通安全服务管理平台投放：粤M00M00—粤M99M99。互联网交通安全服务管理平台新投放号段可通过登陆“交通安全综合服务管理平台”(http://gd.122.gov.cn/)或手机“交管12123”APP进行预选车辆号码，新号段自启用之日起7日内仅可通过随机选号方式选取，7日后将随机不定时投放到自编自选号段供选取。http://t.cn/A67KRykR
梅州天气,:【早间天气预报】今天白天，全市多云到阴天，局部有小雨，最高气温24到25度，偏北风1到2级。梅州市气象台3日6时发布
梅州新闻联播,:【本周冷空气来袭降雨且小幅降温】据气象部门预计，4-5日受中等强度冷空气影响，梅州市有一次降温降水过程，部分地方伴有强对流天气。具体预报情况：3日：多云到阴天，局部有小雨，最高气温24～25℃；4-5日：阴天，有一次小到中雨降水过程，气温下降4～6℃，最高气温18～21℃；展望6-8日：多云，气温逐日回升。#梅州身边事#
梅州新闻联播,:【@梅州人，靓牌来了！粤M00M00—粤M99M99可自编自选】日前，记者从梅州市公安局交通警察支队车辆管理所获悉，为进一步加大警务公开的力度，提升工作透明度，体现公平、公正，根据上级业务部门的工作要求及业务需求，该所拟于3月16日投放以下小型汽车号段资源：一、在公安网系统投放：粤M00J00—粤M99J99；粤M00K00—粤M99K99；粤M00L00—粤M99L99，公安网系统投放的新号段只可通过随机选号方式选取。二、在互联网交通安全服务管理平台投放：粤M00M00—粤M99M99，互联网交通安全服务管理平台新投放号段可通过登陆“交通安全综合服务管理平台”(http://gd.122.gov.cn/)或手机“交管12123”APP进行预选车辆号码，新号段自启用之日起7日内仅可通过随机选号方式选取，7日后将随机不定时投放到自编自选号段供选取。#梅州身边事##新型冠状病毒#
梅州电台1058,:【今天，梅州学子们这样上课，听听第一课讲的是啥？】3月2日，广东省中小学生开展线上教育，学生不返校。今日上午，从梅州市各校各班获悉，学生们在家里用着电脑，对着新发的课本认真上课。详情戳：今天，梅州学子们这样上课，听听第一课讲的是啥？#梅州身边事#
梅州日报,:【3亿元“复工贷”帮助渡难关】#梅州新闻[超话]#近日，市市场监督管理局、梅县客家村镇银行和梅州市个体私营企业协会联合发出《关于支持个体工商户、小微企业纾困的通知》，政府部门、金融机构和行业协会共同发力，开展“送贷入户”春风行动，全力支持广大个体工商户、小微企业在做好疫情防控的同时加快复工复业，帮助他们渡过难关。此次春风行动为期3个月，通知发出之日起至5月底结束。（方俊鹏严伟涛李功祥）http://t.cn/A67akoPf
梅州日报,:【我市客运复开福建上杭、江西瑞金以及海南海口3个省际班线】#梅州新闻[超话]#记者从梅州市粤运汽车运输有限公司获悉，继2月24日我市公路客运复开江西安远、寻乌、会昌，以及湖南汉寿省际班线后，昨日起再复开福建上杭、江西瑞金以及海南海口3个省际班线。其中，至海南海口复开班次为3月1日，3月3日，3月5日，3月7日，五洲城汽车站发车时间为上午11时，其后视客源决定复开情况。（记者张爱飞通讯员吴炜鑫）http://t.cn/A67a1UEE
花城咖,:#抗疫最前线##抗疫最前线#【3月1日广东新增新冠肺炎确诊病例1例新增出院25例】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。
梅州电台1058,:【中午天气预报】今天中午到明天早晨，全市多云到阴天，最低气温13到15度，最高气温22到24度，偏北风2到3级。梅州市气象台2日10时发布
爱转角2947800291,:属蛇人2020年运程：1965年出生的生肖属蛇人全年运程_梅州市哪里算命准的1965年生肖属蛇人特性沉闷，实力也十分强悍，在干事情方面十分的有计划，个人魅力十分的强，可是1965年生肖属蛇人素性疑心也较大，比较难以把持本人的心境。因此在不少年份中其实都有大起大落的趋势，那么在2020年对于1965年出生的生肖属蛇人来说运程如何呢？http://t.cn/A67XOglp
广州月老娘娘,:#广州脱单[超话]#昵称：Joye年份：1996户籍地：广东省梅州市大埔县工作地：深圳身高体重：160cm45kg学历：本科职业：外资银行咨询师爱好：水果茶、粤式/港式茶点、粤菜、王者、旅游婚姻状况：母胎solo自我介绍：自律，热衷于粤式茶点，一丁点辣都接受不了的🤭，深圳长大的客家小姐姐，玩游戏坑人，母胎solo之四大天王，对烟味敏感😅，酒精过敏。择偶标准：希望你是一个上进、乐观～不抽烟🚬不酗酒🍺不赌博～不会忽冷忽热～主动的～三观正～的男生，身高170+cm，年龄25-32，最好是定居深圳，不喜欢异地恋。
五华公安,:少年离家出走深夜迷路，五华民警平安护送他们回家！“现在这个时候，疫情形势还没有完全控制，尽量不要出门，更不能离家出走，一旦遇上坏人怎么办，你们知道你们的父母多担心吗……”2月28日深夜12时，五华县公安局横陂派出所的民警给4名外出迷路的少年上了一堂疫情防控宣传课。28日深夜11点多，梅州市公安局指挥中心“110”报警台接到横陂镇叶湖村一名李先生的报警：叶湖大桥的桥头有4名少年迷路了，希望警方能送他们回去。接警员迅速将警情流转至横陂派出所。当夜值班的民警张伟堂带着2名辅警很快赶到了现场。原来报警的叶湖村村主任李茂声，当时李茂声和村支委李小雯正在村口的防疫检查点值守。经了解，李茂声向民警介绍，深夜11点多时，他俩看到4名少年（3女1男）在路口经过。心存疑惑的二人上前给他们测量体温，并从中得知他们是从棉洋镇前往县城水寨镇，其中有2人是离家出走，不想走到横陂镇路段时迷了路。当时劝说他们联系家长，让家长接回去，但谁都不肯让家长过来接，李茂声于是“偷偷”报了警。民警张伟堂了解情况后，分别与他们的家长取得联系。经综合各方意见，最后驾驶警车将他们先行送到县城其中一个人的家中先过夜。从横陂镇出发，到安全将4名少年护送至县城途中，民警张伟堂禁不住严肃地给他们上了一堂疫情防控宣传课和法制教育课，于是有了本文开头的一幕。http://t.cn/R2Wxnyg
五华公安,:梅州五华公安对2名房屋出租人作出行政处罚疫情防控期间，梅州市五华县公安局对出租屋管理力度空前，专门抽调治安大队民警会同基层派出所对各自辖区的出租屋进行地毯式排查。2月28日在水寨镇对房屋租赁业进行检查时，发现2起出租房屋未登记承租人信息的违法行为并依法做出处罚。28日下午，该局治安大队会同水寨镇派出所民警对水寨镇工业一路李某生经营的租赁房屋进行检查时，发现存在未登记承租人身份信息的行为，没有对租住于201房的住户、来自湖南的胡某信息进行登记并将相关情况向派出所报备。同日下午对水寨大道李某坤的出租公寓进行检查时，发现该公寓未登记承租人曾某浩夫妻俩的身份信息。而承租人也反映业主李某坤未曾向其提出过登记身份信息的要求。民警依法将上述人员李某生和李某坤传唤回公安机关。经询问，二人对各自违法行为作了如实交代。目前。公安机关依法对二人作出行政处罚。对于自己的违法行为，其中李某生深感懊悔，表示自己已经深刻认识到错误，以后定会对自己出租屋所有住客的信息进行如实登记和做好信息报送。据了解，2月13日，五华县公安局就已经通过各种平台向公众发布通告，要求广大房屋出租人要担负起主体责任，全面核实承租人身份证件或其他证件，出租人可以通过五华县出租房屋管理登记APP申报承租人信息。疫情防控期间，房屋出租人管理稍有疏忽便会留下安全隐患。五华县公安局治安大队负责人介绍，按照《治安管理处罚法》相关条例规定，房屋出租人不按规定登记承租人姓名、身份证件种类和号码的，给予行政处罚。作为房屋出租人，除了通过扫码及时全面真实登记租住人的个人信息或者其他方式登记承租人信息外，还必须在规定的时间内将承租人信息向所在地派出所报备。http://t.cn/R2Wxnyg
梅州天气,:【中午天气预报】今天中午到明天早晨，全市多云到阴天，最低气温13到15度，最高气温22到24度，偏北风2到3级。梅州市气象台2日10时发布
梅州电台新闻台,:【最新疫情通报！】截至2月29日24时，梅州市累计报告确诊病例16例，累计治愈出院12例。在院患者无重型、危重型和死亡病例。目前追踪到密切接触者，均在进行医学观察。梅州市累计确诊的16例病例中，兴宁市8例，五华县3例，梅江区、梅县区、大埔县、平远县、蕉岭县各1例；男性9例，女性7例；年龄介于3-62岁之间。截至2月29日24时，全省累计报告新冠肺炎确诊病例1349例，累计出院1009例，累计死亡7例。29日当天全省无新增确诊病例。新增出院37例，11例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。有疑似病例1例。有931名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市417例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性663例，女性686例，年龄介于2月龄-90岁之间。截至2月29日24时，在院的333例确诊病例中，轻型32例，普通型264例，重型17例，危重型20例。【广州连续5天零新增确诊，新增治愈出院12例。】2020年2月29日0时至24时，广州市报告新冠肺炎新增确诊病例0例。新增治愈出院12例。截至2月29日24时，广州市累计报告新冠肺炎确诊病例346例，其中白云区74例、海珠区66例、天河区45例、番禺区40例、越秀区35例、荔湾区21例、花都区21例、黄埔区18例、增城区17例、南沙区8例、从化区1例。男性167例、女性179例。年龄介于3个月至90岁之间。现有疑似病例0例。累计核实追踪密切接触者4593人，尚在医学观察419人。346例确诊病例中，已治愈出院260例，死亡1例。现有85例在定点医院隔离治疗，其中危重型10例、重型5例、普通型67例、轻型3例；53例在市八医院（含危重型1例）、17例在广医附一医院（含危重型9例、重型5例）、8例在省二医院、7例在市妇儿中心接受治疗。【2月29日31个省区新增确诊病例573例，其中湖北新增确诊病例570例。】2月29日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例573例，新增死亡病例35例（湖北34例，河南1例），新增疑似病例132例。当日新增治愈出院病例2623例，解除医学观察的密切接触者8620人，重症病例减少299例。截至2月29日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例35329例（其中重症病例7365例），累计治愈出院病例41625例，累计死亡病例2870例，累计报告确诊病例79824例，现有疑似病例851例。累计追踪到密切接触者660716人，尚在医学观察的密切接触者51856人。湖北新增确诊病例570例（武汉565例），新增治愈出院病例2292例（武汉1675例），新增死亡病例34例（武汉26例），现有确诊病例32959例（武汉27700例），其中重症病例7107例（武汉6393例）。累计治愈出院病例31187例（武汉19227例），累计死亡病例2761例（武汉2195例），累计确诊病例66907例（武汉49122例）。新增疑似病例64例（武汉50例），现有疑似病例646例（武汉393例）。累计收到港澳台地区通报确诊病例144例：香港特别行政区95例（出院33例，死亡2例），澳门特别行政区10例（出院8例），台湾地区39例(出院9例，死亡1例)。
梅州天气,:【中午天气预报】今天中午到明天早晨，全市多云到阴天，有小雨，最低气温15到17度，最高气温26到29度，偏南风1到2级。梅州市气象台1日10时发布
旅游梅州,:收藏！梅州市商业服务区复工复市新冠肺炎疫情防控工作指引收藏！梅州市商业服务区复工复市新冠肺炎疫情防控工作指引
梅州天气,:【梅州森林火险预警解除】本地出现小雨降水，梅州市气象台于1日9时17分解除梅江区内森林火险预警信号。（梅州市气象台）@梅州发布http://t.cn/R2TuaaC
梅州天气,:【早间天气预报】今天白天，全市多云到阴天，有分散小雨，最高气温26到29度，偏南风1到2级，森林火险气象等级3级。梅州市气象台1日6时发布
九江晨报,:【七旬老人骨质增生难忍病痛想投河轻生，生死瞬间梅州五华民警施救】2月25日，广东省梅州市五华县梅林镇苏区大桥下上演了一场“生死时速”的救援行动。当天上午11时34分，有群众向派出所报警，称梅林镇苏区大桥下有位老人跌落河里。接报后他们驾车迅速赶往苏区大桥救人。民警发现老人意识清晰，并能与民警正常交流。原来老人患有腰椎骨质增生，因为疼痛难忍就想到河里轻生。民警一路搀扶着老人，把她从岸边护送到救护车上，很快就送到就近的卫生院。http://t.cn/A67ceY2w
广东建设信息网,:#各地政务#【梅州市住房和城乡建设局党组书记谢又新带队督导重点工程项目建设】http://t.cn/A67f56Y2
粤事情报站,:【七旬老人骨质增生难忍病痛想投河轻生，生死瞬间梅州五华民警施救】2月25日，广东省梅州市五华县梅林镇苏区大桥下上演了一场“生死时速”的救援行动。当天上午11时34分，有群众向派出所报警，称梅林镇苏区大桥下有位老人跌落河里。接报后他们驾车迅速赶往苏区大桥救人。民警发现老人意识清晰，并能与民警正常交流。原来老人患有腰椎骨质增生，因为疼痛难忍就想到河里轻生。民警一路搀扶着老人，把她从岸边护送到救护车上，很快就送到就近的卫生院。http://t.cn/A67ceY2w
