鲜成都,多芬深层营润滋养沐浴露
洛锦柩,:前段时间看了《医生耀汉》，池叔之前的剧了，医生很好看啊，演技也超好，去年还看了《被告人》，之前《杀了我治愈我》也很好看，只不过我还没看完哈哈哈，国内的剧只有上个月超火《想见你》比较好看了，其它还没有发现特别好看的剧，韩剧怎么说呢，可能是因为听不懂吧，加上演技确实挺好，看起来挺舒服。最近《梨泰院》好像挺火，有空看看
网红正品推荐微商推广引流,:希望你的美好，治愈一切不美好💚#每日一善#
Dokeyo奇遇记,他笑起来这么好看这么温柔一切都会过去的唯有吃与美男不可辜负的微博视频
玺哥心上的金猪呀,#芭能御姐##易烊千玺[超话]##朋友请听好#今日发布@TFBOYS-易烊千玺独唱版同名主题曲。千玺用他干净治愈的声线把悄悄话唱给你听，穿越夜色，从冬夜聊到初夏，“这里整夜有光，如果你也怕黑的话”，温暖照亮每一颗孤单的心灵。
-XxuanSour,:每天治愈是Scotty的音乐
阿钦甜品官方旗舰店,:#阿钦甜品官方旗舰店[超话]#焦糖星人的最爱🌟🌟满满香气扑鼻而来～手工煮焦糖简直超治愈der[好的]
黄山新闻网,:【#安徽打响清零战#，治愈率超95%】http://t.cn/A67N2sl6
烊我不容易,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
唆啦西哆,不开心的都来看看素颜帅哥！！！！治愈一下打起精神！！crdy环岛旅行记的微博视频
Lomxe,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
银河特有神仙,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
ljy圆小源,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
wuli倩呐倩啊,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
英明大人哈哈哈,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
橘子芋圆-,:林俊杰的笑太治愈了！怎么会有这么可爱的人！！！！
广东民声热线,:#疫情阻击战#【全省首个新冠肺炎愈后门诊在广州启用】在今天的广东疫情防控发布会上，省卫健委副主任周紫霄介绍，全省年龄最大（90岁）和最小（10个月）的患者都已治愈出院。今天，广东省第二人民医院启用了全省首个新冠肺炎愈后复诊门诊，为康复患者提供复诊、检测、健康管理等服务。#最新疫情通报#
KellyGa2019,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
不一样de感l觉,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
七笛di,上帝派来的使者……朝雨邑尘blog的微博视频
甜甜烊宝,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
徽州发布,:【#安徽打响清零战#，治愈率超95%】http://t.cn/A67N2sl6#
田蕃蕃,:
黟县发布,:【#安徽打响清零战#，治愈率超95%】http://t.cn/A67N2sl6
PokoMonMaster,:在得知我脱发的原因是“脱发可能是由雄激素过高导致”之后，一度企图通过外力移植体内的雄激素，现在想想是不是太天真了@植发圈求解答做眉毛加密3000个毛囊植发的价格2020我要治愈秃头
十九夏尔尔,#肖战#XZ#向全世界安利肖战#从偶像组合到演员，他学会了掌控自己的步伐。单纯褪去，他开始走向复杂而多面的人生。他懂得了妥协是种必须，但也知道如何坚守自己的底线。如果一定要对五年前的自己说一句话，他会说：“你做得很好，保持住。”@X玖少年团肖战DAYTOYXZ肖战XZGGhttp://t.cn/A6v452lx
要努力去见啵啵呀,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
樱野棠梨,#少一次猎食，多一次相聚#胡春杨呼吁大家加入到野生动物保护的口罩行动中来！不做沉默的无辜者，成为发声的保护人。这是我们共同的责任。春暖花开，万物生长，敬畏自然❤和小杨一起，加入口罩行动从口做起，一起保护我们共同生存的地球[加油]@UNINE_胡春杨星娱的微博视频
fffffairya,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
酷卡酷卡呀酷酷卡,和解瞬间
软柿子大人,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
1039温州交通广播,:#1039疫情防控权威发布#【今天温州有10名患者治愈出院出院率达92.46%】3月3日下午，温州市政府新闻办召开新型冠状病毒肺炎疫情防控工作新闻发布会。记者从发布会上获悉，今天，全市有10例治愈出院，其中市六医3例，温医大附一院、温医大附二院、瑞安市各2例，苍南县1例。截至下午4时，全市累计出院466例，治愈出院率达92.46%。
烊烊的1128玫瑰,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
拎拎是只puppy,【每日疫情走势|15秒视频了解疫情数据】根据国家卫健委今天公布的数据，截止到3月2日24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，#31省区市新增125例新冠肺炎#其中湖北新增确诊114例（武汉111例）。目前全国累计报告确诊病例80151例，累计治愈出院47204例。#湖北以外连续2天无新增死亡病例#（广州日报全媒体记者罗知锋）http://t.cn/A67Kks1B
天水播报,:#春天来了#【春】试上超然台上看，半壕春水一城花。#治愈春天##诗语心画##天水记录#绿洲
肖先生的小媳妇吖,:#肖战[超话]##肖战##肖战平安喜乐#不知道为什么，看见哥哥的笑容就会瞬间治愈，还有一种莫名的心安，谢谢你[鲜花]@X玖少年团肖战DAYTOY
893音乐广播,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
周深新加坡群,:音乐是治愈心灵的良药，在#亚洲新歌榜#为@卡布叻_周深的渴望遇见打榜之后便放弃了治疗！
乒乓球球2018,:【3月3日海外疫情通报，72个国家超一万人感染新冠病毒肺炎】截止3月3日上午10:25海外新冠肺炎累计确诊人数10605人，确诊治疗中9690人，死亡171人、治愈744人。疫情最严重的前四名是：韩国确诊4812人，意大利确诊2036人，伊朗确诊1501，日本确诊980人。
冰摇萝北,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
BuCheonBaekhyun,和解瞬间
我姓王叫我小王就好了,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
极光爱雪山,分享图片
燕赵都市报,:【好消息！唐山市1例重症患者治愈出院，累计出院51例】#河北防控新型肺炎#3月3日16时，唐山市1例新冠肺炎重症患者在市定点医院唐山市传染病医院治愈出院，并由医院120转运组送至其归属地。截至目前，唐山市共有51例新冠肺炎患者治愈出院。此次治愈出院的患者为66岁女性，迁安市人，于2月9日入院治疗。该患者由于年龄较大并伴有高血压、糖尿病、冠心病等基础疾病，于2月14号3时突然病情加重，被诊为重症新冠肺炎转入重症病房治疗。经省市专家组精准施治和医护人员的精心护理，该患者于3月1日病情平稳，转入普通病房，目前，临床症状消失，影像明显好转，检验结果正常，核酸两次阴性，经专家组会诊各项指标符合出院标准，准予出院。（燕赵都市报冀东版）
蕾蕾xxxx,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
苗子1128_Yee,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
我姓王叫我小王就好了,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
极光爱雪山,分享图片
燕赵都市报,:【好消息！唐山市1例重症患者治愈出院，累计出院51例】#河北防控新型肺炎#3月3日16时，唐山市1例新冠肺炎重症患者在市定点医院唐山市传染病医院治愈出院，并由医院120转运组送至其归属地。截至目前，唐山市共有51例新冠肺炎患者治愈出院。此次治愈出院的患者为66岁女性，迁安市人，于2月9日入院治疗。该患者由于年龄较大并伴有高血压、糖尿病、冠心病等基础疾病，于2月14号3时突然病情加重，被诊为重症新冠肺炎转入重症病房治疗。经省市专家组精准施治和医护人员的精心护理，该患者于3月1日病情平稳，转入普通病房，目前，临床症状消失，影像明显好转，检验结果正常，核酸两次阴性，经专家组会诊各项指标符合出院标准，准予出院。（燕赵都市报冀东版）
蕾蕾xxxx,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
苗子1128_Yee,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
黟县宣传之6,【
nordhurjokull,:我滴妈啊啊啊啊啊啊啊啊，猫也太可爱了吧，感觉一切都不爽都被治愈了
nordhurjokull,:我滴妈啊啊啊啊啊啊啊啊，猫也太可爱了吧，感觉一切都不爽都被治愈了
稚名光,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
啵米l甜玖,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
临潼检察,:【每日疫情走势|15秒视频了解疫情数据】根据国家卫健委今天公布的数据，截止到3月2日24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，#31省区市新增125例新冠肺炎#其中湖北新增确诊114例（武汉111例）。目前全国累计报告确诊病例80151例，累计治愈出院47204例。#湖北以外连续2天无新增死亡病例#@广州日报@陕西检察@西安检察http://t.cn/A67Kks1B
私奔到宇宙尽头,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
我要变成时笙找到凤辞,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
柴柴和猫咪,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
柴柴和猫咪,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
三峡都市报微博,:#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
抹茶可頌mo,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
小桃同学·,#少一次猎食，多一次相聚#胡春杨呼吁大家加入到野生动物保护的口罩行动中来！不做沉默的无辜者，成为发声的保护人。这是我们共同的责任。春暖花开，万物生长，敬畏自然❤和小杨一起，加入口罩行动从口做起，一起保护我们共同生存的地球[加油]@UNINE_胡春杨星娱的微博视频
热搜魅力音乐,:坚强，不是面对悲伤不流一滴泪，而是擦干眼泪后微笑着面对以后的生活。一切都已结束，一切都将开始！----
赵轩轩bx,和解瞬间
只吃echo-,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
热搜魅力音乐,:坚强，不是面对悲伤不流一滴泪，而是擦干眼泪后微笑着面对以后的生活。一切都已结束，一切都将开始！----
手绘手账教程,:治愈系插画师JaneMassey
你有没有觉得我超阔爱啊,#博君一肖[超话]#🦁️🐰“你笑起来真好看，像春天的花一样”“把所有的烦恼所有的忧愁，统统都吹散”“你笑起来真好看，像夏天的阳光”“整个世界全部的时光，美得像画卷”❤️.【729tx见面会最后一pa】
喊不应我请喊易烊千玺,#易烊千玺独唱版朋友请听好#《朋友请听好》@TFBOYS-易烊千玺独唱版同名主题曲今日上线！“说远方好远啊，而今天也很勇敢呐。”千玺的声音治愈又温柔~快来听听看
只吃echo-,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
赵轩轩bx,和解瞬间
笑起来倾国倾城,#肖战#xz#正能量偶像肖战#你只管往前走我们一直跟在你身后，永远相信你是你坚强的后盾
笑起来倾国倾城,#肖战#xz#正能量偶像肖战#你只管往前走我们一直跟在你身后，永远相信你是你坚强的后盾
Lelouch兰佩洛奇,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
吸睛穿搭术,:属于你的春天来了，超治愈的绿色系春日穿搭在这里！吸睛穿搭术的微博视频
上辈子是水桶,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
安徽交通广播,:【六安清零！安徽省治愈率已达到95.1%】今天上午，六安市6名新冠肺炎确诊患者出院。至此，六安市69例确诊患者全部治愈出院。这是继铜陵后，安徽省第二个实现新冠肺炎住院患者“清零”目标的城市。截至今天，我省已连续多日无新增确诊病例报告，累计治愈出院病人941人，治愈率达到95.1%。目前，滁州、亳州、芜湖、池州、安庆、黄山6市均仅剩1例住院病例。（交通908记者戴红莲）
叶一啊,:马卡龙色系的北欧风，治愈系的温馨#家居[超话]#
一只天天_,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
山东高速交警,:2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。
一只天天_,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
叶一啊,:马卡龙色系的北欧风，治愈系的温馨#家居[超话]#
艺玺嘉话侯侯听,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
临潼检察,:#联防联控西安在行动#【陕西连续12日无新增确诊病例累计治愈出院216例】2020年3月2日8时至3日8时，陕西无新增新冠肺炎确诊病例，新增疑似病例0例。截至3月3日8时，陕西累计报告新冠肺炎确诊病例245例（216例治愈出院，1例死亡），其中输入性病例116例，密切接触者114例，无明确接触史病例15例。累计确诊病例中，西安市120例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市15例、延安市8例、榆林市3例、汉中市26例、安康市26例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例0例。全省新增密切接触者1人，累计18936人，均集中医学观察。新增解除密切接触者412人，累计解除密切接触者18309人。@西安发布@陕西检察@西安检察
要来点咖喱酱吗,和解瞬间
语多难相寄,《一些超级温柔的座右铭句子。》
艺玺嘉话侯侯听,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
临潼检察,:#联防联控西安在行动#【陕西连续12日无新增确诊病例累计治愈出院216例】2020年3月2日8时至3日8时，陕西无新增新冠肺炎确诊病例，新增疑似病例0例。截至3月3日8时，陕西累计报告新冠肺炎确诊病例245例（216例治愈出院，1例死亡），其中输入性病例116例，密切接触者114例，无明确接触史病例15例。累计确诊病例中，西安市120例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市15例、延安市8例、榆林市3例、汉中市26例、安康市26例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例0例。全省新增密切接触者1人，累计18936人，均集中医学观察。新增解除密切接触者412人，累计解除密切接触者18309人。@西安发布@陕西检察@西安检察
要来点咖喱酱吗,和解瞬间
语多难相寄,《一些超级温柔的座右铭句子。》
家里养了只肖兔仙,#肖战#【肖战治愈向心路历程】苦与乐|弹指间|就算千里是烽烟我相信一切会峰回路转@X玖少年团肖战DAYTOY肖战，与自己对话，与所有爱他的人对话。把自己放到最低，努力做好每一件事。沉淀是为了等待起飞，逆风飞翔更坚韧。做好自己的事，等待春暖花开。我没什么能帮你，只能做点力所能及的小事，希望寻梦少年可以平安快乐，越来越好。我们也会努力成长，与你同在。#向全世界安利肖战##正能量偶像肖战##虾圈剪刀手计划1005#http://t.cn/A67CGTaI
我讨厌做作业,小王变脸史可爱晕了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜cr辣辣拌鸡的微博视频
知慕少艾的知慕,#超萌小动物过河#男子用隐藏摄像头，拍下森林里各种小动物们过独木桥的样子。配着潺潺的水声，简直是童话一般的画面，太治愈了
阿污污云,:如果每瓶饮料，设计成自己喜欢的动漫人物，那味道是不是也得跟上#治愈不开心##情感语录##朋友圈##正能量##无水印壁纸##正能量##励志语录#原图出自@猫二冬
