Alina的心经驿站,:【心理测试】请用下面四个词造句我桥兔子钥匙留言或者私信公布答案哦
刘昭廷,:#2020年美国总统大选##超级星期二#在目前公布的338张选举人票中，拜登拿到174票，桑书记112票，之所以目前拜登第一是因为拜登在弗吉尼亚和北卡分别领先桑德斯41票和30票，布隆伯格还是6票
智堡Wisburg,:【财新：2月财新中国服务业PMI为26.5，为有数据以来最低】财新网报道，新冠疫情对服务业造成了极大冲击。3月4日公布的2月财新中国通用服务业经营活动指数(服务业PMI)录得26.5，大幅下滑25.3个百分点，较上月几近腰斩，为2005年11月调查开展以来首次落入荣枯分界线以下。此前公布的2月财新中国制造业PMI大跌10.8个百分点至40.3，受两大行业PMI回落拖累，2月财新中国综合PMI录得27.5，大幅下降24.4个百分点，创历史新低。这一走势与统计局PMI一致。国家统计局公布的2月服务业商务活动指数录得30.1，下降23个百分点；综合PMI回落24.1个百分点至28.9。2月服务业新订单指数跌至历史新低，为2008年12月以来首次落入收缩区间。受访服务业企业反映，这与客户取消订单和出行限制有关。制造业新订单指数也降至有记录以来最低，综合看，新订单和综合新出口订单总量也录得历史最大降幅。出行限制导致服务业企业招工困难，服务业就业指数虽然下挫幅度较小，但也降至调查开展以来最低。制造业就业指数也跌至历史新低。综合来看，两大行业整体用工数量创有记录以来最大跌幅。人手短缺，叠加企业停业，导致服务业企业积压业务量激增，未完成业务指数飙升至历史最高。制造业积压业务量也大幅上升，导致综合积压工作指数骤升至历史新高。订单减少导致服务业企业对投入品需求下降，服务业投入价格指数降至有记录以来最低，为2009年11月以来首次落入收缩区间。服务业收费价格降幅虽小于投入品价格降幅，但也创2012年7月以来新低。受访企业普遍表示，降价是为了招揽新订单。受新冠疫情带来的不确定性影响，服务业乐观度明显减弱，降至有记录以来最低，但仍处于扩张区间。制造业乐观度则升至五年高点。财新智库莫尼塔研究董事长、首席经济学家钟正生表示，新冠疫情对中国经济的冲击显而易见，需要关注企业家信心在制造业和服务业之间的明显分化。近期针对制造业、小微企业和受疫情影响较大行业的支持政策，对制造业产生了较明显的效果；而服务业所遭受的现金流损失更多是难以弥补的。
俞太HERE_,:【斯洛伐克人的骄傲RenovatioT500】来自Slovakia斯洛伐克共和国的TushekSupercars车厂公布了旗下最新的超级跑车，内装配置了包含冷暖空调系统、GPS卫星导航系统、蓝牙影音通讯系统、以及真皮/麂皮/碳纤维/铝合金内装饰板，为这辆超级跑车增添实用性。
老吴公考吴红民,:这次新冠肺炎，很可能会带来蝴蝶效应。以美国为代表的发达国家，处置疫情软弱无力，甚至不再公布患病人数，这将让很多美式制度的铁粉们怀疑人生，美式制度的说服力和影响力将受到暴击。而中国的制度优势已经得到充分展示，在最初的混乱之后，从政府到企业再到老百姓，纷纷行动起来。浮北f3？换掉！缺医生？全国抽调4万医护人员火速增援！缺防护用品？全国企业暴兵，产能极速释放，每天生产口罩超过1亿只！怕人员流动传播疫情？全国基层总动员，说封闭马上就封闭，说隔离立刻就隔离！缺生活物资？空军战略运输机一波一波地飞往武汉！孩子开不了学？全国上网课！没钱治病？全部免费，财政兜底！就算是个瞎子也能看出来，这种制度有效对抗了灾难，拯救了成千上万的生命！还有什么制度能比它更优秀？更有效？更能尊重和保障人权？道路自信，制度自信，理论自信，文化自信，是这次疫情带给人们最可贵的启发了！
一雁南飞,:每天北京的新增病例，都是靠福尔摩斯们计算出来的，不是他们公布出来的。任你怎么骂怎么舔，小编雷打不动保持倒数第一，不和重灾区并肩就不是咱大北京了！
卞羽彤Paul,:把岁月留下的变成一个个小石块：逐一的抛向心海；【E-NCAP最佳中日意韩等车系入选】欧洲的汽车安全测试机构Euro-NCAP评选并公布了2013年6个级别中碰撞安全评价最高的车型。日：～语录……随着年龄的增长。看似平静的心海其实是永无风平浪静的。时间飞逝。烟台·烟台市牟平区宁海中学
福建专升本资讯,:发布了头条文章：《最新公布！2019年福建高校新增和撤销了这些本科专业》最新公布！2019年福建高校新增和撤销了这些本科专业
篮球星选,:NBA今日公布东西部月最佳，#詹姆斯连续当选月最佳#，全明星后的詹姆斯，真的是惹不起。悄悄地告诉你们，我真的闻到内味儿了
兔玩游戏,:【CLG官宣Crown离开目前去向未知】2017年夺冠后离开LCK的冠军中单Crown选择远赴LCS，先后加入OPT与CLG，但都未取得好的成绩。今日CLG官宣Crown离开并未公布去向。#英雄联盟#
Wzh4458,【转发+关注，抽3部腾讯黑鲨3】腾讯黑鲨3：8G+128G3499元；12G+128G3799元；12G+256G3999元现全平台已开启100元定金预定，3月6日10点正式开售，戳链接预定→http://t.cn/EZPGrlK腾讯黑鲨3Pro4699元起，3月10日开启预售#腾讯黑鲨游戏手机3#
武汉大学,:#武大快递#
三明网微博,:#中国绿都最氧三明#【三明这23个村上榜国家森林乡村！】日前，国家林业和草原局最新发布《关于公布第二批国家森林乡村名单的通知》，在各地县级林业和草原主管部门推荐、省级林业和草原主管部门评审公示的基础上，经审查，评价认定了第二批3639个国家森林乡村，福建173个村上榜！其中，三明23个村庄榜上有名，快看看有没有你的家乡！
考研这儿有料,:发布了头条文章：《这些院校已公布初试成绩排名！初试没有排名？怎么办？》这些院校已公布初试成绩排名！初试没有排名？怎么办？
抚州南丰发布,:【#英国公布新冠肺炎疫情应对方案#】周二，英国首相约翰逊公布了应对新冠疫情的方案，方案分为遏制、延缓、研究、减轻四个阶段，如英国疫情发展超出第一阶段，政府可能会动用军队增援，并关闭学校、鼓励在家办公。目前英国确诊已超过50例，欧洲疫情持续扩散，意大利确诊超过2000例。（视频BrianChang记者陈靖怡）http://t.cn/A67pCswQ
移动叔叔,:realmeX50Pro其实就差个价格公布，要我说3分钟都给多了！
重庆马路社,:【浙江境外输入8例确诊病例来自同一餐厅，仍有员工留在意大利】3月2日，浙江省卫健委公布首例境外(意大利)输入病例王某(女)信息;3月3日，浙江新增境外输入确诊病例7例，均为王某的密切接触者，在意大利贝加莫同一家餐厅工作。在全球疫情防控形势趋紧的情况下，如何依法有效防控海外疫情的输入，成为舆论关注的焦点。
我的精神向来很太阳,:最新！昨晚抵杭的两个航班乘客去向公布！http://t.cn/A67OZH1E
成都房天下,:【温州发布新规：人才住房按层次享受购房5-7折10年内不得上市流通】3月3日下午，温州市人才招引和住房配售专场新闻发布会上公布了2020年温州市首批人才住房配售申请公告，将于3月15日开始申请。目前市县两级已筹集1700多套房源，共计18万平方米左右。其中市本级共300套，面积3.65万平方米，74套为安置存量房，地理位置均位于温州市中心区域，226套为商品房配建项目的预售房，分布在市区各核心版块。
哈尔滨广播电视台,#防控疫情#【“龙江健康码”推广应用操作细则和认定标准公布】3月2日，黑龙江省应对新型冠状病毒感染肺炎疫情工作领导小组指挥部办公室下发了《关于加强“龙江健康码“推广应用工作的通知》，并公布了龙江健康码”推广应用操作细则和认定标准。
双流黄水,:【四川高校新增和撤销了这些本科专业】3月3日，教育部官网公布了2019年度普通高等学校本科专业备案和审批结果。本年度各高校新增备案专业1672个、审批专业181个(含130个国家控制布点专业和51个目录外新专业)，调整学位授予门类或修业年限专业47个，撤销专业367个。本次新增本科专业中，共有37所在川高校新增备案本科专业85个，6所在川高校新增审批本科专业7个。此外，撤销了6所在川高校15个本科专业。
新浪无锡,:#锡锡相关#【节后首批"一房一价"房源公布高出备案价销售的可投诉举报】日前，无锡有关部门对外公布了今年春节过后首批“一房一价”房源，涉及到2家楼盘的1778套房源。据悉，开发企业对即将销售的房源进行“一房一价”备案是锡城房地产调控的重要组成部分。消费者可以跟踪备案情况，若发现开发企业以高出备案价进行销售的，可以投诉举报。http://t.cn/A67OyeLU
山东管理学院微博协会,:#山管微话题#小伙伴们公布开学日期了吗？大家想不想#开学#呢？开学
成都顺一阁主,:#遇见艺术##博物馆#呵呵，来猜猜为什么苏州博物馆这个明代和田玉三羊开泰饰板上只有二只公羊🐑呢
掰腿老黄,:#康复师考试##我的健康十八式##宅家技能大比拼#每日一刷，下午公布答案~4、Ⅲ级站立平衡训练是指?A、不受外力前提下保持独立站立姿势的训练B、无身体动作的前提下保持独立站立姿势的训练C、在站立姿势下抵抗外力保持身体平衡的训练D、在站立姿势下外力支撑情况下保持身体平衡的训练E、在站立姿势下，独立完成身体重心转移、躯干运动等并保持平衡的训练http://t.cn/A67Oy8HY
广视频,:【拐点瞭望台|15秒视频了解全国疫情数据】根据国家卫健委今天公布的数据，截止到3月3日24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，其中湖北新增确诊115例（武汉114例）。目前全国累计报告确诊病例80270例，累计治愈出院49856例。（广州日报全媒体记者罗知锋）http://t.cn/A67OyYAO
东亚经贸新闻,:【新冠肺炎要改名？满足6个条件才可出院！“上海方案”重磅出台】备受关注的《上海市2019冠状病毒病综合救治专家共识》2日正式公布，集中18位执笔专家、12位咨询专家共同智慧的共识，又被誉为“上海方案”，其中凝结一个多月上海救治的娴熟经验及成果。新冠肺炎要改名？满足6个条件才可出院！“上海方案”重磅出台
西安网络广播电视台,:【阿根廷确诊首例新冠肺炎病例】#疫情动态播报#据阿根廷卫生部公布消息，一名43岁阿根廷男子在首都布宜诺斯艾利斯被确诊患有新型冠状病毒肺炎。据悉，这名男子于周日乘坐航班从意大利米兰返回阿根廷，当晚出现发热和呼吸困难等症状，目前正在医院接受隔离治疗。阿根廷成为继巴西和厄瓜多尔之后，第三个出现新冠肺炎病例的南美国家。
新华国际,:【世卫组织：#中国以外新冠肺炎确诊病例过万#】世卫组织3日说，截至欧洲中部时间3日10时（北京时间3日17时）收到各国报告的数据显示，中国以外的世界其他地区报告的新冠肺炎确诊病例数达到10566例。3日公布的数据显示，全球在中国之外已有72个国家有确诊病例。
掰腿老黄,:#康复师考试##我的健康十八式##宅家技能大比拼#每日一刷，下午公布答案~3、Rood治疗技术中的特殊感觉刺激不包括?A、听觉的刺激可促进和抑制中枢神经系统B、训练环境要光线明亮、色彩鲜艳的，具有促进作用C、治疗者快速的语言，洪亮的声音对中枢神经系统具有促进作用D、用温度刺激口、面部和咽喉部促进发声和吞咽功能http://t.cn/A67Oy9ZP
游民星空,:【《LOL》石头人泽拉斯金属大师死兆星新皮肤原画公布】《英雄联盟》测试服新上线了死兆星系列的石头人、泽拉斯、金属大师皮肤，这三款皮肤的原画也一并公布，一起来欣赏一下
老牛哥168,:3-410:14600195中牧股份继续飙升，继续大涨了2个点以上，后面几个交易日市场的成交量会逐步萎缩，3月份基本是震荡为主，等一季报预告差不多公布完后那时行情又会展开了！对于3月份我建议大家把重心转移到医药板块中来
上海闵行,:【闵行这几块地将被征用，用于轨交、环境卫生……等项目】#闵行要闻#上海市规划和自然资源局近日公布了几则征地公告，涉及环境卫生设施、轨道交通用地及河道整治等，小编将跟咱闵行人特相关的项目挑选整理出来，一起来看看都在哪里、是否会对你的生活产生影响。#上海战疫##上海加油#http://t.cn/A67OyMhT
成都蜀都乳腺医院,:【#四川连续5天0新增#！最新疫情分区分级情况公布】3月3日0-24时，我省新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例11例，新增疑似病例1例，无新增死亡病例。截至3月4日0时，我省累计报告新型冠状病毒肺炎确诊病例538例，涉及21个市（州）。全省现有无现症病例区（低风险县<市、区>）129个、散发病例区（中风险县<市、区>）53个、社区暴发和局部流行区（高风险县<市、区>）1个（过去24小时新增马尔康市为低风险县<市、区>）。538名确诊患者中，正在住院隔离治疗135人（其中危重2人），已治愈出院400人，死亡3人。现有疑似病例2例。当日解除医学观察144人，现有745人正在接受医学观察。
慈溪经信,:我市3企业1平台入选宁波首批绿色制造示范名单日前，宁波市经信局公布宁波市首批绿色制造示范名单，其中绿色工厂23家、绿色园区1个、绿色供应链1条。我市的公牛电器有限公司、慈星股份有限公司、德曼压缩机有限公司被评为绿色工厂，滨海区被评为绿色园区。为加快推动宁波市绿色制造体系建设，打造绿色制造先进典型，发挥示范引领作用，根据《关于印发宁波市绿色制造体系建设实施方案的通知》（甬经信转升〔2019〕105号）和《关于开展宁波市绿色制造示范（第一批）创建工作的通知》（甬经信笺〔2019〕1230号）的有关要求，经过各区县（市）推荐、项目初审、专家评审、名单公示等程序确定。
沪江英语,这是什么意思？Pullupone’ssocks是什么意思？
皇马西甲贝尔五大联赛西超杯,:#詹姆斯#【#詹姆斯月最佳球员#】NBA官方目前公布了2月份东西部最佳球员，他们分别是－塔图姆和詹姆斯。在2月份里，凯尔特人队塔图姆一共出战12场比赛，（命中3.2个三分）场均得到30.7分7.9篮板3.2助攻，凯尔特人战绩为9胜3负
lionmew,:今晚公布mv我从现在开始紧张
交易计划计划交易-丁一,:2020.3.4美联储降息落地，本周仍有非农数据有待公布日内关注EURUSD、USDCAD空单交易机会#原油[超话]##外汇[超话]##外汇黄金[超话]#交易计划计划交易-丁一的微博视频
鸡西气象,:【市疫情防控领导小组办公室提示】如有发热、咳嗽等症状，请就近到网上公布的指定医院发热门诊就诊或寻求当地疾控中心帮助。就诊过程中要全程佩戴口罩，尽量不要乘坐公共交通工具！鸡西市疾控中心2881263。
清风二七五里堡,#清风资讯#【连续第77个月公布，解读中央纪委国家监委八项规定精神月报】2月28日，中央纪委国家监委公布了2020年1月份全国查处违反中央八项规定精神问题汇总情况。当月全国各级纪检监察机关共查处违反中央八项规定精神问题8228起，处理11389人，给予党纪政务处分8067人（均不包含湖北省数据）。这是中央纪委国家监委连续第77个月公布月报数据，也是调整违反中央八项规定精神问题数据统计指标后第二次公布。http://t.cn/A67CKPhX
魅力十堰,:#疫情通报#【十堰昨日无新增确诊病例，各县市区疫情情况公布！】2020年3月3日0－24时，十堰市无新增新冠肺炎确诊病例。全市新增出院14例，其中：茅箭区4例、丹江口市3例、郧阳区2例、郧西县1例、竹山县1例、竹溪县1例、张湾区1例、武当山特区1例。全市无新增病亡病例。截至2020年3月3日24时，十堰市累计报告新冠肺炎确诊病例672例，其中：茅箭区280例、张湾区150例、丹江口市42例、郧西县41例、房县36例、竹山县35例、郧阳区33例、竹溪县27例、武当山特区26例、十堰经济技术开发区2例。全市累计治愈出院505例，其中：茅箭区190例、张湾区107例、郧西县39例、丹江口市36例、竹山县34例、房县30例、郧阳区29例、竹溪县26例、武当山特区13例、十堰经济技术开发区1例。全市累计病亡7例，其中：房县2例、张湾区2例、茅箭区2例、丹江口市1例。目前仍在院治疗160例，其中：重症6例、危重症8例，均在定点医疗机构接受隔离治疗。十堰市新冠肺炎疫情防控指挥部2020年3月4日
一米阳光V,:希望公布接近地球的陨石实时公布@联合国@科学探索@凤凰卫视@王冰汝@环球网
知易行难选企业,:3月4日公布的2月财新中国服务业PMI录得26.5，大幅下滑25.3个百分点，较上月几近腰斩，为2005年11月调查开展以来首次落入荣枯分界线以下。2月财新中国综合PMI录得27.5，大幅下降24.4个百分点，创历史新低。这一走势与统计局PMI一致。财新智库莫尼塔研究董事长、首席经济学家钟正生表示，新冠疫情对中国经济的冲击显而易见，需要关注企业家信心在制造业和服务业之间的明显分化。近期针对制造业、小微企业和受疫情影响较大行业的支持政策，对制造业产生了较明显的效果；而服务业所遭受的现金流损失更多是难以弥补的。
精神领域名解析,:NBA官方公布了2月最佳球员的奖项归属。湖人的勒布朗-詹姆斯当选西部2月最佳球员，凯尔特人的杰森-塔图姆当选东部2月最佳球员。詹皇依然宝刀未老！#体育##詹姆斯##NBA#
大白菜啊·,:#开学#还以为公布了开学的日期
新浪基金,:#基金那点事儿#【十年间增持近8倍全球最大主权基金青睐中国公司股票】挪威政府全球养老基金公布了2019年年末股票持仓。数据显示，2019年，包括A股、香港市场上市中国公司和海外上市中国公司存托凭证，这家全球最大的主权基金持有中国公司股票市值达2450.60亿元人民币。2009年底，这家基金中国公司股票持仓市值为40亿美元，到2019年底达351.35亿美元。10年间，这家基金中国公司股票持仓市值增长7.78倍>>http://t.cn/A67OLTbO
长寿检察,#疫情联防联控实时播报#【#辽宁丹东新增3例确诊病例行程轨迹#公布】3月2日，#辽宁新增3例新冠肺炎均为丹东病例#。今天，辽宁通报新增3例确诊病例行程轨迹详情👇@央视新闻
南昌房天下,:【刚公布！江西省无新增确诊病例！新增出院病历14例】2020年3月3日0-24时，江西省无新增新型冠状病毒肺炎确诊病例，新增出院病例14例。　　新增出院病例中，南昌市2例、九江市3例、景德镇市1例、萍乡市2例、新余市1例、鹰潭市3例、宜春市1例、上饶市1例。　　截至3月3日24时，江西省现有住院确诊病例50例。累计报告新型冠状病毒肺炎确诊病例935例，其中出院病例884例，死亡病例1例。现有重症病例5例。现有疑似病例1例。　　现有住院确诊病例(50例)中，南昌市12例、九江市17例、萍乡市6例、新余市7例、赣州市2例、上饶市2例、吉安市2例、抚州市2例。　　累计确诊病例(935例)中，南昌市230例、九江市118例、景德镇市6例、萍乡市33例、新余市130例、鹰潭市18例、赣州市76例、宜春市106例、上饶市123例、吉安市22例、抚州市72例、赣江新区1例。　　出院病例(884例)中，南昌市218例、九江市101例、景德镇市6例、萍乡市27例、新余市123例、鹰潭市18例、赣州市73例、宜春市106例、上饶市121例、吉安市20例、抚州市70例、赣江新区1例。　　现有疑似病例1例为抚州市病例。　　目前追踪到密切接触者26658人，解除医学观察26202人，尚有456人正在接受医学观察。　　江西省卫生健康委员会　　2020年3月4日
四月网,:【俄学者：2019-nCoV是非典病毒遗传学上的近亲】俄罗斯卫星通讯社莫斯科3月4日电莫斯科国立大学新闻处通报称，本大学教授亚历山大∙戈尔巴列尼亚参加的国际病毒分类委员会冠状病毒研究小组(ICTV-CSG)公布了被称为2019-nCoV病毒的分类结果，认定是非典病毒（SARS-CoV）近亲。报告解释称，判断与已知病毒的遗传同源程度是新种类冠状病毒分类的现实基础。研究人员提供的数据披露，目前已经认定共有39种冠状病毒。http://t.cn/A67OLax3
super开心果-800,:我正在快手看贺冬冬公布中奖名单的直播，一起来看！贺冬冬公布中奖名单的快手直播
地球村文化吧,:教育部公布新一批本科专业：新增备案专业1672个人工智能成热门http://t.cn/A67OLIzv
梅州时空网官方微博,:[加油]【梅州无新增！我省首例境外输入病例密切接触者的去向公布】#梅州#3月3日零时至24时，广东省0新增确诊病例。梅州市0新增确诊病例。3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄表示，深圳首例境外输入性病例93名密切接触者中的69人纳入深圳市的管理，另外24人的去向也已查清楚。病例详情回顾3月1日，网传深圳报告1例境外输入新冠肺炎病例，现将有关情况说明如下：患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月27日，孙某由英国伦敦飞往香港（航班号CX250），28日13：27抵达香港机场，15:30渡轮（船次3A109）从香港至深圳蛇口码头，在码头入境时体温无异常。随后，孙某打车回家。返程期间，孙某全程佩戴口罩。回家后，孙某自述没有外出。2月29日上午10时，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果亦为阳性。目前孙某已被转到深圳市第三人民医院隔离治疗，病情稳定，疾控部门已对其住所等区域进行消杀。经过初步排查，截至3月1日，该病例的密切接触者共有93人，目前已有46人被集中隔离（家庭密接者4人、出租车司机1人、渡轮船员11人、渡轮乘客28人、海关密接者2人），他们均未出现异常情况。另有47名渡轮乘客（含港、台及外籍人士）正在排查中，其中22人在追查和转运至隔离点，对于离深的25人，深圳已发函请求异地协查。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。周紫霄介绍，广东省卫健委以及深圳市高度重视，省市联动立即组织开展流行病学调查和密切接触者追踪等工作。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点并安排采样检测。截至3月3日19:30，69人核酸检测结果均为阴性。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。
贺鲁大夫,#北京新增#3月3日全国湖北以外确诊4例，宁夏1例，还剩下的没人认领，然后，就剩下北京还没公布呢......自己算吧
