秒拍资讯,:【惨不忍睹！#辽宁一河边现百只野生鸟类尸体#志愿者：疑有人投毒
服务辽阳,:【辽阳市新型冠状病毒感染的肺炎指挥部严防境外输入公告】为切实做好境外输入新冠肺炎疫情防控工作，特公告如下：凡从境外国家（地区）返（来）辽阳人员（特别是途经沈阳、大连之外国内其他城市转机、转车返回辽阳人员），要尽早向目的地所在村（社区）报告。报告内容：姓名、身份证号、家庭住址、返回时间、航班（车次）、经停地、电话号码等信息，以便属地政府采取健康监测和服务措施。辽阳市新型冠状病毒感染的肺炎疫情防控指挥部2020年3月3日
辽阳日报,:[九旬老党员捐出万元特殊党费]“现在疫情严重，我捐出1万元，希望能用于防控工作。”3月2日，辽阳市三高中离休干部赫宗唐在自己家中将10000元爱心善款交给学校。赫宗唐已经93岁高龄，虽离休多年，但他时刻关心学校发展，关注国家时事。自从疫情发生后，他始终关注着疫情信息，心系一线工作人员，并希望为疫情防控工作贡献一份力量。他说，自己现在年龄大了，不能到一线去，响应党和国家的号召，待在家里就是为国家做贡献，但他还想通过其他方式表达自己作为一名老党员的责任和担当。得知全市广大党员积极开展自愿捐款支持新冠肺炎疫情防控工作后，老人拿出10000元钱作为特殊党费，支援国家疫情防控工作，表达自己对党对国家的一片深情。（记者柳迪）
浪迹天涯3,:辽神册三年（公元918年），辽太祖耶律阿保机攻占辽城州。翌年（919）改为东平郡，置防御使。辽天显三年（公元928年），辽太宗耶律德光号东平郡为南京，辽会同元年（公元938年），改南京为东京，设东京道，东平郡废除。郡治在今辽阳市白塔区。
辽阳日报,:【3月11日辽阳地区停电公告】停电通知：定于3月11日8时至15时，由于10千伏高三甲、乙线#1电缆断引；造成10千伏高三甲、乙线#1大号侧线路停电检修，影响范围：辽宁盛世水利水电工程有限公司、辽阳第一锻造有限责任公司、辽宁润中供水有限责任公司、辽阳市螺旋直缝钢管厂、辽阳电能发展有限公司（高洛子变电所门口临时电）等地区用户。若由于天气原因停电时间将顺延或取消。同时因当日工作可能提前结束，停电线路可能会提前送电，请所有停电单位妥善安排好生产和生活用电外，做好随时来电的准备。同时根据《互联网新闻信息服务管理规定》，转载新闻信息请注明新闻信息来源、原作者、原标题、编辑真实姓名等，不得歪曲、篡改标题原意和新闻信息内容。国网辽阳供电公司
辽阳日报,:【馨晴心理咨询中心捐献价值40万元婚姻家庭课程】三八妇女节前夕，辽阳市妇联收到了一份特殊的申请，辽阳市馨晴心理咨询中心向市妇联捐赠价值40万元的100个婚姻家庭课程名额。该课程由国内一线心理教师线上授课，重点讲解家庭教育、性别平等、婚姻家庭法律常识等基本理论，以及夫妻关系咨询、亲子咨询、家庭冲突咨询等实际操作技能的培训指导，对提高全市广大妇女工作者和婚姻家庭工作者的工作能力有很大益处。据悉，该课程将作为2020年市妇联女性素质提升工程的一项重要内容。下一步，市妇联将把这100个名额合理分配给各县（市）、区的妇联干部和婚姻家庭工作者，切实提高其业务能力水平，增强市妇联关于婚姻家庭工作的时效性，以更好地为全市广大妇女群众服务，为打赢疫情防控战贡献巾帼力量。（王婧醒）
辽阳就业,:【转发】【爱心企业向多家医院捐赠物资】3月2日，辽宁博仕科技股份有限公司通过辽阳市老科协和辽阳市老卫协向市中心医院等11家医疗机构和市卫健中心捐赠物资，积极履行社会责任，抗击新冠肺炎疫情。辽宁博仕科技股份有限公司捐赠的物资为该公司生产的60箱绿百洁消毒粉，总价值5万多元，可用于疫情防控的日常消毒。市老卫协指定专人全程跟进捐赠物资的接收发放工作，现场及时清点物资种类、数量，并检查物资质量、保质期。同时，做好登记与签收，确保捐赠物资在指定医院使用。来源：辽阳日报
用户6379722245,:辽阳市灯塔镇吴家窑村发现神秘建筑？此物政府对外宣传说是给附近村落引自来水用的，竣工于2012年，但是周围村落家家户户还都是几十年不变的手挖的水井，根本没有自来水！有人分析这个东西是2012年年底竣工的，2013年年初发生过一场地震这个地方正好是震中。这个神秘的大楼到底是作何用处？http://t.cn/z8Ljj12
辽阳日报,:【爱心企业向多家医院捐赠物资】3月2日，辽宁博仕科技股份有限公司通过辽阳市老科协和辽阳市老卫协向市中心医院等11家医疗机构和市卫健中心捐赠物资，积极履行社会责任，抗击新冠肺炎疫情。辽宁博仕科技股份有限公司捐赠的物资为该公司生产的60箱绿百洁消毒粉，总价值5万多元，可用于疫情防控的日常消毒。市老卫协指定专人全程跟进捐赠物资的接收发放工作，现场及时清点物资种类、数量，并检查物资质量、保质期。同时，做好登记与签收，确保捐赠物资在指定医院使用。(记者王婧醒)
辽阳日报,:【辽阳市快递行业防疫与生产两不误】目前辽阳市快递企业已全面复工。按照省邮政管理局“四个确保”“三个优先”和“梯度推进”的工作安排，市邮政管理局多措并举，统筹推进新冠肺炎疫情防控和行业有序复工复产。市邮政管理局要求快递企业抓实抓细各项复工复产工作，发挥好邮政快递在畅通经济社会循环中的“先行官”作用。督促企业落实安全主体责任，在疫情有效防控上，要建立最严格的岗位责任制，坚决做到有效防控疫情和有序复工复产两手抓、两手硬、两不误、两促进。（记者马超）
喜爱桃子酱,:#寻猫启事##辽阳身边事#寻猫启事🐱时间：2月28日中午12点左右地点：辽阳市泛美华庭小区正门停车场走丢特征:一岁左右雌性猫咪胆小挑食(好怕它饿到）喜食牛肉嘴角处有小伤口希望看到的好心人能与我联系[流泪]有酬谢万分感谢🙏🙏🙏联系电话19988346579#辽阳[地点]#http://t.cn/R2Wx9o6
天刀战神,一个多月了，市面根本就没有卖口罩的
浪迹天涯3,:观音寺坐落在辽阳市中华大街东段，建在被传为“三山不显”的土山之上，此地原为辽代天显三年（928年）东丹王宫遗址上。明弘治十三年（1499年）改建为御库，俗称金银库。清康熙三十三年（1694年），始建观音寺。属市级文物保护单位。
天刀战神,一个多月了，市面根本就没有卖口罩的
天刀战神,一个多月了，市面根本就没有卖口罩的
灬獨家丨記憶灬,:我正在快手看辽阳市动物园的直播，一起来看！#记录世界记录你#辽阳市动物园的快手直播
用户6212997958,:我正在快手看辽阳市动物园的直播，一起来看！#记录世界记录你#辽阳市动物园的快手直播
葫芦岛24小时,:#葫芦岛身边事#【刚刚！葫芦岛连山区降为低风险地区】辽宁省疫情防控分区分级名单（截至2月29日24时）一、低风险地区沈阳市：和平区、沈河区、大东区、铁西区、苏家屯区、皇姑区、浑南区、沈北新区、于洪区、辽中区、新民市、法库县、康平县。大连市：西岗区、普兰店区、中山区、沙河口区、金州区、庄河市、长海县、瓦房店市、旅顺口区。鞍山市：铁东区、铁西区、立山区、千山区、海城市、台安县、岫岩满族自治县。抚顺市：东洲区、新抚区、望花区、顺城区、抚顺县、新宾满族自治县、清原满族自治县。本溪市：平山区、明山区、溪湖区、南芬区、本溪满族自治县、桓仁满族自治县。丹东市：元宝区、振兴区、振安区、凤城市、东港市。锦州市：凌河区、太和区、古塔区、凌海市、北镇市、义县、黑山县。营口市：站前区、西市区、鲅鱼圈区、老边区、盖州市、大石桥市。阜新市：新邱区、清河门区、海州区、太平区、细河区、彰武县、阜新蒙古族自治县。辽阳市：白塔区、文圣区、宏伟区、弓长岭区、太子河区、辽阳县、灯塔市。铁岭市：银州区、清河区、开原市、调兵山市、昌图县、西丰县、铁岭县。朝阳市：龙城区、双塔区、凌源市、朝阳县、建平县、喀喇沁左翼蒙古族自治县、北票市。盘锦市：兴隆台区、大洼区、双台子区、盘山县。葫芦岛：连山区、龙港区、南票区、兴城市、绥中县、建昌县。二、中风险地区大连市：甘井子区。丹东市：宽甸满族自治县。三、高风险地区无。
辽阳日报,:【我是个传染病人，这样近可以吗？】2020年2月28日晚新的一天，迎着黎明之光，我又出发了。帽子、口罩、防护服、护目镜，注重每一个细节，全方位武装自己，像战士一样。进入“红区”，根据医嘱，输液、换药、测体温、送口服药，检查设备，换床单被罩，奔走在病房间。我还是热水搬运工，提着两个暖水瓶，送到各病房，快起来脚下生风。根据病患要求，分送不同品种的午餐。你们吃好我们才能安心。陪伴和陪聊也很重要，这位阿姨心事重重，我就主动和她聊天儿，阿姨说到伤心处就哭了。搂着她的肩膀默默陪伴，也许是最好的安慰。过了一会儿，我开始分散她的注意力。我说，咱们一起合个影好不，阿姨停止了哭泣，看着我迟疑地问：“我是个传染病人，这样近可以吗？”我说，那当然可以了。说完紧紧地握着她的手。此刻，我们的心离得更近了。患者小妹妹婷婷，给我们辽宁医护比个心，感谢我们千里驰援。其实，应该给你们比个心才对，是你们的坚强勇敢，激励我们奋勇前行。下班后，回到宾馆，翻看儿子发来的微信，家人的鼓励让我能量满满。这些是我在雷神山的日常，在这重复的日常每一天，我都收获着不寻常的感动。晚安，雷神山。衷心祝愿患者们早日康复！（辽阳市二院驰援湖北医疗队队员杨威）
辽阳日报,:【穿上“两重甲”走进隔离区辽宁医疗队（辽阳队员）杨威开始新一天的战斗】（辽阳市二院驰援湖北医疗队队员杨威）辽阳日报的微博视频
沈阳沈北公安,:【2020年2月29日0时至24时辽宁新型冠状病毒肺炎疫情情况】2020年2月29日0时至24时，辽宁省新增1例新型冠状病毒肺炎确诊病例，为丹东市病例，属重型病例。新增6例治愈出院病例，其中沈阳市1例、大连市3例、鞍山市1例、葫芦岛市1例。全省累计报告新型冠状病毒肺炎确诊病例122例，治愈出院101例，死亡1例。　　现有20名确诊患者在院治疗，其中有17名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心8人、大连中心5人、锦州中心4人），其余3人分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗。20名在治患者中，重型病例1例，危重型病例1例。　　全省122例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市8例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。　　目前累计追踪到密切接触者2741人，已解除医学观察2717人，现有24人正在接受医学观察。（来源：辽宁省卫生健康委网站）
天刀战神,一个多月了，市面根本就没有卖口罩的
辽阳日报,:【辽阳市严禁超限超载货车上高速】连日来，市交通运输综合行政执法队高速大队联合交警部门，开展高速公路车辆超限超载治理工作，严禁超限超载货车驶入高速公路，保障疫情防控期间高速公路安全畅通，2月20日至27日共查处超限超载货车12台。(记者马超)
辽阳广播电视台官博,:辽阳市中心医院李卓：做一个追光的人【李卓战“疫”随笔】做一个追光的人能到武汉参与这场疫情防控阻击战，我想我是个幸福的人，在这里，我经历了很多，也成长了很多，感受到全国各地的互助，感受到领导、家人和朋友的关心和支持，虽身累，但心很暖，很暖……辽阳市中心医院李卓：做一个追光的人打开今日头条，查看更多图片每天无论在病区还是再外面，时常听到当地人感谢的话，病房有一位阿姨说，感谢你们来武汉，现在这里好多人都不敢来，但是你们来了，真是感谢……我告诉她，我们都是一家人，都是中国人，一家人不说两家话。是的，我就是这样想的：我们在同一片天空下生沽，我们都有一个名字——中国人。辽阳市中心医院李卓：做一个追光的人在出发前我告诉我儿子，妈妈出门去打病毒。本来担心年纪太小的他会哭闹，没想到他却似憧非懂的点点头，告诉我，妈妈加油，我在家等你回来。真好，出征在即，听到这话从一个三岁的孩子口中说出，心中满满的惑动与力量。儿子，我会保护好自已，因为这是我对你的责任。辽阳市中心医院李卓：做一个追光的人在武汉已二十多天，上班路上时不时能看到盛开的花，仿佛看到那道胜利的希望的光就在前方，虽远却无比耀眼，就让我们继续追光前行，直到胜利的那一天！辽阳市中心医院李卓：做一个追光的人辽阳市中心医院李卓2020.2.29来源：今日头条
辽阳气象,:道路结冰黄色预警信号：预计2月29日夜间到3月1日上午，辽阳地区将出现道路结冰，对交通有影响，请注意防范。辽阳市气象台2020年2月29日21时3分发布http://t.cn/R95SjSK
锦鲤保佑君,:【滴！女童腿卡婴儿床】辽宁省辽阳市一女童腿卡进了婴儿床，消防员救援时秒变“超级奶爸”，各种宠爱，暖不？～
用户6212997958,:我正在快手看辽阳市动物园的直播，一起来看！#记录世界记录你#辽阳市动物园的快手直播
季末秋忆,:#今天不发朋友圈又得等四年#2020年2月29日#全警实战大练兵#最小作战单元#传递最新最专业的公安执法办案业务图书@阿坝公安@安溪公安@赤峰市敖汉旗公安局@陈士渠@辽阳市公安局@四川公安
辽阳日报,:【雷神山的爱与希望】雷神山医院每天都有感人的故事发生，辽阳市二院支援湖北医疗队队员杨威在2月29日分享了A7病区多个感人瞬间，让我们看到了爱与希望。一曲：“我们都有一个家，名字叫中国”，展现了中国人面对磨难愈挫愈勇的民族精神！一句：“疫情过后，我要带我妈去沈阳（辽阳）看你们”是患者对二院医疗队队员许下的心愿。辽阳市二院驰援武汉的5人分别为：呼吸一科医生聂树志、王明鹤，呼吸二科护士长杨威，神内三科主管护师周慧芳，ICU护师聂恒。（注：该视频录制及发布征得患者本人同意。来源：辽阳市二院，视频作者：辽阳市二院援湖北医疗队队员杨威）记者：王婧醒http://t.cn/A67cEO9A
女性之声,:【#最美家庭漫画#：四世同堂之家的“管事大叔”和“管事婆婆”】原辽宁减震器厂工程师张传仁和老伴张彦都是热心人，退休后一直热心社区公益活动，被居民亲切地称为“管事大叔”和“管事婆婆”。2004年，张传仁毛遂自荐创办了辽阳市白塔区爱民社区大学，如今社区科普大学已是“辽宁省科普大学示范基地”，获得了很多荣誉。建校初期，他亲自排版、刻钢板、印制，创办了《爱民视角》，爱民社区成为辽阳市第一个拥有报纸的社区。每天清晨4点半，“天气预报”会准时写在社区板报上，居民们总是围着观看；冬天带头扫雪，常年清理公厕，煤气管道出问题找人修理；谁家有纠纷、争吵、困难，第一时间前去排忧解难；积极组织社区大学、彩虹艺术团走进军营、居民小区进行文艺演出、宣传……作为社区“阳光家园”的“管事大叔”和“管事婆婆”，只要居民有需要，再小的事夫妻俩也认真给办。在这个四世同堂的大家庭里，还有条不成文的规定：没有特殊的情况，每个周六必须在张传仁家团聚，大家齐动手准备一桌丰盛的午餐，在盛饭、吃饭时都是先长辈后晚辈，餐前每人必须说一句感恩的话。http://t.cn/A67cUSfg
辽阳日报,:【战“疫”情辽阳四院92人无偿献血】2月28日一大早，辽阳市四院院长吕琳琳率先登上中心血站采血车，撸起袖子献血300毫升。随后，院领导班子成员和各科室医务人员有序地依次献血。在防控疫情期间，市民减少外出，辽阳各献血屋和采血点的日献血量明显减少，但医疗机构的临床用血量并没有减少。在这一特殊情况下，四院向全院干部职工发出无偿献血的号召，得到大家的积极响应。仅一天时间，就有92人报名，自愿无偿献血，支援全市临床患者救治工作。为避免献血时人员聚集，医院将献血前检测和采血环节延长，献血人员一律佩戴口罩依次登上采血车，保证采血过程安全有序。这样一来，下夜班的医护人员要放弃休息时间等待献血；排在后面的献血者还要饿着肚子等上半天。即便如此，大家还是踊跃参与，为了能成功献血，大家认为再辛苦都值得。（记者王慧超）http://t.cn/A67qmPga
辽阳日报,:【辽阳市消防救援支队“三剂良方”助力企业复工复产】连日来，辽阳市消防救援支队开出全面发动、重点服务、定向宣传“三剂良方”扎实推进企业平安复工复产。市消防救援支队加强与工信、卫健、商务、住建等部门联系沟通，根据产业特点、行业分类，发动全市30余名防火监督员组成12支消防技术服务小组密集开展复工复产企业和涉疫重点场所的监督检查和消防安全指导服务470次，实现石化企业、易燃易爆场所、公共娱乐、劳动密集型企业和商场市场全覆盖。联合教育部门对39家学校、幼儿园进行消防安全检查。运用视频在线培训、观看影像资料等形式，组织1.2万余名复工复产企业责任人、管理人、值班人、员工开展“线上”消防安全培训，教育引导员工增强安全防范意识。（记者季春鹏）
辽阳广播电视台官博,:【我在武汉的第二十三天】辽阳市中心医院普外五科护士王盼盼给家人报个平安，经过了这些日子，我已经适应了抗“疫”的生活。生活虽然单调，但是让人内心充实，现在有很多重患经过我们的治疗，已经好转，逐渐康复，我也心情愉快起来。闲暇之余，看着外边蓝蓝的天空与白云，看着外面叽叽喳喳的小鸟，自由自在的飞翔。心中期盼武汉这个生病的“大鹏”早日康复腾飞。家里的领导与亲人朋友时刻关注着我们，我们能深深的感受到她们对我们的关心和爱护，为了让我们放心，他们在百忙之中帮忙照顾家人，到家里慰问，让我们能更安心的在前线工作。听说东北下大雪了，我也好想堆雪人呢。感谢家乡的人给我们送来了牛奶，南果梨，还有各个地方送来的各种物资与慰问品，家乡的牛奶与南果梨在我们三病区最受患者欢迎，我知道那也是对我们辽宁人的赞誉。现在的我在武汉一切都好，生活物质能满足需要，休息的好，请家人放心，领导放心！我一定努力工作保护好自己，把我们辽宁辽阳中心医院对武汉人民的关爱带给他们。
孙旭201407,:辽化龙鼎山辽阳市欢迎你的到来！绿洲
太子河区公安分局,:望水台派出所“战疫”期间帮助群众挽回经济损失新冠肺炎防疫期间，辽阳市公安局太子河分局望水台派出所坚持以人民为中心的立警思想，牢固树立为民服务的宗旨意识，积极为群众办实事、办好事。近日副所长张广福收到了群众的一封感谢信，对其帮助群众挽回2000元经济损失表示感谢。2020年2月22日12时30分许，辽阳市太子河区段夹河村居民张某到望水台派出所报警称：自己在网上够买口罩，被对方骗了2000元。副所长张广福接待了受害人张某。据张某讲，她是一家服装店老板，准备购买10000个口罩回馈顾客。2020年2月13日中午，张某在网上认识了一位昵称为“默默”的网友，看见她在网上有很多卖口罩的交易信息，感觉对方卖口罩是真实的。张某向其了解了口罩的样式、价钱及相关的医疗认证，双方谈妥以每个2.4元钱的价格购买10000个，张某感觉把钱打过去不放心，就以看口罩质量为由先购买1000个，并给对方转了2000元钱定金。对方承诺六天内到货，但直到报案前对方一直未发货，给对方打电话，对方手机无法接通，微信说话对方也不回。了解情况后，副所长张广福试探性与“默默”在网上沟通，告知买口罩人已到公安机关报警，如果因为生产问题导致到期不付货，你应该返还2000元定金；如果想已卖口罩为由，而采取欺骗行为骗取钱财，你的行为已违反了《中华人民共和国治安管理处罚法》相关规定，诈骗公私财物，而且利用疫情期间诈骗财物，属于情节较重的行为，处十日以上十五日以下拘留，并处一千元以下罚款。对方收到信息后，担心警察抓他，让张某先撤案，才能返回2000元钱，张广福告知对方：法律不是儿戏，你违法了法律就应受到相应的处罚，公安机关现对你进行口头传唤，请你马上与公安机关联系，否则我们会采取相应措施。对方慑于法律的威严，迅速将2000元定金返还给了张某，现案件在进一步调查中。
辽阳二三里,:二三里|辽阳市中小学校延期开学，3月2日开始实施线上教学http://t.cn/A67GHlls(分享自@二三里资讯)@二三里辽宁@服务辽阳
云想衣裳花想容5366,:#辽阳记录#医生面前不分男女辽宁省辽阳市第三人民医院不是患者主治医师循环内二科赵会权医生窥看女患者隐私部位！医德败坏！现在医疗卫生事业不断发展，不管哪一个医院科室都有很多的男医生，但是有的男医生利用职务之便，有时不是负者患者的医生也会进来大大方方的看女患者的自私部位。2020年2月27日我带我母亲去辽宁省辽阳市第三人民医院检查身体就遇到一位医德败坏的男医生，不是治疗医生还强行进入诊室该男医生被患者家属多次阻拦后来强行进入诊疗室看正在脱去上衣表露乳房正在做心电图检查的我的母亲。事后投诉医院称在医生面前没有男女之分。一句话概括！此医生为循环二科的赵会权医生，医德败坏！@辽阳市第三人民医院@全国卫生12320@辽阳那点儿事@辽阳同城@辽阳网@辽阳新闻http://t.cn/z8UOzKI
辽宁高院,:#辽宁高院涉疫情防控犯罪典型案例网络新闻发布会#案例六：韩某寻衅滋事案。2月7日9时30分，在辽阳市白塔区新兴街中心路交通岗路口，青年街社区工作人员陈某某、康某某等人看见被告人韩某正在用刀破坏小区防疫工作的警戒线。随后，社区工作人员上前对韩某进行劝阻，韩某不听劝阻并辱骂社区工作人员，附近居民李某见状亦上前对韩某进行劝阻，后韩某持刀恐吓、追逐社区工作人员及李某，造成周围居民群众的恐慌后离开现场。案发后，韩某被抓获归案。辽阳市白塔区人民检察院对被告人韩某以寻衅滋事罪提起公诉。2月21日辽阳市白塔区人民法院适用速裁程序开庭审理并当庭宣判。鉴于被告人韩某认罪认罚，遂以寻衅滋事罪判处其有期徒刑八个月。宣判后，被告人服判，不上诉。【案件启示】本案为我省涉疫情防控第一起寻衅滋事犯罪。被告人韩某在疫情防控的关键期故意持刀损毁用于防疫的公共设备，不听劝阻并辱骂防疫工作人员，且持刀恐吓、追逐社区工作人员以及对其劝阻的群众，严重影响了当地防控工作，情节恶劣，构成寻衅滋事罪，法院对其依法予以从快从重处罚。
辽阳气象,:2月28日，辽阳市气象局业务人员深入农田，开展春季首次土壤墒情测定工作，制作土壤水分监测专报，为春耕备耕工作提供气象服务保障。
辽阳中院,:智慧战“疫”：辽阳中院民一庭线上开庭-辽宁省辽阳市中级人民法院http://t.cn/A67bDz0a
辽阳中院,:市中院党组副书记、副院长高田同志到文圣区法院检查督导疫情防控工作-辽宁省辽阳市中级人民法院http://t.cn/A67bDh6O
辽阳中院,:市中院政治部主任蔡贵兵同志到白塔区法院督导指导疫情防控工作-辽宁省辽阳市中级人民法院http://t.cn/A67besD7
辽阳中院,:市中院副院长刘洪伟同志到辽阳县法院督导指导疫情防控工作-辽宁省辽阳市中级人民法院http://t.cn/A67beFwh
辽阳中院,:辽阳中院：现在开庭！-辽宁省辽阳市中级人民法院http://t.cn/A67bedRC
辽阳中院,:第30工作组组长邢洪亮到包促社区捐赠防疫物资并走访慰问选派到基层一线协助防疫的法院干警-辽宁省辽阳市中级人民法院http://t.cn/A67beYXt
辽阳中院,:邢洪亮院长走访慰问选派到基层一线协助防疫的法院干警-辽宁省辽阳市中级人民法院http://t.cn/A67be9Ot
辽阳中院,:辽阳中院：“线上”缴费助力保全-辽宁省辽阳市中级人民法院http://t.cn/A67beoXI
辽阳中院,:市中院第一批防疫小分队派驻社区开展疫情防控工作-辽宁省辽阳市中级人民法院http://t.cn/A67be6ET
辽阳广播电视台官博,:【网上买口罩受骗，太子河警方震慑挽回损失】近日太子河分局望水台派出副所长张广福收到了群众的一封感谢信，对其帮助群众挽回2000元经济损失表示感谢。2020年2月22日12时30分，辽阳市太子河区段夹河村居民张某到望水台派出所报警称：张某是一家服装店老板，准备购买10000个口罩回馈顾客。2月13日中午，张某在网上认识了一位昵称为“默默”的网友，看见她在网上有很多卖口罩的交易信息，双方谈妥以每个2.4元钱的价格购买10000个，并给对方转了2000元钱定金。对方承诺六天内到货，但直到报案前对方一直未发货，打手机无法接通，微信说话对方也不回。了解情况后，副所长张广福试探性与“默默”在网上沟通，告知买口罩人已到公安机关报警，如果因为生产问题导致到期不付货，你应该返还2000元定金；如果想以卖口罩为由，骗取钱财，已违反了《中华人民共和国治安管理处罚法》相关规定，诈骗公私财物，而且利用疫情期间诈骗财物，属于情节较重的行为，处十日以上十五日以下拘留，并处一千元以下罚款。对方收到信息后，担心警察抓他，让张某先撤案，才能返回2000元钱，张广福告知对方：法律不是儿戏，你违法了法律就应受到相应的处罚，公安机关现对你进行口头传唤，请你马上与公安机关联系，否则我们会采取相应措施。对方慑于法律的威严，迅速将2000元定金返还给了张某，现案件在进一步调查中。
小鬼儿1986,:紧急告急，紧急告急：辽阳市慈善医院从昨天开始接到上级命令，又开始接收韩国和日本归辽人员进行医疗隔离观察，现防护服，护目镜，医用囗罩严重短缺，我院医护人员为了把好精准“防疫”第一关，现已坚守岗位一个月没有回家🙏🙏🙏希望社会各界给予防护用品补给支持
小鬼儿1986,:紧急告急，紧急告急：辽阳市慈善医院从昨天开始接到上级命令，又开始接收韩国和日本归辽人员进行医疗隔离观察，现防护服，护目镜，医用囗罩严重短缺，我院医护人员为了把好精准“防疫”第一关，现已坚守岗位一个月没有回家🙏🙏🙏希望社会各界给予防护用品补给支持
