深圳侨报,:#深圳天气#今日我市阴天间多云，有小雨；气温18-22℃；东风3-4级，最大阵风7级；相对湿度75%-95%。（深圳市气象局）http://weibo.com/u/1048717800
田园Annabelle,:斑驳的石墙畚斗楼；有效地推动科技创新：与洗衣农妇！窄巷：古桥、在朦胧岁月里沉淀：【深圳市政府副市长陈应春：清澈的溪水……流水：【布袋坑的烟火气】这里是位于黄岩的一个原生态古村落
石岩公共卫生,#康复医生推荐的颈椎锻炼方法#【宅家太久，颈椎难受？几个小动作让你轻松摆脱】宅家太久，长时间玩手机、看电视，缺乏运动，容易导致颈椎病发作，出现颈痛、头晕、恶心、手麻等症状。试试这几个小动作，让你不出家门、不去医院也可轻松缓解症状。新华网的秒拍视频
微博电视,:#全民抗疫特别节目##我的白大褂##抗疫日记#【抗疫者联盟战斗力max！个个都是病毒的“克星”】自疫情防控工作开展以来，深圳市南山区构建了第一个由社区、社康、派出所“三位一体”疫情防控工作机制。每天排查人数为20-30人，最多时可达80人。以谢明瑶为代表的各个工作小组，每天为居家隔离者提供物配送，开展心理疏导服务～http://t.cn/A67Nd3Eh
慧眼财经团队,:【慧眼闪电财讯】重点项目陆续开工，粤港澳大湾区“动”起来。从官方披露的最新数据看，截至2月底，深圳市规模以上工业企业开工率94.21%，广州市规模以上制造业企业复工率97.3%，东莞市规模以上工业企业复工率83.3%……在防控疫情的同时，粤港澳大湾区正在逐渐恢复往日的活力。广东作为全国经济最活跃的地区之一，如今，无论是粤港澳大湾区重要区域南沙、前海、横琴三大自贸片区，还是粤港澳大湾区重点交通运输项目、重点产业项目，都已经重新“动”起来了。#粤港澳大湾区#
深圳交警,【今日天气】我市阴天间多云，有小雨；气温18-22℃；东风3-4级，最大阵风7级；相对湿度75%-95%深圳市气象台2020年03月04日05时04分发布。http://t.cn/EqFUjTu
梅--,:最美逆行者[玫瑰]深圳市第二人民医院护士胡丁玲调侃起自己的满是压痕脸庞：“我可能是个假的94年，这下更难找对象了”你就是最美的！[玫瑰][强]
中食婴童在线,:婴幼儿食品、保健食品将重点抽查，深圳食品安全监督抽检计划发布近日，深圳市市场监管局制定发布《2020年深圳市食品安全监督抽检计划》（以下简称《抽检计划》），以实现食品监督抽检问题发现率4%的工作目标。《抽检计划》围绕涉及人民身体健康的食品安全性指标，针对既往抽检合格率较低的食品品种、项目和舆情关注热点开展抽检。2020年从八个方面提出食品抽检工作的重点，包括将重点抽查保健食品、特殊医学用途配方食品、婴幼儿配方食品和其他专供特定人群食用的食品。
一叶知秋50108,:看过爱康健齿科、深圳市龙岗中心医院、，都不太满意。@深圳牙齿矫正攻略君博主，你知道南山区、园岭哪里有做牙齿美白好的医院吗想找个技术和价格都比较好的！先天性牙缝大，一直以来都是这样的，请问应该怎么进行治疗呢？#虎牙矫正的步骤##虎牙矫正需要拔几颗牙#
个股资讯,:铂科新材sz300811深圳市铂科新材料股份有限公司关于召开2020年第一次临时股东大会的提示性公告，点击链接查看更多->http://t.cn/A670INHy
sunnygirl927,:口腔医院招聘前台岗位职责：1.负责客户咨询、预约检查、客户接待等工作；2.负责预约的分诊，导诊，收银等前台工作任职要求：1.沟通能力强，反应敏捷；2.有医疗行业或前台工作经验。工作地点：深圳市福田区上步南路佳兆业中心欢乐口腔医院如有兴趣可把简历投至：lihuiting@深圳牙齿矫正攻略君.com
深圳天气,:【今日天气】我市阴天间多云，有小雨；气温18-22℃；东风3-4级，最大阵风7级；相对湿度75%-95%深圳市气象台2020年03月04日05时04分发布。http://t.cn/EqFUjTu
博士PT,:《又有3人转入深圳市三医院，元凶却不是“新冠”！》比“新冠”毒太多了！又有3人转入深圳市三医院，元凶却不是“新冠”！
足迹3166,:你好！请问有做龅牙矫正比较好的专业口腔医院吗？@深圳牙齿矫正攻略君美莱口腔、深圳市宝安人民医院、中国科学院大学深圳医院西院区口腔科经常在地铁或公交看到，但不知道技术如何？小时候家里人带我做矫正牙齿，但是我觉得好可怕，我死活不愿意最后就放弃了。现在23了，闺蜜都说我再不矫正好牙齿都嫁不出去了龙华区、通心岭这两个区都可以。#阻生牙虎牙矫正术##虎牙矫正全过程#
Soul_Z先森,:我正在申请微博认证，认证信息为“深圳市乐有家房产交易有限公司置业经理张峰”。请@实时热搜视频@疯丫头画画@张世友@旺福奶奶八字命相@稳场冷yue@心情美哒v转发此条微博帮我确认身份，多谢！！申请微博认证
广州校园,:【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！中报视频的秒拍视频
sunnygirl927,:深圳这边能否推荐一下？@深圳牙齿矫正攻略君之前有去德道口腔、深圳市龙岗中心医院、尔睦口腔问过，但感觉他们做虎牙矫正的经验一般，我左下方最里面的一颗牙齿还没完全长出来，总是每隔一段时间那里就会痛起来，有时候是吃东西没吃得好在那里咬了一下，不要多久那里就会痛。#深圳牙齿矫正好医院好##深圳牙齿矫正活动#
94賢玺,:《我想和你结婚-百度》我想和你结婚-百度http://t.cn/A67p09mb深圳市与君谱创酒业有限公司
足迹3166,:俗话说，人丑不能怪父母，但是牙齿丑那只能怪自己不去矫正了。之前的牙齿不整齐和两侧尖牙及磨牙均为远中尖对尖关系，@深圳牙齿矫正攻略君，后来还有点有露龈笑帮忙介绍一下靠谱的深圳香梅北专科牙医吧！#深圳市牙齿矫正哪家好##深圳大鹏新区口腔医院#
小野人89happy,#战疫有我#【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！（记者马思）中报视频的秒拍视频
耳聪目明2018,:【求助】寻找2001年出生2004年失踪广东省深圳市南山区南园村南园百货门前陈琦8269http://t.cn/R1fuz41(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！
微博财经7X24小时,:【深圳发放8.68亿元稳岗返还资金惠及企业4.5万余家】3日从深圳市人力资源和社会保障局了解到，为支持企业复工复产，该局2月28日发放稳岗返还资金8.68亿元，其中包括发放今年第一批稳岗补贴3.25亿元，涉及企业45191家，惠及365万人；返还受影响企业失业保险费5.43亿元，涉及企业133家，惠及16万人。http://t.cn/EKO7ebf
切得准伐,【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
Vivian_bbb,:腳踏實地做好每一件事🌟雖然錄視頻熬夜剪輯視頻很累但當被通知說自己的微課被深圳市教育科學研究院選中並作為優質課程在騰訊課堂播出時我心裡是真的開心既得到了鍛鍊也得到了肯定💪🏻要继续加油吖#停课不停学##空中课堂##腾讯课堂#深圳
健康广东,:广东首例境外输入病例93名密切接触者全部找到！他们去了这些地方3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄表示，深圳首例境外输入性病例93名密切接触者中的69人纳入深圳市的管理，另外24人的去向也已查清楚。http://t.cn/A67p6pOI
用户6441744296,深圳一小学副校长涉嫌抄袭他人书籍！区教育局：正在调查。近日，山东淄博一小学语文老师王爱玲在其个人微信公众号“冰淇玲童诗”上发文，指出深圳市龙岗区如意小学副校长胡红梅涉嫌抄袭自己和他人出版的书籍内容。王爱玲表示，两年多前就发现了自己的作品被抄袭，但是没有去投诉。近日是看到一个朋友发的朋友圈信息，得知有更多受害者，决定发声，“血肉全吞，甚至连作者自序也照搬并落款胡红梅。”深圳市龙岗区教育局一位工作人员表示，区、市教育局目前正在调查，有结果会公布。图：深圳市如意小学副校长、广东省骨干教师胡红梅
是羽忧鸭,:#警惕欠钱老懒##3月招聘季##中国女孩#欠钱老懒真名叫张威波，湖南人，有个假名叫张博，公司名字叫深圳市博辰服装贸易有限公司。老懒打着公司的名号招人工作，骗人白做工，欠了十几个员工的工资不给，共欠资高达几十万，拖欠工资最久高达三年以上。员工讨要工资多次未果，趁过年期间竟将公司搬离原厂地址，换手机换客户，消失一干二净，给人一种公司倒闭现象，却只是换了个地方继续运营，让被欠了钱的人找不到他。不是没钱，就是不想付工资，连自己的亲戚都离职不干了。曾赚了三十多万的利润，却连上前讨要工资的员工工资都不给，只有在被催的没法跑了，才会转个千八百元意思意思，而已经欠了人家上万元。请大家有看到此人老懒随手举报，随手转发，让更多的人看到这个人，认得这个人，让更多的人免于欺骗。
深圳龙华发布,:#温馨提示#【@深圳老板，深圳惠企16条政策如何申请，操作指南来了】《深圳市应对新型冠状病毒感染的肺炎疫情支持企业共渡难关的若干措施》发布以来，社会反响热烈。为进一步方便广大企业了解、申报、享受惠企政策，市发改委会同有关部门梳理了关键措施操作细则和申报入口的详细网址，以及相关咨询电话，供广大企业参考。详见：http://t.cn/A67p2muT
大湾区文化,:#大湾区身边事#【梅林关早高峰车流量已达以往工作日水平】随着复工复产的有序展开，深圳交通也在慢慢恢复到正常状态。深圳市交警局龙华大队福南中队中队长魏旻表示，2月21日开始，梅林关早高峰期间进出关车辆就开始慢慢增多，到2月底，车流量就已经达到去年工作日水平，甚至过关车辆比以往还多了一些。
大湾区文化,:#大湾区身边事#【深圳逐步恢复疫苗接种，接种前须微信预约】深圳从2月29日起逐步恢复预防接种服务，最先恢复儿童疫苗接种，9价HPV等成人疫苗接种目前仍暂停。据悉，对于所有已经在深圳市预防接种接种门诊（注意：不包括产房和犬伤门诊）接种过的儿童家长，必须通过“社康通”微信小程序或“深圳卫健委”、“深圳疾控”微信公众号，与儿童的接种信息进行绑定，预约接种服务。目前全市10个区（新区）67个门诊恢复接种，预约时，家长须注意儿童可接种疫苗的库存情况，没有预约成功的家长请勿前往，以免造成人员聚集。此外，预约仅预约门诊的接种时间，具体接种疫苗以门诊医生登记为准，而如果家长想变更预约，需要取消之前预约后再次预约。
大湾区文化,:#大湾区身边事#【即日起，深圳平均每天为市民和企业免费发放80万只口罩】据悉，深圳首日口罩预约已有26万人进行登记。现在日均免费发放口罩80万只，覆盖6万名个人和5000家企业。为了保障每只口罩的发放都是公开透明的，深圳市通过“线上预约、摇号抽签、现场公证、线下发放”的全程零接触式模发放预约口罩，并且由深圳公证处负责口罩摇号抽签的现场监督公证工作，对口罩摇号抽签过程进行全程监督和拍照录像，确保严格按照规定执行。为防止重复领取，深圳市新冠肺炎疫情防控指挥部要求，无论企业还是个人，中签后10天内无法参与抽签，10天后自动进入下一轮抽签。而为了避免企业虚报冒报，要求企业申办人填写企业名称、统一社会信用代码、法定代表人（负责人）姓名，须与企业营业执照记载相符。
Nikitalsj,:挑战全深圳市的江西炒粉💅🏻深圳
深圳市举重协会,:#中国举重##深圳市举重协会##深圳举重##举重#
深圳国资,:【@深圳老板，深圳惠企16条政策如何申请，操作指南来了】《深圳市应对新型冠状病毒感染的肺炎疫情支持企业共渡难关的若干措施》发布以来，社会反响热烈。为进一步方便广大企业了解、申报、享受惠企政策，市发改委会同有关部门梳理了关键措施操作细则和申报入口的详细网址，以及相关咨询电话，供广大企业参考。详见：http://t.cn/A67Nekgfhttp://t.cn/RJLd0q8
长安号官微,:#西安抗疫最前线##关注新冠肺炎#【深圳首例境外输入病例93名密切接触者已全部找到】深圳卫健委：3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄介绍，广东省卫健委于3月1日凌晨1点47分，接到深圳市卫生健康委报告1例境外输入新冠肺炎病例。病例详情回顾：3月1日，网传深圳报告1例境外输入新冠肺炎病例，现将有关情况说明如下：患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月27日，孙某由英国伦敦飞往香港（航班号CX250），http://t.cn/A67Nkkf9，15:30渡轮（船次3A109）从香港至深圳蛇口码头，在码头入境时体温无异常。随后，孙某打车回家。返程期间，孙某全程佩戴口罩。回家后，孙某自述没有外出。2月29日上午10时，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果亦为阳性。目前孙某已被转到深圳市第三人民医院隔离治疗，病情稳定，疾控部门已对其住所等区域进行消杀。经过初步排查，截至3月1日，该病例的密切接触者共有93人，目前已有46人被集中隔离（家庭密接者4人、出租车司机1人、渡轮船员11人、渡轮乘客28人、海关密接者2人），他们均未出现异常情况。另有47名渡轮乘客（含港、台及外籍人士）正在排查中，其中22人在追查和转运至隔离点，对于离深的25人，深圳已发函请求异地协查。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。广东省卫健委以及深圳市高度重视，省市联动立即组织开展流行病学调查和密切接触者追踪等工作。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点并安排采样检测。截至3月3日下午3时，68人核酸检测结果阴性，1人结果待出。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。周紫霄表示，广东将继续严格落实“四早”防控要求，继续筑牢交通检疫、发热门诊筛查、重点人群管理疫情防控“三道”防线，通过早发现，实现早报告，早诊断，早隔离，早治疗。
易白工作室,:转//#天天快报#《广东省退役军人事务厅，深圳市退役军人事务局推出一封《唱给人民的信》》http://t.cn/A67pVlho
阳光宝安,:【@深圳老板，深圳惠企16条政策如何申请，操作指南来了】《深圳市应对新型冠状病毒感染的肺炎疫情支持企业共渡难关的若干措施》发布以来，社会反响热烈。为进一步方便广大企业了解、申报、享受惠企政策，市发改委会同有关部门梳理了关键措施操作细则和申报入口的详细网址，以及相关咨询电话，供广大企业参考。详见：http://t.cn/A67Nekgf
深圳交警,:【@深圳老板，深圳惠企16条政策如何申请，操作指南来了】《深圳市应对新型冠状病毒感染的肺炎疫情支持企业共渡难关的若干措施》发布以来，社会反响热烈。为进一步方便广大企业了解、申报、享受惠企政策，市发改委会同有关部门梳理了关键措施操作细则和申报入口的详细网址，以及相关咨询电话，供广大企业参考。详见：http://t.cn/A67Nekgf
深圳市前海管理局,:【@深圳老板，深圳惠企16条政策如何申请，操作指南来了】《深圳市应对新型冠状病毒感染的肺炎疫情支持企业共渡难关的若干措施》发布以来，社会反响热烈。为进一步方便广大企业了解、申报、享受惠企政策，市发改委会同有关部门梳理了关键措施操作细则和申报入口的详细网址，以及相关咨询电话，供广大企业参考。详见：http://t.cn/A67Nekgf
深圳应急管理,:【@深圳老板，深圳惠企16条政策如何申请，操作指南来了】《深圳市应对新型冠状病毒感染的肺炎疫情支持企业共渡难关的若干措施》发布以来，社会反响热烈。为进一步方便广大企业了解、申报、享受惠企政策，市发改委会同有关部门梳理了关键措施操作细则和申报入口的详细网址，以及相关咨询电话，供广大企业参考。详见：http://t.cn/A67Nekgf
深圳人力资源和社会保障局,:【@深圳老板，深圳惠企16条政策如何申请，操作指南来了】《深圳市应对新型冠状病毒感染的肺炎疫情支持企业共渡难关的若干措施》发布以来，社会反响热烈。为进一步方便广大企业了解、申报、享受惠企政策，市发改委会同有关部门梳理了关键措施操作细则和申报入口的详细网址，以及相关咨询电话，供广大企业参考。详见：http://t.cn/A67Nekgf
创新南山,:【聚焦深圳惠企16条｜深圳三管齐下为中小企业解困】深圳惠企16条出台后，深圳市中小企业服务局先后落地了三个配套实施细则受到广大中小微企业的关注和响应。昨日，深圳市中小企业服务局有关负责人对该三项实施细则做了进一步解读。据了解，三项落地政策主要着力解决了中小微企业融资难、融资贵和短期资金流紧张等问题，在疫情期间，为精准快速解决中小微企业实际困难、帮助中小微企业复工复产提供政策支撑。详见：http://t.cn/A67CX7Pp
倪我同行201506,:深圳市第三人民医院太硬核了！放心了吧！这次疫情让深圳的小伙伴们更加了解它了！世卫组织艾尔沃德感叹：中国深圳市第三人民医院拥有5台ECMO，欧洲很多医院都没这么多。ECMO，体外生命支持系统，这次专门用于重症患者的抢救。在业界有一句话，“ECMO一响，黄金千万两”。ECMO每周使用成本不仅高达14万元，而且全国能够熟练操作的医生目前也只有2000多人。这么牛！财力强，人力强，就是这么牛！
深圳身边那些事,:#深圳身边事#【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
娜娜爱吃梅尼耶,:深圳后海，卓悦往春茧走的路口处，那个关闭的通道处有一只可爱的小猫咪，有爱心人放了猫粮米饭，但是那边都是垃圾，希望好心人能去救一救，很可爱的一只小猫咪@深圳市流浪狗驿站@深圳流浪猫领养平台
掌涨股讯,:【$银宝山新(SZ002786)$：收到3608.92万元补偿款】银宝山新公告，公司于今日收到因实施深圳市城市轨道交通13号线工程房屋征收项目（宝安区段）的需要，政府依法征收公司承租的位于深圳市宝安区石岩黄峰岭工业大道部分建筑物的补偿款，共计3608.92万元。
杨笑先生,【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
财经网,:【#甲鱼应禁食吗#？#多地龟鳖产业协会发文求三思#：是多地支柱产业】野生动物“禁食令”出台后，近日，广东省龟鳖养殖行业协会、湖南省龟鳖产业协会、杭州市龟鳖行业协会等行业协会在网上发文呼吁，恳请深圳市人大常委会法工委等部门三思，勿将龟鳖列入禁食行列。3月2日，湖南省龟鳖产业协会联系人张寿岱在接受采访时表示，经过40年的发展历史，湖南中华鳖（甲鱼）养殖已形成专业化的苗种生产、商业养殖、饲料生产、市场销售的成熟产业链体系。在湖南汉寿县，甲鱼产业已成为五大支柱水产养殖品种之一，是汉寿县数万农民赖以生存的重要手段之一。在广东，中华鳖（甲鱼）养殖户已近10万户，在揭阳市云路镇，甲鱼养殖甚至成为其支柱产业。涉及不同龟种的养殖和加工业从业人员26.56万人，总产值超过403亿元。@澎湃新闻http://t.cn/A67pLQ5l
新浪广东惠州,:#惠州战疫##惠州身边事#【广东首例境外输入病例：有3名密切接触者在惠州】今天下午，广东省人民政府新闻办公室举行新闻发布会，通报全省新冠肺炎疫情和防控工作情况。广东首例境外输入病例：93名密切接触者已全部找到3月1日凌晨，深圳市卫生健康委报告1例境外输入新冠肺炎确诊病例。经过省市联动，开展流行病学调查、密切接触者采样、终末消杀等工作，共确定密切接触者93人。周紫霄介绍，至3月3日凌晨，该输入病例93名密切接触者已经全部找到。其中69人纳入深圳市管理，入住集中隔离点，进行采样检测。截至今天3点，其中68人的新冠肺炎核酸检测结果呈阴性，仍有1例结果待出。而另外24名密切接触者的行踪也已摸查清楚，其中广东省东莞市12人，广州市3人，惠州市3人，湖南株洲市2人，海南省海口市1人，江西省南昌市3人。对于这24名密切接触者，省卫计委已经发了协查函到当地疾控中心要求加强协查工作。（信息时报）
深圳商报,:#深圳年味#【处理年花年桔不用愁，深圳全市预约回收方法都在这里】春节假期已过，年花年桔的回收工作也在稳步推进中。记者从深圳市城管和综合执法局获悉，目前，各区（新区）已根据实际情况对分拣场地进行区域划分等，并于2月10日后陆续开启了预约通道方便各机关企事业单位、物业小区、城中村、学校及公共区域进行预约收运。http://t.cn/A67pwLQF
苏畅Sonia,:收到了深圳市政府的爱
高松-GISer,:新冠疫情背景下多数据综合分析的深圳市热门区域风险画像新冠背景下的深圳市热门区域风险画像
蝶恋涵香,【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
sesameroll,【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
神魔不知道叫兽,:【版权声明】本作品著作权归红星新闻独家所有，授权深圳市腾讯计算机系统有限公司独家享有信息网络传播权，任何第三方未经授权，不得转载。湖北省司法厅退休副厅长、巡视员陈北洋的一封《致歉信》令开私人诊所的李跃华广受关注。李跃华曾为陈北洋一家三口诊治新冠肺炎，在这封《致歉信》中，陈北洋称“治疗效果比较可观”。就此，李跃华宣称由自己发明的、已治愈数名新冠肺炎患者的治疗方法为更多人所知。他认为，用微量苯酚注射液...http://t.cn/A67NsLKf
天线大夫,:2020年3月3日深圳市新冠肺炎疫情情况截至3月2日24时，深圳累计报告“新冠肺炎”确诊病例418例。3月2日当天全市新增确诊病例0例，新增死亡病例0例，当天出院病例12例。　　累计报告确诊病例中，男性198例、女性220例。　　按照病例管理地区划分，南山区87例、福田区82例、龙岗区71例、宝安区62例、龙华区34例、罗湖区32例、光明区11例、坪山区7例、盐田区6例、大鹏新区2例、其他（指由机场、车站、码头、关口、路卡等直接送往定点医院的）24例。　　目前，重症6例、危重症2例，死亡3例，累计出院332例。　　83例确诊病例均在深圳市第三人民医院隔离治疗，并开始增加中医支援力量以提高疗效。　　102密切接触者正在接受医学观察。似乎深圳疫情稳定可控并向好，但深圳市移民城市，复工复产刚刚开始，最艰巨的防控任务还在后头。
