一心向大海,:防护做得好，健康有保障http://t.cn/A67oARrp
晋州市交警,#庄警播报#【出门买买买，该如何做好防护？
桂视网,:#桂林身边事#【谎称有防护服口罩诈骗138万!这伙人被桂林警方抓获!仅用4小时】3月2日18点40分，桂林市公安局接到公安部推送的电诈线索：3月1日9时许，受害人卢某某到广州市公安局龙归派出所报案，称其在网上被他人以谎称有大量口罩和防护服销售为由，被诈骗138万元。案件无大小，警情如命令。特别是疫情期间，桂林公安坚决执行对涉疫案情“露头就打”的精神，以“零容忍”的态度，努力推进疫情防控期间的社会稳定。桂林市公安局立即启动三合一平台开展侦控，发现嫌疑人驾车向临桂方向逃窜，刑侦支队会同临桂分局及相关业务单位联合行动，立即出动车辆6辆，出动警力19人，沿路追击。3月2日23时许，民警在临桂区耀辉美好家园抓获涉疫情诈骗嫌疑人黄某某。警方现场控制同行人员3人，查扣涉案手机8部、口罩若干及轿车2台，其中一辆奥迪牌轿车为用赃款购买。至此，从接到线索至抓获犯罪嫌疑人，警方仅用时4个小时。黄某某归案后如实供述了其犯罪事实。目前，案件正在进一步调查中。(来源：桂林警讯)
王一博的小草莓,:#安倍在参议会发言时咳嗽#必要时期一定注意做好防护，事无巨细，把疫情作为第一考虑要素吧#国际奥委会全力支持东京奥运会举办#
鹤壁日报,:#关注新冠肺炎#【#武汉拟火线提拔10名战疫一线干部#】3日，武汉市委组织部报请市委同意，拟提拔10名奋战在疫情防控一线，不避艰辛、业绩突出、群众公认的干部。这10名干部包括武汉肺科医院党委书记王卫华，武汉市卫健委副主任刘庆香，武汉市公安局经济犯罪侦查支队支队长陈光等。此次火线提拔，旨在激励更多党员干部在战“疫”一线冲锋陷阵、拼搏奉献。拟提拔的10名干部名单　　1、王卫华，女，1966年10月出生，现任市肺科医院(市结核病防治所)党委书记，拟任市卫生健康委员会副主任、党委委员。　　市肺科医院被确定为定点医院后，她带领全院职工紧急改造病房，腾设隔离病区，组建专家团队，全力协调服务，连续多天吃住在办公室，使市肺科医院成为全市新冠肺炎定点医院中治愈率最高的医院。除夕前夜，她被抽调参与筹备火神山医院，全面负责医院运营前医疗准备工作，一直坚守在建设工地前线，经过筹备专班共同努力，火神山医院如期投入使用，仅3天时间收治量超千人，为打好应收尽收的攻坚战奠定坚实基础。她热爱医疗事业，甘于奉献，大年初二父亲去世，初三一早含泪返回工作岗位。　　2、刘庆香，女，1965年6月出生，现任市政协常委，市卫生健康委员会副主任，拟晋升二级巡视员。　　在全市医用防护物资紧缺的情况下，刘庆香同志组建近200人的监督执法队伍，定点下沉到医院摸需求、查库存，测算单位从原来的28家扩展到303家。2月5日，江汉区、武昌区、东西湖区三个方舱医院同时开仓，就在开舱前一晚，她想尽一切办法，利用一切途径，将三个方舱医院所需的41类医用设备、111类医用耗材、182种药品全部连夜调配到位。疫情爆发时，她的丈夫因病离世还不足半月，但她收拾心情、放下悲痛，迅速投入了战斗，如今已在岗位上持续奋战了50多天，平均每天休息不足四个小时。　　3、陈光，男，1969年12月出生，现任市公安局经济犯罪侦查支队支队长、党委书记、一级高级警长，拟任黄陂区委常委，市公安局黄陂区分局局长。　　疫情发生后，陈光同志主动对接黄陂区党委政府，全方位支持区防疫指挥部“应收尽收”工作，落地、核查、识别“四类人员”6900余名，协助转运送治病人1300余人，化解矛盾纠纷164起。实施“环城护城河”行动，在全区9个封控卡点实行24小时值守，检查车辆1.9万余辆，排查人员2.5万余人，放行救灾物资车辆2700余辆，劝返车辆5900余辆。对各街乡乡村道路开展每日巡查，下达公安建议书57份，督促落实封控责任，确保了疫情期间全区社会政治稳定。　　4、何勇，男，1971年8月出生，现任市市政建设集团有限公司总经理、董事、党委委员，市城建工程有限公司董事长、党委书记(兼)，拟任武汉航空港发展集团有限公司副总经理、党委委员。　　此次火神山医院项目参建单位构成复杂，施工人员和机械众多，统筹协调工作量极大，何勇同志挺身而出，积极与外部、内部参建各方密切沟通，妥善协调处理各种矛盾困难，有效组织市政集团下属各参建单位密切配合、协同作战，保证了现场施工高效有序。项目24小时施工，现场问题应接不暇，他就24小时驻守现场，为火神山医院的顺利建成做出了突出贡献。　　5、童卫桥，男，1961年10月出生，现任江岸区卫生健康局党委书记、局长，拟晋升一级调研员。　　疫情发生后，童卫桥同志始终坚守工作岗位，吃住在单位，每天工作至凌晨，带领全局干部投入到疫情防控阻击战中。为了让患者能够及时入院治疗，他一边积极向上反映争取支持，一边带领干部奔波在辖区各医院争取床位，使330名重症、危重症患者得到了及时救治。负责组建4支“采样突击队”，累计采集样本6283份，完成核酸检测日结日清工作任务，以实际行动落实疫情防控艰巨任务。　　6、叶青，女，1969年3月出生，现任硚口区汉中街党工委书记，拟晋升一级调研员。　　自新冠肺炎爆发以来，叶青同志以身作则，靠前指挥，协调各方力量筹建2个街道隔离点，对282例确诊病例、483例疑似病例全集中、全隔离，对一般发热人员和密切接触者严格落实“四包一”工作机制，最大限度减少疫情扩散风险。坚持沉在社区一线督促指导，对辖区26个住宅小区实行封闭管理、出入管控，开展疫情排查、点位宣传、关爱帮扶等工作，取得了较好成效。　　7、金光伟，男，1964年1月出生，现任武昌区徐家棚街党工委书记，拟晋升一级调研员。　　新冠肺炎疫情发生以来，金光伟同志冒着手术恢复期感染的风险，身先士卒奋战在抗击疫情第一线。他统筹街道资源，扎实推进疫情排查，筹建街道隔离点6个、房间600余间，严格落实“四类人员”应收尽收，实现辖区“四类人员”的收治和隔离。为了救治重症患者，在没有防护服的情况下，亲自护送转运53名病患至定点医院，赢得了患者家属的赞誉。　　8、纪宏杰，男，1975年11月出生，现任洪山区珞南街党工委书记，拟晋升一级调研员。　　面对突如其来的疫情，纪宏杰同志以街道指挥部为家，无暇照顾四岁的幼女、怀孕五个月的妻子和年迈的父母，扛起基层一线疫情防控的责任。战“疫”打响以来，他带领街道、社区干部组织转运确诊、疑似病例384例入院入舱，对珞南街26个社区16万余人进行全覆盖排查，累计排查出发热人员725人。多方协调辖区公共资源，设置3个隔离点共315张收治床位，切实保障人民群众生命健康安全。　　9、胡昌林，男，1968年12月出生，现任蔡甸区交通运输局党委书记、局长，拟晋升一级调研员。　　新冠肺炎疫情发生以来，胡昌林同志闻令而动、冲锋在前，成立“红色交通先锋队”，打造“红色交通车”，全力服务群众出行、全力保障医护人员通勤和医疗物资运输，累计出动车辆5454台次，服务医护人员20150人次；深入蔡甸区人民医院、火神山医院调度指挥，转运疑似病例3360例，服务困难群众2646人，运输口罩175.21万只、防护服5.32万件，在抗击新冠肺炎工作中做出了积极贡献。　　10、曾祥华，男，1964年3月出生，现任武汉东湖新技术开发区关东街党工委书记，拟晋升一级调研员。　　在抗击疫情的战斗中，曾祥华同志作为街道“主心骨”，精心安排、周密部署，带领全街上下克服困难、严防严控，共设立6家隔离酒店，全街630例确诊病例、348例疑似病例被送往定点医院、方舱医院或酒店隔离点，得到了妥善安置。疫情高峰期，他多次深入社区近距离接触确诊病例、疑似病例，不惧危险，亲自组织协调将他们送往方舱医院或酒店隔离点。（长江网）
你能帮我起个名字吗,【#火箭军回应护士向国家要男朋友#】听说有护士小姐姐要求分配男朋友？安排！#东风快递代表队#来了！@东风快递东风快递的微博视频
徽州反邪教,:【洛阳一汤馆营业，#顾客停车位上考试式喝汤#】2月29日，河南洛阳。一家羊肉汤馆恢复营业，顾客在门口的车位上就餐，1个车位2个座，间隔1.5米。顾客称，已一个多月没喝羊肉汤了，这种防护下喝到汤的感觉很好。http://t.cn/A670E2Fa视频来源：澎湃新闻的微博视频@澎湃新闻http://t.cn/A670EGCL
金山传播,:【透过防护服也能认出你，#火神山的大眼睛医生#】火神山医院感染二科一病区主任董宇超，被患者亲切称为“大眼睛医生”。在他的“紧盯”下，不少患者病情明显好转。在抗“疫”一线，他带领50名医护全力救治80多例患者，无一人转向危重症或病亡。在患者出院证明上郑重签下名字，他说，这就是最好的回报。http://t.cn/A67NfthA
澎湃视频,:【洛阳一汤馆营业，#顾客停车位上考试式喝汤#】2月29日，河南洛阳。一家羊肉汤馆恢复营业，顾客在门口的车位上就餐，1个车位2个座，间隔1.5米。顾客称，已一个多月没喝羊肉汤了，这种防护下喝到汤的感觉很好。洛阳一汤馆营业，顾客露天“考试式”喝汤澎湃新闻的微博视频
齐齐哈尔市人民检察院,:【@齐齐哈尔人不愁理发了！商贸服务行业复工营业最新通知发布】关于有力有序有效推动我市商贸服务行业开复工工作的通知为深入贯彻落实国务院关于切实做好复工复产的要求，采取更加有效措施，大力推动全市商贸服务业企业（含外贸企业）有序复工复业，尽快推动规上、限上企业应开尽开，统筹推进其他规模商贸营业场所复工复业。根据《商务部办公厅关于组织做好商贸企业复工营业工作的通知》和市委、市政府的决策部署，现对我市商贸服务业企业实施有序复工复业事宜通知如下：一、大力尽快推动具备防控条件行业复工营业1、超市、食杂店等：可以营业，但一类封闭小区附近超市、食杂店等暂停营业，根据实际情况确定营业时间。2、物流配送：可以营业，但一类封闭小区附近的快递网店暂停营业，根据实际情况确定营业时间。3、汽车销售企业：可以营业。4、加油站：个别没复工的加油站须向属地行业主管部门备案。5、电子产品类（含家电经营企业）、食品农产品粮油蔬菜糖酒类、农资农机机械建材类、燃气商贸其他批零类，向属地行业主管部门备案可恢复营业。6、电商：可以营业，严禁人员密集培训、人员密集办公。二、有力有序有限制推动具备防控条件行业复工营业1、百货商场：百货、家电、手机、服装等生活必需品零售可以营业。商场中餐饮小吃堂食、电影、教育培训、健身、游艺、宠物、游泳等容易引起人群聚集、服务时密切接触业态不允许营业。2、餐饮：堂食暂不开放，允许经营外卖，包括成品和食材。推行线上订购线下无接触配送、电子支付。3、农产品批发市场：可以营业。暂停畜牧类交易市场复业。4、美发：理发可以营业，禁止烫染、接发、按摩等密切接触及服务时间较长项目。加强员工健康管理和个人防护，设置应急区域，倡导预约式服务，实行“一客一消毒”，工作人员和顾客必须全程戴口罩。店内一个工位不低于9平米，保持安全距离。5、宾馆住宿：可以营业，但暂停宾馆中娱乐、休闲、游泳、KTV、棋牌等服务时间长及密切接触服务项目。倡导预约式服务，控制住宿密度，禁止餐饮堂食，采取送餐制。6、图书零售行业：可以营业，但取消阅览室阅览环节，零售图书推行线上与线下结合销售，售卖图书参照商超类防疫防控工作规范执行。7、家政服务行业：可以有序开工，做好全身消毒和个人防护，避免密切接触，禁止聚集培训等。三、高风险行业暂缓复工营业1、美容、美甲、整形、减肥、纹身等密切接触的服务行业暂不允许营业。2、洗浴、足浴、游泳、水上娱乐休闲、按摩等密切接触的服务行业暂不允许营业。3、影院、歌厅KTV、台球厅、网吧、游戏电玩场所、社会教育机构暂不允许营业。4、福彩、体彩营业场所，证券交易场所暂不允许营业。四、严格开复工要求要进一步提高站位，充分认识商贸服务企业复工营业对保障市场供应、满足民生需求、稳定社会预期、打赢疫情防控阻击战的重要意义。牢固树立以人民为中心的发展思想，增强工作紧迫感，压紧压实工作责任，研究解决商贸企业开复工率低、进度缓慢等突出问题，迅速组织做好商贸服务业企业复工营业各项工作。1、守住底线商贸服务领域涉及面广、人员聚集场所多，要着力做好疫情防控工作，保住防控底线。把具备防控条件作为所有商贸服务业企业开复工的前提条件。严格落实已经印发的10个商贸服务业防疫防控规范，没有达到规范要求的企业禁止复工营业。2、认真排查商贸服务业企业在复产复工前要对各类设施设备进行全面检查、检修、检测，对各类高风险物资和场所设施设备情况进行再检查，尤其对防疫措施落实情况进行重点检查，彻底排查现场隐患，有效预防各类事故发生。要求做到防控责任、应急预案、经营过程、员工状况、设施物资、内部管理、顾客导引、日常办公、清洁消毒、食宿防控措施完善落实。3、搞好培训要对返岗工作的员工进行一次防疫安全知识培训，尤其是要突出疫情防控、企业管控和个人防护等内容培训，使管理人员和一线员工充分了解健康知识和企业开复工、疫情防控工作方案。加强员工安全生产培训，排查各类风险隐患，坚决防范安全生产事故发生。4、压实责任压实县（市）区属地责任、部门监管责任和企业主体责任。各县（市）区疫情防控指挥部对本地企业疫情防控工作负总责，对商贸服务业企业复产复工实行“一企一策”，搞好企业复工复产备案管理。强化部门监管责任，做到县（市）区政府有专班，采取专员制、巡查制，促进疫情防控和复工复产双胜利。限上、规上企业派专员，其他企业强巡查。企业复工前要进行防疫指导和验收。由市场监管部门牵头组织力量进行检查督导，按照行业防控规范，严格要求到位、严格指导到位、严格执行到位。对发现问题的一律停业，并追究责任。强化企业主体责任，各企业须制定复产复工方案、专项防疫方案，备齐疫情防控物资，落实防控工作要求，实行开复工属地备案制和安全防护承诺制。实行开复工“日报告”制度。联系人：王迪电话：2795599手机：13836262299联系人：周韬电话：2795235手机：16604522777齐齐哈尔市应对新型冠状病毒感染肺炎疫情工作领导小组指挥部办公室2020年3月3日http://t.cn/A670iL8k
小妮子钟家仪,🙏澤國江山入戰圖，生民何計樂樵蘇。憑君莫話封侯事，一將功成萬骨枯。🙏一塲沒有煙硝的戰爭，全國醫護人員前赴後繼，𡚒勇殺敵，在裝備不足的情況下，世界各地的炎黃子孫，不同的友好國家，設法解決這個問題。國內同胞，上下一心，在精神與物資方面，提供所需與支持，更得到大家的配合，宅在家中，不給添亂，此情此景只應中國有，世上難得幾時聞，震撼世間人。明天節氣將進入《驚蟄》，農曆二月正式開始，本國疫情將有良好的進展，經濟活動又要維持。大家不要輕率大意，勤洗手，戴口罩，保持距離。🙏㊗️大家身體健康，萬事如意🙏
爱好比星星多的徐哥,:生活不只有奋斗，还应该有娱乐和幽默，你说是吗？#原创##段子##亲子##搞笑##防护##口罩#郑州·天伦庄园别墅爱好比星星多的徐哥的微博视频
直言-我本善良,:必须做好防护，病毒无国界，也没有灵智，对外国人有些自由散漫意识必须严格管理，假如外国人不喜防控措施，驱逐出境就可以了，让他们回家去享受自由。国外疫情越来越严重，会不会导致疫情回流中国?
中国矿业大学安全工程学院,:【安全学院发布关于新型冠状病毒传播及防护的系列科普小视频】针对新型冠状病毒感染肺炎疫情，公众和医护人员均急需了解病毒气溶胶传播知识及采取有效的呼吸防护手段，鉴于此，安全工程学院分别邀请了来自我院公共安全与消防研究所的郑丽娜教授、职业健康与防护研究所的何新建教授和朱金佗博士为大家讲解病毒气溶胶传播及防护口罩的相关知识：①病毒气溶胶传播—郑丽娜.mp4；②新冠病毒呼吸防护--口罩分类，中低风险人群呼吸防护-何新建.mp4；③N95级医用防护口罩简介--针对较高及高风险人群---朱金佗.mp4；④N95级医用口罩防泄漏改进及自测--针对较高及高风险人群---朱金佗.mp4详情请看http://t.cn/A670EhTe@中国矿业大学@CUMT安全学院团委学生会@中国安全生产科学技术@CUMT安全学院研究生会@中国煤炭行业网@辽宁工大安全科学与工程学院@江苏消防@彭城消防卫士@中国矿业大学安全学院团委
樱桃妹雯雯,:【别大意，继续坚持做好防护】（分享自：爱奇艺泡泡圈）http://t.cn/A6hNcVwD
金华日报,:【“复工帮”助我市服装企业复工复产】　1700平方米的车间、120多台高速缝纫机、40多名车间缝纫工……3月2日，在位于金东区曹宅镇金华吉米赛欧服饰有限公司内，工人正在加紧生产。“如何做好劳动密集型企业的疫情防护和复工复产，成为当下企业和管理部门的工作重点和难点。”分管该企业防疫工作的金东区综合行政执法局曹宅中队队长助理季建伟说。　　3月2日下午，记者来到吉米赛欧服饰有限公司。在厂门口，4名工作人员穿着雨衣给进厂人员测体温、登记、扫健康码。记者采访过很多企业、市场和社区，感觉这里的防控还是比较严的。“为什么大晴天穿着雨衣？”“因为要给进厂人员消毒、给快递包裹消毒，穿上雨衣对自己也是防护。”工作人员何美丽一边说，一边给快递小哥刚送达的包裹喷洒消毒水。　　金东区综合行政执法局曹宅中队工作人员黄易文介绍，对企业返岗复工人员严格实行“一人一档”，通过承诺书、告知书、四色人员管理、每天16问等进行动态管理，同时，必须扫三个二维码：行程码、浙江省健康码、入金登记健康码，全面掌握企业返工人员情况，精准施策做好防疫工作和复工复产。　　“我们2月20日开始复工复产，复工前防疫防护工作准备了一周。”吉米赛欧服饰有限公司董事长龚辉进告诉记者，“行政执法局曹宅中队工作人员每天7时就来了，每天两次严格检查，防疫工作做得非常细致。同时，还幸亏有了‘复工帮’，帮助企业复工复产。”　　3月2日，企业上班员工共有92人，车间一线缝纫工49人中，有16人来自江西、安徽、湖南、陕西，有些员工没有回老家，一直待在金华。也有工人自驾车回金，隔离14天后再复工上岗。目前企业复工率为65%左右，目前尚有云南、贵州、四川籍部分员工未返岗。　　记者了解到，为进一步推动工业企业“大、中、小”全产业链复工复产，打通产业链的每一根“毛细血管”，深入做好产业链对接、防疫和生产供需对接，快速有效帮扶产业链企业复工复产，市经信局搭建了“复工帮”企业服务平台。目前，“复工帮”平台拥有复工复产物资对接、防疫物资对接、口罩申购、金融对接等5大功能模块，企业可根据需要进入相应模块，填报相关信息。　　除了吉米赛欧服饰有限公司，市区专业生产工作服的雪姣服饰有限公司于3月2日复工。“这个春节日子太难过了，对业务量的影响太大了。”做了20多年工作服、生意一直不错的企业主俞雪姣说，虽然企业规模不大，只有三四十号工人，但往年这个时候订单已源源不断，今年到现在没有一个订单，只是在做去年的尾单。　　面对困难她没有失去信心，在朋友指点下，她点击了“复工帮”服务平台，在上面填报了防疫物资对接、复工复产物资对接需求。“解决了口罩、消毒水等防疫物资，先把本地员工招回来，开工后再说。目前已有9名本地老员工返岗复工复产。只要努力了，走一步也是一步。”俞雪姣说。她的企业专门为酒店、饭店等餐饮业及美容院等提供定制工作服，现在这些企业都没有开门，所以订单几乎为零，更难的是去年的货款由于受疫情影响，还有一些拿不回来。“如果资金再吃紧的话，我也只能上‘复工帮’求助了。”俞雪姣说。　　记者了解到，我市服装生产行业曾经有个“暗香绣色”女装品牌十分有名，但近几年在生产经营方面遇到了难题，企业一度走下坡路。“怎么办？”企业负责人一愁莫展，“上‘复工帮’求助试试看。”经过一系列操作，3月2日该企业在做好疫情防控的基础上已局部复工复产。“接下来就是如何提高产能，让生产走上正轨。”企业相关负责人说。
城固检察,:【
幸福深处526,#京视频#【北京回应“望京一韩国人确诊”：患者并非新冠肺炎】3月3日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，朝阳区望京街道办事处主任杨晓昇介绍了一个具体的事例：2月27日上午，在望京街道的一个社区，一名25日从韩国返京的外籍人士，在居家观察时致电社区居委会，称身体不适、体温出现起伏，并伴有呕吐等症状。社区第一时间联系了120急救车，立即将其送往医院，后经医院诊断排除了新冠肺炎，诊疗后该人于次日返回了社区继续居家观察，社区也在第一时间发布了相关的信息，及时地消除了小区居民的疑虑。http://t.cn/A67px4QU
灵山检察,:【#我要记住你的样子#
滁州日报,:#坚定信心勇于担当奋力夺取“双胜利”#【安全防护忙生产】2月28日，南谯区消防救援大队执法人员在一家复工企业开展消防安全检查，并指导企业抓好消防安全隐患整改，为企业复工复产保驾护航。特约摄影董超摄
邹毅的邹,:北京#大1路#司机师傅:今晨#北京空气质量#一级优【#每日一问#：防疫也需与精准扶贫紧密结合】“扶贫济困，需要“主动帮扶”思维。精准帮扶也是增强风险抵御能力。战“疫”仍处在胶着状态。说是抗疫，但事实上，我们要抗的，远不只是疫情，还有很多与疫情伴生或交织的问题，包括防护物资结构性短缺，包括中小微企业的复工掣肘，更包括疫情冲击下的很多家庭或个体的现实之困。2020年，是脱贫攻坚的决胜之年。到了这个阶段，很多时候需要从宏观深入微观，针对每个家庭的困难提供更主动、更细致的帮扶。对于很多家庭而言，“贫”是结果，“困”才是根源。而疫情将社会导入“Hard（困难）模式”后，这些家庭的风险抵御能力与资源获取能力势必更弱。只有真正去感知他们的困难，听见他们“沉默的声音”，才能有的放矢，给予他们更多“雪中送炭”式的帮助。战疫进行到今天，各级各地有关方面的任务，远不只是“控人”这么简单，必须把经济发展、脱贫攻坚、困难群体帮扶等工作通盘考量。对感染患者的排查和治疗“不漏一人”，同样，对困难群体的帮扶也要做到“不漏一户”。”#国贸三期##蔚蓝地图[超话]##一目了然[超话]#@京环之声@公众环境马军@杨明森@iceman4咖啡李@佳佳_9484@老张评论@环保-杨忠刚#BeijingAirNow#@陕西德盛传媒@生态环境部@四川生态环境#箭扣客[超话]##一目了然[超话]#@临沂环境@IFCE何平@新京报@澎湃新闻@山东环境@空气侠CEO@@何继江能源转型@鸣镝飞666c
牙克石融媒,:#牙克石基层#《库都尔镇：抗疫一线担使命党员突击守初心》在社区防控登记点党员干部率先垂范，带队24小时坚守，认真细致地对过往车辆和人员进行排查，外来车辆坚持逢车必检、逢人必问，扫码登记、查验身份、询问轨迹、填写路条、做好记录，提醒群众做好防护，为切断疫情传播途径、守护全镇群众安全筑起了铜墙铁壁。每一个社区登记点就是一座战斗堡垒，每一名党员干部就是一面旗帜！他们铭记初心，坚守阵地，用中共党员的担当守护着人民群众的安全健康。（编辑：戴文宸）http://t.cn/A670RTbU
电商报,:#美国电商平台口罩价格大涨#【美国消费者抢购亚马逊沃尔玛等平台口罩价格大涨】由于许多实体店商品销售一空，美国消费者争先恐后前往电商平台购买口罩、洗手液等防护物资。需求激增为亚马逊和eBay等电商平台第三方卖家带来了机会，媒体发现，类似口罩这样的商品涨价高达582%。http://t.cn/A6708a2x
jessica--纪,“小土豆妈妈爱你”“为了火锅加油”援鄂军队医护人员在防护服上写下祝福令人动容，愿平安。#德国载有1200名乘客游轮检测结果出炉##中国境外确诊病例超过1万#IT总司令的微博视频
滁州日报,:#坚定信心勇于担当奋力夺取“双胜利”#【安全防护忙生产】2月27日，工人们正在加紧生产。天长市康弘石油管材自复产以来，把疫情防控和复工复产有机结合，严格落实安全防护措施，目前员工返岗率100%。通讯员陈家斌摄
抚州南丰发布,:#岩松帮你问#【直播！#白岩松连线吴安华教授#】传染病医院如何做好感染控制工作？医护人员如何做好安全防护？《新闻1+1》今日疫情分析，白岩松连线中南大学湘雅医院吴安华教授进行解读。关注！央视新闻的微博视频
牧鲸少年和他的鲸,希望春天早日到来
抚顺市公安局清原县局,【一线Vlog：我在武汉战“疫”30天】武汉是一座英雄的城市，在这里的30天，在战疫的最前沿我看到：“有我们在，请全国人民放心”的热血誓言，“把自己装备好、防护好，才能更好地服务群众”的温暖叮嘱，“回去，外面的空气一点也不好”苦口婆心的劝导……#疫情当前警察不退#一张张请战书，一个个逆行的身影，有的我知道名字，邵玉春、史雪荣、梁锐、赵闯，更多的我不知道名字，也不知道在厚重的防护服、护目镜下，他们的脸是什么样子……这30天里，我看到了有那么多人为这座城市的美好，不眠不休，争分夺秒，30天不是终点，但我相信离终点已经不远
新浪河北,:【河北“最美舞蹈女孩”压岁钱买手套送给警察叔叔助防疫交警回赠温暖拥抱】3月1日，邯郸市公安局交巡警支队鸡泽县大队民警带着感谢信，来到鸡泽县实验小学看望一位叫叶子漫的小女孩。20多天前，叶子漫用自己的压岁钱买了两箱一次性防护手套，捐赠给了防疫卡点的执勤民警，并给民警表演了一段舞蹈。这个视频被@鸡泽交警上传到网后，获得大家的赞扬，叶子漫被很多网友称为“最美舞蹈女孩”。http://t.cn/A67CD8Yb
青龙湖社区卫生健康教育1,:后勤物业人员防护指南！
