你很有意思哦,#接打电话恐惧症#是我本人了
概念爱好者,#美联储降息救市#【救市！美联储紧急宣布降息50个基点】美联储周二紧急宣布降息，将基准利率下调50个基点。美联储表示，降息的理由是因为病毒构成了不断变化的风险。联邦公开市场委员会（FOMC）表示，美国经济基本面仍然强劲。目前美联储基准基金利率的目标范围在1%-1.25%之间。美联储在2019年三度降低利率，总计75个基点。除了降低基准隔夜借贷利率外，美联储还宣布将IOER降低50基点至1.1%。http://t.cn/A67pc3NI
lingbaby89,:不要想太多，做好自己，照顾好家人，爸妈，哎，别人的生活只能说多帮忙吧，哎，希望自己不要想太多金华·永康
假装是个欧洲人,:从早起喷的冥府之路到午后看完的书和电影再到晚上穿好最爱的睡衣，做好护肤躺在软软的大床这每一件事都让我觉得今天没白过
恋上星星DL,:#每日一善[超话]#[微风]#阳光信用#存好心说好话行好事做好人
孤风残卷,:即使只是假装的，你也必须一直坚持下去。因为你曾经的坚强会...为什么一定要说别人是买的热搜你们怎么就知道别人一定是买的你是否做好了承受一切的准备。#宋慧乔宋仲基离婚##宋慧乔方回应离婚#因为一旦你选择了坚强
击杀本体,#🐶#小心别乱剪哦PuppiesEmergency的微博视频
贫困追星用户,:#华南海鲜市场开始消杀工作#工作人员注意安全呀，保护好自己
擑狗,:最近发现真的是什么样的人都有人不喜欢，甚至可能是那种来势汹汹的带有伤害的不喜欢。所以我们每个人能做的就是做好自己，剩下的部分随便吧。喜欢的人会继续喜欢，讨厌的人过两年就忘了也说不一定，不必放在心上。
举头三尺有猪猪女孩,:突然产生了一种不婚的想法，不谈恋爱不结婚不生孩子，每天嘻嘻哈哈做自己想做的，家人朋友都在身边，省下来的钱搞搞医美旅个游，买各种厨房用品做好多吃的，想想就很美好，这不比恋爱结婚香吗？
哈密发布,:#哈密防控工作##战胜疫情，新疆在行动#疫情防控期间，居民们都非常配合地减少出门，自觉为疫情防控贡献着力量。于是，为居民做好各种生活保障和服务就成为对他们的最好回馈。我们发动起社区党员、联户长、干部和志愿者，承担起给居民送医、送药、送菜等任务。
捧一束野草,:愿在济南的每一天#济南[超话]##济南##滨州#都是为了更好的明天做好铺垫不辜负命运的馈赠济南·济南奥林匹克体育中心
爱吃爱笑的陈晓兔,:#居家隔离Day10#✌🏻️关机，下班！只拿到底薪！事事摸着石头过河，操着我这个工资水平不该操的心，承担着我当前工作资历不该有的工作压力，对接着根本不想搭理我这个虾米职级的大佬们，不知道该笑
刃下心葉,:一个人的时候才能无赖得肆无忌惮然后把每一件事都做好
Dreamer77t,要是点赞单数今天就不吃螺蛳粉，点赞双数今天吃两碗螺蛳粉。#为了吃螺蛳粉有多拼#
一勺儿草莓酱_,#肖战#不矜不伐礼貌待人即为肖战品格他依然是肖战Bozdoi-的微博视频
龙泉驿职工之家,:【重启倒计时】现在火锅店也在为复工做准备，员工体检，店内做好消毒防疫，只开放一半座位，顾客要登记测体温，隔桌就餐，每桌四人以下，不排队等候，避免聚集。有人说，有了火锅四川才有灵魂，等疫情结束，四川火锅协会请客，战疫一线的医务人员免费吃一年火锅。因为你们，四川火锅依旧沸腾。http://t.cn/A67XdpzO
西安网络广播电视台,:【#夺取双胜利西安在行动#聚焦“四个100%”目标我市全力保障复工复产】有序全面推动重点项目建设和企业复工复产，是对冲疫情影响的当务之急，是夺取“双胜利”的关键举措，事关西安“三个年”任务落实和全年经济社会发展目标实现。全市上下将紧盯这一目标，为企业项目复工创造条件，做好各项政策支持与保障服务，全力打赢疫情攻坚战。#战疫情西安在行动#http://t.cn/A67NcB7f
Jiminbaby寶貝,:#此生挚爱乔任梁[超话]#@乔任梁此生挚爱的你，任梁白色的天使可以与你做好朋友我们永远都是爱你的，一起去守护着你希望粉红天使过得开开心心的了！！！香港特区·景林邨
卓Bobo,#抗击冠病进行时#这话也就张文宏敢说，仗着最近人气高，要是我说早就被骂死了。他的话说的也非常重，新冠肺炎死亡率是3.66%左右，但是基数只有目前的八万人，估计最终不会超过十万。也就是总死亡人数3500应该打住了。而人口死亡率的基数是什么概念？那是十四亿！十四亿的3.66%是多少？那是五千万！还超过！他说的没错，到了现在这个阶段（反复强调前提为现在这个阶段），除湖北外的绝大部分地区，人们的过度恐慌和过度防疫，以及医院门诊停诊手术停滞等等等等，这些对全民造成的健康危害难以估量，是新冠肺炎危害的千倍万倍。～～这话是张文宏说的，大家要骂骂他去。理记只是附议。
皇妃妃uibe,:#肖战#最近几天好搞笑，想到这样的黑点也是不容易，支持我战哥，希望你不要被影响到，做好自己
趴趴菜花儿,ins看到我先跪下
山外青山---,:《关于基层医疗卫生机构在新冠肺炎疫情防控中分类精准做好工作的通知》及解读http://t.cn/A67NR3Fz
林丽鸿律师,:#居家办公小建议#提高办公效率，我的方法：1、计划表。提前一天做好次日作息计划表。2、时间管理表。分类、分级、排序，将工作任务分清轻重缓急再执行。3、擅长沟通。归纳要点，编个序号，文字表述。以上小建议，但愿对你们有所启发～林丽鸿律师的微博视频
知足即是幸福lotus,:与其羡慕别人，不如做好自己。无聊的攀比，笨拙的效仿，只会带来烦恼。看到自己的优势，补足自己的劣势，找到合适的位置，然后昂首阔步走自己的路，你会发现，做好自己远胜一切比较与羡慕。请相信自己！
北纬_23N,:看了东京奥运会启用的动态图标，再次感叹日本的设计水平。明明是平面的图标，动画伴随着视角变化，清晰展现各个运动的形态及标志。期待日本能好好做好防疫，期待2020Tokyo
教祖如此多娇,:#肖战#你们的阳光在资本的带领下终将到来，我们的阳光永远落幕。我铭记于心，带给我们的伤害我将永远放在心里。即使我一个人做不了什么，但我还要做。生命不息，创作不止。文学不是孤岛。如果从一开始，你们做好了，就不会有这些事了，我们，为什么会出现在这里？
北极象,世界上许多人需要的其实不是实用的忠告，而是充满暖意的附和。——村上春树
小鲨鱼信箱,:养个狗狗叫霹雳，生个宝宝交贝贝。让霹雳贝贝一起长大，做好朋友，霹雳会保护贝贝的。
小棒和小馒头的小生活,:每天都被工作压的上不来气，能不能下班不要总找我，不要每个部门都压给我们，今天推送没做好被批了，上火了大概20秒，然后就脸皮厚了，因为太细又太多，上不过来火。明天值班，要早起。
贤妻来劲弹道,:相由心生。折磨自己，有两个幸运的犯人因此而死里逃生……那么先把当前手上的小事做好。如果你想做一件大事：境随心转……第三个犯人勇敢地。坚持头向上受刑。心随境转是凡夫。常州·景潭花园
熊孩子JYN,:不要催我哇
激昂的虎莹华_,:做好自己：不必想太多：生活也许需要糊涂连云港·万千蛋糕
红河日报,:【“中国必胜，武汉加油”　留学生创作建水紫陶作品表达祝福】今年1月，来自云南大学的柬埔寨留学生梁正义和其他4名同学在导师的带领下，来到建水教学基地准备自己的毕业设计作品。受到新冠肺炎疫情的影响，他们选择留守建水，在做好自我防护的同时，专注于建水紫陶的工艺学习和设计创作。新冠肺炎疫情发生后，梁正义拿出一部分生活费捐赠给了湖北，为抗击疫情助力。与此同时，他还和同学们一起开始创作以中柬友谊和抗击疫情为主题的紫陶作品。近日，记者走进教学基地，看到梁正义设计创作的紫陶作品已经初步成型，上面雕刻着“中国必胜，武汉加油”“中柬友谊万古长青”的中文字样，旁边刻有柬埔寨传统纹样。“很感谢有这个机会可以来到中国留学，希望可以通过融合着两国传统文化的紫陶作品，表达对中国早日战胜疫情的衷心祝福，同时也代表着中柬两国人民之间的友谊。”梁正义说，他非常喜欢建水紫陶，2016年就读于云南大学后，曾多次到建水县进行紫陶制作工艺的实践学习。在疫情结束之前，梁正义说自己会继续留在建水学习创作，用紫陶铭记这段难忘的时光。
麦eR-7,:🍓今日份总结早上7点半起来🕰️（可怜的新疆娃，天还没亮呢😭😭😭）🙇🏻♀️上午上了两节课，上完课就回去补觉😴醒来我爸已经做好饭啦是（昨天我们讨论决定以后家务轮流做，今天轮到我爸做饭，我妹洗碗）👻我爸做的是我喜欢的的炒面片😍下午没课，做了stata的作业，害，没有好好听课做了一下午才完成，决定以后一定要好好听课
喵呜林怼怼,:一个钟就缝了这一点...照这个速度的话.光是做好小花瓣就还得3个半钟...
星心Sunshine,:突然间时间走了，突然间年岁掰手指就可以数的过来，突然间到了需要做好一切准备的年纪。懵懵懂懂的时光一去不返，一切仿佛都是那么突然，有认知以来的第一次，悲伤一层一层的堆砌。
闵博艺乄农民,:让它成为永远不可代替的、我想这一个工作可能都足够我花一辈子的时间去做好它了，人就是这样……你不如一辈子去做好一件事！
R·Keayl,:#朱一龙2020爱你不停#🌈#朱一龙2020并肩前行#我不太去想它该怎么写这件事情，还是把当下的事做好吧。因为这太复杂了，我也想不明白，就把自己眼前能看到的事情做好。朱一龙5评蟹蟹@朱一龙
虽不能至8心向往之,:日子一天天过去感觉自己一天天也没做好什么事大理市
只是个爱吃甜的小孩,:#2020中国大学生好创意，为中国加油!武汉加油!#@全国大广赛组委会作者：谢凯恩学校：广东工商职业技术大学文案：在“抗战”的关键时刻，劝诫入们稍安勿躁，在当前可控的情况下，做好自身的管理，不要辜负了在前线的英雄们所做的努力，只要团结起来，希望就在眼前。
馋肖战身子,#华南海鲜市场开始消杀工作#希望病毒能彻底消除吧，但是消毒的工作人员一定一定要做好防护，先保护好自己。辛苦了！加油！
如意和小宇,8个不露脸的拍照姿势和技巧！
神奇小卖部在哪里,:#华南海鲜市场开始消杀工作#虽然也不一定是病毒发源地但市场里的卫生状况的确堪忧做好防护是必须的#怀疑钞票有病毒用微波炉加热#所以钞票有病毒吗哦对我没有钞票
XZ彤彤不在线,#肖战#xz#肖战为你开小灶#把平凡的事做好，就是不平凡;把简单的事做好，就是不简单，一切都会过去的。@X玖少年团肖战DAYTOY远归-百鬼夜行的微博视频
刀究势摄帘,:对待每一个人⒊以负责的心：接受已发生的事实⒐以放下的心、坚持正确的理念⒍以宽阔的心：检讨自己的错误⒌以不变的心！面对最难的割舍，做好份内的事⒋以谦虚的心！娄底·7天连锁酒店(娄底涟源人民广场汽车站店)
因为有你更努力,:我带上你，你带上行李
乌鱼饭不加乌鱼,红与不红，都是正常，得到失去，正负守恒。这个圈子的被动比较已经太多，人应该为自己而活。#吴亦凡语录#——吴亦凡16年10月GQ杂志采访
_兔子软糖_,:爱怎么怎么吧，做好自己，别去执法别人了，随便吧
居居家的落雨,#朱一龙[超话]#聪明的小老包肯定都知道怎么做[佐伊卖萌]
金博瑞小金,:#职场有话说#让你做没做过的事，做好了加工资，那叫培养；别人不做的事都想到让你做，那叫打杂。#职场是个技术活#@微博职场
马天宇投票组_竹心1022,#全民洗手舞#@腾讯微视@腾讯视频一起“手”护健康，科学洗手防疫哦～，你们的爱豆来啦@袁姗姗@馬天宇@THEO-朱正廷@刘芮麟Wayne@黄圣依@胡兵@鲍春来@孙耀琦，这阵容也太可了吧~快和爱豆们学起来！
冰凌幻斬,:我一个路人都要被逼成粉了，为啥骂肖战的人像蟑螂一样呢？粉丝行为偶像买单是谁说的屁话呢？做好自己都不够了，还要管好他人。好了，一个明星只要出了一点事情，立刻会被扒到八百年前的发言，你说了谁的坏话？你特么没说过别人？最后还能上升到政治高度了？你要真行谁墙找谁啊？墙也有它的道理。同人文本来就走在违法的灰色地带，自己不会取名字吗，非要用别人的，yy你咋不用你自己名字呢？
TheMidnight_9999,:什么是“做好心理准备”？
晓雨的夏天,:把眼前的事情做好，就行！这学期目标：1.理论考试A；2.考核优秀！
平安洛宁,:【出门买买买，该如何做好防护
Sarahlinde,:生活的压力承担下来，咬咬牙，撑过去就好了，相信自己总能处理好所有的事情。以前觉得有些人半工半读是怎么做到的，现在发现自己就是当事人，原来自己也可以，虽然很辛苦，但是总会好起来的！！！！明天早起写地理小短文吧。要每天都开心呀，调整好心态，才能做好手边的事情。还有，生日快乐啊～
小仙女的蜜桃,:无论在哪里，工作都要做好，让老板满意。
一棵无花树,:那会儿和老公一起哄孩子睡觉，聊着聊着就开始聊小的时候，田间地头抓虫子、爬树，有一阵子流行捡废品，我们就几个小伙伴串游大半个村子，捡个半麻袋提溜着去废品收购站卖几毛钱，也能高兴老半天。饭做好了，家里边就在门口喊一嗓子：吃饭了。那时候虽然穷，但是快乐啊，这是独属于80年代小孩的回忆……还有好多好多，怕自己忘记了，想起什么就写点什么
微语个旧,:截至3月3日12时，个旧市无新增新冠肺炎确诊病例。低风险不代表没有风险，请大家继续做好个人防护，少出门，不聚会，国外、省外来（返）人员到达个旧后，必须在1小时内主动如实向所在社区（村）报备，扫描“外出返个市民健康申报表”二维码申报个人健康状况。如果有问题需要反映，请拨打电话：24小时值班电话：个旧市指挥部：2122585个旧市疾控中心：2124409工作时间值班电话：个旧市卫健局疾控科：2123596个旧市卫健局医政科：2124285个旧市委市政府应对新冠肺炎疫情工作领导小组指挥部2020年3月3日
这个号又改名了,:我发现什么都不如，我把自己所有的事安排的妥妥贴贴，更让我快乐。布置一个新家，做好午饭饭盒，处理好工作，完成业绩指标，团队不出问题，稳定可观的现金流，有心思就撩两句，烦了就撂开，这就是我认为的妥妥贴贴。
柒盏門,:越在乎的人，越放不下，越想做好的事，越做越糟糕。很想放手不管，索性自私，却被身上责任压住束缚。生活总会给予各种无奈，日子还长，且先学着接纳并消化，莫生气莫生气。
J金婷婷J,:#博君一肖[超话]#又是闭麦的一天神清气爽看见了也当看不见知道了就好了完全影响不到我[哈哈]那些人不住要去说两句的是太空了吗？没必要去道歉和解释你又有什么立场去为谁求情和道歉？不要评论不要私信做好自己圈地自萌
清风樱梦,-与其在意别人的背弃和不善，不如经营自己的尊严和美好。
丶阿牙牙牙牙,:最近发现自己想剪些什么或者想写些什么都是很碎片化的很零散的东西。今天本来想做点什么的，但搞到现在又没能做好
被窝兽躲在被窝里不出来,日本任天堂官方商店宣布，原定于3月7日开始预订的《集合啦！动物森友会》特别设计版NS，将在MyNintendoStore停止预售，商品将优先供应给经销商。（很多人不懂什么意思，简单的说就是，因为产能不够，所以官方不卖了，因为要供货给经销商——线下实体店、日亚等，所以想要预购就只能去这些店铺购买了）而MyNintendoStore销售的NintendoSwitch底座、Joy-Con手柄、包装箱等单品，会按计划销售。官方提醒：发售日当天的出货量是有限的。
浩蕾媳妇儿,:我翻了翻我手机📱里或者爱派里的照片我婚姻十几年，过去的近十年我都是很瘦的所以，我焦虑什么！每个人不都应该接受每个时间段的自己么年龄越大，代谢也就越慢！在加上我这么爱吃零食，甜食怎么会不胖起来呢？加油！做好每个阶段的自己！#爱自己🌸🌸🌸🌸#今日贴纸打卡##全国美食挑战赛##
大爱尼克Klaus,:肖战，真的是人红是非多，不过我想说，粉丝也太不理智了，毕竟是别人的生活，是不是管太多，做好自己不好吗，好好过自己的生活，它不香吗？整天活在自己营造的和明星的互动中，可怕。西安·恒大绿洲
天长市人民政府发布,:一手抓疫情防控一手抓税收服务当前，面对疫情防控严峻形势和企业陆续复工复产实际情况，天长市税务局按照上级统一部署，充分发挥税收职能，主动作为，积极发挥税收职能，统筹做好疫情防控和税收服务工作，支持企业复工复产，做到“两手抓”，“两手硬”。一手抓疫情防控一手抓税收服务
蔡建军AIWAYS,:今天和用户端的四位副总一同拜访了上海的合作伙伴，并给大家送上了口罩和消毒液等防疫物品，希望各位合作伙伴在疫情期间抓好日常工作的同时，更要做好自身防护。大家共克难关，为疫情过后的市场复苏和反弹做好准备！
半个秋-,:#肖战#
一点通讯,:#全球疫情##新型冠状病毒#【北京：#自疫情严重国家入京人员均需隔离#14天】北京市政府副秘书长陈蓓：凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，①如果中转到外地，严格按当地规定做好防疫工作；②如果目的地是北京，不论中国人还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天。在北京无固定居所的，安排在指定宾馆集中医学观察14天。
滨州卫生健康,【办公场所公共场所技术方案】#新型冠状病毒##抗击新型肺炎我们在行动##办公场所如何做好防控#
湖北日报,:#湖北发布会#【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】3月3日，在湖北举行的新闻发布会上，湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者；#疫情增量风险仍未根本控制#；疫情防控在老旧社区、特殊场所还有薄弱环节…（人民日报）http://t.cn/A67NvF2i
星白Hoshijiro,【#从韩意日伊朗等入境北京需隔离14天#】3月3日，在北京市新冠疫情防控工作新闻发布会上，北京市政府副秘书长陈蓓表示，近期新冠肺炎疫情在海外呈现扩散态势，部分国家疫情发展很快，形势还是很严峻。一些海外留学生、务工人员回国意愿比较强烈。近几天，仅在伊朗的中国留学生从北京口岸回国的就有20余人。北京作为全国最重要的入境口岸之一，防范疫情输入风险的压力很大。这几天，首都严格进京管理联防联控协调机制紧锣密鼓地研究应对方案，加强力量统筹，开展工作调度，应对境外疫情风险输入的工作全面有序铺开。我们主要做了这几个方面的工作：第一，建立了口岸联防联控机制，组织民航局、海关、公安、卫健、外事、边检、机场等部门联勤联动，统筹做好信息通报、身份登记、健康监测、应急处理等工作。第二，加强信息获知，通过驻外使领馆，提前了解伊朗等疫情严重国家留学生、务工人员的回国意愿，以便有针对性地提前做好工作预案。第三，依据《中华人民共和国国境检疫法》等法律法规，全面加强入境检验检疫工作。严格落实入境人员《健康申报卡》填报，实现全员、全项、电子化、可共享。第四，严格落实隔离观察措施。此前，我们对于过去14天内未在中华人民共和国境内停留，经北京口岸入境的人员，免除居家观察14天的要求。现在，根据境外疫情变化我们要对前期政策作出调整，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天；对外交人员，体温检测合格的，按照有关外交人员管理办法执行。第五，对到达北京的航班加强始发地健康安全提示，提醒乘机人员、乘务人员，全程佩戴口罩，加大途中体温检测频次。如果在途中出现体温异常情况的，开启相对独立的空间，保证相对隔离。（人民日报记者魏薇）
孙大王大王,:每一天都要做好自己，
雄安发布,:【河北省爱卫办：实施分区分级差异化防控策略深入持久开展爱国卫生运动】3月2日，河北省爱卫办下发了《关于深入开展爱国卫生运动继续做好新冠肺炎疫情防控工作的通知》，明确提出，各地要紧密结合当地疫情形势，实施分区分级差异化防控策略，采取网格化管理、包片包干、分区域分时段推进等方式，继续广泛动员各部门、各单位和广大人民群众深入持久开展爱国卫生运动，扎实推进环境卫生整治、病媒生物防制和科普宣传等工作，为早日全面战胜疫情营造良好环境。
蕃茄土豆小白白,:最近让朋友给我开导很听得进去的一句话是不要管别人了做好自己的宝藏女孩儿我要做一个宝藏女孩儿！
十二女-,【跟我一起来看看录课室的一天】认真做事，努力追逐。酸甜苦辣终会汇聚成通向未来的路。送给每一个正在努力的你[加油]#你一定要考上研##教育在行动##考研政治徐涛[超话]#考研政治徐涛的微博视频
西客风--哥的钢相声,:这些东西和原油都是按我基本分析逻辑来的，就是螺卷反反弹幅度有些多了且正巧在周一美国老头放风和美储放风降50点这种情况不在预测，包括这么快今天晚上直接降下来了，因此有些意外的东西不能预期也很正常，做好即时应对就可。看以下消息，都在预计中吧【现货黄金上破1630美元，现货白银涨超3%】现货黄金涨2.4%，上破1630美元/盎司关口，现货白银涨3%，现报17.21美元/盎司。
EpuRper_WeI,:#剧版三生三世枕上书[超话]#好难过，本来做好了一个工作，想着可以安心等枕上书了，结果。。。。。。。我恨。。。。。。。领导为什么只负责下命令，你以为年轻人什么都会吗
Yoo-Boong,中国女孩要结婚，最重要的嫁一个正直，善良，爱你，对你好的男人。他最好有理想，有能力，有积极生活的勇气和斗志。他是哪国人，皮肤是黄的，黑的还是白的都没关系。真正心疼你的娘家人，重点永远是两条：这是一个好人，这个人对你好。
