瀚晪,:我的抑郁症状表现为打开冰箱要发呆五秒钟
东营凡事,:#东营爆料#【最新通知！东营外来人员管理最新政策】3月2日东营发布《关于进一步规范外来人员管理的通知》。一、人员管理政策(一)市外省内来人管理。来自低风险地区人员，持有健康证明(山东省复工复学人员健康通行卡或电子健康通行卡/东营健康码，下同)，无发热(≥37.3C).乏力、干咳等症状者，可正常出行和复工。来自中风险地区人员，持有健康证明，在无发热(≥37.3C).乏力、干咳等症状基础上，再重点观察7天，做好每日健康跟踪管理，身体健康无异常的，可正常出行和复工。(二)省外来人管理。来自低风险地区人员，持有健康证明(出发地健康证明/山东省复工复学人员健康通行卡或电子健康通行卡/东营健康码，下同)，在无发热(≥37.3C).乏力、干咳等症状基础上，再重点观察7天，做好每日健康跟踪管理，身体健康无异常的，可正常出行和复工。对通过客运包车、定制化运输等方式，“点对点”“家到厂”到我市务工的省外低风险地区员工、农民工等群体，须填写经当地社区(村)盖章证明的健康通行卡并测温合格后上车，到岗后再进行体温检测，合格者不再进行隔离观察。.来自中风险地区人员，持有健康证明，在无发热(≥37.3C).乏力、干咳等症状基础上，再隔离观察14天，做好每日健康跟踪管理，身体健康无异常的，可正常出行和复工。来自高风险地区人员，严控进入我市。来自省外中风险以上地区人员进入我市后，原则上进行核酸检测加以甄别。二、有关工作要求(一)各级各类企事业单位要严格履行疫情管理主体责任，在属地疫情处置指挥部的指导下，按照相关行业疫情防控工作规范和技术方案的要求，把各项疫情防控措施落实落细。(二)外来人员进入我市后，纳入网格化管理，由企事业单位或社区(村)做好“两测温两报告”等随访服务。(三)市指挥部办公室专家组要科学分析研判各地疫情风险，及时公布各地疫情风险等级，各级各类企事业单位、社区(村)根据疫情风险等级分布，及时对人员管理政策进行调整。(四)各级各类企事业单位、社区(村)要根据相关疫情应急处置预案，搞好实战演练，确保一旦发生疫情能够科学处置、快速应对。(五)各级各类企事业单位、社区(村)发现发热(≥37.3C).乏力、干咳等症状者，要立即拨打120，就近转运到8家定点医院发热门诊就诊，分别按相关疫情应急处置预案应对处置。
是小琳同学的微博,:每上完一节课都要小心翼翼的起来小心翼翼地伸个懒腰“嘎嘣”一声生怕一不小心给腰闪到了...爸爸告诉我这都是他三十岁以后才出现的症状...而我现在虚岁还不到20...
北京乳腺科杨大夫,:#爱问诊室#【想问一下医生，这种会是乳腺癌的症状吗，我需要做什么检查】今天发现乳头疼痛，自检发现乳头下端有脓肿，里面有白色的物质，自行挑破引流有类似痤疮样的液体流出呈乳白...作为医生我的建议是：想问一下医生，这种会是乳腺癌的症状吗，我需要做什么检查
生活健康的小诀窍,:#健康#母乳喂养宝宝还需要喂水吗？医生：出现这个症状，就要考虑增加营养了！生活健康的小诀窍的微博视频
霾星人,:#知己知鼻#【#每10人就有1到3人患过敏性鼻炎#】进入3月，天气冷暖交替，抵抗力弱的人给了鼻炎下手的机会。鼻炎和感冒症状相似，有人会错将鼻炎当感冒，吃了感冒药却未见好转，反复发作成为慢性鼻炎。当你连续打了几个喷嚏的时候，就要警惕了！提早做预防，护鼻没商量～#防护鼻罩#
昌邑检察,:【湖北#黄石两村民发热打牌致多人感染#与村支书同被立案】日前，湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。其中一人在出现发热等症状后，恶意隐瞒，聚集村民购物、打牌、垂钓，致多人被感染。因玩忽职守，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，被罢免村委会主任职务。目前，警方已对3人立案侦查。@湖北日报（来源：检察日报）
小丞专属奶黄包,:#罗马教皇新冠病毒检测呈阴性#一次不靠谱，得多测几次
就是酸奶你扣_,:Question今天我立志两套周六野，中途休息二十秒狂吞了一大杯水加俩大辣片。结果有了通宵完的头晕想吐困的症状，是水的问题吗？有没有躺着运动的选择？
广东12320,:#疫情防控#【复工后，个人防护不能忘】工作期间要注意个人防护，在岗期间要规范佩戴口罩，口罩在变形、弄湿、弄脏后防护性能下降，应及时更换。同时要注意手卫生，平常用洗手液和流水洗手，每天测量体温。如果出现发热、咳嗽、呼吸困难、腹泻、呕吐等症状，应立即停止工作，及时就医。（via中国疾病预防控制中心）
北京泽元堂挂号专员张秀文,:植物神经紊乱的危害危害一：身体不适。患有植物神经紊乱的患者会出现失眠的症状，因为晚上不能睡好觉，导致白天没有心思上班工作，身心很疲劳。还有一些患者会出现腰膝酸痛，腹胀腹痛等身体不舒服的感觉。危害二：情绪不好。因为长时间受植物神经紊乱的影响，患者会出现焦虑，紧张等情绪，发现自己得的这个病以后，就会很着急，出现病急乱投医的不良现象，导致后来浪费了很多金钱还没有得到好的治疗，这给患者带来了很大的打击。危害三：影响家庭和睦。植物神经紊乱不仅仅给患者自身带来了影响，还给自己的家庭带来很大的麻烦，由于疾病的多次检查，结果都是查不出什么，病情一拖再拖，导致后来病情越来越严重，陷入了一种恶性循环，让家里人一起担忧着急，并且还得照顾他。危害四：身体器官异常。植物神经紊乱会影响人体的消化系统和泌尿系统，会让患者出现食欲不佳，不想吃饭，严重者还会恶心想吐等。
金伊恩,#健身[超话]##健康##减肥##健身#高强度间歇性训练（3）提升肌肉质量，减肥，抗衰老，维护心脏健康…，HIIT的好处太多了~金伊恩的微博视频
浙江在线,:#严防严控新冠肺炎#【44名痊愈者26人复阳专家建议出院标准要严上海要查肛拭子】上海市公共卫生临床中心党委书记卢洪洲教授向《中国新闻周刊》介绍说，上海的患者在出院时，不仅要符合肺部渗出性病变明显吸收、临床症状改善和咽拭子病毒核酸检测阴性的标准，还要求出院患者的肛拭子（粪便）核酸检测为阴性。他表示，由于上海的出院标准较《诊疗方案》更加严格，到目前为止，上海出院患者未出现一例核酸转阳。via中国新闻周刊http://t.cn/A67Nyr5M
上海城事资讯,:【哪些情况要观察隔离？哪些必须集中隔离？】#上海全力防控新型冠状病毒肺炎##荆申抖擞携手战疫#重点地区来沪返沪人员，必须严格实行为期14天的隔离观察，一律不得外出。出现发热症状的，按规定立即就诊排查。密切接触者，即与“疑似病例、确诊病例、轻症病例、检测呈阳性的无症状感染者”有密切接触情形的人员，必须实施集中隔离观察。同时，对来沪返沪的特殊行业从业人员，如从事教育、托育、医务、家政、护理职业的，以及劳动密集型企业等的从业人员，实施更为严格的管理措施。http://t.cn/A67C9cvO
