青梅Zl,我们的同事：逝者刘章西:新闻老兵创中国名专栏🙏🙏🙏
刘俊9527,:这次疫情。是充分救治下的死亡率，估算不到1%。病情延误但是还能入院的患者，能得到救治下的死亡率，这个数字大概是4%。
科普中国,:#战疫有我#【护士制作超萌《新冠护患沟通手册》】ICU里边都是危重患者，有些甚至没法通过语音沟通。火神山医院重症医学一科护士长陈静专门针对沟通困难的患者，制作了一本《新冠护患沟通手册》。有了这本小图册，护士与重症患者沟通方便一些，也提高了救治护理效率。人民日报海外版-海外网的微博视频
佛山本地资讯,:#钟南山李兰娟等10个院士团队齐聚湖北##佛山抗疫在行动#【江苏治愈出院老大爷感谢佛山援鄂医疗队】“你们不远千里来，不顾生命危险来救治我们，很感谢大家！”3月2日上午，佛山援鄂医疗队救治的江苏南京鼓楼医院医疗队员的亲属出院了，出院时，老人家对佛山医疗队连连表示感谢。http://t.cn/A67NYbVR
生活报,:#我为黑龙江医疗队打call#【黑龙江省支援孝感汉川医疗队重症治疗团队多学科连环操作一危重患者转危为安】黑龙江省支援湖北孝感医疗队汉川分队支援的汉川市人民医院重症病区，由黑龙江省医院医疗队伍担当重任，负责汉川市重症危重症新冠肺炎患者救治工作。3日，经过前段时间多学科协同作战，实施插管、消化道止血、吸痰等多项医疗操作，提供个性化护理方案，紧盯患者病程，一名危重症患者转危为安。链接:http://t.cn/A67NEi2l
动手动脚的老李,:1.擅长手腕足踝跟部常见病、多发病及创伤救治。2.各种创伤危重症救治。3.苏州市手外科学会周围神经学组委员。4.苏州糖尿病足联盟委员。
丨如是丨,#抗击冠病进行时#这话也就张文宏敢说，仗着最近人气高，要是我说早就被骂死了。他的话说的也非常重，新冠肺炎死亡率是3.66%左右，但是基数只有目前的八万人，估计最终不会超过十万。也就是总死亡人数3500应该打住了。而人口死亡率的基数是什么概念？那是十四亿！十四亿的3.66%是多少？那是五千万！还超过！他说的没错，到了现在这个阶段（反复强调前提为现在这个阶段），除湖北外的绝大部分地区，人们的过度恐慌和过度防疫，以及医院门诊停诊手术停滞等等等等，这些对全民造成的健康危害难以估量，是新冠肺炎危害的千倍万倍。～～这话是张文宏说的，大家要骂骂他去。理记只是附议。
幸福绵竹,:【“有我们在，武汉的春天必将到来”】“最近，汉阳方舱医院的空床越来越多，心里有一种莫名的高兴和激动。我们期盼已久的曙光终于要出现了，武汉的春天真的来了！”进驻武汉汉阳方舱医院已有半个多月时间，目前，绵竹医疗队的救治工作正有条不紊地进行着。【焦点】“有我们在，武汉的春天必将到来”
大众网德州,:【德州9名援省胸科医院医护人员圆满完成支援救治任务】3月3日下午，一条喜讯传回德州，德州市援省胸科医院的9名医护人员圆满完成支援救治任务，傍晚从济南出发，返回原单位。凯旋归来！德州9名援省胸科医院医护人员圆满完成支援救治任务
唐山鱼不,#武汉我们在一起##武汉抗疫防线#【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，在中央组的协调下，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈巍、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。（人民日报）
中国吉林网,:【ICU护士实拍！记录#新冠肺炎危重患者救治过程#：#9名医护为插满管患者翻身#】广东东莞市人民医院ICU护士韩淑芬，用视频记录疫情期间在重症病房的工作。她记录了救治新冠肺炎危重症患者的过程：9名身穿严密防护服的医护为患者进行俯卧位通气治疗，有人抱头，有人抱身，有人抱脚，一起用力将插满管子的患者从仰卧转为俯卧。@一手Videohttp://t.cn/A67oWZ3v
各界新闻网官微,:【李兰娟院士与我省定点医院展开远程会诊全力救治新冠肺炎危重患者】#李兰娟院士“点赞”陕西省援助湖北医疗队#随着我省疫情防控形势的不断好转，我省各定点医院进一步加强了重症、危重症患者救治工作，积极与中国工程院院士、国家卫健委高级别专家组成员李兰娟等权威专家展开远程会诊，全力救治危重症患者。（记者：刘康袁渺鑫高维佳）#我为陕西医疗队打call#http://t.cn/A67N8msL
山雨的地盘,【纽约州长：新冠肺炎病例80%都能自愈没必要去医院
兰州晚报,:【争分夺秒！七里河交警紧急护送伤者就医】3月3日，一辆从临夏来兰的苏M小轿车到七里河辖区塑料厂卡口点求助，称车上有急救病人需送医院救治，在了解病人情况后，七里河大队民警立即上报指挥中心，并驾驶警车拉响警笛，护送求助车辆前往医院，为其开辟生命通道。一路上，民警利用喊话器提醒沿途车辆“车上有伤者，请前方车辆靠边行驶……”，同时在大队指挥中心的协助下规划出最佳行驶路线，仅用时6分钟就将伤者送至兰州市手足外科医院，为抢救伤者赢得了宝贵的时间。兰州日报社全媒体记者苏晓http://t.cn/A67N88JR
天津广播,:【天津市发热门诊地址、电话和候诊信息定时播报】全市发热门诊24小时服务，一旦有发热症状，请立即选择就近发热门诊，只到一个医院，尽量少接触人，实现短流程测温、检查、化验、确诊，快速集中运转救治。3月3日20时，全市发热门诊候诊信息播报（从6时起，每2小时一次）：　　1.泰达医院候诊1人　　2.第五中心医院候诊2人　　3.医科大学总医院滨海医院候诊2人　　4.滨海新区大港医院候诊0人　　5.海滨人民医院候诊0人　　6.医科大学中新生态城医院候诊1人　　7.医科大学总医院候诊1人　　8.中国人民解放军联勤保障部队第983医院（和平院区）候诊0人　　9.医科大学第二医院候诊0人　　10.市天津医院候诊0人　　11.市儿童医院（马场院区）候诊0人　　12.市中西医结合医院候诊1人　　13.市第一中心医院候诊0人　　14.市第二人民医院候诊0人　　15.联勤保障部队天津疗养中心候诊0人　　16.黄河医院候诊0人　　17.南开区三潭医院候诊0人　　18.南开区王顶堤医院候诊0人　　19.南开区中医医院候诊0人　　20.市第三中心医院候诊2人　　21.中医药大学第二附属医院候诊0人　　22.市第四中心医院候诊0人　　23.市第三中心医院分院候诊0人　　24.中国人民解放军联勤保障部队第983医院候诊0人　　25.第一医院候诊0人　　26.市人民医院候诊0人　　27.红桥医院候诊0人　　28.武警特色医学中心候诊1人　　29.医科大学总医院空港医院候诊1人　　30.东丽区东丽医院候诊0人　　31.中医药大学第一附属医院候诊0人　　32.西青医院候诊0人　　33.市海河医院（暂停服务）　　34.津南区小站医院候诊0人　　35.津南医院候诊0人　　36.市儿童医院（龙岩院区）候诊0人　　37.北辰区中医医院候诊0人　　38.北辰医院候诊0人　　39.武清区中医医院候诊0人　　40.武清区人民医院候诊0人　　41.武清区第二人民医院候诊2人　　42.宝坻区人民医院候诊0人　　43.宝坻区中医医院候诊0人　　44.宁河区医院候诊0人　　45.静海区医院候诊3人　　46.蓟州区人民医院候诊0人　　47.蓟州区中医医院候诊0人　　48.滨海新区中医医院候诊0人　　49.滨海新区塘沽传染病医院候诊0人　　50.市胸科医院候诊0人　　51.南开大学附属医院（市第四医院）候诊0人　　52.东丽区东丽医院第二发热门诊候诊0人　　53.河东区中医医院候诊0人　　54.天津港口医院候诊0人　　（共54家）
株洲晚报,:【3日，株洲又有1名新冠肺炎患者治愈出院】3月3日上午，在株洲市新冠肺炎定点集中隔离救治医院，经省市专家组会诊，又有1名患者达到新冠肺炎出院标准治愈出院。截至记者发稿时，我市新冠肺炎治愈出院人数增至70人。（朱卫健）
收学费吃火锅校长,:我们都很平凡，当我选择做医务工作，你选择做老师时，在我们心里早已是英雄。如你所说，不管是救死扶伤，还是教书育人，救治和教书都仅仅是我们本职工作，也是本能反应，但更高的是对慎独精神和职业素养的追求，更是对职业道德崇高自我要求。病人、学生、是我们人身的过客，我们可能是他们的转折点，也可能是重启点，愿我做个好护士，愿你做个好老师，晚安。（昨，深夜，你发来，我已入睡，白天反复读几遍，果然，深得我心，但，我还是编辑了一下，相信我们的心意是相通的，远方的友回）2020年3月2日——来自一直懂我的好友赠
钛媒体APP,:【伊朗将中国诊疗方案译成波斯语；钟南山团队建议严格防控实施至4月底丨抗疫政策汇总（3月3日）】钟南山院士团队：#若管控措施推迟5天实施疫情规模将扩大至3倍##伊朗将中国诊疗方案译成波斯语##财政部表示群众不会因费用延误救治##工信部鼓励对困难学生推出特惠流量包##入沪前14天有重点国家旅居史一律隔离##浙江8输入病例在意大利同一餐厅工作#详戳@钛媒体APP直击新冠病毒肺炎疫情专题→http://t.cn/A67N8b9S
天元公安,:#疫情当前警察不退#【“天使白”与“警察蓝”在这里成为一道靓丽的风景线】疫情在前，警察不退，这里是没有硝烟的战场，这里是白衣天使披荆斩棘的战场，这里是守护百姓平安的一道安全防线，同时，这里也是公安民警的战场，这里就是定点救治医院：株洲市中心医院。为确保疫情防控期间医院医疗秩序和医务人员安全，泰山路派出所成立中心医院安保工作小组，并研究部署工作方案、预案，全力积极开展相关工作。离医院越近，危险性越大，但在这所医院里除了奋战的医护人员外，还有这样一群最英勇的战士，无畏病毒的凶险，奋战前线，成为抗击疫情最坚实有力的排头兵，他们就是泰山路派出所的民、辅警们。
地产大婶,#抗击冠病进行时#张文宏这话说的非常重，新冠肺炎死亡率是3.66%左右，但是基数只有目前的八万人，估计最终不会超过十万。也就是总死亡人数3500应该打住了。而人口死亡率的基数是什么概念？那是十四亿！十四亿的3.66%是多少？那是五千万啊！还超过！～～他说的没错，到了现在这个阶段，人们的恐慌和过度防疫，以及医院门诊停诊手术停滞等等等等，这些对全民的危害难以估量。～～这话是张文宏说的，大家骂他去。理记只是附议。
盐阜大众报新媒体,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
一起练-英文,:国外一对夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程惨叫国外一对夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程惨叫
新时代新罗湖,:【暖！罗湖在全市率先设立“天使驿站”】疫情防控期间，罗湖区凡是参与疫情防控救治的医护人员均可持工作证到“天使驿站”登记入住、休息，截至3月2日，罗湖区“天使驿站”已累计入住医护人员1247人次。罗湖区“天使驿站”已经面向全区医护人员开放，并配有医护人员专用车往来接送。驿站大堂设有专门的休息区域，提供多种书籍、咖啡机、微波炉机等物品，客房内提供鲜花、感谢卡、果盘、零食、泡面、牛奶、八宝粥、中药防感香囊等物品，并附有一封对医护人员的感谢信。http://t.cn/A67NQxo5
内蒙古团委,:#战疫日志#【湖北外连续两日无死亡病例火神山医院访IT系统女“护法”】#关注新冠肺炎#31省份新增确诊125例，其中湖北外新增11例，湖北外连续两日无死亡病例。严密高效的信息管理系统是指导医院有序开展救治工作的“神经中枢”，火神山医院信息管理技术人员们为打赢这场抗“疫”IT战，正日以继夜地工作，一起跟随记者去看看他们的生活。@中新视频http://t.cn/A67CFm7u
野马财经,:【现代中药集团招股书的秘密：补肾壮阳赚钱，护心养脑更暴利？】面对新冠肺炎的各种具体症状，以清肺排毒汤为代表的各类处方药和中成药已写入国家卫健委发布的第六版诊疗方案。目前，在湖北省定点救治医院确诊新冠肺炎患者中，中医药使用率约九成。然而，早先引起广泛关注的“双黄连事件”后来被证明是乌龙，对于抗击肺炎，中药的实际治疗效果到底几何各方争议不断。不过，这并不妨碍资本市场对于中药概念公司关注度不断升温。http://t.cn/A67NH8DA
甜甜的智旻,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
北方法制报,:【财政部：#各级财政疫情防控资金超千亿#】国务院联防联控机制召开新闻发布会，财政部社会保障司司长符金陵介绍，截至3月2日，#各级财政安排防疫资金1087.5亿元#。现在看来，医疗费用的保障比较充足，人民群众不会因为医疗费用延误救治。人民日报的微博视频
北方法制报,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
哈尔滨发布,:#防控疫情我在一线#【又有多名新冠肺炎患者治愈出院】3月3日，黑龙江省新冠肺炎重症救治中心一名81岁男性重症患者治愈出院。哈尔滨市传染病院有5名新冠确诊病人治愈出院。此外，从2月29日至3月3日，省传染病防治院陆续有21名新冠肺炎患者经过治疗，符合出院标准，已转入医院医学观察隔离病区。
中国青年报,:#中西医结合治疗新冠肺炎#【新冠肺炎患者救治中医药大有可为】在国家卫健委发布的系列新冠肺炎治疗方案中，一直强调中西医结合。在甘肃中医药大学党委书记、中西医结合博士生导师李应东看来，“虽然中医也没有治疗新冠肺炎的经验，但在中国古代，瘟疫的发生是常有的事，古代医家在防治各种瘟疫的过程中，获得了很多经验及有效方剂。”李应东表示，中医治疗往往不是着眼于病，而是调动机体自身的抗病能力，因此，中医药在改善患者临床症状、减少并发症、提高生活质量等方面具有独到优势。2月15日，甘肃省卫生健康委下发通知，要求各市州推广使用《中医药防治新冠肺炎系列方》。目前，该方剂在甘肃已全面推广，同时，有万余付方剂已紧急调往武汉，参与疫情防治。http://t.cn/A67NHIQ0
周凡锋,:以专家第二意见、患教培训和医疗救助为肿瘤患儿争取最大救治机会我支持【儿童肿瘤治疗守护星】爱心捐赠，一起来吧！
向北而居ii,:#狗[超话]##狗#家里的狗不知道被谁喂药了，现在都吐血了。在村里，它能自己好吗
CCTV4,:预告！全球是否已经准备好应对更大的考验？中国的防控经验能否对遏制疫情全球蔓延发挥作用？《今日关注》特邀应急总医院首席专家、呼吸与危重症医学科主任王洪武和本台特约评论员苏晓晖做客演播室，与@鲁健深度访谈。节目还将连线雷神山医院院长王行环，介绍救治病患最新进展。驻外记者也将在直播中带来各国最新信息。CCTV4新媒体同步直播，21：30敬请收看！
有方居士2017,:《湖北省副省长：新冠肺炎患者增量风险仍未得到根本控制》湖北省人民政府副省长杨云彦介绍，湖北省新冠肺炎救治效果稳步提升，但疫情形势依然严峻复杂，还要继续采取最严格的防控措施。http://t.cn/A67NTfrI
九龙坡政务,#重庆市政府新闻发布会#【早识别、早筛查、早指导、早治疗，重庆全力做好医疗救治工作】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，在关口前移，加强早期干预方面，重庆做了以下几点：疑似病例早识别、可疑病例早筛查、市级专家早指导、关键环节早治疗。在多措并举，提升治疗效果方面，重庆强化多学科会诊，强化危重症患者救治，探索有效的救治手段，优化诊疗方案。此外，周林提醒市民，仍要做好自我健康管理和自我防护，要做到不聚集、戴口罩、勤洗手，如果出现发热、咳嗽、乏力等症状，请戴好口罩及时到发热门诊诊治。
行动在每一分钟,张文宏，复旦大学附属华山医院感染科主任，新一代网红，真正在一线医疗领域有技术有担当有见地的领军人物。在下面这段视频里，针对退休了十几年的老钟头今天又冒出来的到四月底才基本控制住新冠的奇谈怪论，张主任一开始稍微客气了一下，后面就直接开怼了——不复工带来的病人死亡，远比死于新冠的高！http://t.cn/A67L8xF2
化妆师__小静,:#国际泳联考虑将孙杨金牌罚给霍顿#孙杨当初夺金牌使劲夸，这会什么都是一摊浑水就开始跳脚骂孙杨，这群人就像是需要医生护士上前线救治病人，疫情过后还会各种医闹伤医，都是同一类人。未知全貌不予置评，这会就急着跳脚落尽下石大可不必
化妆师__小静,:#国际泳联考虑将孙杨金牌罚给霍顿#孙杨当初夺金牌使劲夸，这会什么都是一摊浑水就开始跳脚骂孙杨，这群人就像是需要医生护士上前线救治病人，疫情过后还会各种医闹伤医，都是同一类人。未知全貌不予置评，这会就急着跳脚落尽下石大可不必
久爱她i07813,【阿努霆：凡去过9个风险国家及地区的民众，全部无一例外自我隔离14天！】#泰国社会头条[超话]##全球疫情##泰国疫情##全球抗疫第一线##新冠肺炎疫情泰国消息更新#泰国头条新闻社讯据泰媒报道，3月3日泰国副总理兼卫生部长阿努霆在个人脸书上发文，并晒出卫生部通告文书。根据阿努霆发布的文件内容显示，卫生部已经将9个国家及地区定为传染疾病危险区，这9个国家及地区分别是日本、德国、韩国、中国（包括中国香港和澳门）、中国台湾、法国、新加坡、意大利和伊朗。此外阿努霆还在推文中称：“凡是去过上述九个国家及地区的民众全部毫无例外需要自我隔离14天！大家一起忍耐、抗争吧！”（编译：知否，来源：Khaosod新闻网）http://t.cn/A67Nxn1k
天际悸蔚蓝,:财政部：各级财政安排疫情防控资金1087.5亿元群众不会因费用延误救治
佛山发布,:#防控新型冠状病毒佛山在行动#【江苏治愈出院老大爷感谢佛山援鄂医疗队】“你们不远千里来，不顾生命危险来救治我们，很感谢大家！”3月2日上午，佛山援鄂医疗队救治的江苏南京鼓楼医院医疗队员的亲属出院了，出院时，老人家对佛山医疗队连连表示感谢。佛山发布的微博视频
此间的山羊,:#武汉将分批分步恢复正常医疗秩序#这是一个振奋人心的好消息，前期艰苦卓绝的抗疫终于取得了阶段性的胜利，医疗资源紧张的状况终于得到了缓解。此前武汉医疗的重心集中于新冠病毒，许多慢性病人、常见病人面临巨大的困难，如今他们终于有了得到救治的机会，必须为此而高兴。同时，也要对这些人的忍耐和牺牲给予尊重，抗疫的战场上，他们同样也是战士。
阿紫就是柒柒,#军队医护人员保持零感染#【致敬！#军队1万余名医护人员投入一线救治#】军委后勤保障部卫生局局长陈景元：从1月24日开始，军队先后派出3批共4000多名医护人员驰援武汉。目前，全军1万余名医护人员投入一线救治。全军定点收治医院和军队支援湖北医疗队累计收治新冠肺炎患者达4450例。已治愈出院1000例。同时，全军医护人员注重加强自身防护，目前保持零感染。（总台央视记者李雯婷）http://t.cn/A67X86cT
郝吉林,:最近没有李兰娟的消息了？希望媒体能采访到她，及时发布关于她和她们团队在救治方面的消息。我们知道，李兰娟在抗击疫情中也是一位举足轻重的人物。#武汉将分批分步恢复正常医疗秩序#
caocakh,今天看关于高龄老人治愈奇迹：90岁屈奶奶在病房里拍合照比心。92岁贺奶奶遗憾自己双目失明不能看见白衣天使。93岁华奶奶为护士画画表示感谢。97岁付奶奶出院为年轻人加油打气。98岁胡奶奶刷新全国最高痊愈者记录，硬挺出院。彭爷爷：这次是我住过最好的医院。
晚舟夜归来,#财政部表示群众不会因费用延误救治#经过我们医务人员多日的抗疫奋战后，取得了明显的效果，一系列的数据说明了抗疫工作已经取得了阶段性胜利。加油中国，加油武汉！
西南交大希望学院联合分团委,:#西南交通大学希望学院[超话]##立德树人，文化轨道#3月3日下午4点，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。[蕾伊][蕾伊][蕾伊]湖北省副省长杨云彦说，新冠肺炎医疗救治是疫情防控工作的重中之重。👈目前全省疫情快速上升势头得到遏制。👏👏👏👏
平阳鹤溪网首席执行官,:【灵溪街头：男子杀伤女子后自杀身亡】据平安苍南：3月2日14时57分许，接报警在灵溪磉河街有人员受伤。民警立即赶赴现场，经了解，系洪某（男，55岁，苍南人）因琐事与朱某（女，43岁，苍南人）发生纠纷并致该女子受伤（已送医救治，无生命危险），洪某当场自杀身亡，目前警方已介入调查。
第一时间,:【来自“红区”的温暖与感动：脏活累活抢着干护目镜上全是雾】武汉泰康同济医院是收治新冠肺炎患者的定点医院，救治病患的隔离病房被医护人员们称为“红区”。而每进出一次红区，医护人员都有各自的感受。解晓威是泰康同济医院感染十二科唯一的一名男护士，身高近1米8的他每次进红区，累活、脏话、力气活都抢着干。因为工作量大、穿戴密封和呼吸不畅等多种原因，不少医护人员在红区里都有一定程度的不适。在红区，从来没有哪个护士叫过苦，但大家都知道说不苦那是骗人的……http://t.cn/A67NjLTY
ZX医师,:又死掉一个眼科重量级专家！据了解，武汉中心目前亦有超过200名医院职工感染。据介绍，目前武汉市中心医院还有多名医护人员处于危重抢救之中，包括一名眼科医生之前在武汉协和医院西院抢救，3月2日又转入武汉同济医院中法院区救治。这次的灾难医务人员真的是付出了太多，特别是武汉，中心医院还有副院长王萍和几个主任插管了，还没有脱离危险，随时可能死掉。前期的疏忽，造成了惨重的牺牲，这个心理阴影该有多大？
蓝与星,在前网络时代，一个人挣扎求生，然后死去，最多是用文字的形式来加以描述，因为遥远公众感同身受的程度是有限的，更多激发的是自身危机感。到了网络时代，一个人挣扎求生，他会变得非常非常具体。他有具体的行为：上微博发“你好”两个字。他的行为有第三方补充注释：这是一位老人，自身染病，女儿已经身故，为了孙女就医，刚刚学会用微博，试图求助。他的动态一直可以追踪：几时收治，几时太太转阴，孙女无恙，几时自己进入ICU，病重，死讯。人死如灯灭，所不同的是他在网上留下了当初挣扎求生的痕迹，这就让人催心裂肺，肝肠寸断。
河南县域经济网,:【新冠肺炎防控工伤保险在护航】在新冠肺炎预防和救治工作中，医护及相关工作人员因履行工作职责，感染新冠肺炎或因感染新冠肺炎死亡的，应认定为工伤，依法享受工伤保险待遇。　　三门峡市人社部门为此开辟绿色通道，做到特事特办、随报随办、简化程序。事实清楚的，做到快速认定，立办立结。　　为更好的做好从事新冠肺炎防治的一线医护及基层工作人员的意外伤害保障工作，三门峡市委、市政府向三门峡人保财险公司购买了特定人员救助保险。凡在三门峡市辖区内从事新冠肺炎防治的一线医护及基层工作人员受到感染或意外伤害的，均可按照规定条款申请一定数额赔偿或补偿，保险时间为2020年2月8日零时起至2021年2月7日24时止。　　按照国家规定，即日起，各省、自治区、直辖市（除湖北省外）及新疆生产建设兵团可根据疫情影响情况和基金承受能力，免征中小微企业养老、工伤、失业三项社会保险单位缴费部分，免征期限不超过5个月；对大型企业等其他参保单位（不含机关事业单位）三项社会保险单位缴费部分可减半征收，减征期限不超过3个月。　　受疫情影响生产经营出现严重困难的企业，可申请缓缴社会保险费，缓缴期限原则上不超过6个月，缓缴期间免收滞纳金。　　该政策待河南省相关部门出台细则后即可实施。http://t.cn/A67CUsp0#河南##新浪看点#
号外合肥,:#合肥身边事#【清零了！合肥滨湖医院确诊患者全部出院】3月2日，安徽合肥，滨湖医院最后4名新冠肺炎确诊患者治愈并走出隔离病区。至此，该院收治的20名新冠肺炎确诊患者全部治愈出院，治愈率达100%，成为合肥市首个清零的定点救治医院。#合肥爆料#人民视频的秒拍视频
