有实话就说,【#韩国大邱一确诊者混入长队买口罩#，接受采访称：早上刚确诊
克里斯汀_甜心慈,【新冠病毒是否会随气温升高消失？专家：不可过度期待】韩联社电视台报道，人们寄希望于随着天气变暖新冠病毒会自然消失，但专家表示不可过度期待。美国哈弗大学流行病学教授马克利普西奇表示，冠状病毒有季节性，但新型冠状病毒是否具有相同性质仍然存疑。央视网快看的微博视频
这世界就是一个圆,:#等你回家#第一百八十四天。平安🙏担心我爹妈口罩不够用，结果他们还是口罩大户（50的余量对我来说真的大户了）
Starring-519529,为什么英国人都不戴口罩？伦敦中国城真的变成“鬼城”了吗？药店里还有口罩和洗手液卖吗？我们实际走一波就知道了....#全球疫情##英国疫情##海外抗疫日记#事儿君在英国的微博视频
凡也不是凡,#战疫补给站#抗击疫情，有你有我！@毛不易在线邀请大家一起行动，万众一心抗疫情！#最新疫情报道#央视网的秒拍视频
木木samwong,【格鲁吉亚一疑似患者接受采访结果被医护人员拉回医院】
执笔点朱砂kkw,:#逃犯因脸太大戴不全口罩落网#不是，大半夜的我都笑出声了
耳东健,:同事劝我要断舍离，我听进去了。整理房间的时候把多余的口罩扔了，当时因为长了水痘，不想传染给人买的，后来发现实在闷痘，就再也没戴过，一直扔在角落里，心想这辈子也不会再长水痘了吧…果断扔了。同时扔了的还有租房合同，合同签了一年，已经到期，心想这也保护不了什么权益了…果断扔了。后来，哪想到爆发了疫情，一时一罩难求，洛阳罩贵…再后来受党和人民政府关怀可享受租房补贴，却发现文件里赫然写着需提供租房合同…同事听了我的遭遇笑的停不下来，她说她压根不记得有劝我这事了…
法律巴士网,:#京东口罩##京东健康#与国控湖北推出1500只特供口罩增援湖北，转需http://t.cn/A67p5u0L注：三层非医用，武汉发货，只有湖北省内收货地址才能下单。
Xanthe_Lin,:才上两天班就受不了，口罩闷着，到处防范，啥时能正常生活
姑姑是我,:#中国成为联合国安理会轮值主席国##意大利居民拒戴口罩要自由#欧洲太危险了，大家赶紧回来吧
皮特鲁尼的铲屎官,:鉴于我立陷爱的体质私心希望韩国的疫情早点🔚韩国真的有我太多男友和老公了血浓郁情啊
Fhahaaan,春节宅家的最后一条vlog，难得的20天和爸爸妈妈在一起的日子，你们说怎么一眨眼就没了，没了，没了？
成都共青团,:#住在成都#【成都N95口罩本地生产能力零突破首批5000只面市】新冠肺炎疫情发生后，主营电热毯的成都彩虹电器（集团）股份有限公司“跨界”增设口罩生产线，位于成都市双流区的四川海汇药业有限公司“贡献”出万级洁净车间。“跨界”牵手协作，最终实现医用N95口罩量产。负责人表示：“医用N95口罩的生产线运行顺畅，目前每天产量5000只，未来最高日产量可达1.2-1.5万只”。彩虹电器计划上马3条医用N95口罩生产线，届时日产量最高可达4.5万只。
花生瓜子板凳矿泉水,:再等等再等等我的口罩就能发货了
一单一双的Ray,【#口罩熔喷布俩月暴涨20倍调查#】河南省长垣市某口罩企业负责人，以3个“求”字，描述自己在购买原材料熔喷布时的难处。因原料被管控，预定合同被迫终止；库存用完，口罩生产面临停摆。最终，他“拜求、叩求、跪求”，才获得某熔喷布生产厂以每日1吨的供货量，每吨价格22万元。熔喷布被称为口罩的“心脏”，是过滤病原体微生物、体液、颗粒物的重要材料。近日，新京报记者从国内多家口罩生产企业了解到，疫情发生后，价格在1万-3万之间的熔喷布，已涨价至少10倍，有些中间商甚至要价40万元／吨。原材料价格疯涨背后，是产能受限的困境。#新型冠状病毒#http://t.cn/A67p2573
黃桷阳光,【#你为什么还买不到口罩#科普一下：#口罩其实是高科技产品#】局长来了！啥？
成都共青团,:#住在成都#【成都N95口罩本地生产能力零突破首批5000只面市】新冠肺炎疫情发生后，主营电热毯的成都彩虹电器（集团）股份有限公司“跨界”增设口罩生产线，位于成都市双流区的四川海汇药业有限公司“贡献”出万级洁净车间。“跨界”牵手协作，最终实现医用N95口罩量产。负责人表示：“医用N95口罩的生产线运行顺畅，目前每天产量5000只，未来最高日产量可达1.2-1.5万只”。彩虹电器计划上马3条医用N95口罩生产线，届时日产量最高可达4.5万只。
Fhahaaan,春节宅家的最后一条vlog，难得的20天和爸爸妈妈在一起的日子，你们说怎么一眨眼就没了，没了，没了？
花生瓜子板凳矿泉水,:再等等再等等我的口罩就能发货了
一单一双的Ray,【#口罩熔喷布俩月暴涨20倍调查#】河南省长垣市某口罩企业负责人，以3个“求”字，描述自己在购买原材料熔喷布时的难处。因原料被管控，预定合同被迫终止；库存用完，口罩生产面临停摆。最终，他“拜求、叩求、跪求”，才获得某熔喷布生产厂以每日1吨的供货量，每吨价格22万元。熔喷布被称为口罩的“心脏”，是过滤病原体微生物、体液、颗粒物的重要材料。近日，新京报记者从国内多家口罩生产企业了解到，疫情发生后，价格在1万-3万之间的熔喷布，已涨价至少10倍，有些中间商甚至要价40万元／吨。原材料价格疯涨背后，是产能受限的困境。#新型冠状病毒#http://t.cn/A67p2573
黃桷阳光,【#你为什么还买不到口罩#科普一下：#口罩其实是高科技产品#】局长来了！啥？
面湖思过,日本人说连药都可以不吃，会自愈的。美国人说，连口罩都不用戴，流感比这个严重多了。世界很淡定，因为他们能接受1%的死亡率。【日本公布新冠治疗方案：不满50岁患者多能自愈，未必要用抗病毒药】3月2日，据日本共同社报道，日本感染症学会日前公布了新型冠状病毒疾病治疗方案，其中主张，由于不满50岁的患者多数能够自愈，不一定需要用抗病毒药进行治疗，仅采取对症疗法等持续观察即可。（中新社）
驭酒者,日本国内已经疯了，不顾一切的抢购口罩、卫生纸等物资。目前普通一盒40支装口罩，已经卖到20万日元，约合人民币13000元。每支口罩单价超过了300元人民币。#网络名人同心战疫#巍岳钦禹的微博视频
我是鱼是鱼还是鱼,【#这张口罩脸占据整版人民日报#，致敬防疫一线的坚守！】图中这张面孔名叫戴文豪，广东云梧高速省界联合一线检疫人员，一位有着18年党龄的退伍军人。这一个月里，寒潮夹风雨，阳光带高温，他的脸上留下了深深浅浅的印记。“这张照片我不敢给老婆女儿看，也不敢跟她们说。还好视频的时候不是很明显。”看着自己脱下口罩后的照片，戴文豪一边笑着，一边说：“好丑啊，哈哈哈。”http://t.cn/A67C0qGf
德国败吧,#欧洲新冠动态#法国总统马克龙打算征收全国所有防护口罩，并在Twitter上说明所有口罩将分发给医护人员和已经受感染的法国人们。#全球疫情#
彭程音乐旁边,:问：你是中国人吗？答：我拿美国绿卡了
海阔天空闵_apt,:#逃犯因脸太大戴不全口罩落网#？？？哈哈哈不行了太好笑了
美穗学姐在日本,:3月6日开始日本由国家收购，再免费统一配送每个家庭40枚口罩😷包括在日外国人家庭😍
赤兔金服,:#韩国疫情#韩国大球排队买口罩，记者采访发现有确诊患者没买到口罩，到处乱跑！样子实在太危险了。一个潜在的超级传播者！武汉赤兔金服的微博视频
Capsicin_,:#肖战#肖战你好呀我今天和家人出去走了走散散步心情好多了希望你也能平静平安
不再失去了,:老爸作为工作人员，光荣的留下了口罩脸😷
吃了吗没有啊,:今天竟然抢到一单口罩，奥利给！
来宾圈,:#来宾爆料#【来宾市公安局兴宾分局侦破一起涉嫌利用疫情实施网购口罩诈骗9.6万元的案件】当大家都在全力以赴抗击疫情，某些不法分子却把保护人民安全的口罩当成了“摇钱树”，玩起了空手套白狼的把戏。近日，市公安局兴宾分局迅速侦破一起涉嫌利用疫情实施诈骗的案件。3月2日下午3时许，市民黄女士和王女士从市公安局城厢派出所民警手里领到9.6万余元时，激动不已。原来，前不久，两人在微信朋友圈看到有人在卖口罩，于是通过微信转账9.6万余元订购，没想到对方竟是骗子。2月中旬，王女士看到一名网友在朋友圈发布信息，称有大量韩国口罩售卖，每个2.65元，于是她就和黄女士一起订购了一批。她们把96630元转给对方后，却只分别得到200个和500个口罩。意识到被骗后，2月26日，两名女士赶紧到派出所报案。接到报警后，市公安局兴宾分局立即从刑侦大队打击电诈专班、城厢派出所抽调警力开展案件侦破工作，并迅速锁定南宁市宾阳县古辣镇的班某康（男，19岁）、班某涛（男，20岁）有重大作案嫌疑。2月27日，专案组在宾阳县公安局古辣派出所的配合下，将犯罪嫌疑人班某康、班某涛抓获。据班某康交待，他在微信朋友圈里发布的口罩图片等均从网上下载，700多个口罩是他在古辣镇买的，因汇款额度受限，班某康就利用班某涛的账户转了一部分钱。后来办案民警做通了班某康家属的思想工作，返还了全部赃款96630元。目前，班某康已被警方刑事拘留，班某涛也被警方采取强制措施。via微观来宾http://t.cn/R2WxmjM
一品-大圣,:刚刚消息，事态更严重了！23名伊朗国会议员新冠病毒检测呈阳性，伊朗紧急卫生服务部负责人感染新冠病毒，伊朗新增病例达835例！韩国5186人感染，抢口罩现场人山人海！据韩国统计厅27日发布的数据，近期KF94口罩的网上售价超过4000韩元（约23元），较疫情前增长6-8倍。而日本方面，医用口罩的价格更是高得离谱。据日本时事通讯社报道，普通的一盒医用口罩（40只装）甚至可以卖到20万日元（约12937元），平均每只5000日元（约323.5元）。
李梦媛_Sky,:省了口红钱，可口罩比口红贵。下次考虑上半脸的粉底液匀一匀，只涂涂半张脸，成本是不是就勾回来了。
小火柴侃侃车,:我了个去，美国的警查真是太暴躁了，逃犯跑起来也是脑瓜子嗡嗡的吧#逃犯因脸太大戴不全口罩落网#北京小火柴侃侃车的微博视频
Capsicin_,:#肖战#肖战你好呀我今天和家人出去走了走散散步心情好多了希望你也能平静平安
不再失去了,:老爸作为工作人员，光荣的留下了口罩脸😷
吃了吗没有啊,:今天竟然抢到一单口罩，奥利给！
来宾圈,:#来宾爆料#【来宾市公安局兴宾分局侦破一起涉嫌利用疫情实施网购口罩诈骗9.6万元的案件】当大家都在全力以赴抗击疫情，某些不法分子却把保护人民安全的口罩当成了“摇钱树”，玩起了空手套白狼的把戏。近日，市公安局兴宾分局迅速侦破一起涉嫌利用疫情实施诈骗的案件。3月2日下午3时许，市民黄女士和王女士从市公安局城厢派出所民警手里领到9.6万余元时，激动不已。原来，前不久，两人在微信朋友圈看到有人在卖口罩，于是通过微信转账9.6万余元订购，没想到对方竟是骗子。2月中旬，王女士看到一名网友在朋友圈发布信息，称有大量韩国口罩售卖，每个2.65元，于是她就和黄女士一起订购了一批。她们把96630元转给对方后，却只分别得到200个和500个口罩。意识到被骗后，2月26日，两名女士赶紧到派出所报案。接到报警后，市公安局兴宾分局立即从刑侦大队打击电诈专班、城厢派出所抽调警力开展案件侦破工作，并迅速锁定南宁市宾阳县古辣镇的班某康（男，19岁）、班某涛（男，20岁）有重大作案嫌疑。2月27日，专案组在宾阳县公安局古辣派出所的配合下，将犯罪嫌疑人班某康、班某涛抓获。据班某康交待，他在微信朋友圈里发布的口罩图片等均从网上下载，700多个口罩是他在古辣镇买的，因汇款额度受限，班某康就利用班某涛的账户转了一部分钱。后来办案民警做通了班某康家属的思想工作，返还了全部赃款96630元。目前，班某康已被警方刑事拘留，班某涛也被警方采取强制措施。via微观来宾http://t.cn/R2WxmjM
一品-大圣,:刚刚消息，事态更严重了！23名伊朗国会议员新冠病毒检测呈阳性，伊朗紧急卫生服务部负责人感染新冠病毒，伊朗新增病例达835例！韩国5186人感染，抢口罩现场人山人海！据韩国统计厅27日发布的数据，近期KF94口罩的网上售价超过4000韩元（约23元），较疫情前增长6-8倍。而日本方面，医用口罩的价格更是高得离谱。据日本时事通讯社报道，普通的一盒医用口罩（40只装）甚至可以卖到20万日元（约12937元），平均每只5000日元（约323.5元）。
李梦媛_Sky,:省了口红钱，可口罩比口红贵。下次考虑上半脸的粉底液匀一匀，只涂涂半张脸，成本是不是就勾回来了。
小火柴侃侃车,:我了个去，美国的警查真是太暴躁了，逃犯跑起来也是脑瓜子嗡嗡的吧#逃犯因脸太大戴不全口罩落网#北京小火柴侃侃车的微博视频
课代表一枚,:#逃犯因脸太大戴不全口罩落网#这脸是有多大啊
森林毛猴,:硬核！可反复使用医用口罩，一个能用7天，广东省内首创！http://t.cn/A67NhyAo
charmon,:今天画了个很满意的眼妆出门嗯也就只画了眼妆hhhhh毕竟带口罩下半张脸没资格拥有化妆品哈哈哈哈哈
爱草莓的小蘑菇,:4.2万医护人员支援武汉，他们没有返程，说明前线虽然有效控制，但是确实进程吃紧，大家不要盲目乐观，1个确诊后面的疑似和密切接触者又会是多少，现在的成果是之前全国大规模隔离停摆和堆医疗资源换来的，不要摘口罩，科学节约用口罩，不要盲目乐观，继续做好防护，全球感染的情况下，防国外输入。继续等疫苗，少去超市，收银员会是超级传播者，继续无接触买菜，做好外包装消毒，勤洗手勤通风，水封好地漏面盆。
不想再做猫头鹰,:#大广赛[超话]##2020中国大学生好创意，为中国加油!武汉加油!##大广赛#@全国大广赛组委会作品:《防疫》作者:卢志爽学校:太原理工大学设计说明:该海报运用了简洁易懂的矢量表现手法，在此时此刻的危难时期，虽然我们不能像医护工作人员一样奔赴前线，但是我们唯一能做的便是出门带好口罩、注意防护，保护好自己就是对国家最大的贡献。图中口罩周围用“蓝色的防护盾”很好的表达了抵御病毒的重要性。简单的表达，深刻的警示，我们一定要赢！
浅_extreme,:#桂林生活##桂林##桂林身边事#今天出门真的很气愤了。中区还算有点人流。那些有口罩不好好戴着的是几个意思。不是拉到下巴抽烟，就是拉到鼻子那凯透气。真的是还不如别戴了捐给一线的医护人员！捐给那些买不到口罩的爷爷奶奶！旁边这么多城管来来往往都当做没看见不需要劝止这种行为吗？既然出门在外这种特殊时期能不能对自己负责，对别人负责，对我们的城市，对我们千千万万的家庭负责！实在是有什么情况要摘下口罩能不能找个安全的地方！大家也是，不是不得已还是尽量不出门，现在交通恢复了就怕会有输入病例，还是小心为上。❤️@桂林新鲜事@桂林同城@桂林人不知道的桂林事儿http://t.cn/AijAlZRY
黑暗系大团圆,#防控疫情天津在行动#【口罩防护服，质量我把关】新冠肺炎疫情发生后，坐落在本市南开区的国有控股企业、天纺标检测认证股份有限公司连续加班加点作业，为全国各地生产口罩和防护服等防疫物资的企业提供检测认证和技术咨询服务。近期，已为我市多家防疫物资生产企业出具检测报告、提供技术服务支持。
维尼和猪猪日记,:韩国政府发售588万个口罩现场人山人海这不是病的更厉害了吗
路过的猛男,黄士修：2300万人缴钱给14亿人用健保──不要让中国人笑台湾立委是智障
你是一只胖达,:最近在值班，值班时基本一直站着，站着没啥，主要是必须一直戴着口罩，一刻不停的说话，耳朵好疼呀，嗓子好干呀。我一天几个小时下来耳朵都这么疼，那些全副武装的医护人员下班的时候估计更难受更疼。#今日贴纸打卡#
十月夏长安,:#逃犯因脸太大戴不全口罩落网#这个热搜告诉我，不能太胖，要少吃点
暖夕酱,:卧槽，老外免费发25个口罩，我TM一个免费口罩都没有发
史猴,:从三月一号开始，这日子就变得难过无比。冠状病毒的恐怖就不用说了，花粉开始铺天盖地啊！出去一趟回来就头痛。今天已经是第三天卧床了。美国全国买不到口罩，canyoubelieveit?【春天是最残酷的，还有还有，这个周末就开始夏令时，不想活了】
芋圆波波七分糖,:偌大的朋友圈，朋友没几个不说，连个卖口罩的微商都没有
圣晟斗士陈小弟,:#爱情公寓5[超话]#当初看这集的时候就感叹韦导厉害啊[允悲]居然预测到了要戴口罩。希望疫情早点结束@爱情公寓电视剧@韦正
夏莹诺,【安排！#火箭军回应护士向国家要男朋友#
眉宇20110,你以为你戴着口罩，我就不记得你的样子吗？喵星人·特特的微博视频
圣晟斗士陈小弟,:#爱情公寓5[超话]#当初看这集的时候就感叹韦导厉害啊[允悲]居然预测到了要戴口罩。希望疫情早点结束@爱情公寓电视剧@韦正
夏莹诺,【安排！#火箭军回应护士向国家要男朋友#
眉宇20110,你以为你戴着口罩，我就不记得你的样子吗？喵星人·特特的微博视频
JOANNA_ANNA,:不知道能不能举报。公司规定下班时间不能超过晚上八点然而九点才出公司大门，饿到头昏眼花。而且一天只能给员工提供一个口罩。听说，天天997，早晚要归西🙃
朵朵Iris-,:每天都在抢口罩和没抢到之间徘徊
Betty-Wong,:居家隔离的日子明天正式结束！大家真正摘掉口罩，还需要多久？小朋友们什么时候可以顺利开学？
小范小范身体棒棒,:一直是戴着一个口罩就出门了今天不知道为什么阴差阳错又拿了一个放进包里晚上回来看到一个流浪汉没有口罩送出去了大概这就是“阴差阳错”的意义所在吧
厦门乐安i,:永远不知道口罩下的真面目厦门·湖里高新技术园
FANG喜YI汕头,:#李跃华医生##疫情##抗击新型肺炎第一线#一个不按所谓专家出牌的老中医，虽然没有国家医生证书，却能医好这烦人肺炎，自己也大胆不戴口罩……这样的人，如果在某些外国，会不会当即当成“专家”看待？！汕头
玮瑞国际,:全球口罩最新报价（人民币）：韩国：23.5元/个美国：209元/个意大利：76元/个西班牙：2200元一个【中国：5元/个】生在中国很幸福了，珍惜手中的口罩吧！济南·鲁邦·奥林逸城
台风的86,:要摘口罩了，不能再戴那么厚了
台风的86,:要摘口罩了，不能再戴那么厚了
随遇而安lovely,法国工会反对马克龙退改的大游行今天早上在马赛上街，下午13点30，巴黎上街#法国[超话]##法兰西的故事#法国
香港文匯網,:【香港紫花油药厂设厂产口罩料月产400万个】现时香港市面口罩供应紧张，香港紫花油大药厂今日在社交网站宣布，斥资700万元于本地设置大型厂房生产医疗级别口罩，供货原则以本地为主。初步估算，每月最高生产400万个独立包装的口罩，预计5月中开始投产，第一批生产的口罩将会以成本价发售，有望纾缓本地短期需求及长期供应。http://t.cn/A67p59sk
