鱼山蚊,一线疾控医生的心声：请不要再骂我们了！疾控人的心声
前进正月风,【#美国又有4人死于新冠肺炎##巴西对病毒基因测序发现不同#】美洲新冠肺炎病例数量继续增加，美国华盛顿州卫生官员2日宣布该州又有4人死于新冠肺炎。巴西研究人员对病毒基因测序的结果显示，巴西两个确诊病例体内的病毒有所不同。美国华盛顿州金县卫生官员杰弗里·杜钦2日在新闻发布会上说，华盛顿州又有4人死于新冠肺炎，但这4个死亡病例此前未纳入美国疾病控制和预防中心的统计。美疾控中心2日发布的数据显示，截至1日美国共有91例确诊或推定阳性病例，有2个死亡病例。推定阳性病例指的是已在某些实验室检测结果为阳性，但未经过美疾控中心确认性检测的病例。加拿大安大略省卫生部2日宣布又确诊3例新冠肺炎病例。加拿大全国累计确诊病例数增至27例。巴西卫生部2日最新公布的数据显示，目前巴西有2例确诊病例。巴西阿道弗·卢茨研究所和圣保罗大学医学院的研究人员对这两个病例体内的病毒进行了基因测序，结果发现首个病例体内的病毒与在德国发现的病毒更加相似，而第二个病例体内的病毒则与在英国发现的病毒更加相似。二者与在中国发现的病毒也有所不同。据介绍，这两名患者都是今年2月在意大利感染后回到巴西的。圣保罗大学医学院研究人员埃斯特尔·萨比诺表示，病毒出现的变异是疫情在相关地区传播留下的印记，可被研究人员用于追踪病毒传播路径。@新华视点
荆门广播电视台,:#抗击新型肺炎我们在行动#【视频版】中国疾控中心提示：超市卫生防护指南#万众一心抗击疫情#荆门广播电视台的微博视频
聚散两依依--,:《浙江7例境外输入型病例在沪接触71人均已隔离》上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。http://t.cn/A67pfXv2
72172WMJC,:中国疾控中心提示：空调通风系统运行管理指南http://t.cn/A6799ons
天津高速交警,:【#空气净化器能过滤掉病毒吗#？】#蜀黍带你涨姿势#中国疾控中心研究员冯录召：市场上常用的空气净化器是由风机和过滤装置组成。风机将家里的空气吸入，过滤装置通过吸附把各种污染物过滤掉，再把过滤后的空气排出。它主要适用于空气中的一种或多种污染物，并没有对病毒或其他病原微生物有杀灭率的要求，所以不一定能过滤掉病毒。一般家庭还是要每日通风换气，但目前温度比较低，也应注意室内外温差大的情况，避免感冒。http://t.cn/A6hxr4EGhttp://t.cn/A6hxr4EG
兔子歪歪8099,:新冠病毒到底是什么时候发现人传人的？为什么传播到如此地步？为什么一级一级的当权者明明知道疫情存在，却不及早上报？为什么中国国家疾控中心派出的两批专家小组得不到真实情况，为什么我们的专家心中有疑问，却在官员面前不敢提问？
平安洛宁,:#共同抗疫#【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
义勇军-大灰狼和平,:《美国疾控中心被吹上天？不，它在美国被骂惨了》随着疫情发生突变，美国疾控中心一下子成了美国人和美国媒体不满、炮轰和指责的众矢之的。一个个错误，不但让美国错过了防控新冠疫情的最佳时期，也让美国疾控中心把自己的“光环”一点点亲手打碎了。　　为什么这个在世界范围最权威的机构之一，会犯下这么多低级错误？　　美国疾控中心（CDC）的一连串疏漏和失误，越来越让美国人对本国的抗疫形势提心吊胆了。　　最新遭殃的，是美国得州第二大城市圣安东尼奥。该市2日进入公共卫生紧急状态，原因是疾控中心误放了一个在当地美军基地隔离的被感染者，导致大量公众接触。......http://t.cn/A67pbMid
蘸酱菜,一线疾控医生的心声：请不要再骂我们了！疾控人的心声
漫林萌主,只要不检查就没有疫情#估计疫情#http://t.cn/A67GxxXd
不喜欢唱歌的律师不是好作家,中国和韩国的方式是，所有可能被传染了病毒的人都要检测，然后找到所有感染者，治疗；日本和美国的方式是，只检测严重症状的，治疗，而对轻症状者、疑似症状者和那些可能被感染者，不管。我真想不明白，日本和美国都这么赤裸裸地隐瞒疫情、抛弃病人了，为什么还有那么多的中国人会麻木地相信这次日本和美国的方式会可能有什么所谓的天然优势，或合理性，会让它们能逃过疫情大爆发呢？再者说，得了病想方设法不给治，甚至是想方设法不让治，这是多么的伤天害理呀！伤天害理懂吗？这不该遭天谴吗？你们怎么可以基于这样的一种伤天害理该遭天谴的逻理之上去夸夸其谈这个理性思维那个政治正确呢？日、美的方式，跟中、韩的方式根本就不具有任何可比性，一个是用杀人来救人，一个是用救人来救人，这有什么可比较的？我抓破头皮也想不清楚，你们到底打算是要看什么样的热闹呢？【如果觉得说的不错，可以长按点赞键打赏
钊阿钊,希望收到信息的你，可以做个好梦，加油。@新世相@中国日报
荷塘秋雨_19086,没有雷霆举措，破不了新怡家园小区的斯芬克斯之谜，答案今天揭晓：黄某英女儿的前夫！#湖北司法厅厅长等多人被查##黄某英离汉进京事件调查结果#
新闻一加一,:【外防输入，萧山机场将有什么措施？】萧山国际机场运行总监吴湘江：1、杭州市疾控中心的主任带队6个人上飞机，对整个飞机进行排查；2、一旦在排查中发现有症状旅客，立即送至筛查点进行筛查；针对有症状旅客座位的前后三排进行留观；3、对无症状的旅客走旅客大通道，还需要测体温、检查健康，只有这些都符合条件才能离开机场；4、对来自疫区的旅客都送留观点进行留观，留观结束后，转送由相应地区的政府将本地华侨接送回当地，进行进一步的排查和留观。http://t.cn/A67p59zk
美丽德宏,:#防控疫情德宏在行动#【截至3日20时德宏无疑似病例送检标本10人份均为阴性】2020年3月3日，德宏州现无疑似病例。州疾控中心实验室接收县市送检标本10人份，核酸检测结果均为阴性，其中：芒市2人份，瑞丽4人份，陇川4人份。截至3月3日20:00，德宏州累计确诊病例5例，治愈出院病例4例，现有确诊病例1例，患者病情稳定，无重症和死亡病例。（德宏州新冠肺炎疫情防控工作指挥部办公室）
幸福夫子庙,#健康科普汇#【（视频版）中国疾控中心提示：办公场所和公共场所空调通风系统运行管理指南】疾控科普的微博视频
月隐寒霜,:#中疾控等重磅研究揭示新冠病毒演变#：可能從穿山甲冠狀病毒衍生，而不是蝙蝠。當地時間三月2二日，中國醫學科學院北京協和醫院、中國疾控中心、加州大學洛杉磯分校、匹兹堡大學、湖南大學五家合作單位的研究人員共同在生物科學預印本網站bioRxiv在線發表了一項針對新冠病毒演化過程中的突變、重組和插入的重磅研究。研究通過分析病毒的突變，解釋#新冠病毒为何传染性能显著增强#。他们的結果表明，2019-nCoV的S蛋白可能從穿山甲冠狀病毒衍生出來，而不是蝙蝠冠狀病毒RaTG13。而在2019-nCoV的進化過程中，RaTG13样冠狀病毒和穿山甲樣冠狀病毒病毒株之間可能發生了重組。此前的研究表明，冠狀病毒可能發生蛋白酶裂解，從而觸發病毒-細胞膜之間的融合。這種啟動和觸發融合機制的靈活性極大地調節了不同冠狀病毒的致病性和趨向性。研究團隊提出，RBD的潛在重組，以及獨特的弗林蛋白酶切位點的存在，可以解釋#新冠病毒传染性显著增加#。看到這則消息，我比較興奮，因為該團隊的研究，與我在一月份提出的新型冠狀病毒狀態問題的推想。①新型冠狀病毒必然影響當地一些動物，比如涉及動物跨種族的影響。②多種動物影響。使得病毒發生了突變或進化，使得病毒更易於傳播。③靈長類動物可能出現早期新型冠狀病毒的影響。④其他動物種群不正常的表現，可能意味著病毒的進化現象。⑤從動物到人的感染，動物在改變動物基因，人也必將會使得病毒發生變異或者進化。
阎村社区卫生服务中心,:【#疫情期如何乘坐出租车网约车#】中国疾控中心研究员张流波表示，出租车、网约车要确保司机没有感染，建立健康申报制度，进行体温检测，司机应全程佩戴口罩；车辆门把手、座位等应清洁消毒；行驶过程中温度合适时尽量开窗保证空气流通；乘客#上出租车前可开门一两分钟通风#；用消毒纸巾对接触处擦拭消毒；乘客全程戴口罩；提倡无接触付费。
段冬Arthur,:不在等待中爆发，就在沉默中死亡
庞亚辉感悟营销,:国美政府对#新型冠状病毒#的防控究竟做得怎么样
赶着羊群去月球,【“龙江健康码”推广应用操作细则和认定标准公布】疫情期间，我省居民和外省(国)进入我省人员须通过微信等网络平台主动申领“龙江健康码"，获得出行、复工等资格；按涉疫风险等级对应绿黄红码，实行动态管理↓↓↓#关注黑龙江新型肺炎疫情#
濤聲摘编,:某新闻周刊借某疾控专家之口“美国疾控中心有职有权，中国疾控事业单位无行政权”为自己辩护直言刚过不几天，言必称美国的媒体和专家们，脸上不觉得火辣辣的？『美国疾控中心被吹上天？不，它在美国被骂惨了』美国疾控中心被吹上天？不，它在美国被骂惨了
上帝之鹰_5zn,:美国疾控中心（CDC）宣布，今后不再公布接受病毒测试的人数。喂喂喂，你们不是一直指责中国的疫情信息不够公开透明么？你们自己呢？？
二不庐,:不信任美疾控中心的疫情应对措施，圣安东尼奥市状告联邦政府不信任美疾控中心的疫情应对措施，圣安东尼奥市状告联邦政府
艺术无界201212,:她打了市长热线、交管局打到疾控中心、社区、求助站……
马达0822,:我在看：【中国疾控中心病毒病所专家驰援伊朗，指导开展新冠病毒检测】#跟新浪看热点#中国疾控中心病毒病所专家驰援伊朗，指导开展新冠病毒检测
武进警方,:【警方通报】http://t.cn/A67p4mmc3月2日，金坛公安分局接报警称：有人在网上转发关于武进区某镇出现“新冠肺炎”确诊病例的信息。经查，系金坛区某公司财务人员汤某（女，金坛人），在发布提醒员工加强防疫保护通知时，将道听途说的相关信息编辑其中，并加入“接区疾控中心通知”内容，发布在公司内部员工微信群中，后被大量转发，对社会造成一定不良影响。经调查，金坛区疾控中心未发布该通知，汤某已被金坛警方依法治安处罚。常州市公安局金坛分局水北派出所2020年3月3日@平安常州
马达0822,:我在看：【中国疾控中心病毒病所专家驰援伊朗，指导开展新冠病毒检测】#跟新浪看热点#中国疾控中心病毒病所专家驰援伊朗，指导开展新冠病毒检测
武进警方,:【警方通报】http://t.cn/A67p4mmc3月2日，金坛公安分局接报警称：有人在网上转发关于武进区某镇出现“新冠肺炎”确诊病例的信息。经查，系金坛区某公司财务人员汤某（女，金坛人），在发布提醒员工加强防疫保护通知时，将道听途说的相关信息编辑其中，并加入“接区疾控中心通知”内容，发布在公司内部员工微信群中，后被大量转发，对社会造成一定不良影响。经调查，金坛区疾控中心未发布该通知，汤某已被金坛警方依法治安处罚。常州市公安局金坛分局水北派出所2020年3月3日@平安常州
齐鲁财富网,:#上海已追踪71名浙江输入病例密切接触者#据@上海发布，3月3日上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。（人民日报）
栖霞电视台,【（视频版）中国疾控中心提示：超市卫生防护指南】#新型冠状病毒##抗击新型肺炎我们在行动#疾控科普的微博视频
GeVitas,:#钟南山建议提高疾控中心地位#
掌上宜都,:【宜都众志成城抗疫情（第四十期）】3月2日，小西湖发热病人留观病区关闭，按照《疫源地消毒总则》及新冠肺炎消毒相关技术要求，市疾控中心对小西湖发热病人留观病区进行疫点终末消毒，对大厅、电梯、走廊以及留观房实施喷洒消毒，共计消毒留观房100多间。宜都众志成城抗疫情（第四十期）
杨阳中医,:http://t.cn/A67pblYl1月21日10时医院收治第一例疑似患者，23日被国家疾控中心确定为确诊患者。截至2月29日，医院发热门诊共接诊患者1025人，接收住院患者227人、门诊留观患者145人，其中确诊病例21例，无症状感染者9例。生死急救的42天，医院实现了【确诊患者全部治愈出院】，取得了【患者“零死亡”】、【医护人员“零感染”】的阶段性胜利。我的大学同学全程参加。觉得他们很牛🐮。
老c队长,:转：鉴于美国流感疫情导致至少320万人被传染，140万人就医，31万人住院，1.8万人死亡，且美国疾控中心怀疑其中很多人真正的死因很可能不是流感，而是目前正在全世界蔓延的新冠病毒，所以，疾控中心要求对上述数字进行重新筛检，以确诊究竟有多少人感染的是新冠病毒，而非流感。但问题来了，美国医院现在要求所有进行新冠病毒筛检的疑似感染者要支付3600元的检查费，虽然很多人买了健保，但还是要拿出50%“自付额”，也就是1800元的体检费，这对很多打工族而言是一笔不小的开支，不少人因此放弃了体检的欲望，采取听天由命的消极态度。
爱信阳,:#信阳生活#【专家复盘：“不明原因肺炎”上报失灵的背后】1月9日早7点，中国疾控中心首席流行病学家曾光坐上北京飞武汉的飞机。因在武汉只待了一天，曾光没有参与现场调查。在地方给包括他在内的专家的汇报中，他听到的是武汉已隔离多少人，密切接触者中没有出现感染者，感染者病症不是太重，和季节性流感差不多……“我们得到的都是这样的信息。”回忆起那次经历时，曾光拍着桌子问，“那时我哪知道还有个李文亮，还有张继先?”更多详情→http://t.cn/A67Cg9Udhttp://t.cn/RJydydJ
眉山疾病防控,:#火神山医院的大眼睛医生#【视频版】@疾控科普中国疾控中心提示：疾控中心跟您聊聊居家消毒那些事儿疾控科普的微博视频
陕西新闻广播,:#43个布点！西安共享单车采样监测结果均为核酸阴性#西安市疾控中心派出专业技术人员，近日在我市东西南北中选取人流密集区域使用频率较高的共享单车进行采样监测，对共享单车的把手、车座、车体等多部位进行标本采集，结果均为新冠病毒核酸阴性。当前新型冠状病毒疫情防控的形势下，很多市民会选择共享单车这种减少人群聚集的出行方式。对于选择共享单车的市民来说，作为公共物品的共享单车是否安全是大家比较关心的一个问题。本次按照东西南北中五个城区开展监测，以城墙内为中间区域，在钟楼地铁站、西华门十字、北大街新世界时尚广场、西大街正学街、银泰百货、丽晶酒店、西安饭店、南大街智选假日酒店、西贝莜面村、西木头市等附近10个共享单车停放点采样。城北区域以城北客运站为中心，在城北客运站、长安医院、地铁二号线凤城五路口、经开区市政共享单车站、经开区EE康城延炼西安小区东门、经开区行政中心地铁站、西安北站等附近7个共享单车停放点采样。城西区域选取劳动南路民航小区、西电集团医院、西安医学院第一附属医院、紫薇臻品小区幼儿园、地铁三号线丈八北路站、地铁三号线鱼化寨站、中国航发西控东门、地铁一号线汉城路站、公交车三桥站、土门坊路与莲湖路十字西南角、公交车水司站、西北大学新区家属院东门等附近12个共享单车停放点采样。城南区域选取大悦城西侧公交站、南三环城南客运站北侧、会展中心西门、长安南路八里村地铁站、小寨赛格停车场入口、小寨西路吉祥村地铁站、市委党校门口等附近7个共享单车停放点采样；城东区域选取城东枢纽华阳城门口、唐都医院东面、辛家庙红星美凯龙、辛家庙地铁站、胡家庙地铁站、康复路商贸广场、金花北路温德姆酒店等附近7个共享单车停放点采样。全市共计布点43个，共涂抹采样标本299份，经西安市疾控中心实验室检测，结果均为新冠病毒核酸阴性。西安市疾控中心有关负责人介绍，除共享单车外，疾控中心工作人员已经对公交车、出租车进行布点采样，采样结果出来后将第一时间进行公布。同时，市疾控中心还将继续对地铁、银行等公共区域环境进行布点监测。
医药卫生报,:舞阳县举办复工复产复学复市疫情防控技术指导培训会本报讯（记者王明杰通讯员王倩男贾丽君）为切实做好舞阳县复工复产复学复市疫情防控技术指导工作，全力保障经济社会平稳健康发展，3月3日，舞阳县卫健委在疾控中心七楼会议室举办复工复产复学复市疫情防控技术指导培训会。舞阳县各乡镇卫生院主管副职、业务骨干，疾控中心技术指导组成员共计40余人参加培训。舞阳县卫健委就复工复产复学复市防控工作提出要求:一要高度重视疫情防控技术指导工作。各单位要周密安排部署、细化责任分工，严格履行疫情防控各项技术指导职责，坚决打赢疫情防控阻击战；二要充分发挥联防联控工作机制作用。充分发挥疾控中心以及各乡镇卫生院等基层医疗卫生机构作用，做好复工复产复学复市有关单位、场所主要负责人、管理人员、疫情防控责任人的培训。三要分级分类做好技术指导。县疾控机构、各乡镇卫生院要进一步充实技术力量，实施网格化管理，细化责任分工，分类做好疫情防控工作的技术指导。四要大力开展宣传和健康教育。科学指导相关人员认识和预防疾病，树立正确的防控观念，提高自我防范意识，规范防控行为，全面提高健康意识和防病能力。舞阳县疾控中心专家对特定场所消毒技术知识进行了详细培训。
安徽发布,:#安徽打响清零战#【一封来自仙桃市疾控中心的感谢信
全球最好看的电影,:【#欧盟提升新型冠状病毒风险级别#：“中等”提升至“高”，成立专门应对小组】当地时间3月2日，欧盟委员会主席冯德莱恩表示，欧洲疾控中心已将新型冠状病毒风险级别由“中等”提升至“高”。根据这一对疫情的最新评估，欧委会也决定成立专门的新型冠状病毒应对小组，帮助欧盟各成员国，及受疫情影响的各相关领域采取协调一致的应对措施。欧盟现有18个成员国累计确诊2100例新冠肺炎病例，死亡人数共38人。http://t.cn/A67ozUPK
独行骑士·Lwf,:#腾讯新闻#成都商报红星新闻:【没去外地、没接触过病例，超市员工莫名感染，揭秘重庆首例无症状感染者是怎样被发现的?】3月2日，重庆市政府新闻办举行新冠肺炎疫情防控工作例行新闻发布会。重庆市疾控中心专家、流行病学博士宿昆对相关病例进行通报。宿昆介绍，1月24日除夕当天，市疾控中心接到某县疾控中心求助：当地发现有3例新冠肺炎确诊病例，在3例病例中，首例病例是超市服务员A，1月14日发病。第二例和第三例病例B和C，http://t.cn/A67pAJrG来自@腾讯新闻
草地战马,两市融资余额增加83.81亿元
大胖子小胖子l,:抢完菜，开始抢打预防针的号子了，疾控中心的人是觉得当妈的不用睡觉，凌晨1点钟开始放号，尼玛是智障吗，接下来是不是还要抢体检的，这年头，干点啥不是摇号就是抢号，心累～小脚丫子好多天没晒太阳啦
网络义勇军壹师,【外媒：美国东西海岸相继出现疫情各州加紧“备战”】外媒称，美国卫生官员当地时间2日表示，西雅图地区已有6人死于新冠肺炎。与此同时，美国各地政府正为出现更多确诊病例做准备，重点是增加可用的检测试剂盒储备。副总统彭斯透露，政府已承包3M公司每个月为美国制造口罩。彭斯还呼吁美国民众不要购买口罩，把口罩留给医疗人员。彭斯为美国政府的疫情应对辩护时指出，大部分美国人面对的染病风险依然是低的。http://t.cn/A67CGUhV
杨晓升,:【专家复盘：“不明原因肺炎”上报失灵的背后】一位疾控专家认为，社会仍未从过去的教训中总结经验。SARS期间，作为防控顾问，他能直接参与研判，得出的结论或者建议很快地转化为防控行动。而现在，省疾控中心的调查结果要向省卫生厅报告，市、区、县疾控向各级卫健委报告，卫生行政部门要向政府报告。“经过一层一层上报，效率就没了，而且真正报上去的信息可能也走样了。”陈国强等人则指出，地区决策者是公共卫生事件中的指挥主体，需要第一时间组织专家团队提供决策建议。武汉作为国内临床医疗、公共卫生及病毒研究最豪华的专业阵容所在地，此次专业团队在当地政府早期疫情判断及应对决策过程中的作用似乎没有得到最大发挥，是需要深入思考与反省的。http://t.cn/A67owEDv
兰州微聚焦,:#兰州微聚焦[超话]#【法德疫情第二波暴发的背后：都是意大利的"锅"？】3月2日，欧盟疾控中心（ECDC）将新冠肺炎疫情风险等级由“低等到中等”调整为“中等到高等”。欧盟委员会主席冯德莱恩称，“新冠病毒传播正在持续扩散中”。　　欧洲新冠肺炎疫情正快速蔓延。在确诊病例超过100例的9个海外国家中，有4个在欧洲，分别是意大利、法国、德国、西班牙。　　截至3月3日，欧洲疫情中心意大利确诊病例已超过2000例，死亡病例达到52例。法国单日新增61例，确诊病例达191例。德国确诊病例188例，西班牙确诊病例128例。此外，还有多个欧洲国家首次报告确诊病例。　　在欧洲疫情发酵过程中，除意大利外，最引人关注的则是法德两国的疫情。两国在1月底2月初出现第一波暴发，但之后近半个月时间内未出现确诊病例。然而，在意大利疫情暴发后，法德两国确诊病例快速增加，出现第二波暴发。#兰州微聚焦##具荷拉哥哥发文#
美丽天津,:【天津连续120小时无新增！累计治愈出院124人！】记者从天津市疾控中心获悉，3月3日6时至18时，天津无新增新冠肺炎确诊病例，治愈出院6人，累计出院达124例。http://t.cn/A67pPZbD
nabula23,:肺炎论文疾控中心主任高福招致集体讨伐_联合早报http://t.cn/A67phujN
蝶儿的背囊,:美国疾控官员做疫情报告时的手动作业？
狂熱崇拜不過螻蟻,:美国流感季死1.8万人根本不算多的。据美国疾控中心（CDC）估计，自2010年以来，每年美国流感导致900万至4500万人感染，14万人至81万人住院，1.2万人至6.1万人死亡。据世卫组织估算，全球每年流感感染率成人可达5%至10%，儿童更高达20%。每年全球流感可导致300万至500万重症病例，并导致25万至65万人死亡。如果真有患者死于新冠，美国不可能不知道。2009年的H1N1（猪流感）就起源于美国，看看美国的反应过程。
神魔不知道叫兽,:3月1日，西安市疾控中心派专业技术人员，在西安市东西南北中各选取人流密集区域使用频率较高的共享单车进行采样监测，对共享单车的把手、车座、车体等多部位进行标本采集，结果均为新冠病毒核酸阴性。当前新型冠状病毒疫情防控的形势下，很多市民会共享单车这种减少人群聚集的出行方式。对于选择共享单车的市民来说，作为公共物品的共享单车是否安全是大家比较关心的一个问题。本次按照东西南北中五个城区开展监测，以城墙内为中...http://t.cn/A67pPChb
三秦都市报,:【石家庄疾控中心提醒：复工复学要做好预防性消毒】3月3日，石家庄市疾控中心发布健康提醒：复工复学要做好预防性消毒。定时通风换气，保持空气清新；做好清洁消毒，避免交叉感染；戴口罩勤洗手，不触摸非洁净物品。石家庄疾控中心提醒：复工复学要做好预防性消毒
天津体育,:人民日报客户端：【天津连续120小时无新增！累计治愈出院124人！】记者从天津市疾控中心获悉，3月3日6时至18时，天津无新增新冠肺炎确诊病例，治愈出院6人，累计出院达124例。截至目前，天津市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、普通型8例、治愈出院124例，死亡3例。疑似病例31例。累计排查密切接触者2330人，尚有290人正在接受医学观察。从2月27日18时至3月3日18时，天津连续120小时无新增新冠肺炎确诊病例。
