嘿哈耶,:所以这畜牲到底为什么要吃蝙蝠
____最爱___,:病毒变异了我就想问问那个吃蝙蝠的你的b嘴是有多馋？？
福田麦,:这不扯淡吗，炒个破股票，还不一定能赚钱，却把人整的像是经济学家似的，啥都要牵挂，啥都要关心，国内国际，政治、经济、军事、科技，科教、文化、旅游、美食、果子狸、蝙蝠、蝗虫、疫情、钻石公主号、特拉普大选、美联储降息、原油、黄金，亚太股市、欧洲三大傻、美股三大指数走势，这还没完，还要午夜不睡觉，看夜盘，给自己弄成个夜猫子！炒个股票容易吗？这几天A股大盘上蹿下跳，心啊！忽忽悠悠，头，弄得晕晕乎乎。不炒，手痒；炒，心累，更可恨的是亏多赚少，这可咋整？
在爱意里沉眠,:我恨蝙蝠！！！！
我是专门来围观右边的,不是我说你们，中国人民应该多交点洋气的朋友，少交点那些包着裹头布披着大黑头巾留着大胡子的朋友，没啥好处。都跟古代人差不多，学不到什么先进的东西，一不小心还把自己学坏了。人往高处走，物以类聚人以群分，如果交不到高级朋友，那就是自己有问题，得把自身的坏毛病改一下。你们说是不是这道理
0_狐狸_0,:我去，并不是所有的蝙蝠屎都能入药。一直对动物类药物不感兴趣，也没仔细读过，今天才知道只有一种蝙蝠的屎才能入药，这种蝙蝠很难见到。别被中医黑子带偏了。
正在成为富婆的道路上,:真是无语严叔他们的崽前世吃多了屎脑壳拌了死东西送你去吃蝙蝠大早上气到我了
问沉1,#枪腔锵呛[超话]#今日惊蛰，蛇都出洞了，你们还得继续在家呆着[笑哈哈]#裸枪[超话]#
举铁妖精夏林果,:昨天看热搜还以为韩意伊是个韩国人吗的我还想韩意伊这个韩国人比蝙蝠还nb80%境外的病例都来自她
波动回来,:遂在枉死城歇了一日，钟馗驾起祥云，神荼摇身变了一只蝙蝠在头前引路，郁垒化了一把宝剑，伏在钟馗背上，众鬼跟随，齐赴幽冥地府森罗殿，求见了阎君，将鬼录呈上。阎君一见大喜，又将斩鬼的缘由细问了一遍，遂命摆筵庆功。饮酒中间，这钟馗把穷鬼、累鬼引到阎君面前，
泽泽草莓酱,:这该死的疫情打乱我的人生计划。那个吃蝙蝠的shabi我恨你
今天取了1个名字,:#007推迟上映#我我我我弄死几个吃蝙蝠的人不对我我我弄死美国人不对我我我弄死病毒
智笑涵,:最近总是做梦什么奇怪的梦都有比如梦见双彩虹被蝙蝠咬直播pk画眼影衣柜被我姐换了亲亲拼演技刚刚梦见老师发腾讯会议会议号闹钟响后我赶紧进去输入会议号就是进不去最后才发现是盗梦空间id
SleepyTed_,:我求求吃蝙蝠的赶快死去吧
亚麻再唱LoveSong前不改名,:蝙蝠身上也有病毒，问题是你不生吃它的话，它会传播病毒给人类吗？那宠物狗是怎样染上病毒的呢？它家主人有确诊吗？
朵拉_司令,:气场不可抑制的强大……假两件条纹蝙蝠衫牛仔短裤防水台高跟鞋
这柄飞起引擎,:会有那么一个人用尽全力爱上我的全部……这个自己那么安静！色彩和款色都很重要，我们常常能在一件宽松的蝙蝠袖T恤里。~语录！我深深相信；...、很有经典的英伦感，宽松蝙蝠袖大码短袖T恤。
喂哦嗯呐,:#记忆中最穷的一次经历#那要从一只蝙蝠的故事说起了
不考上研究生不改网名yes,:
Letitia_Menethil_Leite,我不得不承认，大本的蝙蝠侠让人非常有冲动。叔叔！！！！
小猪迷路辽,:母蝙蝠同事室友早上五点多爬起来一会儿进厕所一会儿出厕所不知道在干啥我快精神崩溃了昨晚就开始作妖盖着马桶盖坐马桶上玩手机半晌不出来快给老娘憋死
Crijim,:开学时间不知道所以这个暑假怎么放假也不知道想出去玩的机票都不好订呵呵我还是要再骂一遍吃蝙蝠的nmsl
一把碳灰,:丁离开车车迷有个啥意难平毕竟车可是选择留裤袜（绝不绝？你好骚啊.jpg而且还跑了意难平反骨仔还有些道理）而且丁和鹅当时相当地不对付丁倒是挺坦诚鹅那个拽劲有时候相当烦人当初说丁是只会“自由传球”的花瓶现在又成小甜甜啦？至于大席，当初从蝙蝠来为什么没去隔壁？害，巧了，也因为当初鹅不太想要啊！隔壁最后也觉得无所谓不想谈判了，往自己脸上贴金说本来是我们的也是好啸。当然后话是隔壁最后和裤袜走到一起了，破锅配烂盖，那可不是绝配么。
ukdatou,新京报：《石正丽团队两年前已发现蝙蝠冠状病毒感染人现象》石正丽团队两年前已发现蝙蝠冠状病毒感染人现象
肯偶舒展干,:巨蟹座（沃尔沃）狮子座（梅塞德斯：奔驰）处女座（保时捷911）天秤座（宾利雅致）天蝎座（法拉利）射手座（道奇挑战者）、摩羯座（红旗旗舰）水瓶座（兰博基尼蝙蝠）双鱼座（阿尔，代表12星座的名品豪华车】白羊座（悍马）金牛座（劳斯莱斯Corniche）双子座（玛莎拉蒂）。【解读星座研究
飞花涟翩,新华网文：理直气壮，世界应该感谢中国理直气壮，世界应该感谢中国
禾日文,:噩梦刚醒，趁还记得。一堵L型墙上一条传送带，终点绞肉机。一堆狰狞的蝙蝠和野生动物争相往绞肉机里挤。一颗牛头被挤下黏在残垣墙尾，被两只蝙蝠守卫发现，径直飞来，这🐮就是我😰满溢的无助感，奋力移动，掉地，被旁边一老妇放进水桶，带回家后发现还会动，随后参加了一系列“会展。僵尸大片既视感，尤其是无助感酸爽，值的是，似乎发现了新冠起源，和野生动物有关，和肉价飙升有关，和发起贸易战的美国有关，讽刺的是小冠要寻根问祖，老美自求多福吧
赵梦如-,:啊我真的服了大早上刷两下微博简直要吐了纯看完陈情令之后对肖战最普通路人粉一个人都看不下去了都是啥跟啥啊喜欢肖战的就都是nc不管你是什么理由反正你喜欢了你就是nc就好像吃蝙蝠的也是肖战粉丝咋的都不行了就真的爱了这世界果然越来越难懂
AyaKato_,:一到final就开始焦虑的不行更绝的是判了3个月的假期也没了
少年英雄小Z,:想和朋友一起出去玩我回来还没见着他们还没和他们一起玩还没跟他们哭脸说我多认真结果筐了瓢哈哈谁他么要吃蝙蝠的啊
你是意难平,:吃蝙蝠的不得好死wcnm
去了地狱一趟,:所有不开心要从一只蝙蝠说起
折耳妹猫子,:每次入睡前都分为两个状态：要么极度舒适，要么极度焦虑🤷🏿♀️不过再不开学我就要变成蝙蝠了🦇
DKCCJ,:妈蛋，也不知道是作息不规律大姨妈推迟，还是...怀孕了
环球知音,新京报：《石正丽团队两年前已发现蝙蝠冠状病毒感染人现象》石正丽团队两年前已发现蝙蝠冠状病毒感染人现象
荀雁萍黎,:由著名导演曹保平执导；罗晋……最优雅的版型。加大的U领优雅清凉；小蝙蝠袖带来率真随性质感：童蕾
孟柏杨,:日常生活的自我呈现我们是这城市爱熬夜的猫头鹰是隐藏真情实感的变色龙是早晨睡懒觉的狗熊是通宵达旦的红眼兔子还有许多八面玲珑的蝙蝠你瞧是不是和谁似曾相识呢梦想变成天鹅的企鹅不想改变的树懒失恋也要单腿坚持站立的火烈鸟点头哈腰的猕猴对狮子豹子俯首称臣的鬣狗瞧神似猿猴的人正指着我能会说八道的八哥打个招呼却不搭理心血来潮时也会感叹两句生活寂寞奴奴不休后的第二日一早经常失落你瞧是不是和谁似曾相识呢
户俊明丶投缘,:今天下班回到家、“当然家里的好啊！刚坐下老婆便过来问道！款式是比较宽松的：”：小蝙蝠袖的设计……搭配短裙短裤什么的非常好看……我不假思索回到：荧光绿清新甜美……
喃九_L,:有只蝙蝠从空调钻进我房间了啊啊啊啊啊啊啊啊啊啊
就知道bb撒,:刚刚房间飞进了一只蝙蝠。。半夜狂叫我爸爸。然后他开门，蝙蝠飞出去了。太可怕了，太可怕了，吓死了，吓死了。回味到现在还在奇怪，他从哪儿飞进来的。
marsvert,:不行我觉得这个蝙蝠车得了机械痔疮，需要基顿那辆来捅一捅（
万象象OMNI,:什么时候才会释出蝙蝠耳朵特写！！
ydsru078,:有种80、衣衣是透视雪纺材质：撞色横条纹的醒目设计；下摆是蝴蝶结打结！清新的海军风；90年代怀旧的风格……袖子是宽松的蝙蝠袖
绯燃烈冰,:养殖蝙蝠就不是野生的了？可以吃了？一不通过立法就可以，既然通过就不该留死角。所以我之前反对禁食野生动物。
想到沙漠开吉普,:睡不着，我看我同学微博美妆视频，画着画着她就开始叨叨，一股大碴子味儿“你说，贼这么无聊滴，掉地似为啥捏，还不四因为一只蝙蝠，这帮瘪犊子啥玩意都疵”笑死我了这么录领导过关吗哈哈哈
一根羊毛咩咩咩,既然知道他团队下场了，那就应该知道想趁机置他于死地的团队也覆载其中。当下众说纷纭，哪些是板上钉钉的事实，哪些是被煽风点火引出来的谣言，谁又能彻头彻尾辨得清？批评、指责甚至是唾骂都不可怕，这本就是一个公众人物该照单全收的。情绪轻易被煽动，听风就是雨，毫无独立思辨能力，才最令人惊怖。
2b只是平等铅笔小脚裤,:淡雅简洁！尽显妩媚风情。橘色蝙蝠袖蕾丝宽松T恤+白色紧身裤+白色单鞋！肩部的蕾丝微透视：蝙蝠袖设计可以修饰不够丰满的上围、白色紧身裤配上白色单鞋
千道光芒比海深M,:不再平庸乏味：中长蝙蝠袖型！因褶皱荷叶边而泛起光影涟漪：半透面料。清淡如水的白色，两侧别致的褶皱让衣摆更具廓形……
一头熊yu,:好想买我花的李宁可我没有钱好想买我花选的美宝莲口红可我没有钱要是现在突然官宣演唱会我可能只能坐在门口停了都是那吃蝙蝠的傻b害得我！！！我恨！！！！
健康管理师冯文婷,:#保护野生动植物就是保护人类自己##意大利决定关闭全国学校及大学#庚子大灾，全球无一幸免。疫情、蝗灾、山火、雪灾、干旱、火山爆发、飓风、海啸、洪水肆虐、永久冻土层解冻、北极甲烷大爆发、珊瑚礁死亡、澳大利亚大蝙蝠咬人……诚然，环保需要全世界的配合，需要新科技的力量。但我们每一个普通人，也是不可或缺的一份子。对于我们每一个普通人来说，环保不需要特殊记忆，只是一个小举措而已。暖气降低2℃，空调调高2℃；去超市购物，尽量自带环保袋；不买动物皮毛制品；拒吃野生动物；做好垃圾分类；随手关闭电源；………从我做起，从身边的小事做起，保护地球母亲[加油][加油][加油]
独孤求助的灰木崖,新华网文：理直气壮，世界应该感谢中国理直气壮，世界应该感谢中国
落幕T繁华,:#新冠病毒攻击中枢神经系统#这玩意成精了么？真是讨厌的不行！赶快走吧，人间太苦，不适合你们，去找蝙蝠小可爱玩吧，它可能比人类欢迎你们，你们还可以和平共处！
W-ZHAOYANG,:#肖战#到现在也没明白为什么肖战会被骂得这么惨，粉丝犯错怎么变成他的错了，那如果最开始吃蝙蝠的人说他是肖战粉，那新冠病毒的蔓延就是肖战的错了？？？真的完全不能理解，而且那个人是真的粉丝还是黑粉有谁能证明吗？从素人走到现在，红得太快，也没有什么背景，踏踏实实在家隔离，啥也没做，就被全网骂，希望大家换位思考，粉丝这么多，是人是鬼根本分不清，我衷心的提问，你觉得他能管得过来吗？
一个橘子魏,:我为什么要大半夜看美食视频这要从一只蝙蝠🦇开始说起
我可喜欢可喜欢你了呢,:要不是该死的蝙蝠🦇，我现在已经知道Q是谁了。这个寒假我已经刷了五六遍唐人街探案了，要哭辽，快告诉我Q是谁，我保证不乱说@刘昊然turbo@刘昊然turbo@刘昊然turbo
xIoUx,:我以前不爱喝可乐的，但是这两周我喝完了四大桶可乐，为什么呢，这都要从一只蝙蝠说起…
-佛挡杀佛,:再当两天不休蝙蝠就可以看到曙光了
一年只让改一次我就想不出名字,:我为什么会从第一集开始看火影，故事要从一只蝙蝠说起...
居火鱼,:为什么看火力少年王呢？这要从一只蝙蝠说起
Jingyiiifu,:每天药比饭吃的都多
均主立贤,:本来可以多打几家卡的，本来229颁奖礼可以去现场直嗑的，本来3月可以墨西哥迪拜云追星的，本来3月有签售可以看的，现在考古都没得考了。故事都要从一个吃蝙蝠的XX说起……
Vitasoy_爱好者,:我本来一个月或者十来天才发几条微博，227以后一天几十条，我闲的慌啊，下了班除了微博还能在哪里找到同好啊，本来只是默默看文追星磕同人的，现在天天网上冲浪来骂人，这一切怪谁啊？别甩锅给吃蝙蝠的人啊，疫情期间👨🏻🦳也过得很快乐很充实，都是因为@X玖少年团肖战DAYTOY你的粉丝啊，难受
摸摸界,感觉D伯爵跟纽特可以成为好朋友呢…………
EchoMerci,:从疫情一开始的时候其实我们武汉人民就被全国人民口吐芬芳了，真的的确是百口莫辩。被说武汉人民都吃蝙蝠的（虽然我连见都没见过蝙蝠），疫情发生到如今虽然我们的确是受害者，可能还是最大的受害者，但是其他地方的人民也是同样的受害者。我一开始就被骂过了，就是那种地域黑，而我又太想太想证明自己没有错，其实也许我是错了。这里说错了点就是太急于证明自己所谓的“正确”和“公平”。其实我看了很多铺天盖地的评论和骂声，但是究其根本大多是情绪化宣泄，但是我记得有一个人说过一句话“你们武汉人能不能谦卑一点点”，其实我突然就明白了。大家想要不过是一种平和和示弱，绝非是以“刚”正“刚”，而武汉人普遍是“刚”和“直接”。举个例子吧，当年的德国可以说犯下了泯灭人性的恶行，对世界的伤害和毁灭不会低于现在肺炎吧，但是它二战后的态度以及之后的行为，如今几乎还是好评满分的国度。再说说同样的日本，历史是值得铭记，中日关系有紧张有缓和，但是这次疫情日本的行为也同样是为它赢得了掌声。所以，外界的声音那么多，换个角度想，风暴中心的我们的确应该谦卑一点，不是因为我们错了，而是因为我们要做得更好。声音被听到不能解决问题，能解决的问题的是我们记住请记住这一场漫长的伤痛，也记住本不该牺牲的人。被骂解决的最好方法真不是骂回去，而是不能让自己再被骂！
小熊软糖要喝O泡果奶,:蝙蝠让我们相遇
马丫子哈哈哈,:原本准备关灯睡觉的，房间里忽然飞出来一只小蝙蝠，应该是小蝙蝠。围着房间转圈。。之前也有在房间出现过，这次还是打开窗飞出去了。但是，睡不着了，如果真的是蝙蝠，它飞过的地方会不会有病毒
哈尼猪鹅,:爆炸想吃麻田会！吃啥蝙蝠吃点田鸡不好吗
会唱歌的猫12138,:如果没有这场瘟疫。这个月就能开开心心的去看杨千嬅，下个月去看林俊杰，还能按原计划去看王一博，还有去泰国看sk。也不会有这些因为闲惹出的乱七八糟的事。去死吧吃蝙蝠的那些人！！
Olhkonvd-chlger,:家里的老人说蒙古人称蝙蝠为“burhannxibvv”（神de鸟）白天的时候在暗处观察人类的动向晚上出来跟佛祖汇报.
侠女瀾兒,:我太烦了做梦梦见一堆蝙蝠🦇恶心醒了
蕊之锋,:刚🐷一直在和我抱怨，到底谁吃了蝙蝠啊，导致我都见不了我媳妇，好不容易一个假期，我就想和我媳妇好好在一起过个年，怎么就那么难啊，我好不开心啊，唠叨了一翻后，然后对我说，如果妈不让你来我家，你也别和妈闹不愉快，我发发laocao就好了。我也想见我家🐷啊，非常想，可惜我妈不允许啊，除非等着🐷那边能让出市来我家订婚了，不过这种情况感觉都很渺茫
唯有天地不老,:#诗#蝙蝠的自白2020年3月4日星期三2020年一月的某一天，冬眠的蝙蝠被突来的诅咒惊醒，它们在黑夜里疾飞呼号：为什么？为什么？难道不是你们千百年来把我当做吉祥幸福的象征画在喜庆的年画上绣在漂亮的衣服上烧制在精美的瓷器上?你们冠我以虚幻的光环，转身又给我扣上恶魔的帽子。哦，原来你们的喜欢不过是想借我的名字讨个口彩。我不是蝙蝠侠，也不是恶魔，所以栖身于黑暗，只因我不需用眼睛看这世界。黑夜与白天有什么不同？形同虚设的障碍是我自由翻飞的背景。我的生存只需飞虫，你们的欲望却是所有。傲慢而贪婪的人类啊，你们随意侵犯我的领地，却忘了其实你们和我一样，都不过是这包容万物的天地的刍狗。
我想赢便能赢,:#新冠病毒攻击中枢神经系统#sars的惨痛教训只让人记住了17年，果子狸血迹未干，穿山甲和蝙蝠又被摆上餐桌，不知道人类什么时候才能学会敬畏自然
Dear瑶__,:我希望当初那个吃蝙蝠的人已经死了，原谅我这个今年的应届毕业生没有那个善良的心…
莱萌no呆萌,#前主持人阿丘已被央视封杀#据央视总编室知情人士透露，央视前主持人阿丘已被彻底封杀。此前由阿丘作为主持人出镜的某档社会类节目，也已经在2019年底被调整。
香辣大花猫,#前主持人阿丘已被央视封杀#据央视总编室知情人士透露，央视前主持人阿丘已被彻底封杀。此前由阿丘作为主持人出镜的某档社会类节目，也已经在2019年底被调整。
南木有枝丶,:举报狗和吃蝙蝠的今年一起下地狱谢谢
请继续保持热爱,:每天，我爸妈一吵架，我就想着是不是我在家时间太长了所以激化他两的矛盾。又或者，是我上辈子吃了蝙蝠害全国人民坐月子了？所以这辈子都是报应？可能因为这个，我再也不会相信爱情了。苟活吧少女
AteasexzJ,:凤凰寿，百鸟朝贺，惟蝙蝠不至。凤责之曰：“汝居吾下，何倨傲乎？”蝠曰：“吾有足，固兽也，贺汝何用？”一日，麒麟生诞，蝠亦不至。麟亦责之。蝠曰：“吾有翼，固鸟也，何以贺与？”麟凤相会，语及蝙蝠之事，互相慨叹曰：“如今世上恶薄，偏生此等不禽不兽之徒，真乃无奈他何！”
踏破铁鞋28,转：伊朗新冠中招和正在医学观察的高官总统：隔离副总统：确诊国家安全外交政策委员会主席：确诊工业部长：确诊前司法部长：确诊卫生部副部长：确诊德黑兰市长：确诊革命卫队反间谍部门负责人：死亡国务委员会委员：死亡国会副议长：死亡前驻梵蒂冈大使、神职领袖：死亡前驻埃及大使：死亡另有二十余名议员确诊，不止一名议员死亡。
Oxygen-R,:#鼓浪屿3月6日起恢复向公众开放#本来3.8日要去的
早晚会拥有自己的羊驼,:我真是想骂吃蝙蝠的了卧槽我要疼一晚上睡不着么就因为你吃蝙蝠带来疫情口腔科都不上班我牙都不能拔我真是要分分钟骂人
·摘顆星星給我·,:好久没骂中国移动了请问你家网速最近吃蝙蝠了吗
一起去住养老院吖,:#这件事还要从一只蝙蝠说起#3.4Day28✔️周六野拉伸5分钟✔️帕梅拉手臂10分钟✔️Pumpitup77分钟✔️弹力带蚌式开合左右各100个✔️女团腿大腿7分钟✔️女团腿小腿10分钟✔️体态大师改善假胯10分钟✔️腿靠墙40分钟
不需藏掖,:
譚澤棟tony,:南北极，是地球气候变化最透明的镜子。这一年，更将载入史册：庚子大灾，全球无一幸免。疫情、蝗灾、山火、雪灾、干旱、火山爆发、飓风、海啸、洪水肆虐、永久冻土层解冻、北极甲烷大爆发、珊瑚礁死亡、澳大利亚大蝙蝠咬人……遗憾的是，多少人正在无视这些预警？
蜂蜜芥末小垃圾,:我为什么要花这么长时间写这么沙雕的东西！首页的太太们更文了！我又好了！忒桶真好吃！桶桶超可爱！！！！！！！！！我好爱桶桶。他这么可爱为什么要被辣鸡大蝙蝠家暴
国际环保网,:根据新型冠状病毒的演变方式推测，L亚型和S亚型的传播能力、致病严重程度或许存在较大区别。两个亚型的区别在于病毒RNA基因组的第28144位点，L亚型是T碱基（对应亮氨酸，Leu），S亚型是C碱基（对应丝氨酸，Ser）。通过与其他冠状病毒比较，作者发现S型新冠病毒与蝙蝠来源的冠状病毒在进化树上更接近，从而得出S型相对更古老的结论。
AmandaQRT,:我都想好了，布大不是快上网课了么，我那个离布大那么近，以后我就是大不列颠家里蹲大学毕业的，感谢蝙蝠赐给我的独特的人生经历
尹尹尹尹一安,:沉迷于种植是做实验。关于湿媒体，生命艺术，生物艺术。媒介语言和跨媒体。沉迷于做饭是思考伦理。关于“吃”这件事。吃胎盘补身体，吃穿山甲，吃蝙蝠汤。人，吃的界限到底在哪里。
超爱鲜榨柠檬汁的我吖,:为什么每天都有瓜可以吃呢？还要从那只蝙蝠说起呀
-一千0二十七-,:多亏了蝙蝠又看了一遍团结大会清迈life悠太tour也看完了下一个看梦梦们啦
矮蘑菇菇菇菇的菇凉,:#dmzj#哈哈哈，肖战粉丝是真够厉害的～啥都能举报～抖音还看到说第一个吃蝙蝠的也是肖粉～是不是太玄幻了点～看不懂娱乐圈各种饭圈的操作了……
吃一顿好的今天,:报个体温，天天40度，还不发热，你蝙蝠啊
枝时个芝士,:蝙蝠要怎么画头疼
阿狸的小新,:太可怕了，我房间后窗户的缝里夹了一只蝙蝠，出不来了。太可怕了，我去
ss饱和,:蝙蝠免疫系统强大，很大程度上是因为他们体温能保持较高的40℃。研究显示，体温每降低1℃，免疫力就会下降30%以上；
林楚方,:“白左”、政治正确和针对华人的种族歧视。什么是种族歧视？就看是不是把族群里个别人的行为，加诸族群里的所有人。比如，说“中国人都很脏”，“中国人喜欢吃蝙蝠”，就是种族歧视，只针对群体里某些特定势力，就不算。但要这些势力把他解读为种族歧视，然后绑架全体族群去排外。那“华人”是否正在遭受歧视？是的，比以前更严重，新冠加剧了歧视，而能为华人说话的声音，正在变得微弱，当然，变得微弱也有我们华人的功劳。前几年有次去法国，当时赶上要大选，我问了几个当地华人，投票支持谁？结论都是右翼政党，为什么？因为右翼反对移民，反对高福利，而我们华人那么勤劳，为什么帮政府养这些懒汉?几天后，遇到巴黎大学的一个华人学者，说起这段他一直摇头：“这些人，每次票都投给右翼，但，发生针对华人种族歧视，能站出来帮华人说话的，都是他们最讨厌的’白左‘”。“白左”是啥？其实就是还要点脸的那批白人。都变川普，那是连脸都不要了。
