中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
新快报,:#同舟共济战疫情#【#广东确诊零新增#！新增出院30例，累计出院1159例！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。（广东卫健委）
深圳微博发布厅,:#防控工作每日发布#【确诊0新增！新增出院30例，累计出院1159例！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。http://t.cn/A67TAJpr
深圳特区报,:【3月4日广东无新增新冠肺炎确诊病例，新增出院30例，累计出院1159例】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。http://t.cn/A67TGRPw
新浪广东,:【3月4日广东确诊0新增，新增出院30例，累计出院1159例】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。#广东抗击新型肺炎#【专题报道】http://t.cn/A6P5cggj【治愈出院】@汕头发布今早又一例新冠肺炎患者治愈出院！http://t.cn/A67TKKXL@健康广州截至2020年3月4日24时广州新增治愈出院9例http://t.cn/A67T9XZj@深圳卫健委截至2020年3月4日24时深圳新增治愈出院9例http://t.cn/A67T9XZE@珠海卫生健康截至2020年3月4日24时珠海新增治愈出院1例http://t.cn/A67T9XZl
宝贝回家-荣发,:#荣发帮寻人[超话]#寻2000年生2005年在广东省韶关市坪石镇金鸡中路街道失踪的胡振华（男）其中一只眼睛里有颗黑点，屁股上有青色胎记。父亲胡芝南在坪石摆夜摊卖臭豆腐、母亲王小英，是残疾人，不能走路，哥大他两岁、妹小他两岁，知道自己是湖南人。住出租房，旁边有颗栊树，前面是富丽酒店。去小店买东西时失踪。http://t.cn/E7CHcgl
KISSU婚礼造型馆,:新娘造型|KISSU教学团队-Lingling老师韩式的新娘造型给我们一贯的感受就是唯美，精致，自然又凸显气质，让一切看上去都那么美好💕#广州深圳佛山东莞清远韶关市化妆师跟妆##专业化妆造型培训##广州零基础学化妆##广州化妆师#
中国社会福利基金会,:2月29日至3月3日，广东省伙伴机构-英德市亮石志愿者协会联合梅州市关爱妇女儿童社会组织中心、清远市青桥社会工作、韶关市乐善义工会和广东救援辅助队、湛江市情暖湛江志愿者协会、江门市应急总队在清远、韶关、广州和英德、梅州、湛江江门开始疫情防控工作。英德市亮石志愿者协会向省内其他伙伴转运一次性口罩50000只，免洗洗手液50箱，用于支持英德、清远、湛江、梅州、韶关、广州、江门等城市一线防控工作；其间，各伙伴主要开展社区消杀、驻点排查、线上线下宣传和物资捐赠活动，在近6个社区、街道进行了防疫宣传和物资发放，对余个社区、单位、街道进行了防疫消杀、人员排查等工作；湛江市情暖湛江志愿者协会，持续开展慰问一线防控点防控人员的活动，组织志愿者早晚给一线防控人员送餐、梅州在西郊街道进行驻点防控，同时向西郊街道防控点和未成年人心理咨询捐赠免洗洗手液。
梁武才,:#家寻宝贝#寻2000年生2005年在广东省韶关市坪石镇金鸡中路街道失踪的胡振华（男）其中一只眼睛里有颗黑点，屁股上有青色胎记。父亲胡芝南在坪石摆夜摊卖臭豆腐、母亲王小英，是残疾人，不能走路，哥大他两岁、妹小他两岁，知道自己是湖南人。住出租房，旁边有颗栊树，前面是富丽酒店。去小店买东西时失踪。http://t.cn/E7CHcgl
宝贝回家,:#家寻宝贝#寻2000年生2005年在广东省韶关市坪石镇金鸡中路街道失踪的胡振华（男）其中一只眼睛里有颗黑点，屁股上有青色胎记。父亲胡芝南在坪石摆夜摊卖臭豆腐、母亲王小英，是残疾人，不能走路，哥大他两岁、妹小他两岁，知道自己是湖南人。住出租房，旁边有颗栊树，前面是富丽酒店。去小店买东西时失踪。http://t.cn/E7CHcgl
韶关天气,:#晚间天气#【市区短时天气】预计未来3小时，市区，阴天，有小雨，偏北风1-2级，10到12度。韶关市气象台2020年03月04日20时发布
韶关那些事儿,:#韶关爆料#【注意啦！韶关市区风采楼路口交通信号灯试运行期间可右转、直行、左转~】今日，记者从韶关市公安局交警支队了解到，为进一步提高道路通行能力，从3月3日起，市区风采楼路口交通信号灯开始试运行。交警部门相关负责人告诉记者，以往在市区驾车由东往西通过风采桥后，不能直行风采楼，也不能左转往市委方向，只能向右转在东堤横路（青石街）路口红绿灯调头往熏风路方向，现在试运行期间，驾车由东往西通过风采桥后，可以右转、直行、左转。据了解，该路口每天车流量大，来往行人多，特别是早晚高峰出行时段，时常发生堵车现象。该路口增设红绿灯后，能很好地规范行车秩序，提高路口车辆通行能力，保证行人安全横过道路。交警部门提醒广大市民此处安装有交通违法电子监控设备望能自觉遵守交通信号灯安全驶车和出行来源：韶关新闻网http://t.cn/RyhWvRV
韶关鹏程万里人才网,:韶关华汇工艺制品有限公司机械维修工喷油技工包装部组长采购助理普工维修电工注塑部领班换模工质检员办公室文员电话：0751-8219826邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市沐溪工业园沐溪大道228号详情请登录：http://t.cn/RtGbQIo
韶关鹏程万里人才网,:韶关蓝威消毒药业有限公司化工检验员1、负责产品研发、生产过程中的化验/取样/分析/监督工作；2、完成合乎规范的研究分析报告；3、负责分析仪器的日常维护。任职资格1、化学、应用化学、药学相关专业(专科)以上学历；2、有1-2年的化学分析相关经验；3、熟悉各种现代分析仪器及化学分析方法；4、具备一定的沟通计划及执行能力，具备较强的资料检索、分析、整理能力；5、有良好的工作心理素质和团队合作精神。联系电话：0751-8219830投递邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市乳源瑶族自治县乳桂线一六镇蓝威科技园详情请登录查看：http://t.cn/A67WDnhD
平安韶关,:【武江公安巡控组筑牢疫情防控安全线】当疫情席卷而来时，身披藏青蓝的广东省韶关市公安局武江分局巡逻防控组队员连续奋战在工作岗位，坚守在防控一线，尤其是医院、汽车站、商场、公园等人员密集场所，严格落实重点部位巡逻防控，他们巡逻的身影随处可见，全力维护社会安全稳定和人民群众的身体健康及生命，他们以实际行动为辖区群众筑牢一道固若金汤的“安全线”。01、一种责任叫“疫”不容辞武江分局副局长丁晓宇是该局巡控组的“领头羊”，他带领12名警员，会同区城管局工作人员组成巡控联合力量。丁晓宇每天工作连轴转、加班到深夜已经是常规动作，往往是“早餐午餐一顿吃，宵夜代替晚饭吃”，凌晨时分，队员们都已经拖着疲惫的身躯休息时，他却还坐在电脑前进行着一天的工作总结，把思考到可能遗漏的问题及时发到工作群组，部署好次日的工作计划。至今他都没有彻底放松地休息过哪怕是半天，没有安心地和家人吃过哪怕一顿饭。2月3日晚，丁晓宇带领巡控队员，发现武江桥底有落水者浮在水面上，双手趴住桥墩，情况十分危急。此时寒风冷雨，武江河水水温低于10℃，并且淤泥堆积，深浅难测。危急时刻，丁晓宇带着队员没有退缩，毫不犹豫地跳入河里进行救援。由于落水时间较长，男子体力不支，无法行走。丁晓宇赶紧将自己的警服给男子穿上后，又将其搀扶到河堤上。落水者被救上岸后，冷的一直打哆嗦，丁晓宇迅速与医护人员合力将落水者抬上救护车送往医院救治。02、一种担当叫“疫”无反顾疫情防控当前，该局民警陈锦芳每天“战斗”于武江辖区的各公共场所、街道、小巷，宣传防控知识、督导商家做好防控工作、劝离聚集人群。自从上岗的那一刻起，陈锦芳就早出晚归，再也没有和家人一起吃过一顿团圆饭。妻子为了让他在前线工作没有后顾之忧，带着孩子搬到了公婆家，方便照顾老人和孩子。正月十五晚上，陈锦芳已经15天没和孩子见面了，他见缝插针地与家人微信视频连线想看看孩子，可是听见的一句就是“这都几点了，孩子早睡了”。他一看手机都快晚上11点了，偶尔一次能微信视频连线成功，陈锦芳发现孩子的额头上贴着退热贴。这时家中的大宝抢过手机不停地在问：“爸爸，你什么时候回来看我和弟弟啊?弟弟发烧，妈妈刚才都哭了，我替你抱了抱妈妈。”听着孩子稚嫩的发问，陈锦芳忍着内心的牵挂和难过，一遍遍地安稳大宝：“快了，快了，你在家里乖乖的，疫情很快就会过去的，等疫情结束，爸爸马上回家好不好，我们拉钩，你要替爸爸照顾好妈妈和弟弟。”03、一个付出叫“疫”心为民谢晓是一名90后，他是巡控组里出了名的“谢唠叨”。“天气逐渐转暖，希望大家少出门，人多不要凑热闹。疫情还处于关键时期，自我防范很重要。”这些话，谢晓也不记得自己每天要重复唠叨多少遍，嗓子“冒烟”、声音嘶哑成为常事。除了每天在一线积极开展各项疫情防控检查和各项社会面防控工作以外，谢晓一旦发现有人在辖区重点场所聚集闲谈，他总会上前耐心劝导大家尽早回家，减少感染的风险。当遇到一些防护意识淡薄的群众时，就会与对方“磨嘴皮子”，面对面地给群众解释，宣传病毒的危害，动之以情，晓之以理，让群众了解其危害，消除抗拒心理，积极主动的配合疫情防控工作。谢晓一次又一次耐心的提醒，增强群众安全防护意识。谢晓的巡逻过程中，不少见到他的群众都会对他说一句“辛苦了，小伙子，我们听你的”。工作虽然繁重，但能够得到群众的支持和理解，谢晓觉得这一切都值得。连续不断的超强度工作，使年轻的谢晓看起来有些憔悴，然而面对父母的牵挂，他每天都要抽出一点点时间向父母报平安：“爸爸、妈妈不用担心我，我很好！”疫情防控社会面巡控组是一座坚实的堡垒，武江巡控组的队员们日夜兼程、毫无怨言，用脚步丈量武江每一寸土地，用汗水铸成一道安全屏障，让广大人民群众坚定了信心：严冬之后必是暖春，疫情之后必然百花齐放、花香满园。来源：法制网
韶关天气,:【市区短时预报】预计未来3小时，市区，阴天，有小雨，偏北风2级，10到12度。韶关市气象台2020年03月04日17时发布
韶关天气,:#上班天气#【市区短时预报】预计未来3小时，市区，阴天，有中雨，偏北风2级，11到13度。韶关市气象台2020年03月04日14时发布
三水发布,:#广东抗击新型肺炎##百城行动战疫情#【3月3日广东0新增，0疑似！】2020年3月4日广东省新冠肺炎疫情情况截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。
韶关发布,:【助力战“疫”|市监管部门5大举措加强药品医疗器械质量监管】记者昨日从韶关市市场监管局获悉，疫情防控工作开展以来，全市监管部门迅速行动，坚守一线，扎实履职，采取多项措施，全力抓好药品和医疗器械质量监管工作。http://t.cn/A67OaNpA
佛山市图书馆,:3月3日，广东0新增！无疑似病例！截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。
DV现场,:【3日广东新增确诊病例0例，新增出院48例】截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。
新浪广东顺德,:【3日广东新增确诊病例0例，新增出院48例】截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。http://t.cn/A67O7X7P
深圳特区报,:【3月3日广东无新增新冠肺炎确诊病例新增出院48例】据广东省卫健委消息，截至3月3日24时，广东省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。http://t.cn/A670rqiM
广东共青团,:【#广东连续两天无新增病例#新增出院48例，累计出院1129例】截至3月3日24时，广东全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。
新快报,:#同舟共济战疫情#【3月3日广东无新增确诊病例】截至3月3日24时，广东省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。（广东卫健委）
新浪广东,:【3月3日广东确诊0新增！新增出院48例，累计出院1129例】截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。#广东抗击新型肺炎#【专题报道】http://t.cn/A6P5cggj【重大举措】@人民日报第七版诊疗方案官方解读来了！http://t.cn/A67OetKC【治愈出院】@湛江日报湛江又有1例确诊病例治愈出院http://t.cn/A67Wao2q@惠州发布惠州市62例新冠肺炎确诊病例全部治愈出院http://t.cn/A67OSJA3@江门日报又有5名患者出院，我市累计治愈出院病例18例http://t.cn/A67OSJA1@东莞日报东莞又有8名患者痊愈出院，累计82人出院，治愈率已达83%http://t.cn/A67OKTTk@佛山发布再有3人出院，佛山累计出院69例！http://t.cn/A67WB6LQ【公益援助】@东莞日报虎门一企业定向捐102.6万元给东莞援鄂医护每人发1.8万元http://t.cn/A67OKAKe【各地动态】@荆州发布90后广东援荆护士凌晨下班，收到一份意外惊喜！http://t.cn/A67WXVml@南方都市报广州海珠湖重新开园，每日限流1000人http://t.cn/A67OSJAg@韶关发布致敬！韶关最美逆行者http://t.cn/A67OSJAB新冠肺炎30个最新判断http://t.cn/A67OSJAr@汕尾发布广东上岗志愿者超10万人http://t.cn/A67OSJAd@梅州日报田家炳基金会向梅州市捐赠1000套防护服http://t.cn/A67WXVmW@湛江日报湛江中心人民医院为到湖北抗疫一线的医护人员解忧http://t.cn/A67WXVmY@东莞时报东莞香市动物园面向全国医务人员免费开放！http://t.cn/A67OptEQ
