爱信阳,:#信阳生活#【3月2日信阳新增确诊0例，新增治愈5例！】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。（来源：信阳市卫生健康委员会）#新型冠状病毒感染肺炎#http://t.cn/A6hwF3tg
兵团日报,:#3月3日新疆（含兵团）1例新冠肺炎病例治愈出院累计治愈出院68例#3月3日，自治区（含兵团）又有1例新冠肺炎确诊病例经专家组会诊评估符合出院标准，今日出院，该病例为乌鲁木齐市病例。截至目前，自治区（含兵团）累计治愈出院病例68例，现有住院隔离治疗5人。
闪电新闻,:#威海身边事##山东新型冠状病毒肺炎最新消息#【持续更新丨3月3日0-12时，威海无新增新冠肺炎确诊病例】2020年3月3日0-12时，威海市报告新型冠状病毒肺炎无新增确诊病例。截至3月3日12时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1743人，已解除医学观察1742人，尚有1人正在接受医学观察。
洛浦V发布,:#战胜疫情，新疆在行动#新疆（含兵团）又有3例新冠肺炎病例治愈出院新疆（含兵团）又有3例新冠肺炎病例治愈出院
滨州发布,:【2020年3月3日0时-12时，滨州市无新增新冠肺炎确诊病例，治愈出院1例】2020年3月3日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，新增治愈出院1例，无重症和死亡病例报告。截至3月3日12时，累计确诊病例15例（含治愈出院14例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（已全部治愈出院）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
马鞍山发布,:#马鞍山战疫#【他们逆向而行跨江抗“疫”】截至3月1日，全市38例确诊病例，27例病例来自和县（含郑蒲港新区），和县也因此成为马鞍山地区的聚焦点和关注点。2月4日以来，马鞍山从市疾控中心、市卫生和计划生育监督执法局、市人民医院等部门单位抽调精干力量，蹲点和县，就地组织开展疫情防控阻击战。他们勇任战“疫”一线“侦察兵”2月4日，郑浦港新区白桥镇出现社区传播的聚集性新冠肺炎疫情，市委成立特别督导组，市疾控中心派出咨询专家组副组长方大春同志，进行驻点指导。2月17日，白桥镇疫情传播得到有效阻断，和县历阳镇出现多起社区传播疫情，方大春同志作为市防控专家组成员，带领防控派驻组，再次被派到和县疾控中心驻点防控。“哪里有新冠肺炎疫情，我们就要逆行到哪里，因为我们是‘疫’线战场的‘侦察兵’。”方大春说。他与派驻的同事以及和县疾控中心的工作人员一道，深入历阳镇清佛村进行调查，及时提出把清佛村汪武、顾庄两个自然村按照疫区管理，把所有村民进行集中隔离观察，集中力量排查这两个自然村外来人员，把握住了疫情传播控制的关键点，使得疫情没有传播其他村镇。在派驻组同志们的共同努力下，截至目前，清佛村已经连续多日没有出现新冠肺炎病例（包括阳性无症状病例）。他们在隔离点里再铸一道“隔离墙”2月22日，市卫生和计划生育监督执法局派出业务骨干吴晓明、吴兴宇前往和县，针对和县6个集中隔离医学观察点的设置情况与消毒工作，进行蹲点督导。“疫情面前，对于隔离点的消毒，要严上加严；对于消毒步骤，要细中见细。”吴晓明说，“我们要在隔离点里再建设一道公共卫生‘隔离墙’。”他在蹲点时发现，部分集中隔离点的消毒工作由第三方消毒公司开展，而消毒公司员工只经过简单的内部培训。他立即上报，与督导小组进行充分讨论后，要求各点撤出第三方消毒公司人员，由医务人员开展消毒工作，以确保消毒的效果。吴晓明和同事们对隔离人员产生的垃圾也很“上心”。他们发现，部分隔离点被隔离人员的生活垃圾未按照医疗垃圾进行包装、转运、登记。发现问题，立即纠正，经过督导组督导，各隔离点隔离人员产生的垃圾均能够按照医疗废弃物处置规范由巢湖市万山医疗废物处置有限责任公司进行处理。细节处见真功夫。督导组2月29日撤回市内，十几天的驻点工作规范了医疗机构的预检分诊工作和集中隔离点的消毒工作。他们为和县抗“疫”掏出“家底”过去的一个月，对市人民医院来说，太难了！人手紧缺是最头疼的问题。据悉，在这场疫情面前，市人民医院开辟了四个战场。支援湖北最前线，前后派出了9名医护人员；援助市第四人民医院，前后派出8名医护人员；为避免交叉感染，市人民医院开辟“发热门诊楼”，首批投入42名医护人员打了一场全封闭战“疫”，一个月之后，又派出31名医护人员进行接力。这一次，为支援和县抗“疫”，更是掏出了“家底”。2月21日下午，市人民医院专家派出副主任医师丁德权、院感办副主任王红、ICU副主任医师林海、消化科主治医师吴奇、肿瘤科主治医师王平等五人组成的专家组，进驻和县人民医院，指导做好患者就诊转诊、院感业务工作以及帮助做好预检分诊、发热门诊工作。“医护人员，只有做好自我防护，才能更好地服务病人，因此规范诊疗很重要。”丁德权说。10天来，专家组成员各自发挥业务特长，顺流程，建制度，强监管，补漏洞，为和县人民医院的抗“疫”工作做出了一系列积极有效的指导和建议。在市人民医院专家组的指导下，和县人民医院医护人员防控意识得到提高，保证了各项防疫、治疗工作有序顺利地开展。记者杨正文#战疫一线•你的身影#
威海日报,:【威海日报讯】#坚决打赢疫情防控的人民战争、总体战、阻击战#【
西安一套,:#关注新冠肺炎#【快讯！美媒：中国境外新冠肺炎确诊病例超万例】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。据CNN统计，其中包括阿富汗1例、阿尔及利亚2例、安道尔1例、亚美尼亚1例、澳大利亚31例（1例死亡）、奥地利10例、巴林49例、白俄罗斯1例、比利时1例、巴西2例、柬埔寨1例、加拿大24例、克罗地亚6例、捷克1例、丹麦3例、多米尼加共和国1例、厄瓜多尔7例、埃及2例、爱沙尼亚1例、芬兰3例、法国130例（2例死亡）、格鲁吉亚1例、德国158例、希腊7例、冰岛3例、印度5例、印度尼西亚2例、伊朗1501例（66例死亡）、伊拉克26例、爱尔兰1例、以色列12例、意大利2036例（52例死亡）、日本974例（12例死亡）、约旦1例、科威特56例、拉脱维亚1例、黎巴嫩13例、立陶宛1例、卢森堡1例、马来西亚25例、墨西哥5例、摩纳哥1例、尼泊尔1例、荷兰7例、新西兰1例、尼日利亚1例、北马其顿1例、挪威15例、阿曼6例、巴基斯坦5例、菲律宾3例（1例死亡）、葡萄牙2例、卡塔尔7例、罗马尼亚3例、俄罗斯6例、圣马力诺1例、沙特阿拉伯1例、塞内加尔1例、新加坡108例、韩国4812例（29例死亡）、西班牙73例、斯里兰卡1例、瑞典13例、瑞士18例、泰国42例（1例死亡）、突尼斯1例、阿联酋21例、英国35例、美国105例（6例死亡）、越南16例。#全球抗疫第一线#
威海播报,:【威海日报社讯】【疫情通报：3月3日威海新型冠状病毒肺炎疫情情况】2020年3月3日0-12时，威海市报告新型冠状病毒肺炎无新增确诊病例。　　截至3月3日12时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1743人，已解除医学观察1742人，尚有1人正在接受医学观察。　　备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。
如东关注,:【美媒：#中国境外新冠肺炎确诊病例超万例#】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。据CNN统计，其中包括阿富汗1例、阿尔及利亚2例、安道尔1例、亚美尼亚1例、澳大利亚31例（1例死亡）、奥地利10例、巴林49例、白俄罗斯1例、比利时1例、巴西2例、柬埔寨1例、加拿大24例、克罗地亚6例、捷克1例、丹麦3例、多米尼加共和国1例、厄瓜多尔7例、埃及2例、爱沙尼亚1例、芬兰3例、法国130例（2例死亡）、格鲁吉亚1例、德国158例、希腊7例、冰岛3例、印度5例、印度尼西亚2例、伊朗1501例（66例死亡）、伊拉克26例、爱尔兰1例、以色列12例、意大利2036例（52例死亡）、日本974例（12例死亡）、约旦1例、科威特56例、拉脱维亚1例、黎巴嫩13例、立陶宛1例、卢森堡1例、马来西亚25例、墨西哥5例、摩纳哥1例、尼泊尔1例、荷兰7例、新西兰1例、尼日利亚1例、北马其顿1例、挪威15例、阿曼6例、巴基斯坦5例、菲律宾3例（1例死亡）、葡萄牙2例、卡塔尔7例、罗马尼亚3例、俄罗斯6例、圣马力诺1例、沙特阿拉伯1例、塞内加尔1例、新加坡108例、韩国4812例（29例死亡）、西班牙73例、斯里兰卡1例、瑞典13例、瑞士18例、泰国42例（1例死亡）、突尼斯1例、阿联酋21例、英国35例、美国105例（6例死亡）、越南16例。
理财信息报,:【疫情动态：美媒：中国境外新冠肺炎确诊病例超万例】美国有线电视新闻网（CNN）消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。
三峡日报,:#三峡日报受权发布#【宜昌确诊病例931例，分布于292个社区（村）】截至2020年3月2日24时，全市累计报告新型冠状病毒肺炎确诊病例931例，分布在14个县市区(含宜昌高新区)、79个街道（乡镇）、292个社区（村）。
西安网,:【快讯！美媒：中国境外新冠肺炎确诊病例超万例】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。据CNN统计，其中包括阿富汗1例、阿尔及利亚2例、安道尔1例、亚美尼亚1例、澳大利亚31例（1例死亡）、奥地利10例、巴林49例、白俄罗斯1例、比利时1例、巴西2例、柬埔寨1例、加拿大24例、克罗地亚6例、捷克1例、丹麦3例、多米尼加共和国1例、厄瓜多尔7例、埃及2例、爱沙尼亚1例、芬兰3例、法国130例（2例死亡）、格鲁吉亚1例、德国158例、希腊7例、冰岛3例、印度5例、印度尼西亚2例、伊朗1501例（66例死亡）、伊拉克26例、爱尔兰1例、以色列12例、意大利2036例（52例死亡）、日本974例（12例死亡）、约旦1例、科威特56例、拉脱维亚1例、黎巴嫩13例、立陶宛1例、卢森堡1例、马来西亚25例、墨西哥5例、摩纳哥1例、尼泊尔1例、荷兰7例、新西兰1例、尼日利亚1例、北马其顿1例、挪威15例、阿曼6例、巴基斯坦5例、菲律宾3例（1例死亡）、葡萄牙2例、卡塔尔7例、罗马尼亚3例、俄罗斯6例、圣马力诺1例、沙特阿拉伯1例、塞内加尔1例、新加坡108例、韩国4812例（29例死亡）、西班牙73例、斯里兰卡1例、瑞典13例、瑞士18例、泰国42例（1例死亡）、突尼斯1例、阿联酋21例、英国35例、美国105例（6例死亡）、越南16例。
西安网络广播电视台,:【快讯！美媒：中国境外新冠肺炎确诊病例超万例】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。据CNN统计，其中包括阿富汗1例、阿尔及利亚2例、安道尔1例、亚美尼亚1例、澳大利亚31例（1例死亡）、奥地利10例、巴林49例、白俄罗斯1例、比利时1例、巴西2例、柬埔寨1例、加拿大24例、克罗地亚6例、捷克1例、丹麦3例、多米尼加共和国1例、厄瓜多尔7例、埃及2例、爱沙尼亚1例、芬兰3例、法国130例（2例死亡）、格鲁吉亚1例、德国158例、希腊7例、冰岛3例、印度5例、印度尼西亚2例、伊朗1501例（66例死亡）、伊拉克26例、爱尔兰1例、以色列12例、意大利2036例（52例死亡）、日本974例（12例死亡）、约旦1例、科威特56例、拉脱维亚1例、黎巴嫩13例、立陶宛1例、卢森堡1例、马来西亚25例、墨西哥5例、摩纳哥1例、尼泊尔1例、荷兰7例、新西兰1例、尼日利亚1例、北马其顿1例、挪威15例、阿曼6例、巴基斯坦5例、菲律宾3例（1例死亡）、葡萄牙2例、卡塔尔7例、罗马尼亚3例、俄罗斯6例、圣马力诺1例、沙特阿拉伯1例、塞内加尔1例、新加坡108例、韩国4812例（29例死亡）、西班牙73例、斯里兰卡1例、瑞典13例、瑞士18例、泰国42例（1例死亡）、突尼斯1例、阿联酋21例、英国35例、美国105例（6例死亡）、越南16例。
宜昌发布,:【宜昌市卫生健康委关于全市新型冠状病毒肺炎疫情分布情况通报】截至2020年3月2日24时，全市累计报告新型冠状病毒肺炎确诊病例931例，分布在14个县市区(含宜昌高新区)、79个街道（乡镇）、292个社区（村）。现予以通报。#万众一心抗击新冠肺炎##共同战疫宜昌加油#
香港衛視HKS,:【美媒：#中国境外新冠肺炎确诊病例超万例#】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。据CNN统计，其中包括阿富汗1例、阿尔及利亚2例、安道尔1例、亚美尼亚1例、澳大利亚31例（1例死亡）、奥地利10例、巴林49例、白俄罗斯1例、比利时1例、巴西2例、柬埔寨1例、加拿大24例、克罗地亚6例、捷克1例、丹麦3例、多米尼加共和国1例、厄瓜多尔7例、埃及2例、爱沙尼亚1例、芬兰3例、法国130例（2例死亡）、格鲁吉亚1例、德国158例、希腊7例、冰岛3例、印度5例、印度尼西亚2例、伊朗1501例（66例死亡）、伊拉克26例、爱尔兰1例、以色列12例、意大利2036例（52例死亡）、日本974例（12例死亡）、约旦1例、科威特56例、拉脱维亚1例、黎巴嫩13例、立陶宛1例、卢森堡1例、马来西亚25例、墨西哥5例、摩纳哥1例、尼泊尔1例、荷兰7例、新西兰1例、尼日利亚1例、北马其顿1例、挪威15例、阿曼6例、巴基斯坦5例、菲律宾3例（1例死亡）、葡萄牙2例、卡塔尔7例、罗马尼亚3例、俄罗斯6例、圣马力诺1例、沙特阿拉伯1例、塞内加尔1例、新加坡108例、韩国4812例（29例死亡）、西班牙73例、斯里兰卡1例、瑞典13例、瑞士18例、泰国42例（1例死亡）、突尼斯1例、阿联酋21例、英国35例、美国105例（6例死亡）、越南16例。
乌鲁木齐爆新鲜,:#战胜疫情，新疆在行动#【3月3日新疆（含兵团）1例新冠肺炎病例治愈出院累计治愈出院68例】#乌鲁木齐抗疫在行动#3月3日，新疆维吾尔自治区（含新疆生产建设兵团）又有1例新冠肺炎确诊病例经专家组会诊评估符合出院标准，今日出院，该病例为乌鲁木齐市病例。截至目前，自治区（含兵团）累计治愈出院病例68例，现有住院隔离治疗5人。
克拉玛依发布,:【权威发布】3月2日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例3例【权威发布】3月2日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例3例
议库,:【快讯！美媒：#中国境外新冠肺炎确诊病例超万例#】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。据CNN统计，其中包括阿富汗1例、阿尔及利亚2例、安道尔1例、亚美尼亚1例、澳大利亚31例（1例死亡）、奥地利10例、巴林49例、白俄罗斯1例、比利时1例、巴西2例、柬埔寨1例、加拿大24例、克罗地亚6例、捷克1例、丹麦3例、多米尼加共和国1例、厄瓜多尔7例、埃及2例、爱沙尼亚1例、芬兰3例、法国130例（2例死亡）、格鲁吉亚1例、德国158例、希腊7例、冰岛3例、印度5例、印度尼西亚2例、伊朗1501例（66例死亡）、伊拉克26例、爱尔兰1例、以色列12例、意大利2036例（52例死亡）、日本974例（12例死亡）、约旦1例、科威特56例、拉脱维亚1例、黎巴嫩13例、立陶宛1例、卢森堡1例、马来西亚25例、墨西哥5例、摩纳哥1例、尼泊尔1例、荷兰7例、新西兰1例、尼日利亚1例、北马其顿1例、挪威15例、阿曼6例、巴基斯坦5例、菲律宾3例（1例死亡）、葡萄牙2例、卡塔尔7例、罗马尼亚3例、俄罗斯6例、圣马力诺1例、沙特阿拉伯1例、塞内加尔1例、新加坡108例、韩国4812例（29例死亡）、西班牙73例、斯里兰卡1例、瑞典13例、瑞士18例、泰国42例（1例死亡）、突尼斯1例、阿联酋21例、英国35例、美国105例（6例死亡）、越南16例。@环球网http://t.cn/A67CtUew
金融投资报,:【美媒：#中国境外新冠肺炎确诊病例超万例#】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。
生命时报,:【美媒：#中国境外新冠肺炎确诊病例超万例#】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。据CNN统计，其中包括阿富汗1例、阿尔及利亚2例、安道尔1例、亚美尼亚1例、澳大利亚31例（1例死亡）、奥地利10例、巴林49例、白俄罗斯1例、比利时1例、巴西2例、柬埔寨1例、加拿大24例、克罗地亚6例、捷克1例、丹麦3例、多米尼加共和国1例、厄瓜多尔7例、埃及2例、爱沙尼亚1例、芬兰3例、法国130例（2例死亡）、格鲁吉亚1例、德国158例、希腊7例、冰岛3例、印度5例、印度尼西亚2例、伊朗1501例（66例死亡）、伊拉克26例、爱尔兰1例、以色列12例、意大利2036例（52例死亡）、日本974例（12例死亡）、约旦1例、科威特56例、拉脱维亚1例、黎巴嫩13例、立陶宛1例、卢森堡1例、马来西亚25例、墨西哥5例、摩纳哥1例、尼泊尔1例、荷兰7例、新西兰1例、尼日利亚1例、北马其顿1例、挪威15例、阿曼6例、巴基斯坦5例、菲律宾3例（1例死亡）、葡萄牙2例、卡塔尔7例、罗马尼亚3例、俄罗斯6例、圣马力诺1例、沙特阿拉伯1例、塞内加尔1例、新加坡108例、韩国4812例（29例死亡）、西班牙73例、斯里兰卡1例、瑞典13例、瑞士18例、泰国42例（1例死亡）、突尼斯1例、阿联酋21例、英国35例、美国105例（6例死亡）、越南16例。
价值投资日志,:【海外新冠肺炎确诊病例超万例死亡171例】3月3日丨截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括171例死亡病例。#钟南山团队建议严格防控实施至4月底##全球抗疫第一线#
在平桥,:#平桥疫情防控#【信阳无新增确诊，无疑似！现存住院2例】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。#31省区市新增125例新冠肺炎##河南零确诊#
鲜果心情198712,:3月2日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例3例http://t.cn/A679Pn81
天山网,:#夺取疫情防控和经济社会发展双胜利#【3月3日新疆（含兵团）1例新冠肺炎病例治愈出院累计治愈出院68例】#疫情防控动态#3月3日，新疆维吾尔自治区（含新疆生产建设兵团）又有1例新冠肺炎确诊病例经专家组会诊评估符合出院标准，今日出院，该病例为乌鲁木齐市病例。截至目前，自治区（含兵团）累计治愈出院病例68例，现有住院隔离治疗5人。
老艾观察,:【美媒：中国境外新冠肺炎确诊病例超万例】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。（环球网）
林迦得,:「美副总统在白宫带领疫情防控工作组向上帝祷告」截止3月2日，美国确诊新冠肺炎102例（含钻石公主号邮轮和撤侨病例），疫情呈蔓延和扩散之势。上周，特朗普宣布由副总统彭斯领导美国防疫工作。随即，一张照片（图2）从白宫疫情领导小组传出，彭斯在自己的办公室不仅与疾控中心官员讨论了新冠肺炎疫情防控工作，同时也带领所有人一起向上帝祷告。昨天，福音布道家葛福临称：“这是一张感人而有力的照片，让我们和他们一起呼求上帝赐下智慧和指引，帮助我们来回应这次的疫情。”但是此举也引发了不少争议，他们质疑科学的防控能否与信仰呼求并存。也有人为彭斯申辩，作为带领疫情防控工作的副总统，同时也是一位信仰坚定的基督徒。（配图来源Twitter：@VPMikePence）
快兰斯24小时财经直播,:实时播报：【美媒：中国境外新冠肺炎确诊病例超万例】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。...（关注公众号“快兰斯订阅号”进微信24小时直播群）
环球网,:【快讯！美媒：#中国境外新冠肺炎确诊病例超万例#】美国有线电视新闻网（CNN）刚刚消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。据CNN统计，其中包括阿富汗1例、阿尔及利亚2例、安道尔1例、亚美尼亚1例、澳大利亚31例（1例死亡）、奥地利10例、巴林49例、白俄罗斯1例、比利时1例、巴西2例、柬埔寨1例、加拿大24例、克罗地亚6例、捷克1例、丹麦3例、多米尼加共和国1例、厄瓜多尔7例、埃及2例、爱沙尼亚1例、芬兰3例、法国130例（2例死亡）、格鲁吉亚1例、德国158例、希腊7例、冰岛3例、印度5例、印度尼西亚2例、伊朗1501例（66例死亡）、伊拉克26例、爱尔兰1例、以色列12例、意大利2036例（52例死亡）、日本974例（12例死亡）、约旦1例、科威特56例、拉脱维亚1例、黎巴嫩13例、立陶宛1例、卢森堡1例、马来西亚25例、墨西哥5例、摩纳哥1例、尼泊尔1例、荷兰7例、新西兰1例、尼日利亚1例、北马其顿1例、挪威15例、阿曼6例、巴基斯坦5例、菲律宾3例（1例死亡）、葡萄牙2例、卡塔尔7例、罗马尼亚3例、俄罗斯6例、圣马力诺1例、沙特阿拉伯1例、塞内加尔1例、新加坡108例、韩国4812例（29例死亡）、西班牙73例、斯里兰卡1例、瑞典13例、瑞士18例、泰国42例（1例死亡）、突尼斯1例、阿联酋21例、英国35例、美国105例（6例死亡）、越南16例。http://t.cn/A67CtUew
喀纳斯景区管委会,:#战胜疫情，新疆在行动#新疆（含兵团）又有3例新冠肺炎病例治愈出院新疆（含兵团）又有3例新冠肺炎病例治愈出院
