爱澎澎1972,:『【1294】致敬，闪亮的名字！逆行，海河的荣光！！』【1294】致敬，闪亮的名字！逆行，海河的荣光！！
VenusMarut,:我一直觉得，可可西里和西西里一样，应该是个性感火热阳光明媚有湖海河泊的地方。
睡觉很忙,:天津公交真牛🐮，就这辆公交在解放南路海河中学站前直接拐到非机动车道，差点抹到一辆自行车，后又拐回机动车道，公交车是没人管吗？@平安天津@天津交警@奏耐天津@天津公交天天服务
一只好困,:现在回头想想，这几年里我最快乐的应该是2017，去了意难平的学校交流，认识了新的朋友，和喜欢的男孩儿恋爱，看了玉渊潭的樱花，在海河边儿上放孔明灯，在哈尔滨的教堂里听唱诗班排练，和朋友们一起又看新疆的草原湖泊沙漠山河，然后回到厦门，重新拥有了无数的美丽落日。2020的今天呢？哦，今天没有落日，今天又是阴天。
天津市旅游信息咨询中心,:#防控疫情天津在行动#【海河医院：本市两例危重型患者，都成功脱离ECMO治疗】下午的发布会上，海河医院院长沈军介绍，疫情爆发后，市海河医院持续完善诊疗管理流程，建立起了多学科合作、中西医联合、精细化管理的救治体系和“医护一体化”的救治格局。同时，不断优化救治方案，集中力量攻克重症、危重症难题，全力以赴提高治愈率，降低病亡率。在社会各界和全市人民的大力支持下，市海河医院各项救治工作迅速有效开展。@天津发布http://t.cn/A67We0dJhttp://t.cn/A67lq8Dk
泉城小子,:发表了博文《河川海右之二十三——海河水系（2）》齐济河齐济河原是黄河于1877年(光绪三年)、1888年在齐河县王窑村两次决口时，黄水趋奔徒骇河所冲刷成的一条自然溜。该溜南自丁杨村(今属孙耿镇)入济阳河川海右之二十三——海河水系（2）
津津有房,:海河医院：本市两例危重型患者，都成功脱离ECMO治疗！天津的医疗水平非常厉害！平均寿命高是要靠医疗水平支撑的
津城育才,:抗击疫情，津诚育才在行动！津诚育才培训学校，为助力海河教育园区新冠肺炎防疫工作捐赠口罩8000片，疫情无情，人有情，向坚守在一线的工作者致敬！
不安定型安定,:咖啡味真的好喝！！！！！！海河冲！！！！！！！
立夏美学工作室,:给自己做个下午茶的场景布置奖励下从初十就一直在上班的自己
网信武清,:海河医院：本市两例危重型患者，都成功脱离ECMO治疗！海河医院：本市两例危重型患者，都成功脱离ECMO治疗！
江南剑心2,:今日更新，因为官方通报中，南开和河东绿了，图中66个病例绿了，就等宝坻病例清零了。目前持续5天零报了，除去海河医院，应该算10天零报了。@天津发布下面有网友质疑零报。这两天疑似病例增增减减，说明很多工作做的很扎实，晚报不如早报，毕竟清零28天还是早数比较好#津日疫情播报##津日战“疫”#
天津日报,:#津日战“疫”#【中医一附院：我市确诊患者中135人应用中药汤剂，127人症状明显改善】3月4日，在天津市新型冠状病毒肺炎疫情防控工作新闻发布会上，天津中医药大学第一附属医院院长毛静远介绍了天津市中医一附院新冠肺炎中西医结合防治的情况。毛静远介绍，中医一附院认真贯彻落实市委市政府、市卫生健康委的要求，研究部署医院内部新冠肺炎的疫情防控，组建援助湖北医疗队及参加定点海河医院医疗救治相关工作，一开始就布置了三线作战。http://t.cn/A67WFI9s
郑说广播,:最好的教科书：父亲带着儿子一起“抗疫”在万众一心防控新冠肺炎疫情的关键时期，郑州市到处活跃着红十字志愿者的身影。这其中，有一对“父子兵”——冯海河与儿子冯宇良。今年48岁的冯海河是一名律师，也是郑州市红十字法律工作志愿服务队的队长。由于疫情防控形势严峻复杂，为尽可能阻断疫情传播渠道，隔离非常有必要，要求也越来越严，冯海河就主动请缨，带领小区居民坚守在自家居住的小区门口一个多月，为小区居民的防护竖起了一道有力的屏障。冯海河除了在小区帮助登记出入人员的信息、测量体温之外，还积极做好防护宣传、环境消毒，疏导交通，缓解大家紧张情绪等。在他的感召下，服务队更多志愿者也自发当上自己所在小区的志愿者，帮助缓解社区人员的工作压力，也让小区居民对严格的疫情防控措施更加理解和支持。为了帮助居家隔离的居民解决买菜、收快递等难题，冯海河与志愿者们主动承担起帮助社区工作人员和物业买菜、送菜、送水、收垃圾、贴封条等职责，确保居家隔离人员能安心生活，让他们隔离在家也能感受到来自社会的温暖。志愿者们分好组后，就开始有序地给隔离居民送各种食品和蔬菜。跑在最前面的小志愿者是冯海河11岁的儿子冯宇良，他从小跟着父亲一起做志愿者，参加了很多公益活动，被学校评为新时代好少年。学校没有网课的时候，冯宇良也一起加入了志愿者的队伍。“面对疫情，没有谁是局外人，我们一定要打赢这场人民的战争！”冯海河说，这些志愿者的大爱行动，只是万众一心共同战疫的缩影，只要大家有爱心，有信心，一定能战胜疫情。
森水锐寒,:3月4日两岸绿植吐新芽，春江水暖鸥先知。最是一年好风景，今朝之计始于春。天津海河天津森水锐寒的微博视频
暹暹包,:我让母上带光明牛奶结果她给带了海河的
竹內衣叉核電站,大家快来喝光明牛奶，支持一下光明乳业！光明不清真！太穷了请不起代言，大家多多了解一下！牛奶好喝，优倍家中常备！一堆花生巧克努力也非常好喝，全家罗森一直有活动9.9两个！
小佳琪·,:啊啊啊啊pyq看到的我好想去海河边喂海鸥！！
呼和浩特交通广播,:#新型冠状病毒#天津医生于洪志获授先进个人抢救新冠肺炎患者被感染#众志成城抗疫情#4日从天津市卫生健康委员会获悉，经天津市委、市政府批准，天津市人社局、市卫生健康委决定授予天津市海河医院呼吸与重症科副主任于洪志“天津市卫生健康系统新冠肺炎疫情防控工作先进个人”称号。　　于洪志，男，1978年8月出生，中共党员，天津市海河医院呼吸与重症科副主任。天津市海河医院是该市收治新冠肺炎患者定点医院，也是全市抗击疫情的主战场。于洪志在新冠肺炎疫情防控工作中临危受命，作为感染一科一病区队长和“抗击新冠，保卫津门”第一临时党支部书记，带领同志们冲在抗疫一线。　　天津市卫生健康委员会通报称，于洪志作为天津市海河医院呼吸与重症科行政副主任，技术过硬，业务精湛。近年来先后填补2项技术空白，获得2项天津市技术成果，出色完成医、教、研各项任务。先后参加了埃博拉、禽流感、甲流等传染病防控。　　凭借丰富的临床经验和理论知识，于洪志在面对危重症患者时，能够根据患者的不同身体情况制定“一人一策”的个性化治疗方案，极大提高了治愈率。遇到与病人进行“亲密接触”的项目，比如留取拭子核酸检测和动、静脉插管、床旁气管镜检查等，他每每亲自动手。　　2月14日，出院患者家属给于洪志等医护人员送来锦旗以示谢意——“生命之托，重于泰山”。　　另据了解，2月27日，于洪志在新冠肺炎患者救治过程中，不幸感染新冠肺炎。(完)
今晚报,:#天津公布1294名支援湖北医务人员名单#【1294！致敬，闪亮的名字！逆行，海河的荣光！！】此时此刻，十三批、1294名海河儿女奋战在湖北战疫一线。向他们真情致敬！祈祷早日平安凯旋！#谁是新时代最可爱的人#@津云
天津工业和信息化,:#防控疫情天津在行动#【我市科技企业捐赠空气消毒机180余台事前预防式消毒更硬核】眼下，在天津新冠肺炎定点医院海河医院、医大二院等十多家医院的发热门诊，您都能看到一台台轻巧实用的空气消毒机，它们毫不留情地阻隔、消灭着细菌病毒，忠诚地呵护着现场医护和病患们的呼吸安全。这些朴实无华的“小家伙”，就是疫情期间由天津民营科技企业中预联控捐赠的。截至目前，这家科技企业已经通过市红十字会及市工商联捐赠了180余台空气消毒机，其中130台已经在多家医院、市区疾控中心、教育系统等场所施展它们的神通。http://t.cn/A67Cw6rl
是Joanne鸦,光明乳业作为疫情期间全国唯一一家在武汉地区坚持保障供应的企业，其中也涌现出了众多挺身而出、奋战一线的光明先锋！他们坚守阵地，以实际行动践行使命，努力确保供应不间断！
honey一博,:非本人制，出自移民警花的橡皮章手艺，出镜移民警察小哥～之海河抗疫护士姐姐的坚强后盾！@国家移民管理局@奏耐天津
神石息壤,:【静春】文：博尔之金—朵天月择一处浅绿静卧栖息乐音裁一溪动流洗却万千铅华染一缕星辉风化漫卷雪月掬一抔云舒淡出世间尘埃燃一柱心香祈祷前世落幕吹一笛清影解花瓣轻飘落品一壶陈念尝酸甜苦辣咸问一声安暖细数岁月静好读一本经典浸透海河欢畅做一粒沙石笑看浮世滄桑落一城烟雨润泽垄亩荷塘耕一晌云际沉醉今生无悔……2020年3月4日于嘉峪关http://t.cn/R2WxeyR
唐灵隆,:海河边上午退潮了，可以到海河边，近距离放生鱼菩萨们！南无阿弥陀佛！深圳·福永唐灵隆的微博视频
津津有房,:海河金茂府750万这个小区多层的问题是景色不好，没有景色，这个总价，再科技，还是有点贵
海河杂谈,:限.购、限.贷是两道拦水闸全球已经进入降息周期，国内尝试通过大基.建，拉动经济增长，是比较明确的趋势了。财富的终点是房.地产，这些放出来的水，最终能不能流入其中，就看拦水闸能不能扛得住了。当拦水闸抬起时，水漫金山的时刻就来临了。#海河谈房##天津房产[超话]#
_Iam_mine,:早晨喝了一杯dirtyplus外面阳光刚好心情超美感觉不出门又对不起自己了今天不约会了准备一会拉妈妈兜风~去海河边看看河鸥再买个dirtyplus？哈哈阳光晴朗的日子都是好日子
_少女心老阿姨_,:#有一条河它叫海河啊#
每日新报,:【刚刚，#于洪志被授予先进个人#！】刚刚，天津市卫健委官网发布《于洪志同志被授予天津市卫生健康系统新冠肺炎疫情防控工作先进个人称号》的消息，消息称：为充分发挥先进典型的引领示范作用，进一步鼓舞士气、坚定信心、凝聚力量，经市委、市政府批准，市人社局、市卫生健康委决定授予天津市海河医院呼吸与重症科副主任于洪志同志“天津市卫生健康系统新冠肺炎疫情防控工作先进个人”称号。于洪志，男，1978年8月出生，中共党员，天津市海河医院呼吸与重症科副主任。天津市海河医院是我市收治新冠肺炎患者定点医院，也是全市抗击疫情的主战场。于洪志同志在新冠肺炎疫情防控工作中临危受命，作为感染一科一病区队长和“抗击新冠，保卫津门”第一临时党支部书记，带领同志们冲在抗疫一线。守初心、担使命，以身作则、逆行向前。于洪志同志充分发挥党支部书记的先锋模范作用，以身作则，勇敢地逆行向前，以行动诠释初心，用担当书写使命，充分发挥了基层党支部的战斗堡垒作用。在疫情防控最困难、最危险的岗位上，于洪志同志带领医疗队员们吹响战斗的号角，主动请战，恪尽职守、舍生忘死，视疫情如命令，视病房如战场，视病人如亲人，全力以赴投入到这场没有硝烟的战争中，让党旗在疫情防控斗争第一线高高飘扬。精医术、强业务，个性治疗、无惧困难。于洪志同志作为天津市海河医院呼吸与重症科行政副主任，技术过硬，业务精湛。近年来先后填补2项技术空白，获得2项天津市技术成果，出色完成医、教、研各项任务。先后参加了埃博拉、禽流感、甲流等传染病防控。凭借丰富的临床经验和理论知识，在面对危重症患者时，能够根据患者的不同身体情况制定“一人一策”的个性化治疗方案，极大提高了治愈率。遇到与病人进行“亲密接触”的项目，比如留取拭子核酸检测和动、静脉插管、床旁气管镜检查等，他每每亲自动手。为了从死神手里抢时间，他工作时间不吃不喝不上厕所，穿着防护服呼吸困难行动不便，还要对病人进行抢救和治疗，汗水浸湿衣服，人像从水里捞出来一样，但他就是这样的默默坚持着，完成他的使命。舍小家、顾大家，保卫津门、无怨无悔。自从1月21日进入病区，于洪志同志除了给病人诊疗，还要和其他专家一起研究病情，写病程记录、收集数据。他说虽然不能和家人团聚，没有时间照顾老人和孩子，没有尽到儿子、丈夫和父亲的责任，但人民健康高于一切，保卫津门，无怨无悔。2月14日，出院患者家属给于洪志等医护人员送来锦旗以示谢意——“生命之托，重于泰山”。简单的八个字，凝聚了像于洪志同志这样的医护人员多少的心血和多少个不眠之夜。在这个没有硝烟的战场，于洪志同志与全市广大一线医务人员逆行向前，以血肉之躯守护人民群众的健康！（天津日报）
奏耐天津,:#影像天津#@艺术叛逃：「海河街·日記」
vampire晞,抽个海河牛奶18袋，可备注口味，好喝的奶有的是，不止真果粒个人推荐草莓牛奶和咖啡牛奶，别看包装土，真的好喝（我第一次喝到咖啡牛奶的时候惊为天人，不齁甜、略带苦味的口感把我这个不喜欢咖啡的人圈粉了，草莓牛奶、巧克力/可可牛奶口感很新鲜，是那种喝一口爽到眼睛眯起来的甜度，椰子没喝过估计也不差，看你们自己口味）这个奶是天津本地牌子，外地基本上都是在超市买零售袋装不太好买成箱的，我CP在天津待过一年，跟我科普说这个奶还是国家质检优质奶去年接触到这个牌子以后我几乎一周三次每次两袋，再也不去想飙升的体重（没，还是运动了），个人喜欢喝冰镇的，但是加热后一定会满屋香气这周六（3月7号）下午抽，无须关注，转发即可，只抽支持自由创作、抵制恶意举报的朋友，不抽抽奖号，会视奸@微博抽奖平台——————————3月3日——————————底下评论有位朋友加码一份的，7号一起抽两个幸运鹅，一人一份以及我的朋友们，我这边先暂时不接受其它加码啦，一是工作比较忙，二我不是做广告的只是个自来水
神奇陆鸡蛋,抽个海河牛奶18袋，可备注口味，好喝的奶有的是，不止真果粒个人推荐草莓牛奶和咖啡牛奶，别看包装土，真的好喝（我第一次喝到咖啡牛奶的时候惊为天人，不齁甜、略带苦味的口感把我这个不喜欢咖啡的人圈粉了，草莓牛奶、巧克力/可可牛奶口感很新鲜，是那种喝一口爽到眼睛眯起来的甜度，椰子没喝过估计也不差，看你们自己口味）这个奶是天津本地牌子，外地基本上都是在超市买零售袋装不太好买成箱的，我CP在天津待过一年，跟我科普说这个奶还是国家质检优质奶去年接触到这个牌子以后我几乎一周三次每次两袋，再也不去想飙升的体重（没，还是运动了），个人喜欢喝冰镇的，但是加热后一定会满屋香气这周六（3月7号）下午抽，无须关注，转发即可，只抽支持自由创作、抵制恶意举报的朋友，不抽抽奖号，会视奸@微博抽奖平台——————————3月3日——————————底下评论有位朋友加码一份的，7号一起抽两个幸运鹅，一人一份以及我的朋友们，我这边先暂时不接受其它加码啦，一是工作比较忙，二我不是做广告的只是个自来水
天津同城,:【喜讯！又出院6人，，在院治疗患者仅剩9人！】海河医院今天再度传来好消息：又有6名新冠肺炎患者治愈出院。截至目前，天津新冠肺炎治愈患者已达124人，在院治疗患者仅剩9人！#天津防控新型冠状病毒肺炎#
淇河晨报,:#关注鹤壁新冠肺炎防控##抗击疫情，鹤壁在行动#【党员捐款抗击疫情】2月28日上午，鹤壁经济技术开发区海河路街道党员疫情防控自愿捐款仪式在科创中心举行，30余名党员踊跃捐款8800元。（鹤报融媒体首席记者张志嵩摄）
理想小滑轮,抽个海河牛奶18袋，可备注口味，好喝的奶有的是，不止真果粒个人推荐草莓牛奶和咖啡牛奶，别看包装土，真的好喝（我第一次喝到咖啡牛奶的时候惊为天人，不齁甜、略带苦味的口感把我这个不喜欢咖啡的人圈粉了，草莓牛奶、巧克力/可可牛奶口感很新鲜，是那种喝一口爽到眼睛眯起来的甜度，椰子没喝过估计也不差，看你们自己口味）这个奶是天津本地牌子，外地基本上都是在超市买零售袋装不太好买成箱的，我CP在天津待过一年，跟我科普说这个奶还是国家质检优质奶去年接触到这个牌子以后我几乎一周三次每次两袋，再也不去想飙升的体重（没，还是运动了），个人喜欢喝冰镇的，但是加热后一定会满屋香气这周六（3月7号）下午抽，无须关注，转发即可，只抽支持自由创作、抵制恶意举报的朋友，不抽抽奖号，会视奸@微博抽奖平台——————————3月3日——————————底下评论有位朋友加码一份的，7号一起抽两个幸运鹅，一人一份以及我的朋友们，我这边先暂时不接受其它加码啦，一是工作比较忙，二我不是做广告的只是个自来水
灰白色大肥猫,抽个海河牛奶18袋，可备注口味，好喝的奶有的是，不止真果粒个人推荐草莓牛奶和咖啡牛奶，别看包装土，真的好喝（我第一次喝到咖啡牛奶的时候惊为天人，不齁甜、略带苦味的口感把我这个不喜欢咖啡的人圈粉了，草莓牛奶、巧克力/可可牛奶口感很新鲜，是那种喝一口爽到眼睛眯起来的甜度，椰子没喝过估计也不差，看你们自己口味）这个奶是天津本地牌子，外地基本上都是在超市买零售袋装不太好买成箱的，我CP在天津待过一年，跟我科普说这个奶还是国家质检优质奶去年接触到这个牌子以后我几乎一周三次每次两袋，再也不去想飙升的体重（没，还是运动了），个人喜欢喝冰镇的，但是加热后一定会满屋香气这周六（3月7号）下午抽，无须关注，转发即可，只抽支持自由创作、抵制恶意举报的朋友，不抽抽奖号，会视奸@微博抽奖平台——————————3月3日——————————底下评论有位朋友加码一份的，7号一起抽两个幸运鹅，一人一份以及我的朋友们，我这边先暂时不接受其它加码啦，一是工作比较忙，二我不是做广告的只是个自来水
天津人才引进海河英才计划,:#天津人才引进[超话]#“海河英才”行动计划，加快集聚技能型人才，支持我市“一基地三区”建设，现将技能型人才引进落户条件调整。
散文字,:今日份早餐流水：三块桃酥、一份闲趣；苹果和梨各一、若干圣女果；两袋海河、一袋君乐宝。备注：未饱
用户5585588872,#天津影像#@摄影师小天爸：游船在海河航行，是春季试航开始了吗？摄影师小天爸的微博视频
ginkgoyy,#天津影像#@摄影师小天爸：游船在海河航行，是春季试航开始了吗？摄影师小天爸的微博视频
酷哥2011V天下,:#微博知名博主[超话]#天津市卫健委日前消息：天津市第20例、121例确诊病例，出院后对其继续集中隔离观察期间核酸复检为阳性，已转入市海河医院观察。#新型冠状病毒##天津爆料##抗击新型肺炎第一线##全国确诊新型肺炎病例##抗击新型肺炎我们在行动#
一地土豆压海棠,我記得以前有個國產奶製品檢驗報告，某🐂某利什麼的都沒達到國際標準來著，當然在國內是合格的，自由選擇
_caramel_半烟,抽个海河牛奶18袋，可备注口味，好喝的奶有的是，不止真果粒个人推荐草莓牛奶和咖啡牛奶，别看包装土，真的好喝（我第一次喝到咖啡牛奶的时候惊为天人，不齁甜、略带苦味的口感把我这个不喜欢咖啡的人圈粉了，草莓牛奶、巧克力/可可牛奶口感很新鲜，是那种喝一口爽到眼睛眯起来的甜度，椰子没喝过估计也不差，看你们自己口味）这个奶是天津本地牌子，外地基本上都是在超市买零售袋装不太好买成箱的，我CP在天津待过一年，跟我科普说这个奶还是国家质检优质奶去年接触到这个牌子以后我几乎一周三次每次两袋，再也不去想飙升的体重（没，还是运动了），个人喜欢喝冰镇的，但是加热后一定会满屋香气这周六（3月7号）下午抽，无须关注，转发即可，只抽支持自由创作、抵制恶意举报的朋友，不抽抽奖号，会视奸@微博抽奖平台——————————3月3日——————————底下评论有位朋友加码一份的，7号一起抽两个幸运鹅，一人一份以及我的朋友们，我这边先暂时不接受其它加码啦，一是工作比较忙，二我不是做广告的只是个自来水
陆承昀,虽然我可能会忘记蒙牛伊利是怎么支持清真的，美团和cherry如何性别歧视，忘记当年刘国梁临阵被撤换的体委内幕，忘记跪族篮孩的卖国行为……但我对这些主体的厌恶感都完好保留下来了。那句话怎么说的，恨比爱更永恒
至少还有晴空,抽个海河牛奶18袋，可备注口味，好喝的奶有的是，不止真果粒个人推荐草莓牛奶和咖啡牛奶，别看包装土，真的好喝（我第一次喝到咖啡牛奶的时候惊为天人，不齁甜、略带苦味的口感把我这个不喜欢咖啡的人圈粉了，草莓牛奶、巧克力/可可牛奶口感很新鲜，是那种喝一口爽到眼睛眯起来的甜度，椰子没喝过估计也不差，看你们自己口味）这个奶是天津本地牌子，外地基本上都是在超市买零售袋装不太好买成箱的，我CP在天津待过一年，跟我科普说这个奶还是国家质检优质奶去年接触到这个牌子以后我几乎一周三次每次两袋，再也不去想飙升的体重（没，还是运动了），个人喜欢喝冰镇的，但是加热后一定会满屋香气这周六（3月7号）下午抽，无须关注，转发即可，只抽支持自由创作、抵制恶意举报的朋友，不抽抽奖号，会视奸@微博抽奖平台——————————3月3日——————————底下评论有位朋友加码一份的，7号一起抽两个幸运鹅，一人一份以及我的朋友们，我这边先暂时不接受其它加码啦，一是工作比较忙，二我不是做广告的只是个自来水
一只79999,抽个海河牛奶18袋，可备注口味，好喝的奶有的是，不止真果粒个人推荐草莓牛奶和咖啡牛奶，别看包装土，真的好喝（我第一次喝到咖啡牛奶的时候惊为天人，不齁甜、略带苦味的口感把我这个不喜欢咖啡的人圈粉了，草莓牛奶、巧克力/可可牛奶口感很新鲜，是那种喝一口爽到眼睛眯起来的甜度，椰子没喝过估计也不差，看你们自己口味）这个奶是天津本地牌子，外地基本上都是在超市买零售袋装不太好买成箱的，我CP在天津待过一年，跟我科普说这个奶还是国家质检优质奶去年接触到这个牌子以后我几乎一周三次每次两袋，再也不去想飙升的体重（没，还是运动了），个人喜欢喝冰镇的，但是加热后一定会满屋香气这周六（3月7号）下午抽，无须关注，转发即可，只抽支持自由创作、抵制恶意举报的朋友，不抽抽奖号，会视奸@微博抽奖平台——————————3月3日——————————底下评论有位朋友加码一份的，7号一起抽两个幸运鹅，一人一份以及我的朋友们，我这边先暂时不接受其它加码啦，一是工作比较忙，二我不是做广告的只是个自来水
不关吱吱的事,山谷中再也没有响起过枪声#金刚狼3#
sunny小丸子0921,:偷海河的风🌙[伪vintage.]
